Id,"Titel kunstwerk","Achternaam Kunstenaar","Voornaam Kunstenaar","Tussenvoegsel Kunstenaar",Jaartal,Collectie,Wijk,Adres,"Materiaal 1","Materiaal 2","Materiaal 3","Materiaal 4","Materiaal 5",latitude,longitude,Omschrijving,Samenvatting,"Foto 1","Foto 2","Foto 3","Foto 4","Foto 5"
12101,"De Rustende Boer",Leenheer,Bert,,1984,"Stichtse Vecht",Kockengen,"Drie stammenweg ",Hout,,,,,52.148826,4.948522,,,http://beheer.kunstwacht.nl/cache/e/2/1/e21c042c7b9a2eb3e3f0481834b8cb15_700_540.jpg,,,,
12102,"Oorlogsmonument - Gerthy Baars",Baars,Gerthy,,2000,"Stichtse Vecht",Kockengen,"Kerkplein ",Brons,,,,,52.147839,4.947966,,,http://beheer.kunstwacht.nl/cache/1/f/8/1f8327379065036be93a44127fdaff33_700_540.jpg,,,,
12103,"Vijf Balinese eenden",Clercq,Barbara,de,,"Stichtse Vecht",Breukelen,"Wilhelminastraat 43A",Brons,,,,,52.172623,4.996252,"<p>&nbsp;<br /> In maart 2014 naar binnen gehaald in verband met diefstal van het Fjordenpaard.</p>",,http://beheer.kunstwacht.nl/cache/e/f/e/efec987a79a57544ebb35c0e1fa7bb0d_700_540.jpg,,,,
12104,Verzetsmonument,"Gobius (1910 - 1994)","Marian (Merian / Marian Catharine)",,1949,"Stichtse Vecht",Maarssen,"Park Goudenstein ",Brons,,,,,52.144660,5.035221,,,http://beheer.kunstwacht.nl/cache/b/8/d/b8d0e08bcdefa34c087805beea492f1d_700_540.jpg,,,,
12105,"Man met paard",Sterk,G.A.J.,,1974,"Stichtse Vecht",Maarssen,"Plantsoen bij Termeerbrug ",Brons,,,,,52.172623,4.996252,,,http://beheer.kunstwacht.nl/cache/1/d/0/1d05cc50f9e3beeec69a34bd58edef0a_700_540.jpg,,,,
12106,"Muzikant met saxofoon","Graaf (1949)",Elselien,"van der",,"Stichtse Vecht",Maarssen,"ât Zand ",Brons,,,,,52.138787,5.039432,,,http://beheer.kunstwacht.nl/cache/c/7/e/c7e6a98362850fa517c0ddf05cebc561_700_540.jpg,,,,
12107,"Man met bas","Graaf (1949)",Elselien,"van der",,"Stichtse Vecht",Maarssen,"ât Zand Harmonieplein",Brons,,,,,52.138787,5.039432,,,http://beheer.kunstwacht.nl/cache/b/2/3/b23735e3e67904717c45535bea22f468_700_540.jpg,,,,
12108,"Gevelelement âMuziek en spelâ",Bij,Lolke,"van der",,"Stichtse Vecht",Maarssen,"M.A. de Ruyterstraat ","Gelakt staal",,,,,52.146463,5.041963,,,http://beheer.kunstwacht.nl/cache/0/e/c/0ec2de7ac498cbcfb79333ce9bf444f7_700_540.jpg,,,,
12109,"Atleet met speer","Mooij (1918 - 1990)",Maarten,,,"Stichtse Vecht",Maarssen,"Doctor Plesmanlaan ",Kalksteen,,,,,52.146102,5.041598,,,http://beheer.kunstwacht.nl/cache/d/b/b/dbbe4e4ef1ece11e403c5f702590e7be_700_540.jpg,,,,
12110,"Gevelelement âWonenâ",Vink,A.C.,,,"Stichtse Vecht",Maarssen,"Rembrandtsingel 34","Gelakt staal",,,,,52.142467,5.043418,,,http://beheer.kunstwacht.nl/cache/a/3/d/a3db35c0375ad9a78d6217af1f487c56_700_540.jpg,,,,
12111,"Gevelelement âOude De Ruyterschoolâ",SaÌnger,Sibylle,,1985,"Stichtse Vecht",Maarssen,"Breedstraat ",MozaÃ¯ek,,,,,52.139935,5.040233,,,http://beheer.kunstwacht.nl/cache/7/9/7/797ce77049ffdfb1e6f48cfd093bf15e_700_540.jpg,,,,
12112,"Gevelelement âGezin en wonenâ",Hekman,Joop,,1956,"Stichtse Vecht",Maarssen,"Brederostraat 22",Brons,,,,,52.145059,5.039978,,,http://beheer.kunstwacht.nl/cache/b/3/0/b30228bdd9c5830fdd5e8e2c06698011_700_540.jpg,,,,
12113,"Gevelelement âSport en spelâ",Schoemaker,J.,,,"Stichtse Vecht",Maarssen,"Huis ten Boschstraat ","Geroest staal",,,,,52.141205,5.049267,,,http://beheer.kunstwacht.nl/cache/a/d/c/adc8dc7c1934abefbcf5e8ee922863a8_700_540.jpg,,,,
12114,"Naamloos - Coen Wilderom",Wilderom,Coen,,,"Stichtse Vecht",Maarssen,"Cramerlaan 22",,Cortenstaal,,,,52.135063,5.053512,,,http://beheer.kunstwacht.nl/cache/5/8/6/586d1e3c0bde290dc5351418bf83f293_700_540.jpg,,,,
12115,"Gevelelement, gedenksteen",,,,,"Stichtse Vecht",Maarssen,"Rembrandtsingel 21","Frans kalksteen",,,,,52.143033,5.043210,,,http://beheer.kunstwacht.nl/cache/1/3/9/1395b959a8a51c482afdcefca68a2f98_700_540.jpg,,,,
12116,"Geen titel-Jan van Ijzendoorn",IJzendoorn,Jan,van,1994,"Stichtse Vecht",Maarssen,"Diependaalsedijk ","Gelakt staal","Gelakt staal",,,,52.145123,5.033863,,,http://beheer.kunstwacht.nl/cache/9/d/9/9d988453ff8d154cb4e925bbcb005cfe_700_540.jpg,,,,
12117,Straatbeeld,Cruijsen,Barbara,"van der",,"Stichtse Vecht",Maarssen,"Pieter de Hooghplein ",RVS,Steen,Hout,,,52.142978,5.041020,,,http://beheer.kunstwacht.nl/cache/d/2/5/d25be7d2281cb5b0ba1321156d2d1ade_700_540.jpg,,,,
12118,"The Laughing men",Hahn,Ellie,,,"Stichtse Vecht",Maarssen,"Vondelstraat ",Brons,,,,,52.144102,5.039347,,,http://beheer.kunstwacht.nl/cache/a/5/8/a585b277b884cb6422152c0941f709c2_700_540.jpg,,,,
12119,Aalscholver,Petersen,Peter,,2005,"Stichtse Vecht",Maarssen,"Maarssenveensevaart ",Brons,,,,,52.147994,5.066907,,,http://beheer.kunstwacht.nl/cache/1/3/1/131faf101b7d25a898f518992eb11fc3_700_540.jpg,,,,
12120,Straatmeubilair,Pulles,Hans,,1997,"Stichtse Vecht",Maarssen,"Bolensteinsestraat t.h.v. nr. 49","Gelakt staal",,,,,52.139971,5.037478,,,http://beheer.kunstwacht.nl/cache/f/a/3/fa347d7b076f7925a5c86736bee2234f_700_540.jpg,,,,
12121,Landmark,"Pennock (1945 - )",Lon,,1981,"Stichtse Vecht",Maarssen,"Zuilense Ring ","Gelakt staal",,,,,52.131412,5.049666,,,http://beheer.kunstwacht.nl/cache/d/1/8/d1805399bfab841ff75d42fe2ea40773_700_540.jpg,,,,
12122,Obelisk,"Visser (1944 - )",Nout,,1988,"Stichtse Vecht",Maarssenbroek,"Bisonspoor ",Graniet,,,,,52.135222,5.028921,,,http://beheer.kunstwacht.nl/cache/5/8/b/58b5e9df71c0f8a0bbd8f07bf6785f45_700_540.jpg,,,,
12123,"Sculptuur eenden","Graaf (1949)",Elselien,"van der",,"Stichtse Vecht",Maarssenbroek,"Bisonspoor t.h.v. nr. 1207",Brons,,,,,52.135220,5.028415,,,http://beheer.kunstwacht.nl/cache/6/0/c/60cb307fd45719bd7a96ff498f4c2803_700_540.jpg,,,,
12124,"Wobbel pauwenpaar",Boogaard,Bas,"van de ",1985,"Stichtse Vecht",Maarssenbroek,"Pauwenkamp ",Polyester,,,,,52.136491,5.022085,,,http://beheer.kunstwacht.nl/cache/d/0/2/d0242f204ba8956ff10e4a75ced698dc_700_540.jpg,,,,
12125,Gevelelement,DresmÃ©,Albert,,,"Stichtse Vecht",Maarssenbroek,"Pauwenkamp Economisch college",Steen,,,,,52.135690,5.021123,,,http://beheer.kunstwacht.nl/cache/2/4/a/24a1b114eca7098671431887e72fa030_700_540.jpg,,,,
