Handelsnaam;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Egbert Egberts Stromer Store and More B.V.;;;;1;1
Elbertse Orgelmakers B.V.;;;1;;1
Elektrik Van Dam;1;;;;1
Eneco Services B.V.;;4;;;4
Eneco Zakelijk;;4;;;4
Enexis B.V.;;2;;;2
ENGIE Services West B.V.;2;;;;2
ESVSHOP.NL;1;;;;1
Euro Air Nederland;2;;;;2
Europ. Cons. Group Development and Financing;1;;;;1
Expo Display Service;1;;;;1
Fisher Scientific of the Netherlands B.V.;1;;;;1
Folux B.V.;1;;;;1
Frank Koppen Diving;1;;;;1
Fristads Kansas Workwear B.V.;1;;;;1
Fudura B.V.;;1;;;1
G & M infra;;;1;;1
Geert Jonkers Deurenservice;1;;;;1
Gispen Kantoorinrichting;2;;;;2
Glaspunt B.V.;1;;;;1
Goorhuis Installatietechniek B.V.;1;;;;1
Graziosi Progetti B.V.;;;2;;2
H & M Service en Onderhoud B.V.;2;;;;2
Hadi Beveiliging B.V.;1;;;;1
HDV Reklame B.V.;1;;;;1
Heijmans Utiliteit;2;;;;2
HerstelDirect B.V.;4;;;;4
His Wilms Textielgroep B.V.;1;;;;1
Hobeka B.V.;1;;;;1
Holland Mast B.V.;1;;;;1
Holtrop & Jansma B.V.;1;;;;1
Homma Elektrotechniek B.V.;1;;;;1
Hotel Contact B.V.;;;;1;1
HTO Aannemingsbedrijf;1;;;;1
Hulskamp Audiovisueel Utrecht;1;;;;1
Human Office B.V.;1;;;;1
Huys te Voorn Vastgoed B.V.;;;;1;1
Imming Logistics;;;1;;1
Immolab B.V.;;;;1;1
Impressive Solutions B.V.;1;;;;1
Indoor Plant Services B.V.;2;;;;2
innvire B.V.;;;1;;1
Installatiebedrijf GST van Paassen B.V.;1;;;;1
Interparking Nederland B.V.;;;;1;1
Interspiro B.V.;1;;;;1
Intimus International Netherlands B.V.;1;;;;1
Jaski Automaten B.V.;1;;;;1
Jeol (Europe) B.V.;2;;;;2
Jongeneel Zwolle;1;;;;1
JOVI Events & Business Company;;;;2;2
Kalsbeek B.V.;1;;;;1
Kardex Systemen B.V.;;;;1;1
Klein Poelhuis Emmeloord B.V.;1;;;;1
Klussenbedrijf Michael van Dijk;1;;;;1
Koninklijke Ahrend B.V.;1;;;;1
Koole B.V.;;;1;;1
Kortmann Art Packers & Shippers B.V.;;;2;;2
KPN Contact lokatie Eindhoven;;;;1;1
KPN HotSpots;;1;;1;1
KPN XL;;;;1;1
Krist Pensioen B.V.;1;;;;1
Labelfabriek Holland;1;;;;1
Lasaulec B.V.;1;;;;1
Leijdsman Elektro B.V.;1;;;;1
Liander N.V.;;1;;;1
Lijst 37;1;;;;1
Loes Huis- en Tuindiensten;1;;;;1
Loodg.- en Installatiebedrijf;1;;;;1
M. van der Spek Groenprojecten B.V.;2;;;1;2
Manutan B.V.;1;;;;1
Marko Diving;1;;;;1
Media Markt Ede B.V.;1;;;;1
Mennens Groningen B.V.;1;;;;1
Minigrip;1;;;;1
Moventium;1;;;;1
N.V. Waterbedrijf Groningen;;1;;;1
Neopost Finance B.V.;1;;;;1
NRG Nuclear Services B.V.;1;;;;1
Nsecure B.V.;1;;;;1
O.H. van den Heuvel Beheer B.V.;1;;;;1
Oasis Data & Archief;;;;2;2
Odijks Bouwbedrijf;2;;;;2
Office Depot B.V.;1;;;;1
Onderdelenbalie.nl;1;;;;1
Ongedierte- & Mollenbestrijding Jonker;1;;;;1
P.T.B. Transportmiddelen B.V.;1;;;;1
P1 Off Street Exploitatie B.V.;1;;;;1
Pallethandel Panhuis B.V.;1;;;;1
PBM Telecommunicatie B.V.;;;1;;1
PerkinElmer Nederland B.V.;1;;;;1
Pot Opslag/Logistiek B.V.;;;4;4;5
Pre-Fabs online;1;;;;1
Print X-Press;1;;;;1
Profijt Klussenbedrijf;1;;;;1
Protinus IT B.V.;1;;;;1
Q-Vision B.V.;1;;;;1
R. van den Burg B.V.;1;;;;1
Reisaco B.V.;1;;;;1
REMONDIS Dusseldorp vestiging Lichtenvoorde;1;;;;1
RGZ V.O.F.;1;;;;1
ROVA Beheer B.V.;1;;;;1
RRS Nederland B.V.;1;;;;1
Rycobel B.V.;1;;;;1
Scheeres Handelmaatschappij B.V.;1;;;;1
Schero Brandbeheersing B.V.;;;1;;1
Schijf Houthandel en Sloopwerken B.V.;1;;;;1
Schiphorst Vastgoed B.V.;1;;;;1
Schreuder-Ruitenbeek B.V.;1;;;;1
Screening Devices B.V.;1;;;;1
Securitas Beveiliging B.V.;1;;;;1
Senang Material Microscopy;1;;;;1
SG Verpakkingen B.V.;1;;;;1
SIGHT Landscaping B.V.;1;;;;1
Sigma-Aldrich;1;;;;1
Smits van Burgst Raadgevend Ingenieursbureau;1;;;;1
Solits;1;;;;1
Spaander Restauratie Uurwerken en Speeldozen;1;;;;1
Stas B.V.;1;;;;1
Stedin;;3;;;3
Stedin Infradiensten B.V.;;1;;;1
Stedin Meetbedrijf B.V.;;1;;;1
Stichting Museumpark Archeon;;;1;;1
Stichting Videma;1;;;;1
Still Intern Transport B.V.;1;;;;1
Struers GmbH Nederland;3;;;;3
Strukton Worksphere B.V.;1;;1;;2
Super Neon Lichtreklame B.V.;1;;;;1
Synergy Health Ede B.V.;1;;;;1
Tasman Properties C.V.;;1;;2;2
TCN SIG Telehousing Exploitatie B.V.;;5;;;5
Telder Bouw en Industrie B.V.;1;;;;1
Thermo Fisher Scientific B.V.;1;;;;1
Timmer en Onderhoudsbedrijf Chris v/d Linden;2;;;;2
Top Movers Nederland B.V.;;;5;;5
Traject IT Projectservices;;;1;;1
Uniscape Telematica B.V.;1;;;;1
UTS Nederland;;;1;;1
Uw Kabelpartner;1;;;;1
Van Breukelen Groenvoorzieningen;2;;;;2
Van de Steege Bedrijfsmakelaars B.V.;;;;2;2
Van der Kroft Party Rental Services B.V.;1;;;;1
Van Dorp installaties Amsterdam;1;;;;1
Van Dorp Zwembaden;1;;;;1
Van Gerrevink B.V.;;;1;;1
Van Kralingen B.V.;;;1;;1
Van Wieren Special B.V.;;;1;;1
Van Wijnen Deventer B.V.;1;;;;1
VanDoClean B.V.;1;;;;1
Vastgoed C.V. APF VII;;;;1;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;1;;;;1
Vereniging Vakantieverblijven Vitens;;1;;;1
Verhuurbedrijf-Westerhuis B.V.;1;;;;1
Videotronic Infosystems Nederland B.V.;1;;;;1
Vollebregt Installatie B.V.;1;;;;1
Vorst houtonderzoek;;;1;;1
Vriens Archeo Flex B.V.;;;2;;2
W.K.K. Handelsonderneming B.V.;1;;;;1
Waters Chromatography B.V.;1;;;;1
Weiss Enet environmental simulation;2;;;;2
WMF Nederland B.V.;1;;;;1
Wolter & Dros;2;;1;;2
WorkSphere;;;1;;1
Xtac Analytical B.V.;1;;;;1
YIP;1;;;;1
Ziggo B.V.;;1;;1;1
Eindtotaal;6;7;6;5;7
