OBJECTID,TIJDSTIP_REGISTRATIE,SUBTYPE,POSITIONELE_NAUWKEURIGHEID_MM,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,BGTFUNCTIE,PLUSFUNCTIE,CUSTOMFUNCTIE,BGTFYSIEKVOORKOMEN,PLUSFYSIEKVOORKOMEN,CUSTOMFYSIEKVOORKOMEN,BGTTYPE,PLUSTYPE,CUSTOMTYPE,STATUS,Shape__Area,Shape__Length
12,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,490.883271,723.80056149311
13,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,15473.073212,708.52919010759
14,2015/07/17 16:00:44+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,50410.065418,1401.08597990804
15,2015/05/19 14:25:50+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,731.0931925,783.816806056216
16,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,44091.1353195,1870.99370678058
17,2015/10/16 15:03:29+00,WEGDEEL,283,G0777,Etten-Leur,bestaand,0,transitie,,,transitie,,,,,,,205.411936,241.512160991919
18,2015/08/21 07:58:50+00,WEGDEEL,283,G0777,Etten-Leur,bestaand,0,transitie,,,transitie,,,,,,,1195.739286,232.418082908554
19,2019/12/27 06:58:36+00,WEGDEEL,283,G0166,Kampen,bestaand,0,transitie,,,transitie,,,,,,,92.2178133,90.2196399426333
20,2016/10/31 10:45:07+00,WEGDEEL,283,G0307,Amersfoort,bestaand,0,transitie,,,transitie,,,,,,,139.9773295,86.9987150084607
21,2018/05/23 07:16:26+00,WEGDEEL,283,G0307,Amersfoort,bestaand,1,transitie,,,transitie,,,,,,,303.24979761,106.826427271511
22,2016/10/31 10:45:07+00,WEGDEEL,283,G0307,Amersfoort,bestaand,0,transitie,,,transitie,,,,,,,33.7528115,23.4166846779363
23,2018/05/23 07:16:27+00,WEGDEEL,283,G0307,Amersfoort,bestaand,0,transitie,,,transitie,,,,,,,19.756197545,18.4945546602824
24,2016/10/31 10:45:07+00,WEGDEEL,283,G0307,Amersfoort,bestaand,0,transitie,,,transitie,,,,,,,591.36654784,194.089336439211
25,2018/05/23 07:16:27+00,WEGDEEL,283,G0307,Amersfoort,bestaand,0,transitie,,,transitie,,,,,,,46.83077534,36.006020391655
26,2016/10/31 10:45:07+00,WEGDEEL,283,G0307,Amersfoort,bestaand,0,transitie,,,transitie,,,,,,,368.379436525,89.8965713078029
27,2017/06/16 10:20:44+00,WEGDEEL,283,G0944,Mook en Middelaar,bestaand,0,transitie,,,open verharding,,,,,,,242.67979738,79.2293781821621
28,2015/12/04 16:48:32+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,3165.817543,447.078425983752
29,2015/12/04 16:48:32+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,195226.77926,2636.40257604004
30,2015/12/04 16:48:32+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,127182.506842405,2748.34044148264
31,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,2801.3468095,993.744464277318
32,2015/08/20 09:41:55+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,6216.27887,1442.83856439998
33,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,17824.3895105,1179.07678896394
34,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,351.324567,142.989974959366
35,2015/10/30 13:22:22+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,361.29645675,151.928255611483
36,2016/03/06 10:16:10+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,3579.52163715,796.144558093762
37,2016/03/07 19:27:45+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,93739.4275085,1431.46439187719
38,2016/03/06 10:24:41+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,5443.22747,367.892053841906
39,2016/03/06 10:24:41+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,10418.2582595,409.418369846831
40,2016/03/06 10:24:41+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,34221.9714985,1108.46619390252
41,2016/03/06 10:24:41+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,32371.160707,780.530475385294
42,2015/05/22 15:29:20+00,KUNSTWERKDEEL,283,G0777,Etten-Leur,bestaand,0,,,,,,,transitie,,,,7.8995375,16.5735986446992
43,2015/05/22 15:29:20+00,KUNSTWERKDEEL,283,G0777,Etten-Leur,bestaand,0,,,,,,,transitie,,,,0.333809,9.09253472973118
44,2015/05/22 15:29:20+00,KUNSTWERKDEEL,283,G0777,Etten-Leur,bestaand,0,,,,,,,transitie,,,,3.8568115,11.8466933032752
45,2015/05/22 15:29:20+00,KUNSTWERKDEEL,283,G0777,Etten-Leur,bestaand,0,,,,,,,transitie,,,,6.223161,13.8382078982728
46,2017/01/26 02:53:38+00,ONDERSTEUNENDWEGDEEL,283,G0855,Tilburg,bestaand,0,transitie,,,transitie,,,,,,,109.637863405,75.6585265070365
47,2017/01/26 02:53:38+00,ONDERSTEUNENDWEGDEEL,283,G0855,Tilburg,bestaand,0,transitie,,,transitie,,,,,,,64.775161905,105.3667296147
48,2016/06/06 08:40:16+00,OVERIGBOUWWERK,283,L0003,Ministerie van Defensie,bestaand,0,,,,,,,transitie,,,,14.883422,17.2012238668217
49,2016/06/06 08:40:16+00,OVERIGBOUWWERK,283,L0003,Ministerie van Defensie,bestaand,0,,,,,,,transitie,,,,870.3582915,142.547018803436
50,2016/08/05 09:32:22+00,OVERIGBOUWWERK,283,G0718,Vlissingen,bestaand,0,,,,,,,transitie,,,,1010.57973123,112.725616107747
51,2015/10/30 14:49:11+00,ONDERSTEUNENDWATERDEEL,283,W0652,Waterschap Brabantse Delta,bestaand,0,,,,,,,transitie,,,,5.731545,23.7655549724488
52,2015/10/05 16:00:15+00,ONBEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,429.9462345,536.009775870976
53,2015/10/05 16:00:15+00,ONBEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,726.3773385,567.983422830141
