Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers(in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/index,5485,7332,262684,44,4503,0.001,45.643,1884,8349,715830,272,567,5294,1815,540,48,14%,10%,0.652,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/index,5371,6838,281765,30,4374,0.001,32.598,1887,7168,605558,373,679,5140,1780,624,52,20%,13%,0.661,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/activiteitenrooster/index,5368,6073,940152,9,3205,0.001,46.022,790,1862,255479,547,3071,5069,713,2891,175,69%,57%,0.621,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/index,5361,7744,458527,84,5018,0.001,56.109,2762,16119,1108720,485,1216,5202,2676,1168,86,18%,23%,0.55,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2F,
Loket/start.do?osadcampaign=ProductenDiensten,5033,6272,225900,146,5247,0.001,35.302,1141,12796,751392,86,288,4920,1108,285,45,8%,6%,0.372,https://pki.utrecht.nl/Loket/start.do?osadcampaign=ProductenDiensten,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fstart.do%3Fosadcampaign%3DProductenDiensten,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/index,5002,6797,379426,71,4605,0.001,39.426,2759,14712,1023486,515,1028,4848,2667,977,76,19%,21%,0.594,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/activiteitenrooster/index,4999,5586,861317,9,3070,0.001,30.954,753,1964,274591,513,2958,4695,664,2753,172,68%,59%,0.645,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
verkiezingen/waterschapsverkiezingen/index,4958,6273,534736,29,4689,0.001,46.101,3459,10093,1007900,1174,1793,4852,3375,1762,108,34%,36%,0.592,http://www.utrecht.nl/verkiezingen/waterschapsverkiezingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2Fwaterschapsverkiezingen%2F,
parkeren/parkeren-bewoner/index,4728,6477,192856,209,4631,0.001,18.933,1171,10909,644578,125,320,4537,1125,309,41,11%,7%,0.511,http://www.utrecht.nl/parkeren/parkeren-bewoner/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2F,
stadskantoor/index,4440,5797,609520,82,4302,0.001,223.136,2270,8800,753887,970,1929,4296,2168,1857,137,43%,43%,0.623,http://www.utrecht.nl/stadskantoor/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskantoor%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Een verhuizing doorgeven&processName=Aanvragen,4381,5272,453577,7,4103,0.001,126.904,158,906,64291,50,564,4251,149,551,104,32%,13%,0.476,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Een+verhuizing+doorgeven&processName=Aanvragen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DEen+verhuizing+doorgeven%26processName%3DAanvragen,
parkeren/tarieven-2015/index,4263,5611,465590,66,3905,0.001,75.269,1421,5475,398082,542,1659,4181,1383,1611,109,38%,39%,0.588,http://www.utrecht.nl/parkeren/tarieven-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Ftarieven-2015%2F,
Loket/search/searchAction.do,4136,6249,171902,185,5271,0.024,28.398,28,258,15404,3,184,4111,28,184,42,11%,4%,0.729,https://pki.utrecht.nl/Loket/search/searchAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fsearch%2FsearchAction.do,
Loket/knowledgebase/faqs/ - Andere,3940,4523,276361,1159,3634,0.001,13.055,464,1721,126008,272,769,1986,240,383,70,59%,20%,0.479,,,
parkeren/parkeren-bezoeker/index,3667,4837,101031,28,3526,0.001,8.025,379,2274,167217,46,192,3621,372,185,28,12%,5%,0.467,http://www.utrecht.nl/parkeren/parkeren-bezoeker/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2F,
Loket/knowledgebase/start/startPageAction.do,3654,4721,231930,66,3737,0.003,21.241,70,314,16900,34,396,3628,67,390,63,49%,11%,0.814,https://pki.utrecht.nl/Loket/knowledgebase/start/startPageAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Fstart%2FstartPageAction.do,
Loket/prodcat/products/getProductDetailsAction.do?id=962,3549,4422,351980,50,3164,0.001,29.088,2136,12180,983928,422,790,3434,2048,760,99,20%,22%,0.74,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=962,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D962,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=personApplicantDetails,3474,5008,175544,4,4329,0.003,27.284,13,99,4306,4,178,3404,11,175,51,31%,5%,1.029,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=personApplicantDetails,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3DpersonApplicantDetails,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=deVerhuizing,3323,5228,345668,1,4571,0.001,31.721,22,137,5808,8,222,3263,21,220,104,36%,7%,0.682,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=deVerhuizing,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3DdeVerhuizing,
Loket/form/view/viewPageAction.do?process=prodcat&name=start,3322,4290,104513,49,3590,0.002,7.307,40,292,25883,11,125,3303,40,124,31,28%,4%,0.252,https://pki.utrecht.nl/Loket/form/view/viewPageAction.do?process=prodcat&name=start,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fform%2Fview%2FviewPageAction.do%3Fprocess%3Dprodcat%26name%3Dstart,
sport-in-utrecht/zwembaden/zwembad-fletiomare/index,3241,4534,234941,34,2908,0.001,96.502,1700,9377,643517,297,666,3156,1653,640,72,17%,21%,0.564,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2F,
Andere,3141,3808,203116,73,3146,0.001,31.024,889,6495,435773,227,573,1740,241,328,65,26%,18%,1.025,,,
Loket/login/initLoginAction.do?forward=/cases/mycases/getAllMyCasesAction.do&failedForward=/login/loginForwardFailedDAction.do&ltype=1,3130,3947,230746,64,3264,0.001,22.831,259,1815,144506,57,327,3060,246,322,74,22%,10%,0.226,https://pki.utrecht.nl/Loket/login/initLoginAction.do?forward=/cases/mycases/getAllMyCasesAction.do&failedForward=/login/loginForwardFailedDAction.do&ltype=1,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Flogin%2FinitLoginAction.do%3Fforward%3D%2Fcases%2Fmycases%2FgetAllMyCasesAction.do%26failedForward%3D%2Flogin%2FloginForwardFailedDAction.do%26ltype%3D1,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=woonsituatie,2948,3773,305775,3,3324,0.001,141.001,29,195,11727,9,232,2896,27,224,104,31%,8%,1.803,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=woonsituatie,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Dwoonsituatie,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=aanmeldingGrofvuil,2930,3851,321338,1,2963,0.001,45.145,104,538,39112,36,392,2879,98,377,110,35%,13%,0.609,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=aanmeldingGrofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DaanmeldingGrofvuil,
castellum-hoge-woerd/index,2922,4121,347142,28,2965,0.001,131.112,2339,7944,612777,870,1377,2777,2218,1307,119,37%,47%,0.59,http://www.utrecht.nl/castellum-hoge-woerd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcastellum-hoge-woerd%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=323,2900,3976,271557,20,3033,0.001,35.2,415,3144,228063,100,530,2776,382,514,94,24%,18%,0.667,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=323,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D323,
Loket/prodcat/products/getProductDetailsAction.do?id=430,2865,4927,354989,106,3604,0.001,23.517,1135,7488,579571,214,627,2783,1081,612,124,19%,22%,0.589,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=430,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D430,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/index,2849,3712,118705,15,2213,0.001,18.226,900,3841,334235,186,334,2730,840,304,42,21%,12%,0.644,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2F,
startpagina/burgerzaken/index,2812,3733,107415,31,2927,0.001,22.213,98,707,52416,14,161,2752,95,156,38,14%,6%,0.517,http://www.utrecht.nl/startpagina/burgerzaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fburgerzaken%2F,
startpagina/wonen-en-wijken/index,2715,3984,108480,53,3086,0.001,75.59,124,1034,65102,26,158,2650,123,153,40,21%,6%,0.468,http://www.utrecht.nl/startpagina/wonen-en-wijken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwonen-en-wijken%2F,
Loket/process/closeWindowAction.do,2706,2954,320686,3,2465,0.002,15.101,115,428,39527,79,1662,2655,108,1630,119,69%,61%,0.208,https://pki.utrecht.nl/Loket/process/closeWindowAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprocess%2FcloseWindowAction.do,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/activiteitenrooster/index,2686,3054,468532,5,1595,0.001,24.25,383,1212,164990,254,1444,2538,341,1363,174,66%,54%,0.53,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=overview,2597,2986,124578,3,2625,0.001,181.162,6,47,3500,2,56,2582,6,56,48,33%,2%,1.89,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=overview,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Doverview,
startpagina/werk-en-inkomen/index,2565,3570,89839,36,2894,0.001,15.643,174,1796,104751,39,141,2511,172,140,35,22%,5%,0.485,http://www.utrecht.nl/startpagina/werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwerk-en-inkomen%2F,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=confirmation,2506,2644,275174,3,2312,0.001,81.799,14,17,10,11,1649,2497,13,1645,110,79%,66%,0.796,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=confirmation,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Dconfirmation,
parkeren/parkeren-bezoeker/parkeergarages/index,2439,2970,147727,29,2045,0.001,17.177,1277,4499,320743,289,517,2386,1245,505,61,23%,21%,0.604,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2F,
sport-in-utrecht/zwembaden/index,2403,3708,141621,37,2533,0.001,21.892,1236,9001,493073,168,401,2348,1210,395,59,14%,17%,0.481,http://www.utrecht.nl/sport-in-utrecht/zwembaden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2F,
startpagina/wonen-wijken-veiligheid/index,2315,3612,92062,63,2710,0.001,76.304,82,749,36818,14,113,2263,81,109,40,17%,5%,0.48,http://www.utrecht.nl/startpagina/wonen-wijken-veiligheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwonen-wijken-veiligheid%2F,
winkels-open/index,2309,2668,248333,35,1729,0.001,45.41,1822,3077,264081,1459,1849,2270,1785,1822,108,80%,80%,0.616,http://www.utrecht.nl/winkels-open/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwinkels-open%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1060,2265,2745,186783,18,1960,0.003,54.375,730,6411,340935,144,360,2156,684,352,82,20%,16%,0.735,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1060,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1060,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=uwGegevens,2172,2959,218241,1,2340,0.018,127.043,26,97,7175,12,190,2149,24,186,100,46%,9%,0.81,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=uwGegevens,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DuwGegevens,
gemeentezaken/index,2160,2758,77153,38,2102,0.001,19.938,149,1201,79052,13,105,2115,149,103,36,9%,5%,0.483,http://www.utrecht.nl/gemeentezaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeentezaken%2F,
english/index,2101,3117,125676,117,2539,0.001,318.588,665,3025,154564,210,574,2029,635,550,60,32%,27%,0.769,http://www.utrecht.nl/english/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2F,
Loket/cases/mycases/getAllMyCasesAction.do,2098,3834,171356,27,3299,0.001,160.787,52,475,40958,18,255,2030,45,245,82,35%,12%,2.135,https://pki.utrecht.nl/Loket/cases/mycases/getAllMyCasesAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fcases%2Fmycases%2FgetAllMyCasesAction.do,
Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring omtrent het gedrag,2086,2544,222562,314,2017,0.001,17.889,1140,5925,461503,353,586,1964,1054,549,107,31%,28%,0.63,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring+omtrent+het+gedrag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerklaring+omtrent+het+gedrag,
werk-en-inkomen/uitkeringen/index,2044,2766,143083,62,2275,0.001,41.528,568,4056,290385,135,289,1991,550,278,70,24%,14%,0.588,http://www.utrecht.nl/werk-en-inkomen/uitkeringen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fuitkeringen%2F,
werken-en-leren-bij-utrecht/index,1989,2479,139791,132,1844,0.001,60.115,1079,3192,190021,355,756,1965,1061,752,70,33%,38%,0.512,http://www.utrecht.nl/werken-en-leren-bij-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F,
startpagina/verkeer-en-bereikbaarheid/index,1970,2833,60806,24,1981,0.001,39.97,79,551,34989,22,101,1933,78,100,31,28%,5%,0.511,http://www.utrecht.nl/startpagina/verkeer-en-bereikbaarheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fverkeer-en-bereikbaarheid%2F,
verkeersbeleid/milieuzone/index,1962,2645,178529,34,1945,0.001,29.299,1202,4846,400132,345,626,1905,1168,609,91,29%,32%,0.593,http://www.utrecht.nl/verkeersbeleid/milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2F,
wijk-vleuten-de-meern/index,1891,2543,189656,61,1740,0.001,131.762,1042,7011,520650,278,495,1842,1014,473,100,27%,26%,0.641,http://www.utrecht.nl/wijk-vleuten-de-meern/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2F,
startpagina/milieu-en-afval/index,1847,2565,71744,50,1908,0.001,132.087,478,3694,224598,53,157,1820,473,156,39,11%,9%,0.537,http://www.utrecht.nl/startpagina/milieu-en-afval/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fmilieu-en-afval%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,1797,2716,297861,2,2101,0.019,8.472,39,280,39638,26,156,1779,34,149,166,67%,9%,0.351,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DregistrerenGrofvuil,
wmo-in-utrecht/index,1773,2305,202280,100,1821,0.001,10.133,878,6490,469699,244,451,1725,855,442,114,28%,25%,0.465,http://www.utrecht.nl/wmo-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=421,1759,2419,220796,81,1932,0.001,35.344,732,4684,358738,257,489,1702,696,473,126,35%,28%,0.507,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=421,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D421,
vergunningen-openbare-ruimte/vrijmarkt-2015/index,1726,2757,216515,127,1933,0.001,22.932,1282,2922,217777,789,1319,1669,1231,1279,125,62%,76%,0.54,http://www.utrecht.nl/vergunningen-openbare-ruimte/vrijmarkt-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvergunningen-openbare-ruimte%2Fvrijmarkt-2015%2F,
leidsche-rijn/actueel/index,1720,2223,230104,34,1547,0.001,63.701,885,3560,373749,453,798,1672,860,771,134,51%,46%,0.901,http://www.utrecht.nl/leidsche-rijn/actueel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Factueel%2F,
wonen-in-veemarkt/index,1713,2293,120010,28,1545,0.001,10.475,1236,7851,609404,184,345,1657,1202,339,70,15%,20%,0.558,http://www.utrecht.nl/wonen-in-veemarkt/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1083,1702,2331,193639,27,1919,0.001,13.313,1032,4239,316377,337,566,1670,1005,552,114,33%,33%,0.463,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1083,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1083,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,1690,2401,131700,18,2112,0.002,85.124,533,4862,401407,43,160,1645,509,154,78,8%,9%,0.539,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dwat_wilt_u,
gemeenteraad/index,1661,2083,66643,37,1593,0.001,16.32,417,2720,127652,53,175,1573,412,174,40,13%,11%,0.463,http://www.utrecht.nl/gemeenteraad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2F,
