FID,CLUS_ID,ACNR,HOID,K_PRE_HO,K_NA_HO,LEGENDA,GEOMETRIE
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e57,C0268005700,5700,966,6,6,HO PE,"POLYGON ((184236.178011518 429132.829371026, 184257.11065053 429149.811857671, 184234.318096606 429176.790996232, 184213.629278373 429159.483415216, 184236.178011518 429132.829371026))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e56,C0268005698,5698,964,6,6,HO PE,"POLYGON ((184189.67706019 429095.131508852, 184236.216131536 429132.823138376, 184190.498996229 429186.590134718, 184172.272895774 429170.946065161, 184177.919940339 429164.382011867, 184150.921971871 429142.045563134, 184189.67706019 429095.131508852))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e55,C0268005697,5697,963,6,6,HO PE,"POLYGON ((184197.035390635 429086.798873599, 184241.75006375 429031.500845901, 184285.935569135 429068.013419214, 184275.881382281 429080.713444714, 184281.173059573 429084.682202682, 184284.083482083 429117.755185755, 184264.504276104 429141.832317432, 184197.035390635 429086.798873599))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e54,C0268004436,4436,961,6,6,HO PE,"POLYGON ((184513.377169889 429004.579261188, 184501.059115413 428980.044954339, 184544.210392042 428958.767775838, 184556.079199825 428983.252379306, 184513.377169889 429004.579261188))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e53,C0268004434,4434,959,5,6,HO PE,"POLYGON ((184535.555267647 429053.032434898, 184515.75950311 429013.719719408, 184546.986624633 428997.966751854, 184566.78238917 429037.418874136, 184535.555267647 429053.032434898))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e52,C0268004432,4432,958,6,6,HO PE,"POLYGON ((184596.127741334 429009.788870304, 184569.537062944 429022.356603872, 184551.304217832 428985.676567441, 184556.162198481 428983.335377962, 184544.293390698 428958.684777182, 184567.420392027 428946.950202466, 184596.127741334 429009.788870304))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e51,C0268004431,4431,957,6,3,HO PV,"POLYGON ((184579.09028996 429041.150205354, 184579.06425818 429041.176237134, 184569.562102941 429022.203202883, 184596.244839877 429009.766828775, 184602.15164386 429022.558931884, 184602.945395453 429022.162056087, 184605.591234099 429027.850609175, 184579.09028996 429041.150205354))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e50,C0268004430,4430,956,6,6,HO PE,"POLYGON ((184557.814331274 429052.251838027, 184605.439878665 429028.304528887, 184626.696478913 429072.163083829, 184571.267875735 429079.158926949, 184557.814331274 429052.251838027))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e4f,C0268004429,4429,955,6,6,HO PE,"POLYGON ((184557.653665339 429051.945277062, 184571.147442433 429078.932831249, 184565.855765141 429079.461998978, 184553.023447709 429084.885968202, 184541.646341532 429085.150552067, 184531.856738542 429084.621384338, 184522.860887146 429083.827632744, 184516.643166329 429083.166173083, 184499.445215131 429082.240129556, 184499.180631266 429077.477619994, 184498.386879673 429076.022408739, 184529.475483761 429060.411960728, 184531.856738542 429065.042178359, 184557.653665339 429051.945277062))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e4e,C0268004428,4428,954,6,6,HO PE,"POLYGON ((184477.68026744 429034.855130799, 184508.82854555 429019.223095316, 184529.439673816 429060.329558993, 184498.407188561 429075.961594476, 184477.68026744 429034.855130799))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e4d,C0268004427,4427,951,6,6,HO PE,"POLYGON ((184440.505609994 429053.725993775, 184440.593237121 429053.725993775, 184477.711050473 429034.890144581, 184499.129003141 429077.472583022, 184499.635936932 429082.288454036, 184455.665102918 429080.627521679, 184440.505609994 429053.725993775))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e4c,C0268003273,3273,949,6,6,HO PE,"POLYGON ((184153.423824347 428539.096361824, 184243.233104347 428717.944026717, 184204.688348982 428737.601851953, 184196.979397909 428741.841775043, 184190.426789497 428746.467145687, 184101.00295705 428568.775823455, 184112.951831213 428560.681424828, 184133.380551557 428549.117998219, 184153.423824347 428539.096361824))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e4b,C0268002536,2536,947,6,6,HO PE,"POLYGON ((184032.826659516 429305.356907987, 184029.617156842 429287.704643281, 184077.763174451 429230.831532983, 184113.073571509 429263.266490542, 184075.695569353 429283.306220193, 184032.826659516 429305.356907987))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e4a,C0268002530,2530,944,6,7,HO PU,"POLYGON ((184389.512088439 428938.086828722, 184389.512088439 428937.985557291, 184451.996561298 428906.692685146, 184503.844842915 429009.628122303, 184441.08575353 429040.884609958, 184389.512088439 428938.086828722))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e49,C0268001120,1120,939,6,5,HO PE,"POLYGON ((183953.587718059 429192.701472167, 183884.423807429 429136.129903961, 183919.193708153 429093.090405227, 183988.921455011 429150.22580966, 183953.587718059 429192.701472167))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e48,C0268001115,1115,938,5,0,HO onverdacht,"POLYGON ((183980.879067654 429017.406487586, 183996.614617218 428998.126895327, 184066.503139157 429054.97334015, 184050.625827885 429074.536455825, 183980.879067654 429017.406487586))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e47,C0268001114,1114,937,6,8,HO PU,"POLYGON ((183985.691902608 428977.440966696, 183957.523324114 429011.801573966, 183886.428262657 428955.761937289, 184076.721471397 428723.358434031, 184146.744216619 428779.876792675, 183985.691902608 428977.440966696))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e46,C0268001110,1110,936,5,2,HO PV,"POLYGON ((184130.663438332 428833.429405316, 184201.289253506 428889.859076737, 184185.673495377 428909.023870804, 184115.402583797 428852.23929579, 184130.663438332 428833.429405316))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e45,C0268001107,1107,935,6,7,HO PU,"POLYGON ((184268.243829649 428847.146324804, 184221.562472851 428753.400977136, 184239.163640169 428744.600393477, 184286.227631039 428838.154424109, 184268.243829649 428847.146324804))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e44,C0268001103,1103,933,5,5,HO PE,"POLYGON ((184272.809462925 428743.914424238, 184353.66872988 428703.236756199, 184393.580433868 428783.705805532, 184313.079645613 428824.738257684, 184272.809462925 428743.914424238))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e43,C0268001100,1100,931,5,7,HO PU,"POLYGON ((183797.6088899 429065.207151217, 183885.591850169 428955.134627923, 183957.523324114 429011.801573966, 183867.335236872 429121.859808132, 183797.6088899 429065.207151217))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e42,C0268001099,1099,930,5,0,HO onverdacht,"POLYGON ((183996.387439224 428997.639999333, 184058.511826938 428921.836847351, 184128.330519553 428979.116672721, 184066.491106094 429054.919824703, 183996.387439224 428997.639999333))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e41,C0268003633,3633,924,8,8,HO PU,"POLYGON ((183248.918028593 427897.641319513, 183385.815589644 427876.685612742, 183390.515935088 427912.721594478, 183390.124239634 427916.246853561, 183389.536696454 427920.163808098, 183388.165762366 427923.297371727, 183386.011437371 427926.235087629, 183382.290330561 427929.172803532, 183379.744310112 427930.543737619, 183375.239812395 427931.914671707, 183352.325628357 427934.85238761, 183289.850203499 427944.448926224, 183286.520792143 427944.840621678, 183283.191380787 427944.448926224, 183279.470273978 427943.46968759, 183276.728405802 427942.098753502, 183273.007298992 427939.944428507, 183252.639135402 427925.060001268, 183248.918028593 427897.641319513))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e40,C0268003626,3626,923,6,6,HO PE,"POLYGON ((182875.917957925 428190.693717225, 182874.477395691 428189.931066631, 182869.138841531 428186.287291569, 182863.630809461 428183.236689192, 182841.937636999 428168.915805809, 182858.207516345 428147.053155438, 182890.238841307 428172.305364006, 182875.917957925 428190.693717225))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e3f,C0268003286,3286,922,5,6,HO PE,"POLYGON ((183753.756133358 428976.634981679, 183766.364964438 428961.246250833, 183812.829003379 428998.973461939, 183774.010305305 429046.210748137, 183734.206219781 429013.557097139, 183751.843958277 428991.867445746, 183745.170219387 428986.862141578, 183753.756133358 428976.634981679))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e3e,C0268003282,3282,920,6,8,HO PU,"POLYGON ((183800.535143588 428916.81423357, 183800.677131801 428916.81423357, 183832.48249153 428878.193439614, 183879.904751901 428917.096659592, 183848.29693054 428955.712549943, 183800.535143588 428916.81423357))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e3d,C0268003278,3278,918,5,6,HO PE,"POLYGON ((183947.39970877 428739.722350373, 184016.836564083 428796.796058277, 183985.259431867 428835.173320059, 183915.605200343 428778.35364943, 183947.39970877 428739.722350373))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e3c,C0268003277,3277,916,5,6,HO PE,"POLYGON ((183975.927498194 428705.180978999, 183975.927498194 428705.212237242, 184045.360708853 428761.932415716, 184016.87181127 428796.788360178, 183947.666455227 428739.847244447, 183975.927498194 428705.180978999))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e3b,C0268003268,3268,915,5,6,HO PE,"POLYGON ((183970.174646551 428676.633943939, 183893.856158939 428615.102163302, 183954.959117071 428540.494285391, 184031.011950608 428603.077271027, 183970.174646551 428676.633943939))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e3a,C0268002538,2538,914,6,2,HO PV,"POLYGON ((183381.187576023 428604.733725704, 183433.491272414 428647.569644823, 183419.174145809 428665.004210287, 183367.216831513 428621.937369771, 183381.187576023 428604.733725704))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e39,C0268002526,2526,913,5,6,HO PE,"POLYGON ((183720.88095271 428329.199963343, 183749.456010085 428294.698227401, 183804.066119735 428338.513315376, 183801.314447543 428341.899988843, 183837.086186035 428371.110047493, 183811.262800852 428402.436777059, 183720.88095271 428329.199963343))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e38,C0268002525,2525,912,5,7,HO PU,"POLYGON ((183721.001494106 428329.301782749, 183797.37478998 428391.374728985, 183777.731452564 428415.575320682, 183701.986743487 428353.502374446, 183716.758533224 428335.587650723, 183721.001494106 428329.301782749))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e37,C0268002522,2522,911,5,5,HO PE,"POLYGON ((183650.126416557 428416.245759545, 183726.012647276 428478.463041874, 183710.197259427 428498.123188605, 183634.121304656 428436.001061808, 183650.126416557 428416.245759545))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e36,C0268002520,2520,910,6,6,HO PE,"POLYGON ((183537.134058049 428555.097654572, 183556.713264028 428530.491355165, 183632.913417028 428592.668563343, 183612.805043319 428617.804030478, 183537.134058049 428555.097654572))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e35,C0268002514,2514,909,5,8,HO PU,"POLYGON ((183434.59492133 428769.167289116, 183511.853409788 428671.27125922, 183545.720144455 428699.317148866, 183467.138736673 428795.625675574, 183434.59492133 428769.167289116))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e34,C0268000708,708,908,5,4,HO PV,"POLYGON ((183753.067523747 428631.939365076, 183758.008690164 428635.29935824, 183829.556779874 428694.000415267, 183801.886247942 428727.995640212, 183725.792285129 428666.132236678, 183753.067523747 428631.939365076))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e33,C0268000707,707,907,6,8,HO PU,"POLYGON ((183846.62061873 428518.072299647, 183879.052833579 428478.648709143, 183954.598531639 428540.60006565, 183894.037453592 428615.15252815, 183818.364167822 428552.999035371, 183846.62061873 428518.072299647))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e32,C0268000691,691,906,6,6,HO PE,"POLYGON ((181021.574595509 426201.851315117, 181097.179399395 426195.003053896, 181105.397312861 426305.944885684, 181031.436091668 426312.245286008, 181021.574595509 426201.851315117))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e31,C0268000688,688,905,6,5,HO PE,"POLYGON ((181125.834996674 426579.357379097, 181085.882833122 426501.834306774, 181173.195508434 426456.855049795, 181213.147671986 426531.203115743, 181125.834996674 426579.357379097))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e30,C0268000686,686,904,5,7,HO PU,"POLYGON ((180893.220292762 426597.569681613, 180770.341440269 426663.206832635, 180691.72950358 426515.904854179, 180817.279635476 426451.412537187, 180893.220292762 426597.569681613))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e2f,C0268000684,684,903,5,0,HO onverdacht,"POLYGON ((180934.958243247 426688.125246318, 180934.468780953 426687.880515171, 180884.054164638 426714.800941358, 180848.812879448 426730.953197071, 180806.719122136 426649.702456214, 180896.290721996 426603.203538254, 180936.42663013 426678.580731579, 180934.958243247 426688.125246318))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e2e,C0268000682,682,902,5,0,HO onverdacht,"POLYGON ((181308.713146513 426485.256138081, 181258.748868612 426306.07390009, 181367.636536313 426304.695575183, 181397.615103054 426411.515755523, 181389.000572382 426437.014766314, 181308.713146513 426485.256138081))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e2d,C0268000681,681,901,5,7,HO PU,"POLYGON ((181259.876764725 426309.514647658, 181308.754862672 426485.222982518, 181232.066812445 426529.887451331, 181119.141551671 426314.571002617, 181259.876764725 426309.514647658))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e2c,C0268000677,677,900,5,6,HO PE,"POLYGON ((180806.488741333 426353.642823081, 180882.839313769 426341.057563888, 180939.053471496 426453.76555177, 180855.431415971 426497.953795158, 180793.623809713 426379.932031173, 180806.488741333 426353.642823081))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e2b,C0268004488,4488,755,7,8,HO PU,"POLYGON ((183448.931863906 428417.813134289, 183448.931863906 428415.654944759, 183333.468724006 428333.643742587, 183334.547818771 428333.643742587, 183374.953603916 428282.208722674, 183252.251319939 428195.949864559, 183335.626913536 428091.926515133, 183365.841566968 428114.587505207, 183402.530788992 428142.643969108, 183379.869798919 428171.779527774, 183336.706008302 428226.81336081, 183500.728412646 428348.751069303, 183448.931863906 428417.813134289))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e2a,C0268000314,314,741,8,8,HO PU,"POLYGON ((184502.309823271 428233.141304952, 184532.475855848 428186.30457016, 184548.55117584 428164.672349431, 184567.031052591 428181.081198661, 184529.948119572 428249.753296845, 184522.981526413 428246.444261952, 184502.309823271 428233.141304952))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e29,C0268001546,1546,731,6,6,HO PE,"POLYGON ((188270.43567094 428575.784717418, 188272.90921505 428571.876813777, 188289.698456985 428584.686787332, 188260.359559397 428623.840018624, 188245.322900633 428612.368753175, 188270.43567094 428575.784717418))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e28,C0268005913,5913,730,8,8,HO PU,"POLYGON ((185216.031152746 429753.763199745, 185418.422325651 429669.889380343, 185425.715701252 429591.485592641, 186016.479124866 429596.955624341, 186011.009093166 429642.539221842, 185905.255146963 429615.189063342, 185905.255146963 429735.529760745, 185973.250299528 429904.487412572, 185805.95966822 429975.797889833, 185814.743077493 429997.129026638, 185829.800350533 429992.109935625, 185847.367169079 430038.536527496, 185854.268419222 430036.654368366, 185885.017000025 430118.428928501, 185487.709393853 430355.46668676, 185324.174923598 430420.501738758, 185337.493604211 430357.238005845, 185349.860950495 430344.394992397, 185397.42766697 430337.73565209, 185401.708671453 430321.087301324, 185356.520290801 430300.633613239, 185354.141954978 430216.440525077, 185364.130965437 430209.781184771, 185405.874021006 430174.220558979, 185216.031152746 429753.763199745))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e27,C0268000628,628,722,8,8,HO PU,"POLYGON ((185747.503057501 429566.005738196, 185444.019325741 429541.252174224, 185450.068953824 429487.612138551, 185464.675554342 429474.444066872, 185535.973672609 429479.949276312, 185550.08947147 429464.220243295, 185556.542408093 429391.624706294, 185597.276570521 429394.447866066, 185590.823633899 429482.772436084, 185746.500729913 429494.871692251, 185747.503057501 429566.005738196))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e26,C0268004423,4423,72,6,6,HO PE,"POLYGON ((184289.033718268 429071.781287565, 184289.180765448 429071.634240384, 184351.234675481 429059.57637161, 184352.558100103 429059.42932443, 184360.381010088 429074.388145734, 184316.519057959 429090.517340978, 184293.445133673 429087.221241483, 184292.121709051 429076.63384451, 184289.033718268 429071.781287565))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e25,C0268005775,5775,679,8,8,HO PU,"POLYGON ((187439.11174261 429203.19490437, 187438.975677691 429203.330969289, 187383.54650492 429184.94317484, 187384.524338304 429172.045086094, 187430.922706344 429162.836249689, 187497.517753512 429152.156440353, 187496.116281462 429142.435895873, 187617.020838974 429122.378138611, 187619.637182338 429134.209685842, 187626.804615813 429132.91132794, 187624.218596316 429121.101838903, 187636.372887951 429118.946822656, 187639.738280445 429137.009838812, 187636.717690551 429137.738564334, 187637.3210951 429140.92798838, 187629.563036609 429142.479600078, 187629.04583271 429140.065981881, 187625.178744297 429140.767992983, 187624.487447304 429137.809882518, 187617.850456464 429139.039623211, 187620.892387263 429151.345615986, 187624.887469157 429150.460573615, 187625.731822624 429147.474067698, 187640.872341825 429144.363002108, 187645.158698859 429164.965169788, 187641.701959315 429165.449113324, 187642.04763327 429167.45402226, 187629.603370913 429169.942874731, 187629.887742318 429171.861742745, 187597.732232321 429177.340297354, 187597.248288785 429175.058849255, 187565.434221272 429181.062245361, 187565.16974582 429179.137801917, 187439.11174261 429203.19490437))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e24,C0268005237,5237,677,8,8,HO PU,"POLYGON ((187983.764951895 428503.66348696, 188033.857847698 428520.012524672, 188032.624413661 428522.564851855, 187996.140239663 428545.354668571, 187988.525248107 428549.952399322, 187973.520539224 428534.328795699, 187978.816424312 428528.638087106, 187969.640582724 428522.464169025, 187974.718424908 428516.576051122, 187983.764951895 428503.66348696))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e23,C0268001177,1177,673,6,8,HO PU,"POLYGON ((188176.398390864 428615.995481392, 188176.464814895 428616.061905423, 188225.174628953 428604.104294134, 188242.285589732 428616.937514719, 188180.516680816 428638.114683876, 188176.398390864 428615.995481392))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e22,C0268004581,4581,670,5,5,HO PE,"POLYGON ((187742.071730694 429003.30462412, 187741.870646957 429003.204082252, 187738.854390901 428964.294379126, 187756.248134159 428963.791669783, 187757.354094713 428973.946398506, 187759.13195155 428981.935247861, 187762.783355614 428999.484033116, 187757.153010976 429001.997579829, 187752.427543154 429002.902456646, 187742.071730694 429003.30462412))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e21,C0268006135,6135,660,8,8,HO PU,"POLYGON ((186530.123060695 428522.877621906, 186530.244056505 428522.756626095, 186537.745796761 428549.012716989, 186556.016164157 428544.293880377, 186665.386515973 428511.831224539, 186702.179033345 428673.89350344, 186646.552251128 428689.661725171, 186504.20024939 428745.288507389, 186424.045122258 428559.135889732, 186530.123060695 428522.877621906))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e20,C0268005647,5647,648,6,7,HO PU,"POLYGON ((187203.914703021 428126.355866891, 187220.594647116 428145.092984422, 187197.728900712 428166.982273839, 187193.320060684 428170.799984478, 187182.308767681 428159.616351057, 187176.755661699 428157.020093714, 187203.914703021 428126.355866891))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e1f,C0268002560,2560,636,8,8,HO PU,"POLYGON ((187423.933623179 428063.681595386, 187421.328351055 428044.923636087, 187428.102058579 428043.881527237, 187424.454677604 428019.001178445, 187438.002092654 428017.047224351, 187443.863954935 428015.484061076, 187449.465290003 428037.107819712, 187470.046939789 428033.851229556, 187466.92061324 428052.348661643, 187423.933623179 428063.681595386))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e1e,C0268002872,2872,63,5,5,HO PE,"POLYGON ((188354.162728285 428722.250786833, 188355.50624185 428726.43060681, 188340.817160216 428731.297111498, 188339.443790795 428726.997868093, 188347.057034324 428724.519831964, 188346.101646901 428721.683525551, 188353.237196719 428719.384624563, 188354.162728285 428722.250786833))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e1d,C0268000797,797,6,5,8,HO PU,"POLYGON ((185601.460980818 428653.008496604, 185602.009957384 428652.459520038, 185605.30381678 428450.436143762, 185636.046504474 428465.807487609, 185669.559687059 428480.302637901, 185711.052848841 428495.46360086, 185704.27031278 428511.422509238, 185697.48777672 428590.020132998, 185688.311404403 428590.020132998, 185686.316540855 428652.259875671, 185601.460980818 428653.008496604))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e1c,C0268005917,5917,581,5,7,HO PU,"POLYGON ((186472.209649677 426811.864396842, 186492.571155701 426876.83939504, 186426.074151852 426895.429498113, 186398.393512802 426903.500777928, 186388.921369213 426872.634654853, 186416.930513052 426864.396542188, 186407.668760807 426832.962716384, 186472.209649677 426811.864396842))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e1b,C0268001743,1743,579,5,7,HO PU,"POLYGON ((187406.228150466 426993.222760908, 187410.36030917 427046.940824065, 187411.836080136 427046.645669872, 187414.197313681 427065.240384041, 187464.668680714 427059.042145985, 187470.276610384 427097.70734529, 187323.289822185 427117.482676232, 187310.303037685 427046.055361485, 187402.095991761 427039.561969235, 187405.047533693 427039.561969235, 187402.391145955 426993.813069294, 187406.228150466 426993.222760908))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e1a,C0268003479,3479,526,8,5,HO PE,"POLYGON ((187856.701442843 428557.104196604, 187854.549596458 428554.845875879, 187872.779373628 428540.993643884, 187887.948735177 428557.413575736, 187896.483251954 428566.905430796, 187888.773746196 428574.016922488, 187879.492372235 428582.576411807, 187856.701442843 428557.104196604))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e19,C0268005356,5356,523,7,8,HO PU,"POLYGON ((188241.637987988 428538.3656146, 188241.808984208 428538.28011649, 188253.949715826 428516.136106004, 188230.627683396 428499.145772527, 188243.195416964 428482.476989058, 188270.182971151 428503.246822428, 188263.700666469 428515.814555996, 188268.992343761 428519.915605897, 188254.059708762 428545.179947097, 188241.637987988 428538.3656146))"
