Leveranciers;9010 - GWW;9410 - Lokale belastingen - waterschapslasten;9560 - I&M specifiek;Eindtotaal
Ahoy' Horeca B.V.;1;;;1
Ahoy Rotterdam N.V.;1;;;1
Ahrend Inrichten;4;;;4
Ai Uchi B.V.;1;;;1
Aicom;2;;;2
Aikima;1;;;1
Aisling-IT B.V.;2;;;2
Ajilon Young Professionals B.V.;1;;;1
Ajms Management Advies;1;;;1
Akropolis;1;;;1
Aktiviteitenpark De Wilgenweard;1;;;1
AKZO Nobel Industrial Chemicals B.V.;1;;;1
Alarma 33;1;;;1
Albar Industrie;3;;;3
Albron Nederland B.V.;1;;;1
Alcedo Natuurprojecten;1;;;1
Alert Teleservices B.V.;2;;;2
Alewijnse Zwolle B.V.;3;;;3
Alfabet 2.0 B.V.;2;;;2
Algemeen Groninger Persbureau Tammeling B.V.;1;;;1
All Han(d)s! Management & Project Support;3;;;3
All Risk B.V.;1;;;1
Allen & Overy Stg. Derdengelden Advocaten;;;1;1
Allers;1;;;1
All-round Catering Service Hapjesgigant M & M;1;;;1
Allround Zeilcharter Oxalex B.V.;1;;;1
AllSecur;;;1;1
Alltec Engineering & Partners B.V.;1;;;1
Almad Eco B.V.;1;;;1
Almelose Borstelindustrie B.V.;1;;;1
Alpha Bedrijfsdeuren B.V.;1;;;1
AlphaHuys Holding B.V.;1;;;1
Altenburg & Wymenga Ecologisch Onderzoek B.V.;2;;;2
Alterego Consult B.V.;1;;;1
Alternate Computerversand Nederland;1;;;1
Alticom B.V.;1;;;1
Altrex B.V.;1;;;1
Alt-Tab Bedrijfsondersteuning;1;;;1
Alvero Kantoormeubelverhuur B.V.;1;;;1
Always Green B.V.;1;;;1
AL-West B.V.;4;;;4
AM&P B.V.;1;;;1
Amadore Hotel Restaurant Arion;1;;;1
Amadore Hotel Restaurant Arneville;1;;;1
Amazing Bread Company B.V.;1;;;1
Ambiënt Advies B.V.;2;;;2
Amcar Autoverhuur B.V.;1;;;1
Amersfoort Beheer B.V.;1;;;1
AMI Maastricht;4;;;4
Amis Services B.V.;1;;;1
Amos Milieutechniek B.V.;1;;;1
Amsterdam Consultants;3;;;3
Amundsen International Nederland B.V.;3;;;3
AMVM Advies;2;;;2
Anac Verzekeringen B.V.;;;1;1
Ander Licht;2;;;2
Andersson Elffers Felix;3;;1;3
André Roosenburg Fotografie;1;;;1
Andre Weijers Grond-, Water en Wegenbouw B.V.;2;;;2
Ankerman Management Partner B.V.;1;;;1
Ankerslot B.V.;1;;;1
Anne Marije Eko Kitchen;1;;;1
Anno '99 IT Consultancy B.V.;2;;;2
Annonu Techniek B.V.;2;;;2
anoniem;5;1;4;6
Antea Inspection B.V.;7;;;7
Antea Nederland B.V.;7;;;7
Anton Cornelissen Mens & Techniek;1;;;1
Antoon Kars Catering;1;;;1
Antropia B.V.;2;;;2
ANWB B.V.;2;;;2
Apartt Rotterdam Horeca B.V.;1;;;1
APC Verhuizen B.V.;1;;;1
Aperitivo B.V.;1;;;1
Apollo13;1;;;1
Applaus B.V.;1;;;1
APPM Management Consultants B.V.;3;;;3
APPMA Projectmanagement en Advies;1;;;1
Aqua Dordt B.V.;1;;;1
Aqua Vision B.V.;4;;;4
Aquabus B.V.;1;;;1
Aqualab Zuid B.V.;3;;;3
Aquapublications;1;;;1
Aquasurvey;2;;;2
AquaTerra-KuiperBurger;3;;;3
AquaTerra-KuiperBurger (ATKB);3;;;3
A-Quin B.V.;2;;;2
AQUON vestiging Tiel;2;;;2
ARA Adviesburo B.V.;1;;;1
ARA Groep B.V.;4;;;4
Aracor Holding B.V.;2;;;2
ARAG SE Nederland;1;;2;2
Aram Planning Consultants B.V.;3;;;3
Arane adviseurs in verkeer en vervoer B.V.;5;;;5
Arbo Unie B.V.;4;;;4
Arc2 Architecten B.V.;2;;;2
ARCADIS Nederland;7;;;7
ARCADIS Nederland B.V.;8;;4;8
Arch.- & Konstruktieburo Van Rossum V.O.F.;2;;;2
Archeon Novum;1;;;1
Architektenburo K. van Velsen B.V.;3;;;3
ArchiXL B.V.;1;;;1
Arfman Hekwerk B.V.;3;;;3
ARMAEX B.V.;3;;;3
ARN Sustainability B.V.;2;;;2
Arnhem-Diamant B.V.;2;;;2
Arnolds Licht en Geluid;1;;;1
Aron Nijs Fotografie;1;;;1
Arpalight Projektverlichting B.V.;3;;;3
Arriva Personenvervoer Nederland B.V.;1;;;1
ARS Traffic & Transport Technology B.V.;4;;;4
Art Centre Delft;1;;;1
ARTeFACT! Advies en Onderzoek in Erfgoed;3;;;3
Artesia B.V.;1;;;1
Artium Experts Hoogeveen B.V.;1;;;1
Artium Experts Rotterdam B.V.;1;;1;2
Arup B.V.;7;;;7
Arup-Nebest;7;;;7
ASB Security B.V.;1;;;1
Asbestsanering Het Zuiden B.V.;2;;;2
Asbestzoeken B.V.;1;;;1
Asp4all Hosting B.V.;1;;;1
ASR Schadeverzekering N.V.;;;1;1
Ass. Autofauteuils B.V.;1;;;1
Assuradeuren Gilde B.V.;;;1;1
Assurantiebedrijf Hoofdstad B.V.;;;1;1
Astoria B.V.;1;;;1
Asya B.V.;1;;;1
At Osborne B.V.;5;;;5
ATABNL.com;2;;;2
AtaxiS;1;;;1
Atelier Groenblauw / Opmaat;1;;;1
Atelier Heuvel;1;;;1
AtelierSpek;1;;;1
AtHand B.V.;3;;;3
Atlantic Hotel Exploitatie B.V.;1;;;1
Atlantis Games B.V.;2;;;2
Atlas Landkaartenbedrijf;1;;;1
Atos B.V.;4;;;4
Atos Consulting N.V.;3;;;3
Atos Nederland B.V.;5;;1;5
ATP Specials B.V.;1;;;1
Atrinet B.V.;4;;;4
Attas B.V.;1;;;1
Au Coin Des Bons Enfants;1;;;1
Aude;2;;;2
Auto- en Motorrijschool Dekker;1;;;1
Autobedrijf W.J.B. Lommers;1;;;1
Autogrill Nederland Hotel Amsterdam B.V.;1;;;1
AutomotiveNL B.V.;2;;;2
Autoschade A. van Wijk;;;1;1
Autoshop 'De Eend';1;;;1
Auxilium B.V.;2;;;2
AVA Management, Consulting & Engineering B.V.;1;;;1
Avance Maastricht B.V.;3;;;3
Avcommit B.V.;4;;;4
Aveco De Bondt;4;;;4
Avenue2 Infra;4;;;4
Avex B.V.;1;;;1
Aviacare Holding B.V.;;;1;1
Avic B.V.;1;;;1
Aviste B.V.;1;;;1
Aviv B.V.;2;;;2
AVL E-Style;1;;;1
AVplus;1;;;1
Awareness B.V.;2;;;2
Axians;4;;;4
Axolution;1;;;1
A-Z Slotenservice;1;;;1
AZDA B.V.;1;;;1
Azerty Hardware;1;;;1
B & D Natuuradvies;2;;;2
B en P V.O.F.;1;;;1
B.4. B.V.;1;;;1
B.J. Bink Beheer B.V.;2;;;2
B.O.W. B.V.;;;1;1
B.S.I. Beheer B.V.;1;;;1
B.V. Aannemingsbedrijf De Klerk;9;;;9
B.V. Aannemingsbedrijf Gebr. Van der Steen;1;;;1
B.V. Algemeen Nederlands Persbureau ANP;2;;;2
B.V. Boek & Offermans Taxaties;1;;;1
B.V. Bouwmaatschappij 'Hendriks';2;;;2
B.V. Cartografisch Instituut 'Cito-Plan';1;;;1
B.V. 'Esbi';2;;;2
B.V. Exploitatie Bovendonk;1;;;1
B.V. HAEVER!;2;;;2
B.V. Hand.- & Ing.bur. W.B. van den Berg;1;;;1
B.V. Ingenieursbureau Ir. K. Boorsma;6;;;6
B.V. Koek;1;;;1
B.V. Kwadraat Technische Advisering;1;;;1
B.V. Nederlands Wegen Markeerbedrijf;2;;;2
B.V. Perscentrum Nieuwspoort;;;1;1
B.V. Princeville Exploitatie;1;;;1
B.V. Recreatiecentrum Oostervant;1;;;1
B.V. Recreatiemaatschappij Rivierengebied;1;;;1
B.V. Rederij G. Doeksen en Zonen;2;;;2
B.V. Scheepswerf Maaskant;5;;8;8
B2.DNA;1;;;1
Baarends & Bak Catering;1;;;1
Baars Verhuis B.V.;1;;;1
Bacchus Wijnhuis B.V.;1;;;1
Badhotel Bruin;1;;;1
Badhotel De Wielingen;1;;;1
Baecke-Maas V.O.F.;1;;;1
Bagger- en Aannem.maatsch. Van der Kamp B.V.;8;;;8
Bakker Bedrijfskundig Advies;1;;;1
Bakker Installaties V.O.F.;1;;;1
Bakker Rentmeesters & Makelaars B.V.;1;;;1
Bakker Sliedrecht Electro Industrie B.V.;6;;1;6
Bakker Voskamp B.V.;1;;;1
Bakker Wim;1;;;1
Bakkerij Aelbers IJsselstein B.V.;1;;;1
Bakkerij Andringa;1;;;1
Bakkerij Brokking;1;;;1
Bakkerij 'Den Soeten Inval';1;;;1
Bakkerij Dieteren B.V.;1;;;1
Bakkerij Hilvers B.V.;1;;;1
Bakkerij Hirdes;1;;;1
Bakkerij Jan Schrieks B.V.;1;;;1
Bakkerij Nieuwenhuis;1;;;1
Bakkerij Out B.V.;1;;;1
Bakkerij Paulissen;1;;;1
Bakkerij Vos;1;;;1
Balance & Result Holding B.V.;2;;;2
Balance Ervaring op Projectbasis B.V.;5;;;5
Balance Financieel Management;1;;;1
Balista B.V.;2;;;2
Ballast Nedam Beheer B.V.;2;;;2
Ballast Nedam Gebr. v. Doorn & v. Kessel B.V.;1;;;1
Ballast Nedam Infra B.V.;1;;;1
Ballast Nedam Infra Specialiteiten B.V.;7;;;7
Ballast Nedam Specialistisch Grondverzet B.V.;2;;;2
Balthazar Communicatie en Evenementen;1;;;1
BAM Accommodatie Asset Management B.V.;5;;;5
BAM Bouw en Techniek B.V.;1;;;1
BAM Infra Asset Management B.V.;2;;;2
BAM Infra Industrie;9;;;9
BAM Infra Regio Civiel, vestiging Drachten;9;;;9
BAM Infra Telecom B.V.;7;;;7
BAM Infra/Van den Herik Twentekanalen V.O.F.;7;;;7
BAM Infraconsult B.V.;1;;;1
BAM Wegen Projecten;11;;;11
BAM Wegen Regio Noordwest;7;;;7
BAM Wegen Regio West;9;;;9
Banketbakkerij Jan Ekkelenkamp;1;;;1
Banketbakkerij Jansen-de Koning;1;;;1
Banketbakkerij Maison Kelder B.V.;1;;;1
Banketbakkerij Nijstad;1;;;1
Banketbakkerij Theo Blom V.O.F.;1;;;1
Banketbakkerij van Beek & Specker B.V.;1;;;1
Banketbakkerij-Chocolaterie Lentelink;1;;;1
Bar Elit;1;;;1
Bar Le Duc;1;;;1
Barbecue Restaurant 't Vijverhof;1;;;1
Barn Consult;1;;;1
Bas B.V.;1;;;1
Bastion Hotel Maastricht B.V.;1;;;1
Bastion Hotel Terbregseplein B.V.;1;;;1
Bastion Hotel Utrecht B.V.;2;;;2
Bastion Hotelgroep B.V.;2;;;2
Batec B.V.;5;;;5
Baten & Partners B.V.;2;;;2
BCN B.V.;1;;;1
BCT Landgraaf B.V.;2;;;2
BdBProjectmanagement B.V.;3;;;3
BDG Nederland B.V.;1;;;1
BDS Harlingen B.V.;6;;;6
Beach Inn B.V.;1;;;1
Beachclub Titus B.V.;1;;;1
Beaumont Communicatie & Management B.V.;2;;;2
Beckers Civil Engineering;3;;;3
BECO Groep B.V.;2;;;2
Bedr.verzorg. Onderaannem. van Sommeren B.V.;2;;;2
Bedrijfscatering Jan Vendrig;1;;;1
Beeldleveranciers Coöperatief UA;1;;;1
Beenen B.V.;2;;;2
Beens Geïntegreerde Projecten B.V.;7;;;7
Befreelancer;2;;;2
Beheermaatschappij Van Vliet Steenbergen B.V.;1;;;1
Beheersticht. Nationaal Park Schiermonnikoog;1;;;1
Beijer Automotive B.V.;3;;;3
Beijer Tuin- en Landschapsinrichting;2;;;2
Beinspired2;1;;;1
Bekke Recycling B.V.;1;;;1
Bekwaam Interim Management B.V.;3;;;3
Beleggingsmij. Houtwijk Dronten B.V.;1;;;1
Belgisch Biercafé Olivier B.V.;1;;;1
Belien Beheer B.V.;2;;;2
Belpa B.V.;1;;;1
Benjamins & Benjamins;3;;;3
Bentvelzen en Jacobs Demontage B.V.;2;;;2
BeoHOME B.V.;2;;;2
Berenschot B.V.;5;;;5
Berenschot Groep B.V.;5;;;5
Berg Sustainable Strategy Consultancy;2;;;2
Bergers Rechtsbijstand;;;1;1
Bergevoet Doetinchem B.V.;2;;;2
Bergings Centrale Bollenstreek B.V.;1;;;1
Bergingsbedrijf L. Polderman B.V.;1;;;1
Bergnet;3;;;3
Beroepsvisser A. Berkouwer;1;;;1
Bert Kuizenga Media Producties;1;;;1
Besseling Travel B.V.;1;;;1
Best Opleidingen B.V.;1;;;1
Best Trucks Oude Tonge B.V.;1;;;1
Best Value Consulting;2;;;2
Best Value Nederland;2;;;2
Bestra Interbouw B.V.;2;;;2
Betonrenovatie Gijzel B.V.;5;;;5
'Betonvereniging';2;;;2
Beuk Touringcars;1;;;1
Beute B.V.;2;;;2
Bex*communicatie;2;;;2
Bezorgbakker Bart;1;;;1
BFS Management & Consultancy;1;;;1
BG Engineering B.V.;1;;;1
BG Holding;1;;;1
BG Promotions;1;;;1
BIANCA TEKENT;1;;;1
Bidvest Deli XL;1;;;1
Biegreen;1;;;1
Bierbrouwerij Emelisse B.V.;1;;;1
Bierman Henket architecten B.V.;1;;;1
Biesbosch Museum;1;;;1
Bij de Buurvrouw;1;;;1
Bijlard Bouwchemie B.V.;1;;;1
Bijlstra Installaties;1;;;1
Bijma Beheer B.V.;1;;;1
Bijnsdorp Communicatie Projecten B.V.;2;;;2
Bilderberg Hotel De Buunderkamp;1;;;1
Bilderberg Hotel De Klepperman;1;;;1
Bilderberg Parkhotel Rotterdam;1;;;1
BIM Media B.V.;1;;;1
Bink Solutions B.V.;1;;;1
Binkies Food & Drinks B.V.;1;;;1
Binnenlands Bestuur B.V.;1;;;1
Bio Detection Systems B.V.;1;;;1
Bis 26 B.V.;1;;;1
Bisnez Management B.V.;2;;;2
Bistro Tante Koosje B.V.;1;;;1
Bistro Tante Pietje;1;;;1
Bizzaar.nl;1;;;1
Bizzdesign Academy B.V.;1;;;1
BK Ruimte & Milieu;2;;;2
Blaauwendraat Landschapsverzorging;4;;;4
Blanksmabouw;4;;;4
Blauw Pak Webdesign;1;;;1
Blauw Research B.V.;2;;;2
Bliek Meesterbakkers;1;;;1
Bliksems B.V.;2;;;2
Blixem B.V.;1;;;1
bloem & styling aan de zeven alleetjes;1;;;1
Bloembinderij De Korenschoof;1;;;1
Bloemenatelier Han Fokkink;1;;;1
Bloemenboetiek Panhuis;1;;;1
Bloemenhuis MilleFleurs;1;;;1
Bloemerij Rene van der Weegen;1;;;1
Bloemsierkunst 'De Linde';1;;;1
Bloemsierkunst Futura;1;;;1
BlomBerg Society B.V.;1;;;1
Bluestar Onderhoud-Renovatie-Beveiliging;1;;;1
Bluestream ROV B.V.;2;;;2
BMA Ergonomics B.V.;1;;;1
BMC Advies B.V.;1;;;1
BMC Implementatie;1;;;1
BME Opleidingen B.V.;1;;;1
BMM Groen B.V.;1;;;1
Bob van Bree - Waterbouwk. adv. en proj.man.;3;;;3
Bockholts Bureau voor Beleidsontwikkeling;1;;;1
Bodac B.V.;2;;;2
Boddaert Advocaten;;;1;1
Bodekring Oost Nederland;1;;;1
Bodemkundig Adviesbureau Edelman B.V.;1;;;1
BOdG Ruimtelijk Advies B.V.;1;;;1
Boekhandel Van der Velde;1;;;1
Boels Verhuur;1;;;1
Boer Aan Huis;1;;;1
Boerensolexverhuur;1;;;1
bol.com B.V.;1;;;1
Bolk Transport B.V.;1;;;1
Bombance;1;;;1
Bombs Away B.V.;2;;;2
Bommel;1;;;1
Bonappetit Internet Services B.V.;1;;;1
Boom uitgevers Den Haag;1;;;1
Boomontzorging;2;;;2
Boot Organiserend Ingenieursburo B.V.;3;;;3
Borduur Studio Morena;1;;;1
BosBoon Expertise Eindhoven B.V.;1;;;1
Bosch Carservice Goes;1;;;1
Bosch Rexroth B.V.;7;;;7
Boshotel Vlodrop Beheer B.V.;1;;;1
Boskalis Nederland B.V.;11;;4;11
Boskalis Nederland Infra B.V.;10;;;10
Boskamp en Willems Advocaten;;;1;1
Bostec;4;;;4
Boukema Trading Company B.V.;2;;;2
Bours Agrarisch Industrieel Loonbedrijf B.V.;1;;;1
Bouw- en Aannemingsbedrijf Ooijevaar B.V.;1;;;1
Bouwbedrijf A. Methorst;2;;;2
Bouwbedrijf L. v.d. Ven B.V.;2;;;2
Bouwbedrijf Meliskerke B.V.;6;;;6
Bouwbedrijf Mulders B.V.;1;;;1
Bouwbedrijf P. Dirks en Zoon V.O.F.;1;;;1
Bouwend Nederland;1;;;1
Bouwer Management & Coaching;1;;;1
Bouwgroep Dijkstra Draisma;2;;;2
Bouwgroep Dijkstra Draisma B.V.;2;;;2
Bouwgroep Peters B.V.;6;;;6
BouwQ B.V.;4;;;4
Bovenkamers;1;;;1
Bovenregionaal kantoor;1;;;1
Bovy Ventures B.V.;1;;;1
Bowling 'De Kruitmolen';1;;;1
Bowling Nieuwegein B.V.;1;;;1
BP Royaal B.V.;1;;;1
Braai-Tapperij 'De Mug';1;;;1
Braams Tuinen Eext;2;;;2
Brabant Water N.V.;6;;;6
Brackmann Beheer B.V.;2;;;2
Brain Box Mediatraining B.V.;2;;;2
Brain Wave Corporate;1;;;1
Branchever. Recycling Breken en Sorteren;1;;;1
Brand Oil;1;;;1
Brand Project & Advies B.V.;1;;;1
Brandweerkring Eindhoven;1;;;1
Brandwijk Sales B.V.;1;;;1
Brasserie BLVD;1;;;1
Brasserie BovendeRivieren;1;;;1
Brasserie d'ANVERS;1;;;1
Brasserie De Boerderij;1;;;1
Brasserie de Houtrib;1;;;1
Brasserie De Huiskamer;1;;;1
Brasserie de Koepel;1;;;1
Brasserie De Vierbannen;1;;;1
Brasserie Down Town;1;;;1
Brasserie Eiggenwijzz;1;;;1
Brasserie 'Het Vliegerhuys';1;;;1
Brasserie Nobel;1;;;1
Brasserie Vrienden;1;;;1
Brasserie Westbeer;1;;;1
Breijer Contractonderhoud B.V.;4;;;4
Breskens aan Zee B.V.;1;;;1
Brezan Automaterialen Epe;1;;;1
Brienen aan de Maas;1;;;1
Bright Alley Knowledge & Learning B.V.;1;;;1
Bright Events;1;;;1
Bright Insight;1;;;1
Bright Management Support & Communicatie;3;;;3
Brightwrite;1;;;1
Brigidahoeve;1;;;1
Brimos Borden B.V.;2;;;2
Brimos Techniek B.V.;1;;;1
BRO;4;;;4
Broers;1;;;1
Brolsma Advies;2;;;2
Brood & Banketbakkerij Prins B.V.;1;;;1
Brood en Banketbakkerij Ehrenhard;1;;;1
Brood- en Banketbakkerij Fleuren V.O.F.;1;;;1
Brood- en Banketbakkerij Sterk B.V.;1;;;1
Brood- en Banketbakkerij Van Blijderveen;1;;;1
Brood/Banketbakkerij Toebast;1;;;1
Broodje Daan;1;;;1
Brooklyn Business Consult;2;;;2
Broos Water B.V.;2;;;2
Brouns Legal;1;;;1
Brouwershuys Moorees B.V.;1;;;1
Bruil Archief Advisering;1;;;1
Bruil Infra Deelnemingen B.V.;7;;;7
Bruna Poortier/Groeneveld;1;;;1
Brunel Nederland B.V.;1;;;1
Bruxelles aan Zee B.V.;1;;;1
Bsb Staalbouw B.V.;8;;;8
BSDV;;;1;1
BST Dintelsas B.V.;2;;;2
BT Professional Services Nederland B.V.;1;;;1
Bt&A, Bouwkundigtoezicht en advies;2;;;2
BTD Beveiligingstechniek Dordrecht B.V.;2;;;2
BTL Advies B.V.;4;;;4
BTL Realisatie B.V.;6;;;6
BTMpartners B.V.;2;;;2
BTN B.V.;3;;;3
BTS;2;;;2
Buijtendijk B.V.;1;;;1
Buijze Management & Advies;1;;;1
BUI-TEGEWOON, groenprojecten;1;;;1
Buiten, bureau voor Economie & Omgeving B.V.;1;;;1
Buitengoed Hagenhorst Exploitatie B.V.;2;;;2
Buitengoed Uylenburg B.V.;1;;;1
Buitenhotel De Vreemde Vogel;1;;;1
Buitenlandse Persvereniging in Nederland;1;;;1
Buitenplaats Vaeshartelt B.V.;1;;;1
Buitenpoort Catering B.V.;1;;;1
Buko Infrasupport B.V.;3;;;3
Bur. B + B Stedeb. en Landschapsarch. B.V.;3;;;3
Bur. De Groot Volker Verkeerszonderz./Advies;2;;;2
bur. VERBEEK landsch.arch./ecol./sted. ontw.;3;;;3
Burando Customs Services B.V.;;1;;1
Bureau Basta!;2;;;2
Bureau Blueland;3;;;3
Bureau Bouwcoördinatie Nederland B.V.;2;;;2
Bureau De Bont B.V.;2;;;2
Bureau Drift;1;;;1
Bureau Karin de Lange B.V.;1;;;1
Bureau Kundig;2;;;2
Bureau Landwijzer;2;;;2
Bureau Onderweg;1;;;1
Bureau Plano;1;;;1
Bureau Van Vliet B.V.;1;;;1
Bureau voor Beeldzaken;1;;;1
Bureau Waardenburg B.V.;7;;;7
Bureautaal B.V.;2;;;2
Burghouwt Bouwbeslag B.V.;1;;;1
Burgthoeve;1;;;1
Buro Hemmen;2;;;2
Buro Nienhuis;1;;;1
Buro Ruimte & Groen;2;;;2
BURO38;1;;;1
Buroplanex Worldwide B.V.;1;;;1
Busé Communications;1;;;1
Business Development Services KB;1;;;1
Bussmo;2;;;2
Buts-Meulepas B.V.;1;;;1
BuzzMaster B.V.;1;;;1
C J Wildbird Foods Limited;1;;;1
C. Slootweg Holding B.V.;1;;;1
C.H. Bekhuis Holding B.V.;2;;;2
C.I.V. Lauwerszee (Harlingen);1;;;1
C.s.V. Helmond;1;;;1
C.V. P. Kruyf en Zoon;1;;;1
C.V.A.B.;1;;;1
C.W.M. van der Kooij hodn Kaldi Mob. Den Haag;1;;;1
Cabri Grafimedia B.V.;1;;;1
Cadeau Company;1;;;1
Café 2005;1;;;1
Cafe Bar Midgetgolf 'Boschhoek';1;;;1
Café 'De Kleine Witte';1;;;1
Café Donner;1;;;1
Café du Midi B.V.;1;;;1
Café 'Prins Hendrik';1;;;1
Café Restaur. en Zalencentr. Het Wap. van Ens;1;;;1
Café Restaurant 'Belvédère' B.V.;1;;;1
Café 't Zielhoes;1;;;1
Café Verheyden;1;;;1
Café Vlietzicht V.O.F.;1;;;1
Café Zomers & Zomers;1;;;1
Café-Restaurant De Gouden Leeuw;1;;;1
Cafe-Restaurant 'De Heerenkeet';1;;;1
Café-Restaurant De Mol B.V.;1;;;1
Café-Restaurant De Prinsenkelder;1;;;1
Café-Restaurant 'De Roskam';1;;;1
Café-Restaurant De Veranda B.V.;1;;;1
