FID,locatie,shape_leng,jaar,type_ws,hoofdgeb,gebied,gdb_geomattr_data,shape
talud_maas_2017.23,Hedel - Mussenwaard,156.94869439,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145458.30999999866 416221.26900000125, 145462.22199999914 416220.8220000006, 145466.70199999958 416220.30700000003, 145471.18200000003 416219.79199999943, 145474.6532999985 416219.56500000134, 145478.12469999865 416219.3379999995, 145481.59600000083 416219.11100000143, 145484.3524999991 416219.3530000001, 145487.1090000011 416219.5949999988, 145490.4615000002 416220.3515000008, 145493.8139999993 416221.1079999991, 145497.18030000106 416221.54100000113, 145500.54670000076 416221.97399999946, 145503.91299999878 416222.4070000015, 145508.4360000007 416222.88170000166, 145512.95899999887 416223.3563000001, 145517.48200000077 416223.83100000024, 145520.00499999896 416224.09899999946, 145522.52800000086 416224.3669999987, 145524.25699999928 416225.811999999, 145526.81799999997 416226.7820000015, 145528.91200000048 416226.3539999984, 145531.4459999986 416225.881000001, 145534.8172999993 416226.7206999995, 145538.1887000017 416227.5603, 145541.55999999866 416228.3999999985, 145545.34849999845 416229.38650000095, 145549.13699999824 416230.3729999997, 145552.69900000095 416231.4979999997, 145556.45199999958 416232.58399999887, 145560.58100000024 416233.5850000009, 145564.7100000009 416234.5859999992, 145568.15900000185 416234.54850000143, 145571.60799999908 416234.51099999994, 145575.07550000027 416233.9525000006, 145578.54300000146 416233.39400000125, 145582.0789999999 416232.8040000014, 145585.6169999987 416232.9919999987, 145588.51199999824 416232.3220000006, 145591.40700000152 416231.65199999884, 145594.60700000077 416231.69000000134, 145597.24350000173 416232.79349999875, 145599.87999999896 416233.8969999999, 145603.19000000134 416235.4849999994, 145607.79300000146 416236.64400000125, 145611.5089999996 416237.5329999998)"
talud_maas_2017.24,Hedel - Mussenwaard,44.26367897,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145550.56599999964 416222.5780000016, 145552.96299999952 416222.5560000017, 145555.84699999914 416222.4849999994, 145558.73099999875 416222.4140000008, 145563.5234999992 416221.34699999914, 145568.31599999964 416220.2800000012, 145572.32400000095 416218.99450000003, 145576.33199999854 416217.70899999887, 145580.22700000182 416215.65300000086, 145582.28700000048 416211.6629999988, 145583.49049999937 416207.3454999998, 145584.69399999827 416203.02800000086)"
talud_maas_2017.25,Hedel - Mussenwaard,25.09917543,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145616.67300000042 416242.2129999995, 145620.07299999893 416243.8979999982, 145623.2100000009 416244.95899999887, 145625.6409999989 416246.72399999946, 145628.9910000004 416248.72300000116, 145631.936999999 416249.9765000008, 145634.8830000013 416251.23000000045, 145639.2100000009 416253.0249999985)"
talud_maas_2017.26,Hedel - Mussenwaard,177.29712689,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145643.01399999857 416253.41099999845, 145645.4290000014 416255.0399999991, 145647.8440000005 416256.66899999976, 145650.98600000143 416258.73999999836, 145655.33199999854 416260.90100000054, 145658.51900000125 416262.8830000013, 145662.3280000016 416263.6070000008, 145664.59099999815 416264.93400000036, 145667.9200000018 416266.76300000027, 145670.94900000095 416268.33150000125, 145673.97800000012 416269.8999999985, 145677.49500000104 416270.56500000134, 145681.01199999824 416271.23000000045, 145683.6400000006 416271.40300000086, 145686.26799999923 416271.5760000013, 145689.32299999893 416270.7479999997, 145692.37799999863 416269.9200000018, 145695.0949999988 416269.4750000015, 145697.688000001 416270.0170000009, 145700.46950000152 416271.6484999992, 145703.2509999983 416273.2800000012, 145707.1697999984 416275.2479999997, 145711.08850000054 416277.21599999815, 145715.00730000064 416279.18400000036, 145718.92599999905 416281.15199999884, 145722.14649999887 416283.10350000113, 145725.3669999987 416285.0549999997, 145728.5874999985 416287.0064999983, 145731.80799999833 416288.95800000057, 145735.63800000027 416290.7003000006, 145739.46799999848 416292.4426999986, 145743.29800000042 416294.18499999866, 145747.80750000104 416296.0865000002, 145752.31700000167 416297.98800000176, 145757.10399999842 416298.8110000007, 145760.76700000092 416300.04100000113, 145765.21869999915 416301.92269999906, 145769.67029999942 416303.804299999, 145774.12200000137 416305.6860000007, 145777.73270000145 416307.0780000016, 145781.34329999983 416308.4699999988, 145784.9539999999 416309.86199999973, 145789.02450000122 416311.45650000125, 145793.0949999988 416313.05099999905, 145797.28350000083 416314.17500000075, 145801.47199999914 416315.2989999987, 145805.37700000033 416316.5870000012)"
talud_maas_2017.27,Hedel - Mussenwaard,36.59084225,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145812.60799999908 416303.6649999991, 145814.3049999997 416305.8354999982, 145816.00200000033 416308.006000001, 145818.36400000006 416312.38599999994, 145819.93200000003 416315.1330000013, 145821.77800000086 416318.03599999845, 145823.61499999836 416320.20699999854, 145825.45199999958 416322.3779999986, 145826.95699999854 416324.38699999824, 145828.46200000122 416326.3960000016, 145830.44350000098 416328.05799999833, 145832.42500000075 416329.7199999988, 145835.33999999985 416331.8669999987)"
talud_maas_2017.28,Hedel - Mussenwaard,26.80726621,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145827.875 416297.9219999984, 145831.4835000001 416300.1700000018, 145835.09200000018 416302.41800000146, 145838.28550000116 416303.9285000004, 145841.47899999842 416305.4389999993, 145843.78700000048 416308.16099999845, 145846.4149999991 416310.2430000007, 145850.54899999872 416311.48800000176)"
talud_maas_2017.29,Hedel - Casterens Hoeve,10.7014422,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (148539.42599999905 416582.9780000001, 148538.08100000024 416583.618999999, 148536.4200000018 416584.31599999964, 148534.4840000011 416584.8370000012, 148532.7410000004 416584.80700000003, 148531.16600000113 416585.36499999836, 148529.58700000122 416586.5780000016)"
talud_maas_2017.30,Hedel - Casterens Hoeve,9.48327652,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (148553.71799999848 416577.8350000009, 148551.36400000006 416579.2170000002, 148548.57600000128 416579.5720000006, 148546.186999999 416580.8209999986, 148545.0080000013 416581.2280000001)"
talud_maas_2017.31,De Paaldere 't Wildt,172.47887977,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153169.98200000077 418999.49500000104, 153168.4653000012 418995.7800000012, 153166.9486999996 418992.06500000134, 153165.43200000003 418988.3500000015, 153163.96330000088 418984.7767999992, 153162.49450000003 418981.2034999989, 153161.02580000088 418977.6303000003, 153159.55700000003 418974.05700000003, 153157.35229999945 418969.79830000177, 153155.1475000009 418965.5395000018, 153152.9428000003 418961.28079999983, 153150.73800000176 418957.0219999999, 153148.67599999905 418952.89169999957, 153146.61400000006 418948.7613000013, 153144.55200000107 418944.631000001, 153142.29360000044 418940.76680000126, 153140.0351999998 418936.90260000154, 153137.77679999918 418933.0384000018, 153135.51839999855 418929.1741999984, 153133.26000000164 418925.30999999866, 153131.11400000006 418921.35440000147, 153128.96799999848 418917.39880000055, 153126.82200000063 418913.44319999963, 153124.67599999905 418909.4875999987, 153122.5300000012 418905.5320000015, 153120.6715000011 418902.19779999927, 153118.813000001 418898.86349999905, 153116.95450000092 418895.5293000005, 153115.09600000083 418892.1950000003, 153113.13830000162 418888.6506999992, 153111.18050000072 418885.10649999976, 153109.2228000015 418881.56219999865, 153107.2650000006 418878.0179999992, 153104.91099999845 418874.23999999836, 153102.55700000003 418870.4620000012, 153100.2030000016 418866.68400000036, 153097.84899999946 418862.9059999995, 153095.49500000104 418859.1279999986, 153093.1409999989 418855.3500000015, 153090.78700000048 418851.5720000006, 153088.43299999833 418847.79399999976)"
talud_maas_2017.32,De Paaldere 't Wildt,155.80934702,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153220.40900000185 419108.2589999996, 153225.03799999878 419107.26399999857, 153229.66699999943 419106.26900000125, 153234.2960000001 419105.2740000002, 153238.69799999893 419104.1220000014, 153239.90300000086 419102.6860000007, 153239.7659999989 419100.0920000002, 153239.3830000013 419097.5375000015, 153239 419094.9829999991, 153239.48999999836 419093.1860000007, 153240.92500000075 419089.7100000009, 153241.28700000048 419084.92650000006, 153241.6490000002 419080.1429999992, 153241.66299999878 419076.54349999875, 153241.67700000107 419072.9439999983, 153241.66550000012 419069.7644999996, 153241.65399999917 419066.5850000009, 153241.02100000158 419063.7950000018, 153240.38800000027 419061.00499999896, 153238.66550000012 419057.05000000075, 153236.94299999997 419053.0949999988, 153235.5155000016 419050.57550000027, 153234.08799999952 419048.0560000017, 153231.90399999917 419044.7604999989, 153229.7199999988 419041.46499999985, 153227.1099999994 419038.0870000012, 153225.30849999934 419034.78350000083, 153223.50699999928 419031.48000000045, 153222.96299999952 419029.12999999896, 153222.86499999836 419027.6079999991, 153221.87999999896 419026.92500000075, 153219.91899999976 419024.8960000016, 153218.13500000164 419021.9796999991, 153216.3509999998 419019.06329999864, 153214.56700000167 419016.1469999999, 153212.36630000174 419013.4563000016, 153210.16569999978 419010.76570000127, 153207.96499999985 419008.07499999925, 153204.52149999887 419004.60500000045, 153201.0780000016 419001.13500000164, 153197.79800000042 419000.30900000036, 153194.81749999896 419001.4365000017, 153191.83700000122 419002.5639999993, 153188.63369999826 419004.0736999996, 153185.43030000106 419005.5832999982, 153182.22700000182 419007.0929999985)"
