Kenteken,Soort erkenning keuringsinstantie,Meld datum door keuringsinstantie,Meld tijd door keuringsinstantie,Soort erkenning omschrijving,Soort melding ki omschrijving,Vervaldatum keuring,Meld datum door keuringsinstantie DT,Vervaldatum keuring DT,API Gebrek constateringen,API Gebrek beschrijving
0005PS,AL,20200729,1017,APK Lichte voertuigen,periodieke controle,20220729,07/29/2020 10:17:00 AM,07/29/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0005RZ,AL,20210507,1400,APK Lichte voertuigen,periodieke controle,20230510,05/07/2021 02:00:00 PM,05/10/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0005SM,AL,20200515,925,APK Lichte voertuigen,periodieke controle,20220515,05/15/2020 09:25:00 AM,05/15/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0006SN,AL,20210125,1041,APK Lichte voertuigen,periodieke controle,20230130,01/25/2021 10:41:00 AM,01/30/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0007XD,AL,20200513,1003,APK Lichte voertuigen,periodieke controle,20220531,05/13/2020 10:03:00 AM,05/31/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0007XD,AL,20220603,1212,APK Lichte voertuigen,periodieke controle,20240603,06/03/2022 12:12:00 PM,06/03/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0007XK,AL,20200714,1123,APK Lichte voertuigen,periodieke controle,20220903,07/14/2020 11:23:00 AM,09/03/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0007XK,AL,20220803,1034,APK Lichte voertuigen,periodieke controle,20240903,08/03/2022 10:34:00 AM,09/03/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0008TL,AL,20200513,1432,APK Lichte voertuigen,periodieke controle,20220613,05/13/2020 02:32:00 PM,06/13/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0009DE,AL,20200716,1500,APK Lichte voertuigen,periodieke controle,20220719,07/16/2020 03:00:00 PM,07/19/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0009PH,AL,20200508,1424,APK Lichte voertuigen,periodieke controle,20220602,05/08/2020 02:24:00 PM,06/02/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0010JZ,AL,20200923,1543,APK Lichte voertuigen,periodieke controle,20220927,09/23/2020 03:43:00 PM,09/27/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0011AF,AL,20200930,1527,APK Lichte voertuigen,periodieke controle,20221007,09/30/2020 03:27:00 PM,10/07/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0011US,AL,20220411,1347,APK Lichte voertuigen,periodieke controle,20240411,04/11/2022 01:47:00 PM,04/11/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0011ZX,AL,20200513,1223,APK Lichte voertuigen,periodieke controle,20220610,05/13/2020 12:23:00 PM,06/10/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0012UJ,AL,20200325,1638,APK Lichte voertuigen,periodieke controle,20220523,03/25/2020 04:38:00 PM,05/23/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0012ZZ,AZ,20210414,1401,APK Zware voertuigen,periodieke controle,20220414,04/14/2021 02:01:00 PM,04/14/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0013JF,AL,20200707,1032,APK Lichte voertuigen,periodieke controle,20220715,07/07/2020 10:32:00 AM,07/15/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0013JK,AL,20200624,1335,APK Lichte voertuigen,periodieke controle,20220701,06/24/2020 01:35:00 PM,07/01/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0013ZZ,AZ,20220321,1518,APK Zware voertuigen,periodieke controle,20230321,03/21/2022 03:18:00 PM,03/21/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0014UB,AL,20210826,1528,APK Lichte voertuigen,periodieke controle,20230924,08/26/2021 03:28:00 PM,09/24/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0014ZZ,AZ,20201224,947,APK Zware voertuigen,periodieke controle,20220117,12/24/2020 09:47:00 AM,01/17/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0014ZZ,AZ,20211229,947,APK Zware voertuigen,periodieke controle,20230117,12/29/2021 09:47:00 AM,01/17/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0014ZZ,AZ,20221230,930,APK Zware voertuigen,periodieke controle,20240117,12/30/2022 09:30:00 AM,01/17/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0015DG,AL,20200813,1336,APK Lichte voertuigen,periodieke controle,20220829,08/13/2020 01:36:00 PM,08/29/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0015EP,AL,20200424,1543,APK Lichte voertuigen,periodieke controle,20220424,04/24/2020 03:43:00 PM,04/24/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0015PT,AL,20200814,1507,APK Lichte voertuigen,periodieke controle,20220814,08/14/2020 03:07:00 PM,08/14/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0016NF,AL,20201120,1543,APK Lichte voertuigen,periodieke controle,20221120,11/20/2020 03:43:00 PM,11/20/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0020TR,AL,20210510,839,APK Lichte voertuigen,periodieke controle,20230517,05/10/2021 08:39:00 AM,05/17/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0021JK,AL,20200311,1236,APK Lichte voertuigen,periodieke controle,20220417,03/11/2020 12:36:00 PM,04/17/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0021XZ,AL,20201119,1404,APK Lichte voertuigen,periodieke controle,20221204,11/19/2020 02:04:00 PM,12/04/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0021XZ,AL,20221109,1453,APK Lichte voertuigen,periodieke controle,20241204,11/09/2022 02:53:00 PM,12/04/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0022XD,AL,20210422,1427,APK Lichte voertuigen,periodieke controle,20230422,04/22/2021 02:27:00 PM,04/22/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023JB,AL,20210924,1417,APK Lichte voertuigen,periodieke controle,20231030,09/24/2021 02:17:00 PM,10/30/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023NF,AL,20200713,1002,APK Lichte voertuigen,periodieke controle,20220713,07/13/2020 10:02:00 AM,07/13/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023PZ,AL,20200423,1034,APK Lichte voertuigen,periodieke controle,20220426,04/23/2020 10:34:00 AM,04/26/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023TU,AL,20210401,1537,APK Lichte voertuigen,periodieke controle,20230401,04/01/2021 03:37:00 PM,04/01/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023UR,AL,20200514,1039,APK Lichte voertuigen,periodieke controle,20220708,05/14/2020 10:39:00 AM,07/08/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023UR,AL,20220512,1131,APK Lichte voertuigen,periodieke controle,20240708,05/12/2022 11:31:00 AM,07/08/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023ZZ,AZ,20210108,1140,APK Zware voertuigen,periodieke controle,20220204,01/08/2021 11:40:00 AM,02/04/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0023ZZ,AZ,20220426,1626,APK Zware voertuigen,periodieke controle,20230426,04/26/2022 04:26:00 PM,04/26/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0024XK,AL,20201113,1442,APK Lichte voertuigen,periodieke controle,20221113,11/13/2020 02:42:00 PM,11/13/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0025XM,AL,20200615,1059,APK Lichte voertuigen,periodieke controle,20220711,06/15/2020 10:59:00 AM,07/11/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0025XM,AL,20220624,1626,APK Lichte voertuigen,periodieke controle,20240711,06/24/2022 04:26:00 PM,07/11/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0025ZL,AL,20210308,1613,APK Lichte voertuigen,periodieke controle,20230308,03/08/2021 04:13:00 PM,03/08/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026JB,AL,20210119,1221,APK Lichte voertuigen,periodieke controle,20230204,01/19/2021 12:21:00 PM,02/04/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026JB,AL,20230119,1435,APK Lichte voertuigen,periodieke controle,20250204,01/19/2023 02:35:00 PM,02/04/2025 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026NR,AL,20201016,1052,APK Lichte voertuigen,periodieke controle,20221104,10/16/2020 10:52:00 AM,11/04/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026PS,AL,20200323,1604,APK Lichte voertuigen,periodieke controle,20220404,03/23/2020 04:04:00 PM,04/04/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026VM,AL,20210113,955,APK Lichte voertuigen,periodieke controle,0,01/13/2021 09:55:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026VM,AL,20210118,1616,APK Lichte voertuigen,periodieke controle,20230118,01/18/2021 04:16:00 PM,01/18/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026ZZ,AZ,20200805,1315,APK Zware voertuigen,periodieke controle,20210805,08/05/2020 01:15:00 PM,08/05/2021 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0026ZZ,AZ,20210413,846,APK Zware voertuigen,periodieke controle,20220413,04/13/2021 08:46:00 AM,04/13/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0027FD,AL,20200622,1452,APK Lichte voertuigen,periodieke controle,20220626,06/22/2020 02:52:00 PM,06/26/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0027XM,AL,20200515,1633,APK Lichte voertuigen,periodieke controle,20220515,05/15/2020 04:33:00 PM,05/15/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0027XM,AL,20220906,1349,APK Lichte voertuigen,periodieke controle,20240906,09/06/2022 01:49:00 PM,09/06/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0027ZZ,AZ,20210628,1236,APK Zware voertuigen,periodieke controle,20220628,06/28/2021 12:36:00 PM,06/28/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0028AH,AL,20200615,1320,APK Lichte voertuigen,periodieke controle,20220615,06/15/2020 01:20:00 PM,06/15/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0028HL,AL,20201005,1533,APK Lichte voertuigen,periodieke controle,20221106,10/05/2020 03:33:00 PM,11/06/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0028VR,AL,20210510,1001,APK Lichte voertuigen,periodieke controle,20230510,05/10/2021 10:01:00 AM,05/10/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0029DR,AL,20210204,1646,APK Lichte voertuigen,periodieke controle,20230204,02/04/2021 04:46:00 PM,02/04/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0030ZZ,AZ,20210706,1058,APK Zware voertuigen,periodieke controle,20220706,07/06/2021 10:58:00 AM,07/06/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0030ZZ,AZ,20220523,1422,APK Zware voertuigen,periodieke controle,20230706,05/23/2022 02:22:00 PM,07/06/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0031PX,AL,20200907,1113,APK Lichte voertuigen,periodieke controle,20220920,09/07/2020 11:13:00 AM,09/20/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
