OBJECTID,PUIC,NAAM,OMSCHRIJVING,KM_KMLINT_VAN_T,KM_KMLINT_TOT_T,GELDIG_VANAF,PUBLICATIEDATUM,KM_KMLINT_VAN,KM_KMLINT_TOT
20,ced54cca-b169-4b79-b3f9-1e523ebdb244,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,"3,195","48,428",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,3.195,48.428
21,52431e57-b0de-4515-85ae-b88e7baaa85c,Vl-Ehv,Venlo - Eindhoven ,"0,000","51,595",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,51.595
22,90c9bf2a-d3d0-4ae1-ad7c-822fc411e1d0,Vl-Vltp,Venlo - Venlo Tradeport ,"100,000","101,039",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,101.039
23,25dc3f1b-f514-4f61-b857-1200b23edb5e,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,"1,458","111,030",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.458,111.03
24,fc804698-b879-484b-b682-e4c64effd0f7,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,"146,400","158,505",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,146.4,158.505
25,85a2784c-473c-4184-8625-47b7adb58db0,Vspa-Dvaz,Venserpolder Aansl. - Duivendrecht Aansl. Zuid ,"200,119","201,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.119,201.6
26,2eedae0f-90c6-4d4a-a088-11f6c1598511,Dvaz-Vspa,Duivendrecht Aansl. Zuid - Venserpolder Aansl. ,"0,035","0,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.035,0.9
27,3c1eb365-9227-427a-b093-bb5566626790,Dvaw-Asb,Duivendrecht Aansl. West - Amsterdam Bijlmer ArenA ,"300,077","302,344",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300.077,302.344
28,7c180b23-5f69-4951-9bc7-894711ff6cba,Mtb-Mtf,Maastricht Boschpoort - Maastricht Frontenkwartier ,"200,200","200,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.2,200.8
29,f1a6fd36-f4c7-401f-99c1-17081f7239e1,Mt-Glk,Maastricht - Lanaken (B) ,"36,535","40,570",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,36.535,40.57
30,00f625ea-d9df-4809-a097-d38cf362bb9b,Has-Glk,Hasselt (B) - Lanaken (B) ,"11,603","12,751",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,11.603,12.751
31,faec252a-91cd-435d-ae82-8845055902e1,Mt-Vl,Maastricht - Venlo ,"0,000","69,950",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,69.95
32,c3ef7db8-9c22-4365-aa52-8082e2d2fb1c,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,"4,100","84,425",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4.1,84.425
33,26bc2fbe-8419-4613-8bb9-290dd200df3e,Gvc-Gv,Den Haag Centraal - Den Haag HS ,"300,200","300,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300.2,300.5
34,cf714121-77a0-44ab-a479-b3c661a45c3d,Laa-Gvc,Den Haag Laan van NOI - Den Haag Centraal ,"22,400","22,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,22.4,22.6
35,3667accc-446a-49d8-b6ce-61e753f8dc7e,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,"100,000","100,654",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,100.654
36,b0013573-eff5-4b8b-840c-c9de1eac359a,Gd-Gvc,Gouda - Den Haag Centraal ,"0,000","25,415",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,25.415
37,15cf5b4a-4eb5-4664-97b9-084bd11e7040,Brzv-Zvbtwa,Betuweroute Zevenaar - Zevenaar Betuweroute Aansl. ,"601,800","604,843",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,601.8,604.843
38,4c8b445d-3125-469d-b532-e5793ce99734,Ww-Zv,Winterswijk-Zevenaar ,"0,400","49,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.4,49.1
39,ce3a264e-e988-4b51-b369-dd6cde5a67a2,Brech-Brzv,Betuweroute Echteld - Betuweroute Zevenaar ,"55,600","104,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,55.6,104.1
40,8b6bfac2-792f-494a-93a8-72c1ecc16992,Chw-Chvpa,Coenhavenweg - Amsterdam Coenhaven Pier Azië,"400,100","400,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400.1,400.6
41,b29e8cf2-d97a-4f9a-9656-df39f2fed7e4,Chw-Phw,Coenhavenweg - Petroleumhavenweg ,"450,000","450,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,450,450.7
42,88802a2e-64c1-406d-98e5-4605210d0aeb,Awhv-Chv,Amsterdam Westhaven (gebied) - Amsterdam Coenhaven ,"100,000","101,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,101.4
43,243f78fe-9e3a-4c7b-8203-a410135047e4,Chw-Vhv,Coenhavenweg - Vlothaven ,"325,100","325,695",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,325.1,325.695
44,144148d8-0e1c-49b8-abec-0340085fbb9a,Chw-Chv,Coenhavenweg - Amsterdam Coenhaven ,"375,100","375,670",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,375.1,375.67
45,e3a79f7a-1716-40e0-847c-4885e0a7c6df,Vhw-Vhv,Vlothavenweg - Vlothaven ,"300,000","300,755",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,300.755
46,8cdf4790-79b9-49ab-9eda-d035a87257a6,Phw-Ctl,Petroleumhavenweg - Coentunnel ,"250,000","250,510",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,250,250.51
47,7998c044-10ac-472b-9f03-f311b159d73b,Phv-Chv,Amsterdam Petroleumhaven - Amsterdam Coenhaven ,"150,000","151,360",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,150,151.36
48,25b9ec76-d7c7-44de-aa2d-945ede8ec5eb,Awhv-Awhvs,Amsterdam Westhaven (gebied) - Amsterdam Westhaven Suezhaven ,"0,000","1,540",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,1.54
49,82108721-952a-42fb-97bb-9eec27503064,Awhv-Ass,Amsterdam Westhaven (gebied) - Amsterdam Sloterdijk ,"1,300","1,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.3,1.8
50,c24dc86b-363b-4aba-a7b6-a066fd1774da,Awhv-Asho,Amsterdam Westhaven (gebied) - Amsterdam Sloterdijk Noord Hornweg ,"200,017","205,725",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.017,205.725
51,50216854-5381-42f6-ac47-0e0ee383e4fb,Vhw-Kmbw,Vlothavenweg - Kombuisweg ,"200,100","202,755",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.1,202.755
52,8f4769cd-e5eb-4cc3-9ab6-45ba48c3b852,Awhv-Awhvm,Amsterdam Westhaven (gebied) - Amsterdam Westhaven Maltaweg ,"300,000","301,023",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,301.023
53,9463c5a4-f0c0-49b7-864c-b084902e3698,Kmbw-Kjtw,Kombuisweg - Kajuitweg ,"0,000","0,340",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,0.34
54,99a1afb0-ba1a-40c8-b617-c7be9be6a657,Rdwa-Aeg,Radarweg Aansl. - Amsterdam Erasmusgracht = Aansl. ,"200,581","202,345",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.581,202.345
55,0d9cafac-c432-4cce-bc9b-09b26b455ef4,Ahwusl-Ahwbzw,Usselincxhaven - Benzolweg ,"50,000","50,450",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,50,50.45
56,9496c65b-73f3-40fd-bb4b-ea54ef84de7f,Vhw-Nhw,Vlothavenweg - Nieuwe Hemweg ,"76,774","77,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,76.774,77.9
57,63b00323-d45a-44eb-9dea-1b83ce6c796d,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,"50,200","58,505",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,50.2,58.505
58,f1133d51-f21a-43ef-a114-0f2492a6e63c,Awhv-Awhvmh,Amsterdam Westhaven (gebied) - Amsterdam Westhaven Mainhaven ,"500,000","500,340",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500,500.34
59,a1a98099-f687-4e48-988e-51819a3f9d7a,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,"171,600","180,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,171.6,180.7
60,ec8e13a7-86c2-4a79-ae8b-f50f3ef591fd,Awhv-Awhvsh,Amsterdam Westhaven (gebied) - Amsterdam Westhaven Sonthaven ,"250,000","251,450",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,250,251.45
61,6546d6b8-2375-4422-98e6-db611d83e485,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,"74,300","81,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,74.3,81.7
62,4314e244-f3bd-4e26-89a7-caddf96632fd,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"0,400","127,642",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.4,127.642
63,3c34c678-3eab-446e-92fb-3a75d92d439b,Zp-Ww,Zutphen - Winterswijk ,"1,800","44,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.8,44.3
64,09872099-8514-4cef-9c8a-dfedcc6bbbc4,Dzvw-Dzvwi,Delfzijl Valgenweg - Delfzijl Valgenweg Industrie ,"170,000","170,364",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,170,170.364
65,f0a44e48-4f1d-429c-b752-167b3d599e94,Dzsh-Ohw,Delfzijl Stamlijn Havenschap - Oosterhorn West ,"69,917","70,539",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,69.917,70.539
66,d188cf0f-fffd-45d6-97d0-56cc32f13f0d,Gn-Dz,Groningen - Delfzijl ,"1,100","38,245",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.1,38.245
67,252dfc26-dff4-4e89-bf2d-b8a88598b126,Dzsh-Oho1,Delfzijl Stamlijn Havenschap - Oosterhorn Oost 1 ,"130,000","130,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,130,130.4
68,9ad185c0-9031-425a-97d5-c7f8074c0243,Dzsh-Oho2,Delfzijl Stamlijn Havenschap - Oosterhorn Oost 2 ,"140,000","140,483",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,140,140.483
69,52abfeee-d588-4e05-8525-3d9c98f690a2,Dzsh-Ohm2,Delfzijl Stamlijn Havenschap - Oosterhorn Midden 2 ,"90,000","90,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,90,90.1
70,eec2b324-217e-4c65-a0f4-f6e44a9e4248,Dz-Dzh,Delfzijl - Delfzijl Haven ,"10,000","11,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,10,11.1
71,61cff0b6-e71f-4ac9-8e3d-b5835884c0c9,Dz-Dzsh,Delfzijl - Delfzijl Stamlijn Havenschap ,"100,400","106,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.4,106.9
72,47695bd9-6285-4657-b37d-2614be1779f5,Dzsh-Dzmp,Delfzijl Stamlijn Havenschap - Delfzijl Metaalpark ,"150,000","151,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,150,151.3
73,94651814-6a4e-4974-88b6-9b83ff061c62,Dzsh-Dzvw,Delfzijl Stamlijn Havenschap - Delfzijl Valgenweg ,"160,000","160,530",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,160,160.53
74,02778e70-c12b-4c1b-8f95-5c052f5cc433,Dzsh-Ohm1,Delfzijl Stamlijn Havenschap - Oosterhorn Midden 1 ,"80,000","80,630",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,80,80.63
75,c36710d7-5840-4056-be97-f02d01b68211,Dzsh-Ohm3,Delfzijl Stamlijn Havenschap - Oosterhorn Midden 3 ,"120,000","120,440",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,120,120.44
76,0ff77e28-6d67-4f59-9123-d4021691b919,Asd-Zp,Amsterdam Centraal - Zutphen ,"0,869","104,550",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.869,104.55
77,4366a708-b876-4e2e-b23c-f80168effc81,Ut-Btl,Utrecht Centraal - Boxtel ,"2,900","59,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2.9,59.6
78,835223fe-dbd7-4c48-943a-4d8b6c0f9e35,Brda-Whz,"Barendrecht Aansl. - Rotterdam, Emplacement Waalhaven Zuid ","199,900","206,115",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,199.9,206.115
79,af2207da-56eb-4fde-863f-bd49520dc246,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,"209,002","254,492",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,209.002,254.492
80,cdb3a45d-317d-4a92-8a17-8e16fd3456e2,Brdva-Brdv,Barendrecht Vork Aansl. - Barendrecht Vork ,"399,800","401,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,399.8,401.2
81,b34d471a-8cfb-4c2c-90b7-bbbd31004393,IJsma-Brdv,IJsselmonde Aansl. - Barendrecht Vork ,"98,900","100,405",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,98.9,100.405
82,06b584aa-1319-4746-9412-0110f218ba5d,Bd-Rtd,Breda - Rotterdam Centraal ,"2,500","48,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2.5,48.7
83,bf2af3eb-8a1f-4316-a46c-13583a0dd456,Zvg-Em,Zevenaar Grens - Emmerich (D) ,"59,500","72,614",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,59.5,72.614
84,29d42c17-17ae-48be-a15e-cbf95a1c1aae,Sdmga-Vdgvch,Schiedam Goederenoverdrachtspoor Aansluiting -  Vlaardingen Vulcaanhaven ,"501,204","505,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,501.204,505.2
85,294d3295-5190-4cb9-aea3-1dd48872d2f0,Sdm-Sdmga,Schiedam Centrum - Schiedam Goederenoverdrachtspoor Aansluiting ,"0,684","1,204",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.684,1.204
86,f0593c25-5155-4efa-87fa-25858bba6b9b,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,"1,000","54,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1,54.6
87,477dd0a1-a7fe-472a-97ac-6f1bf713a2ab,Gd-Apn,Gouda - Alphen a/d Rijn ,"0,860","16,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.86,16.5
88,7d2ee584-8be3-49e2-a575-6efd39f11889,Tnzz-Frkw,Terneuzen Zuidzijde (Racc.) - Frankrijkweg ,"99,800","101,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,99.8,101.4
89,50a3d853-5664-45e9-8352-9958da2a9362,Ps-Shell1,"Rotterdam, Emplacement Pernis - SHELL1 ","200,000","202,265",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,202.265
90,045e58f3-b15d-48d2-a039-99dc1dd64146,Bot-Bot3ph1,"Rotterdam, Botlek - Botlek 3e Petroleumhaven 1 ","110,000","110,720",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,110,110.72
91,43441990-386c-491c-8221-c85e9e6abe21,Dhs-Wspl,Delfshavense Schie (brug o/d - bij Schiedam) - Rotterdam Westelijke Splitsing ,"1,200","1,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.2,1.8
92,63c00392-242d-41a0-9701-18420e9cdcfa,Mph-Awn,Mispelhoef - Achtseweg Noord ,"200,000","200,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,200.4
93,02e21df0-4129-42da-bd78-51d3052e0318,Zl-Kpn,Zwolle - Kampen ,"88,200","101,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,88.2,101.1
94,1f7a8c28-fcad-4605-95df-42dd3714a1b7,Mdw-Wstlih,Middenweg - Westelijke Insteekhaven ,"400,000","400,540",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400,400.54
95,14ce4b5c-8b0a-4b12-89c9-46d17deafe47,Whz-Rol,"Rotterdam, Emplacement Waalhaven Zuid - Rondolaan ","100,000","103,770",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,103.77
96,48854b6b-18d6-4be2-8237-98f2c86b2867,Bon-Bonlw,Born - Born Loswal ,"120,000","120,640",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,120,120.64
97,0be60cbf-374f-4c16-a219-5f9850ef0132,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,"42,672","43,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,42.672,43.8
98,ed3d5899-4ef1-412a-90d3-6773b502414e,Ypb-Ldvn,Den Haag Ypenburg - Leidschenveen ,"100,400","101,827",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.4,101.827
99,e2e4ed0f-4d06-4fc3-a211-5851b71b1365,Vama-Vam,VAM Aansl. - VAM - terrein Wijster ,"100,000","102,140",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,102.14
100,9dfaddda-1954-4fd6-a0c3-202988e332c9,Who-Whks,Rotterdam Waalhaven Oost - Rotterdam Waalhaven Kesterenstraat ,"20,200","21,075",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,20.2,21.075
101,a265a498-e337-4c02-8890-fa7633768b49,Btl-Veg,Boxtel - Veghel ,"1,400","18,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.4,18.2
102,2353529f-98c8-43bc-988f-be7aebd04c11,Skn-Mkv,Stadskanaal Hoofdstation - Musselkanaal-Valthermond ,"0,000","9,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,9.7
103,dc8bb479-3dc9-46d1-b70f-771df25701e6,Hz-Stolb,Herzogenrath (D) - Stolberg (D) ,"17,757","19,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,17.757,19.2
104,20c85da3-52c6-4714-bda3-345a393adcd4,Hn-Mbk,Hoorn - Medemblik ,"1,300","20,431",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.3,20.431
105,75d4f0b7-bf24-449e-a7c7-104050f5df06,Erpmww-Mzlwg,Europoort Merwedeweg - Europoort Moezelweg ,"500,200","500,574",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500.2,500.574
106,eb68aeb6-1afc-4f9d-a99e-4c1b1f365f90,Eupwz-Adw,Europaweg Zuid - Achterduinweg ,"130,000","131,350",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,130,131.35
107,8c6bf18f-daf8-45a6-b54e-77ed96a0d7a5,Mvt-Mvtm,"Rotterdam, Emplacement Maasvlakte - Maasvlakte Missouriweg ","0,000","2,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,2.9
108,8ad5563e-394e-4632-8854-dae58ac691c3,Hlmjl-Zvt,Haarlem Julianalaan - Zandvoort aan Zee ,"1,100","8,170",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.1,8.17
109,2e46bac5-0113-40f9-a55f-50cb1371c19e,Hlm-Utg,Haarlem - Uitgeest ,"0,500","17,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.5,17.6
110,d0f446e1-cf1e-4b47-b535-f17685ac698c,Mvt-Mvtazh,"Rotterdam, Emplacement Maasvlakte - Maasvlakte Amazonehaven ","200,000","201,570",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,201.57
111,947575f6-c912-4e61-8f46-6ad56033baa3,Etnva-Etnv,Etten-Leur Racc. Vossendaal Aansl. - Etten-Leur Racc. Vossendaal ,"0,100","0,637",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.1,0.637
112,be56b6bf-9c2a-4cad-a262-25a9513a12e7,Apd-Dv,Apeldoorn - Deventer ,"1,100","14,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.1,14.3
113,2eaa129b-0b19-4b42-a4f7-d1efe8bff7ee,Brppd-Brgnd,Betuweroute Papendrecht - Betuweroute Giessendam ,"0,000","20,769",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,20.769
114,934c37ba-5f31-4b4b-8558-1265e54d5340,Ps1phv-Pspw,Pernis 1e Petroleumhaven - Pernis Petroleumweg ,"500,900","501,850",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500.9,501.85
115,e772ea19-e167-4b4c-acfb-d0444576b599,Brvalo-Ebtwa,Betuweroute Valburg Oost - Elst Betuweroute Aansl. ,"189,900","190,455",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,189.9,190.455
116,7168d9ac-a90c-4a93-841c-6ae295dc0d5e,Hlmzzg-Hlmnwr,Haarlem Zuid Zijlweg - Haarlem Noord Westelijke Randweg ,"200,100","200,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.1,200.5
117,51e49bb0-70a5-48f9-8817-9bfde996964f,Lar-Coep,Laarwald (D) - Coevorden Europark ,"70,700","74,869",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,70.7,74.869
118,9137edc9-33d7-45f3-bf09-8b9d52139780,Dmkw-Eglw,Denemarkenweg - Engelandweg ,"210,062","211,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,210.062,211.2
119,ee70706c-366b-4545-aa90-1016747fbf3c,Co-Coep,Coevorden - Coevorden Europark ,"0,700","1,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.7,1.6
120,2b2d354e-408e-4da4-a18e-399188d39236,Bh-Odzg,Bad Bentheim (D) - Oldenzaal Grens ,"12,500","21,779",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,12.5,21.779
121,f9b761f0-a40c-4534-9501-051169aa0264,Mbtwan-Brmet,Meteren Betuweroute Aansl. Noord - Betuweroute Meteren ,"245,664","247,488",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,245.664,247.488
122,f11678b8-0482-4416-bfb5-38a3aa4cc614,Mt-Klprwg,Maastricht - Klipperweg ,"200,100","202,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.1,202.1
123,7821f0fe-e382-4f7e-aea3-04441de7e4b6,Bln-Blw,Blauwkapel Noord - Blauwkapel West ,"0,200","0,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.2,0.5
124,ec182d83-4df3-4c33-b82d-23a4bfbf67bb,Axia-Axah,Axel Industrie Aansluiting - Axel Autrichehaven ,"200,000","201,615",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,201.615
125,f53fbcf2-d661-4efa-9db8-21dd882435c5,Aml-Amldol,Almelo - Almelo Dollegoor ,"200,000","200,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,200.8
