Ministerie;Leveranciers;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
BZK;Buitengoed Hagenhorst Exploitatie B.V.;;1;;1
BZK;CAOP;;1;;1
BZK;Car Cleaning Correct B.V.;;;1;1
BZK;Cardon Automotive B.V.;;;1;1
BZK;Carlton Beach Club;;1;;1
BZK;Carwash Aqua Clean;;;1;1
BZK;Century Autogroep;2;;;2
BZK;Connexxion Taxi Services B.V.;;;2;2
BZK;D' Uston en Allard;;;1;1
BZK;De Baak Noordwijk B.V.;1;;;1
BZK;De Belgische Loodsensociëteit;;1;;1
BZK;De Pelikaan Texel Hotel & Appartementen;1;;;1
BZK;De Pomp Tweewielers;1;;;1
BZK;De Raat Security Products B.V.;;;1;1
BZK;Diffens Holding B.V.;;;1;1
BZK;Eden Eindhoven Hotel Exploitatie II B.V.;;1;;1
BZK;Euromobil Nederland B.V.;2;;;2
BZK;Europcar Autoverhuur B.V.;2;;;2
BZK;Exploitatie Maatschappij Komfort B.V.;;2;;2
BZK;Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
BZK;Fire-Control B.V.;;;1;1
BZK;Firma Hof der Muzen;;1;;1
BZK;FleetCor Technologieën B.V.;;;1;1
BZK;Fleetlogic B.V.;;;2;2
BZK;Fletcher Hotel De Witte Raaf;;1;;1
BZK;G.Z.G. Auto-Onderdelen B.V.;;;1;1
BZK;Henze Autobanden B.V.;;;1;1
BZK;Hertz Automobielen Nederland B.V.;2;;;2
BZK;Hop Taxi B.V.;1;;;1
BZK;Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;1;;;1
BZK;HR Via Care B.V.;;;7;7
BZK;HTM Specials B.V.;;;1;1
BZK;Interim Direct;;;4;4
BZK;Jozua Aanhangwagens B.V.;;;1;1
BZK;Jungheinrich Nederland B.V.;;;1;1
BZK;Kamsteeg Auto Groep B.V.;;;1;1
BZK;Kasteel Oud-Poelgeest B.V.;;2;;2
BZK;Kemper Fietsen B.V.;;;1;1
BZK;Kerkhof en Zonen Beheer;;;1;1
BZK;Kings Shop;;;5;5
BZK;Köhler Autoverhuur B.V.;;;1;1
BZK;KPE Holding B.V.;;;1;1
BZK;Landgoed de Horst;;3;;3
BZK;Leaseplan Nederland N.V.;;;7;7
BZK;Letterop;;;2;2
BZK;Local Service Card;;;1;1
BZK;Mercedes-Benz Leiden;;;1;1
BZK;Mercure Den Haag Central;;1;;1
BZK;Motus B.V.;;1;;1
BZK;Multirent Beverwijk;1;;;1
BZK;Munckhof Taxi B.V.;;;4;4
BZK;Noordzee Services B.V.;;;3;3
BZK;Park-line B.V.;;;2;2
BZK;Pouw Meppel;;;1;1
BZK;Profile Tyre Center Blok;;;2;2
BZK;Profile Tyrecenter Van Kleef;;;1;1
BZK;Proline Automotive Solutions;;;1;1
BZK;Pure Mobility;;;1;1
BZK;Remto Automaterialen;;;1;1
BZK;Schadecentrum Apeldoorn B.V.;;;1;1
BZK;Scooter-Ypenburg;;;1;1
BZK;Shell Nederland Verkoopmaatschappij B.V.;;;1;1
BZK;Shellstation J. van der Vegte B.V.;;;1;1
BZK;Stalschaft;1;;;1
BZK;Steegro Banden;;;1;1
BZK;Stichting Rataplan Fiets;1;;;1
BZK;Still Intern Transport B.V.;;;2;2
BZK;Stokman Den Helder B.V.;;;1;1
BZK;Taxi Boute B.V.;1;;;1
BZK;Taxibel Centrale;1;;;1
BZK;TCR Vervoer  Regio Raalte;;;1;1
BZK;TOTAL Nederland N.V.;;;1;1
BZK;Travelcard Nederland B.V.;;;5;5
BZK;Truckland Zuid-Holland B.V.;;;2;2
BZK;Van Berkel ®;;;4;4
BZK;Van der Mey-Advies;1;;;1
BZK;Van der Spek Heftrucks B.V.;;;1;1
BZK;Van Vliet Autobedrijven;;;1;1
BZK;VCK Travel B.V.;3;;;3
BZK;Volkswagen Centrum Nijmegen;;;1;1
BZK;Watersnoodmuseum;;1;;1
BZK;Wittebrug;;;4;4
BZK;Wittebrug Autoschade B.V.;;;1;1
DEF;(NIET GEBRUIKEN) Car Cool Center;;;1;1
DEF;A. de Jong T.H. Beheer;;;2;2
DEF;A. v. Tilburg Handelsond. en Techniek B.V.;;;1;1
DEF;A.P.K. Centrum Osdorp B.V.;;;1;1
DEF;Aanhangwagen Centrum Eindhoven B.V.;;;1;1
DEF;Aboma;;;1;1
DEF;Accu Centrale Hippo (ACH) B.V.;;;1;1
DEF;AD-S&Co B.V.;;;1;1
DEF;Aebi Schmidt Nederland B.V.;;;2;2
DEF;Aero Marche B.V.;;;1;1
DEF;Air Liquide B.V.;;;1;1
DEF;Aircontrol Automotive B.V.;;;1;1
DEF;Airlet Continental B.V.;;;2;2
DEF;Albers Zeilmakerij B.V.;;;1;1
DEF;Al-Ko Kober B.V.;;;1;1
DEF;Alphatron Marine B.V.;;;1;1
DEF;Altop Kunststoftechniek B.V.;;;1;1
DEF;ANWB B.V.;;;4;4
DEF;Ardea Auto Den Haag;;;7;7
DEF;Ardea Auto Rotterdam-West;;;1;1
DEF;Arend Auto B.V.;;;1;1
DEF;Ass. Autofauteuils B.V.;;;1;1
DEF;ASV Automobielbedrijven B.V.;;;4;4
DEF;Athlon Car Lease Nederland B.V.;;;8;8
DEF;Ausma Motorenrevisie B.V.;;;2;2
DEF;Autec Hefbruggen B.V.;;;1;1
DEF;Auto Muntstad Zeist;;;1;1
DEF;Auto Rega B.V.;;;1;1
DEF;Auto ReGa Noord;;;1;1
DEF;Autobedrijf Hans Versteden B.V.;;;1;1
DEF;Autobedrijf Hölscher;;;1;1
DEF;Autobedrijf Preuninger Haagland B.V.;;;7;7
DEF;Autobedrijf van den Udenhout B.V.;;;2;2
DEF;Autobedrijf Wagenmaker B.V.;;;1;1
DEF;Autobedrijven Noorderpoort;;;1;1
DEF;Autocentrum Castricum B.V.;;;1;1
DEF;Automobielbedrijf Stoomberg B.V.;;;1;1
DEF;Automotions MB Roosendaal;;;1;1
DEF;Autoplex Zevenaar B.V.;;;3;3
DEF;Autopoetsbedrijf Kleiboer V.O.F.;;;1;1
DEF;Autoschade J. Niesing B.V.;;;2;2
DEF;Autoschade Rijnders Amersfoort B.V.;;;3;3
DEF;Autoverhuur Bultman B.V.;;;1;1
DEF;B.V. Motor-Parts Etten-Leur;;;1;1
DEF;B.V. Rotterdamse Gar.- & Autom.Mij. 'Rogam';;;1;1
DEF;B.V. Utrechts Auto Bedrijf U.A.B.;;;1;1
DEF;B.V.D.A. International B.V.;;;1;1
DEF;Bakker Bedrijfswagens Scherpenzeel;;;1;1
DEF;Bandorama B.V.;;;2;2
DEF;Bart Strijbosch B.V.;;;1;1
DEF;BAS Groep B.V.;;;1;1
DEF;BCD Travel Nederland B.V.;;;1;1
DEF;Bedrijfswagen Service Friesland B.V.;;;2;2
DEF;BekkerLaGram Waalwijk B.V.;;;1;1
DEF;Benzine Super Markt Rijckholt V.O.F.;;;1;1
DEF;BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;2;2
DEF;Besbo Automaterialen B.V.;;;2;2
DEF;Besseling Onderhoud B.V.;;;1;1
DEF;Best Environmental & Safety Technology B.V.;;;1;1
DEF;Betam Truck & Carwash;;;1;1
DEF;Betam Truck & Carwash Schiphol;;;1;1
DEF;Betanco;;;1;1
DEF;Biemond & Van Wijk;;;4;4
DEF;Biesheuvel Groep B.V.;;;1;1
DEF;Bloks Auto en Autoschade;;;1;1
DEF;Bluekens Truck en Bus B.V.;;;1;1
DEF;Bochane Auto I Zeist;;;1;1
DEF;Boels Verhuur;;;1;1
DEF;Bondewel Oliën en Gassen (Terneuzen) B.V.;;;1;1
DEF;Bourguignon Leeuwarden B.V.;;;1;1
DEF;Brammer Eindhoven B.V.;;;1;1
DEF;Breeland B.V.;;;1;1
DEF;Brezan Automaterialen Goes;;;2;2
DEF;Broekhuis Deventer;;;1;1
DEF;Broekhuis Enschede B.V.;;;1;1
DEF;Bron Gascare B.V.;;;1;1
DEF;Broos Revisie B.V.;;;1;1
DEF;Broshuis B.V.;;;1;1
DEF;Brotec Benelux B.V.;;;1;1
DEF;Brouwer Motors B.V.;;;1;1
DEF;Buijtendijk B.V.;;;1;1
DEF;Bulthuis Truck- en Traileronderdelen B.V.;;;2;2
DEF;Bureau Veritas Marine Nederland B.V.;;;2;2
DEF;Burg Trailer Service B.V.;;;1;1
DEF;Burger Ferry Agencies B.V.;;;1;1
DEF;Burtec B.V.;;;1;1
DEF;Cannock Chase Public;;;1;1
DEF;Car Cleaning Correct B.V.;;;3;3
DEF;Car Cool Center;;;1;1
DEF;Carglass B.V.;;;1;1
DEF;Cargotec Netherlands B.V.;;;1;1
DEF;Carrier Transicold, Vego Trans;;;1;1
DEF;Carrosserie Akkermans B.V.;;;3;3
DEF;Carrosseriefabriek Veth Arnhem B.V.;;;2;2
DEF;Cartal Schagen;;;1;1
DEF;Carwash Coevorden;;;1;1
DEF;Carwash Leeuwarden B.V.;;;1;1
DEF;Centrum Garage;;;1;1
DEF;Chaser International;;;1;1
DEF;Claushuis Groep;;;1;1
DEF;Clean = Clean B.V.;;;1;1
DEF;Complete Store Van Dijk B.V.;;;2;2
DEF;Connexxion Tours B.V.;;;4;4
DEF;Conrad Electronic Benelux B.V.;;;1;1
DEF;Constructor Dexion Holland B.V.;;;1;1
DEF;Continental Banden Groep B.V.;;;1;1
DEF;Coolen B.V.;;;1;1
DEF;Cornelis Bedrijfsauto's B.V.;;;1;1
DEF;Creemers Compressors B.V.;;;1;1
DEF;D. van Dam B.V.;;;1;1
DEF;D.F. Krijgsman Automaterialen B.V.;;;1;1
DEF;DAF Trucks N.V.;;;3;3
DEF;ddcom (van Dulmen - Docpoint Combinatie);;;1;1
DEF;De Boer Dier & Ruiter B.V.;;;1;1
DEF;De Burgh Acht B.V.;;;1;1
DEF;De Burgh Son B.V.;;;1;1
DEF;De Molen Banden;;;1;1
DEF;De Molen Banden B.V.;;;2;2
DEF;De Pooter Olie B.V.;;;1;1
DEF;'De Tijd' Bedrijfskleding;;;1;1
DEF;De Vier Gewesten B.V.;;;2;2
DEF;De Vlas Transport B.V.;;;1;1
DEF;Den Hartogh Cleaning B.V.;;;1;1
DEF;Destil B.V.;;;1;1
DEF;DHL International B.V.;;;1;1
DEF;Diaber Benelux B.V.;;;1;1
DEF;Dijssel B.V.;;;6;6
DEF;Dog Sport Holland;;;1;1
DEF;doosopmaat.nl;;;1;1
DEF;Drõger Nederland B.V.;;;1;1
DEF;Drotech B.V.;;;1;1
DEF;E.B. Bredow Hydraulick Heerhugowaard B.V.;;;2;2
DEF;E.B.O. van Weel Beheer B.V.;;;2;2
DEF;E.T. Euro Trade Nederland B.V.;;;1;1
DEF;Eberca B.V.;;;1;1
DEF;Eenzet Handelsonderneming B.V.;;;1;1
DEF;Eilers Handel Nederland B.V.;;;1;1
DEF;El.-Techn. Bur. De Jong & Zn. Leiden B.V.;;;1;1
DEF;Electrostart B.V.;;;1;1
DEF;Elzinga;;;1;1
DEF;Ematra Richttechniek B.V.;;;2;2
DEF;Engbers Motors B.V.;;;1;1
DEF;Erica Recreatie B.V.;;;1;1
DEF;Eriks B.V.;;;1;1
DEF;Esso Vissers Odiliapeel;;;1;1
DEF;Esve B.V.;;;2;2
DEF;Eurocross Assistance Netherlands B.V.;;;2;2
DEF;Euromaster Bandenservice;;;2;2
DEF;Euro-Roller Technics B.V.;;;1;1
DEF;Evobus Nederland B.V.;;;1;1
DEF;Exide Technologies B.V.;;;1;1
DEF;Fa. D.J. van Dijk Doe het zelf artikelen;;;1;1
DEF;Fabory Nederland;;;1;1
DEF;Falkom Kranen Import B.V.;;;1;1
DEF;Federal Express Nederland;;;1;1
DEF;Fisher Emergo B.V.;;;1;1
DEF;Forte Midden Nederland;;;1;1
DEF;G.P.M. van Sleeuwen Motoren;;;2;2
DEF;Garage Rinsma Berlikum B.V.;;;1;1
DEF;Garagebedrijf Gebrs Van Dongen B.V.;;;4;4
DEF;Gaston Hydrauliek en Laadtechniek B.V.;;;1;1
DEF;Gebben Motoren B.V.;;;1;1
DEF;Gebr. Ligthart Carrosserie- en Tankbouw B.V.;;;1;1
DEF;Geertsma Tankstations B.V.;;;1;1
DEF;Gehlmax Nederland B.V.;;;1;1
DEF;Gencom Products B.V.;;;1;1
DEF;Gentec Energy B.V.;;;1;1
DEF;Gomes Schiphol;;;1;1
DEF;Gomes Warmenhuizen;;;2;2
DEF;Groeneveld Transp. Efficiency Nederland B.V.;;;1;1
DEF;Gröninger Cleaning Systems B.V.;;;1;1
DEF;H. de Vries Reinigingsapparatuur B.V.;;;1;1
DEF;Haar Nederland C.V.;;;1;1
DEF;Hamer B.V.;;;1;1
DEF;Handelsonderneming A.C. Rijpstra;;;1;1
DEF;Handelsonderneming Dirks B.V.;;;1;1
DEF;Harbers Trucks Apeldoorn B.V.;;;1;1
DEF;Harbers Trucks Barneveld B.V.;;;4;4
DEF;Harbers Trucks Veenendaal B.V.;;;1;1
DEF;Harry Meijer B.V.;;;1;1
DEF;Hartgers Radiateuren Zutphen;;;1;1
DEF;Hatz-Nederland B.V.;;;1;1
DEF;Heffiq Heftruck Verhuur B.V.;;;1;1
DEF;Heinen & Hopman Engineering B.V.;;;2;2
DEF;Hendriks Lottum;;;1;1
DEF;Hertz Automobielen Nederland B.V.;;;1;1
DEF;Het Motorhuis;;;8;8
DEF;Hippisch Centrum Muiderberg;;;1;1
DEF;Hobur Twente B.V.;;;1;1
DEF;Holland Inbouw;;;1;1
DEF;Hollandse Telecommunicatie Maatschappij;;;2;2
DEF;Holmatro Rescue Equipment;;;1;1
DEF;Hoogeboom Zeilmakerij B.V.;;;2;2
DEF;Hoppecke Batterijen Nederland B.V.;;;1;1
DEF;Hugen Brandbeveiliging en Adviesbureau B.V.;;;1;1
DEF;Huijsmans Service Center B.V.;;;1;1
DEF;IHC Hytech B.V.;;;3;3
DEF;Industrial Solutions Zuid-Oost B.V.;;;1;1
DEF;Int. Handelsonderneming 'Explora' B.V.;;;1;1
DEF;Intercédé B.V.;;;2;2
DEF;Intimus International Netherlands B.V.;;;1;1
DEF;ITS Hendrion B.V.;;;2;2
DEF;Iveco Nederland B.V.;;;1;1
DEF;Jager & Wiering H.O. Pirtek Utrecht;;;1;1
DEF;Jaguar Land Rover Nederland B.V.;;;2;2
DEF;Jan de Wit Autocars N.V.;;;4;4
DEF;Jan Terpstra & Zn. Tweewielerspecialisten;;;1;1
DEF;JCB;;;3;3
DEF;Jongeneel Auto-Electric;;;1;1
DEF;Jongsma Containers B.V.;;;4;4
DEF;Jonker Carrosserieen B.V.;;;1;1
DEF;JS Laadtechniek B.V.;;;1;1
DEF;Jungheinrich Nederland B.V.;;;4;4
DEF;K.G. Business Support;;;1;1
DEF;Kegama Automat. t.h.o.d.n. Brezan Automat.;;;1;1
DEF;Kenbri Fire Fighting B.V.;;;2;2
DEF;KN Travel;;;2;2
DEF;Kobout B.V.;;;1;1
DEF;Koeriersdienst Zwolle B.V.;;;1;1
DEF;Koks After Sales B.V.;;;3;3
DEF;Koks Civiel B.V.;;;2;2
DEF;Koninklijke PostNL B.V.;;;6;6
DEF;Kooning Schiphol B.V.;;;1;1
DEF;Kraakman Perfors B.V.;;;1;1
DEF;Krabbers-van Liempt;;;1;1
DEF;Kreisler Import B.V.;;;1;1
DEF;Kuiken N.V.;;;4;4
DEF;Kwint B.V.;;;1;1
DEF;L&S Specials B.V.;;;1;1
DEF;L. Kielstra Kraanverhuur B.V.;;;1;1
DEF;Lamers High Tech Systems B.V.;;;1;1
DEF;Langhout Intern Transport B.V.;;;1;1
DEF;Laska Computers;;;1;1
DEF;Leaseplan Nederland N.V.;;;8;8
DEF;Lemmens Motorsport;;;1;1
DEF;Liebherr-Nederland B.V.;;;6;6
DEF;Louwman Amersfoort;;;2;2
DEF;Louwman Amsterdam B.V.;;;3;3
DEF;Louwman Den Haag B.V.;;;1;1
DEF;M&R Carcleaning;;;1;1
DEF;M.G. Dassen Beheer B.V.;;;1;1
DEF;Mabo-Lifting Nederland B.V.;;;1;1
DEF;Machinefabriek J. van Geffen;;;4;4
DEF;Manutan B.V.;;;1;1
DEF;Marine Trading & Services B.V.;;;1;1
DEF;Maritech Marine B.V.;;;2;2
DEF;Martin Schilder Rental B.V.;;;2;2
DEF;Mennens Dongen B.V.;;;1;1
DEF;Michelin Nederland N.V.;;;1;1
DEF;MICU Nederland B.V.;;;1;1
DEF;Mijno van Dijk Mechanisatie B.V.;;;1;1
DEF;Miropa Zeist B.V.;;;1;1
DEF;Misset;;;1;1
DEF;Mobile Information Services B.V.;;;5;5
DEF;Mo-Tech Industries;;;2;2
DEF;Motoport Echt B.V.;;;1;1
DEF;Motoport Goes B.V.;;;1;1
DEF;Motoport Hengelo B.V.;;;1;1
DEF;MotoPort Hillegom B.V.;;;1;1
DEF;Motoport Westerhoven B.V.;;;2;2
DEF;Motor Centrum West B.V.;;;2;2
DEF;Motorhuis;;;7;7
DEF;Motorhuis Limburg B.V.;;;1;1
DEF;Motrac Intern Transport B.V.;;;3;3
DEF;Munckhof Regie;;;3;3
DEF;Munters Netherlands B.V.;;;2;2
DEF;N.A. van den Hoven & Zonen B.V.;;;1;1
DEF;Nadrukkelijk! B.V.;;;1;1
DEF;Neerlands Glas B.V.;;;1;1
DEF;Nefkens Utrecht B.V.;;;1;1
DEF;Neopost;;;1;1
DEF;Nilfisk-ALTO;;;1;1
DEF;Noorderpoort;;;1;1
DEF;Omnimark B.V.;;;1;1
DEF;On-Route;;;1;1
DEF;Orlaco Products B.V.;;;1;1
DEF;P.G.W. Nieuwland Beheer B.V.;;;1;1
DEF;Paardekooper;;;1;1
DEF;Pagid Benelux B.V.;;;1;1
DEF;Park-line B.V.;;;1;1
DEF;Pejo Den Helder Beheer B.V.;;;1;1
DEF;PEMAR Technische Groothandel B.V.;;;1;1
DEF;Peter Claassen Inbouwstation B.V.;;;1;1
DEF;Peters Aanhangwagens V.O.F.;;;1;1
DEF;Peugeot Nederland;;;3;3
DEF;Pijnappel Aanhangwagens B.V.;;;1;1
DEF;Plastic-Industrie J.L. Hooymayers;;;1;1
DEF;POL Heteren B.V.;;;1;1
DEF;Polymax Industrietechniek B.V.;;;2;2
DEF;Profile Tyre Center Blok;;;1;1
DEF;Profile Tyrecenter ABI;;;1;1
DEF;Profile Tyrecenter Abi Soest B.V.;;;2;2
DEF;Profile Tyrecenter Car-Service;;;1;1
DEF;Profile Tyrecenter Truck Europe N.V.;;;1;1
DEF;Profile Tyrecenter-Friese Bandenservice;;;2;2
DEF;Protempo B.V.;;;1;1
DEF;Pyroban Benelux B.V.;;;1;1
DEF;Quartel Modelbouw B.V.;;;1;1
DEF;R.T.H.-Relli Technology Holland B.V.;;;1;1
DEF;Ram Mobile Data (Netherlands) B.V.;;;1;1
DEF;Ravas Europe B.V.;;;1;1
DEF;Rederij Wadden Transport;;;1;1
DEF;Rega Parts B.V.;;;1;1
DEF;Ron Meijer Marine Services;;;2;2
DEF;Rovam Amersfoort;;;1;1
DEF;Rüttchen Automotive Breda vestiging Den-Bosch;;;1;1
DEF;Rüttchen Automotive, vest. bedr.auto's Breda;;;1;1
DEF;Ruys Handelsvereniging B.V.;;;1;1
DEF;Savas Seating B.V.;;;2;2
DEF;Scania Nederland B.V.;;;4;4
DEF;Schaap De With;;;1;1
DEF;Schadenet Midden-Brabant;;;1;1
DEF;Schiphol Nederland B.V.;;;1;1
DEF;Scholten Nijmegen B.V.;;;1;1
DEF;Schot Verticaal Transport B.V.;;;1;1
DEF;Schotpoort Traffic Center B.V.;;;4;4
DEF;Schouten Spijkenisse B.V.;;;1;1
DEF;Schouten Tiel B.V.;;;2;2
DEF;Schouten Utrecht B.V.;;;1;1
DEF;Scott Specialty Gases Netherlands B.V.;;;1;1
DEF;Secumar Benelux B.V.;;;1;1
DEF;Segwaybooking B.V.;;;1;1
DEF;Seko Benelux B.V.;;;7;7
DEF;Service Bureau Manders;;;1;1
DEF;Servicestation M. Rijks B.V.;;;1;1
DEF;Servicestation Rijtex Nieuweschans B.V.;;;1;1
DEF;Service-Station Valkenhuizen Jo Brouwers B.V.;;;1;1
DEF;SGS Nederland B.V.;;;1;1
DEF;Silver Star Agencies B.V.;;;1;1
DEF;Simon Schram Motors;;;1;1
DEF;Sixt B.V.;;;1;1
DEF;Skyjob Uitzendbureau B.V.;;;2;2
DEF;Smeets M.B. Zuid-Limburg B.V.;;;1;1
DEF;SpanSet Nederland B.V.;;;1;1
DEF;Spijkstaal Elektro B.V.;;;1;1
DEF;Staadegaard Automotive;;;1;1
DEF;Stam Aanhangwagens B.V.;;;1;1
DEF;Stam Soestdijk;;;1;1
DEF;Stern Auto;;;3;3
DEF;Stern Auto B.V.;;;2;2
DEF;SternRent;;;1;1
DEF;SternRent B.V.;;;7;7
DEF;Stevens Auto-Elektron. en Diesel/Hydr. V.O.F.;;;1;1
DEF;Still Intern Transport B.V.;;;1;1
DEF;T.C.V. Truck Cleaning Veghel;;;1;1
DEF;Tankinstallatiebedrijf Mokobouw B.V.;;;1;1
DEF;Technisch Bureau Magema B.V.;;;2;2
DEF;Technische Centrale;;;1;1
DEF;Technische Unie B.V.;;;1;1
DEF;Techno Comfort Cromstrijen B.V.;;;1;1
DEF;Telecombinatie Driebergen B.V.;;;1;1
DEF;Tennant N.V.;;;1;1
DEF;Terberg Techniek IJsselstein;;;1;1
DEF;Terex Cranes Germany GmbH;;;1;1
DEF;Teunis Automotive B.V.;;;1;1
DEF;Tevu B.V.;;;1;1
DEF;The Parkwash;;;1;1
DEF;Thermo King Transportkoeling B.V.;;;1;1
DEF;Thom. H. van der Boon B.V.;;;1;1
DEF;T-Mobile Netherlands B.V.;;;1;1
DEF;TNT Express Nederland B.V.;;;6;6
DEF;Tobias Fiscaal;;;1;1
DEF;Toplight Chartering;;;1;1
DEF;Topmoto B.V.;;;2;2
DEF;Topwash Autowascentrum Tonny Wessels;;;1;1
DEF;TOTAL Nederland N.V.;;;1;1
DEF;Toyota Material Handling Nederland B.V.;;;2;2
DEF;Traktiebatterijen Nederland B.V.;;;1;1
DEF;Trans Elektro B.V.;;;1;1
DEF;Transavia Airlines;;;2;2
DEF;Transmo B.V.;;;3;3
DEF;Transvision B.V.;;;7;7
DEF;Trim-Line of Holland B.V.;;;1;1
DEF;Triorep B.V.;;;1;1
DEF;Truckland Heerhugowaard;;;2;2
DEF;Truckland Noord-Holland B.V.;;;2;2
DEF;Truckstop Acht B.V.;;;1;1
DEF;TTS Swifterbant;;;1;1
DEF;Twisk Truck Service Alkmaar;;;2;2
DEF;UAS Utrecht-Oost;;;1;1
DEF;Unicorn B.V.;;;1;1
DEF;United Parcel Service Nederland B.V.;;;1;1
DEF;v.d. Linden v. Sprankhuizen Bedrijfsw. B.V.;;;2;2
DEF;Van Andel Rotterdam B.V.;;;1;1
DEF;Van Berkel Automobielbedrijven B.V.;;;1;1
DEF;Van Breemen B.V.;;;2;2
DEF;Van der Sanden Watersport B.V.;;;1;1
DEF;Van der Veen Trucks & Machines B.V.;;;1;1
DEF;Van der Werf Jelsum B.V.;;;1;1
DEF;Van Eijck Takel en Berging B.V.;;;1;1
DEF;Van Hooft Bedrijfswagen Veghel B.V.;;;4;4
DEF;Van Kerkhof & Visscher B.V.;;;8;8
DEF;van Kerkhof & Visscher Zaltbommel;;;2;2
DEF;Van Kouwen Mijdrecht;;;1;1
DEF;Van Meel Motoren B.V.;;;1;1
DEF;Van Mossel West B.V.;;;1;1
DEF;Van Poelgeest Hilversum B.V.;;;3;3
DEF;Van Tilburg-Bastianen B.V.;;;1;1
DEF;Van Tilburg-Bastianen DAF B.V.;;;3;3
DEF;Van Veen Transport B.V.;;;1;1
DEF;Van Vliet Parts B.V.;;;4;4
DEF;VanDoClean B.V.;;;1;1
DEF;VB-Airsuspension B.V.;;;1;1
DEF;VDK Taxivervoer B.V.;;;1;1
DEF;VDL Bus Venlo B.V.;;;3;3
DEF;VDP;;;1;1
DEF;Vereniging van Automobieltechnici ATC;;;1;1
DEF;Verkerk Utrecht B.V.;;;1;1
DEF;Verstraaten Personenvervoer B.V.;;;1;1
DEF;VHD Alarmcentrale;;;2;2
DEF;Visser B.V.;;;2;2
DEF;Volvo Group The Netherlands B.V.;;;4;4
