FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2019_punten_mirtnr.21,370,37006,Nadere uitwerking rivierengebied (NURG),5 Uiterwaardvergraving Afferdensche- en Deetsche waarden (2019),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (170012.23479999974 440037.6750999987)
mirt2019_punten_mirtnr.22,370,37006,Nadere uitwerking rivierengebied (NURG),5 Uiterwaardvergraving Afferdensche- en Deetsche waarden (2019),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (172397.04439999908 433950.86470000073)
mirt2019_punten_mirtnr.23,370,37007,Nadere uitwerking rivierengebied (NURG),4 Uiterwaardvergraving Bemmelse waarden,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (192505.2916000001 432157.56329999864)
mirt2019_punten_mirtnr.24,370,37008,Nadere uitwerking rivierengebied (NURG),"3 Uiterwaardvergraving Millingerwaard 75% gereed, restant 2020",Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (194907.11459999904 430663.7540999986)
mirt2019_punten_mirtnr.25,370,37008,Nadere uitwerking rivierengebied (NURG),"3 Uiterwaardvergraving Millingerwaard 75% gereed, restant 2020",Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (197841.05550000072 432113.46599999815)
mirt2019_punten_mirtnr.26,451,45101,Capaciteitsuitbreiding ligplaatsen Beneden-Lek, ,Hoofdvaarwegen,Zuidwest-Nederland,Realisatie,IenW,2016, , ,13,,POINT (114238.33350000158 437213.54769999906)
mirt2019_punten_mirtnr.27,514,51407,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,222,,POINT (73307.23250000179 437655.73110000044)
mirt2019_punten_mirtnr.28,514,51406,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,222,,POINT (99882.27309999987 426746.27639999986)
mirt2019_punten_mirtnr.29,514,51405,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,222,,POINT (90200.68879999965 432730.2243000008)
mirt2019_punten_mirtnr.30,514,51404,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,222,,POINT (84950.58399999887 433492.32239999995)
mirt2019_punten_mirtnr.31,514,51403,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,222,,POINT (79912.2126000002 432617.3112999983)
mirt2019_punten_mirtnr.32,514,51402,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,222,,POINT (62796.06850000098 439916.22509999946)
mirt2019_punten_mirtnr.33,514,51401,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,222,,POINT (60988.082400001585 438577.76249999925)
mirt2019_punten_mirtnr.34,615,61501,A10 Knooppunten De Nieuwe Meer en Amstel,Zuidas,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2017,2028,305,,POINT (120011.01929999888 483607.25979999825)
mirt2019_punten_mirtnr.35,309,30901,Zuidasdok,Amsterdam Zuid,Hoofdwegen en Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2016,2013/2017,2028,1643,,POINT (120011.01929999888 483607.25979999825)
mirt2019_punten_mirtnr.36,125,12501,"Amsterdam CS, fietsenstalling",Amsterdam CS,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2011,2015,2016-2019,9,,POINT (121844.7575000003 487941.4913999997)
mirt2019_punten_mirtnr.37,399,39901,Breda Centraal (t.b.v. Nieuw Sleutelproject),Amsterdam Zuid,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (120011.01929999888 483607.25979999825)
mirt2019_punten_mirtnr.38,399,39902,Breda Centraal (t.b.v. Nieuw Sleutelproject),Den Haag CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (82134.74060000107 455297.76359999925)
mirt2019_punten_mirtnr.39,399,39903,Breda Centraal (t.b.v. Nieuw Sleutelproject),Rotterdam CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (91858.9908999987 437794.2670000009)
mirt2019_punten_mirtnr.40,399,39904,Breda Centraal (t.b.v. Nieuw Sleutelproject),Utrecht CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (136001.34659999982 455787.3548000008)
mirt2019_punten_mirtnr.41,399,39905,Breda Centraal (t.b.v. Nieuw Sleutelproject),Arnhem CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (190215.07820000127 444180.4404999986)
mirt2019_punten_mirtnr.42,399,39906,Breda Centraal (t.b.v. Nieuw Sleutelproject),Breda Station NS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (112918.86199999973 400888.4232000001)
mirt2019_punten_mirtnr.43,95,9501,"Vleuten - Geldermalsen (inclusief Randstadspoor, fase 1)",Vathorst,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2002,vanaf 2003,vanaf 2005,911,,POINT (157587.87079999968 466577.0062999986)
mirt2019_punten_mirtnr.44,453,45301,Nieuwe Sluis Terneuzen, ,Hoofdvaarwegen,Zuidwest-Nederland,Realisatie,IenW,2016,2018,2022,192,,POINT (45770.03519999981 373166.1596999988)
mirt2019_punten_mirtnr.45,618,61801,Capaciteitsuitbreiding sluis Eefde,Sluis Eefde,Hoofdvaarwegen,Oost-Nederland,Realisatie,IenW,2015,2017,2020,155,,POINT (212956.6810999997 463826.0436999984)
mirt2019_punten_mirtnr.46,491,49101,Nijmegen omarmt de Waal (Waalfront), ,Integrale gebiedsopgaven,Oost-Nederland,Realisatie,BZK, ,2009,2027,25,,POINT (186725.79940000176 429630.85489999875)
mirt2019_punten_mirtnr.47,518,51801,Lichteren Buitenhaven IJmuiden, ,Hoofdvaarwegen,Noordwest-Nederland,Planuitwerking,IenW, , , ,65,,POINT (99562.83199999854 498280.1422000006)
mirt2019_punten_mirtnr.48,513,51301,Zeetoegang IJmond, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, , ,2022,940,,POINT (102093.67990000173 498036.36670000106)
