VERSIE,ID,NAAM,AFKORTING,TYPE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,ROTATIE,X,Y,LATITUDE,LONGITUDE
001,545,Den Haag HS,Gv,Station,536,,536,536__,Den Haag HS,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,61.22526,"61,225260",0.350914,"0,350914",0,81888,453936,52.068880511743,4.32088270901364
001,546,Den Haag Centraal,Gvc,Station,560,a,560,560_a,Den Haag Centraal,Gd-Gvc,Gouda - Den Haag Centraal ,25.305057,"25,305057",0.467267,"0,467267",0,82156,455266,52.0808682524612,4.32450688805614
001,547,Hoogkerk aansl.,Hgka,Aansluiting,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,76.157881,"76,157881",-42.683882,"-42,683882",0,229382,581225,53.2124770904611,6.50062779085885
001,548,Groningen Europapark,Gerp,Station,552,b,552,552_b,Groningen Losplaats,Hlg-Nscg,Harlingen - Nieuweschans Grens ,82.087596,"82,087596",-0.062823,"-0,062823",0,235079,580454,53.2047289073313,6.58569648965855
001,549,Veendam,Vdm,Station,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,15.000092,"15,000092",-0.25339,"-0,253390",0,255413,569740,53.1050573552083,6.88659527928793
001,550,Stadskanaal Pekelderweg,Skp,Goederen Emplacement,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,2.952753,"2,952753",0.245992,"0,245992",0,256855,559804,53.0155267587952,6.90499772131495
001,551,"Greuns, brug o/d - bij Leeuwarden",Grs,Brug,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,28.803607,"28,803607",-0.106776,"-0,106776",0,184594,579424,53.2006429319544,5.83006678581027
001,552,Hoogezand-Sappemeer,Hgz,Halte,004,,4,004__,Waterhuizen Aansl. - Zuidbroek,Hlg-Nscg,Harlingen - Nieuweschans Grens ,95.700364,"95,700364",0.2062,"0,206200",0,247596,575668,53.1597165217226,6.77160456434404
001,553,"Harinxmakanaal, brug o/h van - tussen Leeuwarden en Dronrijp/Mantgum",Hrm,Brug,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,24.017157,"24,017157",0.539091,"0,539091",0,179918,578404,53.1917157449168,5.76001534625144
001,554,Hurdegaryp,Hdg,Station,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,36.140089,"36,140089",0.221975,"0,221975",0,191582,581517,53.2190173256202,5.93487269122757
001,555,De Westereen,Dwe,Halte,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,43.562802,"43,562802",-0.329809,"-0,329809",0,198233,584818,53.2481810997236,6.03488289077583
001,556,Harlingen,Hlg,Station,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,1.075329,"1,075329",-0.083392,"-0,083392",0,157526,575968,53.1704005114511,5.42498108667763
001,557,Roodeschool aansl.,Rda,Overloop,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,26.140006,"26,140006",0.11731,"0,117310",0,245755,604003,53.4145716814493,6.75211794677101
001,558,Onnen Noord,Onn,Overloop,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,70.199613,"70,199613",0.170782,"0,170782",0,237657,576323,53.1672247269478,6.62321054065308
001,559,Appingedam,Apg,Station,201,,201,201__,Sauwerd - Delfzijl,Gn-Dz,Groningen - Delfzijl ,33.669751,"33,669751",-0.040159,"-0,040159",0,253300,594276,53.3258579716437,6.86255685204164
001,560,Hindeloopen,Hnp,Halte,008,,8,008__,Leeuwarden - Stavoren,Lw-Stv,Leeuwarden - Stavoren ,40.993921,"40,993921",0.239207,"0,239207",0,157418,551047,52.946461159853,5.42317929802004
001,561,Valkenburg,Vk,Station,070,,70,070__,Schin op Geul - Maastricht,Vet-Mtn,Verschau (D) - Maastricht Noord ,25.280703,"25,280703",-0.405309,"-0,405309",0,186375,320036,50.8692756187131,5.83288532972808
001,562,Tegelen,Tg,Station,060,,60,060__,Roermond - Venlo,Mt-Vl,Maastricht - Venlo ,65.614715,"65,614715",-0.074406,"-0,074406",0,207553,372392,51.3383086476815,6.14137929505798
001,563,Bunde,Bde,Station,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,6.37024,"6,370240",0.372799,"0,372799",0,179582,323081,50.8969777352239,5.73659830386276
001,564,Lutterade aansl.,Luta,Overloop,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,19.02001,"19,020010",0.461314,"0,461314",0,186386,332593,50.9821444338134,5.83413156905826
001,565,Maastricht Randwijck,Mtr,Station,071,,71,071__,Eijsden - Maastricht,Fvs-Mt,Visé (B) - Maastricht ,27.150116,"27,150116",-0.377576,"-0,377576",0,178268,316510,50.8379681919069,5.71750022621774
001,566,Budel,Bdl,Goederen Emplacement,058,,58,058__,Budel Grens - Weert,Bdl-Rm,Budel - Roermond ,55.455416,"55,455416",0.038938,"0,038938",0,168205,362072,51.2478334112964,5.57632632650271
001,567,Houtrakpolder (Amsterdam),Hrp,Goederen Emplacement,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),Hmta-Law,Hemtunnel Aansl. - Latexweg ,4.610735,"4,610735",0.416913,"0,416913",0,115039,490441,52.4003496158245,4.80003805479113
001,568,Enkhuizen,Ekz,Eindstation,217,,217,217__,Hoorn - Enkhuizen,Zd-Ekz,Zaandam - Enkhuizen ,49.799766,"49,799766",0.157443,"0,157443",0,148139,523552,52.6993368885589,5.28570865127307
001,569,Heerhugowaard,Hwd,Knooppunt,619,,619,619__,Heerhugowaard,Hdr-Zd,Den Helder - Zaandam ,35.177094,"35,177094",0.016623,"0,016623",0,116893,520471,52.6703578945858,4.82384466790892
001,570,Castricum,Cas,Halte,075,,75,075__,Alkmaar - Uitgeest,Hdr-Zd,Den Helder - Zaandam ,53.871468,"53,871468",-0.118486,"-0,118486",0,105611,506659,52.545329609903,4.65912173895831
001,571,Purmerend Weidevenne,Pmw,Halte,079,,79,079__,Zaandam - Hoorn,Zd-Ekz,Zaandam - Enkhuizen ,11.535335,"11,535335",-0.057332,"-0,057332",0,124225,501022,52.4960352165113,4.93403515357927
001,572,"Where, brug o/d - bij Purmerend",Whe,Brug,079,,79,079__,Zaandam - Hoorn,Zd-Ekz,Zaandam - Enkhuizen ,13.670261,"13,670261",-0.23672,"-0,236720",0,125812,502262,52.5072661874646,4.95729507754715
