;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;Eindtotaal
Bouwbedrijf De Winter;1;;;;;1
Bouwbedrijf Hemeltjen B.V.;1;;;;;1
Bouwbedrijf Wessels Rijssen B.V.;1;;;1;;1
Bouwcombinatie Campusplein V.O.F.;1;;;;;1
Bouwonderneming Veeneman B.V.;1;;;1;;1
Brandpreventie en Asbestsanering Zuid B.V.;1;;;;;1
Breeduit! Marketing, Communicatie en PR;1;;;;;1
Breijer Contractonderhoud B.V.;1;;;;;1
Bressers Metaal B.V.;1;;;1;;1
Broekhuizen Communicatie;2;;;;;2
Bronneberg Advocaten B.V.;;;;1;;1
Broodjeszaak Etenstijd;1;;;;;1
Bruggeling Holding B.V.;2;;;;;2
BTL Realisatie B.V.;1;;;;;1
Buitenhek Management & Consult B.V.;2;;;;;2
Bureau Bartels B.V.;4;;;;;4
Bureau Corine Overvest;1;;;;;1
Bureau KLB;2;;;;;2
Bureau Omlo;1;;;;;1
Bureau Tw!st;1;;;;;1
Bureau voor Interculturele Evaluatie B.V.;7;;;;;7
Bureautaal B.V.;1;;;;;1
Buro 8020;2;;;;;2
B-wave Creative Content;1;;;;;1
Café Sjiek;1;;;;;1
Capgemini Nederland B.V.;5;;3;;;6
Capriole Coffee Café B.V.;1;;;;;1
Carwash Zevenaar;1;;;;;1
Catering Broodje Gesmeerd;1;;;;;1
Cedris;1;;;;;1
CGI Nederland B.V.;1;;;;;1
Cimsolutions;3;;;;;3
Civic Space B.V.;1;;;;;1
Claartje Thijs Onderzoek en Advies;1;;;;;1
Claresse Visverwerking B.V.;1;;;;;1
Commixture Consultancy;2;;;;;2
Company Webcast B.V.;1;;;;;1
COMPAREX Nederland B.V.;2;;;;;2
Connectify diversity coaching & consulting;;;1;;;1
Coöperatief Congrestolkensecretariaat UA;1;;;;;1
Corten Advocaten;1;;;1;;1
Courius B.V.;;1;;;;1
Coursepath B.V.;1;;;;;1
Curltalk;1;;;;;1
D&B;4;;2;;;4
Dakteam B.V.;1;;;;;1
Damen Shiprepair Rotterdam;1;;;;;1
Damsté advocaten - notarissen;;;;1;;1
DAS;1;;;2;;2
DataIM;2;;;;;2
Dayma Advocatenkantoor;;;;1;;1
De Beleidsonderzoekers;6;;;;;6
De Goede Advocatuur en Consultancy B.V.;;;;1;;1
De Kempenaer Advocaten N.V.;;;;1;;1
De Koers;1;;;;;1
De Meerlanden Holding N.V.;1;;;;;1
De Nieuwe Lijn B.V.;2;;;;;2
De Processpecialisten B.V.;2;;;;;2
De Rode Planeet B.V.;1;;;;;1
De Ruijter Strategie B.V.;3;;;;;3
De Verbinders;1;;;;;1
De Waal Machinefabriek B.V.;1;;;;;1
De Waalpaal B.V.;1;;;;;1
de zebra-fabriek;1;;;;;1
Debat.NL B.V.;1;;;;;1
Deloitte Accountants B.V.;3;;;;;3
Derifarm;1;;;;;1
Derix Tekstproducties;1;;;;;1
DHL Supply Chain (Netherlands) B.V.;1;;;1;;1
Dialogic Innovatie & Interactie;3;;;;;3
Diamant-groep Concern;1;;;;;1
Dinnissen B.V.;1;;;1;;1
DIVERSION Holding B.V.;2;;;;;2
D'Javas;1;;;;;1
Drukkerij 'De bij' B.V.;1;;;;;1
Drukkerij De Bink B.V.;;;;1;;1
Dura Vermeer Bouw Hengelo B.V.;1;;;1;;1
Duwtje;2;;2;;;3
E.M.M. International B.V.;;;;1;;1
ECORYS Nederland B.V.;3;;;;;3
eenstemgeven.nl;1;;;;;1
Eethuis Marrakech;;;;1;;1
Effectory B.V.;;;2;;;2
Effectory Holding B.V.;;2;;;;2
Ekro B.V.;1;;;;;1
El Idrissi Advocaten;;;;1;;1
EMMA Communicatie B.V.;6;;;;;6
EQT Trainingen;2;;;;;2
ERFLEX B.V.;1;;;;;1
Ergo B.V.;2;;;;;2
ErgoVisie;1;;;;;1
ESB B.V.;1;;;;;1
Eva Klooster Onderzoek & Advies;1;;;;;1
Evemementenhal Gorinchem B.V.;1;;;;;1
Exact Software Nederland B.V.;2;;;;;2
Exploit. Maatsch. De Nwe Poort Rotterdam B.V.;1;;;;;1
Expo Display Service;1;;;;;1
Fa. Lek;1;;;;;1
Fa. P.M. de Wit & Zonen B.V.;1;;;1;;1
Feld Carrosserie B.V.;;;;1;;1
Fine Arts Productions John van Helvert;1;;;;;1
Fine Consultancy;;;;1;;1
Firma Hof der Muzen;1;;;;;1
Flowfirm B.V.;1;;;;;1
FMArbeidsvoorwaarden;1;;;;;1
Frappe Ole;;;;1;;1
Freek van den Bergh Fotografie;1;;;;;1
Fronions B.V.;1;;;1;;1
Futureconsult B.V.;1;;;;;1
Garage APK-Direct B.V.;1;;;;;1
Gebr. Janssen Beheer B.V.;1;;;;;1
Geradts & Vetter;;;;1;;1
Getting the picture B.V.;2;;;;;2
Gidsz B.V.;2;;;;;2
Gielen Catering & Cooking V.O.F.;1;;;;;1
GLT PLUS V.O.F.;1;;;1;;1
Grafisch ontwerpstudio - Stephanie Gijsen;1;;;;;1
H. Yilmaz Holding B.V.;1;;;1;;1
Haafkes, Nijkamp & Van Gurp B.V.;1;;;1;;1
Handelsonderneming Hak B.V.;1;;;;;1
Hanneke Kunst. Marketing, Manag. en Advies;2;;;;;2
Hans Roggen Fotografie;1;;;;;1
Hans Tak;1;;;;;1
Harriet Aans;;;1;;;1
HeadFirst B.V.;;;;;2;2
Heel Metaal B.V.;1;;;1;;1
Heerema Vlissingen B.V.;1;;;;;1
Hermans Suikermaïs B.V.;1;;;1;;1
Het Bakkertje;1;;;;;1
Het Kookplein;1;;;;;1
Het Muntgebouw-Utrecht B.V.;1;;;;;1
Het Prentenkabinet;1;;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;;;1
Holland Systemen Elektronische;1;;;;;1
Hollandse Hoogte B.V.;1;;;;;1
HollandSpoor B.V.;1;;;;;1
Hotel Papendal;1;;;;;1
Huis van Verbeelding;1;;;;;1
Human Capital Group B.V.;2;;;;;2
Human Dimensions B.V.;;;1;;;1
Huyer deurwaarder & incasso;1;;;;;1
Huyer deurwaarder en incasso;1;;;;;1
HvdL Coaching;1;;;;;1
HVG Law LLP;1;;;1;;1
I & O Research B.V.;4;;;;;4
IBM Nederland B.V.;2;;;;;2
I-generator;1;;;;;1
Il Sogno;1;;;1;;1
Ilse Dekker Communicatie;2;;;;;2
In2Content B.V.;1;;;;;1
in60seconds B.V.;1;;;;;1
Indonesia Specialist Antara;1;;;;;1
Inside Polarisation;2;;;;;2
Inspire to Act;1;;;;;1
iotspot B.V.;;;2;;;2
Ipse de Bruggen;1;;;;;1
Ipsos B.V.;3;;;;;3
J.E. Buitenhek Coach., psychologisch advies;1;;;;;1
J.H.J. Huiskes;1;;;;;1
Jacques Handelé Antwoorden en Vragen;1;;;;;1
Jan Zandbergen Holding B.V.;1;;;;;1
Jan-Jaap in der Maur;1;;;;;1
Janssen Transport Verhuur B.V.;1;;;;;1
JC Advies en Interim management;;2;;;;2
Jetstone Produktie B.V.;1;;;;;1
JigsEye B.V.;1;;;;;1
JMA Teksten;1;;;;;1
Jongbloed Fiscaal Juristen;;;;1;;1
JTM-Invents;1;;;;;1
Kairos Trainingen;1;;;;;1
Kantar Netherlands B.V.;5;;;;;5
Kenniscentrum Argos;2;;;;;2
Kessels & Smit, the Learning Company B.V.;3;;;;;3
Kindermediair B.V.;1;;;;;1
Kleentec B.V.;1;;;;;1
KLK Kolb Specialties B.V.;1;;;1;;1
KLM Catering Services Schiphol B.V.;1;;;;;1
Klusman.Com B.V.;6;;;;;6
Kon. CBM, branchever. inter.bouw & meubelind.;1;;;1;;1
KPMG Advisory N.V.;5;;3;;;5
Kristel Peijnenborg;1;;;;;1
Kronenburg Promotie & Begeleiding B.V.;1;;;;;1
KSK Tax & Legal Services;;;;1;;1
Kuehne + Nagel Logistics B.V.;1;;;;;1
Kuijpers Administraties & Belastingen;;;;1;;1
Kunst&Kook workshopatelier;1;;;;;1
Kwakkel Asbest B.V.;1;;;;;1
Kwekerij A.T. Verdonk & Zoon;1;;;;;1
La Bella Vita Waalwijk;1;;;;;1
Labyrinth onderzoek & advies;4;;;;;4
Lawet N.V.;;;;1;;1
Learning Connected Holding B.V.;;;2;;;2
Lef Interim;2;;;;;2
Lily Schuimer;2;;;;;2
Linquenda domus B.V.;;;;1;;1
LISAAN;2;;;;;2
Livewords;2;;;;;2
Lloyd's Register Nederland B.V.;;;1;;;1
Lodewikus Beton B.V.;1;;;;;1
Logacom B.V.;1;;;;;1
Logeion;1;;;;;1
LOT of Architecture & Design;1;;;;;1
Lysias Advies B.V.;4;;;;;4
M.E. Huizing Advies;1;;;;;1
M4Office;2;;;;;2
Maatschap Ros;1;;;1;;1
Machine- en Lierenfabriek C. Kraaijeveld B.V.;1;;;1;;1
Mad Multimedia;1;;;;;1
Madina Delicious Food;1;;;;;1
Maja Stuwadoors;1;;;;;1
Marieke Duijsters Fotografie;1;;;;;1
Marieke Obdam;;;1;;;1
MARKS woorden - Perspectivity;2;;;;;2
Martijn Beekman Fotografie;1;;1;;;1
Martijn Goedegebuure;1;;;;;1
Marxman Advocaten B.V.;;;;1;;1
Maters & Hermsen Journalistiek B.V.;4;;2;;;4
MBE Afbouw B.V.;1;;;;;1
MBI B.V.;1;;;;;1
Meat Friends Best B.V.;1;;;1;;1
MECC Maastricht B.V.;1;;;;;1
Media Distillery International B.V.;2;;;;;2
Medux B.V.;1;;;1;;1
Meetingselect B.V.;6;;1;;;6
Megapraxis;1;;;;;1
Meijer Boomverzorging B.V.;1;;;1;;1
Meram Rotterdam Zuid B.V.;1;;;;;1
Mercedes-Benz Cust. Ass. Center Maastricht NV;1;;;;;1
Metaalwerk Arie Belo B.V.;1;;;1;;1
Mies/Tekst en Training;1;;;;;1
Millers;1;;;;;1
Minchenu;1;;;;;1
MingleMush B.V.;1;;;;;1
Molen & Molen;;;1;;;1
Montagebedrijf Berry B.V.;1;;;;;1
Motivaction International B.V.;2;;;;;2
Motivisati;1;;;;;1
Mr. N. Velthorst, advocaat;;;;1;;1
MT Gassystemen B.V.;1;;;;;1
MULTIVATION Management & Consultancy;2;;;;;2
Mutanabbi B.V.;2;;;;;2
Muzus B.V.;3;;;;;3
MWM2 B.V.;1;;;;;1
MYbusinessmedia B.V.;1;;;;;1
Mynta Law B.V.;1;;;1;;1
N.V. ROVA Holding;;;;1;;1
Nederlands Debat Instituut Holding B.V.;2;;;;;2
Nemo B.V.;1;;;1;;1
New Babylon Meeting Center B.V.;1;;;;;1
New Energy Systems B.V.;1;;;1;;1
NewKing B.V.;1;;;1;;1
Next2Digital B.V.;2;;;;;2
NIBUD Geldgripper B.V.;1;;;;;1
NLO Shieldmark B.V.;1;;;;;1
Noor Schoonmaakbedrijf B.V.;;;;1;;1
NRG Nuclear Services B.V.;3;;;;;3
O.N.S. Detachering B.V.;1;;;1;;1
Oberon;1;;;;;1
Ockham - IPS (Instit. for Pol. Support) B.V.;2;;;;;2
Ocullus Consultancy;;;3;;;3
Omnicom Public Relations Group B.V.;2;;2;;;2
OnlyHuman Groep B.V.;1;;;;;1
Open Now B.V.;6;;;;;6
Ordina Technologie & Competenties B.V.;3;;;;;3
Ørsted Salg&Serv. NL,br.of Ørst. Salg&S A/S D;3;;;;;3
OSAGE communicatie en ontwerp;2;;;;;2
Ouderdorp Advocatuur;;;;1;;1
Ozkara Advocatuur;;;;1;;1
P. Jong Exp. & Groothand. van Bloemen B.V.;1;;;1;;1
Panteia B.V.;6;;;;;6
Pardon Consult;;1;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;2;;;;;2
Pelsser Consulting;2;;;;;2
Phaos Advies B.V.;2;;;;;2
Phil Nijhuis Fotografie;1;;;;;1
Pieter de Hoochweg;1;;;;;1
Pijk - Interim-managers/Troubleshooters B.V.;;;;;2;2
Pizzeria Caïro;;;;1;;1
Plein 20 Den Haag B.V.;1;;;;;1
Plein 9 A B.V.;1;;;;;1
Policy Design Studio;2;;;;;2
Porter Novelli B.V.;6;;;;;6
Porto Marina;;;;1;;1
Post Juridische Diensten;1;;;1;;1
PPRC B.V.;2;;;;;2
PressPage;2;;;;;2
Prevent;2;;;;;2
Profile Tyrecenter Schiebroek B.V.;1;;;;;1
Prostairs traprenovatie;1;;;;;1
Publicis;4;;;;;4
Publiek Denken;2;;;;;2
Publiquest, de Communicatie Coöperatie UA;3;;;;;3
QuoVadis Trustlink B.V.;1;;;;;1
R.B. van Baaren Holding B.V.;1;;;;;1
R.C. Verburg;1;;;;;1
Radar Groep B.V.;4;;;;;4
Railcenter;2;;;;;2
RCEC B.V.;2;;;;;2
RechtOp Juristen;;;;1;;1
Reesink Logistic Solutions B.V.;1;;;;;1
Regioplan Beleidsonderzoek B.V.;5;;2;;;5
Reijrink Aannemersbedrijf B.V.;1;;;;;1
Remlicht;1;;;;;1
Renewi Nederland B.V.;1;;;;;1
Renewi Overheidsdiensten B.V.;1;;;;;1
Reputatiegroep B.V.;2;;;;;2
Restaurant De Basiliek B.V.;1;;;;;1
Restaurant De Zakkendrager B.V.;1;;;;;1
Rien Vink Loonheffingen;1;;;;;1
Rigo Research en Advies B.V.;;;1;;;1
Roorda Reclamebureau B.V.;5;;;;;5
Round@bout Transport Twente B.V.;1;;;;;1
Rovasta-Roestvrijstaal Bleiswijk B.V.;1;;;;;1
S. Yilmaz Beheer B.V.;1;;;1;;1
Sadeghi Persdienst;1;;;;;1
Saint-Gobain Distribution;1;;;1;;1
Salverda Bouw B.V.;1;;;1;;1
Samira Bouchibti Communicatie & Advies;1;;;;;1
Sardes B.V.;3;;;;;3
Scheers Advocatuur;;;;1;;1
Scheidegger Opleidingen B.V.;1;;;;;1
Schiphol Nederland B.V.;1;;;;;1
Scholtus Special Products B.V.;1;;;1;;1
Science ON AIR;1;;;;;1
Sdu Uitgevers B.V.;2;;;;;2
Sea Chefs River Cruises Ltd.;1;;;1;;1
Seba Cultuurmanagement B.V.;;;1;;;1
Sennef De Koning Van Eenennaam;1;;;1;;1
Sezer Consult B.V.;2;;;;;2
Sherazade Advies;2;;;;;2
Siemens Nederland N.V.;1;;;1;;2
Sif Netherlands B.V.;1;;;;;1
Significant Public B.V.;5;;2;;;5
Simian B.V.;1;;;;;1
Sira Consulting B.V.;3;;;;;3
Smart&Able B.V.;1;;;;;1
Snijboon;2;;;;;2
Sociaal Economisch OndeRzoek Rotterdam B.V.;2;;;;;2
Social Finance NL B.V.;2;;;;;2
Social Mapping Company B.V.;3;;;;;3
Solvinity;5;;;;;5
Speakers Academy Special Projects B.V.;1;;;;;1
Speechless;2;;;;;2
Spr!ngworks;1;;;;;1
Sprengers Advocaten;;;;1;;1
Springer Media B.V.;1;;;;;1
St Beh Derdengelden CMS Derks Star;1;;;1;;1
St Beh Derdengelden Van Doorne;1;;;1;;1
St. Atria, kennisinst. emancip./vr.geschied.;1;;;;;1
STAPPERT Noxon;1;;;;;1
Starsound Productions Exploitatie B.V.;1;;;;;1
Start People Industriële Diensten B.V.;4;;;;;4
Statisfact B.V.;2;;;;;2
SteensmaEven;1;;;;;1
Steinweg Delta Marine Terminal B.V.;1;;;;;1
Stepwise B.V.;1;;;;;1
Stg Beheer Derdengelden Bouwman en Van;1;;;1;;1
Stg Blik op Werk;2;;;;;2
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;4;;;;;4
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;2;;;;;2
Stichting Aan de Slinger;1;;;;;1
Stichting Accessibility;1;;;;;1
Stichting Achmea Rechtsbijstand;;;;1;;1
Stichting AIESEC IP Licensing;1;;;;;1
Stichting Albert Schweitzer Ziekenhuis;1;;;;;1
Stichting AOVVT;2;;;;;2
Stichting Beheer Derdengelden;1;;;1;;1
Stichting Beheer Derdengelden Osborne;;;;1;;1
Stichting BMPNR;1;;;;;1
Stichting Bureau Krediet Registratie (BKR);1;;;;;1
Stichting ContourdeTwern;2;;2;;;2
Stichting De Bouwcampus;1;;;;;1
Stichting derdengelden Advocatenkantoor;;;;1;;1
Stichting Derdengelden Peeters Adv.;1;;;1;;1
Stichting 'Dialoog in Actie';1;;;;;1
Stichting Expertisecentrum Discriminatie;3;;;;;3
Stichting Fontys;2;;2;;;2
Stichting Greenwish;1;;;;;1
Stichting Humanitaire Hulp Irak;1;;;1;;1
Stichting Kunstenhuis De Bilt-Zeist;1;;;;;1
Stichting Laurens;1;;;;;1
Stichting Lemat;1;;;;;1
Stichting MOVISIE;2;;;;;2
Stichting Nederlands Migratie Instituut;7;;;;;7
Stichting Nieuw Wij;1;;;;;1
Stichting Price Waterhouse Beheer;;;1;;;1
Stichting Saxion;1;;;;;1
Stichting SEO Economisch Onderzoek;7;;;;;7
Stichting Sociaal en Werkgelegenheids-;;;;1;;1
Stichting Stimulansz;2;;;;;2
Stichting Tolknet;1;;;;;1
Stichting van de Arbeid;2;;;;;2
Stichting VeiligheidNL;;;1;;;1
Stichting Waarborgfonds Kinderopvang;1;;;;;1
Stichting Wimpie & De Domino's;2;;;;;2
Strandpaviljoen Buiten B.V.;1;;;;;1
studio a today;1;;;;;1
Studio Ronald van der Heide;1;;;;;1
Swaans Beton Weert B.V.;;;;1;;1
Taalstrategie B.V.;2;;;;;2
Tabula Rasa B.V.;3;;2;;;3
Talent & Organisatie;2;;;;;2
Tapijtcentrum Nederland B.V.;1;;;1;;1
Tappan Communicatie B.V.;1;;;;;1
Tata Steel IJmuiden B.V.;1;;;1;;1
Technoplanning B.V.;1;;;;;1
Tekstbureau Riette Duynstee;2;;;;;2
Textkernel B.V.;;;1;;;1
The Oddshop B.V.;4;;;;;4
Theo Klever B.V.;1;;;;;1
Tijssen & Saes advocaten en belastingkundigen;;;;2;;2
Tiktak/Segafredo Zametti;1;;;;;1
Tilkema Horeca B.V.;1;;;;;1
Tint, Buro voor Grafische Vormgeving;2;;;;;2
ToCa B.V.;1;;;;;1
Trimension B.V.;1;;;;;1
Trip Advocaten & Notarissen;2;;;1;;2
Truckland Tilburg;1;;;;;1
Uitzendbureau Flexibel B.V.;1;;;1;;1
Umami Restaurant Den Haag B.V.;1;;;;;1
v.b.i. Huissen B.V.;1;;;1;;1
Valerie Kuypers Fotografie;1;;;;;1
Van Arkel Gerechtsdeurwaarders;1;;;;;1
Van Arkel Gerechtsdeurwaarders B.V.;2;;;;;2
Van Diepen Juridisch Adviesbureau;;;;1;;1
Van Driel Holding B.V.;1;;;1;;1
Van Keulen Communications;2;;;;;2
Van Oosterhout B.V.;1;;;;;1
Van Rooijen Logistiek B.V.;1;;;;;1
Van Seggelen & Partners Gerechtsdeurwaarders;1;;;;;1
Van Steenderen MainportLawyers B.V.;1;;;1;;1
Van Vlier Media B.V.;2;;;;;2
Van Wijnen Weesp B.V.;1;;;;;1
VanEps Kunneman VanDoorne;2;;;;;2
Varia Vis B.V.;1;;;1;;1
VCK Travel B.V.;1;;;;;1
VDL Bus Valkenswaard B.V.;1;;;;;1
VDL Technics B.V.;1;;;;;1
Velders & Novak IMC;1;;;;;1
Veldhuis Media B.V.;1;;;1;;1
Verenigde Tankrederij B.V.;1;;;1;;1
Vereniging LFB;1;;;;;1
Vereniging van Turkse Arbeiders in Nederland;1;;;;;1
Verhagen Familierecht;3;;;;;3
Verheij Aannemers;1;;;;;1
Vineyard Domplein B.V.;1;;;;;1
Vitam Catering;1;;;;;1
Vogelperspectief Onderzoek & Praktijk;2;;;;;2
Vorm Vijf Ontwerpteam B.V.;1;;;;;1
Voskamp Advocatuur;;;;1;;1
WagenaarHoes B.V.;2;;;;;2
Weg Van Het Midden;1;;;;;1
Went Werkt Journalistiek;3;;;;;3
Wijnen Bouw Someren B.V.;1;;;1;;1
Winkelman & van Hessen Participaties B.V.;;;3;;;3
Worldmeetings.com B.V.;1;;;;;1
www.richardengelfriet.nl;1;;;;;1
WZ Advies B.V.;1;;;1;;1
Xerox (Nederland) B.V.;5;;;;;5
Yacht;1;;;;;1
Yahye Tolk/Vertaal & Training Bureau;1;;;;;1
YILDIRIM Juridisch Advies;;;;1;;1
Zijwegen B.V.;;;1;;;1
ZINZIZ B.V.;3;;;;;3
Zuidema Metselwerken B.V.;1;;;;;1
Zwarte Woud Vastgoed B.V.;1;;;;;1
Eindtotaal;9;3;6;4;3;9
