Ministerie;Handelsnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
BZ;CGI Nederland B.V.;;3;;;;;;;3
BZ;COMPAREX Nederland B.V.;;7;;1;2;;;4;7
BZ;Entopic Expert Services B.V.;;;;;;;;4;4
BZ;Flexa Media;;;;;;;1;;1
BZ;Futuremanagement B.V.;;;;;;;;2;2
BZ;Harvey Nash B.V.;;;;;;;;2;2
BZ;HeadFirst B.V.;;;;;;;;7;7
BZ;In2Content B.V.;;;;;;;1;;1
BZ;IT-Staffing Nederland B.V.;;;;;;;;7;7
BZ;Mercure Hotel Amsterdam City;;;;;1;;;;1
BZ;Microsoft B.V.;;7;;;;;;5;7
BZ;NFGD Zoetermeer B.V.;;;;;;;1;;1
BZ;Onlyhuman B.V.;;;;;;;;3;3
BZ;Oracle Nederland;;7;;;;;;;7
BZ;Orange Business Netherlands B.V.;;;;;;;9;3;9
BZ;Pardon Consult;;;;;1;;;;1
BZ;Planon B.V.;;;;;4;;;;4
BZ;PointLogic HR B.V.;;2;;;1;;;;2
BZ;Protinus IT B.V.;;1;;;;;1;;1
BZ;Public Partners B.V.;;;;;;;;1;1
BZ;QSM Nederland B.V.;;1;;;;;;;1
BZ;QuoVadis Trustlink B.V.;;1;;;;;;;1
BZ;Randstad Bouw;;;;;;;;4;4
BZ;Ricoh;;;;;;;2;;2
BZ;Ruigrok NetPanel;;2;;;;;;;2
BZ;Sodexo Altys B.V.;;;;;;;;2;2
BZ;SoftwareONE B.V.;;6;;;1;;;;6
BZ;Start People;;;;;;;;4;4
BZ;Technisch Bureau Verhagen B.V.;;1;;;;;;;1
BZ;Tempo-Team Uitzenden B.V.;;;;;;;;4;4
BZ;Tinqwise B.V.;;;;;;;;1;1
BZ;TPI Eurosourcing L.L.C.;;2;;;;;;2;3
BZ;Transip B.V.;;;;;;;1;;1
BZ;Twynstra Gudde;;;;;;;;2;2
BZ;UNO2CLOUD B.V.;;;;;;;1;;1
BZ;VCK Travel B.V.;;;;;;;;1;1
BZ;Verizon Nederland B.V.;;;;;;;1;;1
BZ;VerversAdvies B.V.;;;;;;;;4;4
BZ;Virtual Sciences Solutions B.V.;;2;;;;;;1;2
BZ;Visuall;;2;;;;;;;2
BZ;Vodafone;;;;;;;7;;7
BZK;2005 Lan Services B.V.;;;2;;;;;;2
BZK;2CoolMonkeys B.V.;;;2;;;;;;2
BZK;Aaaaha! The Actor Factory B.V.;;;;;;;;1;1
BZK;ABF Research B.V.;;;4;;;;;;4
BZK;Accenture B.V.;;;;;2;;;;2
BZK;Adcon IT Management B.V.;;;;;;;2;;2
BZK;Adv.bur.;;;1;;;;;;1
BZK;Advanced Encryption Technology Europe B.V.;;;;;2;;;;2
BZK;Adviesgroep Beleidscommunicatie B.V.;;;2;;;;2;;2
BZK;Advisie Business Consultants;;;;3;;;;;3
BZK;AEREA B.V.;;;;;;;2;;2
BZK;Aerophoto-Schiphol.nl;;;;;;;1;;1
BZK;Akasia Group Limited;;;;;1;;;;1
BZK;Aleid Landeweerd Illustraties en Vormgeving;;;;;;;1;;1
BZK;Allekabels B.V.;;;1;;;;;;1
BZK;Alternate Computerversand Nederland;;1;;;;;;;1
BZK;AlterNET Internet B.V.;;;;;4;1;;;4
BZK;AMPLEXOR Netherlands;;;;;;;;2;2
BZK;And International Publishers N.V.;;;;;5;;;;5
BZK;Anoniem 101;;;;;;;1;;1
BZK;Anoniem 104;;;;;;;1;;1
BZK;Anoniem 105;;;4;;7;2;;1;7
BZK;Anoniem 112;;7;1;;2;2;;3;7
BZK;Anoniem 113;;1;4;;;;;;4
BZK;Anoniem 142;;;;;;;1;;1
BZK;Anoniem 169;;;;;1;;;;1
BZK;Anoniem 171;;;4;;;;3;;4
BZK;Anoniem 184;;;1;1;;;;;1
BZK;Anoniem 185;;;;;;;1;;1
BZK;Anoniem 188;;;1;;;;;;1
BZK;Anoniem 191;;;;;;;1;;1
BZK;Anoniem 192;;;;;;;1;;1
BZK;Anoniem 2;;;;;;;1;;1
BZK;Anoniem 203;;;;;;;1;;1
BZK;Anoniem 220;;;;;;;1;;1
BZK;Anoniem 227;;;;;;;1;;1
BZK;Anoniem 236;;;;;;;1;;1
BZK;Anoniem 239;;;1;;;;;;1
BZK;Anoniem 253;;;;;;;1;;1
BZK;Anoniem 264;;;;;;;1;;1
BZK;Anoniem 267;;;1;;;;;;1
BZK;Anoniem 270;;;;;;;1;;1
BZK;Anoniem 273;;;;;;;2;;2
BZK;Anoniem 275;;;;;;;1;;1
BZK;Anoniem 277;;;;;;;1;;1
BZK;Anoniem 292;;;;;;;1;;1
BZK;Anoniem 300;;;;;;;1;;1
BZK;Anoniem 318;;;;;;;2;;2
BZK;Anoniem 329;;;;;;;2;;2
BZK;Anoniem 34;;;;;;;2;;2
BZK;Anoniem 343;;;;;;;1;;1
BZK;Anoniem 347;;;;;;;2;;2
BZK;Anoniem 371;;;;;;;1;;1
BZK;Anoniem 372;;;;;;;1;;1
BZK;Anoniem 378;;;;;;;1;;1
BZK;Anoniem 379;;;;;;;1;;1
BZK;Anoniem 380;;;;;;;1;;1
BZK;Anoniem 388;;;;;;;1;;1
BZK;Anoniem 389;;;1;;;;;;1
BZK;Anoniem 395;;;;;;;1;;1
BZK;Anoniem 402;;;;;;;;3;3
BZK;Anoniem 409;;;;;;;2;;2
BZK;Anoniem 418;;;;;;;2;;2
BZK;Anoniem 42;;;;;;;1;;1
BZK;Anoniem 427;;;;;;;1;;1
BZK;Anoniem 43;;;;;;;1;;1
BZK;Anoniem 431;;;;;;;1;;1
BZK;Anoniem 434;;;;;;;1;;1
BZK;Anoniem 436;;;;;;;1;;1
BZK;Anoniem 444;;;;;;;1;;1
BZK;Anoniem 454;;;;;;;1;;1
BZK;Anoniem 457;;;4;;;;;;4
BZK;Anoniem 458;;;;;;;1;;1
BZK;Anoniem 462;;;;;;;1;;1
BZK;Anoniem 467;;;;;;;1;;1
BZK;Anoniem 468;;;1;;;;;;1
BZK;Anoniem 474;;;;;;;1;;1
BZK;Anoniem 488;;;3;;;;;;3
BZK;Anoniem 507;;;1;;;;;;1
BZK;Anoniem 508;;;;;;;1;;1
BZK;Anoniem 511;;;;;;;1;;1
BZK;Anoniem 516;;;;;;;;1;1
BZK;Anoniem 518;;;;;;;1;;1
BZK;Anoniem 52;;;;;;;;1;1
BZK;Anoniem 523;;;;;;;1;;1
BZK;Anoniem 54;;;;;;;1;;1
BZK;Anoniem 541;;;;;;;1;;1
BZK;Anoniem 55;;;;;;;1;;1
BZK;Anoniem 56;;;;;;;1;;1
BZK;Anoniem 560;;;1;;;;;;1
BZK;Anoniem 566;;;1;;;;;;1
BZK;Anoniem 58;;;;;;;1;;1
BZK;Anoniem 589;;;2;;;;;;2
BZK;Anoniem 591;;;;;;;;1;1
BZK;Anoniem 593;;;;;;;2;;2
BZK;Anoniem 595;;;;;;;;1;1
BZK;Anoniem 597;;;1;;;;;;1
BZK;Anoniem 62;;;;;;;1;;1
BZK;Anoniem 81;;;;;;;2;;2
BZK;ANP Photo;;;;;;;1;;1
BZK;Apple Retail Netherlands B.V.;;1;;;;;;;1
BZK;ARCADIS Nederland;;;3;;;;;;3
BZK;Archidat B.V.;;;;;1;;;;1
BZK;ArchiXL B.V.;;;;;1;;;;1
BZK;ArtdCom B.V.;;;1;;;;1;;2
BZK;Asp4all Hosting B.V.;;1;;1;3;2;;5;5
BZK;Atos Nederland B.V.;;;4;;5;7;2;7;8
BZK;Avex B.V.;;;1;;;;;;1
BZK;Azerty;;;;;;;;1;1
BZK;Backup Transport & Depot Services B.V.;;;2;;;;;2;3
BZK;BBK/Door Vriendschap Sterker B.V.;;;;;;;1;;1
BZK;BCM Music Systems B.V.;;;;1;;;;;1
BZK;Bentley Systems Netherlands B.V.;;;;;;;;1;1
BZK;Berenschot International B.V.;;;2;;;;2;;2
BZK;Between B.V.;;;2;;2;;;;3
BZK;Binnenlands Bestuur B.V.;;;;;;;2;;2
BZK;BIS Bedrijfs Informatie Systemen B.V.;;7;4;2;;;;;7
BZK;Blinker B.V.;;;;1;1;;1;;2
BZK;BlueBerry Media B.V.;;;;;;;;1;1
BZK;bol.com B.V.;1;;;;;;1;;1
BZK;Boom B.V.;;;;;;;;2;2
BZK;BOOM Communicatie;;;;;;;1;;1
BZK;Bouwregelgeving Informatiesystemen B.V.;;;;1;;;;;1
BZK;BPMpartner B.V.;;;;;2;;;;2
BZK;Bravosolution Benelux;;;;;1;;;;1
BZK;BRISQ;;;1;;;;;;1
BZK;Brixx Europe B.V.;;;;1;;;;;1
BZK;BT Nederland N.V.;;2;4;;;3;6;2;7
BZK;Building Solutions Provider B.V.;;;;;2;;;;2
BZK;Bumicom Telecommunicatie B.V.;;;;;1;;;;1
BZK;Buro Kdijk;;;;;;;2;;2
BZK;BWS Consulting B.V.;;;;;;;;1;1
BZK;Cambrium B.V.;;;;;;;1;;1
BZK;CanCreate Concepts & Productions;;;;;;;1;;1
BZK;Canon Nederland N.V.;2;2;2;;;;;;3
BZK;Cans B.V.;;;;;2;;;3;3
BZK;Capgemini Nederland B.V.;3;;8;3;7;2;;7;9
BZK;Catering Lokaal B.V.;;;;;;;1;;1
BZK;CBizz B.V.;;;1;;;;;;1
BZK;Cendris Customer Contact B.V.;;;5;;;;;;5
BZK;Centraal Boekhuis B.V.;;;;;;;1;;1
BZK;Centric Test & Security Professionals B.V.;;;;;;;;1;1
BZK;CERRIX B.V.;;;;;;;;1;1
BZK;CGI Nederland B.V.;;;3;;4;;;9;9
BZK;Cimsolutions;;;2;;;;;;2
BZK;Cinnamon Interactive B.V.;;;1;;;1;;;2
BZK;Cloud Seven B.V.;;;;;;;1;;1
BZK;Clownfish Creatieve Communicatie B.V.;;;;;;;1;;1
BZK;CM Telecom B.V.;;;1;;;;2;7;7
BZK;Co & Co Solutions B.V.;;;;;4;;;;4
BZK;COMPAREX Nederland B.V.;;4;5;8;9;6;;6;9
BZK;Computel Stand-By B.V.;;;1;;;;;;1
BZK;Concorde Group B.V.;;;;;;;1;;1
BZK;Coney Analytix;;;;;1;;;;1
BZK;Connected Information Systems B.V.;;;;;;;;2;2
BZK;ConnectTools B.V.;;;1;;;;;;1
BZK;Conrad Electronic Benelux B.V.;;;1;;;;;;1
BZK;Contracto B.V.;;;;1;;;;;1
BZK;Coolblue B.V.;;;1;;;;1;;1
BZK;Coosto B.V.;;;2;;;;;;2
BZK;Copas B.V.;;;;;;;;2;2
BZK;Cosensis B.V.;;;;;;;1;;1
BZK;Covalent Infra Technology Solutions B.V.;;;;4;;;;;4
BZK;Crazy Monkey B.V.;;1;;;;;;;1
BZK;Creativa Design;;;;;;;1;;1
BZK;CrMatch B.V.;;;3;;;;;;3
BZK;Crossmark VR B.V.;;;1;;;;;;1
BZK;Customer Revolution B.V.;;;2;;;;;;2
BZK;Dalosy Projecten B.V.;;1;2;;;;;;2
BZK;De Fit communicatief label;;;;;;;1;;1
BZK;De Ideeënfabriek B.V.;;;;;;;1;;1
BZK;de Persgroep Nederland B.V.;;;;;;;1;;1
BZK;DE REE archiefsystemen;;;4;;;;;;4
BZK;De Wijkplaats B.V.;;;2;;;;;;2
BZK;Deloitte Consulting B.V.;;;2;;3;3;;5;5
BZK;Detron Computerverhuur;;;;;;;1;;1
BZK;Detron Telecom Enterprise;1;2;2;3;3;1;5;3;6
BZK;DIG - Design Innovation Group B.V.;;;;;;;2;;2
BZK;Digidentity B.V.;;;;;1;;;1;1
BZK;Digital Action;;;2;;;;;;2
BZK;Digital Data Warehouse B.V.;;;1;;;;;;1
BZK;Docspro B.V.;;;1;;;;;;1
BZK;Donki Gotte;;;;;;;2;;2
BZK;Dotweb Systems B.V.;;;;4;;;1;;4
BZK;DPI Animation House B.V.;;;;;;;3;;3
BZK;Driebit Hosting B.V.;;;2;;;;2;;2
BZK;Econed Veiligheid en Milieu;;;1;;;;;;1
BZK;Edery International B.V.;;;;;;;1;;1
BZK;Eenhoorn Meeting Center;;;;;;;;1;1
BZK;Ehrm Vision;;;;1;2;;;;2
BZK;Eleqtron;;;1;;;;;;1
BZK;EMC Computer Systems (Benelux) B.V.;;;;;5;;;;5
BZK;EMMA Communicatie B.V.;;;;;;;;2;2
BZK;EnablE-U B.V.;;;;;;;;1;1
BZK;Eneco Zakelijk;;;2;;;;;;2
BZK;Entopic B.V.;;;;1;;;;;1
BZK;EPI-USE B.V.;;;;2;1;;;1;2
BZK;Ernst & Young Certifypoint B.V.;;;;;;;;4;4
BZK;Esri Nederland;;;;2;;;;;2
BZK;Etuconsult B.V.;;;;;;;1;;1
BZK;Eurofiber Nederland;;;;;;;1;;1
BZK;Exact Software Nederland B.V.;;;;;2;;;;2
BZK;Explore-IT B.V.;;;;;1;;;;1
BZK;Expo Display Service;;;;;;;;1;1
BZK;ezCompany B.V.;;;;;;;;3;3
BZK;Facilion B.V.;;;2;;;;;;2
BZK;Finalist IT Group B.V.;;;1;;;;;;1
BZK;Fine Arts Productions John van Helvert;;;;;;;1;;1
BZK;firMM information/service design B.V.;;;;;;;2;;2
BZK;First Element B.V.;;;1;;;;;;1
BZK;Fleetlogic B.V.;;;;;1;;;;1
BZK;Flowlogics;;;;;;;;2;2
BZK;For Conference B.V.;;;1;;;1;1;;1
BZK;Fotopersburo Dijkstra B.V.;;;;;;;1;;1
BZK;Fox-IT;;;2;;;;;2;2
BZK;Franke Interim Management B.V.;;;;;;;;1;1
BZK;Frephitophe;;;;;;;1;;1
BZK;Fujitsu Technology Solutions B.V.;1;4;6;5;4;;;6;7
BZK;Futurecheck;;;;;;;1;;1
BZK;Futureproof Document Solutions;;;;;2;;;1;2
BZK;Gartner Nederland B.V.;;;1;;2;;;2;3
BZK;GBL ICT B.V.;;;;;;1;;;1
BZK;Gemnet B.V.;;;;;;4;;;4
BZK;Gemoro B.V.;;;1;;;;;;1
BZK;Geodan B.V.;;;1;;;;;;1
BZK;Getronics B.V.;;;;;;1;;;1
BZK;Grafisch Buro van Erkelens B.V.;;;1;;;;2;;2
BZK;Greenonline B.V.;;;;;;;1;;1
BZK;GreyPOSSIBLE Amsterdam B.V.;;;;;1;;;;1
BZK;H & R Interim - projectmanagement B.V.;;;;;;;;3;3
BZK;Hague Corporate Affairs B.V.;;;;;;;1;;1
BZK;Hatchfund.nl;;;1;;;;;;1
BZK;Havana Orange B.V.;;;;;;;1;;1
BZK;Hay Group B.V.;;;2;;;;;;2
BZK;HeadFirst B.V.;;;;;;;;2;2
BZK;HET KLOOSTER;;;;;;;;1;1
BZK;Heuvelman Sound & Vision B.V.;;5;6;;;1;;;6
BZK;Hoffmann Bedrijfsrecherche B.V.;;;;1;;;;;1
BZK;Hollandse Hoogte B.V.;;;;;;;1;;1
BZK;Hollandse Telecommunicatie Maatschappij;;;;;;;1;;1
BZK;Honeywell B.V.;;;;;;;;1;1
BZK;Hotel Zwolle Vastgoed B.V.;;;;;;;;1;1
BZK;Huis van Oorsprong;;;;;;;;1;1
BZK;Hulskamp Audiovisueel Den Haag;;1;;;;;;;1
BZK;IBM Nederland B.V.;;;;;7;;;;7
BZK;Icrow B.V.;;;;;1;;;;1
BZK;ID Ware International B.V.;;;;;3;7;;;7
BZK;Ideeaanzee B.V.;;;;;;;2;;2
BZK;Imachine B.V.;;;;;;;1;;1
BZK;Imageselect B.V.;;;;;;;1;;1
BZK;Imago B.V.;;;2;;;;;;2
BZK;In2Content B.V.;;;;;;;;2;2
BZK;in60seconds B.V.;;;;;;;1;;1
BZK;Infoprojects;;;3;;;;;;3
BZK;Information Builders (Benelux) B.V.;;;1;;;;;;1
BZK;Inkesta B.V.;;;1;;;;;;1
BZK;InnoValor B.V.;;;;;;;;2;2
BZK;Innovero Software Solutions B.V.;;;2;;1;;1;;2
BZK;Insight Enterprises Netherlands B.V.;;;;2;3;;;;3
BZK;InsightsWorld B.V.;;;1;;1;;;;1
BZK;Inspring Media B.V.;;;1;;;;;;1
BZK;Inter Access B.V.;;;;;;;;4;4
BZK;Interexcellent Holding B.V.;;;1;;;;;;1
BZK;Interexcellent IT Regie Management B.V.;;;2;;;;;;2
BZK;Intermax Holding B.V.;;;1;;;;;;1
BZK;Intermax outsourcing;;;;;2;;;;2
BZK;Internedservices;;;1;1;;;;;1
BZK;IOVIO BPT B.V.;;;;;2;;;1;2
BZK;IP Parking B.V.;;;2;;;;;;2
BZK;IT Management Group;;;;;2;;;;2
BZK;Itera B.V.;;;;;2;;;;2
BZK;ITQ Celerior B.V.;;;;;1;;;;1
BZK;IVU Traffic Technologies Benelux B.V.;;;3;;;;;;3
BZK;iWelcome B.V.;;;;;2;;;;2
BZK;JAWS Amsterdam;;;1;;;;4;;4
BZK;Joh. Enschedé Amsterdam B.V.;;;;;;;2;;2
BZK;Kaliber;;;1;;;;1;;2
BZK;Kaliber Interactive B.V.;;;;;;;;7;7
BZK;KBenP;;;;;;;;2;2
BZK;Kiwi Electronics B.V.;;1;;;;;;;1
BZK;Klussenbedrijf Brandt;;1;;;;;;;1
BZK;Kom Plot ! Hosting & Webdesign B.V.;;;1;;;;;;1
BZK;Koning & Hartman B.V.;;;1;;;;;;1
BZK;Koninklijke Kampert en Helm Rotaform B.V.;;;;;;;;5;5
BZK;Kosmos Reisgids;;;;;1;;;;1
BZK;KPMG Advisory N.V.;;;;;;;;4;4
BZK;KPN B.V.;5;;5;;4;1;7;1;7
BZK;KPN Consulting B.V.;;;;;;;2;7;7
BZK;KPN Corporate Market;1;;;1;7;2;;5;7
BZK;KPN ITNS Networks B.V.;;;;;;1;;;1
BZK;KPN Ventures B.V.;;;;;;;1;;1
BZK;KPN Winkel;;;;;;1;;;1
BZK;KSMT;;;1;;;;2;;2
BZK;Kubus architectural solutions;;;;1;;;;;1
BZK;Kwink Groep B.V.;;;;;;;2;;2
BZK;Land van verbinding;;;;;;1;;;1
BZK;LDC Uitgeverij B.V.;;;;;1;;;;1
BZK;Leene Communicatie;;;;;;;2;;2
BZK;Librt B.V.;;;;;;;1;;1
BZK;LimoenGroen B.V.;;;;;;;;1;1
BZK;Ljs Automatisering B.V.;;1;;;;;;;1
BZK;Login B.V.;;;1;;;;;;1
BZK;Loyals Online ZH B.V.;;;1;;;;;;1
BZK;Luna.nl B.V.;1;;;;;;;;1
BZK;Lyreco Nederland B.V.;;1;;;;;;;1
BZK;Maas Communicatie B.V.;;;;;;;1;;1
BZK;Mahieu Web Development B.V.;;;1;;;;;;1
BZK;MaMa Kelly B.V.;;;;;;;;1;1
BZK;Management Centrum Partners B.V.;;;;;;;;4;4
BZK;Marosel B.V.;;;;;;;;2;2
BZK;Maters & Hermsen Journalistiek B.V.;;;;;;;4;;4
BZK;Maxd'Oro B.V.;;;;;1;;;;1
BZK;MessageBird B.V.;;;;;;;1;;1
BZK;Metamorfose Vertalingen B.V.;;;;;;;2;;2
BZK;MetrixLab Nederland B.V.;;;;;;;;2;2
BZK;Meurs HRM;;;;;1;;;;1
BZK;Mexx Global B.V.;;;;;1;;;;1
BZK;Microsoft Financing International B.V.;;;;;1;;;;1
BZK;Mihosnet;;;;;1;;;;1
BZK;mijndomein.nl B.V.;;;;1;;;;;1
BZK;Misco Solutions B.V.;1;9;7;;1;3;;;9
BZK;MMM Interactieve Communicatie;;;;;1;;;;1
BZK;Mobile Tulip;;;;;;;1;;1
BZK;Moduli Print B.V.;;;;;;;2;;2
BZK;MSI Services B.V.;;;1;;;;;;1
BZK;My Cubes B.V.;;;;;;;;2;2
BZK;myBrand;;2;;;;;;;2
BZK;Nationale Beeldbank B.V.;;;;;;;1;;1
BZK;NCC Group Escrow Europe B.V.;;;;1;;;;;1
BZK;NCCW B.V.;;;2;2;;;;;3
BZK;Nemesys Telecommunicatie;;;;4;4;;;;5
BZK;Netcreators B.V.;;;;1;1;1;1;2;2
BZK;Nétive VMS B.V.;;;;;5;;;;5
BZK;Network Innovations;;1;;;;1;1;;2
BZK;Network Innovations Services;;;;;;5;2;2;5
BZK;Networking4all B.V.;;;;;1;;;;1
BZK;NEVI-Purspective B.V.;;;;;;;;1;1
BZK;New Babylon Meeting Center B.V.;;;;;;;;2;2
BZK;NH Den Haag;;;;;;;;2;2
BZK;Noise B.V.;;;2;;;;;;2
BZK;Norisk Keymanagement B.V.;;;1;;;;;;1
BZK;Nota Bene B.V.;;;;;1;;;;1
BZK;NotuBiz Nederland B.V.;;;1;;;;;;1
BZK;NRC Media Holding B.V.;;;;;;;1;;1
BZK;NSD International NL B.V.;;1;1;;;;;;1
BZK;O2 Communicatieadviesbureau B.V.;;;;;;;2;;2
BZK;OCIUS;;;;;;2;;;2
BZK;Odyssee B.V.;;;;1;;;;;1
BZK;Om De Hoek;;;;;;;;1;1
BZK;Ontwerpwerk B.V.;;;2;;;;1;;2
BZK;Optelec Nederland B.V.;;;;;;;;2;2
BZK;Optima Forma B.V.;;;;;;;2;;2
BZK;Oracle Benelux Usergroups;;;;1;;;;;1
BZK;Oracle Nederland;;;;6;6;;;;7
BZK;Orange IT B.V.;;;1;;;;;;1
BZK;Orcavoice B.V.;;;;;;;1;;1
BZK;Ordina N.V.;;;;;7;;;6;7
BZK;Ordina Nederland B.V.;;;;1;;;;;1
BZK;Ordina Technologie & Competenties B.V.;;;;;6;;;2;6
BZK;OSAGE communicatie en ontwerp;;;;;;;3;;3
BZK;Otys International B.V.;;;;;2;;;;2
BZK;P. Achten Beheer B.V.;;;1;;;;;;1
BZK;Panteia B.V.;;;;;;;;1;1
BZK;Paralax B.V.;;;;;;2;;2;2
BZK;Pardon Consult;;;1;;1;;;1;2
BZK;PBLQ B.V.;1;;;;;2;;4;4
BZK;PCextreme B.V.;;;1;;;;;;1
BZK;Performa Uitgeverij B.V.;;;;;;;1;;1
BZK;Photo Republic;;;;;;;1;;1
BZK;Pink Elephant;;;;2;2;;;1;3
BZK;Pink Elephant Business Intelligence B.V.;;;;;1;;;;1
BZK;PinkRoccade Local Government;;;;2;;;;;2
BZK;Planon B.V.;;;;;5;;;;5
BZK;Pool Worldwide B.V.;;;;;;;2;;2
BZK;Postcode.NL B.V.;;;1;1;;;;;1
BZK;PQR B.V.;;8;8;5;6;7;;2;9
BZK;Premium Inc. B.V.;;1;;;;;;;1
BZK;Presence Translate & Interact B.V.;;;;;;;1;;1
BZK;Previder;;;1;;;;;;1
BZK;Pricewaterhousecoopers Advisory N.V.;;;;;2;;;;2
BZK;Pricewaterhousecoopers N.V.;;;;;2;;;4;4
BZK;Prime Contact B.V.;;;;;2;;;2;2
BZK;Procura;;;;;;;1;;1
BZK;Protinus IT B.V.;1;9;7;7;7;4;1;5;9
BZK;Public Creation;;;;;;;2;;2
BZK;Publiek Denken;;;;;;;2;;2
BZK;PvIB: Platform voor informatiebeveiliging;;;;;;;;1;1
BZK;Q Delft B.V.;;;2;;;;;;2
BZK;QS solutions B.V.;;;;;1;;;;1
BZK;Quality Support B.V.;;;;;;;;1;1
BZK;Quint Wellington Redwood Nederland B.V.;;;;;2;;;2;2
BZK;QuoVadis Trustlink B.V.;;1;;2;2;2;;2;4
BZK;R.D. Holding B.V.;;;1;;;;;;1
BZK;Raatwerk B.V.;;;1;;;;;;1
