;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
BouwQ B.V.;;2;;;;;;2
brainbay B.V.;;;2;;;;;2
Bribenco B.V.;;;1;;;;;1
Brighthives;;1;;;;;;1
Brink Management/Advies;;;2;;;;;2
Buck Consultants International B.V.;;;1;;;;;1
Budgetronics;;;1;;;;;1
Building Organisation of Students Society;;1;;;;;;1
BuildingLabel B.V.;;;4;;;;;4
Bureau 'Mevrouw de Voorzitter';;1;;;;;;1
Bureau Personal Development B.V.;;;;;2;;;2
Bureau voor Overheidscommunicatie B.V.;;;4;;;;;4
Bureau Zuidema Learning Solutions B.V.;;;2;;;;;2
Buro BRAND Creative Factory B.V.;;;1;;;;;1
Buro BRAND Visuele Communicatie B.V.;;1;;;;;;1
Burrata Goudenregenplein B.V.;;;1;;;;;1
Buyitdirect.com N.V.;;;;1;;;;1
BvS Advies;;;;;2;;;2
bygg architecture;;2;;;;;;2
Café de Ceuvel Coöperatie UA;;;1;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;1
Calcasa B.V.;;;2;;;;;2
Capgemini Nederland B.V.;;;;;;6;;6
Carnegie-Stichting;;;1;;;;;1
Carthago ICT;;;;;;2;;2
CEEP BENELUX;;;2;;;;;2
Centrale Bibliotheek Rotterdam;;;1;;;;;1
Centralpoint Nijmegen B.V.;;;1;;;;;1
CENTURIO B.V.;;1;;;;;;1
Ciao! Ciao! B.V.;;;1;;;;;1
Cimsolutions;;;1;;;;;1
Citybakerytaart.nl B.V.;;;1;;;;;1
CM Partners B.V.;;2;;;;;;2
COMPAREX Nederland B.V.;;;4;;;4;;4
Complions-GRC B.V.;;;1;;;;;1
Computel Stand-By B.V.;;;1;;;;;1
Coop.dk MAD;;;1;;;;;1
Coöperatie Cirkelstad UA;;2;;;;;;2
Coöperatie VersnellingNL UA;;1;;;;;;1
Coöperatieve Vereniging KWH UA;;;1;;;;;1
Cormet Enjoy the Good Life B.V.;;1;;;;;;1
Cozijnsen Consulting B.V.;;;2;;;;;2
CSG, Bureau voor Facilitaire Dienstverlening;;;1;;;;;1
CTM Solution B.V.;;;;1;;;;1
CycloMedia Technology B.V.;;2;;;;;;2
DataChecker B.V.;;;2;;;;;2
DBN Vision;;;1;;;;;1
De Argumentenfabriek Groep B.V.;;;;;2;;;2
De Bonte Koe B.V.;;;1;;;;;1
De Pier B.V.;;;1;;;;;1
De School voor Transitie;;;;;1;;;1
De Waterreus;;;1;;;;;1
De Winkel van Sinkel B.V.;;2;;;;;;2
Debat.NL B.V.;;;2;;;;;2
DEERNS;;;1;;;;;1
Deerns Nederland B.V.;;2;;;;;;2
Dekxels B.V.;;;1;;;;;1
Deloitte Accountants B.V.;;2;;;;;;2
Deloitte Group Support Center B.V.;;;3;;;;;3
Detron Telecom Enterprise;;2;;;;;;2
DGMR Bouw B.V.;;;1;;;;;1
DGMR Industrie Verkeer en Milieu B.V.;;;2;;;;;2
Dialogic Innovatie & Interactie;;;3;;;;;3
Discountoffice.nl B.V.;;;1;;;;;1
Divertido;;;1;;;;;1
D'Javas;;;1;;;;;1
DPI Animation House B.V.;;;1;;1;;;2
Drukkerij Wilco;;;1;;;;;1
Duo Market Research B.V.;;2;;;;;;2
Dutch Consultancy Group B.V.;;;;;;6;;6
Duurzaam Gebouwd B.V.;;1;;;;;;1
E. van Baarle B.V.;;1;;;;;;1
Easyfairs Nederland B.V.;;2;;;;;;2
Eazie Den Haag II B.V.;;;1;;;;;1
Economisch Bureau Amsterdam EBA;;;2;;;;;2
Ecorys B.V.;;;4;;;;;4
Effectory Holding B.V.;;2;;;;;;2
Eiffel B.V.;;;4;;;;;4
Eigen Zin in Zijn;;;1;;;;;1
Eindhoven247 B.V.;;1;;;;;;1
Elektroraad Opleidingen B.V.;;2;;;;;;2
Elycio Vertalers;;1;;;;;;1
EMMA Communicatie B.V.;;;1;;;;;1
Emma Handson B.V.;;;1;;;;;1
Entopic B.V.;;2;;;;;;2
EPAM Consulting;;;;;;6;;6
ER;;;1;;;;;1
Ergo B.V.;;;2;;;;;2
Ernst & Young Belastingadviseurs LLP;;2;;;;;;2
EURS B.V.;;1;;;;;;1
Explicit Solutions;;1;;;;;;1
Exploitatiemaatschappij Grand Hotel;;;1;;;;;1
Fakton B.V.;;;4;;;;;4
Firm Ground;;1;;;;;;1
Fletcher Hotel Exploitaties B.V.;;1;;;;;;1
Floor! Marketing Communicatie & Sales B.V.;;;4;;;;;4
For Conference B.V.;;;1;;;;;1
FPh Onderzoek;;1;;;;;;1
Friso Advies;;1;;;;;;1
Future Communication Consultants B.V.;;;3;;;;;3
Ganspoort B.V.;;;1;;;;;1
Garoeda;;;1;;;;;1
Gartner Nederland B.V.;;4;4;;;;;5
gBOU B.V.;;2;;;;;;2
Gebr. Barendsen B.V.;;;1;;;;;1
Geodan B.V.;;;3;;;;;3
Geregeld;;1;;;;;;1
Governance & Integrity Nederland B.V.;;;2;;;;;2
Gran Mercado B.V.;;;2;;;;;2
GRAND HOTEL AMRATH KURHAUS THE HAGUE;;;1;;;;;1
Granny's Corner;;;1;;;;;1
Green Turf B.V.;;;1;;;;;1
H.K. Business & Advisory Services B.V.;;;4;;;;;4
Hampshire Hotel Management B.V.;;1;;;;;;1
Harry Booltink Project Advies & Management;;1;;;;;;1
HaskoningDHV Nederland B.V.;;;;;4;;;4
Het Kookplein;;;1;;;;;1
Hoekman Houtindustrie Rijssen B.V.;;;2;;;;;2
Hoffmann Bedrijfsrecherche B.V.;;;2;;;;;2
Holding Beheermaatschappij Ropeni B.V.;;;1;;;;;1
Hollandse Hoogte B.V.;;;1;;;;;1
Hoogduin Papierrestauratoren;;;1;;;;;1
Horeca Exploitatie Schiedamse Vest B.V.;;1;;;;;;1
Hotel-Café-Restaurant Haarhuis;;;1;;;;;1
HSK Interventie B.V.;;1;;;;;;1
Huiswerk;;;2;;;;;2
Humor werkt producties;;1;;;;;;1
I am Consultancy B.V.;;;1;;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;;;1;1
IJKX;;;2;;;;;2
Impero Romano Holding B.V.;;;1;;;;;1
in60seconds B.V.;;1;2;;;;;2
Infamous Productions Foundation;;;1;;;;;1
InnoValor B.V.;;;2;;;;;2
Innovention Change Management B.V.;;;1;;;;;1
Innovero Software Solutions B.V.;;1;;;;;;1
InsideStory;2;;;;;;;2
Instituut voor Wijsbegeerte B.V.;;3;;;;;;3
Intelligence Group B.V.;;;2;;;;;2
Intenza Consulting Group B.V.;;1;;;;;;1
Interoffice Kantoorinrichting B.V.;;;1;;;;;1
Interpoint B.V.;;;;;3;;;3
IPD European Social Property Services;;;4;;;;;4
ISS Integrated Facility Services B.V.;;;1;;;;;1
Istana Indonesisch restaurant;;;1;;;;;1
ItaQ;;;5;;;;;5
itslearning Nederland B.V.;;;2;;;;;2
Janita Sassen Vormgeving & Fotografie;;;;;1;;;1
Jenrick Nederland B.V.;;;2;;;;;2
Jonge Honden 2 C.V.;;;2;;;;;2
Jont Groenendaal;;1;;;;;;1
Joost Hoebink;;;1;;;;;1
Kaas en Toost;;1;;;;;;1
Kairos Green Development Group B.V.;;;2;;;;;2
Keizers Taxi;;;1;;;;;1
Kick Smeets Fotografie;;1;;;;;;1
Knippenberg Coachend Interim Management;;1;;;;;;1
Kompanen B.V.;;;4;;;;;4
Koning Photography;;;1;;;;;1
Koninklijke Woudenberg;;1;;;;;;1
Kotteman B.V.;;1;;;;;;1
Kouwenhoven Fotografie;;;1;;;;;1
KPMG;;;2;;;;;2
KPMG Advisory N.V.;;;3;;;;;3
KPMG Audit;;;2;;;;;2
Kruis IJzerhandel B.V.;;1;;;;;;1
KSG Osborne B.V.;;;1;;;;;1
Kumilamor;;;1;;;;;1
Kwa Bedrijfsadviseurs B.V.;;1;;;;;;1
KWD Management Diensten B.V.;;1;;;;;;1
Laheij Gespreksleiding;;;2;;;;;2
LANDSADVOCAAT DE;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;1
Leeuwendaal Advies B.V.;;;3;;;;;3
Levenswerken;;1;;;;;;1
Lindblom Public Relations/Public Affairs B.V.;;;;;1;;;1
Linguist Link Europe;;;1;;;;;1
Lloyd's Register Nederland B.V.;;1;;;;;;1
Locatie Marketing en Management Company B.V.;;;4;;;;;4
LOT of Architecture & Design;;1;;;;;;1
M.J. den Hartog h.o.d.n. Bailine Rijswijk;;1;;;;;;1
Maatschap The Demand Group;;;;;;1;;1
Maliebaan45 B.V.;;1;;;;;;1
Marcus Evans (Holland) Limited;;;1;;;;;1
Marieke Textor;;;2;;;;;2
Marketresponse Nederland B.V.;;;;;;;;
Marosel B.V.;;2;;;;;;2
Maxilia B.V.;;;1;;;;;1
Meetingselect B.V.;;;4;;;;;4
Megonit;;;2;;;;;2
Metier Academy Benelux B.V.;;;2;;;;;2
Mett;;;3;;;;;3
Meurs HRM;;;;2;;;;2
MNO Photo;;;1;;;;;1
Moduli Print B.V.;;;1;;;;;1
Monitori B.V.;;1;;;;;;1
More Balls Than Most B.V.;;;1;;;;;1
Munckhof Reizen B.V.;;;1;;;;;1
Museum Beelden aan Zee;;;1;;;;;1
MW & V;;;;;2;;;2
MWM2 B.V.;2;;1;;;;;2
N.O. voor toegep.-natuurwetensch. onderz. TNO;;;3;;;;;3
N.V. Nederlandsch Octrooibureau;;;1;;;;;1
Nationale Beeldbank B.V.;;;1;;;;;1
NCOI Techniek Trainingen B.V.;;3;;;;;;3
Necker van Naem B.V.;;;3;;;;;3
Nederlandse School voor Openbaar Bestuur B.V.;;;2;;;;;2
Nederlandse Vereniging voor;;;1;;;;;1
Netherlands Economic Observatory;;;2;;;;;2
Network of Research & Architecture B.V.;;1;;;;;;1
Neuf & Associates B.V.;;1;;;;;;1
New Sustainable Solutions B.V.;;;3;;;;;3
NHVB;;;1;;;;;1
NOSCERE;;1;;;;;;1
NRC Media Holding B.V.;;;1;;;;;1
NWC Events B.V.;;;1;;;;;1
Office Depot International;;;1;;;;;1
One Fox B.V.;;;2;;;;;2
OnlyHuman Groep B.V.;;1;;;;;;1
Open Ateliers B.V.;;1;;;;;;1
Optima Forma B.V.;;;1;;;;;1
Ordina Business Consulting & Solutions B.V.;;;;;;4;;4
Ordina Nederland B.V.;;;;;;5;;5
Ortec Finance B.V.;;;2;;;;;2
P & Projects B.V.;;1;;;;;;1
P2 Proces- en Projectmanagers B.V.;;;2;;;;;2
Paardekooper Organisatieadvies;;;2;;;;;2
PACT Public Affairs B.V.;;;;;2;;;2
PE Fotostudio B.V.;;1;;;;;;1
PeelPioneers B.V.;;1;;;;;;1
Peerage;;;3;;;;;3
Pegasus Events;;;1;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;1;4;2;;2;;;4
People, Patterns & Policy B.V.;;;;;3;;;3
PGW Advies;;;1;;;;;1
PHONSAWAN THAIS RESTAURANT;;;1;;;;;1
Pieter Verbeek;;;2;;;;;2
Planting Power;;;1;;;;;1
Plein 20 Den Haag B.V.;;;1;;;;;1
Plein 9 A B.V.;;1;1;;;;;1
Posad B.V.;;;2;;;;;2
PostNL Data Solutions B.V.;;;;;1;;;1
Practical Business Solutions B.V.;;;1;;;;;1
Presence Translate & Interact B.V.;;;1;;;;;1
Pricewaterhousecoopers Advisory N.V.;;2;5;;;;;6
Pricewaterhousecoopers N.V.;;;4;;;;;4
Privacy Management Partners Coöperatie UA;;;4;;;;;4
Professional Strategies;;2;;;;;;2
Protinus IT B.V.;;;2;;;2;;3
Provada B.V.;;2;;;;;;2
Public Cinema B.V.;;;2;;;;;2
Punctualis Real Estate C.V.;;1;;;;;;1
Q42;;2;;;;;;2
Qirion B.V.;;1;;;;;;1
RAI Amsterdam B.V.;;2;;;;;;2
Randstad Uitzendbureau B.V.;;;2;;;;;2
Real-life Xcape;;;1;;;;;1
RedNose IT B.V.;;;3;;;;;3
Regas IP B.V.;;;;;;5;;5
Re-integratiebureau re-turn B.V.;;1;;;;;;1
Renata Verloop Advies & Management;;;1;;;;;1
Restaurant De Zakkendrager B.V.;;;1;;;;;1
Restaurant Fouquet;;;1;;;;;1
Restaurant OKAY;;;1;;;;;1
Rigo;;;3;;;;;3
Rob Gieling Fotografie;;;1;;;;;1
Roel Dijkstra Persfotografie;;;1;;;;;1
Rokery by Simonis B.V.;;;;;;;1;1
RS Link;;;3;;;;;3
SDM horses;;;1;;;;;1
SECRETARY MANAGEMENT INSTITUTE;;;;;1;;;1
Servicekantoor Ipse de Bruggen;;;1;;;;;1
Shared Business B.V.;;1;;;;;;1
Show Rental B.V.;;1;;;;;;1
Shuttel B.V.;;;5;;;;;5
Siep Eilander Bestuur & Advies;;;2;;;;;2
Significant B.V.;;;4;;;1;;4
Simmons & Simmons LLP;;;4;;;;;4
Simple Check;;;2;;;;;2
Sira Consulting B.V.;;;2;;;;;2
Sjoerd van der Hucht Fotografie;;;1;;;;;1
SLTN IT Professionals B.V.;;;;;;3;;3
SNR Schouten & Nelissen Recovery B.V.;;;1;;;;;1
Socratax;;1;;;;;;1
SoftwareONE B.V.;;;2;;;;;2
Sogeti Nederland B.V.;;;;;;7;;7
Speakers Academy®;;;1;;;;;1
Sprengers Advocaten;1;1;2;;1;;;2
Squarewise;;1;;;;;;1
Starsound Productions Exploitatie B.V.;;;1;;;;;1
Steensma;;1;;;;;;1
Steinbuch Consultancy;;1;;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;1;;;;;;;1
Stg. Groninger Real Estate Students& Profess.;;1;;;;;;1
Stg. Standaardbestek Burg.- en Utiliteitsbouw;;3;;;;;;3
STICHTING CAOP;;;1;;;;;1
Stichting Crealisatie;;;1;;;;;1
Stichting De Bouwcampus;;2;;;;;;2
Stichting Derdengelden APG Service Partners;;8;4;;;;;8
Stichting Economisch Instituut voor de Bouw;;2;;;;;;2
Stichting Fundatie J.H.C. Voorhoeve;;;1;;;;;1
Stichting Het Vastgoed Symposium;;1;;;;;;1
Stichting Holland Property Plaza;;1;;;;;;1
Stichting Instituut voor Bouwrecht;;1;;;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;1;1;;;;;1
Stichting Koninklijke Rotterdamse;;;2;;;;;2
Stichting Lentiz Onderwijsgroep, samenwe;;;1;;;;;1
Stichting Nationaal ICT Instituut in de Zorg;;;2;;;;;2
Stichting NL Cares;;1;;;;;;1
STICHTING PRODEMOS;;;2;;;;;2
Stichting SEO Economisch Onderzoek;;1;2;;;;;2
Stichting WeMakeTheCity;;2;;;;;;2
Stichting ZB - Planbureau en Bibliotheek;;;1;;;;;1
Stipo;;;;;;;2;2
Stipp B.V.;;;;;;6;;6
Straatman Koster Advocaten B.V.;;1;;;;;;1
Strategisch Veiligheids Advies Jonge Vos;;2;;;;;;2
Strukton Worksphere B.V.;;1;;;;;;1
Studio Ossidiana;;1;;;;;;1
Sturingsadvies;1;;;;;;;1
Suit-case;;1;;;;;;1
Supa-Dupa;;1;;;;;;1
SurveyMonkey Europe UC;;;1;;;;;1
Sustainable Change B.V.;;1;;;;;;1
Svenon;;1;;;;;;1
Swis B.V.;;;1;;;;;1
t Goude Hooft Exploitatie B.V.;;1;;;;;;1
Taets Catering Services B.V.;;1;;;;;;1
TAPPAN COMMUNICATIE;;;2;;;;;2
Task Engineering & Projectmanagement B.V.;;1;;;;;;1
Tauro Beheer B.V.;;1;;;;;;1
TB Events;;;1;;;;;1
Team4Teams;1;;;;;;;1
Tekstschrijvers.nl B.V.;;;1;;;;;1
Tempo-Team Direct;;;4;;;;;4
Textinfo B.V.;;;;;;7;;7
The Embedding Company B.V.;;1;;;;;;1
The Knowledge Enterprise B.V.;;1;;;;;;1
THE LIME TREE;;;1;;;;;1
The Workplace Network;;1;;;;;;1
TIENOPLEIDINGEN;;2;;;;;;2
Tilkema Horeca B.V.;;;1;;;;;1
T-Mobile Netherlands B.V.;;;1;;;;;1
TNS Nipo B.V.;;2;;;;;;2
TODAY DESIGNERS B.V.;;;2;;;;;2
Tolk- en Vertaalcentrum Nederland;;;1;;;;;1
Topgeschenken Nederland B.V.;;;1;;;;;1
TOT Team Ontwikkel Trajecten B.V.;;;1;;;;;1
TrainersNoord;;1;;;;;;1
Transposafe Systems;;1;;;;;;1
Trichis Publishing B.V.;;2;;;;;;2
Trots Consultancy & Detachering B.V.;;;4;;;;;4
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;;2;;;;;;2
TwynstraGudde;;;4;;;;;4
Tyrilo B.V.;;;1;;;;;1
U&I Learning Nederland B.V.;;1;;;;;;1
UITGEVERIJ 12 PROVINCIEN;;;1;;;;;1
Unica Installatietechniek;;1;;;;;;1
Unzip Holding B.V.;;2;;;;;;2
Urbancore;;;1;;;;;1
Valerie Kuypers Fotografie;;;1;;;;;1
Van der Loo Consulting;;1;;;;;;1
Van Heijster, Relatiegeschenken/Premiums B.V.;;;1;;;;;1
Van Meer Juridische Zaken & Advocatuur;;;1;;;;;1
Van Vlier Media B.V.;;2;;;;;;2
Vanberkel Professionals B.V.;;;;;;;3;3
VANWAARDE Documentenwacht B.V.;;;1;;;;;1
Vastgoedmanagement Nederland (VGM NL);;;2;;;;;2
VCK Travel B.V.;;;3;;;;;3
Vector firesafety consultants B.V.;;2;;;;;;2
Veelpeper B.V.;;;3;;;;;3
Ver. NLdigital, ver. bedr. id sect. d.i.t.k.;;2;;;;;;2
Verdonck, Klooster & Associates B.V.;;;4;;;;;4
Vereniging Deltametropool;;;2;;;;;2
Vermaat Bedrijfshoreca B.V.;;;1;;;;;1
Vis Organisatieadvies;;1;;;;;;1
Visserie De Dagvisser;;;1;;;;;1
Vorm Vijf Ontwerpteam B.V.;;;2;;;;;2
Waterproof Events B.V.;;;1;;;;;1
Weistra Consult;;;2;;;;;2
Willemse Horeca Beheer;;1;;;;;;1
Wirtz, Film & Experience Agency B.V.;;;1;;;;;1
Wit Communicatie;;;2;;;;;2
Wolfskuil Verblijven B.V.;;;2;;;;;2
Woning Schouw B.V.;2;;;;;;;2
Worldmeetings.com B.V.;;2;1;;;;;2
WorldSkills International;;;2;;;;;2
Wouter Stolwijk Aanbestedingsexpert;;1;;;;;;1
WPEX B.V.;;;1;;;;;1
WUA B.V.;;;;;;;;
www.ictloket.nl;;4;;;;;;4
Xerox (Nederland) B.V.;;1;2;;;;;2
Yacht B.V.;;;2;;;;;2
YoungCapital Flex B.V.;;;2;;;;;2
YourSurprise.com B.V.;;1;;;;;;1
Yowsim! competence simulator B.V.;;;3;;;;;3
Yume interactive B.V.;;;1;;;;;1
Zaadhof's Cartonnage Fabrieken B.V.;;;1;;;;;1
Zaca;;;1;;;;;1
ZoomBIM;;;2;;;;;2
Eindtotaal;3;8;9;3;5;8;3;10
