Handelsnaam;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;Eindtotaal
Ignis Systems B.V.;1;;;1
IJbouw B.V.;1;;;1
IJsselfoort B.V.;1;;;1
IJzerhandel J.M. Raadsma Dokkum B.V.;1;;;1
IJzerhandel-Constr.bedr. G. van Loenen B.V.;2;;;2
Ikos Consult;1;;;1
IMI Aero-Dynamiek B.V.;1;;;1
Immolab B.V.;1;;;1
Impact interieurbouw;1;;;1
Imtech Building Services;1;;;1
In de Driehoek, congres- en vergadercentrum;1;;;1
Inbraakpreventie 'M.I.B.' B.V.;2;;;2
INEPRO Group B.V.;1;;;1
Infrastructure Services & Projects B.V.;1;;;1
Ingenieursbureau Ebatech B.V.;1;4;;4
Ingenieursburo De Leeuw B.V.;1;;;1
Inntel Hotels Rotterdam Centre;1;;;1
innvire B.V.;1;;;1
Installatiebedrijf De Eilanden B.V.;1;;;1
Installatiebedrijf De Kruijff;1;;;1
Installatiebedrijf Slagboom Vlaardingen;1;;;1
Int. Handelsonderneming 'Explora' B.V.;1;;;1
Intec Installatietechniek B.V.;2;;;2
Intergrass B.V.;1;;;1
International Lighting Company (I.L.C.);1;;;1
Internet New Business Concepts B.V.;1;;;1
Interparking Nederland B.V.;1;;;1
Intimus International Netherlands B.V.;1;;;1
Intos B.V.;1;;;1
Intratuin Breda B.V.;1;;;1
Intratuin Rosmalen;1;;;1
Intrum Justitia Nederland B.V.;;1;;1
Invest Plus Spieghelaer B.V.;4;;;4
Iolan B.V.;2;;;2
Iron Mountain Nederland B.V.;1;;;1
Isolatiebedrijf Zirkzee B.V.;1;;;1
ISS Integrated Facility Services B.V.;1;;;1
It Fits B.V.;1;;;1
J. van Esch B.V.;2;;;2
J.H. Aalders V.O.F.;1;;;1
J.P. van Eesteren B.V.;3;;;3
Jaarbeurs B.V.;3;;;3
Jacs. Koopman Electrotechnische Agentur. B.V.;1;;;1
Jalinen B.V.;1;;;1
Jan Snel B.V.;3;;;3
Jan Terpstra Tweewielerspecialist;1;;;1
Jansen Interieurbouw B.V.;3;;;3
Janssen-Fritsen B.V.;1;;;1
Janssen-Knibbeler;1;;;1
Jaski Automaten B.V.;1;;;1
JB. Vlaming & Zonen B.V.;;;1;1
JC Products;1;;;1
Jecor Professioneel B.V.;1;;;1
Jelle Bijlsma B.V.;2;;;2
JennySimone Interieur;1;;;1
Jobo Keuringen B.V.;1;;;1
Johnson Controls Systems & Service B.V.;1;;;1
Johnson Health Tech. Netherlands B.V.;1;;;1
Jongeneel B.V.;1;;;1
Jorritsma Bouw B.V.;2;;;2
Jos Janssen Koel- en Elektrotechniek;1;;;1
Jos ten Berg's Handelmaatschappij B.V.;1;;;1
Jos van Laar Groen B.V.;2;;;2
Jovi Beheer;1;;;1
JOVI Investments Events & Business Company II;1;;;1
JP Alberts;1;;;1
Jungheinrich Nederland B.V.;1;;;1
JuRo Horeca;1;;;1
Kaap Doorn B.V.;1;;;1
KABA Nederland B.V.;1;;;1
Kameryck B.V.;1;;;1
Kamphuis Hoogwerkers B.V.;1;;;1
Karcher B.V.;1;;;1
Karmel Drachten;1;;;1
Kasteel de Vanenburg B.V.;1;;;1
Kasteel Oud-Poelgeest Congreshotel B.V.;2;;;2
Kemkens Installatieburo B.V.;2;;;2
Kemkens Utiliteit B.V.;1;;;1
Kemper en van Twist Diesel B.V.;1;;;1
Kennelbouw Exclusief V.O.F.;1;;;1
Kerklaan & De Groot B.V.;2;;;2
Kesselaar & Zn. B.V.;1;;;1
Keukencentrum Marssum B.V.;1;;;1
Kiekebos & Bakker Klimaattechniek V.O.F.;1;;;1
King Nederland B.V.;1;;;1
King Wall;2;;;2
Kinket Hattem B.V.;1;;;1
Kiwa ISA Sport;1;;;1
Klimaatservice Holland B.V.;2;;;2
Klok Bouwmaterialen V.O.F.;1;;;1
Klok Glascentrale B.V.;2;;;2
Klok Schilderwerken B.V.;1;;;1
Kluizen & Sloten - M.S. Jeuring;1;;;1
KlusWijs Musselkanaal;1;;;1
KMT Ter Apel B.V.;1;;;1
Koda Woningbeheer;1;;;1
Koek & Reinders Schilderwerken B.V.;3;;;3
Koeltechnische Industrie Fridina B.V.;1;;;1
Koi & vijvercentrum Noord-Holland;1;;;1
Kon. Aannemingmaatschappij Van Waning B.V.;1;;;1
Koninklijk Instituut van Ingenieurs;2;;;2
Koninklijke Luchtvaart Maatschappij N.V.;1;;;1
Koninklijke Nederl. Akademie van Wetenschapp.;1;;;1
Kookpaleis B.V.;1;;;1
Kooning Schiphol B.V.;1;;;1
Kop Beveiliging B.V.;1;1;;1
KPN B.V.;1;1;;1
Krämer Bouw B.V.;1;;;1
Kramer Gieten B.V.;1;;;1
Krauth Verhuizingen B.V.;;;1;1
Kreeft V.O.F.;4;;;4
Kroon B.V.;1;;;1
Kropman Installatietechniek;3;;;3
Kruizinga B.V.;1;;;1
KS-Perslucht B.V.;1;;;1
Kuiper Bouw B.V.;1;;;1
KuiterGroningen;1;;;1
Kunst.nl B.V.;3;;;3
Kunstuitleen Friesland;1;;;1
Kwekerij Peter Wolfkamp;1;;;1
L en S;1;;;1
L&S Specials B.V.;2;;;2
la dolce vita Services;1;;;1
La Place Food B.V.;1;;;1
Labair;2;;;2
Lakeside Zwolle B.V.;1;;;1
Lamon Bedrijfshygiene BV;1;;;1
Lamon Glas Styling;1;;;1
Land van Belofte;1;;;1
Landbouwmechanisatiebedrijf Van den Berg B.V.;1;;;1
Landbouwmechanisatiebedrijf Veldman B.V.;1;;;1
Landgoed De Wilmersberg B.V.;2;;;2
Langenhuizen Glasservice;1;;;1
Larcom;1;;;1
Le Petit Pont;1;;;1
Lebkov;1;;;1
Lecot-Raedschelders-Nederland;1;;;1
Ledo Building Service B.V.;3;;;3
LEDstripkoning;1;;;1
Lemerij B.V.;1;;;1
Lennox Benelux B.V.;1;;;1
Lenting Project Loodgieters B.V.;;1;;1
Leren Filosoferen;1;;;1
Letro Lichtreclame B.V.;1;;;1
Leunissen Interieurbouw B.V.;1;;;1
Lexxyn Groep Backoffice B.V.;1;;;1
Leylines B.V.;;1;;1
Liander N.V.;;7;;7
Life Fitness (Atlantic) B.V.;1;;;1
Light International B.V.;1;;;1
Lightronics B.V.;1;;;1
Lijstenatelier Hans;1;;;1
Limeta;1;;;1
Linde Gas Benelux B.V.;1;1;;1
Linde Gas Cryoservices B.V.;1;;;1
Linssen Elektrotechniek B.V.;1;;;1
Locatie Marketing en Management Company B.V.;4;;;4
Löhr Zandvoort B.V.;1;;;1
Loodg.- en Installatiebedrijf Van Kooten B.V.;1;;;1
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;2;;;2
Loodgietersbedrijf Joosen;1;;;1
Loodgietersbedrijf Lantsink & Koning B.V.;2;;;2
Loonbedrijf Koonstra;1;;;1
Lotus Sleutels Nederland;1;;;1
Löwik Installatietechniek;1;;;1
Lubron Waterbehandeling B.V.;1;1;;1
Lunastar;1;;;1
M&R Micro-Imaging B.V.;6;;4;6
M. Pouls t.h.o.d.n. Pet's Place;1;;;1
M.M. Projects B.V.;2;;;2
M2 Services B.V.;1;;;1
Maas & Hagoort Lampen B.V.;1;;;1
Maas International B.V.;1;;;1
Maasdam Groep B.V.;1;;;1
Machinehandel Bruntink;1;;;1
Madurodam B.V.;1;;;1
Magna Carta Chipcard Technology;1;;;1
Magnin & Schipper B.V.;1;;;1
Maguise Partycatering;2;;;2
Makelaars Associatie Verhuur B.V.;1;;;1
Makken Verhuizingen B.V.;;;1;1
Mansier Tuinmachines V.O.F.;1;;;1
Manutan B.V.;4;;;4
Manutan B.V. / Bestdeal Factors B.V.;1;;;1
Marcel de Greef Schilderwerken;1;;;1
Mari Frunt Woning-/Projectinr. Rosmalen B.V.;1;;;1
Mariënhof Amersfoort B.V.;1;;;1
Martens EMA Support;1;;;1
Martiniplaza;1;;;1
Mastermate Arnhem B.V.;1;;;1
Mastermate Brinkman B.V.;2;;;2
Mastermate Van Ree;1;;;1
Mastermate-C.W. Jansen IJzerhandel;1;;;1
Matco Europe B.V.;1;;;1
Mauritshuis;1;;;1
Maximes Denneweg 10B B.V.;1;;;1
MB Safety B.V.;1;;;1
Measuremen B.V.;1;;;1
Meconaf B.V.;1;;;1
Medizon B.V.;1;;;1
Meertens Instituut;1;4;;4
Meet & Connect 's-Hertogenbosch B.V.;1;;;1
Meet Berlage B.V.;1;;;1
Meeting Plaza Utrecht B.V.;2;;;2
Meetingselect B.V.;3;;;3
MEGA Elektra Groep Amsterdam B.V.;1;;;1
Megens B.V.;2;;;2
Meiburg tuin- en parkmachines;1;;;1
Mennens Amsterdam B.V.;1;;;1
Mercx Oirschot;1;;;1
Merkelbach hovenier;1;;;1
Mesters Techniek;1;;;1
Metaal Atelier Meister;1;;;1
Metos B.V.;2;;;2
Mettler-Toledo B.V.;1;;;1
Meyer Service & Onderhoud B.V.;1;;;1
Meyer Specialistische Reiniging B.V.;1;;;1
MFC Trefpunt;1;;;1
Michel Doorn Rioolservice;1;;;1
Michiel de Bruijn Chefs on Tour;1;;;1
Miedema Bouwmaterialen B.V.;1;;;1
Millers;1;;;1
Millers Beach;1;;;1
Misco Solutions B.V.;1;;;1
MIXACT;1;;;1
Mix-Fix B.V.;1;;;1
Mobius Consult B.V.;1;;;1
mochi-lab;1;;;1
Mondial de Graaf Verhuizingen B.V.;;;1;1
Mondial Movers B.V.;1;;3;3
Monsdal Limburg Zuid B.V.;1;;;1
Montagebedrijf Bouwmeester;1;;;1
Mooirivier Congreshotel B.V.;2;;;2
Moonen Sleutel-Service;1;;;1
Motel Haarlem Zuid B.V.;1;;;1
Motel Hengelo B.V.;1;;;1
Motel Spier Exploitatie B.V.;1;;;1
Motivatio;1;;;1
Motrac Intern Transport B.V.;1;;;1
Motus B.V.;2;;;2
MPS B.V.;1;;;1
Mulder Bos en Tuin;2;;;2
Murre-De Visser Afbouwsystemen B.V.;1;;;1
Museum Catering Den Haag B.V.;1;;;1
Museumkwartier B.V.;1;;;1
My Facilities B.V.;1;;;1
MyMicro Group B.V.;1;;;1
MZS Slijpservice;1;;;1
N. Aarnoudse B.V.;1;;;1
N.B.C. Exploitatie B.V.;3;;;3
N.V. Nuon Sales Nederland;;6;;6
N.V. PWN Waterleidingbedrijf Noord-Holland;1;3;;3
N.V. Rendo;;2;;2
N.V. Sportinrichtingen Nieuwegein;1;;;1
N.V. Waterbedrijf Groningen;;2;;2
N.V. Waterleidingmaatschappij Drenthe;;3;;3
Nabben Klokkenservice;1;;;1
Nationaal Gevangenismuseum;1;;;1
Natuurmonumenten Regiokantoor Groningen;1;;;1
Nauta B.V.;1;;2;2
Nauta Security Storage B.V.;1;;1;2
Nauta Services B.V.;1;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;2;;;2
Nederlandse Bond van Vogelliefhebbers;1;;;1
Neerlands Glas B.V.;1;;;1
Neon Brabant B.V.;1;;;1
Neopost;1;;;1
Netwerk;1;;;1
New Babylon Gardens B.V.;1;;;1
New Babylon Meeting Center B.V.;3;;;3
NFGD Zoetermeer B.V.;1;;;1
NH Grand Hotel Krasnapolsky;1;;;1
Nielz Café B.V.;1;;;1
Nieuw Uilenburg;1;;;1
Nieuwe Energie;1;;;1
Nieuwe of Litteraire Sociëteit De Witte;2;;;2
Niwa Elektrotechniek & Automatisering;1;;;1
Nobel Project inrichting;2;;;2
Noordelijk Schildersbedrijf;1;;;1
Noorderpoort;1;;;1
Nootenboom Sport B.V.;1;;;1
Nooter Technische Installaties B.V.;1;;;1
Norisk Keymanagement B.V.;1;;;1
Northnets B.V.;1;;;1
Novar Nederland B.V.;1;;;1
Novotel Rotterdam Brainpark;1;;;1
Nsecure B.V.;2;;;2
Nuus Kassasystemen B.V.;1;;;1
NVD Beveiligingsgroep B.V.;1;;;1
NWC Events B.V.;1;;;1
Oasen N.V.;;4;;4
Oasis Archiefbeheer B.V.;1;;;1
Oasis Data & Archief;2;;1;2
Obelisk;1;;;1
Oenema Logistiek, Afvalverw. en Grondstoffen;2;;;2
Office Service Nederland B.V.;;;1;1
Okaphone Elektronika B.V.;1;;;1
Olieservice W.A. van Putten B.V.;1;;;1
Olympic Sportcentrum B.V.;1;;;1
ONCALL Europa Language Services SPR;1;;;1
Onroerend Goed Maatschappij Beukvoorde I B.V.;1;;;1
Ooperon Services B.V.;1;;;1
OostwegelReklame;1;;;1
Oostwoud International;1;;;1
Opnivo Horecameubilair;1;;;1
Optisport Hilversum B.V.;1;;;1
Organisatie Groep Zuid (O.G.Z.) B.V.;1;;;1
Oriëntal Tower B.V.;1;;;1
Orionis Walcheren;1;;;1
OTH Architecten B.V.;2;;;2
Otos LMR Systems;1;;;1
Oudaen B.V.;2;;;2
Outlet Center Leeuwarden;1;;;1
Oveka B.V.;1;;;1
Overbeeke Onderhoud & Advies;1;;;1
OVG Projecten LXXI B.V.;1;;;1
OVM Sales;1;;;1
P & R Advies en projectbegeleiding;2;;;2
P. de Vries Installatietechnieken B.V.;1;;;1
P.A. Wiersma Bouwmaatschappij B.V.;2;;;2
P1 Parking De Kroon B.V.;2;;;2
P1 Parking Spui centre B.V.;1;;;1
Paardenveld Vastgoed B.V.;1;;;1
Packsteen B.V.;2;2;;3
Pactechno;1;;;1
Pageshuis B.V.;1;;;1
Paleishotel;1;;;1
Paresto;1;;;1
Park Plaza Utrecht;2;;;2
Parkeerbedrijf Gemeente Groningen;1;;;1
Partytent Verhuur Almere;1;;;1
Patina Dakbedekkingen Beverwijk B.V.;1;;;1
Paul Bloemberg -hovenier-;2;;;2
Paviljoen de Witte;1;;;1
Paviljoen Hotel;1;;;1
PeCt B.V.;1;;;1
Peijnenburg Metaal;1;;;1
Peijnenburg Vught Cultuurtechniek B.V.;1;;;1
Peoplepower;1;;;1
Performance Solutions B.V.;1;;;1
Peter Schoen- en Sleutel Specialist;1;;;1
Peters Plafondsystemen Heesch B.V.;1;;;1
Peutz B.V.;1;;;1
Pevitext Buitenreclame B.V.;2;;;2
Photo Republic;1;;;1
Picea Abies B.V.;1;;;1
Pictogrammenwinkel;1;;;1
Pieters Bouwtechniek Haarlem B.V.;1;;;1
Pigeaud Cleanroomservice;2;;;2
Pim Jacobs Theater B.V.;1;;;1
Pincoffs 1879 B.V.;1;;;1
Pinkster Schilderwerken;1;;;1
Pioen Partners;1;;;1
PlantenWacht Interieurbeplantingen B.V.;1;;;1
Platex B.V.;1;;1;1
POL Heteren B.V.;1;;;1
Polvo B.V.;1;;;1
Pondres Direct Mail B.V.;1;;;1
PontMeyer Breda;1;;;1
Portakabin B.V.;1;;;1
PostNL Retail B.V.;1;;;1
Postwagen Tolbert B.V.;1;;;1
Pot Verhuizingen/Logistiek;;;2;2
Pouw Zwolle;1;;;1
Powder Supply;1;;;1
Pranger-Rosier Installaties B.V.;2;;;2
Praxis Zutphen B.V.;1;;;1
PreSafe B.V.;1;;;1
Presentatie Techniek Holland (PTH AV-ICT);3;;;3
Preston Palace B.V.;1;;;1
Primex B.V.;1;;;1
Prio Verve Groen;2;;;2
Pro Tuinen;1;;;1
Project- en Woninginrichting W. Meijer;1;;;1
Projectinrichting en Vloerenbedrijf Birza;1;;;1
Projekt Totaal Assen;2;;;2
Promolding B.V.;1;;;1
Property Care Nederland B.V.;1;;;1
Protestantse Kerk in Nederland;1;;;1
Protinus IT B.V.;5;;;5
Provian Bouwadvies & Projectbegeleiding;2;;;2
Punt Vastgoed Beheer B.V.;1;;;1
Putman Compleet;1;;;1
Puur Amsterdam;1;;;1
Qmatic Holland B.V.;2;;;2
Q-Park Beheer B.V.;1;;;1
Quatro Systems B.V.;1;;;1
R. Gerritsma Rioolservice B.V.;1;;;1
R.M. Glas Nederland B.V.;1;;;1
R2 Retail Solutions B.V.;1;;;1
R2B Inspecties B.V.;1;;;1
Raadgevend Ingenieursbureau Dijkoraad B.V.;2;;;2
Rademaker Vastgoed B.V.;2;;;2
RapidLine;1;;;1
Ravu Zuid-Oost B.V.;1;;;1
RD Bouw M2 B.V.;2;;;2
Re3com Solutions B.V.;1;;;1
Readme Signing B.V.;1;;;1
Rebo B.V.;1;;;1
Record Automatische Deuren B.V.;1;;;1
Reek Weegtechniek B.V.;1;;;1
Reerink Ijzerwaren B.V.;1;;;1
Regardz Business Center;3;;;3
Regardz Hospitality Group B.V.;1;;;1
Regus;1;;;1
Regus Amsterdam B.V.;1;;;1
Reisswolf Heesch B.V.;1;;;1
Reisswolf Hengelo B.V.;;;1;1
Remco Montage Hekwerken;2;;;2
REMONDIS Dusseldorp Rioolservice B.V.;1;;;1
Rendon Eindhoven B.V.;1;;;1
Rene Verleg Fotografie;1;;;1
Rent-a-Plant Almelo B.V.;1;;;1
Rentokil Initial B.V.;2;;;2
Rentokil Initial BV;2;;;2
Resort-Hotel Inntel Zutphen;1;;;1
Restaurant Buitenzorg B.V.;1;;;1
Restaurant De Turfhoeve B.V.;1;;;1
Restaurant 't Reeuwijkse Hout B.V.;1;;;1
Restaurant Taveerne De Watermolen;1;;;1
Restyle Groep Nederland;2;;;2
Revis Verkeerstechniek B.V.;1;;;1
RFK;1;;;1
Rhenus Data Office Netherlands B.V.;1;;;1
Ricoh;1;;;1
Rienties Techniek B.V.;1;;;1
Rietveld Schilders;3;;;3
Rijksverzamelkantoor La Gare;6;;;6
Rio Garantieplan Zwolle B.V.;1;;;1
Rion B.V.;1;;;1
Rioolontstoppingsbedrijf Segers;1;;;1
Ritom Beveiligingstechniek B.V.;1;;;1
Riwal Hoogwerkers B.V.;1;;;1
Rizoom B.V.;1;;;1
Rob Smeets Schildersbedrijf;2;;;2
Robert Bosch B.V.;2;;;2
Roege International B.V.;1;;;1
ROHDE & GRAHL B.V.;1;;;1
ROI B.V.;1;;;1
Ronell B.V.;1;;;1
Rooms Katholiek Kerkgenootschap in Nederland;1;;;1
Roos en Doorn Elektra B.V.;2;;;2
ROSS-Salland;1;;;1
Rotie;1;;;1
Rozier Isolatietechniek B.V.;1;;;1
RPS Analyse B.V.;1;;;1
RRS Nederland B.V.;3;;;3
Ruijters en Thio Architekten;1;;;1
Ruys Handelsvereniging B.V.;1;;;1
S.P.E. B.V.;1;;;1
S+B Rotterdam B.V.;1;;;1
SaBeWa Zeeland;1;;;1
SaferSpaces B.V.;1;;;1
Safety Lux Nederland B.V.;1;;;1
Samenwerk.verb. Vastg.info. Heff.&Waardebep.;2;;;2
Satellietkantoor Utrecht;;5;;5
SB Groenprojecten;1;;;1
SBA Beveiliging B.V.;1;;;1
SBK-Amsterdam;1;;;1
Scheeres BV;1;;;1
Scheeres Handelmaatschappij B.V.;;;2;2
Schekman Elektrotechniek B.V.;2;;;2
Schild.- & Afwerkingsbedr. Misset H'sum B.V.;3;;;3
Schildersbedrijf De Cock B.V.;2;;;2
Schildersbedrijf Donker;1;;;1
Schildersbedrijf E. van Dijk B.V.;2;;;2
Schildersbedrijf J. van Dijk en Zonen B.V.;1;;;1
Schildersbedrijf Koenen B.V.;2;;;2
Schildersbedrijf Leo Meures B.V.;1;;;1
Schildersbedrijf Meys;2;;;2
Schildersbedrijf Mijnheer B.V.;3;;;3
Schildersbedrijf Pelgrim;2;;;2
Schildersbedrijf Salet B.V.;2;;;2
Schildersbedrijf Sikkens B.V.;1;;;1
Schildersbedrijf Van Delst;2;;;2
Schildersbedrijf van 't Veen B.V.;2;;;2
Schilderwerken De Boer Obdam B.V.;2;;;2
Schilderwerken Wiel Dirckx;2;;;2
Schiphol Nederland B.V.;2;3;;4
Schippers Bouwmaterialen;1;;;1
Schneider Electric IT Benelux B.V.;1;;;1
Scholte & de Vries - Estoppey B.V.;1;;;1
Schoonderbeek Installatie B.V.;3;;;3
Schouten Techniekgroep B.V.;2;;;2
Schoutenwegenbouw B.V.;2;;;2
Schürgers Sleutelservice V.O.F.;1;;;1
SCM Group Nederland B.V.;1;;;1
Scuba-Sol International;1;;;1
SDR Electrotechniek;1;;;1
Seceurtronics Nederland B.V.;1;;;1
SecureTechniek;1;;;1
Securitas Alert Services Nederland B.V.;1;;;1
Securitech Detection & Verification B.V.;1;;;1
Segers Grondbewerking;1;;;1
Seiso B.V.;1;;;1
Sendsteps B.V.;1;;;1
Sensa Vloeren B.V.;2;;;2
Sepawand B.V.;1;;;1
Service Equipe Nederland B.V.;1;;;1
Service Support B.V.;1;;;1
SG B.V.;1;;;1
SG Equipment Finance Benelux B.V.;1;;;1
SGS Intron B.V.;1;;;1
Shurgard Den Haag Binckhorst;1;;;1
Shurgard Nederland B.V.;1;;;1
Shurgard Nederland CB B.V.;1;;;1
Shurgard Self Storage Zoetermeer;1;;;1
Siemens Nederland N.V.;2;;1;2
SIGHT Landscaping B.V.;4;;;4
SignPlan B.V.;1;;;1
Sika Nederland B.V.;1;;;1
Silverijn;1;;;1
Simonis Oude Visafslag B.V.;1;;;1
Simonis Verf B.V.;4;;;4
Sip Signproductions;1;;;1
SITA National Sales;1;;;1
SITA Recycling Services Noord-Oost;1;;;1
Sita Recycling Services West;2;1;;2
SIZZ Design;1;;;1
Sjans Holding B.V.;1;;;1
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;1
Sleutelcentrale;1;;;1
Slijperij P. Vermeeren & Zoon;1;;;1
Slijptechniek Jos Würth;1;;;1
Slotenservice Noord Holland Noord;1;;;1
Sluiter Architectuur;1;;;1
Smeba Brandbeveiliging B.V.;1;;;1
SMELT Europe;1;;;1
Smit Elektra;1;;;1
Smits Van Burgst Beveiliging B.V.;2;;;2
Smits van Burgst Groep B.V.;1;;;1
SmitsRinsma B.V.;1;;;1
Snavelenburg Beheer B.V.;2;;;2
Snuf en Shoe B.V.;1;;;1
Sodexo B.V.;1;;;1
Soolsma Party-Verhuur;1;;;1
Sorala Projecten B.V.;1;;;1
SotA Amsterdam Airport Hotel B.V.;1;;;1
Spaansen Grondstoffen en Logistiek B.V.;1;;;1
Spaansen Tuin- en Bestratingsmaterialen B.V.;1;;;1
Spaarnelanden N.V.;1;;;1
Spaces B.V.;4;;;4
Spaces Rode Olifant B.V.;2;;;2
Spaces Zuid As B.V.;1;;;1
SPACES4YOU B.V.;1;;;1
Speechless;1;;;1
Speed Clean Mobile Ultrasoon B.V.;1;;;1
SPIE TB Zwolle;1;;;1
Spijkstaal International B.V.;1;;;1
Splint Hoveniersbedrijf;1;;;1
Spronken B.V.;1;;;1
St. De vrije academie werkplaats voor Beeldende kunsten;1;;;1
Staalbouw De Jong en Zoon;1;;;1
Staalglas Bouw B.V.;1;;;1
Staples;1;;;1
Staples Nederland B.V.;1;;;1
Star Project;1;;;1
Starlight B.V.;1;;;1
Stas I.P. B.V.;1;;;1
Stayokay Sneek;1;;;1
STB Automatisering & Advies B.V.;1;;;1
Stedin;1;6;;6
Stedin Infradiensten B.V.;1;2;;2
Stedin Meetbedrijf B.V.;;2;;2
Steijns Onderh. Serv. Allround Dienstverlen.;1;;;1
Stekelenburg Utrecht Glas B.V.;1;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;4;;;4
Stg. De Hezenberg,Centrum voor Pastorale Zorg;1;;;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;1;;;1
Stg. St. Prot. Geestel. Verz. b.d. Krijgsm.;1;;;1
Stg. v. Praag Instituut voor Mens en Toekomst;1;;;1
Stg. voor Haagse Jeugd Clubhuizen De Mussen;1;;;1
Sticht. Beh. Expl. Reg. Veiligheidshuis Maas;1;;;1
Sticht. derdengelden Prop. Management Savills;4;;;4
Sticht. Jongeren Cultuur Centrum Vlaardingen;1;;;1
Sticht. Nederl. Inst. voor Beeld en Geluid;1;;;1
Sticht. Oorlogs- en Verzetscentrum Groningen;1;;;1
Stichting 180 - gedragsinterv./ontw. Jongeren;1;;;1
Stichting Aveleijn;1;;;1
Stichting Beeldende Kunst Amstelveen;1;;;1
Stichting Beheer Synagoge;1;;;1
Stichting BHP FLEX;1;;;1
Stichting Centraal Oud-Katholiek Boekhuis;1;;;1
Stichting Centrum Beeldende Kunst Utrecht;1;;;1
Stichting 'Champ, Aubert';1;;;1
Stichting Conferentiecentrum Eindhoven;1;;;1
Stichting Dans- en Muziekcentrum Den Haag;2;;;2
Stichting de Idazaal;1;;;1
Stichting De Jeugd- & Gezinsbeschermers;1;;;1
Stichting De Kargadoor;1;;;1
Stichting De Schoor;1;;;1
Stichting 'Deltion Business';1;;;1
Stichting Dominicanenklooster;1;;;1
Stichting Duivenvoorde;1;;;1
Stichting Exploitatie 'Pulchri Studio';1;;;1
Stichting Exploitatie Schietsportfaciliteit;1;;;1
Stichting Film Instituut Nederland;2;;;2
Stichting Het Dolhuys;1;;;1
Stichting Het Grachtenhuis;1;;;1
Stichting Het Huis;1;;;1
Stichting Het Scheepvaartmuseum Enterprise;2;;;2
Stichting Humanity House;2;;;2
Stichting In de 3 Krone;1;;;1
Stichting In De Roos Lunchcaf?;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;;1
Stichting Kasteel Groot Buggenum;1;;;1
Stichting KdK Conferentiehotel;1;;;1
Stichting Koninklijke Rotterdamse Diergaarde;1;;;1
Stichting Kunstmin;1;;;1
Stichting Mama Cash;1;;;1
Stichting Meiling Euradopt;1;;;1
Stichting Nationaal Monument Kamp Vught;1;;;1
Stichting Park Boswijk;1;;;1
Stichting Recht en Overheid;2;;;2
Stichting Riaggz over de IJssel;1;;;1
Stichting Rosenstock Huessy;1;;;1
Stichting Slachtoffer in Beeld;1;;;1
Stichting SocietyImpact;1;;;1
Stichting Stemra;1;;;1
Stichting Sterkin;1;1;;1
Stichting Stimular;1;;;1
Stichting 't Huukske Arnhem West;1;;;1
Stichting Tactus Verslavingszorg;1;;;1
Stichting Theater aan het Spui;1;;;1
Stichting Veiligheidshuis Zeeland;2;;;2
Stichting Verhalenhuis Belvédère;1;;;1
Stichting Verkadefabriek;1;;;1
Stichting Videma;1;;;1
Stichting Wijkcentrum S.I.O.;1;;;1
Stichting Wilhelmina Ziekenhuis Assen;1;;;1
Still Intern Transport B.V.;1;;;1
Strandpaviljoen De Kwartel B.V.;1;;;1
Strawinskyhuis B.V.;4;;;4
Strijbosch B.V.;2;;;2
Strukton Bouw en Vastgoed;1;;;1
Strukton Worksphere;2;;;2
Strukton Worksphere B.V.;5;;;5
Stuulen Supermarkt B.V.;1;;;1
Sunfolie-Techniek B.V.;1;;;1
Sweco Nederland;1;;;1
T & G Terrein- en Groenvoorziening B.V.;2;;;2
't Hekeltje Verhuur B.V.;1;;;1
't Komfoortje;1;;;1
T&T Compet&t.b.v.;1;;;1
T.T. Frijlink t.h.o.d.n. De Geld. IJzerhandel;1;;;1
TAB B.V.;1;;;1
Tabak Installatietechniek B.V.;3;;;3
Talk & Vision B.V.;1;;;1
Talk & Vision BV;1;;;1
Tanrasport Arnhem B.V.;1;;;1
Taverne Meer en Bosch B.V.;1;;;1
TBTA B.V.;1;;;1
Te Werve B.V.;1;;;1
TEAM 4 ARCHITECTEN BV;1;;;1
Techcai B.V.;1;;;1
Technisch Buro Boshoek B.V.;1;;;1
Technisch Buro Kaptein B.V.;1;;;1
Technische Unie;1;;;1
Technische Unie B.V.;4;;;4
Technolab B.V.;2;;;2
Teeuwissen Rioolreiniging Huizen B.V.;1;;;1
Teka Groep B.V.;1;;;1
Telegrootgebruik B.V.;1;;;1
Ten Brinke Interieurbeplanting B.V.;1;;;1
Ten Brummelhuis Glas- en Schilderwerken B.V.;2;;;2
Tennis Totaal Nederland B.V.;2;;;2
Ter Haar Verhuizingen B.V.;;;1;1
Termifa;1;;;1
TES Install.techn. Service & Onderhoud B.V.;4;;;4
TES Installatietechniek Tilburg B.V.;2;;;2
Tes Installatietechniek Utiliteit B.V.;2;;;2
Testo;1;;;1
Teuben Transport B.V.;1;;;1
Th. Engering B.V.;1;;;1
