FID,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wadden_2004.33,02-04-2004,,,"LINESTRING (163996.125 587955, 184922.4840000011 596561.875)"
vlieglijnen_wadden_2004.34,02-04-2004,,,"LINESTRING (206585.2659999989 605773.25, 164379.2030000016 588446.125)"
vlieglijnen_wadden_2004.35,02-04-2004,,,"LINESTRING (204756.375 605333.625, 164820.4219999984 588930.436999999)"
vlieglijnen_wadden_2004.36,02-04-2004,,,"LINESTRING (203440.7030000016 605122.75, 165204.061999999 589422.125)"
vlieglijnen_wadden_2004.37,02-04-2004,,,"LINESTRING (202918.2030000016 605220.686999999, 165483.3280000016 589843.25)"
vlieglijnen_wadden_2004.38,02-04-2004,,,"LINESTRING (202339.75 605318.686999999, 166151.5780000016 590457.125)"
vlieglijnen_wadden_2004.39,02-04-2004,,,"LINESTRING (202104.3440000005 605522.438000001, 166690.9059999995 590997.25)"
vlieglijnen_wadden_2004.40,02-04-2004,,,"LINESTRING (167258.8440000005 591558.25, 200331.188000001 605146.188000001)"
vlieglijnen_wadden_2004.41,02-04-2004,,,"LINESTRING (199595.125 605160.313000001, 167856.2190000005 592107.561999999)"
vlieglijnen_wadden_2004.42,02-04-2004,,,"LINESTRING (198208.8440000005 604923.25, 168568.0159999989 592749.936999999)"
vlieglijnen_wadden_2004.43,02-04-2004,,,"LINESTRING (197479.9690000005 604932.75, 168982.4840000011 593228)"
vlieglijnen_wadden_2004.44,02-04-2004,,,"LINESTRING (194687.9840000011 604121.75, 169662.7969999984 593842.313000001)"
vlieglijnen_wadden_2004.45,02-04-2004,,,"LINESTRING (192075.811999999 603360.438000001, 171187.2030000016 594769.75)"
vlieglijnen_wadden_2004.46,02-04-2004,,,"LINESTRING (190002.2340000011 602867.561999999, 172421.8440000005 595616.688000001)"
vlieglijnen_wadden_2004.47,02-04-2004,,,"LINESTRING (189588.9059999995 602988.436999999, 173280.7659999989 596280.438000001)"
vlieglijnen_wadden_2004.48,30-03-2004,,,"LINESTRING (152278.688000001 583994.375, 144507.438000001 583360.438000001)"
vlieglijnen_wadden_2004.49,30-03-2004,,,"LINESTRING (152800.2659999989 584363.5, 144085.438000001 583531.313000001)"
vlieglijnen_wadden_2004.50,30-03-2004,,,"LINESTRING (153342.4530000016 584723.938000001, 143663.125 583785.375)"
vlieglijnen_wadden_2004.51,30-03-2004,,,"LINESTRING (153666.438000001 585057.5, 143346.2340000011 584055.311999999)"
vlieglijnen_wadden_2004.52,30-03-2004,,,"LINESTRING (153818.813000001 585369.875, 142557.875 584285.436999999)"
vlieglijnen_wadden_2004.53,30-03-2004,,,"LINESTRING (154011.813000001 585688.313000001, 142395.9690000005 584569.375)"
vlieglijnen_wadden_2004.54,30-03-2004,,,"LINESTRING (154058.938000001 585995.125, 142426.2340000011 584871.375)"
vlieglijnen_wadden_2004.55,30-03-2004,,,"LINESTRING (154388.625 586332.438000001, 142465.375 585173.625)"
vlieglijnen_wadden_2004.56,30-03-2004,,,"LINESTRING (154366.3280000016 586623.375, 142442.4840000011 585482.375)"
vlieglijnen_wadden_2004.57,30-03-2004,,,"LINESTRING (154372.1559999995 586926.5, 142455.936999999 585781.625)"
vlieglijnen_wadden_2004.58,30-03-2004,,,"LINESTRING (154303.1559999995 587222.625, 143688.6559999995 586193.186999999)"
vlieglijnen_wadden_2004.59,30-03-2004,,,"LINESTRING (154136.8280000016 587509.75, 144459.4840000011 586569.25)"
vlieglijnen_wadden_2004.60,30-03-2004,,,"LINESTRING (154173.5469999984 587812.936999999, 144976.9059999995 586916.686999999)"
vlieglijnen_wadden_2004.61,30-03-2004,,,"LINESTRING (146238.061999999 587354.875, 153690.188000001 588049.311999999)"
vlieglijnen_wadden_2004.62,30-03-2004,,,"LINESTRING (149821.2659999989 587992.813000001, 144976.875 587518)"
vlieglijnen_wadden_2004.63,30-03-2004,,,"LINESTRING (149632.563000001 588279.686999999, 145008.6559999995 587825)"
vlieglijnen_wadden_2004.64,30-03-2004,,,"LINESTRING (149479.4059999995 588570, 145035.438000001 588118.5)"
vlieglijnen_wadden_2004.65,30-03-2004,,,"LINESTRING (149393.6409999989 588873.436999999, 144880.686999999 588389.561999999)"
vlieglijnen_wadden_2004.66,30-03-2004,,,"LINESTRING (149052.7190000005 589153.625, 145505.5940000005 588728.375)"
vlieglijnen_wadden_2004.67,30-03-2004,,,"LINESTRING (146156 589082, 149041.4530000016 589455.875)"
vlieglijnen_wadden_2004.68,30-03-2004,,,"LINESTRING (149003.7030000016 589700.186999999, 146743.8590000011 589485.625)"
