FID,OVW_STARTDATUM,LATITUDE,AANPAK,BINNEN1METER,GEBIEDSTEAM,INSPECTIEDATUM,PRIORITEIT,LONGITUDE,BUURT,DOORGROEI,SOORT,UITGRAVEN,WIJK,GEOMETRIE,OVW_MAX_SIZE
Groen_exoten.59939,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,07-06-2016,,,Waddeneilandenbuurt,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Vathorst-De Laak,"POLYGON ((52.19351990452319 5.43492608706114, 52.19341971329085 5.434767504133632, 52.193402517220804 5.4347907909037945, 52.19350270179916 5.434965687479273, 52.19351990452319 5.43492608706114))",18.82

Groen_exoten.59940,2023-02-03,52.1936170780423,Maaien en in toom houden,Verder dan 1 meter van water,,27-10-2015,Hoog,5.33584630038395,Zeldert,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Hoogland-West,POINT (52.193621043397364 5.335846394449161),0

Groen_exoten.59941,2023-02-03,52.1353635504441,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,27-10-2015,Hoog,5.36585642337442,Zon en Schild,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Niet uitgraven,Bosgebied,POINT (52.1353671178552 5.365855995072597),0

Groen_exoten.59942,2023-02-03,52.1357177064941,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,27-10-2015,Hoog,5.36480851348738,Zon en Schild,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Niet uitgraven,Bosgebied,POINT (52.13572127979484 5.364808086300977),0

Groen_exoten.59943,2023-02-03,52.143341761599,"z.s.m. afgraven, nu het nog kan",,,04-07-2012,Hoog,5.40729202230342,Componistenbuurt-Zuid,,Reuzenbereklauw,,Randenbroek,POINT (52.14334514432701 5.40729183625718),0

Groen_exoten.59944,2023-02-03,52.1433722643962,"z.s.m. afgraven, nu het nog kan",,,04-07-2012,Hoog,5.40757341305613,Componistenbuurt-Zuid,,Reuzenbereklauw,,Randenbroek,POINT (52.14337564567546 5.407573228436931),0

Groen_exoten.59945,2023-02-03,52.1429920044001,"z.s.m. afgraven, nu het nog kan",,,30-06-2020,Hoog,5.40704948889151,Componistenbuurt-Zuid,,Reuzenbereklauw,,Randenbroek,POINT (52.14299538727475 5.407049296907233),0

Groen_exoten.59946,2023-02-03,52.1752964922634,"z.s.m. afgraven, nu het nog kan",,,19-06-2020,Hoog,5.3833704524275,Camera Obscurastraat e.o.,,Reuzenbereklauw,,Schothorst-Noord,POINT (52.17530013879098 5.383370605522756),0

Groen_exoten.59947,2023-02-03,52.1780158991668,"z.s.m. afgraven, nu het nog kan",,,09-07-2012,Hoog,5.37845532561543,Park Schothorst,,Reuzenbereklauw,,Schothorst-Noord,POINT (52.17801958444274 5.378455487879094),0

Groen_exoten.59948,2023-02-03,52.1780256866518,"z.s.m. afgraven, nu het nog kan",,,09-07-2012,Hoog,5.37843940087423,Park Schothorst,,Reuzenbereklauw,,Schothorst-Noord,POINT (52.17802937205835 5.378439563177793),0

Groen_exoten.59949,2023-02-03,52.1791700247096,"z.s.m. afgraven, nu het nog kan",,,09-07-2012,Hoog,5.38321324538446,Park Schothorst,,Reuzenbereklauw,,Schothorst-Noord,POINT (52.17917369267775 5.383213448897692),0

Groen_exoten.59950,2023-02-03,52.1789361883214,"z.s.m. afgraven, nu het nog kan",,,09-07-2012,Hoog,5.38352379406696,Park Schothorst,,Reuzenbereklauw,,Schothorst-Noord,POINT (52.178939853464605 5.3835239961975745),0

Groen_exoten.59951,2023-02-03,52.1522971357991,"z.s.m. afgraven, nu het nog kan",,,08-08-2012,Hoog,5.40953276144602,Schuilenburg-Zuid,,Reuzenbereklauw,,Schuilenburg,POINT (52.15230053895099 5.409532714878281),0

Groen_exoten.59952,2023-02-03,52.1531043752624,"z.s.m. afgraven, nu het nog kan",,,08-08-2012,Hoog,5.40656831686099,Componistenbuurt-Noord,,Reuzenbereklauw,,Randenbroek,POINT (52.153107797997095 5.406568270177991),0

Groen_exoten.59953,2023-02-03,52.1530919266662,"z.s.m. afgraven, nu het nog kan",,,08-08-2012,Hoog,5.4065024825538,Componistenbuurt-Noord,,Reuzenbereklauw,,Randenbroek,POINT (52.15309534971351 5.406502435423673),0

Groen_exoten.59954,2023-02-03,52.1538200466795,Maaien en in toom houden,,,08-08-2012,Laag,5.40031648090687,Willem III,,Reuzenbalsemien,,Randenbroek,POINT (52.15382350623568 5.400316419092313),0

Groen_exoten.59955,2023-02-03,52.1562676279761,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.39318788705158,Nieuwstraat e.o.,,Reuzenbereklauw,,Stadskern,POINT (52.15627113521877 5.393187829841765),0

Groen_exoten.59956,2023-02-03,52.160381877481,Regelmatig maaien en zaadvorming voorkomen,,,18-06-2020,Hoog,5.39343045247473,Kruiskamp-Midden,,Reuzenbereklauw,,Kruiskamp,POINT (52.16038540099226 5.3934304530535915),0

Groen_exoten.59957,2023-02-03,52.1702505293229,,,,18-06-2020,,5.42532089581678,Vinkenhoef,,,,Buitengebied-Oost,POINT (52.17025392144542 5.425321192533083),0

Groen_exoten.59958,2023-02-03,52.1702369161672,,,,18-06-2020,Hoog,5.42543680261507,Vinkenhoef,,Reuzenbalsemien,,Buitengebied-Oost,POINT (52.170240307538144 5.425437099699699),0

Groen_exoten.59959,2023-02-03,52.1707707928451,,,,,,5.42212526379834,Hoefkwartier,,,,De Hoef,POINT (52.17077420629749 5.422125552525232),0

Groen_exoten.59960,2023-02-03,52.1708827930398,"z.s.m. afgraven, nu het nog kan",,,25-06-2013,Hoog,5.42213639016044,Hoefkwartier,,Reuzenbereklauw,,De Hoef,POINT (52.170886206983766 5.4221366806720175),0

Groen_exoten.59961,2023-02-03,,,,,06-07-2016,,,Sterrenbeeldenbuurt,,Japanse duizendknoop,,De Koppel,"POLYGON ((52.16398479009989 5.384081987675552, 52.1640235015887 5.3841340379741265, 52.16408751903566 5.38400450672504, 52.16405997309697 5.3839221923737615, 52.16398479009989 5.384081987675552))",18.459

Groen_exoten.59962,2023-02-03,,,,,06-07-2016,,,Sterrenbeeldenbuurt,,Japanse duizendknoop,,De Koppel,"POLYGON ((52.164260213721846 5.383557806401355, 52.16418503098206 5.3837091292816055, 52.164202898312595 5.383747865119122, 52.16428478126043 5.383607436575932, 52.164260213721846 5.383557806401355))",17.096

Groen_exoten.59963,2023-02-03,,,,,06-07-2016,,,Sterrenbeeldenbuurt,,Japanse duizendknoop,,De Koppel,"POLYGON ((52.164423255244266 5.383993589006492, 52.16461829183897 5.383871310358562, 52.164380066436195 5.383557797049481, 52.16435550790999 5.383824117927828, 52.164423255244266 5.383993589006492))",41.76

Groen_exoten.59964,2023-02-03,,,,,06-07-2016,,,Sterrenbeeldenbuurt,,Japanse duizendknoop,,De Koppel,"POLYGON ((52.164476853345064 5.383969374467266, 52.164430699637016 5.383998430669432, 52.16450589404086 5.3842962195697455, 52.16454832582979 5.384273216587724, 52.164476853345064 5.383969374467266))",25.91

Groen_exoten.59965,2023-02-03,,,,,01-07-2016,,,Sterrenbeeldenbuurt,,Japanse duizendknoop,,De Koppel,"POLYGON ((52.16437066081413 5.387621650596551, 52.16427982323427 5.387671119591293, 52.164350092972484 5.387781906096012, 52.16441307979665 5.387685753548184, 52.16437066081413 5.387621650596551))",18.44

Groen_exoten.59801,2023-02-03,52.1771153160905,"z.s.m. afgraven, nu het nog kan",,,28-06-2013,Hoog,5.39156286165737,Park Schothorst,,Reuzenbereklauw,,Schothorst-Noord,POINT (52.177118930495816 5.391563083135771),0

Groen_exoten.59802,2023-02-03,52.1660925979055,Regelmatig maaien en zaadvorming voorkomen,,,18-06-2020,Hoog,5.39796071086768,Liendert-Noord,,Reuzenbereklauw,,Liendert,POINT (52.16609612347709 5.397960811918529),0

Groen_exoten.59803,2023-02-03,52.1727826660557,,,,,,5.38003242891572,Elly Takmastraat e.o.,,,,Schothorst-Noord,POINT (52.17278631621726 5.380032531498834),0

Groen_exoten.59804,2023-02-03,52.1729160121506,,,,,,5.3827306698023,Elly Takmastraat e.o.,,,,Schothorst-Noord,POINT (52.1729196496035 5.3827307880768425),0

Groen_exoten.59805,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,22-05-2016,Hoog,,Park Schothorst,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Schothorst-Noord,"POLYGON ((52.1780087162043 5.3834878120375915, 52.178038092519685 5.383330195807053, 52.17800871132374 5.383329181387348, 52.1779805852106 5.383484763690127, 52.1780087162043 5.3834878120375915))",12.597

Groen_exoten.59806,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,03-08-2016,,,Park Schothorst,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Schothorst-Noord,"POLYGON ((52.17810659937363 5.389349463712163, 52.17811361689889 5.3893918677547115, 52.178129658969205 5.389386975867075, 52.178122641346505 5.389349464543222, 52.17810659937363 5.389349463712163))",3.872

Groen_exoten.59807,2023-02-03,52.1584586029261,Regelmatig maaien en zaadvorming voorkomen,,,18-06-2020,Hoog,5.40619191474775,Liendert-Zuid,,Reuzenbereklauw,,Liendert,POINT (52.158462049774606 5.4061919442770945),0

Groen_exoten.59808,2023-02-03,,Regelmatig maaien en zaadvorming voorkomen,Binnen 1 meter van water,,15-10-2015,Hoog,,Architectenbuurt-West,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Zielhorst,"POLYGON ((52.18398368276392 5.398744010512233, 52.18420300339438 5.398432006429998, 52.18419711749025 5.398420831364506, 52.18397730614908 5.398734431547039, 52.18398368276392 5.398744010512233))",33.453

Groen_exoten.59809,2023-02-03,52.1642014827459,Maaien en in toom houden,,,04-10-2015,Hoog,5.35353038566973,Bomenbuurt,,Reuzenbalsemien,,Soesterkwartier,POINT (52.164205214572114 5.3535302523160695),0

Groen_exoten.59810,2023-02-03,52.1641521991781,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.35328488901378,Bomenbuurt,,Reuzenbalsemien,,Soesterkwartier,POINT (52.16415593184852 5.353284753942967),0

Groen_exoten.59811,2023-02-03,52.1641488305641,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.35323942230097,Bomenbuurt,,Reuzenbalsemien,,Soesterkwartier,POINT (52.16415256341717 5.3532392869786465),0

Groen_exoten.59812,2023-02-03,52.1635834976803,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.3534180944957,Bomenbuurt,,Reuzenbalsemien,,Soesterkwartier,POINT (52.1635872271668 5.353417953489408),0

Groen_exoten.59813,2023-02-03,52.1635812494273,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.35337899311388,Bomenbuurt,,Reuzenbalsemien,,Soesterkwartier,POINT (52.1635849790741 5.353378851900006),0

Groen_exoten.59814,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Binnen 1 meter van water,,06-06-2016,Hoog,,Architectenbuurt-Oost,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Zielhorst,"POLYGON ((52.18344960095233 5.399622415594931, 52.18342329481863 5.399533240787888, 52.183378537794546 5.399568404335518, 52.18340769272098 5.399663578906726, 52.18344960095233 5.399622415594931))",11.916

Groen_exoten.59815,2023-02-03,52.1635177338979,Maaien en in toom houden,,,15-08-2012,Laag,5.36586255829387,Rivierenbuurt-Oost,,Reuzenbalsemien,,Soesterkwartier,POINT (52.163521407150405 5.365862474285744),0

Groen_exoten.59816,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,15-10-2015,Hoog,,Boerderijenkamer,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Kattenbroek,"POLYGON ((52.18884507573731 5.404528403333107, 52.18882022115656 5.404487944511783, 52.18880548564377 5.404510410443487, 52.188829417898674 5.4045613557001175, 52.18884507573731 5.404528403333107))",6.679

Groen_exoten.59817,2023-02-03,52.1531300863021,,,,15-08-2012,Laag,5.39366665783937,Bekenstein / De Luiaard,,bamboe,,Vermeerkwartier,POINT (52.15313357831855 5.393666559330316),0

Groen_exoten.59818,2023-02-03,52.1531401725428,,,,15-08-2012,Laag,5.39368305802515,Bekenstein / De Luiaard,,bamboe,,Vermeerkwartier,POINT (52.15314366451363 5.393682959721733),0

Groen_exoten.59819,2023-02-03,52.1493967653829,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.40068360646725,Componistenbuurt-Midden,,Reuzenbalsemien,,Randenbroek,POINT (52.14940020579891 5.400683483328539),0

Groen_exoten.59820,2023-02-03,52.1503232443783,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.39929252212662,Componistenbuurt-Midden,,Reuzenbalsemien,,Randenbroek,POINT (52.15032669575382 5.399292406738425),0

Groen_exoten.59821,2023-02-03,52.1506965921617,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.39932697406684,Componistenbuurt-Midden,,Reuzenbalsemien,,Randenbroek,POINT (52.150700044779015 5.399326864086213),0

Groen_exoten.59822,2023-02-03,52.1449165889983,,,,15-08-2012,Hoog,5.40030444762465,Dorrestein,,Reuzenbalsemien,,Vermeerkwartier,POINT (52.14492001518929 5.400304259511273),0

Groen_exoten.59823,2023-02-03,52.14490250087,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.40029871859324,Dorrestein,,Reuzenbalsemien,,Vermeerkwartier,POINT (52.14490592704243 5.400298530259643),0

Groen_exoten.59824,2023-02-03,52.1444586751307,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.40057911746988,Componistenbuurt-Zuid,,Reuzenbalsemien,,Randenbroek,POINT (52.144462098248994 5.40057892384129),0

Groen_exoten.59825,2023-02-03,52.1433563111552,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.39982311897176,Dorrestein,,Reuzenbalsemien,,Vermeerkwartier,POINT (52.1433597345299 5.3998229070590895),0

Groen_exoten.59826,2023-02-03,52.1433598327517,"z.s.m. afgraven, nu het nog kan",,,15-08-2012,Hoog,5.3998288447778,Dorrestein,,Reuzenbalsemien,,Vermeerkwartier,POINT (52.143363256107804 5.399828632934956),0

Groen_exoten.59827,2023-02-03,52.1433844002004,,,,15-08-2012,Hoog,5.40065322995034,Componistenbuurt-Zuid,,Reuzenbalsemien,,Randenbroek,POINT (52.143387819218106 5.40065302133526),0

Groen_exoten.59828,2023-02-03,52.1430990047813,,,,15-08-2012,Hoog,5.40151759389455,Componistenbuurt-Zuid,,Reuzenbalsemien,,Randenbroek,POINT (52.14310241817396 5.4015173842340225),0

Groen_exoten.59829,2023-02-03,52.1429545652893,,,,15-08-2012,Hoog,5.40176944011499,Componistenbuurt-Zuid,,Reuzenbalsemien,,Randenbroek,POINT (52.14295797683288 5.401769229270785),0

Groen_exoten.59830,2023-02-03,52.1428206665703,,,,15-08-2012,Hoog,5.40222738012234,Componistenbuurt-Zuid,,Reuzenbalsemien,,Randenbroek,POINT (52.14282407518639 5.402227168954164),0

Groen_exoten.59831,2023-02-03,52.1426655526606,,,,15-08-2012,Hoog,5.40330358419265,Componistenbuurt-Zuid,,Reuzenbalsemien,,Randenbroek,POINT (52.142668954921135 5.4033033745245405),0

Groen_exoten.59832,2023-02-03,52.1426725962762,,,,15-08-2012,Hoog,5.40330931141726,Componistenbuurt-Zuid,,Reuzenbalsemien,,Randenbroek,POINT (52.14267599852942 5.403309101869966),0

Groen_exoten.59833,2023-02-03,52.1982477144525,,,,,,5.38674708465703,Calveen,,,,Calveen,POINT (52.198251478725915 5.386747564099062),0

Groen_exoten.59834,2023-02-03,52.198242833429,,,,,,5.3868225545276,Calveen,,,,Calveen,POINT (52.19824659728738 5.386823034402585),0

Groen_exoten.59835,2023-02-03,52.1988920825046,,,,,,5.3868900692142,Calveen,,,,Calveen,POINT (52.19889585026575 5.386890558271068),0

Groen_exoten.59836,2023-02-03,52.1988481490365,,,,,,5.38828032144574,Calveen,,,,Calveen,POINT (52.198851909425684 5.3882808191436995),0

Groen_exoten.59837,2023-02-03,52.1790793595106,"z.s.m. afgraven, nu het nog kan",,,10-06-2013,Hoog,5.38350049139585,Park Schothorst,,Reuzenbereklauw,,Schothorst-Noord,POINT (52.17908302554824 5.383500695294888),0

Groen_exoten.59838,2023-02-03,52.1779400760717,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,22-05-2016,Hoog,5.38348190136423,Park Schothorst,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Schothorst-Noord,POINT (52.17794373604539 5.383482090068007),0

Groen_exoten.59839,2023-02-03,52.1884065520731,"z.s.m. afgraven, nu het nog kan",,,11-07-2012,Hoog,5.4032327781549,Boerderijenkamer,,Reuzenbereklauw,,Kattenbroek,POINT (52.1884101683013 5.403233224987952),0

Groen_exoten.59840,2023-02-03,52.1884777483934,"z.s.m. afgraven, nu het nog kan",,,11-07-2012,Hoog,5.40310747284088,Boerderijenkamer,,Reuzenbereklauw,,Kattenbroek,POINT (52.188481365726595 5.403107919939319),0

Groen_exoten.59841,2023-02-03,52.1885824663113,"z.s.m. afgraven, nu het nog kan",,,11-07-2012,Hoog,5.39217034856668,De Verwondering e.o.,,Reuzenbereklauw,,Kattenbroek,POINT (52.18858614235002 5.392170730927868),0

Groen_exoten.59842,2023-02-03,52.1584091429427,Regelmatig maaien en zaadvorming voorkomen,,,12-07-2012,Hoog,5.41794516214408,Schuilenburg-Noord,,Reuzenbereklauw,,Schuilenburg,POINT (52.15841252354413 5.417945242002535),0

Groen_exoten.59843,2023-02-03,52.1584320628177,Regelmatig maaien en zaadvorming voorkomen,,,12-07-2012,Hoog,5.41754942202375,Schuilenburg-Noord,,Reuzenbereklauw,,Schuilenburg,POINT (52.15843544578855 5.41754950051133),0

Groen_exoten.59844,2023-02-03,52.1591168462422,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.41670888623876,Schuilenburg-Noord,,Reuzenbereklauw,,Schuilenburg,POINT (52.159120236961975 5.416708971426941),0

Groen_exoten.59845,2023-02-03,52.1694726166777,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.43023463005552,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.16947597571331 5.430234939036629),0

Groen_exoten.59846,2023-02-03,52.1695533663731,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.42965223362846,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.169556729299515 5.429652540997113),0

Groen_exoten.59847,2023-02-03,52.1696479785618,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.42907382653299,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.16965134541613 5.429074132523039),0

Groen_exoten.59848,2023-02-03,52.1697547166806,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.4283564366752,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.16975808834538 5.428356740779248),0

Groen_exoten.59849,2023-02-03,52.1698766547871,"z.s.m. afgraven, nu het nog kan",,,12-07-2012,Hoog,5.42766379804949,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.16988003117926 5.427664100621626),0

Groen_exoten.59850,2023-02-03,52.1699833925682,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.42692166004561,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.169986773897435 5.426921960590089),0

Groen_exoten.59851,2023-02-03,52.170193752588,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.42587007455091,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.170197141185355 5.425870373131612),0

Groen_exoten.59852,2023-02-03,52.170280610703,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.4251652900964,Vinkenhoef,,Reuzenbereklauw,,Buitengebied-Oost,POINT (52.1702840038923 5.425165586502165),0

Groen_exoten.59853,2023-02-03,52.1707061136335,"z.s.m. afgraven, nu het nog kan",,,12-07-2012,Hoog,5.42255886544947,Hoefkwartier,,Reuzenbereklauw,,De Hoef,POINT (52.17070952423304 5.422559155362949),0

Groen_exoten.59854,2023-02-03,52.170380934338,"z.s.m. afgraven, nu het nog kan",,,12-07-2012,Hoog,5.42260459731957,Rustenburg-Noord,,Reuzenbereklauw,,Rustenburg,POINT (52.17038434305999 5.422604882436184),0

Groen_exoten.59855,2023-02-03,52.1703809309393,"z.s.m. afgraven, nu het nog kan",,,12-07-2012,Hoog,5.42261609376146,Rustenburg-Noord,,Reuzenbereklauw,,Rustenburg,POINT (52.170384339593966 5.422616378935725),0

Groen_exoten.59856,2023-02-03,52.1703950753759,"z.s.m. afgraven, nu het nog kan",,,12-07-2012,Hoog,5.42259311192753,Rustenburg-Noord,,Reuzenbereklauw,,Rustenburg,POINT (52.170398484234774 5.422593397205087),0

Groen_exoten.59857,2023-02-03,52.1657724772103,"z.s.m. afgraven, nu het nog kan",,,12-07-2012,Hoog,5.42116408715256,Rustenburg-Zuid,,Reuzenbereklauw,,Rustenburg,POINT (52.16577587215143 5.421164294175447),0

Groen_exoten.59858,2023-02-03,52.1850735941396,"z.s.m. afgraven, nu het nog kan",,,16-07-2012,Hoog,5.4018310435315,Muziekbuurt-Noord,,Reuzenbereklauw,,Zielhorst,POINT (52.185077198396186 5.401831434247482),0

Groen_exoten.59859,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,07-06-2016,Hoog,,Waddeneilandenbuurt,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Niet uitgraven,Vathorst-De Laak,"POLYGON ((52.19378176588114 5.435502011256795, 52.19449162263858 5.436763624162212, 52.1945102513145 5.436740339181324, 52.193803263532594 5.4354670765414514, 52.19378176588114 5.435502011256795))",120.119

Groen_exoten.59860,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,07-06-2016,Hoog,,Waddeneilandenbuurt,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Vathorst-De Laak,"POLYGON ((52.19391924944883 5.435525466178434, 52.193738979305465 5.435061493478284, 52.19368738521203 5.435145337087149, 52.19390634989135 5.435548757592801, 52.19391924944883 5.435525466178434))",42.138

Groen_exoten.59861,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,07-06-2016,Hoog,,Winkelcentrum Vathorst,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Vathorst-Centrum,"POLYGON ((52.19268309523102 5.432518809390451, 52.19265214101204 5.432444802922537, 52.192644662729386 5.432457968913392, 52.19267577224155 5.432532988891671, 52.19268309523102 5.432518809390451))",7.392

Groen_exoten.59862,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,26-10-2015,Hoog,,De Baken,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Vathorst-De Laak,"POLYGON ((52.20883070825882 5.416134927390745, 52.20889305411926 5.416033523621706, 52.20887116162465 5.416017058927431, 52.20881471234922 5.4161129830421455, 52.20883070825882 5.416134927390745))",11.869

Groen_exoten.59863,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,15-10-2015,Hoog,,Boerderijenkamer,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Kattenbroek,"POLYGON ((52.189017197779314 5.404931465233867, 52.18898866210272 5.404879019602306, 52.188948144506746 5.40490596951413, 52.188998772533026 5.404997375108428, 52.189017197779314 5.404931465233867))",11.159

Groen_exoten.59864,2023-02-03,52.2063315420778,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,04-10-2015,Hoog,5.36621890744138,Stadstuin,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Niet uitgraven,Nieuwland,POINT (52.20633546063976 5.366219350534056),0

Groen_exoten.59865,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,15-10-2015,Hoog,,Bedrijventerrein Vathorst-Noord,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Bedrijventerrein Vathorst,"POLYGON ((52.19117366606292 5.410537059827758, 52.19118908621477 5.410521488563528, 52.19118730307845 5.4105114534399315, 52.191172369519464 5.4105283452503485, 52.19117366606292 5.410537059827758))",2.555

Groen_exoten.59866,2023-02-03,52.1971369640314,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,15-10-2015,Hoog,5.38589029788856,Calveen,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Calveen,POINT (52.1971407254386 5.385890756788175),0

Groen_exoten.59867,2023-02-03,52.1935779097866,"z.s.m. afgraven, nu het nog kan",,,19-06-2020,Hoog,5.37250129184042,De Biezen,,Reuzenbereklauw,,Hoogland,POINT (52.19358171437827 5.372501618136059),0

Groen_exoten.59868,2023-02-03,52.1935476465081,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,08-10-2015,Hoog,5.37287532458792,De Biezen,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Hoogland,POINT (52.19355144912406 5.37287565287339),0

Groen_exoten.59869,2023-02-03,52.1589051421496,"z.s.m. afgraven, nu het nog kan",,,12-07-2012,Hoog,5.4183868156187,Schuilenburg-Noord,,Reuzenbereklauw,,Schuilenburg,POINT (52.15890852233449 5.418386904939922),0

