VERGUNNINGNR;SRTBES_OMS;BESCH_OMS;GRONDBESCH_OMS;DDBESCHIKKING;DDINGANG;DDEINDE;STATUSBESCH_OMS;BUURT;WIJK;STADSDEEL;COUNTER;X;Y;LONG;LAT
201308656/5244915;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-08-06;;;Beschikking met bezwaar;Schildersbuurt-Noord;Schildersbuurt;Centrum;97128;81066.521;453949.727;4.308900685138372;52.06889483770646
201616119/6149751;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2016-11-09;;;Beschikking met bezwaar;De Rivieren;Forepark;Leidschenveen-Ypenburg;97127;86474.91;453286.758;4.387901910665808;52.06363224167598
201603563/5974889;Wet Algemene Bepalingen Omgevingsrecht;Weigering standaard (ev);Artikel 2.10 en 2.12 t/m 2.20a ;2016-05-11;;;Beschikking met bezwaar;De Rivieren;Forepark;Leidschenveen-Ypenburg;97126;86474.91;453286.758;4.387901910665808;52.06363224167598
202015757/7854948;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2021-02-17;;;Beschikking met bezwaar;Laakhaven-Oost;Laakkwartier en Spoorwijk;Laak;97125;82044.711;453606.045;4.323238433021384;52.06593593461819
202017589/7833478;Wet Algemene Bepalingen Omgevingsrecht;Weigering standaard (mv);Artikel 2.10 en 2.12 t/m 2.20a ;2021-01-21;;;Beschikking met bezwaar;Vissershaven;Scheveningen;Scheveningen;97124;77968.687;456925.782;4.263055634674546;52.095217414534645
202102223/7893000;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2021-03-31;;;Beschikking met bezwaar;Vissershaven;Scheveningen;Scheveningen;97123;77968.687;456925.782;4.263055634674546;52.095217414534645
201703568/6310012;Algemene Wet Bestuursrecht;Buiten behandeling stelling (mv);Artikel 4:5 lid 1c;2017-04-18;;;Beschikking met bezwaar;Vissershaven;Scheveningen;Scheveningen;97122;77968.687;456925.782;4.263055634674546;52.095217414534645
201611940/6192519;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2016-12-19;;;Beschikking met bezwaar;Rond de Energiecentrale;Regentessekwartier;Segbroek;97121;79824.727;454921.407;4.290578529139363;52.07745990959409
201105193;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2011-05-10;2011-06-24;;Beschikking met bezwaar;Rond de Energiecentrale;Regentessekwartier;Segbroek;97120;79824.727;454921.407;4.290578529139363;52.07745990959409
202015515/7805382;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2020-12-16;;;Beschikking met bezwaar;Waalsdorp;Benoordenhout;Haagse Hout;97119;81596.037;457524.518;4.315852944472949;52.10109103764358
201201488/18;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2012-05-02;;;Beschikking met bezwaar;Bezuidenhout-West;Bezuidenhout;Haagse Hout;97118;82179.141;455388.069;4.324818372384035;52.08196830373982
201201488/18;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2012-05-02;;;Beschikking met bezwaar;Rivierenbuurt-Noord;Stationsbuurt;Centrum;97117;82172.045;455382.531;4.324716047995342;52.08191760168021
201924484/7690219;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2020-08-06;;;Beschikking met bezwaar;Nieuw Waldeck;Waldeck;Loosduinen;97116;76294.207;452561.617;4.239630480938696;52.055762922599705
201924484/7690219;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2020-08-06;;;Beschikking met bezwaar;Nieuw Waldeck;Waldeck;Loosduinen;97115;76294.075;452562.014;4.239628465206896;52.055766471535144
201924484/7690219;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2020-08-06;;;Beschikking met bezwaar;Nieuw Waldeck;Waldeck;Loosduinen;97114;76294.472;452561.617;4.239634344039787;52.055762960238766
201924484/7690219;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2020-08-06;;;Beschikking met bezwaar;Nieuw Waldeck;Waldeck;Loosduinen;97113;76294.207;452561.881;4.239630420112316;52.05576529506463
201924484/7690219;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2020-08-06;;;Beschikking met bezwaar;Nieuw Waldeck;Waldeck;Loosduinen;97112;76294.075;452561.617;4.239628556677024;52.05576290385115
201924484/7690219;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2020-08-06;;;Beschikking met bezwaar;Nieuw Waldeck;Waldeck;Loosduinen;97111;76293.942;452561.881;4.23962655701103;52.05576525742545
201310470/5289044;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2013-11-05;;;Beschikking met bezwaar;Laakhaven-West;Laakkwartier en Spoorwijk;Laak;97110;81312.838;453204.918;4.312653299885126;52.06223422790518
201310470/5289044;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2013-11-05;;;Beschikking met bezwaar;Laakhaven-West;Laakkwartier en Spoorwijk;Laak;97109;81309.928;453212.194;4.312609301580857;52.06229922867786
201310470/5289044;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2013-11-05;;;Beschikking met bezwaar;Laakhaven-West;Laakkwartier en Spoorwijk;Laak;97108;81311.912;453209.284;4.312638856557235;52.062273341029275
201310470/5289044;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2013-11-05;;;Beschikking met bezwaar;Laakhaven-West;Laakkwartier en Spoorwijk;Laak;97107;81315.087;453217.353;4.312683407443959;52.06234627764123
201310470/5289044;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2013-11-05;;;Beschikking met bezwaar;Laakhaven-West;Laakkwartier en Spoorwijk;Laak;97106;81314.029;453216.427;4.312668181428807;52.06233781516907
201700523/6263201;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2017-03-03;;;Beschikking met bezwaar;Statenkwartier;Geuzen- en Statenkwartier;Scheveningen;97105;78939.08;456112.102;4.2773959053199295;52.08803935544321
201903274/7144128;Algemene Wet Bestuursrecht;Buiten behandeling stelling (ev);Artikel 4:5 lid 1c;2019-04-05;;;Beschikking met bezwaar;Oostbroek-Noord;Rustenburg en Oostbroek;Escamp;97104;79240.662;453936.894;4.2822784843957855;52.06853280112668
201104075;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2011-03-14;;;Beschikking met bezwaar;Bloemenbuurt-Oost;Bomen- en Bloemenbuurt;Segbroek;97103;78186.114;454693.977;4.266730663850055;52.07519121380891
202021782/7893244;Algemene Wet Bestuursrecht;Buiten behandeling stelling (ev);Artikel 4:5 lid 1c;2021-03-29;;;Beschikking met bezwaar;Willemspark;Willemspark;Centrum;97102;81211.68;456095.794;4.310553329013901;52.088200367671554
201412994/5477272;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2014-10-30;;;Beschikking met bezwaar;Moerwijk-West;Moerwijk;Escamp;97101;79671.436;451700.263;4.289053354985177;52.048491554182945
201520144;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2016-01-29;2016-01-29;;Beschikking met bezwaar;Duttendel;Westbroekpark en Duttendel;Scheveningen;97100;81087.254;458338.513;4.308251806901224;52.10833845529228
201118382/22;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2012-03-19;;;Beschikking met bezwaar;Valkenboskwartier;Valkenboskwartier;Segbroek;97099;79046.851;454411.63;4.279346684357382;52.07277256462863
201118382/15;Wet Algemene Bepalingen Omgevingsrecht;Verlenging term regulier (mv);Artikel 3.9 lid 2;2012-02-09;;;Beschikking met bezwaar;Valkenboskwartier;Valkenboskwartier;Segbroek;97098;79046.851;454411.63;4.279346684357382;52.07277256462863
201204374/9;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2012-04-26;;;Beschikking met bezwaar;Vogelwijk;Vogelwijk;Segbroek;97097;76549.461;454776.058;4.2428426904053875;52.07569942373611
201814441/6984623;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2018-11-23;;;Beschikking met bezwaar;Zuidwal;Centrum;Centrum;97096;80838.812;454426.945;4.305476483145938;52.07315303753652
2015178435821230;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2015-11-18;;;Beschikking met bezwaar;Sweelinckplein e.o.;Duinoord;Scheveningen;97095;79675.378;455696.779;4.288229078217089;52.0844076476114
201711095/6430194;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2017-08-09;;;Beschikking met bezwaar;Nassaubuurt;Benoordenhout;Haagse Hout;97094;81793.04;456404.789;4.318968238523677;52.09105441183473
201113349/10;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2011-10-14;;;Beschikking met bezwaar;Nassaubuurt;Benoordenhout;Haagse Hout;97093;81793.04;456404.789;4.318968238523677;52.09105441183473
202021782/7893244;Algemene Wet Bestuursrecht;Buiten behandeling stelling (ev);Artikel 4:5 lid 1c;2021-03-29;;;Beschikking met bezwaar;Willemspark;Willemspark;Centrum;97092;81247.506;456092.577;4.311076675906519;52.08817623123226
201108012/10;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2011-05-24;;;Beschikking met bezwaar;Vissershaven;Scheveningen;Scheveningen;97091;78576.324;457725.873;4.271742106697236;52.10249176763126
201302221/10;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-03-15;;;Beschikking met bezwaar;Koningsplein e.o.;Regentessekwartier;Segbroek;97090;79178.223;454937.77;4.281145642916613;52.077518819743055
201218546/9;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-01-15;;;Beschikking met bezwaar;Bezuidenhout-West;Bezuidenhout;Haagse Hout;97089;82594.961;454938.376;4.330979223803004;52.07798153301425
201218546/9;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-01-15;;;Beschikking met bezwaar;Bezuidenhout-West;Bezuidenhout;Haagse Hout;97088;82596.681;454935.73;4.331004872059922;52.07795797881903
201900274/7165447;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2019-04-18;;;Beschikking met bezwaar;Koningsplein e.o.;Regentessekwartier;Segbroek;97087;79257.562;454723.439;4.282350376409903;52.07560355121527
201902933/7188455;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2019-05-10;;;Beschikking met bezwaar;Laakkwartier-West;Laakkwartier en Spoorwijk;Laak;97086;81817.908;452616.977;4.320143284993301;52.0570174636149
202021850/7884308;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2021-04-14;;;Beschikking met bezwaar;Moerwijk-West;Moerwijk;Escamp;97085;79857.908;451649.189;4.291782523272147;52.04805787709896
201605947/6006109;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2016-06-20;;;Beschikking met bezwaar;Schildersbuurt-Oost;Schildersbuurt;Centrum;97084;81562.425;453924.493;4.31613754499084;52.06873403284014
201011723/20;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2011-03-24;;;Beschikking met bezwaar;Duinzigt;Benoordenhout;Haagse Hout;97083;82379.022;457871.631;4.327204967216936;52.104313759245464
201105612/12;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2011-05-27;;;Beschikking met bezwaar;Duinzigt;Benoordenhout;Haagse Hout;97082;82379.022;457871.631;4.327204967216936;52.104313759245464
201616785/6208370;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2017-01-20;;;Beschikking met bezwaar;Willemspark;Willemspark;Centrum;97081;81293.2;456115.478;4.311738337561087;52.088388122066924
201317450/5338089;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2014-02-06;;;Beschikking met bezwaar;Willemspark;Willemspark;Centrum;97080;81293.2;456115.478;4.311738337561087;52.088388122066924
201208818/7;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2012-05-30;;;Beschikking met bezwaar;Archipelbuurt;Archipelbuurt;Centrum;97079;81052.974;456566.967;4.308135855369101;52.092413496350915
201412994/5477272;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2014-10-30;;;Beschikking met bezwaar;Moerwijk-West;Moerwijk;Escamp;97078;79718.394;451809.16;4.289713804652306;52.049476563756535
201808644/6780170;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2018-06-18;;;Beschikking met bezwaar;Moerwijk-Zuid;Moerwijk;Escamp;97077;79913.817;451269.683;4.292680799198639;52.044654926642444
201602920/5986469;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2016-05-25;;;Beschikking met bezwaar;Vogelwijk;Vogelwijk;Segbroek;97076;77208.104;455270.691;4.252335756789368;52.08023740669945
201216171/8;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2012-11-08;;;Beschikking met bezwaar;Vogelwijk;Vogelwijk;Segbroek;97075;77208.104;455270.691;4.252335756789368;52.08023740669945
202012787/7712202;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2020-09-02;;;Beschikking met bezwaar;Waldeck-Zuid;Waldeck;Loosduinen;97074;75910.174;452552.87;4.234034180763637;52.05562963789433
202021782/7893244;Algemene Wet Bestuursrecht;Buiten behandeling stelling (ev);Artikel 4:5 lid 1c;2021-03-29;;;Beschikking met bezwaar;Willemspark;Willemspark;Centrum;97073;81209.744;456099.809;4.310524216749006;52.08823619138418
202019512/7925970;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2021-05-04;;;Beschikking met bezwaar;Schildersbuurt-Noord;Schildersbuurt;Centrum;97072;80714.313;453850.036;4.303786383088092;52.067951817553876
201508424/5749231;Wet Algemene Bepalingen Omgevingsrecht;Weigering standaard (ev);Artikel 2.10 en 2.12 t/m 2.20a ;2015-08-28;;;Beschikking met bezwaar;Rustenburg;Rustenburg en Oostbroek;Escamp;97071;78606.111;453408.85;4.27314358735011;52.063700289857664
202017720/7798939;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2020-12-09;;;Beschikking met bezwaar;Moerwijk-Oost;Moerwijk;Escamp;97070;80844.196;451696.845;4.306147814493054;52.048618987551905
201707343/6411411;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2017-07-26;;;Beschikking met bezwaar;Huygenspark;Stationsbuurt;Centrum;97069;81548.14;454248.945;4.315859421273956;52.07164791665807
201117097;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2012-01-24;;2013-07-24;Beschikking met bezwaar;Spoorwijk;Laakkwartier en Spoorwijk;Laak;97068;81091.622;452276.86;4.309628758191006;52.05386450922165
202022034/7875352;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2021-03-09;;;Beschikking met bezwaar;Koningsplein e.o.;Regentessekwartier;Segbroek;97067;79465.41;454912.008;4.285339971911263;52.07732655054175
201301181/7;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-01-28;;;Beschikking met bezwaar;Morgenweide;Ypenburg;Leidschenveen-Ypenburg;97066;85850.969;451842.246;4.379096745447572;52.05057297100693
201319477/5319749;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2014-01-03;;;Beschikking met bezwaar;Laakhaven-West;Laakkwartier en Spoorwijk;Laak;97065;81486.582;453148.765;4.315198601423952;52.0617526738992
201901678/7142776;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2019-04-01;;;Beschikking met bezwaar;Erasmus Veld;Wateringse Veld;Escamp;97064;78753.679;450058.481;4.276042736169692;52.03361182454155
201703386/6343453;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2017-05-23;;;Beschikking met bezwaar;Transvaalkwartier-Zuid;Transvaalkwartier;Centrum;97063;80381.05;453184.764;4.2990721472709055;52.06192839594833
201100065/13;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2011-02-03;2011-02-03;;Beschikking met bezwaar;Belgisch Park;Belgisch Park;Scheveningen;97062;79490.604;458909.174;4.284822070621735;52.11325118648329
201101850/4;Wet Algemene Bepalingen Omgevingsrecht;Intrekken vergunning;Artikel 2.33, lid 2;2012-10-08;;;Beschikking met bezwaar;Belgisch Park;Belgisch Park;Scheveningen;97061;79490.604;458909.174;4.284822070621735;52.11325118648329
201401772/5337342;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2014-02-05;;;Beschikking met bezwaar;Schildersbuurt-West;Schildersbuurt;Centrum;97060;80540.403;453504.715;4.301325745716247;52.06482515544471
201214342/6;Wet Algemene Bepalingen Omgevingsrecht;Verlenen Verg bepaalde term(mv);Artikel 3.9 lid 1;2012-09-28;2012-09-28;2017-09-28;Beschikking met bezwaar;Schildersbuurt-West;Schildersbuurt;Centrum;97059;80540.403;453504.715;4.301325745716247;52.06482515544471
201216279/7;Wet Algemene Bepalingen Omgevingsrecht;Verlenen Verg bepaalde term(mv);Artikel 3.9 lid 1;2012-10-24;2012-10-25;2017-10-25;Beschikking met bezwaar;Schildersbuurt-West;Schildersbuurt;Centrum;97058;80629.354;453559.715;4.302610755491333;52.06533137528493
201501746/5588906;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2015-03-20;;;Beschikking met bezwaar;Huygenspark;Stationsbuurt;Centrum;97057;82120.711;454230.845;4.324213231524873;52.07156089035742
201922767/7438616;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2019-12-02;;;Beschikking met bezwaar;Transvaalkwartier-Zuid;Transvaalkwartier;Centrum;97056;80456.636;453288.104;4.300151632274889;52.06286726172628
201822499/7083277;Wet Algemene Bepalingen Omgevingsrecht;Weigering standaard (ev);Artikel 2.10 en 2.12 t/m 2.20a ;2019-02-14;;;Beschikking met bezwaar;Valkenboskwartier;Valkenboskwartier;Segbroek;97055;78717.842;454827.271;4.274455699889853;52.076462577273496
201907562/7269432;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2019-07-11;;;Beschikking met bezwaar;Bezuidenhout-Oost;Bezuidenhout;Haagse Hout;97054;83578.039;455274.617;4.345247414270463;52.08113093696027
201904321/7162609;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2019-04-17;;;Beschikking met bezwaar;Bezuidenhout-Oost;Bezuidenhout;Haagse Hout;97053;83578.039;455274.617;4.345247414270463;52.08113093696027
201824242/7060639;Algemene Wet Bestuursrecht;Buiten behandeling stelling (ev);Artikel 4:5 lid 1c;2019-01-28;;;Beschikking met bezwaar;Bezuidenhout-Oost;Bezuidenhout;Haagse Hout;97052;83578.039;455274.617;4.345247414270463;52.08113093696027
201905015/7194085;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2019-05-15;;;Beschikking met bezwaar;Bezuidenhout-Oost;Bezuidenhout;Haagse Hout;97051;83578.039;455274.617;4.345247414270463;52.08113093696027
201822313/7111368;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2019-03-07;;;Beschikking met bezwaar;Bezuidenhout-Oost;Bezuidenhout;Haagse Hout;97050;83578.039;455274.617;4.345247414270463;52.08113093696027
201106650;Wet Algemene Bepalingen Omgevingsrecht;Verlenging term regulier (mv);Artikel 3.9 lid 2;2011-06-21;;;Beschikking met bezwaar;Bezuidenhout-Oost;Bezuidenhout;Haagse Hout;97049;83578.039;455274.617;4.345247414270463;52.08113093696027
201106650/18;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2011-08-29;;;Beschikking met bezwaar;Bezuidenhout-Oost;Bezuidenhout;Haagse Hout;97048;83578.039;455274.617;4.345247414270463;52.08113093696027
202019723/7822374;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2021-01-07;;;Beschikking met bezwaar;Schildersbuurt-West;Schildersbuurt;Centrum;97047;80493.411;453542.802;4.300632247192444;52.06516111570045
201106772/14;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2011-05-31;;;Beschikking met bezwaar;Huygenspark;Stationsbuurt;Centrum;97046;81805.206;454471.963;4.319560447319856;52.07368616166249
202015757/7854948;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2021-02-17;;;Beschikking met bezwaar;Laakhaven-Oost;Laakkwartier en Spoorwijk;Laak;97045;82027.26;453604.186;4.322984370568648;52.06591692967295
201918439/7478172;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2020-01-14;;;Beschikking met bezwaar;Waalsdorp;Benoordenhout;Haagse Hout;97044;81196.949;456745.98;4.310197695978717;52.09404145254038
201814991/6957990;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2018-11-02;;;Beschikking met bezwaar;Bohemen en Meer en Bos;Bohemen en Meer en Bos;Loosduinen;97043;75516.869;453369.577;4.228110652912643;52.06291276216541
201609411/6045868;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2016-07-25;;;Beschikking met bezwaar;Bohemen en Meer en Bos;Bohemen en Meer en Bos;Loosduinen;97042;75516.869;453369.577;4.228110652912643;52.06291276216541
201814991/6957990;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2018-11-02;;;Beschikking met bezwaar;Bohemen en Meer en Bos;Bohemen en Meer en Bos;Loosduinen;97041;75533.892;453371.358;4.2283584341629314;52.062931209226015
201304866/5180859;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-04-02;;;Beschikking met bezwaar;Zeeheldenkwartier;Zeeheldenkwartier;Centrum;97040;80498.792;455810.788;4.300215575551713;52.08554362371484
201814422/6970420;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2018-11-14;;;Beschikking met bezwaar;Zuidwal;Centrum;Centrum;97039;80814.589;454468.785;4.305114128335642;52.07352579904166
201311815/5291759;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-11-06;;;Beschikking met bezwaar;Zuidwal;Centrum;Centrum;97038;80814.589;454468.785;4.305114128335642;52.07352579904166
201814422/6970420;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2018-11-14;;;Beschikking met bezwaar;Zuidwal;Centrum;Centrum;97037;80814.41;454463.796;4.30511260228583;52.07348094018597
201311815/5291759;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-11-06;;;Beschikking met bezwaar;Zuidwal;Centrum;Centrum;97036;80814.41;454463.796;4.30511260228583;52.07348094018597
201924617/7523756;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2020-02-24;;;Beschikking met bezwaar;Vissershaven;Scheveningen;Scheveningen;97035;77663.505;457114.308;4.25856005106372;52.096869065534186
