FID,datummutatie,naammuteerder,bron,status,genormeerd,rwsdienst,waterlichaam,opmerkingen,gdb_geomattr_data,shape
zomer_kade_legger.21,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (187886.49230000004 442774.4593000002, 187805.8663999997 442693.8333999999, 187716.28200000152 442657.9996000007, 187550.55099999905 442613.20749999955, 187357.94469999894 442617.68670000136, 187196.6928000003 442657.9996000007, 187035.44099999964 442711.75019999966, 186905.5436999984 442765.50079999864, 186820.4386 442810.29300000146, 186807.00090000033 442841.6475000009, 186681.58289999887 442868.5227999985, 186547.2063000016 442913.31500000134, 186444.1843000017 442953.6279999986, 186318.76630000025 443065.6083999984, 186247.0987999998 443146.23429999873, 186197.8273999989 443222.381000001, 186135.11840000004 443267.1732000001, 186094.80539999902 443307.4860999994, 186081.36780000106 443320.92379999906, 186108.24309999868 443388.11199999973)"
zomer_kade_legger.75,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (186337.18090000004 346106.67119999975, 186331.77699999884 346126.6889999993, 186330.72260000184 346131.67060000077)"
zomer_kade_legger.76,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (186341.18090000004 346090.2441999987, 186341.0850000009 346090.8779999986, 186340.28510000184 346094.6640999988, 186339.87849999964 346096.27059999853)"
zomer_kade_legger.22,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (183720.82030000165 442384.76740000024, 183801.44619999826 442223.5155999996, 183604.36059999838 442124.9728000015, 183483.42179999873 442165.2857000008, 183263.9400999993 442066.7430000007, 183093.72989999875 441936.8456999995, 182883.2067000009 441806.94839999825, 182780.18470000103 441748.7184999995, 182681.64189999923 441771.11459999904, 182596.53680000082 441721.84319999814, 182533.82770000026 441654.6550000012, 182529.34849999845 441605.3836000003, 182394.97199999914 441529.23690000176, 182126.2190000005 441417.2564999983, 182036.6345999986 441412.7773000002, 181615.58819999918 441471.007100001, 181476.7325000018 441524.75769999996, 181185.5833999999 441668.09259999916, 180984.0185999982 441780.0731000006, 180688.39020000026 441959.241799999, 180554.01370000094 442012.99240000173, 180383.8035000004 442138.41039999947, 180164.32180000097 442326.53759999946, 180016.50769999996 442416.1218999997, 179859.7351000011 442523.62310000136, 179729.83779999986 442590.8114, 179528.27299999818 442608.7281999998, 179429.7302000001 442617.68670000136, 179299.83289999887 442581.8528999984, 179187.8524999991 442537.060800001, 179107.22659999877 442528.10229999945, 179004.2045999989 442492.2685999982, 178959.4123999998 442528.10229999945, 178901.182599999 442649.0412000008)"
zomer_kade_legger.23,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (143725.2435999997 417251.9371000007, 143702.4160999991 417257.32939999923, 143679.3436000012 417262.77969999984, 143678.17080000043 417263.0493000001, 143651.61510000005 417269.15399999917, 143648.80590000004 417269.7998000011, 143637.16789999977 417272.2936999984, 143634.0636 417272.9589000009, 143632.64730000123 417273.1730999984, 143627.7890000008 417273.9079999998, 143613.21409999952 417276.1125999987, 143609.28620000184 417276.7067000009, 143607.65659999847 417276.95320000127, 143592.29360000044 417279.27699999884, 143586.1501000002 417280.0720999986, 143584.12260000035 417280.3344999999, 143582.2879000008 417280.57189999893, 143565.06980000064 417282.8000999987, 143563.75569999963 417282.97019999847, 143562.45800000057 417283.13809999824)"
zomer_kade_legger.24,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (195412.6799999997 406718.58999999985, 195363.14059999958 406762.9375, 195315.20309999958 406810.3125, 195254.5625 406853.40630000085)"
zomer_kade_legger.25,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (195372.05999999866 357749.94999999925, 195373.8856999986 357751.75759999827, 195374.7921999991 357752.65509999916, 195380.01269999892 357757.8236999996, 195385.14930000156 357762.90940000117, 195385.92760000005 357763.67990000173, 195392.19999999925 357769.8900000006, 195396.1704000011 357773.81109999865, 195401.81749999896 357779.38809999824, 195408.83029999956 357786.31379999965, 195417.9699999988 357795.33999999985, 195420.0225000009 357797.4549999982, 195426.1799999997 357803.80000000075, 195428.63450000063 357806.13430000097, 195429.91539999843 357807.3524999991, 195438.83999999985 357815.83999999985, 195441.81210000068 357818.8627000004, 195448.15300000086 357825.31159999967, 195457.03970000148 357834.34959999844, 195466.2580000013 357843.7248999998, 195472.8999999985 357850.48000000045, 195479.40670000017 357857.2360999994, 195486.37689999864 357864.47349999845, 195495.7474000007 357874.20320000127, 195502.6400000006 357881.3599999994, 195506.3751000017 357885.34690000117, 195509.37429999933 357888.54839999974, 195517.58029999956 357897.3077000007, 195525.50499999896 357905.76680000126, 195532.0540000014 357912.7573999986, 195539.26999999955 357920.4600000009, 195546.4037999995 357928.250500001, 195554.1035999991 357936.65900000185, 195559.4354000017 357942.48149999976, 195568.8200000003 357952.73000000045, 195573.81670000032 357958.315200001, 195581.75129999965 357967.1843999997, 195587.91319999844 357974.0720000006, 195595.48000000045 357982.5300000012, 195602.70160000026 357990.3997000009, 195605.0282999985 357992.9353, 195612.35909999907 358000.9241000004, 195623.1099999994 358012.6400000006, 195625.0375000015 358014.73999999836, 195629.79100000113 358019.91899999976, 195630.8200000003 358021.0399999991, 195635.27070000023 358026.24870000035, 195640.83100000024 358032.7558999993, 195646.28440000117 358039.13809999824, 195652.06599999964 358045.9043000005, 195658.30000000075 358053.19999999925, 195660.2936999984 358055.49280000106, 195665.1486000009 358061.07620000094, 195669.87790000066 358066.5150000006, 195670.88679999858 358067.6752999984, 195676.5945999995 358074.2395000011, 195678.30889999866 358076.2109000012, 195684.3599999994 358083.1700000018, 195687.0634999983 358086.4770999998, 195692.90929999948 358093.6279999986, 195697.76260000095 358099.5648000017, 195702.23790000007 358105.0390999988, 195707.78449999914 358111.8240999989, 195710.4642000012 358115.1020000018, 195715.7624000013 358121.58300000057, 195721.08999999985 358128.1000000015, 195727.88500000164 358136.6840999983, 195733.27439999953 358143.4924999997, 195739.26779999956 358151.0639999993, 195745.91279999912 358159.45859999955, 195749.9486999996 358164.5571000017, 195754.09270000085 358169.7921999991, 195758.69000000134 358175.6000000015, 195763.375 358181.56379999965, 195768.1149000004 358187.59750000015, 195768.9913999997 358188.71339999884, 195774.26199999824 358195.4226000011, 195778.51909999922 358200.8416999988, 195782.69689999893 358206.16000000015, 195786.878800001 358211.4833999984, 195788.19079999998 358213.15349999815, 195792.39799999818 358218.5091000013, 195796.8999999985 358224.23999999836, 195798.1147999987 358225.85240000114, 195802.16059999913 358231.22239999846, 195807.19810000062 358237.90879999846, 195812.1125999987 358244.43200000003, 195816.44189999998 358250.1783000007, 195820.86659999937 358256.0513000004, 195822.21829999983 358257.84540000185, 195827.09050000086 358264.31230000034, 195828.9098000005 358266.7270999998, 195835.12000000104 358274.9699999988, 195836.66340000182 358277.09050000086, 195841.29360000044 358283.4521000013, 195845.8286000006 358289.68290000036, 195851.13610000163 358296.97520000115, 195856.3264000006 358304.1063000001, 195859.96759999916 358309.1090000011, 195864.2864000015 358315.0428000018, 195868.63489999995 358321.01740000024, 195875.1000000015 358329.8999999985, 195881.27219999954 358338.5482000001, 195887.33999999985 358347.05000000075, 195891.01480000094 358352.37849999964, 195895.62889999896 358359.0687999986, 195900.1629000008 358365.6431999989, 195904.3161999993 358371.6653999984, 195909.73999999836 358379.5300000012, 195911.26300000027 358381.74109999835, 195915.5577000007 358387.97619999945, 195920.28489999846 358394.8390999995, 195925.4354000017 358402.3167000003, 195929.8958999999 358408.79239999875, 195934.21429999918 358415.061900001, 195937.9600000009 358420.5, 195939.95369999856 358423.48479999974, 195944.2723999992 358429.95010000095, 195947.9822999984 358435.50400000066, 195952.00539999828 358441.5267000012, 195956.0139000006 358447.5276999995, 195959.96169999987 358453.4378999993, 195963.44999999925 358458.66000000015, 195964.45870000124 358460.22940000147, 195968.29179999977 358466.19310000166, 195972.23559999838 358472.3289999999, 195976.56069999933 358479.0581, 195981.2226999998 358486.3114, 195983.05000000075 358489.1543999985, 195987.25250000134 358495.6928000003, 195992.75070000067 358504.24709999934, 195998.6400000006 358513.41000000015, 196004.48369999975 358522.75389999896, 196009.79430000111 358531.2452000007, 196014.55070000142 358538.85060000047, 196017.97140000015 358544.32009999827, 196020.87189999968 358548.95800000057, 196021.70120000094 358550.28400000185, 196025.5700000003 358556.4699999988, 196028.80160000175 358561.7243999988, 196032.90150000155 358568.3905000016, 196037.18230000138 358575.35069999844, 196041.49230000004 358582.3583999984, 196046.20380000025 358590.01889999956, 196050.34310000017 358596.74920000136, 196053.9600000009 358602.62999999896, 196056.11050000042 358606.2181000002, 196058.63320000097 358610.42720000073, 196062.83449999988 358617.4371000007, 196066.2237999998 358623.09209999815, 196072.1799999997 358633.0300000012, 196076.28799999878 358640.18930000067, 196080.86789999902 358648.1710000001, 196085.74689999968 358656.67390000075, 196090.07770000026 358664.22150000185, 196093.94999999925 358670.9699999988, 196095.07930000126 358672.95430000126, 196099.57499999925 358680.85339999944, 196104.05810000002 358688.73050000146, 196109.03090000153 358697.4679000005, 196112.9824000001 358704.4107999988, 196117.00730000064 358711.4829000011, 196117.79930000007 358712.874499999, 196122.30999999866 358720.80000000075, 196124.67830000073 358725.12640000135, 196128.47740000114 358732.0667000003, 196132.42700000107 358739.2818999998, 196136.82840000093 358747.32239999995, 196140.8834999986 358754.7302000001, 196144.41429999843 358761.18030000106, 196148.2124999985 358768.11890000105, 196151.8326999992 358774.7325000018, 196154.76000000164 358780.0799999982, 196157.40040000156 358785.1031999998, 196162.65340000018 358795.09629999846, 196166.38540000096 358802.1961000003, 196166.85909999907 358803.0971999988, 196171.01619999856 358811.00569999963, 196176.09230000153 358820.6623999998, 196179.7888999991 358827.69480000064, 196183.36950000003 358834.50659999996, 196187.75 358842.83999999985, 196192.05000000075 358854.41000000015)"
zomer_kade_legger.26,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (194332.4235999994 356829.0612999983, 194339.20259999856 356835.05469999835, 194339.93499999866 356835.70219999924, 194341.51440000162 356837.09860000014, 194360.1015000008 356853.53180000186, 194369.37249999866 356861.72850000113, 194379.84640000015 356870.98860000074, 194390.32030000165 356880.2487999983, 194403.55840000138 356891.9527999982, 194412.16440000013 356899.5615000017, 194413.09789999947 356900.3867999986, 194413.4177000001 356900.66959999874, 194425.0300000012 356910.93620000035, 194436.64229999855 356921.2027999982, 194453.8022999987 356936.3742999993, 194464.21680000052 356945.5819000006, 194472.52600000054 356952.92819999903, 194479.53920000046 356959.1286999993, 194486.5522999987 356965.32919999957, 194488.1035999991 356966.7006999999, 194488.11560000107 356966.71130000055, 194495.4802000001 356973.22239999846, 194509.17309999838 356985.3286000006, 194522.30070000142 356996.9349000007, 194525.7562999986 356999.98999999836, 194536.90780000016 357009.8493000008, 194546.65619999915 357018.4679999985, 194551.39669999853 357022.6592000015, 194551.7773000002 357022.9957000017, 194554.99170000106 357025.8374999985, 194555.55429999903 357026.3348999992, 194557.46660000086 357028.0256999992, 194562.19209999964 357032.2034999989, 194564.05070000142 357033.8467999995, 194565.03700000048 357034.71880000085, 194570.0507999994 357039.1515999995, 194577.56379999965 357045.79399999976, 194582.69839999825 357050.33359999955, 194592.03830000013 357058.59109999985, 194692.43930000067 357147.3572999984, 194703.77120000124 357157.3761, 194710.74670000002 357163.5432000011, 194726.87170000002 357177.7996000014, 194736.3348999992 357186.1662000008, 194749.8553000018 357198.1198000014, 194756.370099999 357203.87970000133, 194759.86149999872 357206.9664000012, 194767.23710000142 357213.48739999905, 194774.0538999997 357219.51419999823, 194777.86499999836 357222.8836000003, 194785.23169999942 357229.39660000056, 194791.4593999982 357234.9026999995, 194792.31060000136 357235.65520000085, 194799.16180000082 357241.7124999985, 194803.0850000009 357245.1810999997, 194809.93039999902 357251.23319999874, 194816.1735999994 357256.75290000066, 194823.38760000095 357263.131000001, 194831.56899999827 357270.3643000014, 194837.5095999986 357275.6165000014, 194844.70749999955 357281.9802000001, 194846.9464999996 357283.95980000123, 194853.6634999998 357289.8984000012, 194859.2522 357294.83949999884, 194867.23790000007 357301.89979999885, 194874.19330000132 357308.0491999984, 194880.77820000052 357313.87099999934, 194890.69830000028 357322.6414999999)"
zomer_kade_legger.27,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (193820.36560000107 356073.62220000103, 193853.5625 356064.65630000085, 193877.5625 356058.53130000085, 193931.70309999958 356057, 193953.17190000042 356059.1875, 194026.45309999958 356066.4375, 194052.89059999958 356069.09380000085, 194118.88899999857 356072.59640000015)"
zomer_kade_legger.28,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel maas_j09_5/DLB: aangeleverd,Vastgesteld,0,ZN,Maas,,,"LINESTRING (192607.6700000018 354359.7899999991, 192614.36169999838 354353.70479999855, 192623.1700000018 354353.5399999991)"
