Leveranciersnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Groenendijk Bedrijfskleding B.V.;;;;;;;;;2;;2
Groeneveld Eten;;1;;;;;;;;;1
Groenraad;;;;;;;;1;;;1
HAAGSE BEEK ORGANISATIEADVIES B.V.;;;1;;;;;;;;1
Hako B.V.;;;;1;;;;;;;1
Hampshire Hotel Management B.V.;;1;;;;;;;;;1
Handelshuisweert;;;;;;;;2;;;2
Havengebouw Amsterdam B.V.;;1;1;;;;;;;;1
HCV Architecten B.V.;;;;;1;;;;;;1
Health2Work B.V.;;;;;;;;;1;;1
HEERING OFFICE;;;;;;;;;1;;1
HEIGO;;;;;;;;;1;;1
Heigo Nederland B.V.;;;;1;;;;;5;;5
Heijmans Utiliteit;;;;;;;;2;;;2
Heijmerink- Wagemakers Vormgeversatelier B.V.;;;;;;;;1;;;1
HELICON CONSERVATION SUPPORT;;;;;;1;;;;;1
Hendriks Fotografie;;;;;;;;1;;;1
Henri Culinair;;1;;;;;;;;;1
HERINGA VAN KALSBEEK;;;;;;;;1;;;1
HET BAKKERTJE;;1;;;;;;;;;1
Het Coachhuis B.V.;;1;;;;;;;;;1
Het Stempel No. 539 B.V.;;;;;;;;;1;;1
Heuvelpoort Hotel B.V.;;1;;;;;;;;;1
HG Exploitatie B.V.;;1;;;;;;;;;1
High Security International B.V.;;;;;;;;;2;;2
HOEKMAN HOUTINDUSTRIE RIJSSEN B.V.;;;;;;1;;;;;1
Hofstad Catering;;1;;;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;;;;;;;;1
Hollandse Hoogte B.V.;;;;;;1;;;;;1
Horeca Adviescentrum HTC;;1;;;;;;;;;1
Horequip B.V.;;1;;;;;;;;;1
Hortus Horeca en Catering B.V.;;1;;;;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;1;;;;;;;1;;2
Hotel Central/Restaurant Sistermans B.V.;;1;;;;;;;;;1
Hotel Heerlickheijd van Ermelo B.V.;;1;;;;;;;;;1
Hotel Mozaic Den Haag;;1;;;;;;;;;1
Hotel-Brasserie De Kroon;;1;;;;;;;;;1
House of Brands B.V.;;;;;;;;1;;;1
House of Lords B.V.;;1;;;;;;;;;1
HOZA LOGISTIC SOLUTIONS;;;;;;2;;;;;2
HUIS TEN HAGHE;;1;;;;;;;;;1
Huurland Horeca Verhuur;;;;1;;;;;;;1
Hydra Group B.V.;;;;1;;;;;;;1
Iedema Projectstoffering Wateringen B.V.;;;;;;;;1;;;1
Igluu B.V.;;1;;;;;;;;;1
Igo-Post B.V.;;;;;;;;;1;;1
IKA Nederland;;;4;;;;;;;;4
In d�Ouwe Peel Hotel eetcaf�;;1;;;;;;;;;1
In Pace B.V.;;1;;;;;;;;;1
Incendio B.V.;;;1;;;;;;;;1
Indonesisch Restaurant Poentjak;;1;;;;;;;;;1
Initial B.V.;;;;1;;;;2;;;2
Initial Hokatex (NIET GEBRUIKEN, ZIE 122090);;;;1;;;;;;;1
Innosell;;;;;;;;;1;;1
Innovero Software Solutions B.V.;;;;;;;;2;;;2
InsightsWorld B.V.;;;;;;;;;1;;1
INSTOCK AMSTERDAM;;1;;;;;;;;;1
Interim Direct;;;;;3;;;;;;3
INTERNATIONALE GESCHENKEN ORGANISATIE;;;;;;1;;;1;;1
Internet New Business Concepts B.V.;;2;;;;;;;;;2
INTEROFFICE KANTOORINRICHTING B.V.;;;;1;;;;1;1;;1
Interparking Nederland B.V.;;;;;;;;;1;;1
Interval B.V.;;;1;;;;;;;;1
Intimus International Netherlands B.V.;;;;;;;;;1;;1
ISS Cleaning Services;;;;2;;;;;;;2
Jaarbeurs B.V.;;2;;;;;;;;;2
Ja-maarÂ® B.V.;;;;;;;;;2;;2
JANSEN-WIJSMULLER & BEUNS;;;;;;5;;;1;;5
