Vri;Detector;Long;Lat;Datum;Uur;Waarde
1;1.2;5,144293271;52,09557255;12-9-2015;1;10
1;1.2;5,144293271;52,09557255;12-9-2015;2;10
1;1.2;5,144293271;52,09557255;12-9-2015;3;5
1;1.2;5,144293271;52,09557255;12-9-2015;4;8
1;1.2;5,144293271;52,09557255;12-9-2015;5;7
1;1.2;5,144293271;52,09557255;12-9-2015;6;11
1;1.2;5,144293271;52,09557255;12-9-2015;7;24
1;1.2;5,144293271;52,09557255;12-9-2015;8;54
1;1.2;5,144293271;52,09557255;12-9-2015;9;75
1;1.2;5,144293271;52,09557255;12-9-2015;10;118
1;1.2;5,144293271;52,09557255;12-9-2015;11;108
1;1.2;5,144293271;52,09557255;12-9-2015;12;129
1;1.2;5,144293271;52,09557255;12-9-2015;13;113
1;1.2;5,144293271;52,09557255;12-9-2015;14;140
1;1.2;5,144293271;52,09557255;12-9-2015;15;119
1;1.2;5,144293271;52,09557255;12-9-2015;16;107
1;1.2;5,144293271;52,09557255;12-9-2015;17;102
1;1.2;5,144293271;52,09557255;12-9-2015;18;69
1;1.2;5,144293271;52,09557255;12-9-2015;19;59
1;1.2;5,144293271;52,09557255;12-9-2015;20;53
1;1.2;5,144293271;52,09557255;12-9-2015;21;32
1;1.2;5,144293271;52,09557255;12-9-2015;22;38
1;1.2;5,144293271;52,09557255;12-9-2015;23;37
1;1.2;5,144293271;52,09557255;15-9-2015;0;7
1;1.2;5,144293271;52,09557255;15-9-2015;1;0
1;1.2;5,144293271;52,09557255;15-9-2015;2;0
1;1.2;5,144293271;52,09557255;15-9-2015;3;0
1;1.2;5,144293271;52,09557255;15-9-2015;4;0
1;1.2;5,144293271;52,09557255;15-9-2015;5;0
1;1.2;5,144293271;52,09557255;15-9-2015;6;0
1;1.2;5,144293271;52,09557255;15-9-2015;12;90
1;1.2;5,144293271;52,09557255;15-9-2015;13;104
1;1.2;5,144293271;52,09557255;15-9-2015;14;145
1;1.2;5,144293271;52,09557255;15-9-2015;15;158
1;1.2;5,144293271;52,09557255;15-9-2015;16;268
1;1.2;5,144293271;52,09557255;15-9-2015;17;363
1;1.2;5,144293271;52,09557255;15-9-2015;18;215
1;1.2;5,144293271;52,09557255;15-9-2015;19;72
1;1.2;5,144293271;52,09557255;15-9-2015;20;77
1;1.2;5,144293271;52,09557255;15-9-2015;21;54
1;1.2;5,144293271;52,09557255;15-9-2015;22;52
1;1.2;5,144293271;52,09557255;15-9-2015;23;20
1;1.2;5,144293271;52,09557255;16-9-2015;0;12
1;1.2;5,144293271;52,09557255;16-9-2015;1;0
1;1.2;5,144293271;52,09557255;16-9-2015;2;8
1;1.2;5,144293271;52,09557255;16-9-2015;3;4
1;1.2;5,144293271;52,09557255;16-9-2015;4;3
1;1.2;5,144293271;52,09557255;16-9-2015;5;27
1;1.2;5,144293271;52,09557255;16-9-2015;6;82
1;1.2;5,144293271;52,09557255;16-9-2015;7;147
1;1.2;5,144293271;52,09557255;16-9-2015;8;148
1;1.2;5,144293271;52,09557255;16-9-2015;9;114
1;1.2;5,144293271;52,09557255;16-9-2015;10;108
1;1.2;5,144293271;52,09557255;16-9-2015;11;118
1;1.2;5,144293271;52,09557255;16-9-2015;12;141
1;1.2;5,144293271;52,09557255;16-9-2015;13;131
1;1.2;5,144293271;52,09557255;16-9-2015;14;138
1;1.2;5,144293271;52,09557255;16-9-2015;15;196
1;1.2;5,144293271;52,09557255;16-9-2015;16;272
1;1.2;5,144293271;52,09557255;16-9-2015;17;282
1;1.2;5,144293271;52,09557255;16-9-2015;18;244
1;1.2;5,144293271;52,09557255;16-9-2015;19;103
1;1.2;5,144293271;52,09557255;16-9-2015;20;78
1;1.2;5,144293271;52,09557255;16-9-2015;21;69
1;1.2;5,144293271;52,09557255;16-9-2015;22;60
1;1.2;5,144293271;52,09557255;16-9-2015;23;19
1;1.2;5,144293271;52,09557255;17-9-2015;0;12
1;1.2;5,144293271;52,09557255;17-9-2015;1;0
1;1.2;5,144293271;52,09557255;17-9-2015;2;8
1;1.2;5,144293271;52,09557255;17-9-2015;3;4
1;1.2;5,144293271;52,09557255;17-9-2015;4;4
1;1.2;5,144293271;52,09557255;17-9-2015;5;19
1;1.2;5,144293271;52,09557255;17-9-2015;6;74
1;1.2;5,144293271;52,09557255;17-9-2015;7;142
1;1.2;5,144293271;52,09557255;17-9-2015;8;182
1;1.2;5,144293271;52,09557255;17-9-2015;9;133
1;1.2;5,144293271;52,09557255;17-9-2015;10;110
1;1.2;5,144293271;52,09557255;17-9-2015;11;120
1;1.2;5,144293271;52,09557255;17-9-2015;12;132
1;1.2;5,144293271;52,09557255;17-9-2015;13;125
1;1.2;5,144293271;52,09557255;17-9-2015;14;175
1;1.2;5,144293271;52,09557255;17-9-2015;15;200
1;1.2;5,144293271;52,09557255;17-9-2015;16;288
1;1.2;5,144293271;52,09557255;17-9-2015;17;366
1;1.2;5,144293271;52,09557255;17-9-2015;18;282
1;1.2;5,144293271;52,09557255;17-9-2015;19;75
1;1.2;5,144293271;52,09557255;17-9-2015;20;78
1;1.2;5,144293271;52,09557255;17-9-2015;21;81
1;1.2;5,144293271;52,09557255;17-9-2015;22;53
1;1.2;5,144293271;52,09557255;17-9-2015;23;30
1;1.2;5,144293271;52,09557255;18-9-2015;0;27
1;1.2;5,144293271;52,09557255;18-9-2015;1;0
1;1.2;5,144293271;52,09557255;18-9-2015;2;7
1;1.2;5,144293271;52,09557255;18-9-2015;3;6
1;1.2;5,144293271;52,09557255;18-9-2015;4;2
1;1.2;5,144293271;52,09557255;18-9-2015;5;16
1;1.2;5,144293271;52,09557255;18-9-2015;6;62
