objectid;level_name;geo_shape;geo_point_2d
40;punt-plus;"{""coordinates"": [5.530482099849201, 51.449550211015506], ""type"": ""Point""}";51.449550211015506, 5.530482099849201
44;punt-plus;"{""coordinates"": [5.503504934236853, 51.42155139112471], ""type"": ""Point""}";51.42155139112471, 5.503504934236853
59;punt-plus;"{""coordinates"": [5.457364278714342, 51.42948380290678], ""type"": ""Point""}";51.42948380290678, 5.457364278714342
72;punt-plus;"{""coordinates"": [5.4717304179981685, 51.479964261724334], ""type"": ""Point""}";51.479964261724334, 5.4717304179981685
73;punt-plus;"{""coordinates"": [5.412864002784066, 51.44589598546961], ""type"": ""Point""}";51.44589598546961, 5.412864002784066
74;punt-plus;"{""coordinates"": [5.410641183434534, 51.44325088313786], ""type"": ""Point""}";51.44325088313786, 5.410641183434534
81;punt-plus;"{""coordinates"": [5.4567304349629895, 51.451288009036034], ""type"": ""Point""}";51.451288009036034, 5.4567304349629895
88;punt-plus;"{""coordinates"": [5.478406495546821, 51.4844394579649], ""type"": ""Point""}";51.4844394579649, 5.478406495546821
91;punt-plus;"{""coordinates"": [5.489297412651428, 51.41986116808483], ""type"": ""Point""}";51.41986116808483, 5.489297412651428
95;punt-plus;"{""coordinates"": [5.512618297454689, 51.448218968159296], ""type"": ""Point""}";51.448218968159296, 5.512618297454689
97;punt-plus;"{""coordinates"": [5.475473008307832, 51.460875175295925], ""type"": ""Point""}";51.460875175295925, 5.475473008307832
98;punt-plus;"{""coordinates"": [5.476945174276525, 51.457152281163815], ""type"": ""Point""}";51.457152281163815, 5.476945174276525
101;punt-plus;"{""coordinates"": [5.461543556389524, 51.42258482523456], ""type"": ""Point""}";51.42258482523456, 5.461543556389524
102;punt-plus;"{""coordinates"": [5.490184638057391, 51.43420930515634], ""type"": ""Point""}";51.43420930515634, 5.490184638057391
111;punt-plus;"{""coordinates"": [5.471709604859485, 51.43549853444957], ""type"": ""Point""}";51.43549853444957, 5.471709604859485
126;punt-bijzonder;"{""coordinates"": [5.480603779999096, 51.44445140246347], ""type"": ""Point""}";51.44445140246347, 5.480603779999096
129;punt-bijzonder;"{""coordinates"": [5.468240308845343, 51.43922466946971], ""type"": ""Point""}";51.43922466946971, 5.468240308845343
135;punt-bijzonder;"{""coordinates"": [5.474468606897206, 51.43971689991875], ""type"": ""Point""}";51.43971689991875, 5.474468606897206
139;punt-bijzonder;"{""coordinates"": [5.4816123021480445, 51.43951249224476], ""type"": ""Point""}";51.43951249224476, 5.4816123021480445
142;punt-bijzonder;"{""coordinates"": [5.517795767883225, 51.46052576090314], ""type"": ""Point""}";51.46052576090314, 5.517795767883225
161;punt-bijzonder;"{""coordinates"": [5.473376059876112, 51.4204035287035], ""type"": ""Point""}";51.4204035287035, 5.473376059876112
172;punt-bijzonder;"{""coordinates"": [5.488310990139798, 51.42968997650078], ""type"": ""Point""}";51.42968997650078, 5.488310990139798
35;punt-bijzonder;"{""coordinates"": [5.448558949597569, 51.44503466027136], ""type"": ""Point""}";51.44503466027136, 5.448558949597569
36;punt-bijzonder;"{""coordinates"": [5.471733496631597, 51.45130347027968], ""type"": ""Point""}";51.45130347027968, 5.471733496631597
39;punt-bijzonder;"{""coordinates"": [5.53774312891169, 51.44559426264752], ""type"": ""Point""}";51.44559426264752, 5.53774312891169
48;punt-bijzonder;"{""coordinates"": [5.502772869516504, 51.431278951122735], ""type"": ""Point""}";51.431278951122735, 5.502772869516504
49;punt-bijzonder;"{""coordinates"": [5.4927042424123025, 51.42419650205724], ""type"": ""Point""}";51.42419650205724, 5.4927042424123025
51;punt-bijzonder;"{""coordinates"": [5.48557797892476, 51.42394278580914], ""type"": ""Point""}";51.42394278580914, 5.48557797892476
53;punt-bijzonder;"{""coordinates"": [5.481128984773841, 51.4123601987824], ""type"": ""Point""}";51.4123601987824, 5.481128984773841
57;punt-bijzonder;"{""coordinates"": [5.46695043867023, 51.42664310382044], ""type"": ""Point""}";51.42664310382044, 5.46695043867023
58;punt-bijzonder;"{""coordinates"": [5.460572752977132, 51.428632209279414], ""type"": ""Point""}";51.428632209279414, 5.460572752977132
66;punt-bijzonder;"{""coordinates"": [5.480194287889647, 51.4377562571622], ""type"": ""Point""}";51.4377562571622, 5.480194287889647
68;punt-bijzonder;"{""coordinates"": [5.481478210806374, 51.437557376531075], ""type"": ""Point""}";51.437557376531075, 5.481478210806374
71;punt-bijzonder;"{""coordinates"": [5.484205693392944, 51.44181509434867], ""type"": ""Point""}";51.44181509434867, 5.484205693392944
76;punt-bijzonder;"{""coordinates"": [5.449706646789687, 51.441234958379376], ""type"": ""Point""}";51.441234958379376, 5.449706646789687
80;punt-bijzonder;"{""coordinates"": [5.444509918072626, 51.456705687601826], ""type"": ""Point""}";51.456705687601826, 5.444509918072626
99;punt-bijzonder;"{""coordinates"": [5.497283623363404, 51.45209634541587], ""type"": ""Point""}";51.45209634541587, 5.497283623363404
108;punt-bijzonder;"{""coordinates"": [5.478943715774026, 51.43504973664999], ""type"": ""Point""}";51.43504973664999, 5.478943715774026
110;punt-bijzonder;"{""coordinates"": [5.482143720529632, 51.437615770807454], ""type"": ""Point""}";51.437615770807454, 5.482143720529632
63;punt-exclusief;"{""coordinates"": [5.478503249676145, 51.43930055998576], ""type"": ""Point""}";51.43930055998576, 5.478503249676145
118;punt-exclusief;"{""coordinates"": [5.4815696439147565, 51.43429011589593], ""type"": ""Point""}";51.43429011589593, 5.4815696439147565
119;punt-exclusief;"{""coordinates"": [5.483441727241103, 51.43503557370763], ""type"": ""Point""}";51.43503557370763, 5.483441727241103
144;punt-exclusief;"{""coordinates"": [5.499506565972976, 51.45906106702777], ""type"": ""Point""}";51.45906106702777, 5.499506565972976
114;punt-plus;"{""coordinates"": [5.480061662789552, 51.43625226658215], ""type"": ""Point""}";51.43625226658215, 5.480061662789552
127;punt-plus;"{""coordinates"": [5.480642223450755, 51.445309755243436], ""type"": ""Point""}";51.445309755243436, 5.480642223450755
130;punt-plus;"{""coordinates"": [5.467815074257006, 51.434795261278985], ""type"": ""Point""}";51.434795261278985, 5.467815074257006
134;punt-plus;"{""coordinates"": [5.474160947964747, 51.438850005529424], ""type"": ""Point""}";51.438850005529424, 5.474160947964747
145;punt-plus;"{""coordinates"": [5.503430219534987, 51.45763992900548], ""type"": ""Point""}";51.45763992900548, 5.503430219534987
149;punt-plus;"{""coordinates"": [5.518530230626743, 51.44829418197835], ""type"": ""Point""}";51.44829418197835, 5.518530230626743
155;punt-plus;"{""coordinates"": [5.5058160839165, 51.42427787298042], ""type"": ""Point""}";51.42427787298042, 5.5058160839165
165;punt-plus;"{""coordinates"": [5.440285317600284, 51.41906861504948], ""type"": ""Point""}";51.41906861504948, 5.440285317600284
171;punt-plus;"{""coordinates"": [5.488631291526378, 51.43362230763591], ""type"": ""Point""}";51.43362230763591, 5.488631291526378
173;punt-plus;"{""coordinates"": [5.486991466578142, 51.42981220855669], ""type"": ""Point""}";51.42981220855669, 5.486991466578142
7;punt-plus;"{""coordinates"": [5.479973657092896, 51.466466051236246], ""type"": ""Point""}";51.466466051236246, 5.479973657092896
18;punt-plus;"{""coordinates"": [5.453187831021399, 51.48995215125653], ""type"": ""Point""}";51.48995215125653, 5.453187831021399
21;punt-plus;"{""coordinates"": [5.494339838955175, 51.47712267733515], ""type"": ""Point""}";51.47712267733515, 5.494339838955175
23;punt-plus;"{""coordinates"": [5.500475358699899, 51.46648305875092], ""type"": ""Point""}";51.46648305875092, 5.500475358699899
24;punt-plus;"{""coordinates"": [5.487154582487101, 51.45413531859833], ""type"": ""Point""}";51.45413531859833, 5.487154582487101
30;punt-plus;"{""coordinates"": [5.447398978165466, 51.467501716961344], ""type"": ""Point""}";51.467501716961344, 5.447398978165466
33;punt-plus;"{""coordinates"": [5.4354448582784025, 51.4429039299335], ""type"": ""Point""}";51.4429039299335, 5.4354448582784025
41;punt-plus;"{""coordinates"": [5.52148826601678, 51.43731345794808], ""type"": ""Point""}";51.43731345794808, 5.52148826601678
43;punt-plus;"{""coordinates"": [5.490860284643606, 51.416968991965156], ""type"": ""Point""}";51.416968991965156, 5.490860284643606
60;punt-plus;"{""coordinates"": [5.456969819439296, 51.43326549537487], ""type"": ""Point""}";51.43326549537487, 5.456969819439296
82;punt-plus;"{""coordinates"": [5.453837876882123, 51.4598542135117], ""type"": ""Point""}";51.4598542135117, 5.453837876882123
85;punt-plus;"{""coordinates"": [5.433470791662556, 51.47797562915019], ""type"": ""Point""}";51.47797562915019, 5.433470791662556
86;punt-plus;"{""coordinates"": [5.46109333582518, 51.48979776898678], ""type"": ""Point""}";51.48979776898678, 5.46109333582518
89;punt-plus;"{""coordinates"": [5.478670902274389, 51.47514611130787], ""type"": ""Point""}";51.47514611130787, 5.478670902274389
92;punt-plus;"{""coordinates"": [5.493855113804552, 51.41963209120136], ""type"": ""Point""}";51.41963209120136, 5.493855113804552
93;punt-plus;"{""coordinates"": [5.4953256570022315, 51.4225633717905], ""type"": ""Point""}";51.4225633717905, 5.4953256570022315
94;punt-plus;"{""coordinates"": [5.508366180681469, 51.46639108850107], ""type"": ""Point""}";51.46639108850107, 5.508366180681469
100;punt-plus;"{""coordinates"": [5.440549033956841, 51.421177312382504], ""type"": ""Point""}";51.421177312382504, 5.440549033956841
112;punt-plus;"{""coordinates"": [5.47543749742451, 51.43562681922082], ""type"": ""Point""}";51.43562681922082, 5.47543749742451
123;punt-bijzonder;"{""coordinates"": [5.490243223833348, 51.43756886690211], ""type"": ""Point""}";51.43756886690211, 5.490243223833348
132;punt-bijzonder;"{""coordinates"": [5.475603740490935, 51.437936618700085], ""type"": ""Point""}";51.437936618700085, 5.475603740490935
136;punt-bijzonder;"{""coordinates"": [5.475432017258468, 51.44100324174815], ""type"": ""Point""}";51.44100324174815, 5.475432017258468
141;punt-bijzonder;"{""coordinates"": [5.5129325533973175, 51.46140530454211], ""type"": ""Point""}";51.46140530454211, 5.5129325533973175
154;punt-bijzonder;"{""coordinates"": [5.523112522776335, 51.424150214354064], ""type"": ""Point""}";51.424150214354064, 5.523112522776335
160;punt-bijzonder;"{""coordinates"": [5.476737281319786, 51.423070818084895], ""type"": ""Point""}";51.423070818084895, 5.476737281319786
1;punt-bijzonder;"{""coordinates"": [5.427594735254848, 51.489019289491004], ""type"": ""Point""}";51.489019289491004, 5.427594735254848
14;punt-bijzonder;"{""coordinates"": [5.471562290951207, 51.47710021458579], ""type"": ""Point""}";51.47710021458579, 5.471562290951207
25;punt-bijzonder;"{""coordinates"": [5.484607905209103, 51.45274378820046], ""type"": ""Point""}";51.45274378820046, 5.484607905209103
26;punt-bijzonder;"{""coordinates"": [5.477717372658169, 51.45287363052562], ""type"": ""Point""}";51.45287363052562, 5.477717372658169
37;punt-bijzonder;"{""coordinates"": [5.500764817750346, 51.4489984505188], ""type"": ""Point""}";51.4489984505188, 5.500764817750346
38;punt-bijzonder;"{""coordinates"": [5.500370370101834, 51.44705571829289], ""type"": ""Point""}";51.44705571829289, 5.500370370101834
65;punt-bijzonder;"{""coordinates"": [5.478427019165742, 51.43826627694805], ""type"": ""Point""}";51.43826627694805, 5.478427019165742
69;punt-bijzonder;"{""coordinates"": [5.481702026068581, 51.438316316443235], ""type"": ""Point""}";51.438316316443235, 5.481702026068581
70;punt-bijzonder;"{""coordinates"": [5.484489836943607, 51.43848340005502], ""type"": ""Point""}";51.43848340005502, 5.484489836943607
79;punt-bijzonder;"{""coordinates"": [5.453028263681266, 51.448381291347765], ""type"": ""Point""}";51.448381291347765, 5.453028263681266
104;punt-bijzonder;"{""coordinates"": [5.467569923758322, 51.44051922801548], ""type"": ""Point""}";51.44051922801548, 5.467569923758322
105;punt-bijzonder;"{""coordinates"": [5.470626612175098, 51.44018196139186], ""type"": ""Point""}";51.44018196139186, 5.470626612175098
106;punt-bijzonder;"{""coordinates"": [5.4713351380182464, 51.437936735396576], ""type"": ""Point""}";51.437936735396576, 5.4713351380182464
113;punt-exclusief;"{""coordinates"": [5.4800391539949524, 51.4367891780706], ""type"": ""Point""}";51.4367891780706, 5.4800391539949524
117;punt-exclusief;"{""coordinates"": [5.478170261897356, 51.431916820090436], ""type"": ""Point""}";51.431916820090436, 5.478170261897356
124;punt-exclusief;"{""coordinates"": [5.477364037248625, 51.441295628793334], ""type"": ""Point""}";51.441295628793334, 5.477364037248625
125;punt-exclusief;"{""coordinates"": [5.480021985793014, 51.441837401984095], ""type"": ""Point""}";51.441837401984095, 5.480021985793014
146;punt-exclusief;"{""coordinates"": [5.495964207539992, 51.45359944354841], ""type"": ""Point""}";51.45359944354841, 5.495964207539992
128;punt-plus;"{""coordinates"": [5.4755942257919905, 51.44371876631393], ""type"": ""Point""}";51.44371876631393, 5.4755942257919905
140;punt-plus;"{""coordinates"": [5.475934778133655, 51.49419481821393], ""type"": ""Point""}";51.49419481821393, 5.475934778133655
148;punt-plus;"{""coordinates"": [5.47537752544624, 51.44770872303855], ""type"": ""Point""}";51.44770872303855, 5.47537752544624
150;punt-plus;"{""coordinates"": [5.519559344073443, 51.44807313717488], ""type"": ""Point""}";51.44807313717488, 5.519559344073443
151;punt-plus;"{""coordinates"": [5.53056233077114, 51.43501109450465], ""type"": ""Point""}";51.43501109450465, 5.53056233077114
153;punt-plus;"{""coordinates"": [5.49494823390682, 51.419642386921204], ""type"": ""Point""}";51.419642386921204, 5.49494823390682
157;punt-plus;"{""coordinates"": [5.504389789233762, 51.426667872501596], ""type"": ""Point""}";51.426667872501596, 5.504389789233762
158;punt-plus;"{""coordinates"": [5.494666166637496, 51.42579132960952], ""type"": ""Point""}";51.42579132960952, 5.494666166637496
159;punt-plus;"{""coordinates"": [5.495377128110719, 51.42994753765601], ""type"": ""Point""}";51.42994753765601, 5.495377128110719
163;punt-plus;"{""coordinates"": [5.438238627740308, 51.4125060253272], ""type"": ""Point""}";51.4125060253272, 5.438238627740308
164;punt-plus;"{""coordinates"": [5.43878749769154, 51.419041405739044], ""type"": ""Point""}";51.419041405739044, 5.43878749769154
167;punt-plus;"{""coordinates"": [5.461877115743909, 51.423612301618085], ""type"": ""Point""}";51.423612301618085, 5.461877115743909
169;punt-plus;"{""coordinates"": [5.503721724092909, 51.4411425465621], ""type"": ""Point""}";51.4411425465621, 5.503721724092909
4;punt-plus;"{""coordinates"": [5.464139768649734, 51.46635449137472], ""type"": ""Point""}";51.46635449137472, 5.464139768649734
8;punt-plus;"{""coordinates"": [5.47928042062317, 51.47938811739413], ""type"": ""Point""}";51.47938811739413, 5.47928042062317
9;punt-plus;"{""coordinates"": [5.465189406015091, 51.4802903135759], ""type"": ""Point""}";51.4802903135759, 5.465189406015091
16;punt-plus;"{""coordinates"": [5.469180985881888, 51.486681028599214], ""type"": ""Point""}";51.486681028599214, 5.469180985881888
19;punt-plus;"{""coordinates"": [5.45484442694924, 51.47574754978389], ""type"": ""Point""}";51.47574754978389, 5.45484442694924
20;punt-plus;"{""coordinates"": [5.495359155308069, 51.486747311078354], ""type"": ""Point""}";51.486747311078354, 5.495359155308069
28;punt-plus;"{""coordinates"": [5.459448476694238, 51.458406658713606], ""type"": ""Point""}";51.458406658713606, 5.459448476694238
32;punt-plus;"{""coordinates"": [5.431586500959658, 51.44686630948036], ""type"": ""Point""}";51.44686630948036, 5.431586500959658
45;punt-plus;"{""coordinates"": [5.512044987786244, 51.4265809593437], ""type"": ""Point""}";51.4265809593437, 5.512044987786244
46;punt-plus;"{""coordinates"": [5.509783072123211, 51.44124728247769], ""type"": ""Point""}";51.44124728247769, 5.509783072123211
47;punt-plus;"{""coordinates"": [5.5031023394617655, 51.42853873557202], ""type"": ""Point""}";51.42853873557202, 5.5031023394617655
50;punt-plus;"{""coordinates"": [5.488870069781103, 51.42718623115611], ""type"": ""Point""}";51.42718623115611, 5.488870069781103
52;punt-plus;"{""coordinates"": [5.479249363464592, 51.4066065293121], ""type"": ""Point""}";51.4066065293121, 5.479249363464592
55;punt-plus;"{""coordinates"": [5.447437264242109, 51.419195603029515], ""type"": ""Point""}";51.419195603029515, 5.447437264242109
56;punt-plus;"{""coordinates"": [5.451164706651839, 51.423850115642146], ""type"": ""Point""}";51.423850115642146, 5.451164706651839
61;punt-plus;"{""coordinates"": [5.502114284198747, 51.43864946259782], ""type"": ""Point""}";51.43864946259782, 5.502114284198747
62;punt-plus;"{""coordinates"": [5.497375652066858, 51.44197983006361], ""type"": ""Point""}";51.44197983006361, 5.497375652066858
75;punt-plus;"{""coordinates"": [5.4243478562325524, 51.44202003083386], ""type"": ""Point""}";51.44202003083386, 5.4243478562325524
78;punt-plus;"{""coordinates"": [5.455239936943616, 51.44042838712754], ""type"": ""Point""}";51.44042838712754, 5.455239936943616
83;punt-plus;"{""coordinates"": [5.427875980293504, 51.473756778690614], ""type"": ""Point""}";51.473756778690614, 5.427875980293504
84;punt-plus;"{""coordinates"": [5.428329868340632, 51.47929985570329], ""type"": ""Point""}";51.47929985570329, 5.428329868340632
90;punt-plus;"{""coordinates"": [5.437701371032839, 51.488559873926654], ""type"": ""Point""}";51.488559873926654, 5.437701371032839
96;punt-plus;"{""coordinates"": [5.524114247640548, 51.4445122012604], ""type"": ""Point""}";51.4445122012604, 5.524114247640548
103;punt-plus;"{""coordinates"": [5.4852536005159775, 51.43238621353678], ""type"": ""Point""}";51.43238621353678, 5.4852536005159775
133;punt-bijzonder;"{""coordinates"": [5.476129948450337, 51.43745912693813], ""type"": ""Point""}";51.43745912693813, 5.476129948450337
138;punt-bijzonder;"{""coordinates"": [5.480430259437869, 51.43686759280322], ""type"": ""Point""}";51.43686759280322, 5.480430259437869
170;punt-bijzonder;"{""coordinates"": [5.503173088230405, 51.44186646919614], ""type"": ""Point""}";51.44186646919614, 5.503173088230405
10;punt-bijzonder;"{""coordinates"": [5.392043834989583, 51.45710820629303], ""type"": ""Point""}";51.45710820629303, 5.392043834989583
13;punt-bijzonder;"{""coordinates"": [5.475702109091403, 51.46895245194175], ""type"": ""Point""}";51.46895245194175, 5.475702109091403
29;punt-bijzonder;"{""coordinates"": [5.464432311071505, 51.452039588683796], ""type"": ""Point""}";51.452039588683796, 5.464432311071505
42;punt-bijzonder;"{""coordinates"": [5.497488158655119, 51.416247720277646], ""type"": ""Point""}";51.416247720277646, 5.497488158655119
54;punt-bijzonder;"{""coordinates"": [5.478119116133052, 51.41585096199992], ""type"": ""Point""}";51.41585096199992, 5.478119116133052
64;punt-bijzonder;"{""coordinates"": [5.477478690404037, 51.439290276943], ""type"": ""Point""}";51.439290276943, 5.477478690404037
67;punt-bijzonder;"{""coordinates"": [5.4795730823216795, 51.437345587335116], ""type"": ""Point""}";51.437345587335116, 5.4795730823216795
77;punt-bijzonder;"{""coordinates"": [5.454775767930846, 51.44121612270602], ""type"": ""Point""}";51.44121612270602, 5.454775767930846
87;punt-bijzonder;"{""coordinates"": [5.489256444783939, 51.48525034724598], ""type"": ""Point""}";51.48525034724598, 5.489256444783939
107;punt-bijzonder;"{""coordinates"": [5.47742143901043, 51.43591024652596], ""type"": ""Point""}";51.43591024652596, 5.47742143901043
109;punt-bijzonder;"{""coordinates"": [5.480226085233548, 51.435496164364515], ""type"": ""Point""}";51.435496164364515, 5.480226085233548
120;punt-exclusief;"{""coordinates"": [5.484600371383474, 51.43535896206352], ""type"": ""Point""}";51.43535896206352, 5.484600371383474
121;punt-exclusief;"{""coordinates"": [5.486455476916515, 51.43771990412993], ""type"": ""Point""}";51.43771990412993, 5.486455476916515
162;punt-exclusief;"{""coordinates"": [5.463481652138401, 51.41445144414417], ""type"": ""Point""}";51.41445144414417, 5.463481652138401
