FID;Beheer;Aanlegjaar;X;Y;Naam_NL;Objectcode;Boomsoort
16;bomen in verharding;1997;110285,718400000000000;426275,673000000010000; ;WW4 - 0101 / 0001;Tilia cordata 'Greenspire'
17;knotbomen;1950;110956,344400000000000;426882,351100000030000;Italiaanse populier;WW3 - 0907 / 0393;Populus nigra 'Italica'
18;bomen in verharding;1997;110294,065400000010000;426269,733799999990000; ;WW4 - 0101 / 0003;Tilia cordata 'Greenspire'
19;bomen in beplanting;2000;110675,521800000000000;426956,411700000000000; ;WW3 - 0908 / 0190;Fraxinus excelsior 'Geessink'
20;bomen in verharding;2004;110301,770300000000000;426265,720800000010000; ;WW4 - 0101 / 0005;Tilia cordata 'Greenspire'
21;knotbomen;0;110957,123800000000000;426883,617700000000000;Italiaanse populier;WW3 - 0907 / 0394;Populus nigra 'Italica'
22;bomen in beplanting;2000;110668,097299999990000;426954,921500000000000; ;WW3 - 0908 / 0192;Fraxinus excelsior 'Geessink'
23;bomen in verharding;1997;110311,562000000010000;426263,152500000030000; ;WW4 - 0101 / 0007;Tilia cordata 'Greenspire'
24;knotbomen;1950;110959,267300000010000;426888,099500000010000;Italiaanse populier;WW3 - 0907 / 0558;Populus nigra 'Italica'
25;bomen in beplanting;2000;110721,167700000010000;427015,033200000010000; ;WW3 - 0908 / 0185;Fraxinus excelsior 'Geessink'
26;bomen in verharding;2008;110321,032700000000000;426262,510400000030000; ;WW4 - 0101 / 0011;Tilia cordata 'Greenspire'
27;knotbomen;1950;110960,436400000010000;426890,340399999990000;Italiaanse populier;WW3 - 0907 / 0557;Populus nigra 'Italica'
28;bomen in verharding;1997;110339,842699999990000;426264,704299999980000; ;WW4 - 0101 / 0015;Tilia cordata 'Greenspire'
29;knotbomen;1950;110961,605600000000000;426892,483799999990000;Italiaanse populier;WW3 - 0907 / 0556;Populus nigra 'Italica'
30;bomen in beplanting;2005;110730,649100000000000;427026,661299999980000; ;WW3 - 0908 / 0184;Pyrus calleryana 'Chanticleer'
31;knotbomen;1950;110962,482500000000000;426894,822099999990000;Italiaanse populier;WW3 - 0907 / 0559;Populus nigra 'Italica'
32;bomen in beplanting;2000;110727,563200000000000;427034,979899999980000; ;WW3 - 0908 / 0182;Fraxinus excelsior 'Geessink'
33;bomen in verharding;1997;110330,202800000000000;426263,418999999990000; ;WW4 - 0101 / 0012;Tilia cordata 'Greenspire'
34;knotbomen;1950;110958,390400000000000;426886,053499999980000;Italiaanse populier;WW3 - 0907 / 0560;Populus nigra 'Italica'
35;bomen in verharding;1997;110408,355300000000000;426284,020000000020000; ;WW4 - 0101 / 0027;Tilia cordata 'Greenspire'
36;knotbomen;1950;110964,431100000000000;426898,719300000000000;Italiaanse populier;WW3 - 0907 / 0563;Populus nigra 'Italica'
37;bomen in beplanting;2000;110731,588300000000000;427031,491500000000000;Veldesdoorn;WW3 - 0908 / 0181;Acer campestre
38;bomen in verharding;1997;110350,253700000000000;426266,375200000010000; ;WW4 - 0101 / 0017;Tilia cordata 'Greenspire'
39;knotbomen;1950;110965,113100000000000;426900,278200000000000;Italiaanse populier;WW3 - 0907 / 0562;Populus nigra 'Italica'
40;bomen in beplanting;2000;110724,208900000000000;427028,137200000000000; ;WW3 - 0908 / 0001;Fraxinus excelsior 'Geessink'
41;bomen in verharding;1997;110360,150599999990000;426268,817300000000000; ;WW4 - 0101 / 0018;Tilia cordata 'Greenspire'
42;knotbomen;1950;110966,087400000000000;426902,519099999980000;Italiaanse populier;WW3 - 0907 / 0561;Populus nigra 'Italica'
43;bomen in beplanting;2000;110732,527500000000000;427041,822600000010000; ;WW3 - 0908 / 0180;Fraxinus excelsior 'Geessink'
44;bomen in verharding;1998;110417,604000000010000;426286,040500000000000; ;WW4 - 0101 / 0029;Tilia cordata 'Greenspire'
45;knotbomen;1950;110963,261900000000000;426896,673300000020000;Italiaanse populier;WW3 - 0907 / 0564;Populus nigra 'Italica'
46;bomen in beplanting;2000;110730,649100000000000;427038,468400000010000;Japanse els, Kaukasische els;WW3 - 0906 / 0330;Alnus spaethii
47;knotbomen;1950;110974,107099999990000;426919,051700000010000;Italiaanse populier;WW3 - 0907 / 0337;Populus nigra 'Italica'
48;bomen in verharding;1997;110369,918999999990000;426271,002299999990000; ;WW4 - 0101 / 0021;Tilia cordata 'Greenspire'
49;bomen in beplanting;2000;110738,296900000000000;427048,262800000030000;Gewone els, Zwarte els;WW3 - 0908 / 0176;Alnus glutinosa
50;bomen in verharding;1997;110379,173200000000000;426273,830000000020000; ;WW4 - 0101 / 0023;Tilia cordata 'Greenspire'
51;knotbomen;1950;110975,257900000000000;426920,915099999980000;Italiaanse populier;WW3 - 0907 / 0565;Populus nigra 'Italica'
52;bomen in beplanting;2001;110736,720400000010000;427036,355199999990000; ;WW3 - 0906 / 0331;Fraxinus excelsior 'Geessink'
53;bomen in verharding;1998;110389,584200000000000;426277,171800000010000; ;WW4 - 0101 / 0026;Tilia cordata 'Greenspire'
54;knotbomen;1950;110979,258700000010000;426928,313599999990000;Italiaanse populier;WW3 - 0907 / 0566;Populus nigra 'Italica'
55;bomen in gras;2004;110727,771500000000000;427050,532300000020000;Japanse els, Kaukasische els;WW3 - 0908 / 0216;Alnus spaethii
56;knotbomen;1950;110982,930500000000000;426934,890100000020000;Italiaanse populier;WW3 - 0907 / 0567;Populus nigra 'Italica'
57;bomen in verharding;1997;110398,308300000000000;426280,320799999990000; ;WW4 - 0101 / 0040;Tilia cordata 'Greenspire'
58;bomen in gras;2013;110733,883400000010000;427058,790600000010000;Japanse els, Kaukasische els;WW3 - 0908 / 0217;Alnus spaethii
59;bomen in verharding;2003;110426,938599999990000;426289,382300000000000; ;WW4 - 0101 / 0031;Tilia cordata 'Greenspire'
60;bomen in gras;2004;110739,776900000000000;427067,057900000010000;Japanse els, Kaukasische els;WW3 - 0908 / 0228;Alnus spaethii
61;knotbomen;1950;110986,712000000000000;426941,137800000030000;Italiaanse populier;WW3 - 0907 / 0347;Populus nigra 'Italica'
62;knotbomen;1950;110987,753300000000000;426943,110800000020000;Italiaanse populier;WW3 - 0907 / 0348;Populus nigra 'Italica'
63;bomen in beplanting;1996;110742,894600000000000;427050,311800000020000;Hollandse linde, Gewone linde;WW3 - 0908 / 0265;Tilia x europaea
64;knotbomen;1950;110988,904200000000000;426945,028899999980000;Italiaanse populier;WW3 - 0907 / 0349;Populus nigra 'Italica'
65;bomen in beplanting;1996;110748,399100000000000;427059,411100000030000;Hollandse linde, Gewone linde;WW3 - 0908 / 0266;Tilia x europaea
66;knotbomen;1950;110953,123900000010000;426944,981000000030000;Italiaanse populier;WW3 - 0907 / 0320;Populus nigra 'Italica'
67;bomen in beplanting;2005;110762,803100000000000;426824,453099999980000;Boomhazelaar, Turkse hazelaar;WW3 - 0908 / 0105;Corylus colurna
68;bomen in verharding;1997;110435,903600000010000;426291,888600000010000; ;WW4 - 0101 / 0034;Tilia cordata 'Greenspire'
69;knotbomen;1950;110954,603600000000000;426947,262200000000000;Italiaanse populier;WW3 - 0907 / 0319;Populus nigra 'Italica'
70;bomen in beplanting;1993;110848,989100000010000;426821,393500000010000;Boomhazelaar, Turkse hazelaar;WW3 - 0908 / 0142;Corylus colurna
71;knotbomen;1950;110955,774999999990000;426949,296800000010000;Italiaanse populier;WW3 - 0907 / 0318;Populus nigra 'Italica'
72;bomen in beplanting;2010;110843,615400000000000;426812,379499999980000;Boomhazelaar, Turkse hazelaar;WW3 - 0908 / 0143;Corylus colurna
73;knotbomen;1950;110951,089300000010000;426939,925300000000000;Italiaanse populier;WW3 - 0907 / 0322;Populus nigra 'Italica'
74;bomen in verharding;1997;110446,218299999990000;426294,491400000000000; ;WW4 - 0101 / 0036;Tilia cordata 'Greenspire'
75;bomen in beplanting;1993;110838,588300000000000;426800,938499999990000;Boomhazelaar, Turkse hazelaar;WW3 - 0908 / 0144;Corylus colurna
76;knotbomen;1950;110952,322400000000000;426942,083199999990000;Italiaanse populier;WW3 - 0907 / 0321;Populus nigra 'Italica'
77;bomen in verharding;1997;110456,992700000000000;426297,343100000000000; ;WW4 - 0101 / 0038;Tilia cordata 'Greenspire'
78;knotbomen;1950;110950,164500000000000;426938,322200000000000;Italiaanse populier;WW3 - 0907 / 0569;Populus nigra 'Italica'
79;bomen in gras;2005;110763,722800000000000;426770,227100000020000;Gewone els, Zwarte els;WW3 - 0909 / 0015;Alnus glutinosa
80;bomen in verharding;1997;110466,365500000000000;426299,311300000000000; ;WW4 - 0101 / 0043;Tilia cordata 'Greenspire'
81;fruitbomen;2004;110951,990999999990000;426929,757999999970000;Peer;WW3 - 0907 / 0327;Pyrus
82;knotbomen;1995;110813,276199999990000;426764,721599999990000; ;WW3 - 0909 / 0028;Salix alba 'Belders'
83;fruitbomen;2004;110968,325600000000000;426920,446200000010000;Sierappel;WW3 - 0907 / 0334;Malus
84;knotbomen;1995;110815,452000000000000;426764,410800000010000; ;WW3 - 0909 / 0029;Salix alba 'Belders'
85;knotbomen;1970;110548,981300000000000;426641,646599999980000;Populier;WW3 - 0908 / 0025;Populus
86;fruitbomen;1950;110980,550600000000000;426938,237499999990000;Peer;WW3 - 0907 / 0444;Pyrus
87;knotbomen;1970;110547,885599999990000;426636,168000000010000;Wilg;WW3 - 0908 / 0026;Salix
88;knotbomen;1995;110817,705500000000000;426763,711399999970000; ;WW3 - 0909 / 0030;Salix alba 'Belders'
89;knotbomen;1970;110549,711800000000000;426650,777699999980000; ;WW3 - 0908 / 0024; 
90;fruitbomen;1950;110979,406200000000000;426935,896499999970000;Peer;WW3 - 0907 / 0445;Pyrus
91;knotbomen;1995;110819,725800000000000;426763,866800000020000; ;WW3 - 0909 / 0031;Salix alba 'Belders'
92;knotbomen;1970;110569,069600000000000;426748,662599999980000;Wilg;WW3 - 0908 / 0014;Salix
93;knotbomen;1995;110821,435400000000000;426763,322900000030000; ;WW3 - 0909 / 0032;Salix alba 'Belders'
94;knotbomen;1970;110567,243400000010000;426741,723000000000000; ;WW3 - 0908 / 0015; 
95;bomen in gras;2005;110792,839300000010000;426767,518999999970000;Gewone els, Zwarte els;WW3 - 0909 / 0033;Alnus glutinosa
96;knotbomen;1970;110564,321500000010000;426732,226700000000000; ;WW3 - 0908 / 0016; 
97;bomen in gras;2005;110827,107999999990000;426763,711399999970000;Gewone els, Zwarte els;WW3 - 0909 / 0034;Alnus glutinosa
98;fruitbomen;1950;110978,313700000000000;426934,231800000010000;Peer;WW3 - 0907 / 0446;Pyrus
99;knotbomen;1970;110559,573300000000000;426714,695000000010000; ;WW3 - 0908 / 0017; 
100;knotbomen;1995;110847,544800000000000;426760,836300000020000; ;WW3 - 0909 / 0036;Salix alba 'Belders'
101;fruitbomen;2004;110972,747399999990000;426922,631100000000000;Sierappel;WW3 - 0907 / 0335;Malus
102;knotbomen;1970;110557,381899999990000;426705,564000000010000; ;WW3 - 0908 / 0018; 
103;knotbomen;1995;110849,565200000000000;426760,370000000000000; ;WW3 - 0909 / 0039;Salix alba 'Belders'
104;knotbomen;1970;110555,920900000000000;426696,432900000010000; ;WW3 - 0908 / 0019; 
105;fruitbomen;2007;110974,828299999990000;426932,411100000030000;Sierappel;WW3 - 0907 / 0440;Malus domestica 'Notarisappel'
106;fruitbomen;1950;110985,180500000000000;426946,664899999970000;Peer;WW3 - 0907 / 0441;Pyrus
107;knotbomen;1970;110554,825200000010000;426688,397600000030000; ;WW3 - 0908 / 0020; 
108;bomen in beplanting;2000;110848,818900000000000;426934,581799999990000;Sierkers;WW3 - 0907 / 0120;Prunus
109;fruitbomen;1950;110980,134500000000000;426942,451200000010000;Peer;WW3 - 0907 / 0438;Pyrus
110;knotbomen;1970;110553,364200000000000;426678,170800000020000; ;WW3 - 0908 / 0021; 
111;bomen in beplanting;2013;110845,646400000000000;426928,565000000000000;Sierkers;WW3 - 0907 / 0124;Prunus
112;fruitbomen;0;110982,059200000000000;426946,092699999980000;Peer;WW3 - 0907 / 0437;Pyrus
113;fruitbomen;2004;110950,147500000010000;426933,074399999980000;Sierappel;WW3 - 0907 / 0326;Malus
114;fruitbomen;2012;110954,273400000010000;426938,868200000030000;Sierappel;WW3 - 0907 / 0409;Malus
115;fruitbomen;1950;110955,414600000000000;426941,062900000020000;Peer;WW3 - 0907 / 0408;Pyrus
116;fruitbomen;1950;110956,380300000000000;426943,871999999970000;Peer;WW3 - 0907 / 0407;Pyrus
117;fruitbomen;1950;110957,784799999990000;426945,978899999990000;Peer;WW3 - 0907 / 0406;Pyrus
118;fruitbomen;1950;110960,418400000000000;426937,727000000010000;Peer;WW3 - 0907 / 0418;Pyrus
119;fruitbomen;1950;110962,437500000000000;426941,413999999990000;Peer;WW3 - 0907 / 0417;Pyrus
120;fruitbomen;1950;110967,616800000000000;426943,608699999980000;Peer;WW3 - 0907 / 0421;Pyrus
121;fruitbomen;2012;110965,071100000000000;426938,429300000020000;Sierkers;WW3 - 0907 / 0422;Prunus
122;fruitbomen;2010;110955,239000000000000;426935,005699999980000;Sierappel;WW3 - 0907 / 0424;Malus
123;bomen in gras;1979;110977,017900000010000;427028,120200000000000;Zomereik, Inlandse eik;WW3 - 0906 / 0077;Quercus robur
124;knotbomen;1970;110551,538000000000000;426669,039800000030000; ;WW3 - 0908 / 0022; 
125;bomen in beplanting;1979;110841,708199999990000;426920,250899999980000;Sierkers;WW3 - 0907 / 0132;Prunus
126;fruitbomen;1950;110971,040500000000000;426925,963700000020000;Sierappel;WW3 - 0907 / 0430;Malus
127;knotbomen;1970;110550,807500000000000;426659,543500000030000; ;WW3 - 0908 / 0023; 
128;bomen in beplanting;2005;110838,754500000000000;426912,702600000020000;Sierkers;WW3 - 0907 / 0133;Prunus
129;fruitbomen;2004;110966,300099999990000;426924,383600000000000;Peer;WW3 - 0907 / 0332;Pyrus
130;bomen in gras;1979;111002,130000000000000;427023,621600000010000;Witte els, Grijze els;WW3 - 0906 / 0158;Alnus incana
131;fruitbomen;2004;110952,429900000000000;426920,586799999990000;Sierappel;WW3 - 0907 / 0353;Malus
132;bomen in beplanting;1979;110836,019600000000000;426903,513299999990000;Sierkers;WW3 - 0907 / 0134;Prunus
133;knotbomen;1970;110599,871700000000000;426841,799300000010000; ;WW3 - 0908 / 0007; 
134;bomen in gras;1979;111006,212499999990000;427017,332300000010000;Witte els, Grijze els;WW3 - 0906 / 0159;Alnus incana
135;fruitbomen;0;110959,265300000000000;426901,899299999990000;Peer;WW3 - 0907 / 0481;Pyrus
136;fruitbomen;1950;110960,301000000010000;426903,884100000020000;Peer;WW3 - 0907 / 0480;Pyrus
137;bomen in beplanting;1979;110842,692700000000000;426890,604500000020000;Boomhazelaar, Turkse hazelaar;WW3 - 0907 / 0137;Corylus colurna
138;knotbomen;1970;110591,836400000000000;426820,371700000020000;Wilg;WW3 - 0908 / 0008;Salix
139;knotbomen;1979;111047,589600000010000;427001,884800000000000;Cricketbat wilg;WW3 - 0906 / 0168;Salix x rubens 'Calva'
140;fruitbomen;1950;110963,744400000000000;426904,160900000020000; ;WW3 - 0907 / 0479; 
141;fruitbomen;2004;110957,658000000000000;426929,901399999970000;Sierappel;WW3 - 0907 / 0328;Malus
142;knotbomen;1970;110589,158000000000000;426810,875400000020000;Populier;WW3 - 0908 / 0009;Populus
143;knotbomen;1979;111039,645200000000000;427002,988200000020000;Cricketbat wilg;WW3 - 0906 / 0166;Salix x rubens 'Calva'
144;bomen in beplanting;1995;110834,269200000000000;426897,387099999990000;Sierkers;WW3 - 0907 / 0138;Prunus
145;knotbomen;1970;110585,262000000000000;426802,596599999990000;Populier;WW3 - 0908 / 0010;Populus
146;knotbomen;1979;111034,348900000000000;427003,870899999980000;Cricketbat wilg;WW3 - 0906 / 0165;Salix x rubens 'Calva'
147;bomen in verharding;1979;110996,251999999990000;426945,269700000000000;Hartbladige els;WW3 - 0907 / 0067;Alnus cordata
148;bomen in beplanting;1993;110762,367400000000000;426906,867299999980000; ;WW3 - 0908 / 0096;Pyrus calleryana 'Chanticleer'
149;bomen in verharding;1979;110993,925099999990000;426941,930999999980000;Hartbladige els;WW3 - 0907 / 0065;Alnus cordata
150;knotbomen;1970;110582,827099999990000;426795,535299999990000;Populier;WW3 - 0908 / 0011;Populus
151;knotbomen;1979;111028,501000000000000;427004,533000000000000;Cricketbat wilg;WW3 - 0906 / 0164;Salix x rubens 'Calva'
152;bomen in beplanting;1993;110765,635599999990000;426898,587799999980000; ;WW3 - 0908 / 0098;Pyrus calleryana 'Chanticleer'
153;knotbomen;1950;110955,059500000000000;426879,193600000000000;Italiaanse populier;WW3 - 0907 / 0389;Populus nigra 'Italica'
154;knotbomen;1970;110580,392100000000000;426788,230400000000000;Populier;WW3 - 0908 / 0012;Populus
155;knotbomen;1979;111023,866700000000000;427005,636400000020000;Cricketbat wilg;WW3 - 0906 / 0161;Salix x rubens 'Calva'
156;bomen in beplanting;1993;110782,194699999990000;426890,852900000000000; ;WW3 - 0908 / 0100;Pyrus calleryana 'Chanticleer'
157;knotbomen;1970;110574,548299999990000;426766,924699999970000;Wilg;WW3 - 0908 / 0013;Salix
158;knotbomen;1950;110963,978000000000000;426962,890900000000000;Italiaanse populier;WW3 - 0907 / 0310;Populus nigra 'Italica'
159;knotbomen;1950;110963,061000000000000;426961,520800000000000;Italiaanse populier;WW3 - 0907 / 0311;Populus nigra 'Italica'
160;knotbomen;1950;110962,429399999990000;426960,310400000020000;Italiaanse populier;WW3 - 0907 / 0312;Populus nigra 'Italica'
161;bomen in beplanting;1979;111007,315900000000000;426997,691999999980000;Veldesdoorn;WW3 - 0906 / 0226;Acer campestre 'Elsrijk'
162;bomen in verharding;1986;110820,909199999990000;426888,546299999990000;Gewone-, Schijn-, Witte- of Valse acacia;WW3 - 0908 / 0130;Robinia pseudoacacia
163;knotbomen;1950;110961,376900000000000;426958,573600000000000;Italiaanse populier;WW3 - 0907 / 0313;Populus nigra 'Italica'
164;bomen in beplanting;1979;111005,771200000000000;427007,732800000000000;Gewone els, Zwarte els;WW3 - 0906 / 0085;Alnus glutinosa
165;fruitbomen;1950;110965,823699999990000;426961,277999999990000;Peer;WW3 - 0907 / 0403;Pyrus
166;bomen in beplanting;1993;110787,504500000000000;426949,396000000010000;Boomhazelaar, Turkse hazelaar;WW3 - 0908 / 0080;Corylus colurna
167;bomen in beplanting;1979;110997,164800000000000;427006,850099999980000;Gewone els, Zwarte els;WW3 - 0906 / 0224;Alnus glutinosa
168;fruitbomen;1950;110962,106600000000000;426953,971900000000000;Peer;WW3 - 0907 / 0405;Pyrus
169;bomen in gras;2004;110631,388900000010000;426848,897899999980000;Japanse els, Kaukasische els;WW3 - 0908 / 0218;Alnus spaethii
170;fruitbomen;1950;110967,490000000010000;426957,945400000030000;Peer;WW3 - 0907 / 0410;Pyrus
171;bomen in beplanting;2000;110798,111200000000000;426943,840099999970000;Boomhazelaar, Turkse hazelaar;WW3 - 0908 / 0083;Corylus colurna
172;bomen in beplanting;1979;110991,206500000000000;427007,622500000000000;Gewone els, Zwarte els;WW3 - 0906 / 0223;Alnus glutinosa
173;bomen in beplanting;1979;110992,089200000000000;427002,105500000010000;Veldesdoorn;WW3 - 0906 / 0149;Acer campestre 'Elsrijk'
174;bomen in gras;2004;110639,317300000000000;426842,759900000000000;Japanse els, Kaukasische els;WW3 - 0908 / 0219;Alnus spaethii
175;fruitbomen;2007;110968,643600000000000;426953,331000000010000; ;WW3 - 0907 / 0414;Pyrus communis 'Zwijndrechtse Wijnpeer'
176;fruitbomen;1950;110973,386199999990000;426953,202800000030000;Peer;WW3 - 0907 / 0419;Pyrus
177;bomen in gras;2004;110647,330900000000000;426838,582500000020000;Japanse els, Kaukasische els;WW3 - 0908 / 0220;Alnus spaethii
178;bomen in beplanting;0;110996,392400000000000;427000,891799999980000;Veldesdoorn;WW3 - 0906 / 0150;Acer campestre 'Elsrijk'
179;fruitbomen;1950;110977,103300000000000;426951,023800000020000;Peer;WW3 - 0907 / 0425;Pyrus
180;bomen in gras;2000;110626,807700000000000;426886,434200000020000;Japanse els, Kaukasische els;WW3 - 0908 / 0167;Alnus spaethii
181;fruitbomen;1950;110980,179600000000000;426950,254699999990000;Peer;WW3 - 0907 / 0431;Pyrus
182;bomen in beplanting;1979;111038,540100000000000;426994,251200000000000;Veldesdoorn;WW3 - 0906 / 0230;Acer campestre 'Elsrijk'
183;bomen in gras;2000;110629,316400000000000;426875,897799999980000;Japanse els, Kaukasische els;WW3 - 0908 / 0168;Alnus spaethii
184;bomen in beplanting;1979;111016,650299999990000;426997,602699999990000;Veldesdoorn;WW3 - 0906 / 0227;Acer campestre 'Elsrijk'
185;bomen in gras;2011;110625,925700000010000;426903,646899999990000;Japanse els, Kaukasische els;WW3 - 0908 / 0004;Alnus spaethii
186;bomen in gras;1979;110978,008300000000000;427020,963899999970000;Moeraseik;WW3 - 0906 / 0078;Quercus palustris
187;bomen in beplanting;1979;111023,458100000000000;426999,173799999990000;Veldesdoorn;WW3 - 0906 / 0228;Acer campestre 'Elsrijk'
188;knotbomen;1970;110603,037200000010000;426852,512999999980000;Populier;WW3 - 0908 / 0006;Populus
189;bomen in beplanting;1979;110984,949100000000000;427005,889000000020000;Veldesdoorn;WW3 - 0906 / 0084;Acer campestre 'Elsrijk'
190;bomen in beplanting;1979;111028,171200000000000;426995,717500000030000;Veldesdoorn;WW3 - 0906 / 0145;Acer campestre 'Elsrijk'
191;bomen in beplanting;1979;111035,244200000000000;426982,952899999970000;Veldesdoorn;WW3 - 0906 / 0087;Acer campestre 'Elsrijk'
192;bomen in gras;2000;110644,195700000000000;426938,525700000000000;Japanse els, Kaukasische els;WW3 - 0908 / 0163;Alnus spaethii
193;bomen in beplanting;1979;111032,570100000000000;426995,612800000000000;Veldesdoorn;WW3 - 0906 / 0156;Acer campestre 'Elsrijk'
194;knotbomen;1979;111014,318400000000000;427007,015300000030000;Cricketbat wilg;WW3 - 0906 / 0162;Salix x rubens 'Calva'
195;bomen in gras;2000;110638,221699999990000;426930,995999999980000;Japanse els, Kaukasische els;WW3 - 0908 / 0164;Alnus spaethii
196;knotbomen;1979;111019,366500000000000;427006,174000000000000;Cricketbat wilg;WW3 - 0906 / 0163;Salix x rubens 'Calva'
197;bomen in gras;2000;110632,496700000000000;426922,283999999990000;Japanse els, Kaukasische els;WW3 - 0908 / 0165;Alnus spaethii
198;knotbomen;1979;111043,765400000000000;427002,472000000010000;Cricketbat wilg;WW3 - 0906 / 0167;Salix x rubens 'Calva'
199;bomen in gras;2011;110628,467300000000000;426913,089700000010000;Japanse els, Kaukasische els;WW3 - 0908 / 0166;Alnus spaethii
200;bomen in beplanting;1979;110963,027000000000000;427021,256700000030000;Veldesdoorn;WW3 - 0906 / 0209;Acer campestre 'Elsrijk'
201;bomen in beplanting;2000;110643,801500000000000;426922,034300000000000;Gewone els, Zwarte els;WW3 - 0908 / 0196;Alnus glutinosa
202;bomen in beplanting;1979;110973,861000000000000;427003,860099999990000;Veldesdoorn;WW3 - 0906 / 0079;Acer campestre 'Elsrijk'
203;bomen in beplanting;1979;110999,947400000000000;427000,408899999980000;Veldesdoorn;WW3 - 0906 / 0225;Acer campestre 'Elsrijk'
204;bomen in beplanting;2000;110648,215600000000000;426929,243599999990000;Gewone els, Zwarte els;WW3 - 0908 / 0195;Alnus glutinosa
205;bomen in beplanting;1979;111023,165900000010000;426992,477100000020000;Veldesdoorn;WW3 - 0906 / 0229;Acer campestre 'Elsrijk'
206;bomen in beplanting;1979;110977,231199999990000;427012,847100000010000;Veldesdoorn;WW3 - 0906 / 0212;Acer campestre 'Elsrijk'
207;bomen in gras;1993;110687,306700000000000;426834,276000000010000; ;WW3 - 0908 / 0111;Tilia cordata 'Greenspire'
208;bomen in beplanting;1979;111034,991500000000000;426988,727499999980000;Veldesdoorn;WW3 - 0906 / 0231;Acer campestre 'Elsrijk'
209;bomen in beplanting;1986;110973,636300000000000;427015,880200000010000;Veldesdoorn;WW3 - 0906 / 0360;Acer campestre
210;bomen in gras;1993;110692,535900000000000;426840,522000000000000; ;WW3 - 0908 / 0112;Tilia cordata 'Greenspire'
211;bomen in gras;2006;111016,477600000000000;427044,746700000020000;Zomereik, Inlandse eik;WW3 - 0906 / 0288;Quercus robur
212;bomen in verharding;1979;111000,501300000000000;426950,328299999990000;Hartbladige els;WW3 - 0907 / 0068;Alnus cordata
213;bomen in gras;2006;111029,784400000000000;427040,973100000000000;Zomereik, Inlandse eik;WW3 - 0906 / 0287;Quercus robur
214;bomen in gras;1993;110697,329300000000000;426846,186899999970000; ;WW3 - 0908 / 0113;Tilia cordata 'Greenspire'
215;bomen in gras;2006;111040,771200000000000;427038,577200000000000;Zomereik, Inlandse eik;WW3 - 0906 / 0286;Quercus robur
216;bomen in beplanting;1979;111013,465600000000000;426976,645000000020000;Pluim-es, Bloem-es, Manna-es;WW3 - 0907 / 0070;Fraxinus ornus
217;bomen in gras;2004;110655,856000000000000;426830,824700000000000;Japanse els, Kaukasische els;WW3 - 0908 / 0221;Alnus spaethii
218;bomen in beplanting;1979;111011,303300000000000;426970,583999999970000;Pluim-es, Bloem-es, Manna-es;WW3 - 0907 / 0069;Fraxinus ornus
219;bomen in gras;2006;111001,622000000000000;427048,729799999970000;Gewone lijsterbes;WW3 - 0906 / 0289;Sorbus aucuparia
220;bomen in gras;2005;110673,406600000000000;426814,353300000020000;Gewone els, Zwarte els;WW3 - 0909 / 0008;Alnus glutinosa
221;knotbomen;1950;110957,501399999990000;426952,502800000020000;Italiaanse populier;WW3 - 0907 / 0317;Populus nigra 'Italica'
