;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
KPN B.V.;;;2;1;5;7;5;9;9
KPN Corporate Market;;;;;4;2;1;2;4
KPN Internedservices B.V;;;;;4;2;;1;4
KPN Lokale Overheid (voorh Gemnet);;;;;;6;;;6
KPN XL;;;;;;;1;;1
Kransen IT;;;;;2;;;2;3
Kubus architectural solutions;;;;4;;;;;4
Launch! Human Capital Management B.V.;;;;;6;;;;6
LeaseWeb Netherlands B.V.;;;;;;;;1;1
Leene Communicatie;;2;;;;;;;2
Leeuwendaal Advies B.V.;;;;;;;;1;1
Lichtendonk VOF;;;;;;;;1;1
LimoenGroen B.V.;;;;;;;;3;3
Linguist Link Europe;;;;;;;;1;1
Ljs Automatisering B.V.;;;;1;;;;;1
Logeion;;;;1;;;;;1
Lost Lemon B.V.;;;;;;;;4;4
Louwenaar Communicatie Management B.V.;;;3;;;;;;3
LT Insights B.V.;;1;;;;;;;1
Mainpress B.V.;;;;1;;;;;1
Management Roukens B.V.;;;;1;;;;1;1
Manutan B.V.;;1;;;;;;;1
MARKETRESPONCE;;;;;;;;1;1
Marosel B.V.;;;2;;;;;;2
MathAlex;;;;;;;;1;1
Maxd'Oro B.V.;;;;;1;;;;1
MaxServ B.V.;;;;;;4;;;4
Maykin Media;;;;;;;;3;3
Meander Medisch Centrum;;;;;;;;1;1
Meetingselect B.V;;;;;;;;6;6
Meetingselect B.V.;;;;1;1;;;4;4
Messagebird;;;;;;;1;;1
Metis IT B.V.;;;2;;;;;;2
MetrixLab Nederland B.V.;;;;;;;;2;2
Meurs HRM;;;;;1;;;;1
Millers Beach;;;;;;;;1;1
Milú;;;;;;;;1;1
Mind and Brain B.V.;;;;;;;;1;1
Mintlab B.V.;;;;2;2;;;;3
Mixe Communication Solutions B.V.;;;;2;1;;;;2
MK-Trading;;;;;;;;1;1
MultiVlaai Retail B.V.;;;;1;;;;;1
Munckhof Taxi B.V.;;;;;;;;1;1
myBrand;;;2;;;;;;2
Nauta Security Storage B.V.;;1;;;;;;;1
NCC Group Escrow Europe B.V.;;;1;;;;;;1
NDC den Hommel B.V.;;;;;;;;1;1
Necker van Naem B.V.;;;;;;;1;;1
Nedcomp Hosting B.V.;;;;;2;;;;2
Nederland ICT;;;;;;;;2;2
Nederlandse School voor Openbaar Bestuur B.V.;;;;2;;;;1;2
Negometrix B.V.;;;;;2;;;;2
Nemesys Telecommunicatie;;;;;4;;;;4
NetAxis Nederland B.V.;;;;;1;;;;1
Nétive VMS B.V.;;;;;6;;;;6
Network Innovations;;1;;;;;1;;2
Network Innovations Services;;;;;;5;;;5
Network Operations;;;;;1;;;;1
NFGD Zoetermeer B.V.;;6;;;;;;;6
NiVo network architects;;;;;;3;;;3
Noise B.V.;;4;;;;;;;4
NOU&OFF;;;;;;;;2;2
NSD International NL B.V.;;1;;;;;;;1
Nyenrode Services B.V.;;;;2;;;;;2
O. s.P.L. Nederland B.V.;;3;;;;;;;3
OASIS;;;;;2;;;;2
Omnext B.V.;;;;;;;;2;2
Onderzoeksbureau GBNED;;;;;;;;1;1
Onemeeting.com B.V.;;;;;;;;1;1
Onlineafspraken.nl B.V.;;;;;1;;;;1
Ontwikkelzin;;;;;;;;1;1
Oogvereniging Nederland;;;;;;;;1;1
Open Preservation Foundation;;;;;;;;1;1
Open Text Coöperatief UA;;;;;5;;;2;5
Optelec Nederland B.V.;;;;;;;;1;1
Optima Forma B.V.;;;3;;;;;;3
Oracle Benelux Usergroups;;;;1;;;;;1
Oracle Nederland;;;2;5;6;;;;7
Orde van organisatiekundigen en -adviseurs;;;;;;;;1;1
Ordina Beheer & Outsourcing;;;1;1;;;;;2
Ordina N.V.;;;;;;;;7;7
Oribi id-solutions;;;;;1;;;;1
Osage BV;;;;;;;;3;3
Otys International B.V.;;;;;2;;;;2
Paralax B.V.;;;;;2;;;;2
Pardon Consult;;;;;;;;2;2
PBLQ B.V.;;4;;;;;;1;4
PDFTron Systems Inc.;;;;1;;;;;1
Pedroshop.be;;1;;;;;;;1
peterlievense.nl;;2;;;;;;;2
Peutz Data B.V.;;;;2;;;;;2
Pianohandel Mos en Spetter;;;1;;;;;;1
Pim Mulier B.V.;;;;2;;;;;2
PinkRoccade Local Government;;;;2;;;;;2
Planon B.V.;;;;3;5;;;;5
Plein 9 A B.V.;;1;;;;;;1;1
Postcode.NL B.V.;;;;1;;;;;1
Powerling;;;;;;;;1;1
PQR B.V.;;3;5;;1;2;;;6
Pricewaterhousecoopers N.V.;;;;;;2;;4;4
Prisma Groep B.V.;;;1;;;;;;1
Prodemos;;;;;;;;1;1
Protinus IT B.V.;;8;7;7;8;2;1;6;9
Proud Professionals B.V.;;;1;;;;;;1
Publiek Denken;;;;;;;;1;1
Publiquest, de Communicatie Coöperatie UA;;;;;2;;;;2
Qidos B.V.;;;;;;;;3;3
QMS;;;;;;;;1;1
Quality Bookings B.V.;;;;;;;1;;1
Quint Wellington Redwood Nederland B.V.;;;1;;;;;;1
Quint Wellington Redwood Nederland BV;;;;;;;;4;4
Quootz B.V.;;;;;;;;2;2
QuoVadis Trustlink B.V.;;;1;2;3;1;;3;4
ReadSpeaker B.V.;;;;;1;;;;1
RedNose IT B.V.;;;;4;5;;;;6
Redplume;;;;;;;;1;1
RenA IT Consultancy;;;;;;;;1;1
Rene Verleg Fotografie;;;;1;;;;;1
Restaurant De Basiliek B.V.;;;;;;;;1;1
Restaurant Het Spinnewiel;;;;;;;;1;1
Retriever Media Informatie B.V.;;;;;1;;;;1
Ricoh Nederland B.V.;;;2;;;;;;2
Rigo;;;;;;;4;;4
RIPE NCC;;;;;;;;1;1
ROBKOOPS.COM;;;;2;;;;;2
Roel Dijkstra Persfotografie;;;;;;;;1;1
Rooshorst B.V.;;;;2;;;;;2
Rugby Clinic MAU;;;;;;;;1;1
Ruigrok NetPanel;;;;;;;;3;3
Ruud G. Vonck Werkmaatschappij B.V.;;;2;;;;;;2
Sabel Communicatie B.V.;;;;;;1;;2;2
SAIT B.V.;;;;;;;1;;1
Salsaparilla 4all B.V.;;;;1;;;;;1
Sanoma Media Netherlands B.V.;;;;5;;;;;5
SAP Nederland B.V.;;;;;7;;;;7
Scan Sys B.V.;;;;;1;;;;1
Schinkelshoek & Verhoog (S&V) s.c.&p.a. B.V.;;;;;;;;2;2
Scholten Awater B.V.;;1;2;1;;;;;2
Schut-Copex B.V.;;4;;;;;;;4
Sdu Uitgevers B.V.;;;;1;;;2;;2
Seats2Meet.com Utrecht B.V.;;;;;;;;1;1
Securitas Alert Services Nederland B.V.;;;1;;;;;;1
Secwatch B.V.;;;;;1;;;;1
SEOR;;3;;;;;;;3
Service Telefoon Centrale B.V.;;;;;;;1;;1
Set Genki Tei;;;;;;;;1;1
SG Equipment Finance Benelux B.V.;;;;;5;;;;5
SGOA;;;;;;;;2;2
Sharpcloud Software Limited;;;;;1;;;;1
SIDN Business B.V.;;;;;;;2;;2
Simian B.V.;;;;;2;;;;2
Sjoerd van der Hucht Fotografie;;;;;;;;1;1
Smederij 1872;;;;;;;;1;1
SMT Simple Management Technologies B.V.;;;;;1;;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;;;;1;1
Softline Solutions Netherlands B.V.;;;;;2;;;;2
Software Improvement Group B.V.;;;;;;;;3;3
SoftwareONE B.V.;;;1;4;9;;;;9
Sogeti Nederland B.V.;;;;;2;1;;7;7
Sol Y Luna Advies, Training en Begeleiding;;;1;;;;;;1
Solventa;;;;;;;;1;1
SolvH Solutions;;;1;;;;;;1
Solvinity;;1;;;4;;;2;4
Spice Beachclub B.V.;;;;;;;;1;1
SPITZ congres & event B.V.;;;;;;;;1;1
Sportsdesign Utrecht B.V.;;;;;;;;1;1
Sporttainment Center De Uithof B.V.;;;;;;;;1;1
Spotler Nederland B.V.;;;;;1;;;;1
Staat, de strandpalviljoen;;;;;;;;1;1
Stabiplan B.V.;;;2;2;2;;;;3
Staples Nederland B.V.;;1;;;;;;;1
Starsound Productions Exploitatie B.V.;;;;;1;;;;1
Stg. Kenniscentrum Center People & Buildings;;;;;;;1;;1
Stg. Routerings (Int.)Nat. Informatiestromen;;;;3;;;;;3
Sticht. Internet Domeinregistratie Nederland;;;;;1;;;;1
Sticht. Lerend platform Energ.&Omg.(Stg. LEO);;;;1;;;;;1
Stichting Accessibility;;;;;4;;;1;4
Stichting Administratiekantoor Sdu Publishing;;;;;;;;1;1
Stichting Autres Directions;;;;2;;;;;2
Stichting Beheer Derdengelden X Pact;;;;;;;1;1;1
Stichting Bibliotheken Eemland;;;;;;;;1;1
Stichting BIM Loket;;;4;;;;;;4
Stichting Bravis ziekenhuis;;;;;;;;1;1
Stichting de Baak;;;;1;;;;;1
Stichting Eindelijk! Theater;;;1;;;;;;1
Stichting Get in the Ring Foundation;;;;;2;;;;2
Stichting Gilde Den Haag;;;;;1;;;;1
stichting government roaming nederland;;;;;;;2;;2
Stichting iBestuur Congres;;;;;;;;2;2
Stichting Internat. Perscentrum 'Nieuwspoort';;;;1;;;;;1
Stichting ISSO;;;;2;;;;;2
Stichting Kafkabrigade;;;;;;;;2;2
Stichting Leer Zelf Online;;;;;;;;2;2
Stichting Museum voor Communicatie;;;;1;;;;;1
Stichting Open State Foundation;;;;;;;;1;1
Stichting Pensioenfonds ABP;;1;;;;;;;1
Stichting Pleio;;;;1;;;;2;2
STICHTING PRODEMOS;;;;;;;;1;1
Stichting Projecten MKB-Nederland;;;;;;;;2;2
Stichting Reprorecht;;;;;1;;;;1
Stichting RINIS;;;;;2;;;;2
Stichting Simplerinvoicing;;;;;;;;1;1
Stichting Xbrl Nederland;;;;;;;;1;1
Stickerwinkel.com B.V.;;;;;;;;1;1
Studio 38C;;;;;;;;2;2
Studio BiB;;;;1;;;;;1
Studioschaeffer B.V.;;;1;;;;;;1
Sumatra Software B.V.;;;;;1;;;;1
Survey Monkey;;1;;;;;;;1
Sustainable Change B.V.;;;;;;;;1;1
Swepper;;;;;;;;2;2
T Systems Nederland B.V.;;;;3;;;;;3
T&T Compet&t.b.v.;;;;1;;;;;1
TAALdigiTAAL B.V.;;;;;;;2;;2
Take2Media;;;;1;;;;;1
Technosoft B.V.;;;;1;;;;;1
Tel en Tel B.V.;;;;;;;1;;1
Tele2 Nedeland B.V.;;;;;;;2;;2
Tele2 Nederland B.V.;;;;;;;7;;7
Tele2-Versatel;;;;;;;4;;4
TelefonischOverleg.NL;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;;7;7;2;7;7;;5;8
Tempo-Team Direct;;;;;1;;;;1
Terralemon;;;;;2;;;;2
Textinfo B.V.;;;;7;;;;;7
Thales Nederland;;;;;2;;;;2
The Hague Tech B.V.;;;;;;;;1;1
The Internet Academy;;;;;;;;1;1
The People Group - Ingen. & Specialisten B.V.;;;3;;;;;;3
Things To Make And Do B.V.;;;2;;;;;1;2
Thinkware;;;;1;;;;;1
Tilaa.com;;;;;;;1;1;1
Tilkema Horeca B.V.;;;;;;;1;;1
TODAY DESIGNERS B.V.;;;;;;;;4;4
TOPdesk Nederland B.V.;;;2;1;;;;;2
Topgeschenken Nederland B.V.;;;;;;;;1;1
TransIP B.v;;;;;;;;1;1
Transportare B.V.;;;;;;;;1;1
TryLikes B.V.;;;;;1;;;;1
Typeform S.L.;;1;;;;;;;1
Umami B.V.;;;;1;;;;;1
UniCarriers Netherlands B.V.;;1;;;;;;;1
Unn'plugged;;;;;;;;1;1
Urbanist;;;1;;;;;;1
VABI Software B.V.;;;;1;;;;;1
Vacuas;;;3;;;;;;3
Van Buttingha Wichers Notarissen;;;;3;;;;;3
Van Zijderveld;;;;;;;;1;1
VCD Business Solutions B.V.;;;;;2;;;;2
VCK Travel B.V.;;;;;;;;2;2
Vellekoop & Meesters;;;;2;;;;;2
Verdonck, Klooster & Associates B.V.;;;2;;3;2;;4;5
Verizon Nederland B.V.;;;;;1;;;;1
Virtu Secure Webservices B.V.;;;;;6;9;;10;11
Visma Software B.V.;;;;;1;;;;1
Vodafone;;;1;;1;;5;;5
Vodafone Libertel B.V.;;;;;;;7;3;7
Voor Claar B.V.;;;;;;;;1;1
Webfleet Solutions Sales B.V.;;;;;2;;;;2
Webhelp Nederland B.V.;;;;;;;;7;7
Wirtz, Film & Experience Agency B.V.;;1;;;;;;;1
Wolfpack B.V.;;;;;;;;2;2
Worldmeetings.com B.V.;;;;1;;;;1;1
WUA B.V.;;;;;2;;;;2
XCESS expertise center B.V.;;;;2;;;;;2
XCLR8 B.V.;;;;;;;;1;1
Xerox (Nederland) B.V.;;4;7;2;1;1;;2;7
ZakelijkeWorkshops.nl;;;;;;;1;;1
Zendesk Inc;;;;;1;;;;1
Zietekst;;;;;;;;1;1
Ziggo B.V.;;;;;;;3;;3
Ziggo Services B.V.;;;;;;;1;;1
Ziggo Zakelijk Services B.V.;;;;;;1;;;1
Zoom International B.V.;;;;;3;;;;3
ZoomBIM;;;;;1;;;;1
Eindtotaal;2;10;9;9;11;9;9;11;13
