Nr;Stembureau;VVD;PvdA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50+;OP;VNL;DENK;NW;FvD;DBB;VP;GP;PP;A1;NS;LP;LidK;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;;
260;Buurtcentrum 't Heerdenhoes;80;110;83;191;66;112;76;242;6;87;13;0;1;1;1;25;1;2;1;7;3;1;0;0;1109;1;1110;7;1117;;
261;Sporthal Beijum;35;32;77;114;57;47;28;95;4;42;12;0;3;2;0;8;0;0;0;4;0;0;0;0;560;0;560;3;563;;
262;Activiteitencentrum Trefpunt;38;49;54;96;29;80;44;122;3;39;14;2;4;4;0;7;0;0;0;9;2;1;0;0;597;0;597;0;597;;
263;Kentalis Tine Marcusschool;68;85;81;149;33;88;18;136;3;50;23;0;4;3;0;7;2;0;0;7;1;1;0;1;760;1;761;0;761;;
264;Buurtcentrum De Kleihorn;52;70;73;160;47;96;56;163;7;42;20;0;2;5;2;9;0;0;2;4;1;2;0;1;814;2;816;2;818;;
266;Basisschool De Expeditie;46;53;128;184;32;89;50;140;4;48;29;2;6;4;1;8;2;2;2;10;6;2;1;0;849;3;852;3;855;;
267;Basisschool De Heerdstee;38;50;83;131;30;66;36;126;5;68;15;1;0;3;2;13;1;0;1;5;5;0;0;1;680;1;681;2;683;;
268;Gymlokaal Stoepemaheerd;82;111;180;305;72;153;64;255;8;77;43;1;2;1;1;31;4;0;2;18;12;3;1;1;1427;1;1428;4;1432;;
300;Sporthal Selwerd;89;72;95;129;41;143;42;149;2;52;24;0;1;22;2;8;0;0;1;5;2;2;0;0;881;2;883;3;886;;
301;Sporthal Selwerd 2;98;60;81;98;45;188;25;180;2;35;8;0;4;26;0;9;0;1;1;8;1;0;0;0;870;3;873;3;876;;
302;Huize Patrimonium, ZINN-locatie De Es;57;53;88;149;81;80;71;123;9;34;27;1;1;7;2;7;1;0;0;1;8;0;1;1;802;1;803;0;803;;
304;Basisschool De Wegwijzer;67;57;66;130;87;121;83;125;5;27;19;2;1;8;3;20;0;0;0;13;2;1;1;1;839;2;841;4;845;;
305;De Fontein;94;68;85;115;85;119;57;143;5;49;21;0;2;5;0;12;2;0;0;9;0;1;0;0;872;4;876;0;876;;
311;Verpleeghuis 't Blauwb”rgje;167;117;92;188;77;262;53;195;2;45;31;1;6;12;0;29;0;0;0;4;2;2;0;3;1288;0;1288;5;1293;;
312;Bao Trieu sportcentrum;64;47;61;88;54;88;34;108;2;23;24;2;1;10;1;11;0;0;0;3;0;0;0;0;621;2;623;0;623;;
313;Bisschop Bekkersschool;73;60;83;141;45;78;46;98;2;11;30;0;0;28;1;4;1;0;0;4;3;1;0;1;710;0;710;4;714;;
314;Woonzorgcentrum Bernlef;86;112;144;185;86;103;27;100;3;37;33;1;2;17;0;6;1;0;2;4;1;0;0;2;952;0;952;5;957;;
316;Plutozaal;109;89;77;134;86;150;41;141;5;33;24;1;2;5;0;20;2;4;0;11;1;0;1;2;938;0;938;3;941;;
320;'t Vinkhuys;101;89;169;167;73;128;52;162;3;41;31;0;4;13;0;14;1;2;0;6;4;1;0;2;1063;3;1066;3;1069;;
321;Basisschool Aquamarijn;257;91;57;98;92;236;56;166;1;36;17;1;1;3;5;10;0;0;2;4;0;0;0;1;1134;0;1134;2;1136;;
322;Basisschool De Sterrensteen;40;50;134;125;48;54;33;65;4;16;29;2;2;20;0;6;1;1;0;1;3;4;0;1;639;0;639;3;642;;
323;Woonzorgcentrum Platina;63;99;136;154;108;51;35;66;4;15;43;0;4;6;0;8;0;0;0;4;0;0;1;0;797;0;797;1;798;;
324;De Veldspaat;29;43;41;78;26;19;25;16;2;9;11;0;0;0;2;2;1;0;0;0;0;0;0;0;304;2;306;3;309;;
325;Vensterschool Vinkhuizen;93;104;154;173;93;97;80;117;5;26;40;0;1;2;0;14;0;0;1;4;3;0;2;3;1012;0;1012;6;1018;;
326;De Wende;100;58;131;148;86;132;99;140;14;35;16;0;3;19;2;25;0;0;0;10;0;1;0;0;1019;1;1020;2;1022;;
327;Dagverblijf Ilmarinen;59;65;101;116;92;106;197;138;15;35;25;1;1;6;1;17;1;0;0;9;0;3;0;3;991;1;992;4;996;;
328;Kinderdagverblijf De Kleine Held;189;89;84;148;84;164;51;157;4;30;34;0;7;5;1;18;2;0;1;5;2;2;0;1;1078;1;1079;2;1081;;
329;De Goudvink;60;64;96;108;29;73;45;64;2;24;29;0;3;12;0;8;0;0;0;4;2;2;1;0;626;3;629;2;631;;
331;De Strinke;168;68;142;88;73;149;62;129;7;36;20;2;2;2;0;10;0;0;0;4;1;0;0;0;963;2;965;6;971;;
332;Rehobothschool;103;52;167;178;101;62;132;53;12;28;41;0;4;2;3;19;0;1;2;6;0;1;0;3;970;0;970;2;972;;
334;Anne Frankschool;96;84;129;238;123;90;83;91;10;15;36;4;2;1;0;11;0;0;1;3;0;0;0;4;1021;1;1022;2;1024;;
335;Basisschool Aquamarijn, Maresiusstraat 24;286;107;87;108;109;204;83;133;10;38;26;1;0;4;2;17;1;0;1;3;2;0;0;1;1223;0;1223;1;1224;;
340;Verenigingsgebouw, Kerkstraat 2;105;69;209;160;110;83;78;78;7;35;35;4;6;2;0;11;0;0;0;5;2;1;0;0;1000;0;1000;2;1002;;
341;Recreatiezaal Ruskenborg;117;75;84;96;97;106;64;57;6;14;30;2;6;1;0;16;0;0;0;2;1;2;0;0;776;1;777;1;778;;
342;Gabri‰lflat;70;68;100;102;95;87;68;58;7;22;21;1;4;1;1;20;1;0;0;1;1;0;0;2;730;2;732;0;732;;
350;Verenigingsgebouw De Hoeksteen;58;19;12;20;29;46;12;48;7;11;5;2;0;4;0;4;0;0;0;2;0;0;0;0;279;1;280;1;281;;
400;Kantoorunit 1 bij het Hoofdstation;116;69;34;66;64;279;37;221;2;53;6;2;3;3;1;14;0;2;0;10;6;1;0;2;991;3;994;3;997;;
401;Felicitatieruimte trouwzaal;295;111;31;103;81;560;45;452;1;122;4;3;1;2;0;29;1;1;0;19;1;0;0;0;1862;2;1864;3;1867;;
404;DUO/Belastingdienst;82;57;10;57;40;149;18;120;0;47;6;0;1;0;2;14;0;0;1;15;0;1;0;1;621;0;621;0;621;;
405;Kantoorunit 2 bij Hoofdstation;151;66;40;95;66;333;53;308;1;87;6;2;1;6;1;34;1;0;1;10;3;3;0;0;1268;0;1268;2;1270;;
410;Hanzehogeschool, Van Olst-toren;279;47;24;71;99;592;50;348;8;77;1;3;3;4;0;38;1;1;0;26;0;1;0;0;1673;6;1679;3;1682;;
415;Provinciehuis;148;73;26;92;61;262;32;270;4;69;8;1;3;5;0;16;0;0;0;6;0;3;1;0;1080;1;1081;3;1084;;
430;UMCG;296;135;45;103;128;610;89;381;4;74;14;0;3;7;1;21;0;0;0;7;3;0;0;2;1923;4;1927;2;1929;;
431;UMCG;200;97;38;80;79;377;51;235;4;52;8;0;2;0;0;17;0;0;0;7;0;1;0;1;1249;2;1251;3;1254;;
440;Martini Ziekenhuis;150;67;39;71;61;180;34;141;3;37;16;1;0;0;1;7;1;0;1;5;0;3;0;1;819;3;822;1;823;;
450;Harmoniecomplex RUG;197;63;13;40;59;380;30;318;0;62;4;0;3;2;1;16;0;0;0;5;2;2;0;1;1198;0;1198;0;1198;;
451;Centrale Bibliotheek Groningen;102;38;16;46;30;222;24;235;2;63;3;2;2;2;0;9;0;0;0;7;3;0;0;0;806;1;807;0;807;;
457;Bureau Meerstad;120;41;36;54;40;100;42;93;3;28;6;0;0;0;0;4;0;0;1;3;0;0;0;1;572;0;572;0;572;;
