;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Van der Hout Advocatuur B.V.;;;;;1;;;1
van der Maesen & Koch HRM-Advies;2;;;;;;;2
Van Dun & Partners B.V.;;;;;1;;;1
Van Oort Counseling;1;;;;;;;1
Van Vliet Advocatuur & Mediation;;;;;1;;;1
Van Zunderd Executive Consultancy;1;;;;;;;1
Vant Loo/Van Eck Communicatie B.V.;;;;1;;;;1
VANWAARDE Museumwacht B.V.;1;;;;;;;1
VELDHOEN + COMPANY;2;;;;;;;2
Veldhuis Opleidingsadvies;1;;;;;;;1
Velten & De With;;;2;;;;;2
Ver. voor Klachtrecht in de publieke sector;;;;;1;;;1
Vereniging Icom-Nederland;1;;;;;;;1
Verliefd op de Vrijheid;1;;;;;;;1
Verzuimconsult B.V.;2;;;;;;;2
Viqtor Davis NL B.V.;;;;;;2;;2
Vitalogisch B.V.;1;;;;;;;1
VR experience B.V.;;;;;;1;;1
vwd group Netherlands B.V.;;;;;;2;;2
W rl m legal (Isabelle Wárlám);;;;;1;;;1
Wepublic B.V.;;;;3;;;;3
Wetgevingswerken B.V.;;;;;1;;;1
Wij Investments Unlimited Company;;;1;;;;;1
Wijnbar Kavos;;;;;;1;;1
Wiq Support;1;;;;;;;1
WorkWire B.V.;2;;;;;;;2
XRAY Automotive B.V.;;;;;;2;;2
Ynnovate;1;;;;;;;1
Zet Solutions B.V.;;;;;;1;;1
Zetacom B.V.;;;;;;1;;1
Zorg Innovaties Nederland B.V.;1;;;;;;;1
Eindtotaal;9;6;8;4;6;9;5;10
