Identificatie;Datum zaak start;Stap;Zaakstatus;Datum zaak uiterste;Hoofdcategorie (zaaktype mor);Subcategorie (zaaktype mor);straat (zaaktype mor);Ter hoogte van (zaaktype mor);Wijk (zaaktype mor)
132647;19-1-2015 15:33;Definitief afgesloten;Afgesloten;26-1-2015 15:33;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Dr. A. Kuyperlaan;zijkant Lindenhuis;Zeist Noord
150953;28-9-2015 11:05;Definitief afgesloten;Afgesloten;5-10-2015 11:05;Groen;Bomen;Comeniuslaan;;Zeist Noord
135106;18-2-2015 9:08;Definitief afgesloten;Afgesloten;25-2-2015 9:08;Wegen, fiets- en voetpaden;Gebreken wegdek;Kampdwarsweg;Kampdwarsweg te Soesterberg/ gemeentegrond Zeist, weg naar en langs de Algemene begraafplaats;Zeist Oost
147736;8-8-2015 7:00;Definitief afgesloten;Afgesloten;17-8-2015 7:00;Groen;Bomen;Brugakker;;Zeist West
139577;15-4-2015 15:29;Voorlopig afgesloten;Afgehandeld;22-4-2015 15:29;Groen;Overig (Groen);De Heuvel;;Zeist Centrum
142261;26-5-2015 11:19;Definitief afgesloten;Afgesloten;27-5-2015 11:19;Afvalinzameling en milieu;Volle prullenbakken;Nijenheim;Achteringang en hoofdingang;Zeist West
157856;9-12-2015 7:00;Definitief afgesloten;Afgesloten;16-12-2015 7:00;Verlichting;Lamp defect;Zeisterweg;Zeisterweg tot viaduct A12;
150009;10-9-2015 16:04;Definitief afgesloten;Afgesloten;17-9-2015 16:04;Straatmeubilair;Overig (Straatmeubilair);Slotlaan;;Zeist Centrum
138308;27-3-2015 13:54;Definitief afgesloten;Afgesloten;3-4-2015 14:54;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Steniaweg;;Zeist Centrum
138315;27-3-2015 14:13;Definitief afgesloten;Afgesloten;3-4-2015 15:13;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Jagerlaan;ingang parkeergarage;Zeist Centrum
150012;10-9-2015 16:26;Definitief afgesloten;Afgesloten;17-9-2015 16:26;Groen;Overig (Groen);Krakelingweg;;Zeist Oost
147829;8-8-2015 7:00;Definitief afgesloten;Afgesloten;17-8-2015 7:00;Groen;Struiken;Nijenheim;;Zeist West
148631;20-8-2015 7:00;In behandeling;In behandeling;27-8-2015 7:00;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Nijenheim;;Zeist West
147832;8-8-2015 7:00;Definitief afgesloten;Afgesloten;17-8-2015 7:00;Groen;Gras;Laan van Vollenhove;Bij L-flat de dreef zijde;Zeist Noord
138002;21-3-2015 7:00;Definitief afgesloten;Afgesloten;30-3-2015 8:00;Straatmeubilair;Paaltjes;Kohnstammplein;;Zeist Noord
148104;13-8-2015 7:00;Definitief afgesloten;Afgesloten;14-8-2015 7:00;Verlichting;Lichtmast gebroken/krom;De Dreef;Kruispunt de dreef gunninglaan 1101 0001;Zeist Noord
147720;9-8-2015 7:00;Definitief afgesloten;Afgesloten;17-8-2015 7:00;Wegen, fiets- en voetpaden;Gebreken wegdek;Bergweg;Kessler;Zeist Centrum
136776;10-3-2015 10:32;Definitief afgesloten;Afgesloten;17-3-2015 10:32;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Laan van Vollenhove;;Zeist Centrum
136775;10-3-2015 10:28;Nieuw via KCC;Ontvangen;17-3-2015 10:28;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Laan van Vollenhove;;Zeist Noord
148861;26-8-2015 15:20;Definitief afgesloten;Afgesloten;2-9-2015 15:20;Wegen, fiets- en voetpaden;Gebreken wegdek;Dr. s'Jacoblaan;;Zeist Centrum
141796;18-5-2015 11:00;Definitief afgesloten;Afgesloten;25-5-2015 11:00;Handhaving;Hondenoverlast;Schaerweijdelaan;;Zeist Centrum
151514;5-10-2015 13:34;Definitief afgesloten;Afgesloten;12-10-2015 13:34;Groen;Bomen;Nijenheim;Nummer ;Zeist West
138962;7-4-2015 15:18;Definitief afgesloten;Afgesloten;14-4-2015 15:18;Groen;Bomen;Nijenheim;;Zeist West
146748;27-7-2015 8:53;Definitief afgesloten;Afgesloten;3-8-2015 8:53;Afvalinzameling en milieu;Klacht afvalinzameling;Warande;;Zeist Noord
146146;15-7-2015 17:00;Definitief afgesloten;Afgesloten;16-7-2015 17:00;Afvalinzameling en milieu;Afvaldumping;Constantijn Huygenslaan;nummer 10;Zeist Noord
149656;8-9-2015 11:11;Definitief afgesloten;Afgesloten;15-9-2015 11:11;Groen;Overig (Groen);Slotlaan;;Zeist Centrum
152396;19-10-2015 10:28;Lopend;In behandeling;26-10-2015 9:28;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);;;
138931;1-4-2015 7:00;Definitief afgesloten;Afgesloten;8-4-2015 7:00;Groen;Bomen;Sanatoriumlaan;;Zeist Noord
134195;5-2-2015 10:00;Definitief afgesloten;Afgesloten;12-2-2015 10:00;Groen;Bomen;Crosestein;;Zeist West
141490;12-5-2015 15:52;Lopend;In behandeling;19-5-2015 15:52;Groen;Bomen;Woudenbergseweg;;
131551;6-1-2015 14:00;Definitief afgesloten;Afgesloten;13-1-2015 14:00;Verlichting;Lamp defect;Woudenbergseweg;;
147853;11-8-2015 15:34;Definitief afgesloten;Afgesloten;18-8-2015 15:34;Groen;Bomen;Crosestein;;Zeist West
141467;12-5-2015 13:55;Definitief afgesloten;Afgesloten;19-5-2015 13:55;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Van der Merschlaan;;Zeist Noord
158076;11-12-2015 15:54;Definitief afgesloten;Afgesloten;18-12-2015 15:54;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Dijnselweg;;Zeist Noord
161003;31-12-2015 13:16;Voorlopig afgesloten;Afgehandeld;7-1-2016 13:16;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Burg. Patijnlaan;;Zeist Noord
153863;6-11-2015 16:50;Definitief afgesloten;Afgesloten;13-11-2015 16:50;Groen;Overig (Groen);Dorpsplein;;Zeist Oost
155876;29-11-2015 7:00;Definitief afgesloten;Afgesloten;7-12-2015 7:00;Afvalinzameling en milieu;Bladoverlast;Meent;;Zeist West
140835;1-5-2015 11:07;Definitief afgesloten;Afgesloten;8-5-2015 11:07;Afvalinzameling en milieu;Klacht afvalinzameling;Costerlaan;;Zeist Centrum
155009;19-11-2015 16:37;Definitief afgesloten;Afgesloten;26-11-2015 16:37;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Pater de Leeuwweg;;Zeist Oost
154971;19-11-2015 14:17;Definitief afgesloten;Afgesloten;26-11-2015 14:17;Handhaving;Overig (Handhaving);Bergweg;bezinepomp;Zeist Centrum
147250;31-7-2015 11:24;Definitief afgesloten;Afgesloten;7-8-2015 11:24;Straatmeubilair;Paaltjes;Nijenheim;Tegenover huisnummer 1332;Zeist West
132533;16-1-2015 16:07;Definitief afgesloten;Afgesloten;23-1-2015 16:07;Groen;Overig (Groen);Chopinlaan;sloot achterzijde koops;Zeist Noord
152823;21-10-2015 7:00;Definitief afgesloten;Afgesloten;28-10-2015 6:00;Handhaving;Overig (Handhaving);Heideweg;Heideweg;Zeist Oost
152642;21-10-2015 8:38;Definitief afgesloten;Afgesloten;28-10-2015 7:38;Verlichting;Lamp defect;De Clomp;0525-3109 0525-3111 0525-3112;Zeist West
152209;13-10-2015 7:00;Definitief afgesloten;Afgesloten;20-10-2015 7:00;Groen;Bomen;Nijenheim;;Zeist West
142201;22-5-2015 10:59;Definitief afgesloten;Afgesloten;29-5-2015 10:59;Groen;Bomen;De Brink;;Zeist West
154230;11-11-2015 14:55;Definitief afgesloten;Afgesloten;18-11-2015 14:55;Verlichting;Overig (verlichting);Anne de Vrieslaan;;Zeist Centrum
144972;29-6-2015 14:46;Definitief afgesloten;Afgesloten;6-7-2015 14:46;Groen;Bomen;Rembrandtlaan;;Den Dolder e.o.
139105;6-4-2015 7:00;Definitief afgesloten;Afgesloten;13-4-2015 7:00;Groen;Bomen;Willem Pijperplein;willem pijperplein;Zeist Centrum
148522;21-8-2015 9:40;Definitief afgesloten;Afgesloten;28-8-2015 9:40;Groen;Onkruid;Willem Pijperlaan;;Zeist Centrum
142362;27-5-2015 10:21;Definitief afgesloten;Afgesloten;3-6-2015 10:21;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Willem Pijperplein;huisnummer 117;Zeist Centrum
158133;14-12-2015 9:06;Definitief afgesloten;Afgesloten;21-12-2015 9:06;Straatmeubilair;Verkeers-/ straatnaambord;Filips v Bourgondiëlaan;;Zeist West
161020;31-12-2015 13:50;Voorlopig afgesloten;Afgehandeld;7-1-2016 13:50;Straatmeubilair;Verkeers-/ straatnaambord;Laan van Vollenhove;;Zeist Noord
132207;14-1-2015 8:17;Definitief afgesloten;Afgesloten;21-1-2015 8:17;Riolering;Verstopping straatkolk;Jacob van Lenneplaan;wijk Noord;Zeist Centrum
151492;4-10-2015 7:00;Definitief afgesloten;Afgesloten;12-10-2015 7:00;Groen;Struiken;Nijenheim;;Zeist West
145097;30-6-2015 15:27;Definitief afgesloten;Afgesloten;7-7-2015 15:27;Straatmeubilair;Verkeers-/ straatnaambord;Montessorilaan;2212/0001;Zeist Noord
144223;18-6-2015 16:21;Definitief afgesloten;Afgesloten;19-6-2015 16:21;Afvalinzameling en milieu;Volle prullenbakken;Prof. Lorentzlaan;op de hoek met Krakelingweg;Zeist Centrum
154609;17-11-2015 9:02;Voorlopig afgesloten;Afgehandeld;24-11-2015 9:02;Riolering;Verstopping straatkolk;Vossenlaan;;Den Dolder e.o.
155873;29-11-2015 7:00;Definitief afgesloten;Afgesloten;7-12-2015 7:00;Straatmeubilair;Paaltjes;Laantje zonder Eind;;Zeist Centrum
133350;28-1-2015 11:22;Definitief afgesloten;Afgesloten;6-2-2015 11:22;Dieren;Hondenpoep;Joost van den Vondellaan;;Zeist Noord
132701;20-1-2015 7:58;Definitief afgesloten;Afgesloten;27-1-2015 7:58;Riolering;Overig (Riolering);Gijsbrecht v Amstellaan;;Zeist West
132262;14-1-2015 11:30;Definitief afgesloten;Afgesloten;15-1-2015 11:30;Riolering;Verstopping huisaansluiting;Gijsbrecht v Amstellaan;Gijsbrecht van Amstellaan ;Zeist West
143721;11-6-2015 7:00;Definitief afgesloten;Afgesloten;18-6-2015 7:00;Groen;Bomen;P.C. Hooftlaan;;Zeist Noord
149316;1-9-2015 7:00;Definitief afgesloten;Afgesloten;8-9-2015 7:00;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Nepveulaan;;Zeist Noord
149873;9-9-2015 16:29;Definitief afgesloten;Afgesloten;16-9-2015 16:29;Groen;Overig (Groen);Joost van den Vondellaan;;Zeist Noord
149924;9-9-2015 7:00;Definitief afgesloten;Afgesloten;16-9-2015 7:00;Groen;Bomen;Joost van den Vondellaan;;Zeist Noord
142455;28-5-2015 9:54;Definitief afgesloten;Afgesloten;4-6-2015 9:54;Handhaving;Overig (Handhaving);Dijnselweg;;Zeist Noord
152811;23-10-2015 8:44;Definitief afgesloten;Afgesloten;30-10-2015 7:44;Riolering;Overig (Riolering);2e Hogeweg;;Zeist Centrum
137197;13-3-2015 16:40;Definitief afgesloten;Afgesloten;20-3-2015 16:40;Dieren;Overig (Dieren);Crosestein;;Zeist West
140273;21-4-2015 7:00;Definitief afgesloten;Afgesloten;28-4-2015 7:00;Straatmeubilair;Paaltjes;Nijenheim;;Zeist West
153378;30-10-2015 7:00;Definitief afgesloten;Afgesloten;6-11-2015 7:00;Groen;Overig (Groen);Brugakker;;Zeist West
147427;3-8-2015 7:00;Definitief afgesloten;Afgesloten;4-8-2015 7:00;Riolering;Verstopping huisaansluiting;Nepveulaan;;Zeist Noord
146739;25-7-2015 7:00;Definitief afgesloten;Afgesloten;3-8-2015 7:00;Groen;Bomen;Nijenheim;;Zeist West
144720;24-6-2015 13:56;Definitief afgesloten;Afgesloten;3-7-2015 13:56;Dieren;Hondenpoep;Graaf Janlaan;Graaf Janlaan;Zeist Oost
131769;8-1-2015 9:09;Definitief afgesloten;Afgesloten;15-1-2015 9:09;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Wickenburg;;Den Dolder e.o.
138444;28-3-2015 7:00;Definitief afgesloten;Afgesloten;6-4-2015 8:00;Wegen, fiets- en voetpaden;Gebreken wegdek;Weteringlaan;tegenover basisschool De Sluis (tussen de 2 drempels in);Zeist West
154853;18-11-2015 16:16;In behandeling;In behandeling;25-11-2015 16:16;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Couwenhoven;;Zeist West
147261;31-7-2015 13:40;Definitief afgesloten;Afgesloten;7-8-2015 13:40;Dieren;Overig (Dieren);Graaf Janlaan;;Zeist Oost
157653;7-12-2015 7:00;Definitief afgesloten;Afgesloten;14-12-2015 7:00;Verlichting;Lamp defect;Huydecoperweg;;Zeist Centrum
131437;5-1-2015 14:53;Definitief afgesloten;Afgesloten;12-1-2015 14:53;Handhaving;Overig (Handhaving);Dwarsweg;;Zeist Centrum
131435;5-1-2015 14:48;Definitief afgesloten;Afgesloten;12-1-2015 14:48;Handhaving;Overig (Handhaving);Dwarsweg;;Zeist Centrum
159689;20-12-2015 7:00;Definitief afgesloten;Afgesloten;28-12-2015 7:00;Handhaving;Overig (Handhaving);Antonlaan;in parkeergarage De Luifel;Zeist Centrum
133970;3-2-2015 10:02;Definitief afgesloten;Afgesloten;10-2-2015 10:02;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Couwenhoven;;Zeist West
157426;4-12-2015 7:00;Definitief afgesloten;Afgesloten;11-12-2015 7:00;Wegen, fiets- en voetpaden;Gebreken wegdek;Tolhuislaan;paltzerweg (N-zijde);Den Dolder e.o.
142642;29-5-2015 15:49;Definitief afgesloten;Afgesloten;5-6-2015 15:49;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Oude Arnhemseweg;;Zeist Noord
152881;26-10-2015 10:18;Definitief afgesloten;Afgesloten;2-11-2015 10:18;Groen;Bomen;Duinweg;;Den Dolder e.o.
155039;19-11-2015 7:00;Definitief afgesloten;Afgesloten;26-11-2015 7:00;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Koppelweg;;Zeist West
138912;1-4-2015 7:00;Definitief afgesloten;Afgesloten;8-4-2015 7:00;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);van Oldenbarneveltlaan;;
139563;15-4-2015 13:48;Definitief afgesloten;Afgesloten;22-4-2015 13:48;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Panweg;Fietspad langs de Dreef;Zeist Noord
133427;28-1-2015 17:35;Definitief afgesloten;Afgesloten;4-2-2015 17:35;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Burg. Patijnlaan;;Zeist Noord
144258;19-6-2015 9:14;Definitief afgesloten;Afgesloten;22-6-2015 9:14;Riolering;Putdeksel;Griffensteijnselaan;nummer 37;Zeist West
159744;21-12-2015 15:47;Definitief afgesloten;Afgesloten;28-12-2015 15:47;Wegen, fiets- en voetpaden;Gebreken wegdek;Ridderschapslaan;;Zeist West
155523;25-11-2015 16:05;In behandeling;In behandeling;2-12-2015 16:05;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Crosestein;;Zeist West
135647;24-2-2015 8:39;Definitief afgesloten;Afgesloten;3-3-2015 8:39;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;De Clomp;Grote Koppel;Zeist West
144526;23-6-2015 8:17;Definitief afgesloten;Afgesloten;30-6-2015 8:17;Groen;Bomen;Weeshuislaan;;Zeist Centrum
131545;5-1-2015 7:00;Definitief afgesloten;Afgesloten;6-1-2015 7:00;Afvalinzameling en milieu;Afvaldumping;Prof. Aalberselaan;hoek Prof. aalberselaan / R. de Beerenbroecklaan;Zeist Noord
141420;12-5-2015 9:50;Definitief afgesloten;Afgesloten;13-5-2015 9:50;Riolering;Putdeksel;Fazantenplein;;Zeist West
136521;6-3-2015 9:35;Definitief afgesloten;Afgesloten;9-3-2015 9:35;Riolering;Verstopping huisaansluiting;Brugakker;;Zeist West
149614;4-9-2015 7:00;Definitief afgesloten;Afgesloten;11-9-2015 7:00;Wegen, fiets- en voetpaden;Overig (Wegen fiets- en voetpaden);Nijenheim;o.a. het fietspad naast Nijenheim 5249 naar wi kelcentrum de Clomp;Zeist West
137443;15-3-2015 7:00;Definitief afgesloten;Afgesloten;17-3-2015 7:00;Afvalinzameling en milieu;Afvaldumping;Broederplein;;Zeist Centrum
156635;3-12-2015 15:41;Definitief afgesloten;Afgesloten;10-12-2015 15:41;Riolering;Overig (Riolering);Brugakker;;Zeist West
132268;14-1-2015 11:47;Definitief afgesloten;Afgesloten;21-1-2015 11:47;Riolering;Verstopping straatkolk;Griffensteijnselaan;Hoek Kromme Rijnlaan/ Griffesteijnselaan;Zeist West
156657;3-12-2015 16:50;Definitief afgesloten;Afgesloten;4-12-2015 16:50;Verlichting;Afdekplaatje weg/kapot;Waterlooweg;85;Zeist Oost
151322;1-10-2015 16:01;Lopend;In behandeling;8-10-2015 16:01;Groen;Overig (Groen);Nieuwe Achtergracht;;
159566;19-12-2015 7:00;Definitief afgesloten;Afgesloten;28-12-2015 7:00;Verlichting;Lamp defect;Waterigeweg;;Zeist West
132315;14-1-2015 15:17;Definitief afgesloten;Afgesloten;21-1-2015 15:17;Straatmeubilair;Verkeers-/ straatnaambord;Waterigeweg;middengeleider rijweg thv nr 80;Zeist West
147145;29-7-2015 7:00;Definitief afgesloten;Afgesloten;29-7-2015 7:00;Groen;Bomen;Waterigeweg;Waterigeweg met hoek G. van Seijstlaan;Zeist West
137084;12-3-2015 15:37;Definitief afgesloten;Afgesloten;19-3-2015 15:37;Verlichting;Lamp defect;Waterigeweg;;Zeist Centrum
143900;15-6-2015 12:22;Definitief afgesloten;Afgesloten;22-6-2015 12:22;Groen;Bomen;Waterigeweg;Waterigeweg 32;Zeist West
132817;21-1-2015 8:57;Definitief afgesloten;Afgesloten;28-1-2015 8:57;Verlichting;Lamp defect;Waterhoenlaan;3636 0011;Zeist West
136236;3-3-2015 13:29;Definitief afgesloten;Afgesloten;10-3-2015 13:29;Handhaving;Overig (Handhaving);Waterhoenlaan;;Zeist West
149007;28-8-2015 14:04;Definitief afgesloten;Afgesloten;31-8-2015 14:04;Afvalinzameling en milieu;Afvaldumping;Laan van Vollenhove;vijver L-flat;Zeist Noord
136770;10-3-2015 9:59;Definitief afgesloten;Afgesloten;17-3-2015 9:59;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Meent;;Zeist West
144285;19-6-2015 7:00;Definitief afgesloten;Afgesloten;26-6-2015 7:00;Groen;Struiken;Bunsinglaan;In het weiland aan de Bunsinglaan;Zeist Oost
138707;1-4-2015 12:17;Definitief afgesloten;Afgesloten;8-4-2015 12:17;Verlichting;Lamp defect;Douglaslaan;0706-0010 en 0706-0012;Den Dolder e.o.
136338;4-3-2015 14:21;In behandeling;In behandeling;11-3-2015 14:21;Groen;Struiken;Bachlaan;60, 62, 64 en 66;Zeist Noord
147874;11-8-2015 7:00;Definitief afgesloten;Afgesloten;18-8-2015 7:00;Groen;Bomen;Nijenheim;;Zeist West
158692;15-12-2015 17:43;Definitief afgesloten;Afgesloten;22-12-2015 17:43;Afvalinzameling en milieu;Bladoverlast;Brugakker;;Zeist West
136899;11-3-2015 12:26;Definitief afgesloten;Afgesloten;18-3-2015 12:26;Groen;Gras;Nijenheim;Seniorenflat;Zeist West
145589;8-7-2015 12:19;Definitief afgesloten;Afgesloten;9-7-2015 12:19;Riolering;Gemalen;Kwikstaartlaan;;Zeist West
142617;22-5-2015 7:00;Definitief afgesloten;Afgesloten;29-5-2015 7:00;Straatmeubilair;Zitbanken;Slotlaan;in het Walkartpark;Zeist Centrum
149243;1-9-2015 18:11;Definitief afgesloten;Afgesloten;8-9-2015 18:11;Afvalinzameling en milieu;Zwerfvuil;Walkartpark;;Zeist Centrum
140072;22-4-2015 15:46;Definitief afgesloten;Afgesloten;29-4-2015 15:46;Straatmeubilair;Verkeers-/ straatnaambord;De Dreef;;Zeist Noord
134226;5-2-2015 13:28;Definitief afgesloten;Afgesloten;12-2-2015 13:28;Wegen, fiets- en voetpaden;Gladheidsbestrijding;Chopinlaan;;Zeist Noord
146647;23-7-2015 7:00;Definitief afgesloten;Afgesloten;30-7-2015 7:00;Straatmeubilair;Fietsenrekken;Utrechtseweg;Kroostweg noord (zie foto);Zeist Noord
152213;12-10-2015 7:00;Definitief afgesloten;Afgesloten;19-10-2015 7:00;Groen;Bomen;Oude Arnhemseweg;;Zeist Noord
134524;9-2-2015 7:00;Definitief afgesloten;Afgesloten;16-2-2015 7:00;Verlichting;Lamp defect;Graaf Adolflaan;hele laan;Zeist Oost
137229;16-3-2015 10:14;Definitief afgesloten;Afgesloten;23-3-2015 10:14;Verlichting;Lamp defect;Prinses Margrietlaan;;Zeist Oost
153737;5-11-2015 11:17;Definitief afgesloten;Afgesloten;12-11-2015 11:17;Verlichting;Lamp defect;Louise de Colignyplein;6 - 7;Zeist Oost
150385;17-9-2015 13:38;Definitief afgesloten;Afgesloten;24-9-2015 13:38;Groen;Bomen;Laan van Cattenbroeck;gerepareerde gasleiding;Zeist West
152101;13-10-2015 10:07;Definitief afgesloten;Afgesloten;20-10-2015 10:07;Verlichting;Lamp defect;Griffensteijnseplein;2921/000 (de laatste cijfer is helaas niet doorgegeven :( ) = hoek griffesteijnseplein / corn. schellingerlaan;Zeist West
135942;26-2-2015 14:23;Definitief afgesloten;Afgesloten;5-3-2015 14:23;Straatmeubilair;Overig (Straatmeubilair);Oude Arnhemseweg;;Zeist Centrum
131368;5-1-2015 10:03;Definitief afgesloten;Afgesloten;12-1-2015 10:03;Handhaving;Overig (Handhaving);Willem Arntszlaan;80 en 107;Den Dolder e.o.
158302;14-12-2015 14:01;Definitief afgesloten;Afgesloten;15-12-2015 14:01;Afvalinzameling en milieu;Afvaldumping;Jacob van Lenneplaan;glasbak;Zeist Centrum
146137;15-7-2015 15:09;Definitief afgesloten;Afgesloten;16-7-2015 15:09;Afvalinzameling en milieu;Afvaldumping;Slotlaan;Utrechtse apotheek;Zeist Centrum
136992;12-3-2015 8:47;Definitief afgesloten;Afgesloten;13-3-2015 8:47;Afvalinzameling en milieu;Afvaldumping;Laan van Vollenhove;;Zeist Noord
142938;1-6-2015 7:00;Definitief afgesloten;Afgesloten;2-6-2015 7:00;Afvalinzameling en milieu;Volle prullenbakken;Jan Ligthartplein;Zamenhoflaan (speeltuin);Zeist Noord
139922;16-4-2015 7:00;Definitief afgesloten;Afgesloten;17-4-2015 7:00;Afvalinzameling en milieu;Afvaldumping;Brugakker;Brugakker 42;Zeist West
147240;31-7-2015 9:37;Definitief afgesloten;Afgesloten;7-8-2015 9:37;Handhaving;Overig (Handhaving);Cronjélaan;;Zeist Centrum
140947;28-4-2015 7:00;Definitief afgesloten;Afgesloten;29-4-2015 7:00;Afvalinzameling en milieu;Afvaldumping;Brugakker;;Zeist West
131720;7-1-2015 15:04;Definitief afgesloten;Afgesloten;14-1-2015 15:04;Afvalinzameling en milieu;Klacht afvalinzameling;Prinses Margrietlaan;;Zeist Oost
146835;27-7-2015 12:01;Definitief afgesloten;Afgesloten;28-7-2015 12:01;Afvalinzameling en milieu;Afvaldumping;Noordweg;parkeerplaats bij papiercontainer;Zeist West
139077;8-4-2015 16:13;Definitief afgesloten;Afgesloten;9-4-2015 16:13;Afvalinzameling en milieu;Afvaldumping;Nijenheim;huisnummer 2511;Zeist West
131855;8-1-2015 16:19;Definitief afgesloten;Afgesloten;9-1-2015 16:19;Afvalinzameling en milieu;Afvaldumping;De Clomp;Tegenover nr 1520;Zeist West
139741;17-4-2015 9:03;Definitief afgesloten;Afgesloten;20-4-2015 9:03;Afvalinzameling en milieu;Afvaldumping;Brugakker;;Zeist West
136398;4-3-2015 16:19;Definitief afgesloten;Afgesloten;5-3-2015 16:19;Afvalinzameling en milieu;Afvaldumping;Crosestein;1704;Zeist West
137058;12-3-2015 14:36;Definitief afgesloten;Afgesloten;13-3-2015 14:36;Afvalinzameling en milieu;Afvaldumping;De Clomp;Ondergrondse container;Zeist West
136748;10-3-2015 9:30;Definitief afgesloten;Afgesloten;17-3-2015 9:30;Afvalinzameling en milieu;Zwerfvuil;Huis ter Heideweg;;Zeist Noord
147837;11-8-2015 14:36;Definitief afgesloten;Afgesloten;18-8-2015 14:36;Groen;Bomen;Vrijheidsplein;;Zeist Noord
152988;26-10-2015 7:00;In behandeling;In behandeling;2-11-2015 7:00;Straatmeubilair;Verkeers-/ straatnaambord;Graaf Adolflaan;het binnenbos;Zeist Oost
