Kenteken,Montagedatum,Demontagedatum,Soort toe te voegen object omschrijving,Merk object toegevoegd,Gasinstallatie tank inhoud,Merkcode toegevoegd object,Uitvoerings volgnr toegev obj,Classificatie toegevoegd obj,Montagedatum DT,Demontagedatum DT
00BBV5,0,0,Tachograaf,,,COAD,1203,,,
00BBV5,20190514,0,Tachograaf,VDO 1381,,( ),-1,,05/14/2019 12:00:00 AM,
00BBV9,0,0,Tachograaf,,,COAD,1020,,,
00BBV9,20170809,0,Tachograaf,DTCO 1381,,( ),-1,,08/09/2017 12:00:00 AM,
00BBX3,0,0,Tachograaf,,,COAD,1020,,,
00BBX3,20180306,0,Tachograaf,CONTINENTAL1381,,( ),-1,,03/06/2018 12:00:00 AM,
00BBX4,0,0,Tachograaf,,,COAD,1020,,,
00BBX4,20190513,0,Tachograaf,DCTO 1381,,( ),-1,,05/13/2019 12:00:00 AM,
00BBX8,0,0,Tachograaf,,,COAD,1020,,,
00BBX8,20170627,0,Tachograaf,DCTO1381,,( ),-1,,06/27/2017 12:00:00 AM,
00BBZ1,0,0,Tachograaf,,,COAD,1020,,,
00BBZ1,20170705,0,Tachograaf,DCTO 1381,,( ),-1,,07/05/2017 12:00:00 AM,
00BBZ4,0,0,Tachograaf,,,STOD,1074,,,
00BBZ4,20181112,0,Tachograaf,SE5000,,( ),-1,,11/12/2018 12:00:00 AM,
00BDB1,20171107,0,Tachograaf,CONTINENTAL,,( ),-1,,11/07/2017 12:00:00 AM,
00BDB1,20191024,0,Tachograaf,,,COAD,1130,,10/24/2019 12:00:00 AM,
00BDB3,0,0,Tachograaf,,,COAD,1021,,,
00BDB3,20171108,0,Tachograaf,CONTINENTAL,,( ),-1,,11/08/2017 12:00:00 AM,
00BDB5,0,0,Tachograaf,,,COAD,1030,,,
00BDB5,20181022,0,Tachograaf,CONTINENTAL1381,,( ),-1,,10/22/2018 12:00:00 AM,
00BDB9,0,0,Tachograaf,,,COAD,1020,,,
00BDB9,20171002,0,Tachograaf,DCTO 1381,,( ),-1,,10/02/2017 12:00:00 AM,
00BDD2,20130911,0,Tachograaf,SIEMENS VDO,,( ),-1,,09/11/2013 12:00:00 AM,
00BDD4,0,0,Tachograaf,,,STOD,1074,,,
00BDD4,20170714,0,Tachograaf,STONERIDGE,,( ),-1,,07/14/2017 12:00:00 AM,
00BDD6,0,0,Tachograaf,,,COAD,1020,,,
00BDD6,20170803,0,Tachograaf,CONTINENTAL,,( ),-1,,08/03/2017 12:00:00 AM,
00BDD7,0,0,Tachograaf,,,COAD,1203,,,
00BDD7,20181004,0,Tachograaf,CONTI AUTO 1381,,( ),-1,,10/04/2018 12:00:00 AM,
00BDF5,0,0,Tachograaf,,,COAD,1020,,,
00BDF5,20170811,0,Tachograaf,SIEMENS VDO,,( ),-1,,08/11/2017 12:00:00 AM,
00BDF6,0,0,Tachograaf,,,COAD,1020,,,
00BDF6,20170929,0,Tachograaf,CONTINENTAL,,( ),-1,,09/29/2017 12:00:00 AM,
00BDF8,0,0,Tachograaf,,,COAD,1020,,,
00BDF8,20171031,0,Tachograaf,VDO,,( ),-1,,10/31/2017 12:00:00 AM,
00BDG1,0,0,Tachograaf,,,COAD,1020,,,
00BDG1,20170726,0,Tachograaf,VDO1381,,( ),-1,,07/26/2017 12:00:00 AM,
00BDG4,0,0,Tachograaf,,,COAD,1203,,,
00BDG4,20171107,0,Tachograaf,SIEMENS VDO,,( ),-1,,11/07/2017 12:00:00 AM,
00BDG7,20171012,0,Tachograaf,DCTO 1381,,( ),-1,,10/12/2017 12:00:00 AM,
00BDG7,20191014,0,Tachograaf,,,COAD,1020,,10/14/2019 12:00:00 AM,
00BDG8,0,0,Tachograaf,,,COAD,1020,,,
00BDG8,20171004,0,Tachograaf,DTCO 1381,,( ),-1,,10/04/2017 12:00:00 AM,
00BDG9,0,0,Tachograaf,,,COAD,1020,,,
00BDG9,20171124,0,Tachograaf,CONTINENTAL,,( ),-1,,11/24/2017 12:00:00 AM,
00BDH1,0,0,Tachograaf,,,COAD,1020,,,
00BDH1,20171103,0,Tachograaf,VDO1381,,( ),-1,,11/03/2017 12:00:00 AM,
00BDH5,20170808,0,Tachograaf,SIEMENS,,( ),-1,,08/08/2017 12:00:00 AM,
00BDH5,20190715,0,Tachograaf,,,COAD,1014,,07/15/2019 12:00:00 AM,
00BDH6,20171113,0,Tachograaf,SIEMENS/VDO1381,,( ),-1,,11/13/2017 12:00:00 AM,
00BDH6,20191107,0,Tachograaf,,,COAD,1020,,11/07/2019 12:00:00 AM,
00BDH6,20200630,0,Tachograaf,,,COAD,1030,,06/30/2020 12:00:00 AM,
00BDH7,0,0,Tachograaf,,,COAD,1020,,,
00BDH7,20180425,0,Tachograaf,VDO,,( ),-1,,04/25/2018 12:00:00 AM,
00BDH9,0,0,Tachograaf,,,COAD,1020,,,
00BDH9,20171120,0,Tachograaf,VDO,,( ),-1,,11/20/2017 12:00:00 AM,
00BDJ7,0,0,Tachograaf,,,COAD,1020,,,
00BDJ7,20180514,0,Tachograaf,VDO 1381,,( ),-1,,05/14/2018 12:00:00 AM,
00BDJ8,0,0,Tachograaf,,,COAD,1203,,,
00BDJ8,20171222,0,Tachograaf,CONTINENTAL,,( ),-1,,12/22/2017 12:00:00 AM,
00BDK1,0,0,Tachograaf,,,COAD,1203,,,
00BDK1,20171013,0,Tachograaf,DTCO 1381,,( ),-1,,10/13/2017 12:00:00 AM,
00BDK2,0,0,Tachograaf,,,COAD,1020,,,
00BDK2,20171121,0,Tachograaf,VDO,,( ),-1,,11/21/2017 12:00:00 AM,
00BDK5,0,0,Tachograaf,,,COAD,1020,,,
00BDK5,20180725,0,Tachograaf,CONTINENTAL,,( ),-1,,07/25/2018 12:00:00 AM,
00BDK7,0,0,Tachograaf,,,COAD,1020,,,
00BDK7,20180102,0,Tachograaf,VDO,,( ),-1,,01/02/2018 12:00:00 AM,
00BDK8,0,0,Tachograaf,,,STOD,1075,,,
00BDK8,20180517,0,Tachograaf,STONERIDGE,,( ),-1,,05/17/2018 12:00:00 AM,
00BDK9,0,0,Tachograaf,,,COAD,1021,,,
00BDK9,20171101,0,Tachograaf,DCTO 1381,,( ),-1,,11/01/2017 12:00:00 AM,
00BDL2,0,0,Tachograaf,,,COAD,1020,,,
00BDL2,20171124,0,Tachograaf,CONTINENTAL,,( ),-1,,11/24/2017 12:00:00 AM,
00BDL3,20130201,0,LPG Installatie,,200,GEEN,0,G2,02/01/2013 12:00:00 AM,
00BDL4,20181204,0,Tachograaf,VDO 1381,,( ),-1,,12/04/2018 12:00:00 AM,
00BDL5,0,0,Tachograaf,,,COAD,1020,,,
00BDL5,20180207,0,Tachograaf,SIEMENS,,( ),-1,,02/07/2018 12:00:00 AM,
00BDL6,0,0,Tachograaf,,,COAD,1020,,,
00BDL6,20190205,0,Tachograaf,VDO,,( ),-1,,02/05/2019 12:00:00 AM,
00BDL8,0,0,Tachograaf,,,COAD,1020,,,
00BDL8,20171117,0,Tachograaf,CONTINENTAL,,( ),-1,,11/17/2017 12:00:00 AM,
00BDL9,0,0,Tachograaf,,,STOD,1074,,,
00BDL9,20171101,0,Tachograaf,STONERIDGE,,( ),-1,,11/01/2017 12:00:00 AM,
00BDN1,0,0,Tachograaf,,,COAD,1020,,,
00BDN1,20180213,0,Tachograaf,VDO CONTINENTAL,,( ),-1,,02/13/2018 12:00:00 AM,
00BDN2,0,0,Tachograaf,,,COAD,1020,,,
00BDN2,20171130,0,Tachograaf,DCTO 1381,,( ),-1,,11/30/2017 12:00:00 AM,
00BDP2,0,0,Tachograaf,,,COAD,1020,,,
00BDP2,20180430,0,Tachograaf,CONTINENTAL1381,,( ),-1,,04/30/2018 12:00:00 AM,
00BDP3,0,0,Tachograaf,,,COAD,1021,,,
00BDP3,20170815,0,Tachograaf,CONTINENTAL1381,,( ),-1,,08/15/2017 12:00:00 AM,
00BDR1,0,0,Tachograaf,,,COAD,1020,,,
00BDR1,20181109,0,Tachograaf,SIEMENS VDO,,( ),-1,,11/09/2018 12:00:00 AM,
00BDR5,20180227,0,Tachograaf,STONERIDGE,,( ),-1,,02/27/2018 12:00:00 AM,
00BDR7,0,0,Tachograaf,,,COAD,1220,,,
00BDR7,20190124,0,Tachograaf,CONTINENTAL,,( ),-1,,01/24/2019 12:00:00 AM,
00BDS2,0,0,Tachograaf,,,COAD,1021,,,
00BDS2,20180129,0,Tachograaf,CONTINENTAL,,( ),-1,,01/29/2018 12:00:00 AM,
00BDS4,0,0,Tachograaf,,,COAD,1021,,,
00BDS4,20180223,0,Tachograaf,CONTINENTAL,,( ),-1,,02/23/2018 12:00:00 AM,
00BDS5,0,0,Tachograaf,,,COAD,1021,,,
00BDS5,20190411,0,Tachograaf,CONTINENTAL VDO,,( ),-1,,04/11/2019 12:00:00 AM,
00BDS7,0,0,Tachograaf,,,STOD,1074,,,
00BDS7,20180306,0,Tachograaf,STONERIDGE,,( ),-1,,03/06/2018 12:00:00 AM,
00BDS8,0,0,Tachograaf,,,COAD,1021,,,
00BDS8,20190313,0,Tachograaf,VDO 1381,,( ),-1,,03/13/2019 12:00:00 AM,
00BDS9,0,0,Tachograaf,,,COAD,1021,,,
00BDS9,20180514,0,Tachograaf,VDO,,( ),-1,,05/14/2018 12:00:00 AM,
00BDT1,0,0,Tachograaf,,,COAD,1021,,,
00BDT1,20180320,0,Tachograaf,DTCO,,( ),-1,,03/20/2018 12:00:00 AM,
00BDT6,0,0,Tachograaf,,,COAD,1021,,,
00BDT6,20171201,0,Tachograaf,VDO1381,,( ),-1,,12/01/2017 12:00:00 AM,
00BDT7,0,0,Tachograaf,,,STOD,1074,,,
00BDT7,20180406,0,Tachograaf,STONERIDGE,,( ),-1,,04/06/2018 12:00:00 AM,
00BDT9,0,0,Tachograaf,,,COAD,1021,,,
00BDT9,20180307,0,Tachograaf,VDO,,( ),-1,,03/07/2018 12:00:00 AM,
00BDV1,0,0,Tachograaf,,,STOD,1074,,,
00BDV1,20190329,0,Tachograaf,STONERIDGE,,( ),-1,,03/29/2019 12:00:00 AM,
00BDV2,0,0,Tachograaf,,,COAD,1021,,,
00BDV2,20180502,0,Tachograaf,VDO,,( ),-1,,05/02/2018 12:00:00 AM,
00BDV3,0,0,Tachograaf,,,COAD,1021,,,
00BDV3,20180420,0,Tachograaf,DTCO 1381,,( ),-1,,04/20/2018 12:00:00 AM,
00BDV4,0,0,Tachograaf,,,COAD,1021,,,
00BDV4,20180417,0,Tachograaf,CONTINENTAL,,( ),-1,,04/17/2018 12:00:00 AM,
00BDV6,0,0,Tachograaf,,,STOD,1074,,,
00BDV6,20180430,0,Tachograaf,STONERIGE,,( ),-1,,04/30/2018 12:00:00 AM,
00BDX1,0,0,Tachograaf,,,COAD,1021,,,
00BDX1,20180503,0,Tachograaf,CONTINENTAL1381,,( ),-1,,05/03/2018 12:00:00 AM,
00BDX2,0,0,Tachograaf,,,COAD,1020,,,
00BDX2,20180511,0,Tachograaf,VDO,,( ),-1,,05/11/2018 12:00:00 AM,
00BDX3,0,0,Tachograaf,,,STOD,1074,,,
00BDX3,20180403,0,Tachograaf,STONERIDGE,,( ),-1,,04/03/2018 12:00:00 AM,
00BDX4,0,0,Tachograaf,,,COAD,1021,,,
00BDX4,20180611,0,Tachograaf,VDO,,( ),-1,,06/11/2018 12:00:00 AM,
00BDX6,20190801,0,Tachograaf,,,MKZA,1311,,08/01/2019 12:00:00 AM,
00BDX7,0,0,Tachograaf,,,COAD,1021,,,
00BDX7,20190509,0,Tachograaf,CONTINENTAL,,( ),-1,,05/09/2019 12:00:00 AM,
00BDZ5,0,0,Tachograaf,,,COAD,1220,,,
00BDZ5,20180615,0,Tachograaf,CONTINENTAL,,( ),-1,,06/15/2018 12:00:00 AM,
00BDZ6,0,0,Tachograaf,,,COAD,1021,,,
00BDZ6,20180807,0,Tachograaf,CONTINENTAL,,( ),-1,,08/07/2018 12:00:00 AM,
00BDZ8,0,0,Tachograaf,,,STOD,1074,,,
00BDZ8,20180615,0,Tachograaf,SE5000,,( ),-1,,06/15/2018 12:00:00 AM,
00BDZ9,0,0,Tachograaf,,,COAD,1021,,,
00BDZ9,20180814,0,Tachograaf,CONTINENTAL,,( ),-1,,08/14/2018 12:00:00 AM,
00BFB2,0,0,Tachograaf,,,STOD,1074,,,
00BFB2,20180702,0,Tachograaf,SE5000,,( ),-1,,07/02/2018 12:00:00 AM,
00BFB3,0,0,Tachograaf,,,COAD,1021,,,
00BFB3,20180417,0,Tachograaf,DCTO 1381,,( ),-1,,04/17/2018 12:00:00 AM,
00BFB7,0,0,Tachograaf,,,STOD,1060,,,
00BFB7,20170615,0,Tachograaf,SE 5000,,( ),-1,,06/15/2017 12:00:00 AM,
00BFD2,0,0,Tachograaf,,,COAD,1021,,,
00BFD2,20180905,0,Tachograaf,VDO,,( ),-1,,09/05/2018 12:00:00 AM,
00BFD2,20200821,0,Tachograaf,,,COAD,1030,,08/21/2020 12:00:00 AM,
00BFD4,0,0,Tachograaf,,,COAD,1021,,,
00BFD4,20180704,0,Tachograaf,VDO,,( ),-1,,07/04/2018 12:00:00 AM,
00BFD6,0,0,Tachograaf,,,COAD,1021,,,
00BFD6,20180727,0,Tachograaf,VDO 1381,,( ),-1,,07/27/2018 12:00:00 AM,
00BFD7,0,0,Tachograaf,,,COAD,1021,,,
00BFD7,20180830,0,Tachograaf,CONTINENTAL,,( ),-1,,08/30/2018 12:00:00 AM,
00BFD8,0,0,Tachograaf,,,COAD,1021,,,
00BFD8,20180807,0,Tachograaf,CONTINENTAL,,( ),-1,,08/07/2018 12:00:00 AM,
00BFD9,0,0,Tachograaf,,,COAD,1021,,,
00BFD9,20180803,0,Tachograaf,VDO 1381,,( ),-1,,08/03/2018 12:00:00 AM,
00BFF2,0,0,Tachograaf,,,COAD,1021,,,
00BFF2,20181004,0,Tachograaf,DCTO,,( ),-1,,10/04/2018 12:00:00 AM,
00BFF9,0,0,Tachograaf,,,COAD,1021,,,
00BFF9,20190118,0,Tachograaf,CONTINENTAL AUT,,( ),-1,,01/18/2019 12:00:00 AM,
00BFG2,0,0,Tachograaf,,,COAD,1021,,,
00BFG2,20180905,0,Tachograaf,SIEMENS/VDO,,( ),-1,,09/05/2018 12:00:00 AM,
00BFG4,0,0,Tachograaf,,,COAD,1021,,,
00BFG4,20180911,0,Tachograaf,CONTINENTAL,,( ),-1,,09/11/2018 12:00:00 AM,
00BFG5,0,0,Tachograaf,,,STOD,1074,,,
00BFG5,20170925,0,Tachograaf,STONERIDGE ELEC,,( ),-1,,09/25/2017 12:00:00 AM,
00BFG6,0,0,Tachograaf,,,COAD,1021,,,
00BFG6,20180723,0,Tachograaf,DCTO 1381,,( ),-1,,07/23/2018 12:00:00 AM,
00BFG7,0,0,Tachograaf,,,STOD,1074,,,
00BFG7,20181003,0,Tachograaf,SE5000,,( ),-1,,10/03/2018 12:00:00 AM,
00BFH3,0,0,Tachograaf,,,COAD,1021,,,
00BFH3,20190110,0,Tachograaf,SIEMENS VDO,,( ),-1,,01/10/2019 12:00:00 AM,
00BFH5,0,0,Tachograaf,,,COAD,1021,,,
00BFH5,20150605,0,Tachograaf,DTCO 1381,,( ),-1,,06/05/2015 12:00:00 AM,
00BFH7,0,0,Tachograaf,,,COAD,1021,,,
00BFH7,20180928,0,Tachograaf,CONTINENTAL,,( ),-1,,09/28/2018 12:00:00 AM,
00BFH8,0,0,Tachograaf,,,STOD,1074,,,
