Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)nahethierintevoeren,Bounces,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Vertrekken,Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
contact/index,9220,11969,1380317,216,8990,0.001,103.408,3490,15407,1555769,1680,8855,3276,3705,3510,150,48%,40%,0.52,http://www.utrecht.nl/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcontact%2F,
verkeersbeleid/milieuzone/index,7873,10817,852122,69,7693,0.001,117.012,5626,20230,1638397,2081,7623,5433,3344,3204,108,37%,42%,0.518,http://www.utrecht.nl/verkeersbeleid/milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2F,
publiekszaken/loket-burgerzaken/index,7839,11160,781041,299,8209,0.001,131.903,4420,35720,2963575,639,7557,4244,1401,1339,100,14%,18%,0.544,http://www.utrecht.nl/publiekszaken/loket-burgerzaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fpubliekszaken%2Floket-burgerzaken%2F,
startpagina/burgerzaken/index,7078,10084,358680,121,7733,0.001,131.57,1341,11549,766953,171,6894,1295,549,522,51,13%,8%,0.512,http://www.utrecht.nl/startpagina/burgerzaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fburgerzaken%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/index,6658,8734,410058,46,5412,0.001,32.275,2657,11166,999117,441,6359,2514,858,816,62,17%,13%,0.608,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/index,6621,9528,572009,128,6180,0.001,135.836,3196,18077,1428570,548,6328,3020,1305,1198,86,17%,20%,0.576,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2F,
parkeren/index,6451,8088,380383,184,5777,0.001,84.544,3907,28263,1715284,472,6337,3841,898,884,59,12%,14%,0.525,http://www.utrecht.nl/parkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2F,
verkeersbeleid/milieuzone/waar-is-de-milieuzone/index,5996,7919,443851,56,5574,0.001,48.558,1875,6988,594675,480,5792,1774,1343,1259,74,26%,22%,0.531,http://www.utrecht.nl/verkeersbeleid/milieuzone/waar-is-de-milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fwaar-is-de-milieuzone%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/index,5687,7965,446497,67,5430,0.001,22.346,2988,17910,1374033,466,5505,2872,1048,998,79,16%,18%,0.563,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/index,5656,7076,272009,33,4534,0.001,39.818,1986,9514,870635,322,5434,1912,628,605,48,16%,11%,0.618,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort en identiteitskaart,4928,6087,480578,413,4649,0.002,955.861,553,2886,288158,209,4818,512,804,782,98,38%,16%,1.138,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort+en+identiteitskaart,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DPaspoort+en+identiteitskaart,
verkeersbeleid/milieuzone/veelgestelde-vragen/index,4845,6568,694767,70,4562,0.001,130.538,3334,10684,930542,1425,4674,3210,2606,2496,143,43%,54%,0.654,http://www.utrecht.nl/verkeersbeleid/milieuzone/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fveelgestelde-vragen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=448,4776,6351,473955,305,5204,0.001,728.19,2249,18423,1270362,438,4619,2154,818,784,99,19%,17%,1.983,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=448,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D448,
sport-in-utrecht/zwembaden/zwembad-de-krommerijn/index,4775,6859,356742,37,4480,0.001,70.787,2742,12861,1061721,262,4636,2651,728,689,75,10%,15%,0.525,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-krommerijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-krommerijn%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=461,4571,5588,745705,63,3371,0.001,33.53,1605,4851,548909,987,4368,1479,2459,2330,163,61%,54%,0.895,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=461,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D461,
sport-in-utrecht/zwembaden/openingstijden-utrechtse-zwembaden/index,4498,5564,537114,15,3159,0.001,18.502,224,718,79523,103,4398,213,1242,1202,119,46%,28%,0.513,http://www.utrecht.nl/sport-in-utrecht/zwembaden/openingstijden-utrechtse-zwembaden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fopeningstijden-utrechtse-zwembaden%2F,
sport-in-utrecht/zwembaden/zwembad-de-krommerijn/programma-tarieven/index,4432,5640,812907,11,3373,0.001,73.925,525,1881,286387,379,4169,460,2526,2351,183,72%,57%,0.595,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-krommerijn/programma-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-krommerijn%2Fprogramma-tarieven%2F,
parkeren/parkeren-bewoner/index,4203,5913,200820,318,4262,0.001,55.72,975,8729,543601,116,4062,928,278,268,48,12%,7%,0.538,http://www.utrecht.nl/parkeren/parkeren-bewoner/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=962,4184,5240,410104,48,3684,0.002,38.314,2195,13517,1122859,398,4080,2126,792,763,98,18%,19%,0.894,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=962,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D962,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/activiteitenrooster/index,3999,4552,714901,11,2518,0.001,83.569,659,1851,255135,439,3724,571,2099,1920,179,67%,52%,0.62,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Een verhuizing doorgeven&processName=Aanvragen,3866,5072,422538,7,3867,0.002,136.761,130,1169,80531,53,3747,119,534,515,109,41%,14%,0.687,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Een+verhuizing+doorgeven&processName=Aanvragen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DEen+verhuizing+doorgeven%26processName%3DAanvragen,
verkeersbeleid/milieuzone/personen-en-bestelautos/index,3776,4839,507145,22,3576,0.001,40.795,836,2161,205641,483,3678,802,1812,1754,134,58%,48%,0.486,http://www.utrecht.nl/verkeersbeleid/milieuzone/personen-en-bestelautos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fpersonen-en-bestelautos%2F,
parkeren/tarieven/index,3746,5065,459741,51,3438,0.001,210.695,930,3842,345601,345,3666,901,1338,1304,123,37%,36%,0.586,http://www.utrecht.nl/parkeren/tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Ftarieven%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/index,3685,5138,305275,45,3192,0.001,17.771,1803,10461,815303,282,3584,1738,651,625,83,16%,18%,0.552,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/activiteitenrooster/index,3495,4028,647339,12,2154,0.001,46.041,536,2207,341169,336,3285,466,1765,1633,185,63%,51%,0.619,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
startpagina/afval-en-milieu/index,3424,4671,165664,44,3408,0.001,25.033,224,1227,86031,49,3373,215,294,285,48,22%,9%,0.458,http://www.utrecht.nl/startpagina/afval-en-milieu/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fafval-en-milieu%2F,
parkeren/parkeren-bezoeker/wanneer-betalen/index,3376,4735,497084,40,2833,0.001,31.835,1563,6588,680044,493,3251,1491,1174,1114,147,32%,35%,0.618,http://www.utrecht.nl/parkeren/parkeren-bezoeker/wanneer-betalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fwanneer-betalen%2F,
parkeren/parkeren-bezoeker/index,3242,4345,88890,33,3012,0.001,14.23,398,2059,140131,47,3204,391,187,185,27,12%,6%,0.489,http://www.utrecht.nl/parkeren/parkeren-bezoeker/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2F,
sport-in-utrecht/zwembaden/index,3240,5062,207380,59,3425,0.001,48.834,1619,11139,663465,228,3154,1583,501,492,64,14%,15%,0.511,http://www.utrecht.nl/sport-in-utrecht/zwembaden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2F,
Loket/search/searchAction.do,3226,4933,134617,241,4075,0.031,52.83,21,200,12808,1,3191,21,119,119,42,5%,4%,0.87,https://pki.utrecht.nl/Loket/search/searchAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fsearch%2FsearchAction.do,
Loket/knowledgebase/start/startPageAction.do,3120,4184,259789,73,3337,0.002,168.077,78,449,34533,33,3101,76,396,391,83,42%,13%,0.468,https://pki.utrecht.nl/Loket/knowledgebase/start/startPageAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Fstart%2FstartPageAction.do,
stadskantoor/index,3094,3920,437101,89,2881,0.001,48.17,1475,5430,491314,696,2991,1404,1341,1287,141,47%,43%,0.566,http://www.utrecht.nl/stadskantoor/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskantoor%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=aanmeldingGrofvuil,2923,3855,348384,4,2936,0.001,21.288,98,462,65420,41,2879,93,341,332,119,42%,12%,0.433,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=aanmeldingGrofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DaanmeldingGrofvuil,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/aangepast-rooster-in-april-en-mei/index,2923,3444,561987,6,1889,0.001,25.026,429,1335,176139,277,2717,385,1644,1516,192,65%,56%,0.528,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/aangepast-rooster-in-april-en-mei/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Faangepast-rooster-in-april-en-mei%2F,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=personApplicantDetails,2912,4408,177025,6,3758,0.002,32.079,13,90,3627,3,2854,13,132,130,61,23%,5%,0.699,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=personApplicantDetails,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3DpersonApplicantDetails,
stadsparken-en-landgoederen/griftpark/index,2898,3796,361440,33,2312,0.001,131.516,2072,6622,628214,830,2803,1987,1300,1242,125,40%,45%,0.645,http://www.utrecht.nl/stadsparken-en-landgoederen/griftpark/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fgriftpark%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1152,2868,3548,432033,48,2545,0.001,138.327,1212,7278,701382,386,2769,1134,763,735,151,32%,27%,3.589,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1152,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1152,
Loket/form/view/viewPageAction.do?process=prodcat&name=start,2822,3658,115987,44,3047,0.001,35.601,37,199,19486,13,2803,37,111,109,41,35%,4%,0.403,https://pki.utrecht.nl/Loket/form/view/viewPageAction.do?process=prodcat&name=start,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fform%2Fview%2FviewPageAction.do%3Fprocess%3Dprodcat%26name%3Dstart,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=deVerhuizing,2777,4507,289279,6,3943,0.003,37.44,14,89,4880,3,2727,14,145,145,104,21%,5%,0.617,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=deVerhuizing,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3DdeVerhuizing,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/index,2726,3389,135477,12,1999,0.001,28.127,833,3323,285461,186,2577,749,331,278,50,22%,12%,0.654,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=323,2572,3593,246488,11,2765,0.001,96.57,371,3261,219640,91,2499,351,418,405,96,25%,16%,1.115,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=323,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D323,
Loket/login/initLoginAction.do?forward=/cases/mycases/getAllMyCasesAction.do&failedForward=/login/loginForwardFailedDAction.do&ltype=1,2491,3265,192790,40,2725,0.001,295.816,247,1425,92038,54,2427,234,273,262,77,22%,11%,0.45,https://pki.utrecht.nl/Loket/login/initLoginAction.do?forward=/cases/mycases/getAllMyCasesAction.do&failedForward=/login/loginForwardFailedDAction.do&ltype=1,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Flogin%2FinitLoginAction.do%3Fforward%3D%2Fcases%2Fmycases%2FgetAllMyCasesAction.do%26failedForward%3D%2Flogin%2FloginForwardFailedDAction.do%26ltype%3D1,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=woonsituatie,2465,3304,267088,5,2908,0.004,25.379,29,204,12911,8,2417,28,160,154,108,28%,6%,1.595,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=woonsituatie,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Dwoonsituatie,
Loket/knowledgebase/faqs/ - Andere,2460,2861,160530,936,2322,0.001,13.994,290,1332,88903,160,1839,219,421,336,65,55%,17%,0.752,,,
startpagina/wonen-wijken-veiligheid/index,2268,3500,74958,48,2526,0.001,10.681,45,291,16407,7,2218,43,100,97,33,16%,4%,0.432,http://www.utrecht.nl/startpagina/wonen-wijken-veiligheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwonen-wijken-veiligheid%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=uwGegevens,2199,2924,210311,5,2298,0.011,20.488,35,219,37740,21,2173,32,183,177,96,60%,8%,0.479,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=uwGegevens,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DuwGegevens,
english/index,2198,3243,139973,100,2699,0.001,132.179,686,2954,180285,227,2103,643,612,581,64,33%,28%,0.729,http://www.utrecht.nl/english/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2F,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=overview,2197,2617,96057,4,2304,0.003,192.686,12,109,7401,2,2179,12,24,24,44,17%,1%,1.471,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=overview,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Doverview,
Loket/process/closeWindowAction.do,2152,2417,322395,1,1999,0.001,45.84,99,358,50084,65,2106,90,1166,1138,150,66%,54%,0.34,https://pki.utrecht.nl/Loket/process/closeWindowAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprocess%2FcloseWindowAction.do,
Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=confirmation,2143,2311,325510,3,2022,0.002,164.493,12,42,1009,5,2129,11,1267,1258,152,42%,59%,0.707,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_verhuizingdoorgeven&state=confirmation,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_verhuizingdoorgeven%26state%3Dconfirmation,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/activiteitenrooster/index,2079,2483,390911,5,1329,0.001,66.092,345,1105,171194,227,1937,288,1055,952,188,66%,51%,0.494,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
Andere,2065,2394,166984,32,2013,0.001,18.775,571,4220,310843,143,1144,152,347,173,81,25%,17%,0.992,,,
startpagina/werk-en-inkomen/index,2063,2763,79296,31,2316,0.001,26.458,172,1622,103882,29,2017,169,116,112,38,17%,6%,0.527,http://www.utrecht.nl/startpagina/werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwerk-en-inkomen%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/meivakantierooster/index,1992,2294,350205,15,1295,0.001,19.411,222,523,55475,152,1872,198,1006,932,176,68%,51%,0.578,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/meivakantierooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Fmeivakantierooster%2F,
auto/autoprojecten/monicabrug/index,1991,2886,428934,38,1643,0.001,14.078,1196,4653,541599,548,1903,1122,946,900,215,46%,48%,0.57,http://www.utrecht.nl/auto/autoprojecten/monicabrug/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fauto%2Fautoprojecten%2Fmonicabrug%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/index,1963,2643,121612,14,1715,0.001,15.687,179,1114,111297,52,1909,162,277,254,62,29%,14%,0.559,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2F,
Loket/start.do?osadcampaign=ProductenDiensten,1961,2451,95261,49,2031,0.001,152.513,367,4183,243400,33,1922,359,138,136,49,9%,7%,0.596,https://pki.utrecht.nl/Loket/start.do?osadcampaign=ProductenDiensten,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fstart.do%3Fosadcampaign%3DProductenDiensten,
Loket/prodcat/products/getProductDetailsAction.do?id=1060,1956,2438,188963,8,1720,0.001,119.031,647,5238,348871,165,1863,590,317,300,97,26%,16%,1.062,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1060,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1060,
startpagina/verkeer-en-bereikbaarheid/index,1847,2649,59412,31,1888,0.001,10.084,76,701,36768,9,1822,76,80,80,32,12%,4%,0.479,http://www.utrecht.nl/startpagina/verkeer-en-bereikbaarheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fverkeer-en-bereikbaarheid%2F,
werk-en-inkomen/uitkeringen/index,1805,2569,131740,67,2101,0.001,11.204,320,2863,248585,79,1759,307,245,239,73,25%,14%,0.506,http://www.utrecht.nl/werk-en-inkomen/uitkeringen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fuitkeringen%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,1794,2849,321357,2,2203,0.001,40.788,26,201,16884,9,1776,24,147,144,179,35%,8%,0.293,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DregistrerenGrofvuil,
Loket/prodcat/products/getProductDetailsAction.do?id=421,1781,2491,325401,72,1868,0.001,64.48,904,6360,510340,308,1683,826,590,539,183,34%,33%,1.003,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=421,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D421,
