FID,type,aanlegjaar,categorie,geometrie
O10002_Beplantingskaart_OD.14,Heesters/botanische rozen,2010,cultuurlijk,"MULTIPOLYGON (((177000.455 506125.922, 177000.811 506126.747, 177001.058 506127.62, 177001.208 506128.955, 177001.209 506129.074, 177001.073 506130.418, 177000.804 506131.385, 177000.56 506131.978, 177000.077 506132.842, 176999.499 506133.602, 176998.939 506134.171, 176998.165 506134.776, 176997.327 506135.259, 176996.535 506135.585, 176995.516 506135.847, 176994.576 506135.948, 176993.263 506135.873, 176992.197 506135.621, 176991.353 506135.286, 176990.611 506134.876, 176989.963 506134.409, 176989.357 506133.854, 176988.581 506132.893, 176988.208 506132.266, 176987.703 506131.027, 176987.487 506130.045, 176987.444 506128.432, 176987.678 506127.172, 176987.964 506126.362, 176988.589 506125.209, 176989.002 506124.656, 176989.598 506124.022, 176990.06 506123.627, 176990.932 506123.045, 176991.565 506122.73, 176992.414 506122.426, 176993.528 506122.204, 176994.68 506122.169, 176995.635 506122.288, 176996.715 506122.591, 176997.673 506123.034, 176998.105 506123.296, 176998.75 506123.776, 176999.328 506124.322, 177000.054 506125.236, 177000.455 506125.922)))"
O10002_Beplantingskaart_OD.15,Heesters/botanische rozen,1994,cultuurlijk,"MULTIPOLYGON (((177957.981 502620.426, 177957.737 502620.245, 177957.596 502620.105, 177957.485 502619.968, 177957.344 502619.741, 177957.246 502619.511, 177957.186 502619.293, 177957.155 502619.07, 177957.165 502618.711, 177957.206 502618.5, 177957.314 502618.203, 177957.419 502618.01, 177957.59 502617.719, 177957.747 502617.485, 177957.956 502617.214, 177958.143 502617, 177958.492 502616.658, 177958.887 502616.341, 177959.213 502616.124, 177959.688 502615.869, 177960.237 502615.65, 177960.699 502615.52, 177969.969 502611.7, 177976.188 502608.549, 177976.35 502608.478, 177976.546 502608.363, 177976.775 502608.176, 177976.959 502607.966, 177977.095 502607.751, 177977.213 502607.474, 177977.296 502607.025, 177977.292 502607.23, 177977.254 502607.562, 177977.208 502607.775, 177977.152 502607.968, 177977.065 502608.2, 177976.947 502608.445, 177976.833 502608.638, 177976.715 502608.806, 177976.543 502609.013, 177976.28 502609.269, 177976.091 502609.416, 177975.78 502609.611, 177975.559 502609.72, 177969.819 502613.18, 177960.549 502617.96, 177960.352 502618.102, 177960.106 502618.288, 177959.827 502618.511, 177959.466 502618.822, 177959.066 502619.198, 177958.771 502619.499, 177958.289 502620.042, 177957.981 502620.426)))"
O10002_Beplantingskaart_OD.16,Bodembedekkende heesters,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((172140.897 509302.992, 172142.063 509304.793, 172137.491 509307.753, 172136.308 509305.926, 172140.897 509302.992)))"
O10002_Beplantingskaart_OD.17,Vaste planten,2019,cultuurlijk,"MULTIPOLYGON (((177109.321 503134.32, 177109.179 503134.184, 177108.968 503133.959, 177108.695 503133.625, 177108.561 503133.439, 177108.38 503133.157, 177108.275 503132.974, 177108.135 503132.698, 177107.989 503132.359, 177107.559 503131.349, 177107.531 503131.252, 177107.535 503131.21, 177107.541 503131.185, 177107.573 503131.125, 177107.639 503131.07, 177111.859 503129.36, 177112.369 503129.21, 177113.739 503132.51, 177109.321 503134.32)))"
O10002_Beplantingskaart_OD.18,Heesters/botanische rozen,1998,cultuurlijk,"MULTIPOLYGON (((177966.676 503208.506, 177969.638 503208.416, 177969.603 503210.499, 177979.696 503210.718, 177979.74 503208.819, 177987.739 503209.004, 177981.944 503212.568, 177966.554 503212.233, 177966.676 503208.506)))"
O10002_Beplantingskaart_OD.19,Bodembedekkende heesters,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((176738.541 504836.717, 176738.986 504836.277, 176742.339 504833.204, 176746.325 504837.575, 176742.279 504841.306, 176738.262 504836.976, 176738.541 504836.717)))"
O10002_Beplantingskaart_OD.20,Bodembedekkende heesters,2000,cultuurlijk,"MULTIPOLYGON (((178175.068 503273.143, 178170.318 503272.731, 178170.144 503272.653, 178170.048 503272.414, 178170.103 503272.09, 178170.319 503271.855, 178173.022 503270.085, 178173.41 503270.001, 178173.596 503270.104, 178174.112 503270.737, 178174.285 503270.852, 178176.435 503270.922, 178176.345 503272.77, 178175.113 503272.656, 178175.068 503273.143)))"
O10002_Beplantingskaart_OD.21,Heesters/botanische rozen,1989,cultuurlijk,"MULTIPOLYGON (((177967.367 502630.206, 177967.318 502630.209, 177950.604 502633.347, 177951.041 502633.23, 177951.382 502633.127, 177951.877 502632.957, 177952.526 502632.694, 177953.146 502632.401, 177953.692 502632.105, 177954.158 502631.821, 177954.752 502631.414, 177955.271 502631.013, 177955.728 502630.619, 177956.039 502630.243, 177956.33 502629.918, 177956.57 502629.669, 177956.797 502629.448, 177957.061 502629.206, 177957.559 502628.79, 177958.102 502628.559, 177958.468 502628.418, 177958.966 502628.241, 177959.555 502628.056, 177960.035 502627.922, 177960.644 502627.776, 177961.581 502627.599, 177963.201 502627.425, 177964.088 502627.4, 177964.694 502627.816, 177965.178 502628.177, 177965.602 502628.517, 177966.078 502628.926, 177966.395 502629.216, 177966.692 502629.501, 177967.003 502629.815, 177967.15 502629.97, 177967.367 502630.206)))"
O10002_Beplantingskaart_OD.22,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((177260.939 503112.65, 177256.589 503108.84, 177256.459 503108.699, 177256.377 503108.577, 177256.33 503108.484, 177256.283 503108.355, 177256.247 503108.175, 177256.241 503108.041, 177256.268 503107.828, 177256.313 503107.683, 177256.389 503107.529, 177256.502 503107.375, 177256.614 503107.267, 177256.787 503107.151, 177256.981 503107.072, 177257.205 503107.031, 177257.334 503107.031, 177257.635 503107.094, 177257.779 503107.16, 177261.819 503110.029, 177262.279 503110.296, 177262.535 503110.424, 177262.911 503110.586, 177263.299 503110.724, 177263.663 503110.828, 177264.199 503110.94, 177264.775 503111.007, 177265.39 503111.02, 177266.109 503110.96, 177288.709 503104.02, 177289.145 503103.819, 177289.415 503103.682, 177289.793 503103.473, 177290.222 503103.207, 177290.61 503102.939, 177291.034 503102.612, 177291.509 503102.2, 177298.979 503093.74, 177299.23 503093.551, 177299.437 503093.43, 177299.78 503093.284, 177300.214 503093.181, 177300.538 503093.158, 177300.944 503093.191, 177301.362 503093.3, 177301.707 503093.456, 177302.068 503093.7, 177302.909 503094.629, 177303.093 503094.818, 177303.395 503095.083, 177303.576 503095.219, 177303.911 503095.431, 177304.414 503095.674, 177304.801 503095.808, 177305.578 503095.954, 177306.019 503095.97, 177325.688 503094.2, 177325.798 503094.229, 177325.889 503094.269, 177325.956 503094.309, 177326.018 503094.355, 177326.088 503094.422, 177326.174 503094.539, 177326.21 503094.609, 177326.255 503094.743, 177326.271 503094.852, 177326.271 503094.942, 177326.246 503095.092, 177326.215 503095.18, 177326.153 503095.294, 177326.078 503095.389, 177325.936 503095.505, 177325.824 503095.562, 177325.638 503095.608, 177298.929 503097.671, 177298.568 503097.687, 177298.237 503097.731, 177297.992 503097.782, 177297.564 503097.914, 177297.264 503098.039, 177296.896 503098.237, 177296.641 503098.406, 177296.354 503098.634, 177296.033 503098.949, 177295.809 503099.22, 177291.989 503103.93, 177291.82 503104.139, 177291.594 503104.383, 177291.256 503104.686, 177290.864 503104.966, 177290.453 503105.194, 177289.948 503105.399, 177266.799 503112.48, 177263.069 503113.17, 177262.9 503113.227, 177262.749 503113.264, 177262.603 503113.287, 177262.355 503113.3, 177262.178 503113.29, 177261.952 503113.253, 177261.73 503113.188, 177261.521 503113.099, 177261.335 503112.992, 177261.167 503112.87, 177260.939 503112.65)))"
O10002_Beplantingskaart_OD.23,Bodembedekkende heesters,2000,cultuurlijk,"MULTIPOLYGON (((172256.714 508095.73, 172258.255 508096.028, 172255.277 508111.251, 172253.068 508122.538, 172250.079 508122.004, 172249.471 508121.203, 172254.49 508095.3, 172256.714 508095.73)))"
O10002_Beplantingskaart_OD.24,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((172079.514 509167.407, 172081.497 509169.909, 172079.908 509170.927, 172065.86 509179.926, 172063.464 509176.219, 172077.49 509167.156, 172079.514 509167.407)))"
O10002_Beplantingskaart_OD.25,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((176063.388 496470.45, 176065.515 496469.977, 176066.449 496469.69, 176073.929 496474.93, 176065.889 496486.07, 176063.239 496484.17, 176067.458 496478.62, 176067.059 496477.013, 176066.677 496475.881, 176066.329 496475.028, 176065.696 496473.734, 176065.115 496472.741, 176064.538 496471.885, 176064.024 496471.205, 176063.388 496470.45)))"
O10002_Beplantingskaart_OD.26,Heesters/botanische rozen,2015,cultuurlijk,"MULTIPOLYGON (((175642.754 504889.254, 175640.808 504889.224, 175640.966 504876.405, 175642.948 504876.428, 175642.754 504889.254)))"
O10002_Beplantingskaart_OD.27,Bodembedekkende heesters,2002,cultuurlijk,"MULTIPOLYGON (((171783.718 509228.354, 171782.177 509227.38, 171784.652 509223.538, 171786.178 509224.509, 171783.718 509228.354)))"
O10002_Beplantingskaart_OD.28,Bodembedekkende heesters,2000,cultuurlijk,"MULTIPOLYGON (((172204.112 508292.041, 172205.567 508294.227, 172206.295 508295.322, 172202.171 508298.164, 172199.933 508294.861, 172204.112 508292.041)))"
O10002_Beplantingskaart_OD.29,Heesters/botanische rozen,2020,cultuurlijk,"MULTIPOLYGON (((172560.246 508729.527, 172564.227 508726.851, 172564.869 508727.814, 172554.1 508735.092, 172547.975 508739.232, 172540.088 508744.562, 172539.42 508743.561, 172541.535 508742.136, 172552.502 508734.724, 172560.246 508729.527)))"
O10002_Beplantingskaart_OD.30,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((176039.808 496692.964, 176039.953 496695.363, 176038.347 496694.714, 176039.808 496692.964)))"
O10002_Beplantingskaart_OD.31,Heesters/botanische rozen,2000,cultuurlijk,"MULTIPOLYGON (((178316.263 504573.596, 178316.828 504575.928, 178314.559 504576.473, 178314.058 504574.126, 178316.263 504573.596)))"
O10002_Beplantingskaart_OD.32,Vaste planten,2002,cultuurlijk,"MULTIPOLYGON (((172823.909 508933.94, 172825.089 508935.66, 172824.389 508936.16, 172823.109 508934.47, 172823.909 508933.94)))"
O10002_Beplantingskaart_OD.33,Heesters/botanische rozen,2010,cultuurlijk,"MULTIPOLYGON (((172968.907 509372.709, 172967.658 509370.719, 172985.495 509359.53, 172986.685 509361.392, 172968.907 509372.709)))"
O10002_Beplantingskaart_OD.34,Vaste planten,2021,cultuurlijk,"MULTIPOLYGON (((176800.879 503062.29, 176808.168 503059.269, 176808.254 503059.54, 176808.323 503059.807, 176808.375 503060.057, 176808.436 503060.476, 176808.462 503060.877, 176808.459 503061.272, 176808.433 503061.615, 176808.369 503062.04, 176808.307 503062.326, 176808.208 503062.674, 176808.118 503062.933, 176808.005 503063.211, 176807.806 503063.614, 176807.593 503063.971, 176807.424 503064.216, 176807.277 503064.408, 176807.069 503064.652, 176806.761 503064.966, 176806.442 503065.242, 176805.965 503065.583, 176805.539 503065.83, 176804.369 503066.33, 176803.198 503066.819, 176803.068 503066.849, 176802.989 503066.849, 176802.901 503066.834, 176802.797 503066.794, 176802.717 503066.741, 176802.636 503066.656, 176802.57 503066.538, 176801.029 503062.79, 176800.879 503062.29)))"
O10002_Beplantingskaart_OD.35,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((175500.917 504857.909, 175498.956 504857.726, 175500.341 504844.296, 175502.302 504844.491, 175500.917 504857.909)))"
O10002_Beplantingskaart_OD.36,Bodembedekkende heesters,2005,cultuurlijk,"MULTIPOLYGON (((173343.363 509232.42, 173349.83 509242.708, 173347.874 509243.918, 173344.446 509243.544, 173340.262 509236.897, 173341.24 509233.749, 173343.363 509232.42)))"
O10002_Beplantingskaart_OD.37,Heesters/botanische rozen,2002,cultuurlijk,"MULTIPOLYGON (((171678.129 509098.686, 171657.075 509085.051, 171664.898 509073.367, 171689.885 509080.271, 171678.129 509098.686)))"
O10002_Beplantingskaart_OD.38,Bodembedekkende heesters,2000,cultuurlijk,"MULTIPOLYGON (((172263.051 507970.372, 172269.637 507971.028, 172265.065 507996.632, 172258.747 507995.632, 172263.051 507970.372)))"
O10002_Beplantingskaart_OD.39,Heesters/botanische rozen,1996,cultuurlijk,"MULTIPOLYGON (((172499.766 508327.297, 172497.269 508323.944, 172521.924 508307.691, 172523.875 508311.146, 172499.766 508327.297)))"
O10002_Beplantingskaart_OD.40,Bodembedekkende heesters,2000,cultuurlijk,"MULTIPOLYGON (((178263.238 503243.65, 178263.27 503243.817, 178258.525 503243.675, 178258.239 503243.63, 178257.999 503243.502, 178257.846 503243.351, 178257.726 503243.142, 178257.667 503242.879, 178257.247 503240.6, 178257.236 503240.398, 178257.308 503240.215, 178257.373 503240.137, 178257.631 503240.012, 178261.784 503239.234, 178261.981 503239.16, 178262.329 503238.883, 178263.238 503243.65)))"
O10002_Beplantingskaart_OD.41,Bodembedekkende heesters,2010,cultuurlijk,"MULTIPOLYGON (((177431.819 503049.86, 177435.419 503048.43, 177446.739 503075.62, 177446.559 503077.719, 177446.087 503077.597, 177445.507 503077.398, 177444.803 503077.076, 177444.22 503076.733, 177443.681 503076.343, 177443.211 503075.932, 177442.698 503075.387, 177442.33 503074.913, 177441.872 503074.176, 177441.498 503073.365, 177441.229 503072.509, 177431.819 503049.86)))"
O10002_Beplantingskaart_OD.42,Heesters/botanische rozen,2005,cultuurlijk,"MULTIPOLYGON (((176949.099 503165.71, 176949.279 503167.63, 176945.279 503168.03, 176945.176 503166.939, 176945.099 503166.11, 176949.099 503165.71)))"
O10002_Beplantingskaart_OD.43,Bodembedekkende heesters,2019,cultuurlijk,"MULTIPOLYGON (((173242.684 509081.789, 173237.291 509073.217, 173232.852 509066.165, 173234.175 509062.956, 173236.077 509061.804, 173248.176 509081.028, 173246.57 509082.113, 173242.684 509081.789)))"
O10002_Beplantingskaart_OD.44,Heesters/botanische rozen,2003,cultuurlijk,"MULTIPOLYGON (((172690.529 508920.81, 172689.629 508919, 172690.379 508918.66, 172691.309 508920.41, 172690.529 508920.81)))"
O10002_Beplantingskaart_OD.45,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((177032.034 505118.451, 177034.766 505107, 177034.76 505104.014, 177034.546 505099.609, 177034.103 505095.333, 177033.422 505091.049, 177032.595 505087.165, 177032.114 505085.257, 177031.735 505083.88, 177031.121 505081.83, 177032.008 505070.148, 177032.263 505067.989, 177032.534 505065.7, 177032.467 505063.491, 177032.03 505061.131, 177028.649 505053.295, 177026.333 505048.985, 177024.345 505045.283, 177022.356 505041.851, 177020.556 505038.571, 177019.143 505035.862, 177017.838 505033.249, 177016.358 505030.131, 177015.213 505027.598, 177014.074 505024.956, 177012.763 505021.748, 177012.098 505020.043, 177003.413 504996.69, 177003.924 504988.968, 177004.548 504988.582, 177005.27 504988.558, 177005.615 504988.687, 177006.238 504989.348, 177007.999 504992.054, 177009.577 504991.626, 177012.336 504999.53, 177020.519 505019.724, 177028.074 505041.342, 177043.571 505090.53, 177045.205 505096.374, 177037.116 505129.837, 177036.013 505130.817, 177032.034 505118.451)))"
O10002_Beplantingskaart_OD.46,Heesters/botanische rozen,1991,cultuurlijk,"MULTIPOLYGON (((176166.523 503299.963, 176166.497 503300.126, 176164.443 503300.943, 176164.215 503300.967, 176163.881 503300.987, 176163.758 503300.99, 176163.501 503300.989, 176163.178 503300.972, 176162.988 503300.954, 176162.699 503300.916, 176162.342 503300.853, 176162.006 503300.773, 176161.431 503300.591, 176160.913 503300.373, 176160.385 503300.092, 176158.097 503299.027, 176157.634 503298.868, 176157.28 503298.77, 176156.72 503298.656, 176156.47 503298.62, 176155.963 503298.576, 176155.43 503298.57, 176154.969 503298.598, 176148.375 503298.704, 176148.519 503295.33, 176148.334 503294.477, 176148.81 503294.559, 176149.399 503294.617, 176149.911 503294.628, 176150.4 503294.606, 176151.046 503294.526, 176151.465 503294.442, 176151.837 503294.346, 176152.204 503294.231, 176152.605 503294.079, 176153.076 503293.866, 176153.353 503293.722, 176153.62 503293.568, 176153.948 503293.357, 176154.724 503292.85, 176155.255 503292.575, 176155.948 503292.289, 176156.379 503292.149, 176157.009 503291.995, 176157.858 503291.872, 176158.346 503291.846, 176158.99 503291.858, 176159.552 503291.913, 176160.025 503291.992, 176160.713 503292.162, 176161.079 503292.282, 176161.595 503292.485, 176162.036 503292.694, 176162.376 503292.881, 176162.795 503293.142, 176163.37 503293.568, 176163.741 503293.891, 176164.055 503294.199, 176164.368 503294.545, 176164.755 503295.039, 176165.053 503295.487, 176165.47 503296.258, 176165.779 503297.02, 176165.979 503297.7, 176166.523 503299.963)))"
O10002_Beplantingskaart_OD.47,Heesters/botanische rozen,2015,cultuurlijk,"MULTIPOLYGON (((175642.697 504892.979, 175642.478 504906.606, 175640.549 504906.582, 175640.747 504892.941, 175642.697 504892.979)))"
O10002_Beplantingskaart_OD.48,Bodembedekkende heesters,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((175878.853 504809.984, 175885.064 504837.95, 175882.75 504838.374, 175876.599 504810.484, 175878.853 504809.984)))"
O10002_Beplantingskaart_OD.49,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((176075.951 504829.327, 176081.327 504827.983, 176084.799 504845.455, 176079.087 504846.933, 176075.951 504829.327)))"
O10002_Beplantingskaart_OD.50,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((176064.863 504782.959, 176071.247 504781.212, 176074.943 504799.087, 176068.895 504800.7, 176064.863 504782.959)))"
O10002_Beplantingskaart_OD.51,Bodembedekkende heesters,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((177066.574 504355.559, 177067.013 504354.863, 177066.031 504345.298, 177066.769 504345.22, 177070.129 504377.88, 177088.339 504376, 177088.303 504376.789, 177088.161 504377.191, 177087.873 504377.641, 177087.461 504378.016, 177086.999 504378.255, 177086.425 504378.379, 177080.056 504378.564, 177070.752 504379.847, 177070.297 504379.822, 177070.001 504379.745, 177069.512 504379.488, 177069.216 504379.218, 177068.931 504378.791, 177068.778 504378.341, 177067.251 504362.553, 177066.574 504355.559)))"
O10002_Beplantingskaart_OD.52,Bodembedekkende heesters,2017,cultuurlijk,"MULTIPOLYGON (((172214.653 509345.618, 172215.845 509347.467, 172211.279 509350.413, 172210.095 509348.578, 172214.653 509345.618)))"
O10002_Beplantingskaart_OD.53,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((176054.274 496711.657, 176052.186 496707.006, 176051.851 496706.177, 176051.517 496705.444, 176051.022 496704.49, 176050.453 496703.53, 176050.125 496703.03, 176049.641 496702.351, 176048.96 496701.49, 176048.491 496700.953, 176048.033 496700.465, 176047.738 496700.168, 176047.254 496699.707, 176047.694 496698.836, 176048.297 496699.269, 176048.944 496699.788, 176049.548 496700.331, 176050.05 496700.83, 176050.696 496701.55, 176051.27 496702.277, 176051.692 496702.878, 176052.352 496703.967, 176052.781 496704.814, 176053.137 496705.638, 176053.494 496706.643, 176055.528 496711.994, 176054.274 496711.657)))"
O10002_Beplantingskaart_OD.54,Heesters/botanische rozen,1999,cultuurlijk,"MULTIPOLYGON (((175926.67 496314.581, 175924.299 496317.27, 175924.172 496317.372, 175923.969 496317.437, 175923.819 496317.431, 175923.558 496317.297, 175921.939 496315.8, 175920.159 496314.21, 175920.011 496314.054, 175919.955 496313.9, 175919.947 496313.818, 175920.079 496313.49, 175922.518 496310.83, 175922.645 496310.945, 175923.609 496309.96, 175927.519 496313.46, 175926.541 496314.468, 175926.67 496314.581)))"
O10002_Beplantingskaart_OD.55,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((171944.094 508919.797, 171941.189 508924.315, 171922.871 508912.753, 171922.619 508912.594, 171922.117 508910.997, 171924.452 508907.339, 171944.094 508919.797)))"
O10002_Beplantingskaart_OD.56,Bodembedekkende heesters,2005,cultuurlijk,"MULTIPOLYGON (((177274.699 502982.42, 177274.239 502982.66, 177270.199 502984.32, 177270.176 502984.324, 177270.148 502984.327, 177270.123 502984.326, 177270.109 502984.323, 177270.082 502984.316, 177270.063 502984.308, 177270.04 502984.295, 177270.019 502984.278, 177269.998 502984.255, 177269.983 502984.231, 177269.968 502984.195, 177269.95 502984.139, 177269.85 502983.899, 177269.756 502983.646, 177269.684 502983.424, 177269.617 502983.189, 177269.551 502982.917, 177269.496 502982.632, 177269.473 502982.484, 177269.444 502982.263, 177269.418 502981.954, 177269.406 502981.599, 177269.409 502981.357, 177269.419 502981.152, 177269.434 502980.961, 177269.45 502980.812, 177269.479 502980.6, 177269.509 502980.42, 177269.519 502980.35, 177269.589 502980.094, 177269.642 502979.972, 177269.715 502979.843, 177269.765 502979.771, 177269.86 502979.653, 177269.957 502979.556, 177270.051 502979.478, 177270.168 502979.401, 177270.315 502979.307, 177270.511 502979.191, 177270.639 502979.118, 177270.86 502979, 177272.719 502978.231, 177272.743 502978.218, 177272.763 502978.211, 177272.782 502978.206, 177272.798 502978.204, 177272.815 502978.203, 177272.844 502978.207, 177272.861 502978.211, 177272.894 502978.224, 177272.918 502978.241, 177272.939 502978.261, 177274.699 502982.42)))"
O10002_Beplantingskaart_OD.57,Heesters/botanische rozen,Niet ingevuld,cultuurlijk,"MULTIPOLYGON (((171836.563 508869.115, 171850.989 508846.452, 171853.491 508848.049, 171839.626 508869.913, 171840.046 508870.178, 171838.669 508870.45, 171838.164 508870.129, 171836.563 508869.115)))"
O10002_Beplantingskaart_OD.58,Bodembedekkende heesters,2003,cultuurlijk,"MULTIPOLYGON (((172307.035 508582.857, 172305.518 508583.881, 172302.888 508579.935, 172304.565 508578.819, 172307.187 508582.756, 172307.035 508582.857)))"
O10002_Beplantingskaart_OD.59,Heesters/botanische rozen,2000,cultuurlijk,"MULTIPOLYGON (((172294.866 508028.051, 172296.655 508020.455, 172304.653 508022.439, 172303.211 508030.035, 172294.866 508028.051)))"
