Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Blokplan;;;1;;;;;1
BMC Implementatie B.V.;;;4;;;;;4
Bobbe International B.V.;;;1;;;;;1
Boek/Design;;;1;;;;;1
Boels Verhuur;;;1;;;;;1
Bo-Rent;;;1;;;;;1
Bredewold Onderwijsadvies;;;2;;;;;2
Breukhoven B.V.;;;1;;;;;1
Brink Management & Advies B.V.;;;2;;;;;2
Brinkhof N.V.;;;;;1;;;1
Brize B.V.;;;4;;;;;4
Broekhuizen Communicatie;;;2;;;;;2
Brooks Instrument B.V.;;;1;;;;;1
BSA Schaderegeling B.V.;;;;;1;;;1
BTH Vastgoed B.V.;;;1;;;;;1
Bureau Common Ground B.V.;;;2;;;;;2
Bureau Hak;;;1;;;;;1
Bureau Hoekmans;;;1;;;;;1
Bureau Lahaut;;;1;;;;;1
Bureau Leeuwerink;;;2;;;;;2
Bureau Merel;;;2;;;;;2
Bureau Verwoord;;;2;;;;;2
Bureau Volk!;;;1;;;;;1
BureauSterk B.V.;;;7;;;;;7
Buro DO;;;1;;;;;1
Buro DSB zorg voor buitenkunst;;;2;;;;;2
BuroGlaap;;;1;;;;;1
Cadal Consultancy B.V.;;;;;;1;;1
Cafe Demar;;;2;;;;;2
Calumet Photographic B.V.;;;1;;;;;1
CameraNU.nl;;;1;;;;;1
Camping Het Polderbos B.V.;;;1;;;;;1
CamX Aero B.V.;;;;;;;2;2
Carl Zeiss B.V.;;;1;;;;;1
Carnyx Archaeology;;;2;;;;;2
Cartonnagefabr Succes Papiergroothand B.V.;;;1;;;;;1
Castle View Studio;;;1;;;;;1
Catering Witteveen B.V.;;;1;;;;;1
Catering Zutphen;;;1;;;;;1
Celebi Advocatuur B.V.;;;5;;4;;;5
Center for Social Issues;;;1;;;;;1
Centralpoint Amstelveen B.V.;;;1;;;;;1
Centralpoint Nijmegen B.V.;;;;;;1;;1
Centrum voor Spierziekten;;;1;;;;;1
CG B.V.;;;2;;;;;2
Chairs;;;1;;;;;1
Cheil Benelux B.V.;;;5;;;;;5
Chip Bizz B.V.;;;1;;;;;1
Chop B.V.;;;1;;;;;1
Chris Booms Fotografie;;;1;;;;;1
Cinco B.V.;;;1;;;;;1
Cinemates B.V.;;;2;;;;;2
CINOP B.V.;;;6;;;;;6
Citrus Andriessen B.V.;3;7;;;;;;7
Clickdrive Holding B.V.;;2;2;;;;;3
Clifford Electronics Benelux B.V.;;;1;;;;;1
COMPAREX Nederland B.V.;;;3;;;;;3
Compass Group Nederland B.V.;;;1;;;;;1
Compressor Service Techniek B.V.;;;2;;;;;2
Conrad Electronic Benelux B.V.;;;1;;;;;1
Constructie Bureau De Prouw B.V.;;;1;;;;;1
Coolblue B.V.;;;1;;;;;1
cooperación;;;1;;;;;1
Coöperatie Ontwikkeling Leerpark U.A.;;;1;;;;;1
Coöperatieve Unie Van Bosgroepen U.A.;;;1;;;;;1
Coralview B.V.;;;1;;;;;1
Cordes Facilitaire Diensten;;;1;;;;;1
Corinna de Regt Conservering en Restauratie;;;1;;;;;1
Crux Creaties;;;2;;;;;2
Cultural Heritage Projects;;;2;;;;;2
CultureClick;;;2;;;;;2
Culturele Vacatures B.V.;;;1;;;;;1
D&B;;;4;;;;;4
Danielle's Nanny Services;;;;;1;;;1
daniellevanderwaard;;;2;;;;;2
DARA B.V.;;;1;;;;;1
Dare To Be IP B.V.;;;2;;;;;2
Datablue;;;2;;;;;2
datonaut;;;1;;;;;1
De Baan en Dobber B.V.;;;1;;;;;1
de Boer Vrachtbescherming B.V.;;;1;;;;;1
De Fabryck-Bureau voor Gebouwhist-Onderzoek;;;1;;;;;1
De Galan Groep B.V.;;;3;;;;;3
De Groene Grachten B.V.;;;2;;;;;2
De Man Schilderijenrestauratie;;;2;;;;;2
De Processpecialisten B.V.;;;2;;;;;2
De Ridder Service Revisie en Meet B.V.;;;1;;;;;1
De Steekproef;;;3;;;;;3
De Taalstudio;;;2;;;;;2
De Transitiemaker;;;1;;;;;1
Deep B.V.;;;2;;;;;2
Defacto Automatisering B.V.;;;;;;1;;1
Den Ouden Informatiebeveiliging;;;1;;;;;1
Den Tex;;;2;;;;;2
Deviante Communicatie & Ontwikkeling;;;1;;;;;1
Dialogic Holding B.V.;;;6;;;;;6
Diamond Circle Network;;;2;;;;;2
DIG - Design Innovation Group B.V.;;;1;;;;;1
Dijkoraad R.R.G. B.V.;;;1;;;;;1
Discountoffice.nl B.V.;;1;1;;;;;1
Dive Supplies Holland B.V.;;;1;;;;;1
Div-ing. de Boer;;;1;;;;;1
DKV Euro Service Benelux B.V.;;;1;;;;;1
Dr. Michiel Scheffer Policy Innovation B.V.;;;1;;;;;1
Drukkerij Loor B.V.;;;1;;;;;1
Drukkerij-Uitgeverij Emaus vof;;;1;;;;;1
DSK Groep B.V.;;;4;;;;;4
Duhold B.V.;;;1;;;;;1
Duwtje B.V.;;2;;;;;;2
DVJ Insights IP B.V.;;;2;;;;;2
DWA B.V.;;;1;;;;;1
East Side Productions B.V.;;;2;;;;;2
Ebbinge B.V.;;;3;;;;;3
EBSCO Information Services B.V.;;;3;;;;;3
ECD;;;1;;;;;1
Ecologisch Adviesbureau Maes;;;1;;;;;1
Ecorys B.V.;;;5;;;;;5
Ecovation B.V.;;;1;;;;;1
Edcor Sneltransport B.V.;;;1;;;;;1
E-duc;;;2;;;;;2
EduContinu;;;1;;;;;1
EIK Certificering B.V.;;;1;;;;;1
Elanor B.V.;;;2;;;;;2
EMMA Communicatie B.V.;;;1;;;;;1
Engels;;;1;;;;;1
Entreecollege Tilburg;;;3;;;;;3
Ernst & Young Accountants LLP;;;;;;;1;1
Ernst & Young Actuarissen B.V.;;;;;;;2;2
Essen, Sociale Strategie;;;1;;;;;1
Etcetera Producties;;;2;;;;;2
Etos;;;3;;;;;3
Eurometrics;;;1;;;;;1
European Labour Forum;;;1;;;;;1
European Work Agency;;;3;;;;;3
EventInsight B.V.;;1;;;;;;1
Evers Research & Training;;;1;;;;;1
every media;;;2;;;;;2
EVO Fenedex;;;1;;;;;1
Exar Capital B.V.;;;2;;;;;2
Experian Nederland B.V.;;;1;;;;;1
EY Advisory Netherlands LLP;;;;;;;2;2
Falke & Verbaan B.V.;;;1;;;;;1
Famka Beheer B.V.;;;2;;;;;2
Fawaka Ondernemersschool B.V.;;;1;;;;;1
Fisher Emergo B.V.;;;1;;;;;1
Fotostudio FdW;;;1;;;;;1
Fraai;;;1;;;;;1
Frank Koppen Diving;;;2;;;;;2
Franka I. Blok research&curating;;;2;;;;;2
Franklin Electric Holding B.V.;;;2;;;;;2
FRConsulting B.V.;;1;;;;;;1
Fred Voncken Strategisch Advies;;;1;;;;;1
Freek van den Bergh Fotografie;;;1;;;;;1
Friendly Fire B.V.;;;1;;;;;1
Frigo Breda B.V.;;;1;;;;;1
Frits Lintmeijer;;;1;;;;;1
Future Motions;;;1;;;;;1
G84;;;2;;;;;2
GB Legwerk B.V.;;;1;;;;;1
Genootschap voor Aesthetica;;;1;;;;;1
Gerlach Art Packers & Shippers;;;3;;;;;3
Glasatelier Oud Rijswijk B.V.;;;1;;;;;1
Goossen Aviation;;;2;;;;;2
Gordion Cultureel Advies;;;3;;;;;3
GoSpooky B.V.;;;1;;;;;1
GP-Staffing B.V.;;;4;;;;;4
Gran Mercado B.V.;;;1;;;;;1
Green Archaeology;;;2;;;;;2
Green Napkin;;;1;;;;;1
Greep Management en Organisatie Ontwikkeling;;;1;;;;;1
Griffel & Bok;;;2;;;;;2
GW Cross Media B.V.;;;1;;;;;1
H.J. Ferwerda Loonbedrijf;;;1;;;;;1
H.J.G. Diving;;;2;;;;;2
Handels- en Expeditiemaatschappij Beldock;;;2;;;;;2
Hans Roggen Fotografie;;;1;;;;;1
Hansie Forever Foundation;;;1;;;;;1
Harderwijk Maritiem;;;2;;;;;2
Harel Leipzig B.V.;;;1;;;;;1
Harm-Ydo;;;1;;;;;1
Harold van Velsen;;;1;;;;;1
Harvey Nash B.V.;;;3;;;;;3
HaskoningDHV Nederland B.V.;;;2;;;;;2
Heidi de Gier;;;1;;;;;1
Hekkelman Notarissen N.V.;;;1;;;;;1
Helpr.nl B.V.;;;1;;;;;1
Heritage Hands On, Expertise and Entrepr.ship;;;1;;;;;1
Het Erasmus Centraal Bureau;;;2;;;;;2
Het Onderwijskantoor;;;;;1;;;1
Het Overzicht B.V.;;;1;;;;;1
Het Schrijfhuis;;;1;;;;;1
Het zusje van Danny;;;2;;;;;2
Hevo B.V.;;;2;;;;;2
Higher Edge Consultancy;;;1;;;;;1
Hinke Sigmond;;;1;;;;;1
Hogeschool der Kunsten Den Haag;;;2;;;;;2
Hogeschool Windesheim;;;4;;;;;4
Hollandse Hoogte B.V.;;;1;;;;;1
Hondenschool Groningen;;;2;;;;;2
Hotel Breukelen;;;1;;;;;1
Hotel de Plataan B.V.;;;1;;;;;1
Houtschild Internationale Boekhandel B.V.;;;1;;;;;1
Houtwerk B.V.;;;1;;;;;1
Huiskamercafé Westerwijtwerd;;;2;;;;;2
HumanCapitalCare B.V.;;;1;;;;;1
Hutspot;;;2;;;;;2
HVK Stevens Belastingadvies B.V.;;;2;;;;;2
HVR PA/PR;;;2;;;;;2
Hypercube Business Innovation B.V.;;;2;;;;;2
Hytech;;;2;;;;;2
I AM REDO;;;1;;;;;1
I.R.A. Martin;;;1;;;;;1
IBC Logistics Center B.V.;;;3;;;;;3
Icat Textielrestauratie B.V.;;;1;;;;;1
Iconic Houses Foundation;;;1;;;;;1
Iddink Learning Materials B.V.;;;3;;;;;3
Ideeaanzee B.V.;;;1;;;;;1
Imming Logistics Fine Art B.V.;;;1;;;;;1
In Tangible Arts & Heritage Consultancy;;;1;;;;;1
in60seconds B.V.;;;2;;;;;2
Inbrain B.V.;;;2;;;;;2
Industrial Physics Inks & Coatings B.V.;;;1;;;;;1
Infotopics B.V.;;;;;;1;;1
ING Commercial Finance B.V.;;;1;;;;;1
Ingeborg Hofman;;;1;;;;;1
Ingeborg van der Ven;;;2;;;;;2
Ingrado;;;1;;;;;1
Injoin;;;1;;;;;1
Inkesta B.V.;;;1;;;1;;1
Inst. for Hous. and Urban Devel. Stud. B.V.;;;2;;;;;2
Installatiebedrijf Stienezen-Wanders B.V.;;;1;;;;;1
Intenscent;;;1;;;;;1
Interlabshop B.V.;;;1;;;;;1
Intermax B.V.;;;1;;;;;1
Interscience B.V.;;;1;;;;;1
Interspiro B.V.;;;2;;;;;2
Investiga B.V.;;4;;;;;;4
Isabel van Lent;;;1;;;;;1
Isero Rotterdam Ceintuurbaan;;;1;;;;;1
Isolatiebedrijf Zirkzee B.V.;;;1;;;;;1
IT-Staffing Nederland B.V.;;;;;;1;;1
IVEM;;;1;;;;;1
J. Bredius;;;1;;;;;1
J. Toeter Consultancy;;;;;;;1;1
Jafari Natuursteen B.V.;;;1;;;;;1
jan berkvens consultancy;;;3;;;;;3
Jenny Boulboullé;;;2;;;;;2
Jil Care Art Collections;;;2;;;;;2
JMB Paintings Conservation;;;1;;;;;1
Jojanneke Clarijs Cultuurhistorie;;;1;;;;;1
Josje Deekens Fotografie;;;2;;;;;2
Judith Oudshoorn advies en projectmanagement;;;2;;;;;2
Juf Blackbird;;;3;;;;;3
Justiniana;;;;;;1;;1
K.V. O.N.D.O;;;1;;;;;1
KaapZ B.V.;;;3;;;;;3
Kamera Express;;;2;;;;;2
Kamera Express Groningen B.V.;1;;;;;;;1
Karen Welling;;;2;;;;;2
Kerament;;;1;;;;;1
Kila Taaltraining;;;1;;;;;1
Kind & Co;;;1;;;;;1
Klaasen Support;;;1;;;;;1
KlattOil;;;1;;;;;1
Klimaraad;;;2;;;;;2
Kobatt Benelux B.V.;;;1;;;;;1
Koeture;;;2;;;;;2
Koffie en Thee Bergen op Zoom;;;4;;;;;4
Kon. Ned. Veren. van Informatieprofessionals;;;1;;;;;1
Konica Minolta Sensing Europe B.V.;;;1;;;;;1
Koninklijke Moorman Karton Weesp B.V.;;;1;;;;;1
Kraay Nijkerk B.V.;;;1;;;;;1
Kramer Conservation;;;1;;;;;1
Kreuger in Kultuur;;;1;;;;;1
Kris Kras Design B.V.;;;1;;;;;1
Kroon Metaalrestauratie;;;1;;;;;1
Krop en Kool;;;1;;;;;1
Kunsten '92;;;3;;;;;3
Kwink Groep B.V.;;;3;;;;;3
L & A Freight B.V.;;;1;;;;;1
L5 communicatie + design;;;;1;;;;1
Laheij V.O.F.;;;1;;;;;1
Landelijke Kamer van Verenigingen;;;2;;;;;2
Land-ID B.V.;;;2;;;;;2
Lara Voerman;;;2;;;;;2
Lasaulec B.V.;;;1;;;;;1
Laura Polder;;;1;;;;;1
Laura van der Haar;;;1;;;;;1
LeadsOn;;;3;;;;;3
Leitz Service B.V.;;;1;;;;;1
Lift Quality B.V.;;;1;;;;;1
Lijst 37;;;1;;;;;1
Limburg Winkel;;;2;;;;;2
Linde Gas Cryoservices B.V.;;;1;;;;;1
Linde Gas Therapeutics Benelux B.V.;;;1;;;;;1
LK online marketing & communicatie;;;1;;;;;1
Logistiek Specialist B.V.;;;1;;;;;1
Long John;;;1;;;;;1
Louwsma Beheer B.V.;;;1;;;;;1
Loxam B.V.;;;1;;;;;1
LS;;;1;;;;;1
Lucas Duiksport B.V.;;;1;;;;;1
Luctor et Victor;;;2;;;;;2
Lux Elements GmbH & Co. KG;;;1;;;;;1
LW2;;;1;;;;;1
M. Wijsman;;;1;;;;;1
M.S. Orion;;;1;;;;;1
Maatschap Biax Consult;;;2;;;;;2
Machinehandel Teygeler B.V.;;;2;;;;;2
Mainpress B.V.;;;1;;;;;1
Mansystems Nederland B.V.;;;;;;1;;1
Margareta Svensson fotografie;;;3;;;;;3
Marian Hellema;;;1;;;;;1
Marie Anne Remmelink;;;1;;;;;1
Marieke Duijsters Fotografie;;;1;;;;;1
Mariënhof Amersfoort B.V.;;;1;;;;;1
Maritime Trans International;;;1;;;;;1
Marko Diving;;;1;;;;;1
Markteffect Sportmarketing Research B.V.;;;2;;;;;2
Marleen Wagenaar;;;1;;;;;1
Marree Administratie;;;1;;;;;1
Martijn Wensink;;;1;;;;;1
mateco B.V.;;;1;;;;;1
Max Results Consultancy;;1;;;;;;1
Mazars Paardekooper Hoffman;;;1;;;;;1
Mbits;;;2;;;;;2
McKinsey & Company Netherlands;;;5;;;;;5
MDI Consultants;;;3;;;;;3
ME: Managing Education;;;1;;;;;1
Meetingselect B.V.;;;4;;;;;4
M-Effect;;;;1;;;;1
Metals Inc. - Onderz. in archeologie en kunst;;;1;;;;;1
Metalsub;;;1;;;;;1
MetrixLab Nederland B.V.;;;1;;;;;1
Metrohm Nederland B.V.;;;1;;;;;1
Michel Renses h.o.d.n. Makelaarnu Stadskanaal;;;6;;;;1;6
Mike Bink Fotografie;;;1;;;;;1
Mirion Technologies (Dosimetry Services) B.V.;;;1;;;;;1
mirjamelizabeth;;;1;;;;;1
mirjamvanderlinden - totaal;;;3;;;;;3
Mischief Makers B.V.;;;1;;;;;1
MLA+ B.V.;;;1;;;;;1
Mondial Movers B.V.;;;2;;;;;2
Moned;;;1;;;;;1
Monique Staal, Papierrestauratie;;;2;;;;;2
Montaña Communicatie;;;1;;;;;1
Montheron;;;2;;;;;2
MOOi;;;1;;;;;1
MORE;;;1;;;;;1
More Result;;;2;;;;;2
Mr M.J. Meijer Notarissen N.V.;;;1;;2;;;2
MS Marine;;;4;;;;;4
Mts. Neef-Keulen;;;1;;;;;1
Mutopia B.V.;;;2;;;;;2
MWM2 B.V.;;;3;;;;;3
Nationale Archeologiedagen;;;1;;;;;1
Nederlands Foto Instituut;;;1;;;;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;3;;;;;3
Nel Verhoeven Onderzoeksconsultant;;;1;;;;;1
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;1;;;;;1
Netcompany Netherlands B.V.;;;7;;;;;7
New Age Financial Services;;;1;;;;;1
NeXTLearningValley B.V.;;;2;;;;;2
Neyzen Communicatie Advies & Management;;;1;;;;;1
NIBUD;;;2;;;;;2
Niek Pronk;;;1;;;;;1
Niios Personeel B.V.;;;5;;;;;5
NMF Erfgoedadvies B.V.;;;2;;;;;2
NoProtocol B.V.;;;1;;;;;1
Normec Certification B.V.;;;1;;;;;1
Noviprint B.V.;;;1;;;;;1
NRG;;;1;;;;;1
Oberon B.V.;;;7;;;;;7
Ockham - IPS (Institute for Policy Support);;;2;;;;;2
OCLC B.V.;;;2;;;;;2
OD Solutions Nederland B.V.;;;1;;;;;1
Odding & Polder B.V.;;;2;;;;;2
Olieonline.com B.V.;;;1;;;;;1
Onderdelenbalie.nl;;;1;;;;;1
Onderwijs Maak Je Samen Advies & Training BV;;;2;;;;;2
Onderzoek met Effect;;;1;;;;;1
OnlyHuman Groep B.V.;;;3;;;;;3
Opticon Benelux Naarden B.V.;;;2;;;;;2
Optima Forma B.V.;;;1;;;;;1
Ordina Business Consulting & Solutions B.V.;;;2;;;;;2
Orion B.V.;;;1;;;;;1
Osage Beheer B.V.;;;1;;;;;1
Otten+;;2;;;;;;2
O-Utrecht;;;1;;;;;1
Over Onderwijs Gesproken B.V.;;;2;;;;;2
P.V. Lidwina;;;1;;;;;1
Pacific Diving B.V.;;;1;;;;;1
Panteia B.V.;;;4;;;;;4
Partners Van Beekveld & Terpstra Holding B.V.;;;7;;;;;7
Pasado Presente;;;1;;;;;1
PBT;;;6;;;;;6
PE Fotostudio B.V.;;;1;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;3;;;3
Pelser Groep B.V.;;1;;;;;;1
Penta Educatief;;;4;;;;;4
Penta Rho Organis. Ontwikkelt Huisvest. B.V.;;;4;;;;;4
Penta Scope B.V.;;1;;;;;;1
Pepperfield B.V.;;;1;;;;;1
Periplus Archeomare B.V.;;;2;;;;;2
PerkinElmer Nederland B.V.;;;2;;;;;2
PETRACON;;;2;;;;;2
Phronese training en advies;;;1;;;;;1
PHYSITEC B.V.;;;1;;;;;1
Pica Archeologie;;;2;;;;;2
Pictogrammenwinkel;;;1;;;;;1
Picturae B.V.;;;2;;;;;2
PlasBossinade Notarissen N.V.;;;;;2;;;2
Poly-Service B.V.;;;1;;;;;1
PosadMaxwan;;;3;;;;;3
Pot Opslag/Logistiek B.V.;;;4;;;;;4
Presenter B.V.;;;4;;;;;4
Pretrans;;;1;;;;;1
Pricewaterhousecoopers Advisory N.V.;;3;7;;;;;7
PricewaterhouseCoopers Pens.Act.Ins.Srv.;;;2;;;;;2
Prima Focus;;;1;;;;;1
Privacy Company B.V.;;1;3;;;;;3
Pro Track B.V.;;2;;;;;;2
Pro-Erfgoed;;;1;;;;;1
Profilex B.V.;;;1;;;;;1
Projecten & Advies Aspha Bijnaar;;;2;;;;;2
PromoPodium B.V.;;1;;;;;;1
Protinus IT B.V.;;3;2;;;;;4
Prummel Meubelen;;;1;;;;;1
Publiquest, de Communicatie Coöperatie U.A.;;;1;;;;;1
Quintor B.V.;;;;;;3;;3
R. Schermer B.V.;;;1;;;;;1
R. van Leeuwen;;;1;;;;;1
R.C. Berkel;;;1;;;;;1
R.O.B. Reclame Ontwerp Bureau B.V.;;;1;;;;;1
Raadgevend Ing.bur. Wiertsema & Partners B.V.;;;2;;;;;2
Raap Archeologisch Adviesbureau B.V.;;;5;;;;;5
Raccoon Serious Games B.V.;;;1;;;;;1
Ravas Europe B.V.;;;1;;;;;1
Reaco;;1;;;;;;1
Rederij de Kampioen B.V.;;;1;;;;;1
Regioplan Beleidsonderzoek B.V.;;;6;;;;;6
Reinwardt Academie;;;2;;;;;2
Reisaco B.V.;;;1;;;;;1
Renée van Tulder;;;1;;;;;1
ResearchNed B.V.;;;7;;;;;7
Restauratieatelier Mandy Slager;;;2;;;;;2
Rho Adviseurs B.V.;;;3;;;;;3
Rijksmuseum Volkenkunde;;;1;;;;;1
RINO Training en Advies B.V.;;;1;;;;;1
Rob Gieling Fotografie;;;1;;;;;1
ROC Amsterdam;;;1;;;;;1
Rocaille B.V.;;;1;;;;;1
Roerda B.V.;;;1;;;;;1
Roland Berger B.V.;;;2;;;;;2
Rolf Visuele Communicatie;;;1;;;;;1
Rolski- en Langlaufclub Amstelland;;;1;;;;;1
Ronald de Groot Sport;;;1;;;;;1
Rosa Boute;;;2;;;;;2
Ruben Schipper Fotografie;;;1;;;;;1
Ruth Visser;;;1;;;;;1
S. Evren;;;1;;;;;1
Sander Jorn Vermeulen;;;1;;;;;1
Sanders Sign;;;1;;;;;1
Save and Care B.V.;;;1;;;;;1
SB Advies Sociale Vraagstukken;;;1;;;;;1
SB4 Bur. voor Hist.Tuinen Parken en Landsch.;;;2;;;;;2
Scheeres Handelmaatschappij B.V.;;;1;;;;;1
Schilderijenrestauratie den Brok;;;1;;;;;1
Schokland en water;;;1;;;;;1
Scholten MTO;;;1;;;;;1
Schrijftolk Sandra;;;1;;;;;1
SCM Company B.V.;;1;;;;;;1
Sdu Uitgevers B.V.;;;1;;;;;1
Sea Ranger Service B.V.;;;2;;;;;2
Seats2Meet.com Utrecht B.V.;;;1;;;;;1
Sebert Trillingstechniek B.V.;;;2;;;;;2
Senza Tea Company B.V.;;;2;;;;;2
SG Verpakkingen B.V.;;;1;;;;;1
Shipwreck Information Northsea;;;1;;;;;1
SHR B.V.;;;2;;;;;2
Significant APE B.V.;;;2;;;;;2
Significant Public B.V.;;;5;;;;;5
Siko B.V.;;;1;;;;;1
SiRM Culture B.V.;;;2;;;;;2
SMCAcademy;;;1;;;;;1
Socab;;;;;;;1;1
Solits B.V.;;;1;;;;;1
Solvinity;;;1;;;;;1
Soundfocus B.V.;;;1;;;;;1
Spaander Restauratie Uurwerken en Speeldozen;;;1;;;;;1
SpectraPartners B.V.;;;2;;;;;2
SPITZ congres & event B.V.;;;4;;;;;4
Spranq;;;2;;;;;2
St. Atria, kennisinst. emancip./vr.geschied.;;;3;;;;;3
St. Cultuurkaartcentrale;;;7;;;;;7
St. Fryske Underrjocht Kommisje Afûk;;;1;;;;;1
St. Vrienden Basisschool De Zonnebloem;;;1;;;;;1
Stadscafé De Observant;;;1;;;;;1
Stam Autobedrijven B.V.;;;3;;;;;3
Stand-in Fin;;;1;;;;;1
Star Bonaire B.V.;;;1;;;;;1
Starsound Productions Exploitatie B.V.;;;1;;;;;1
StartHubs;;;1;;;;;1
SteenhuisMeurs Vennebroek B.V.;;;1;;;;;1
STERIS;;;1;;;;;1
Steunpunt Monumentenzorg Fryslân;;;1;;;;;1
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;;3;;;;;3
Stg. Erkenningsregeling Schoenherstellers;;;2;;;;;2
Stg. Kenniscentrum Center People & Buildings;;;2;;;;;2
Sticht. Beheer Derdengelden Van Boom Advocat.;;;1;;;;;1
Sticht. Depostiary APG Infrastruct. Pool 2012;;;5;;;;;5
Sticht. Steentijd Onderzoek Nederland (STONE);;;1;;;;;1
Stichting Accessibility;;;;;;2;;2
Stichting Archives Portal Europe Foundation;;;;;;1;;1
Stichting BBK;;;1;;;;;1
Stichting Beheer Oostzijderkerk Zaandam;;;1;;;;;1
Stichting Behoud Moderne Kunst;;;2;;;;;2
Stichting Berlagehuis Usquert;;;1;;;;;1
