Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
Expo Display Service;;;;;;;;1;1
Expostoreonline Com;;;;;;;1;;1
File2Share;1;;3;;2;;;;3
Finalist IT Group;;;3;;;;;;3
FIP Media B.V.;;;;;;;;1;1
Firmm Information&Service Design;;;;;;;1;;1
For Conference;;;;;;1;1;1;1
Formzet Grafimedia;;;;;;;2;;2
Forrester Research;;;;;6;;;;6
FORSITE MEDIA;;;1;;;;;;1
Forwardit;;;;;1;;;;1
Franke Interim Management;;;;;;;;2;2
Freedom Scientific Benelux;;;;1;1;;;;2
Fujitsu Technology Solutions (vh Fujitsu Siemens);1;2;;;3;2;;;4
Gannexion;;;;;;;1;;1
Gartner;;;;;;;;1;1
GBBO;;;1;;;;;;1
Gefelicitaart;;;;;;;;1;1
GEMORO;;;1;;;;;;1
Genesys;;;;5;3;;;;6
Geodan Holding;;;1;;;;;;1
Globrands Consultancy Group B.V.;;;;;;;;2;2
Grafisch Bureau van Erkelens;;;1;;;;1;;2
GRAPHIX VISIONS;;1;2;;;;;;2
GTS-Online;;;1;;;;;;1
Haagsblauw/Jean Cloos Art Direction;;;;;;;1;;1
Hampshire Hotel;;;;;;;;1;1
HARTMAN EN JACQ FOTOGRAFEN;;;;;;;1;;1
HATCHFUND NL;;;1;;;;;;1
Headfirst;;;;;;;;2;2
Hecla Groep;;;2;;;;;;2
Hega Offset;;;;;;;1;;1
HELDER HOSTING;;;1;;;;;;1
Heliview;;;;;;;;1;1
Herberg De Drie Linden;;;;;;;;1;1
Het NIC - Nederlands Inkoop Centrum;;;;;;;;2;2
Heuvelman Sound & Vision;;4;5;;;;;1;5
Hiemstra Communicatie;;;;;;;;1;1
Hippo;;;1;;;;;;1
HOEZO! Projectmanagement en Congresorganisatie;;;;;;;;1;1
Holland Service Koeriers;;;;;;;;1;1
Hollandse Hoogte;;;;;;;1;;1
Hotel Zwolle;;;;;;;;1;1
HP Hewlett Packard (incl. Autonomy, Verity);;1;;4;5;;;2;5
HTA Software;;;;;1;;;;1
HTM Hollandse Telecommunicatie Maatschappij;;;;;;;1;;1
HUISWERK ADVIES EN PROJECTEN;;;;;;;1;;1
Hulskamp Audiovisueel;;2;;;;;;;2
Ibis Software (vh Brink Automatisering, KPD Automatisering);1;;2;;2;;;;2
IBM (incl. Cognos);;;;;8;;;;8
Ice Concepts;;;;1;;;;;1
Igluu Workspace For Professionals;;;;;;;;1;1
ILOCOM;;;;;;;2;;2
Impactive;;;1;;;;;;1
Indocs;;;;2;;;;;2
Infoprojects;;;3;;;;;1;3
ING Bank;;;1;;;;1;;1
ING Commercial Finance;;1;;;;;;;1
Innovero Software Solutions (incl. FormDesk);;;2;;;2;;;2
Insightsworld;;;1;;1;;;;1
INSPRING MEDIA;;;1;;;;;;1
Interlinie;;;;;;;1;;1
Intermax;;;;;2;;;;2
INTERNETPEOPLE;;;2;;;;;;2
Involon;;;;1;;;;;1
Iovio;;;;;2;;;;2
Iris-International;;;1;;;;;;1
IS Group (vh Nxs Internet);;;;1;1;;;1;1
IS Interned Services Groep;;;2;;;;;;2
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;3;1;;;7;7
Itannex Building Solutions Provider;;;;;2;;;;2
ITAQ Interim Professionals;;;;;;;;6;6
Itera;;;;;1;;;;1
iWelcome;;;;;2;;;2;3
Jaarbeurs Utrecht;;;;;;;;1;1
Jansen Brasserie;;;;;;;;1;1
JKS Sneltransport;;;;;;;;1;1
Joh. Enschedé Stamps;;;;;;;1;;1
Kahuna Network Solutions;;2;;;1;;;;2
Kampert en Helm (incl. K&H, Rotaform);;;;;;;;4;4
KBenP (Koenen, Baak en Partners);;;4;;;;;;4
Kick Automatisering;;1;;;;;;;1
Koeriers.COM bv;;;;3;;;;;3
Komplot;;;1;;;;;;1
Koning & Hartman;;1;;;;;;;1
Kooi Management & Advies;;;;;1;;;;1
KPMG;;;3;;2;;;3;4
KPN (incl. Getronics, PTT Telecom);3;;2;2;7;1;7;7;8
KPN Lokale Overheid (vh Gemnet);;;;2;4;;1;;4
KSMT Design;;;2;;;;1;;2
Kubus Architectural Solutions;;;;;1;;;;1
Laverbe;;;3;;;;;;3
LDC Uitgeverij;;;;;1;;;;1
Leene Communicatie (incl. Leene.txt);;;;;;;2;;2
Limoen Groen;;;;;;;;1;1
Logeion Vereniging Voor Communicatie;;;;;;;1;;1
LOGIN;;;3;;;;;;3
LookAt B.V.;;1;;;;;;;1
Lost Lemon;;;1;;;;;;1
LPBL;;;;;;;2;;2
Lumenz Talentontwikkeling (incl. Om de hoek);;;;;;;;1;1
Luna.nl;1;;;;;;;;1
Lust;;;3;;;;;;3
Lyreco Nederland (vh Ahrend Office Products);;1;;;;;;;1
Maarten Slooves;;;;;;;1;;1
MAC2;;1;2;;;;;;2
Magna Carta;;;;;;1;;;1
Mahieu Web Development;;;1;;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;1;;;;;;;1
Management Drives Opleidingen;;;;;1;;;;1
Mangrove;;;;2;;;;;2
Manutan (vh Overtoom International);;2;;;;;;;2
Maters & Hermsen Journalistiek en Opleidingen;;;;;;;3;;3
Mavim Holding;1;;;;;;;;1
Maxd'Oro;;;;;;;;2;2
MEAN IT Consultancy;;;;;;;;1;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;;;;;;1;;1
Mediacenter Automatisering;;;;;;;1;;1
MessageBird;;;;;;;1;;1
Metri Group;;;;;;;;2;2
Metrixlab;;;;;;;;2;2
Microsoft (incl. Technet);;;;;2;;;;2
MIDI Projectmanagement Support;;;;;;;;1;1
Mies Tekst en Training;;;;;;;1;;1
Mihos;;;;;;;;1;1
Mijndomein.nl;;;;1;;;;;1
MILVUM;;;3;;;;;;3
Misco Nederland;;1;;;;;;;1
Misco Solutions (vh SCC Services);1;6;;;5;;1;;7
MMM Interactieve Communicatie;;;;;2;;;;2
Mobilee Consultancy;;;2;;;;;;2
MonoMessage;;;;;;;;1;1
Mos & Spetter, piano's/gitaren;;;1;;;;;;1
MSI Communication;;;;;;;;1;1
Mwm2;;;1;;;;;;1
MyBrand;;1;;;;;;;1
Mycom Nederland;;1;;;;;;;1
Myriadm;;;1;;;;;;1
Nationale Beeldbank;;;;;;;1;;1
NEC Nederland;;;;;2;;;;2
Ned Ver voor Burgerzaken;;;;;;;;1;1
Nederlands Dagblad;;;;;;;1;;1
Nederlands Instituut voor Beeld en Geluid;;;;;;;1;;1
Net Q - Netquestionnaires Nederland;;;;;2;;;;2
Netcreators;1;;;;2;2;;1;2
NETWERK DEMOCRATIE;;;;;;;1;;1
Networking4All;;;;2;;;;;2
Neverrest;;;;;;;;1;1
New Babylon Meeting Center;;;;;;;;2;2
NewTelco;;;;;;;1;;1
NFGD Audiovisuele Technieken;;;1;;;;1;;1
NH Hotels (incl. Nhow hotels);;;;;;;;2;2
Nieman Adviesburo;;;;;;;1;;1
NL NET;;;;;;;;1;1
NoRisk KeyManagement (Traka);;1;;;1;;;;1
Nota Bene;;;;;1;;;;1
Novaccent (incl. Dataccent, INfraccent);;;;;1;;;;1
NSD International Etipost;;1;;;;;;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;;;2;;2
OBUG Oracle Benelux User Group;;;1;;;;;;1
OGD Software;;;;;;;;4;4
One Shoe;;;;2;;;;;2
ONESTO AUTOMATISERING;;;1;;;;;;1
ONTWERPBUREAU 10;;;;;;;1;;1
Onz Restaurant;;;;;;;;1;1
Oogvereniging Nederland;;;;;;;;1;1
OOiP;;;;2;;;;;2
Optima Forma;;;;;;;2;;2
Or.nl Internetdiensten;;;;;;1;;;1
Oracle;;;;;7;;;;7
Orcavoice;;;;;;;1;;1
Ordina (incl. Be Value, Clockwork);;;;;7;;1;7;8
Otys;;;;;2;;;;2
Oud London Catering-Hotel-Restaurant;;;;;;;;1;1
Paapstvandam;;;;;;;2;;2
Panteia (incl. Stratus, Consult, Eim, Research Voor Beleid, NEA);;;;1;;;;2;2
Papendal Hotel en Congrescentrum;;;;;;;;2;2
Paralax;;;;;2;2;;2;3
Paraplu Muziekcafé;;;;;;;;1;1
Pardon Consult (vh Wassenaar Consult);;;1;;1;;;2;2
Parkerhouse Finans, Svea Finans;;;;;5;;;;5
Partners + Pröpper;;;1;;;;;;1
Pavlov Bar Restaurant;;;;;;;;1;1
PBLQ (HEC, ROI, Zenc);2;;;;;;;5;5
Pcextreme;;;1;;;;;;1
PDC Informatie Architectuur;;;1;;;;;;1
Pelicatta Comm;;;;;;;;1;1
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);;;;;;;;1;1
Pinewood Automatisering;;;;;3;;;;3
Pink Elephant (vh Nobel);;;;2;3;;;2;4
Planon;;;;;4;;;;4
Plusport;;;;;2;;;;2
Poortvliet Fotografie;;;;;;;1;;1
Portland Distribution Benelux;;;1;;;;;;1
Postcode.nl;;;1;;1;;;;1
PQR;;4;;3;5;;;;5
Prime Contact;;;2;;;;;;2
Prindustry;;;;;1;;;;1
Procura;;;;;;;1;;1
Protinus It;1;6;2;;6;3;1;;7
Provarix (vh Supporting Colours);;;1;;;;;;1
Public Cinema;;;;;;;2;;2
Public Creation;;;;;;;3;;3
PVIB Platform Voor Informatiebeveiliging;;;;;;;;1;1
PWC PriceWaterhouseCoopers;;;;;;;;4;4
Qidos;;;2;;;;;;2
Quint Wellington Redwood;;;;;2;;;;2
Quovadis Trustlink;;;;1;2;;;3;4
R.M. Schippers & Zn;;;;;;;1;;1
Raatwerk;;;1;;;;;;1
Rajapack;;1;;;;;;;1
Randstad Group (incl. Tempo Team, P/Flex);;;;;;;;2;2
RBIT Informatica;;;2;;;;;;2
Reclamestudio Guthschmidt;;;;;;;1;;1
Redrum Bureau;;;;;;;2;;2
Regardz (incl. Iassociate);;;;;;;;1;1
Regas;;;;;5;;;;5
Relatics;;;;;1;;;;1
Retriever;;;;;1;;;;1
Rhinofly;;;;;;;;7;7
Ricoh Groep (incl. Nashuatec, NRG);;;3;;1;;;;4
Rikkers infographics;;;;;;;;1;1
Rittal;;1;;;;;;;1
Rom;;;;;;;2;;2
Sabel Communicatie;;;;;;;4;1;4
Sabern;;;;;2;;;;2
SAP Nederland;;;;6;7;;;1;7
Scansys Vision;;;;;1;;;;1
SCHLEIJPEN EN LEATEMIA;;;;;;;1;;1
Scholten Awater & Partners;;3;;;5;;;;6
Schuttelaar & Partners;;;2;;;;;;2
Scope Business Media;;;;;1;;;;1
SDU - Service Centrum Uitgevers;;;7;2;;;7;;7
Seats2meet.com;;;;;;;;1;1
SEBE EMMELOT;;;;;;;1;;1
Sense Organisatie & Coaching;;;;;;;;1;1
Sevensteps;;;1;;;;;;1
Shafts Design;;;;;;1;;;1
SHL Nederland;;;;;5;;;;5
SIDN Stg. Internet Domein;;;;1;;;;;1
Signet;;;;;;;1;;1
Sira Consulting;;;;;;;2;;2
Sitex Electronics;;1;;;;;;;1
SLTN (vh Inter Access);;;;;2;2;;4;4
Snijder Plan- en Adviesburo;;;;;;;1;;1
Software AG Nederland;;;;2;1;;;;2
Sogeti Nederland;;;;;6;;;7;7
SolidWare Consultancy;;;;;;;;1;1
Soundfocus;;;;;;;;1;1
Spaces Rode Olifant;;;1;;;;;;1
Spize Asian Bistro Restaurant;;;;;;;;1;1
Square Information Systems;;;4;;;;;;4
Stabiplan;;;;;2;;;;2
STB Automatisering & Advies;;;2;;;;;;2
Stec Groep;;;;;;;2;;2
Stedin (vh Eneco Netbeheer, Mdds);;;;;;;;3;3
Steinmetz Advies;;;;;;;1;;1
STELLAR DATA RECOVERY;;;1;;;;;;1
Stg STABU Standaardbestek Burger- en Utiliteitsbouw;2;;;;1;;;;2
Stichting Exploitatie Sassenpoort;;;;;;;;1;1
Stichting ISSO;;;;;1;;;;1
Stichting Pleio;;;;;;;;1;1
Stichting Simplerinvoicing;;;;;;;;1;1
STICHTING SOCIAL ENTERPRISE;;;;;;;1;;1
Stichting Stimular;;;2;;;;;;2
Stichting voor de jaarverslaggeving;;;;;;;;2;2
Stipte (vh Scarlet Telecom);;;;;1;;;;1
Stream, leven en werken met passie (Jane Coerts);;;2;;;;;;2
Strict;;;;;;;;2;2
Studio 3005;;;1;;;;;;1
STUDIO EYAL EN MIJRTHE;;;1;;;;;;1
Studio Platz;;;;;;;1;;1
STUDIO RED187;;;1;;;;;;1
Sumatra Software;;;;;1;;;;1
Swis;;;2;;;;;;2
Symantec;;;;;1;;;;1
Systeemhuis Compri;;;;;2;;;;2
TAALSMID;;;;;;;1;;1
Talmundo Netherlands BV;;;;;1;;;;1
Tangram Automatisering;;;2;;;;;;2
Tappan Communicatie;;;;;;;;2;2
Technosoft;;;;;1;;;;1
Tele2 (incl. Versatel, BBeyond);;;;;1;1;5;;5
Telecom Service Groep;;1;;;;;;;1
Telindus (incl. ISIT, 2-Store);;5;;;6;;;2;6
Textinfo;;;;5;;;;;5
The Boston Consulting Group;;;;;;;1;;1
The Twins;;;;;;;;1;1
TIE Nederland;;;;;;;;2;2
Tijssen Theaterproducties;;;;;;;;1;1
TimeTell;;;;;2;;;;2
T-Mobile Netherlands;;;;;;1;;;1
Toon op TV;;;;;;;1;;1
Topbloemen Nederland;;;;;;;;1;1
Topdesk;;;;;1;;;;1
Trends Telematics;;;;;1;;;;1
Triple P Nederland;;;;;3;;;;3
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;;;;;;1;;1
Ultimoo Incasso;;;;;;1;;;1
UPC Nederland;;;;;;;1;;1
Uptrends;;;;;1;;;2;2
Urbanet;;;1;;;;;;1
Vabi Vereniging voor Automatisering in de Bouw en Installatietechniek;;;;;2;1;;;2
Van Buttinghawichers Notarissen;;;;3;;;;;3
VCD Groep (incl. Automatisering/Business Inteligence/Css);;;;1;1;;;;1
VCK Groep, Travel & Logistics;;;;;;;;1;1
Veldwerk Beheer;;;;;;;1;;1
Verheul Communicatie;;;1;;;;;;1
Verizon Nederland (incl. VB Verizon Business);;;;;;;4;;4
Verschoor Boekbinderij;;;;;;;1;;1
Vertaalbureau Perfect;;;;;;;;1;1
Vertical Vision;;;;;;;1;;1
Viadesk;;;;;3;;;;3
Video Schaay Avs Techn Handelsond;;1;;;;;;;1
Vip Internet;;;1;;;;;;1
Vitasys (incl. FastWell Office Automation);;2;1;;;;;;2
VKA Verdonck Klooster & Associates;;;;;;;;5;5
VLIEGENMEPPER PRODUCTIONS;;;;;;;1;;1
Voc Uitgevers;;;;;;;1;;1
Vodafone (incl. Libertel);;1;;;;;7;2;7
Voice Corp Webservices (incl. Readspeaker);;;;;1;;;;1
Webhelp Nederland;;;;;;;;7;7
Webscale;;;;;;;;1;1
Webservices.nl;;;;;1;;;;1
Weer een Los;;;;;;;1;;1
Westbury It Services;;;;;2;;;;2
WESTERS ARCHITECTUUR EN STEDENBOUW;;;2;;;;;;2
Wifac (vh PDF Diensten&Systemen);;;;;1;;;;1
Witschge - van Reijen Taaladvies;;;;;;;1;;1
WITTENBURGH INFORMATION SECURITY;;;1;;;;;;1
Wolters Kluwer (incl. Kluwer);;;;;;;1;;1
Wonderland Film;;;;;;;;1;1
WORTH IT WEBDEVELOPMENT;;;2;;;;;;2
WWPLUS;;;4;;;;;;4
Xerox;1;7;3;;1;;1;3;7
X-pact Stichting Beheer Derdengelden;;;;1;;;;1;1
XS4ALL Internet;;;;;;1;1;;1
YuMe Sushi & Grill;;;2;;;;1;;2
Yune;;;;;;;2;;2
Zaalverhuur 7;;;;;;;;1;1
Zcene Moving media company;;;;;;;;1;1
Zenitel;;;;1;;;3;;3
Ziggo (vh Casema);;;;;1;;3;;3
Zwaar Contrast;;;;;;;;1;1
ZYLON INTERNET SERVICES;;;1;;;;;;1
Eindtotaal;7;8;8;7;10;6;8;11;12
