Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Den Hartog B.V.;;1;;;;1
Den Ouden-Woonflair;;1;;;;1
Denios B.V.;;1;;;;1
Doedijns B.V.;;;;;1;1
Donkergroen B.V.;;1;;;;1
Dräger Medical Netherlands B.V.;;1;;;;1
Dräger Nederland B.V.;;;;;1;1
DTZ Zadelhoff Property Management B.V.;;;;;4;4
Dutch Water Tech B.V.;;;;;1;1
Dyzle Operations B.V.;;1;;;;1
ECR Nederland B.V.;;;;;2;2
Eijkelkamp Soil & Water B.V.;;;;;1;1
EKB Groep B.V.;;1;;;;1
Elektrotechnisch Bureau Verweij B.V.;;2;;;;2
Elscolab B.V.;;;;;1;1
ENGIE Serv. West vestiging Capelle a/d IJssel;;2;;;;2
Eriks B.V.;;;;;1;1
Erkon Engineering B.V.;;;;;1;1
Facility Service;;;;;1;1
Farnell (Netherlands) B.V.;;;;;1;1
Firestopsupply B.V.;;1;;;;1
Flora Limburg;1;;;;;1
Gerco Brandpreventie B.V.;;1;;;;1
Gerritse IJzerwaren;;;;;1;1
GMC-Instruments Nederland B.V.;;1;;;;1
Green Fortune Nederland B.V.;;1;;;;1
Grondboorbedrijf Haitjema B.V.;;1;;;;1
Harryvan Holding B.V.;;1;;;;1
HaskoningDHV Nederland B.V.;;;;;4;4
Hecla Electronics B.V.;;1;;;;1
Heijmans Wegen Hovenier B.V.;;2;;;1;2
Het NIC B.V.;;2;;;;2
Homij Technische Installaties B.V.;;5;;;;5
Hotel Contact B.V.;1;;;;;1
Huisartsenpraktijk Tolliusstraat B.V.;;;;;1;1
HVAC Klimaattechniek & Onderhoud;1;;;;;1
IBK Service & Onderhoud B.V.;;;;;1;1
Imtech Building Services;;5;;;1;5
Ingenieursbureau Broomans B.V.;;1;;;;1
Installatiebedrijf Gebroeders Dijs B.V.;;2;;;;2
Intab Benelux;;;;;1;1
Interscience B.V.;;;;;1;1
Jan Abrahams Hovenier B.V.;;1;;;;1
Jelmer Valk;;1;;;;1
Jos Scholman Groen B.V.;;2;;;;2
Kalibra International B.V.;;1;;;;1
Kent Nederland B.V.;;;;;1;1
Klussenbedrijf J.W.K.;;1;;;;1
Koel- en Vrieshuis Klaas de Jong B.V.;;;;;1;1
Kone B.V.;;1;;;;1
Koninklijke van der Most B.V.;;1;;;;1
LA Biosystems B.V.;;;;;1;1
LabBio Technology B.V.;;1;;;;1
Leertouwer B.V.;;1;1;;;1
Luijten Groentechniek B.V.;;1;;;;1
Luna Glass Tinting;;1;;;;1
Manutan B.V.;;;;;2;2
MC IJsselmeerziekenhuizen Holding B.V.;;;;;1;1
Meiko Nederland B.V.;;1;;;;1
Metrohm Applikon;;;;;1;1
Mondial Movers B.V.;;2;;1;;2
MOvactor B.V.;;;;;1;1
Noviprint B.V.;;;;;1;1
Novon Benelux B.V.;;1;;;;1
Nsecure B.V.;1;;;;;1
O&M-Movianto Nederland B.V.;;;;6;;6
Olympus Nederland B.V.;;;;;1;1
Poly Temp Scientific;;;;;1;1
Poolster B.V.;;;;;2;2
Property Solutions B.V.;;;2;;;2
Protinus IT B.V.;;;;;1;1
Rebo B.V.;;;;;1;1
Regel Partners B.V.;;1;;;;1
Reisswolf Heesch B.V.;1;;;;;1
Rentokil Initial (Holdings) B.V.;;1;;;;1
Rentokil Initial B.V.;;1;;;;1
Ritom Beveiligingstechniek B.V.;;1;;;;1
Rodesta B.V.;;;;;1;1
RS Components B.V.;;;;;1;1
Satellietkantoor Utrecht;;;2;;;2
Siemens Nederland N.V.;;1;;;;1
Sita Ecoservice;;;;1;;1
Smeba Brandbeveiliging B.V.;;;;;1;1
Stedin;;;1;;;1
Stedin Meetbedrijf;;;1;;;1
STEK;;;;;1;1
Stichting Administratiekantoor Kropman;;;;;1;1
Stichting Almoss;3;;;;;3
'Stichting Diabetes Fonds';2;;;;;2
Stichting Vrienden van MeanderOmnium;;;;;1;1
SVH Beveiligingstechniek B.V.;;;;;1;1
Technische Unie B.V.;;;;;2;2
Teun de Haan Beheer B.V.;;2;;;;2
Top Movers Nederland B.V.;;;;4;;4
Toyota Material Handling Nederland B.V.;;;;;1;1
Traject IT Cable Management B.V.;;1;;;;1
TWS Technologies B.V.;1;;;;;1
UTS Hersevoort Zwolle B.V.;;;;2;;2
UTS International (Europe) B.V.;;;;2;;2
Vako;;3;;;;3
Van Beek Verhuizingen/v.d. Kuil Verhuizingen;;;;1;;1
Van der Voort Amsterdam Lucht en Milieu B.V.;;;;;1;1
Van Dijk De Meern B.V.;;1;;;;1
Van Egmond Systems B.V.;;;;;1;1
Van Gansewinkel B.V.;1;;;;;1
Van Reekum Materials B.V.;;;;;1;1
Van 't Net B.V.;;;;1;;1
VCK Logistics;;;;1;;1
Veiligheidstechniek Nederland B.V.;;;;;1;1
Veldhoen + Company B.V.;;1;;;;1
Vink Lisse B.V.;;;;;1;1
Voorneveld Dienstverlening;;1;;;;1
Waternet, Spaklerweg;;;;;1;1
WorkSphere;;4;;;;4
World Courier Holland B.V.;;;;1;;1
Xtnt;1;;;;;1
Zetes B.V.;;;;;1;1
Eindtotaal;4;7;7;7;9;9
