Leverancier;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Frans Pos Media;1;;;;;1
Freek van den Bergh Fotografie;;;;;1;1
Friesch Dagblad B.V.;1;;;;;1
Fruto internet, concepts & design;;;;;1;1
Funfactory050 B.V.;;;;1;;1
Future Communication Consultants B.V.;;;;;3;3
Future Motions;;;;;2;2
Gamestudio Marthijn;;;;;1;1
Geertje Korf;;;;;1;1
Geschenk met Verhaal B.V.;;;1;;;1
Goossen Aviation;;;;1;;1
GoSpooky B.V.;;;;;1;1
GW Cross Media B.V.;1;;;;;1
H.J.M. Zonderland Fotografie;;;;;1;1
Hageman Party Catering Haaglanden;;;;1;;1
Hans Roggen Fotografie;;;;;1;1
Hans Tak;;;;;1;1
Happy Planet;1;;;;;1
Hartontwerpt;;;;;1;1
Hawkeye Vertalingen & Redactie;;1;;;;1
Hein Post Wijnen Gastronomie;;;1;;;1
Henneman Strategies B.V.;;;;1;;1
Heren 5 Architecten B.V.;;;;;1;1
Heritage Hands On, Expertise and Entrepr.ship;;;;;1;1
Het Financieele Dagblad B.V.;1;;;;;1
Het Overzicht B.V.;;;;;2;2
Het Parool B.V.;1;;;;;1
Het Podcast Kantoor;1;;;;;1
Het Schrijfwezen;;;;;1;1
High-end Heritage;;;;;2;2
Hoger Onderwijs Persbureau B.V.;1;;;;;1
Hollandse Hoogte B.V.;;;;;1;1
Hostnet B.V.;;;;;1;1
Hotel de Tabaksplant B.V.;;;;1;;1
Huiskamercafé Westerwijtwerd;;;;;2;2
Human Touch Photography;;;;;1;1
HVKP (Handwerk Vormgeving Kunst Produktie);1;;;;;1
I-Deas Usergroup;1;;;;;1
Imageselect B.V.;1;;;;;1
IN productie;;;;;1;1
in60seconds B.V.;;1;;;3;3
Incassobureau Plaggemars;1;;;;;1
ING Bank;;;;;1;1
ING Commercial Finance B.V.;1;;1;;1;1
Instondo Beheer B.V.;1;;;;;1
Insyde B.V.;;;;;1;1
Intakt B.V.;;;;;1;1
Interior Archives B.V.;1;;;;;1
International Card Services B.V.;1;;;;;1
Involve B.V.;;;;;2;2
IPMA - NL;1;;;;;1
Isaca;1;;;;;1
IVEM;;;;;1;1
J. Speelman;;;;;1;1
J.T. Hof Fotografie;;;;;1;1
Jaarbeurs B.V.;;;;1;;1
Jaco Boer Journalistieke Produkties;;;;;1;1
Janita Tabak Organisatieadvies/ Dagvoorzitter;;;;1;;1
Jelmer de Haas fotografie;;;;;1;1
JMB Paintings Conservation;;;;;1;1
John Nurminen Prima;;;;;1;1
Joost projecten B.V.;;;;;1;1
Josje Deekens Fotografie;;;;;1;1
Judith de Bruijn B.V.;;;;;1;1
Kai Dieho Camera;;1;;;1;1
Kees Swart fotografie;;;;;1;1
Kendrick;;;;;1;1
Kerkfotografie;;;;;1;1
Kiekebooo;;;1;;;1
Klantcontact Boosters B.V.;;;;;1;1
Klomp Bizzprint B.V.;;;1;;;1
Kloosterhof Dressuur B.V.;1;;;;;1
Kon. Verenig. van Archivarissen in Nederland;1;;;;;1
Konag V.O.F.;1;;;;;1
Koninklijke van der Most B.V.;;;;;1;1
Koninklijke van Gorcum B.V.;1;;;;1;1
KPN B.V.;;;;;1;1
Kris Kras Design B.V.;;;;;1;1
Laheij V.O.F.;;;;;1;1
Landelijke Studentenvakbond;;;;;1;1
Lanzfeld B.V.;1;;;;;1
Lara Voerman;;;;;1;1
Lars van den Brink Photography;;;;;1;1
Laura Overbeeke;;;;1;;1
Le Strasbourg;;;;1;;1
Leene Communicatie;;;;;2;2
Leon Giesen;;;;1;;1
LessonUp B.V.;;;;;1;1
Levend Verleden Utrecht;;;;1;;1
LexisNexis Benelux;1;;;;;1
Liefers Infra Support;;;;;1;1
Lilian Jansen Communicatie;;;;;4;4
LiveComfort;;;;;2;2
Logeion;1;;;;1;1
Louisa Vijfschaft Juridisch Advies;;;1;;;1
LQT;;;;;2;2
Magenta Communicatieprojecten B.V.;1;;;;;1
Main Sales Europe B.V.;;;1;;;1
MainGrounds;;;;;1;1
Mainpress B.V.;2;;;;;2
Makkinga Meets;;;;1;1;1
Malik Ivan ontwerp en visualisatie;;;;;2;2
Marbles;;;;1;;1
Marc Driessen Media;;;;;1;1
Marcel van den Bergh Fotojournalist;;;;;1;1
Marie Anne Remmelink;;;;;1;1
Marieke Duijsters Fotografie;1;;;;1;1
MARIEKE MAAKT;;;;;1;1
Marlies Claasen, presentatie & muziek;;;;;2;2
Matthieu Maas;1;;;;;1
MatZwart;;;;;3;3
MCW Studio's B.V.;;;;;1;1
Media Info Groep B.V.;1;;;;;1
Mediawerf;1;;;;;1
Medical Workshop B.V.;;;;;1;1
Meetingselect B.V.;;;;3;;3
Merlijn Doomernik Photographer;;;;;1;1
Metin Seven;;;;;1;1
mettTaal tekst en redactie;;;;;1;1
Michel Mees Fotografie;;;;;1;1
Milena Mulders Cultuur en Journalistiek;;;;;1;1
Mindbus B.V.;1;;;;;1
mirjamelizabeth;;;;;2;2
Moduli Print B.V.;;;;;1;1
Monique Staal, Papierrestauratie;;;;;1;1
Monique van der Steen Fotografie;;;;;1;1
Monumentenadvies.nl;;;;;1;1
MTSA Technopower Projectrealisatie B.V.;1;;;;;1
Murray Media C.V.;1;;;;;1
Museale Meerstemmigheid;;;;;1;1
nai010 uitgevers/publishers;;;;;2;2
Nap Studio;;;;;4;4
NDC mediagroep B.V.;1;;;;;1
Nederlands Fotogenootschap;1;;;;;1
Nederlandse Vereniging van Munthandelaren;1;;;;;1
Nederlandse Vereniging van Wiskundeleraren;1;;;;;1
Nederlandse Vereniging voor wetgeving;1;;;;;1
Neve;1;;;;;1
NewTeam B.V.;;;;1;;1
Neyzen Communicatie Advies & Management;;;;;1;1
Nico Schouten;;;;;1;1
NLJUG B.V.;1;;;;;1
Nonkel;;;1;;;1
Noreda;1;;;;;1
Notuleerservice Nederland B.V.;;;;;1;1
NRC Media;1;;;;1;1
NVS-NVL schooldecanen, loopbaanbegel.;1;;;;;1
OBJEKTIV;;;;;1;1
OBT B.V.;;;;;2;2
Office Style;;;;;2;2
Offspring;;;;2;;2
OIB Leerhotel B.V.;;;;1;;1
OnlyHuman Groep B.V.;;;;;4;4
Ontdeknet;;;;1;;1
Ontwerpwerk B.V.;;;;;2;2
Optima Forma B.V.;;;;;1;1
Oubelkas Communications B.V.;;;;1;;1
Paagman B.V.;1;;;;;1
Pardon Consult;1;;;;;1
PDC Informatie Architectuur B.V.;;;;;2;2
Peterboer.com;;;;;1;1
Petra Appelhof Fotografie;;;;;1;1
PH5 tekst en organisatie;;;;;2;2
Platvorm;;;;;1;1
Portanje;;;;;2;2
PPT Solutions B.V.;;;;;1;1
Presenter B.V.;;;;;1;1
Prima Focus;;;;;1;1
Primera Den Haag;;;1;;;1
Printservice Lowie Kopie Tilburg;;;;;1;1
Prosu Media Producties B.V.;1;;;;;1
Public Cinema B.V.;;;;;1;1
Public Data Services B.V.;1;;;;;1
Publiek Denken;1;;;;1;1
QILZ;;;;;1;1
Quantes B.V.;;;;;1;1
Quatro-j Beleidscommunicatie;;;;;1;1
Raap Archeologisch Adviesbureau B.V.;;;;;2;2
Reijers Communicatie B.V.;1;;;;;1
Rendement Uitgeverij B.V.;1;;;;;1
Rene Verleg Fotografie;;;;;1;1
Rinske Smid;;;;;2;2
Rob Gieling Fotografie;;;;;1;1
Rob Jastrzebski;;;;;1;1
Roerda B.V.;;;;;1;1
Rolski- en Langlaufclub Amstelland;;;;;1;1
RTV Monitor B.V.;;;;;2;2
Ruben Schipper Fotografie;;;;;1;1
S. Evren;;;;;1;1
Sam van Oosten fotografie;;;;;1;1
Sander Ummelen Advies;;;;2;;2
Sandra van Uffelen Visagie;;;;;1;1
Schipper Bosch Projecten B.V.;;;;1;;1
Schokland en water;1;;;;1;1
Schrijfschap;;;;1;;1
SCM Company B.V.;;;;;2;2
Sdu Uitgevers B.V.;1;;;;;1
Securitech Expertise B.V.;;;1;;;1
Senovo IT Ltd.;1;;;;;1
Shipwreck Information Northsea;;;;;1;1
Shopmade B.V.;;;;;1;1
Sidestone Press;;;;;1;1
Simon Heijmans;;;;;2;2
Site Grond B.V.;1;;;;;1
SkillsTown B.V.;;;;;1;1
Slices Tinker B.V.;;;;;1;1
Smart.pr B.V.;;;;;1;1
Soeterbroek Advies;;;;;1;1
Spanish Translator;1;1;;;1;2
SPEAKAP B.V.;;;;;2;2
SPITZ congres & event B.V.;;;;1;;1
Spoker B.V.;1;;;;;1
Sprekershuys B.V.;;;;1;;1
Springer Media B.V.;1;;;;;1
St. International Institute for Humanization;1;;;;;1
Stadscafé De Observant;;;;1;;1
Starsound Productions Exploitatie B.V.;;;;;1;1
SteenhuisMeurs Vennebroek B.V.;;;;;1;1
Stefi Dinamik;;;;;2;2
Stg. Adm.kant. Nrd. Nederl. Drukk. Hold.;1;;;;;1
Stg. Nederlands Instituut voor Beeld & Geluid;1;;;;2;2
Stg. ProDemos - Huis voor dem. en rechtsstaat;1;;;;;1
Stg. Zakenvrienden Rijksmuseum van Oudheden;;;;;2;2
Stichting A.I.E.S.E.C.-Groningen;1;;;;;1
Stichting Accessibility;;;;;2;2
Stichting ANP Foundation;1;;;;1;2
Stichting Beheer Synagoge;;;;1;;1
Stichting Cultureel Erfgoed Zeeland;;;;1;1;1
Stichting Cultuur Inventarisatie;;;;;1;1
Stichting Erfgoed Grote of Lebuinuskerk;;;;1;;1
Stichting Erfgoedhuis Zuid-Holland;;;;;1;1
Stichting Gilde Amersfoort;;;1;;;1
Stichting het Rijksmuseum;;;;2;;2
Stichting Internat. Perscentrum 'Nieuwspoort';1;;;;;1
Stichting Keti Koti Tafel;;;;;1;1
Stichting Matrijs;;;;;1;1
Stichting Migratierecht Nederland;1;;;;;1
Stichting Museumpeil;1;;;;;1
Stichting Nederlandse School Cochabamba (NSC);;1;;;;1
Stichting New Urban Collective;;;;;1;1
Stichting NUT (Nieuw Utrechts Toneel);;;;1;;1
Stichting Open Recognition Nederland;;;;1;;1
Stichting Pictoright;;;;;1;1
Stichting Recruiters United;1;;;;;1
Stichting Reprorecht;;;;;1;1
Stichting Service Excellence;1;;;;;1
Stichting Spaarnestad Photo;;;;;1;1
Stichting Welkom in de Kerk;;;;2;;2
Stichting Werelderfgoed Kinderdijk;;;;1;;1
Studio Flek;;;;;2;2
Studio Geert Gratama;;;;1;;1
Studio Lammert Jonkman;;;;;2;2
Studio Pothoff concept creatie fotografie;;;;;1;1
SUPPORT MEDIA B.V.;1;;;;;1
Suzanne Bieshaar;;;;;1;1
suzanne fischer;;;;1;;1
Synergique;;;;;1;1
Taal en Teken;;;;;1;1
TD Films;;;;;1;1
Teamvorm B.V.;;;;1;;1
Tegenwind Grafisch Ontwerpburo;;;;;2;2
Tekstlab;;;;;1;1
Tekstverwerkingsservice Pauptit;;;;;1;1
Telegraaf Media Groep N.V.;1;;;;;1
TGV Teksten en Presentatie;;;;;1;1
Thales Nederland;;;;;1;1
The Overdressed Archeologist & Editor;;1;;;1;1
Thedge B.V.;;;;;1;1
ThiemeMeulenhoff B.V.;1;;;;;1
Thijs Geritz Animatie & Illustratie;;;;;1;1
Things To Make And Do B.V.;;;;;2;2
Thonik B.V.;;;;;2;2
Tijdlab;;;;;2;2
Timmer & Meijer V.O.F.;;;;;1;1
Tineke Dijkstra Fotografie;;;;;1;1
Tinker Imagineers B.V.;4;;;;;4
Tintelingen B.V.;;;3;;;3
Tony's Chocolonely Nederland B.V.;;;;1;;1
Topgeschenken Nederland B.V.;;;1;;;1
Trouw B.V.;1;;;;;1
Truman Amsterdam B.V.;;;;;1;1
Trust Krediet Beheer (TKB);;;;1;;1
TWENTYFIVE MEDIA;;;;;1;1
Uitgetypt.nl;;;;;1;1
Uitgeverij Blauwdruk B.V.;1;;;;2;2
Uitgeverij Bosma;1;;;;;1
Uitgeverij Educom;1;;;;;1
Uitgeverij Paris B.V.;1;;;;;1
Uitgeverij Sarphati;1;;;;;1
Uitgeverij Stormsteen;1;;;;;1
Uitgeverij Verloren B.V.;;;;;1;1
Uitgeversmaatschappij Walburg Pers B.V.;1;;;;;1
Ultimoo Incasso B.V.;;;;;1;1
Unicon Maxtension B.V.;;;;;1;1
uNiek-Design;;;;;2;2
UPG;;;;;1;1
Urban City Guide;;;;;2;2
V.O.F. Promis;;;;;2;2
Vakmedianet Management B.V.;1;;;;;1
Van der Kroft Events;;;;1;;1
Van Deventer B.V.;1;;;;;1
Van Kralingen B.V.;;;;;1;1
Van Reenen Onderzoeksbureau voor Bouwhistorie;;;;;1;1
Van Stockum, Belinfante & Coebergh B.V.;1;;;;;1
Van Vliet Film Company;;;;;1;1
VDZ Klantenservice B.V.;1;;;;;1
Vecon, Ver. Lerar. i.d. Econ.-Maatsch. Vakken;1;;;;;1
Ver. voor Klachtrecht in de publieke sector;1;;;;;1
Vera Funke Spreken en Schrijven;;;;;1;1
Verdraaide Organisaties B.V.;;;;1;;1
Vereniging Deltametropool;;;;;1;1
Vereniging Nationale Monumentenorganisatie;;;;1;2;2
Vereniging Nederland Filantropieland;1;;;;;1
Vereniging NLT;1;;;;;1
Vereniging vrienden van Hoppe;1;;;;;1
Verhuurbedrijf-Westerhuis B.V.;;;;1;;1
Vestigia B.V.;;;;;1;1
Vicky Producties;;;;;1;1
Victor de Stuersstichting;;;;2;3;3
Videm Communicatie;;;;;3;3
Vinbo B.V.;1;;;;;1
Vis en Chips;;;;;1;1
Visschedijk Totaal;;;;;1;1
Vitamines4you;;;1;;;1
VONC Communicatie B.V.;;;;1;;1
Vorm Vijf Ontwerpteam Holding B.V.;;;;;4;4
VVV Business B.V.;;;1;;;1
W. van Harten V.O.F.;;;;;1;1
Wageningen Economic Research;1;;;;;1
Wallaart & Kusse Public Affairs;;;;;1;1
Ward Bezemer Communicatie;;;;;3;3
WAUW;;;;;1;1
WBooks B.V.;1;;;;1;1
Weia Tan;;;;1;;1
Weleer erfgoedcommunicatie,presentatie&advies;;;;;1;1
What Elles?;;;;;1;1
Wijz werkt!;;;;;1;1
William van Giessen;;;;;2;2
Wirtz, Film & Experience Agency B.V.;;1;;;3;3
Worcflow;;;;;1;1
Wouter van der Sar Photography;;;;;1;1
Xerox (Nederland) B.V.;1;;;1;5;5
Yau-buro;1;;;;;1
Eindtotaal;5;2;3;5;7;7
