OBJECTID,SPOORAFSTAND,SPOORTAK_A,SPOORTAK_B,TYPE,DEKKING,DATUM_SPOORTAK_A,DATUM_SPOORTAK_B,GEOCODE_SPOORTAK_A,GEOCODE_SPOORTAK_B,KM_GEOCODE_SPOORTAK_A,KM_GEOCODE_SPOORTAK_B,SPOORNAAM_SPOORTAK_A,SPOORNAAM_SPOORTAK_B,VERMENIGVULDIGINGSFACTOR,BOOGSTRAAL_A,BOOGSTRAAL_B,VERKANTINGSVERSCHIL_HOEK_A_B,HOOGTEVERSCHIL_A_B,Shape__Length
17,3.971,002_355AR_51.4,002_347BV_50.7,Exact_naar_Exact,Volledig,2021/08/02 23:19:45+00,2022/09/20 22:12:16+00,002,002,51.444466,51.44447,355A,355B,4.5,,,,,3.97096777247058
18,3.773,002_355AR_51.4,002_355AL_51.4,Exact_naar_Exact,Volledig,2021/08/02 23:19:45+00,2022/09/20 22:12:16+00,002,002,51.475552,51.475464,w355AR-w357BL,355B,4.5,,,,,3.77320444847612
19,3.976,002_355BV_51.5,002_355AR_51.4,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,51.499633,51.49963,w355BV-w357AV,w355AR-w357BL,4.5,,,,,3.97616710161935
20,3.987,002_357AL_51.5,002_355AR_51.4,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,51.539555,51.539551,357A,w355AR-w357BL,4.5,,,,,3.98676808705999
21,3.791,002_357AR_51.5,002_355AR_51.4,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,51.549314,51.549216,357A,w355AR-w357BL,4.5,,,,,3.79048387940115
22,3.796,002_357AR_51.5,002_357AL_51.5,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,51.62278,51.622878,357B,w357AL-sLE,4.5,,,,,3.79618475050939
23,4.256,002_357BV_51.6,002_357AL_51.5,Spoortakdeel_naar_Spoortak,Onjuist,,,002,002,51.635985,51.635966,357B,w357AL-sLE,4.5,,,,,4.25616618214092
24,3.784,002_357BV_51.6,002_357AL_51.5,Exact_naar_Exact,Onjuist,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,63.5743,63.574262,sLF-w373L,sLE-w373R,4.5,,,,,3.78376333826523
25,4.296,002_385R_68.2,002_385L_68.2,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2014/02/04 13:26:08+00,002,002,68.39567,68.395668,w385R-s241,w385L-s242,4.5,,,,,4.29586635034192
26,4.448,002_391R_68.9,002_385L_68.2,Exact_naar_Exact,Volledig,2022/10/31 21:59:37+00,2021/08/02 23:19:45+00,002,002,68.848862,68.848847,243,242,4.5,,,,,4.44836605058532
27,4.492,002_391R_68.9,002_385R_68.2,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,68.899357,68.899408,243,241,4.5,,,,,4.4919320620419
28,4.491,002_391V_68.9,002_385R_68.2,Exact_naar_Exact,Volledig,2022/10/31 21:59:37+00,2021/08/02 23:19:45+00,002,002,68.905431,68.905317,w391V-w393V,241,4.5,,,,,4.4907655405287
29,4.492,002_393L_68.9,002_385R_68.2,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,68.910053,68.909937,393,241,4.5,,,,,4.49230430959435
30,4.181,002_393R_68.9,002_385R_68.2,Exact_naar_Exact,Volledig,2021/08/02 23:19:45+00,2021/08/02 23:19:45+00,002,002,68.920626,68.920452,393,241,4.5,,,,,4.18092929861293
31,4.178,002_393R_68.9,002_393L_68.9,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2022/09/20 22:12:16+00,002,002,68.960443,68.960615,395,w393L-sLB,4.5,,,,,4.17825916501119
32,3.589,002_395V_69.0,002_393L_68.9,Exact_naar_Exact,Volledig,2022/09/20 22:12:16+00,2021/08/02 23:19:45+00,002,002,75.44427,75.444304,LC,LB,4.5,,,,,3.58895723713727
33,4.636,003_2213R_83.9,003_2213L_83.9,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 01:59:09+00,003,003,83.946485,83.94615,w2213R-w2217R,2215,4.5,,,,,4.63639138231448
34,6.567,003_2215V_84.0,003_2213R_83.9,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:41:54+00,003,003,83.963223,83.962592,2215,w2213R-w2217R,4.5,,,,,6.56720379004642
35,6.415,003_2221R_84.1,003_2217V_84.0,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.135841,84.135911,2223,2225,4.5,,,,,6.41452484600379
36,4.385,003_2223L_84.1,003_2221L_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.143581,84.143783,2223,w2221L-w2239R,4.5,,,,,4.38461304221935
37,4.478,003_2223R_84.1,003_2221L_84.1,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2021/08/10 19:20:33+00,003,003,84.143584,84.143783,2223,w2221L-w2239R,4.5,,,,,4.47838362135269
38,4.462,003_2225L_84.1,003_2223L_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:38:14+00,003,003,84.153053,84.153259,2225,2223,4.5,,,,,4.46180788134137
39,4.353,003_2225L_84.1,003_2223R_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:38:14+00,003,003,84.150182,84.150605,2225,2223,4.5,,,,,4.35288485949261
40,5,003_2225R_84.1,003_2223L_84.1,Spoortakdeel_naar_Spoortak,Onvolledig,,,003,003,84.192498,84.192991,2231/2233,2227/2229,4.5,,,,,5.00022920774638
41,4.988,003_2225R_84.1,003_2223L_84.1,Exact_naar_Exact,Onvolledig,2021/08/10 19:20:33+00,2020/08/21 03:38:14+00,003,003,84.164776,84.165268,2225,2223,4.5,,,,,4.98758611153732
42,4.472,003_2225R_84.1,003_2223R_84.1,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2020/08/21 03:38:14+00,003,003,84.152763,84.153462,2225,2223,4.5,,,,,4.47176731505565
43,6.914,003_2227Q_84.2,003_2221L_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:38:14+00,003,003,84.190152,84.190834,2227/2229,w2221L-w2239R,4.5,,,,,6.91397625104397
44,4.467,003_2227Q_84.2,003_2225R_84.1,Spoortak_naar_Spoortak,Volledig,,,003,003,84.188163,84.187957,2227/2229,2231/2233,4.5,,,,,4.46694892963866
45,6.591,003_2229P_84.2,003_2221L_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.234583,84.235232,w2227/2229P-w2237V,2239,4.5,,,,,6.5909759133227
46,4.462,003_2229T_84.2,003_2221L_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.212294,84.212501,2227/2229,w2221L-w2239R,4.5,,,,,4.46184893177705
47,4.462,003_2229T_84.2,003_2229P_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2021/08/10 19:20:33+00,003,003,84.233218,84.233012,2239,w2227/2229P-w2237V,4.5,,,,,4.46180179299798
48,4.469,003_2231S_84.2,003_2223L_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.18775,84.188468,2231/2233,2227/2229,4.5,,,,,4.46891217412023
49,4.4,003_2231S_84.2,003_2227Q_84.2,Spoortak_naar_Spoortak,Volledig,,,003,003,84.189859,84.190315,2231/2233,2227/2229,4.5,,,,,4.39977302710038
50,5.004,003_2233P_84.2,003_2229P_84.2,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.1925,84.193006,2231/2233,2227/2229,4.5,,,,,5.0044411805915
51,5.603,003_2233P_84.2,003_2229T_84.2,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.194685,84.195842,2231/2233,2227/2229,4.5,,,,,5.60336900087795
52,5,003_2233T_84.2,003_2229P_84.2,Spoortakdeel_naar_Spoortak,Onvolledig,,,003,003,84.197422,84.197916,2231/2233,2227/2229,4.5,,,,,4.99952676360473
53,4.997,003_2233T_84.2,003_2229P_84.2,Exact_naar_Exact,Onvolledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.209273,84.20977,2231/2233,2227/2229,4.5,,,,,4.99690846924376
54,5,003_2233T_84.2,003_2229T_84.2,Spoortakdeel_naar_Spoortak,Onvolledig,,,003,003,84.192499,84.192991,2231/2233,2227/2229,4.5,,,,,5.00024099419218
55,5.527,003_2233T_84.2,003_2229T_84.2,Exact_naar_Exact,Onvolledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.197422,84.197361,2231/2233,2227/2229,4.5,,,,,5.52676358097576
56,4.302,003_2235L_84.2,003_2233T_84.2,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:38:14+00,003,003,84.231795,84.23251,2235,w2231/2233T-s464,4.5,,,,,4.30173226735463
57,4.605,003_2235R_84.2,003_2233T_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2020/08/21 03:38:14+00,003,003,84.231723,84.23251,2235,w2231/2233T-s464,4.5,,,,,4.60463272911098
58,6.59,003_2237L_84.2,003_2221L_84.1,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:38:14+00,003,003,84.259393,84.260046,2237,2239,4.5,,,,,6.58999611304893
59,5.476,003_2237L_84.2,003_2229T_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2020/08/21 03:38:14+00,003,003,84.242168,84.242116,2237,2239,4.5,,,,,5.4757719035767
60,5.643,003_2237L_84.2,003_2233T_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2021/08/10 19:20:33+00,003,003,84.242168,84.241252,2237,w2231/2233T-s464,4.5,,,,,5.64298096133595
61,6.601,003_2237R_84.2,003_2221L_84.1,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2020/08/21 03:38:14+00,003,003,84.242168,84.242823,2237,2239,4.5,,,,,6.6008519647088
62,5.477,003_2237R_84.2,003_2229T_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2020/08/21 03:38:14+00,003,003,84.242168,84.242116,2237,2239,4.5,,,,,5.47666595840937
63,5.642,003_2237R_84.2,003_2233T_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2021/08/10 19:20:33+00,003,003,84.242168,84.241252,2237,w2231/2233T-s464,4.5,,,,,5.64203871308944
64,4.241,003_2237R_84.2,003_2237L_84.2,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:53:53+00,003,003,84.29204,84.292708,w2237R-s463,w2237L-s462,4.5,,,,,4.2410770624925
65,6.6,003_2239V_84.3,003_2237L_84.2,Spoortakdeel_naar_Spoortak,Onvolledig,,,003,003,84.266254,84.265599,2239,2237,4.5,,,,,6.60006184819506
66,6.586,003_2239V_84.3,003_2237L_84.2,Exact_naar_Exact,Onvolledig,2020/08/21 03:53:32+00,2021/08/10 19:20:33+00,003,003,84.630645,84.630003,461,462,4.5,,,,,6.58641200199319
67,4.442,003_2241L_84.3,003_2235L_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2020/08/21 03:38:14+00,003,003,84.270117,84.271185,2241,w2235L-s465,4.5,,,,,4.44222945152544
68,4.471,003_2241R_84.3,003_2235L_84.2,Exact_naar_Exact,Volledig,2020/08/21 03:38:14+00,2020/08/21 03:38:14+00,003,003,84.270112,84.271185,2241,w2235L-s465,4.5,,,,,4.47065764848976
69,4.668,003_2241R_84.3,003_2241L_84.3,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:38:14+00,003,003,84.316557,84.317675,w2241R-s467,w2241L-s466,4.5,,,,,4.66841777586368
70,4.799,003_2321L_84.3,003_2313V_84.1,Spoortakdeel_naar_Spoortak,Onvolledig,,,003,003,84.340162,84.34007,w2321L-w2331/2333S,2323/2325,4.5,,,,,4.79934625548105
71,4.789,003_2321L_84.3,003_2313V_84.1,Exact_naar_Exact,Onvolledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.319492,84.319402,2321,2323/2325,4.5,,,,,4.78932243746441
72,4.309,003_2321R_84.3,003_2313V_84.1,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.299441,84.299241,2321,w2313V-w2323/2325Q,4.5,,,,,4.30934929310679
73,4.468,003_2321R_84.3,003_2321L_84.3,Spoortak_naar_Spoortak,Volledig,,,003,003,84.337066,84.337258,2323/2325,w2321L-w2331/2333S,4.5,,,,,4.46842540499447
74,4.967,003_2325P_84.3,003_2321L_84.3,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.341601,84.341695,2323/2325,w2321L-w2331/2333S,4.5,,,,,4.9671810647489
75,4.79,003_2325T_84.3,003_2321L_84.3,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.35316,84.353252,2323/2325,w2321L-w2331/2333S,4.5,,,,,4.79000144154467
76,4.303,003_2327L_84.4,003_2321L_84.3,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.384004,84.383933,2327,w2321L-w2331/2333S,4.5,,,,,4.3027786557061
77,4.754,003_2327L_84.4,003_2325P_84.3,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.380677,84.380472,2327,w2323/2325P-w2329V,4.5,,,,,4.7539553763156
78,4.789,003_2327R_84.4,003_2321L_84.3,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.388401,84.388492,2327,w2321L-w2331/2333S,4.5,,,,,4.78887879153357
79,4.464,003_2327R_84.4,003_2325P_84.3,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.380664,84.380472,2327,w2323/2325P-w2329V,4.5,,,,,4.46389563162044
80,4.463,003_2327R_84.4,003_2327L_84.4,Spoortak_naar_Spoortak,Volledig,,,003,003,84.420963,84.420889,w2327R-s563,2331/2333,4.5,,,,,4.46312959704286
81,6.37,003_2329L_84.4,003_2327L_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2020/08/21 01:59:09+00,003,003,84.389337,84.388841,2329,2327,4.5,,,,,6.37038150976847
82,6.6,003_2329L_84.4,003_2327R_84.4,Spoortakdeel_naar_Spoortak,Onvolledig,,,003,003,84.444617,84.444773,w2329L-w2335V,563,4.5,,,,,6.60019700084778
83,5.447,003_2329L_84.4,003_2327R_84.4,Exact_naar_Exact,Onvolledig,2020/08/21 01:59:09+00,2020/08/21 01:59:09+00,003,003,84.389337,84.389442,2329,2327,4.5,,,,,5.44727332616971
84,6.371,003_2329R_84.4,003_2327L_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2020/08/21 01:59:09+00,003,003,84.389337,84.388841,2329,2327,4.5,,,,,6.3713652830457
85,5.448,003_2329R_84.4,003_2327R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2020/08/21 01:59:09+00,003,003,84.389337,84.389442,2329,2327,4.5,,,,,5.44830206669931
86,5.017,003_2329R_84.4,003_2329L_84.4,Spoortakdeel_naar_Spoortak,Onvolledig,,,003,003,84.443948,84.444617,w2329R-s568,w2329L-w2335V,4.5,,,,,5.01719282866425
87,4.467,003_2329R_84.4,003_2329L_84.4,Exact_naar_Exact,Onvolledig,2021/08/10 19:20:33+00,2020/08/21 03:48:27+00,003,003,84.439313,84.439524,w2329R-s568,w2329L-w2335V,4.5,,,,,4.46743703257248
88,4.793,003_2333P_84.4,003_2327R_84.4,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.427361,84.427247,2331/2333,w2327R-s563,4.5,,,,,4.79304509158844
89,5.084,003_2333T_84.4,003_2327R_84.4,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.426629,84.426508,2331/2333,w2327R-s563,4.5,,,,,5.08369102227899
90,4.386,003_2333T_84.4,003_2333P_84.4,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.463999,84.46406,w2331/2333T-s561,w2331/2333P-s562,4.5,,,,,4.3860714095874
91,6.583,003_2335L_84.4,003_2327R_84.4,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.464085,84.464242,2335,563,4.5,,,,,6.58267297987679
92,5.446,003_2335L_84.4,003_2329R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.448498,84.447771,2335,w2329R-s568,4.5,,,,,5.44638816189225
93,6.6,003_2335R_84.4,003_2327R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.448498,84.448655,2335,563,4.5,,,,,6.59966697644662
94,5.445,003_2335R_84.4,003_2329R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.448498,84.447771,2335,w2329R-s568,4.5,,,,,5.44552870619557
95,6.585,003_2337L_84.5,003_2327R_84.4,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2021/08/10 19:20:33+00,003,003,84.514016,84.514156,2337,563,4.5,,,,,6.58535624245188
96,4.469,003_2337L_84.5,003_2335R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.498992,84.49878,2337,w2335R-s567,4.5,,,,,4.46896064538501
97,6.598,003_2337R_84.5,003_2327R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.491769,84.491926,2337,563,4.5,,,,,6.59845883900172
98,4.312,003_2337R_84.5,003_2335R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2021/08/10 19:20:33+00,003,003,84.499054,84.49878,2337,w2335R-s567,4.5,,,,,4.31199444920793
99,4.47,003_2337R_84.5,003_2337L_84.5,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:47:18+00,003,003,84.542211,84.542411,w2337R-s566,w2337L-w2339V,4.5,,,,,4.47043712068518
100,6.587,003_2339L_84.6,003_2327R_84.4,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:57:14+00,003,003,84.568679,84.568818,2339,563,4.5,,,,,6.58686996076285
101,5.448,003_2339L_84.6,003_2337R_84.5,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2020/08/21 03:47:18+00,003,003,84.551352,84.55064,2339,w2337R-s566,4.5,,,,,5.44821630719633
102,6.601,003_2339R_84.6,003_2327R_84.4,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2020/08/21 03:57:14+00,003,003,84.551352,84.551491,2339,563,4.5,,,,,6.60095710408726
103,5.447,003_2339R_84.6,003_2337R_84.5,Exact_naar_Exact,Volledig,2020/08/21 01:59:09+00,2020/08/21 03:47:18+00,003,003,84.551352,84.55064,2339,w2337R-s566,4.5,,,,,5.44721846541884
104,4.231,003_2339R_84.6,003_2339L_84.6,Exact_naar_Exact,Volledig,2021/08/10 19:20:33+00,2020/08/21 03:57:35+00,003,003,84.601691,84.60188,w2339R-s565,w2339L-s564,4.5,,,,,4.23086218754523
105,3.501,004_1R_101.6,004_1L_101.6,Exact_naar_Exact,Volledig,2022/11/15 22:33:48+00,2021/08/02 22:43:00+00,004,004,101.731222,101.731313,3,w1L-s501,4.5,,,,,3.5012516390571
106,3.599,004_3L_101.7,004_1L_101.6,Exact_naar_Exact,Volledig,2021/08/02 22:43:00+00,2021/08/02 22:43:00+00,004,004,101.738083,101.738092,3,w1L-s501,4.5,,,,,3.59951807052
107,3.804,004_3L_101.7,004_1R_101.6,Exact_naar_Exact,Volledig,2021/08/02 22:43:00+00,2022/11/15 22:33:48+00,004,004,101.655785,101.655871,sAE-w3L,1,4.5,,,,,3.80414648640138
108,3.588,004_3L_101.7,004_1V_101.6,Exact_naar_Exact,Volledig,2022/11/15 22:33:48+00,2022/11/15 22:33:48+00,004,004,93.635146,93.635148,AE,DE,4.5,,,,,3.58803682534057
109,3.571,004_3V_101.7,004_1L_101.6,Exact_naar_Exact,Volledig,2021/08/02 22:43:00+00,2022/11/15 22:33:48+00,653,653,101.805189,101.805189,w3V-w5V,w1L-s501,4.5,,,,,3.57126871713681
110,3.88,005_115R_126.6,005_115L_126.6,Exact_naar_Exact,Volledig,2021/08/02 22:30:45+00,2022/11/15 22:33:48+00,005,005,126.676072,126.676136,w115R-s532,w115L-s531,4.5,,,,,3.88051800665839
111,3.628,005_55R_109.5,005_55L_109.5,Exact_naar_Exact,Volledig,2021/08/02 22:30:45+00,2021/08/02 22:30:45+00,005,005,110.052361,110.052335,s512-w65L,s511-w65R,4.5,,,,,3.62771902440087
112,3.871,005_75R_114.2,005_75L_114.2,Exact_naar_Exact,Volledig,2022/11/15 22:33:48+00,2022/11/15 22:33:48+00,005,005,114.240598,114.240703,w75R-s523,w75L-w77V,4.5,,,,,3.87145512307711
113,4.372,005_77L_114.3,005_75R_114.2,Exact_naar_Exact,Volledig,2021/08/02 22:30:45+00,2022/11/15 22:33:48+00,005,005,114.295901,114.295976,77,w75R-s523,4.5,,,,,4.37173200573869
114,4.155,005_77R_114.3,005_75R_114.2,Exact_naar_Exact,Volledig,2022/11/15 22:33:48+00,2022/11/15 22:33:48+00,005,005,114.944921,114.945064,93,s523-w97L,4.5,,,,,4.15547552633871
115,3.963,005_77R_114.3,005_77L_114.3,Exact_naar_Exact,Volledig,2021/08/02 22:30:45+00,2022/11/15 22:33:48+00,005,005,114.904835,114.904807,s522-w93L,s521-w93R,4.5,,,,,3.96340623706428
116,3.859,006_1003R_3.6,006_1003L_3.6,Exact_naar_Exact,Volledig,2021/08/02 22:49:55+00,2022/09/26 21:05:49+00,006,006,3.682852,3.682811,w1003R-s101,w1003L-s102,4.5,,,,,3.85905190040248
117,4,006_1009AL_4.3,006_1003R_3.6,Exact_naar_Exact,Volledig,2022/02/09 01:21:56+00,2022/02/09 01:21:56+00,006,006,4.38829,4.388334,1009A,1009B,4.5,,,,,3.99996423234008
118,3.843,006_1009AR_4.3,006_1003R_3.6,Exact_naar_Exact,Volledig,2022/02/09 01:21:56+00,2022/02/09 01:21:56+00,006,006,4.350097,4.350062,1009A,s101-w1009BL,4.5,,,,,3.84302746542358
119,3.856,006_1009AR_4.3,006_1009AL_4.3,Exact_naar_Exact,Volledig,2022/09/26 21:05:49+00,2022/02/09 01:21:56+00,006,006,4.42505,4.425206,1009B,w1009AL-sGJ,4.5,,,,,3.85619713448366
120,3.751,006_1009BV_4.4,006_1009AL_4.3,Exact_naar_Exact,Volledig,2022/09/26 21:05:49+00,2022/02/09 01:21:56+00,006,006,9.267739,9.267777,GI,GJ,4.5,,,,,3.75103563566117
121,3.795,006_1017AL_10.1,006_1009AL_4.3,Exact_naar_Exact,Volledig,2022/02/09 01:21:56+00,2022/09/26 21:05:49+00,006,006,10.0768,10.076721,1017A,sGJ-w1017BR,4.5,,,,,3.79483004230756
