FID,vrt_code,vrtnaam,haven_vaar,meetpunt,naam,soort,opmerking,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
aansluiting.13,225,Amsterdam-Rijnkanaal,,2.788,"Het Nieuwe Diep, toegang jachthavens",GEB,,,1988,,,POINT (52.35819999900002 4.962699998000005)
aansluiting.14,060,Lemmer - Delfzijl,,47.4,Spuikanaal Gaarkeukensluis,NVW,,,2026,,,POINT (53.24859999900002 6.308899999000005)
aansluiting.15,405a,"Oort, Lutjewad, Spruit, Zuid Oost Lauwers en het Ra Eemswadje",,7.542,w. Groninger Balg,NBV,,,2058,,,POINT (53.43220000000002 6.30200000100001)
aansluiting.16,232b,Lange Wetering,,3.934,"Almere haven, gracht",NVW,,,2151,,,POINT (52.33700000099998 5.227299999000024)
aansluiting.17,129,Schelde-Rijnverbinding,,23.069,Bathse Spuikanaal,NVW,,,2179,,,POINT (51.46319999899998 4.227400000999978)
aansluiting.18,222a,Holendrecht en Angstel (Abcoude-Loenersloot),,6.001,Oude loop van de Winkel,NBV,,,2218,,,POINT (52.25880000000001 4.984099999000023)
aansluiting.19,050a,Stadsbuitengracht Stavoren,,0.8,Stadsbinnengracht,NBV,,,2229,,,POINT (52.88510000000002 5.360500000000002)
aansluiting.20,078,"Binnengracht (w. gedeelte), Verbindingskanaal en Buitengracht te Coevorden",,0.683,Lutterhoofdwijk,NVW,,,2264,,,POINT (52.660199999999975 6.731499999999983)
aansluiting.21,212c,Vaarweg van de Schinkel (Nieuwe Meer) naar de Amstel,,2.957,Boerenwetering,NBV,,,2268,,,POINT (52.34849999800002 4.886500001000002)
aansluiting.22,206,Oude Rijn,,25.513,Enkele Wiericke,NVW,,,2339,,,POINT (52.08370000100001 4.784499998999991)
aansluiting.23,075,Drentsche Hoofdvaart,,10.35,Timmerswijk,NVW,,,2412,,,POINT (52.935299999999984 6.430100001000028)
aansluiting.24,050,Johan Frisokanaal,,7.4,Kruisvaart,NBV,,,2435,,,POINT (52.89160000200002 5.448100001)
aansluiting.25,057,Vaarweg Sneek-IJlst,,4.21,Oostelijke Dijkgracht (met jachthaven),NBV,,,2452,,,POINT (53.01199999800002 5.623599999000021)
aansluiting.26,215,Wijde Aa en Does,,4.397,Verbinding naar de Voorwetering,NBV,,,2462,,,POINT (52.16550000000001 4.57510000100001)
aansluiting.27,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,37.944,Grinddepot Opheusden,NVW,,,2496,,,POINT (51.94260000100002 5.628699998999991)
aansluiting.28,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,2.855,Stroomkanaal van gemaal Eefde (met diensthaven KLPD),NVW,,,2526,,,POINT (52.159299998999984 6.227699998999981)
aansluiting.29,075,Drentsche Hoofdvaart,,10.646,Kromme Wijk,NVW,,,2592,,,POINT (52.933100000000024 6.427700001999995)
aansluiting.30,227,Vecht,,37.8,WWV De Zeemeermin,NBV,,,2601,,,POINT (52.305799998 5.047800000999985)
aansluiting.31,037,Vaarweg van Het Deel langs Akkrum en Gorredijk naar de Drentsche Hoofdvaart,,45.472,"Oosterwolde, aansluiting met aanlegplaats ",NBV,,,2637,,,POINT (52.99119999999999 6.29140000000001)
aansluiting.32,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,9.51,Heerensingelgracht,NBV,,,2639,,,POINT (52.37640000099998 4.641399997999997)
aansluiting.33,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,11.433,Crayenestervaart,NBV,,,2658,,,POINT (52.36140000099999 4.636700001000008)
aansluiting.34,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,35.285,Delftsche Vliet (verboden invaart),NVW,,,2669,,,POINT (52.019900001999986 4.350099999000008)
aansluiting.35,152a,Afgesneden Maas en havengebied te Roermond,,5.493,Hambeek (brug over invaart (Roodebrug)),NBV,,,2708,,,POINT (51.18829999899998 5.971400000000017)
aansluiting.36,011,Damsterdiep,,24.074,Vaarweg naar woonwijk,NBV,,,2743,,,POINT (53.32559999799997 6.915700000000015)
aansluiting.37,126,Mark en Dintel,,12.429,Uitwateringsgeul gemaal Halle,NVW,,,2798,,,POINT (51.634300000999986 4.665199998999981)
aansluiting.38,006,"Vaarwegen in de stad Groningen, Reitdiep en Lauwersmeer",,5.101,Aansluiting naar woonwijk (brug over invaart),NBV,,,2832,,,POINT (53.22430000100002 6.537799999000015)
aansluiting.39,234,Noordhollandsch Kanaal,,3.58,"Amsterdam, aansluiting",NBV,,,2841,,,POINT (52.40690000000001 4.925400000000025)
aansluiting.40,152a,Afgesneden Maas en havengebied te Roermond,,0.505,Toeleidingskanaal naar overlaat,NVW,,,2845,,,POINT (51.171399999000016 5.920699999000021)
aansluiting.41,220a,Nieuwe Vaart te Amsterdam,,0.542,Verbinding met Entrepotdok,NBV,,,2867,,,POINT (52.368900000999986 4.920099999999991)
aansluiting.42,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,26.637,Aansluiting woonwijk,NBV,,,2899,,,POINT (52.22650000099998 4.6594000009999945)
aansluiting.43,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,81.244,Crobsche Waard (ontzanding),NVW,,,2934,,,POINT (51.815800000000024 5.1795999999999935)
aansluiting.44,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,52.527,Uitwateringskanaal Maascentrale,NVW,,,2965,,,POINT (51.224599997999974 5.981899999000007)
aansluiting.45,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,107.119,Uiterwaard IJsselmuiden (verboden invaart) met loswal,NVW,,,2984,,,POINT (52.550099999 5.927399999999977)
aansluiting.46,076,Hoogeveensche Vaart en Verlengde Hoogeveensche Vaart,,13.3,Afwateringskanaal,NVW,,,3006,,,POINT (52.67790000100001 6.331799998999998)
aansluiting.47,124,Amertak en Wilhelminakanaal,,24.011,Toeleidingskanaal Stuw sluis nr. III,NVW,,,3022,,,POINT (51.581799999 5.037700001000019)
aansluiting.48,211,Hollandsche IJssel,,1.085,Stolwijkervaart (sluis voormalig invaart),NVW,,,3034,,,POINT (52.00690000100002 4.716699999000014)
aansluiting.49,056b,"Vaarweg door Wijnsloot, Het Zouw, Jutrijpstervaart, Zoolsloot, Oosterwijmerts en het Oudhof",,5.22,Modderige Rijd,NBV,,,3053,,,POINT (52.99830000100002 5.669100001000004)
aansluiting.50,027,Vaarweg van de Slenk (Lauwersmeer) naar Leeuwarden,,11.569,Oude tak van de Ee,NBV,,,3082,,,POINT (53.32140000200002 6.1121000009999875)
aansluiting.51,029,"Ouddeel, Groote Wielen, Rijperkerkstervaart",,0.6,Woudmansdiep,NBV,,,3164,,,POINT (53.191599999000005 5.851300001000027)
aansluiting.102,092a,Arembergergracht,,4.093,Pikkersvaart (brug over invaart),NBV,,,4487,,,POINT (52.67170000099998 6.0516000019999865)
aansluiting.52,056b,"Vaarweg door Wijnsloot, Het Zouw, Jutrijpstervaart, Zoolsloot, Oosterwijmerts en het Oudhof",,6.419,Duilenburg (jachthaven),NBV,,,3170,,,POINT (52.990099999999984 5.680500000999984)
aansluiting.53,220c,"Oosterdok, Oude Schans-Zwanenburgwal-Amstel",,0.902,Uilenburgergracht,NBV,,,3173,,,POINT (52.370200001 4.901999998999997)
aansluiting.54,225,Amsterdam-Rijnkanaal,,5.983,De Diemen,NBV,,,3177,,,POINT (52.34149999900001 5.000100002000011)
aansluiting.55,034a,Folkertssloot,,3.466,Vaart om de Rengerspolle,NBV,,,3184,,,POINT (53.11719999799999 5.886100001999978)
aansluiting.56,201h,Ade of Poel,,2.891,Zomersloot,NBV,,,3190,,,POINT (52.198199998999996 4.580800001)
aansluiting.57,011,Damsterdiep,,13.163,Oude Wijmers (brug over invaart),NVW,,,3194,,,POINT (53.311500002 6.770699999999977)
aansluiting.58,035,"Vaarweg van de Peanster Ee bezuiden Grouw, naar de Wijde Ee bij de Hooidambrug",,2.218,Wide Burd,NBV,,,3217,,,POINT (53.09530000000001 5.8827)
aansluiting.59,111,Oude Maas,,17.995,Uitwateringsgeul Gemaal De Bosschen,NVW,,,3238,,,POINT (51.83190000100001 4.45010000100001)
aansluiting.60,227a1,"'s-Gravelandsevaart, Drecht en Loosdrechtse Plassen",,4.115,"Loosdrechtse Plassen, toegang tot eerste plas",GEB,,,3250,,,POINT (52.19839999800001 5.084499999999991)
aansluiting.61,142,Mastgat - Zeelandbrug - Engelsche vaarwater - Brabantsche vaarwater - Witte tonnen,,13.83,Uitwateringsgeul Duiveland,NVW,,,3267,,,POINT (51.60379999899999 3.980000000000018)
aansluiting.62,231,Lage Vaart,,45.229,Voedingskanaal Gemaal Colijn,NVW,,,3277,,,POINT (52.57250000200003 5.748699999999985)
aansluiting.63,227a1,"'s-Gravelandsevaart, Drecht en Loosdrechtse Plassen",,7.359,Muyeveldse Wetering,NBV,,,3281,,,POINT (52.19889999899999 5.0382999999999925)
aansluiting.64,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,6.481,Noordelijk Verbindingskanaal naar de Stadiongracht,NBV,,,3372,,,POINT (52.34470000099998 4.849399999000013)
aansluiting.65,241,Beemsterringvaart,,2.817,Noorderhaven en Tuinbuurtgracht,NBV,,,3421,,,POINT (52.558899999000005 4.857500001999995)
aansluiting.66,011,Damsterdiep,,18.163,Vaarweg door Appingedam (brug over invaart),NBV,,,3448,,,POINT (53.319800000999976 6.839800000000025)
aansluiting.67,040a,"Gudsekop, Statenbocht en Hoitesloot",,4.707,Geeuw,NBV,,,3455,,,POINT (52.98409999900002 5.706200000000024)
aansluiting.68,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,37.854,Voormalig trace Zuid-Willemsvaart (met passantenkade),NBV,,,3475,,,POINT (51.520100001 5.647399999000015)
aansluiting.69,047,Vaarweg van het Johan Frisokanaal naar het Prinses Margrietkanaal nabij Lemmer,,11.547,Rintjegracht,NBV,,,3480,,,POINT (52.87040000000002 5.6428000000000225)
aansluiting.70,055,Workumertrekvaart,,4.233,Vaart naar Dedzjum,NBV,,,3545,,,POINT (53.02739999800002 5.4860999989999755)
aansluiting.71,228,Eem en havens van Amersfoort,,0.957,Vallei Kanaal,NVW,,,3554,,,POINT (52.165100000999985 5.376400000999979)
aansluiting.72,036,"Vaarweg van de Boorne, ten oosten van Akkrum, naar Grouw",,2.461, Botmeer (gemaal),NVW,,,3568,,,POINT (53.076900002 5.861200000999986)
aansluiting.73,061,Vaarweg van Grouw langs Warga naar het Van Harinxmakanaal,,7.808,Vaart om Hempensermeerpolder,NBV,,,3579,,,POINT (53.159299998999984 5.844999998999981)
aansluiting.74,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,3.07,Gemaal Boschveld,NVW,,,3581,,,POINT (51.71339999899999 5.276099998999996)
aansluiting.75,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,21.878,Blauwe Beugel,GEB,,,3649,,,POINT (52.25259999899998 4.710499997999989)
aansluiting.76,065,Bolswardertrekvaart,,11.678,Oosterendervaart,NBV,,,3673,,,POINT (53.11709999999999 5.615600001000018)
aansluiting.77,086,"Zwolle-IJsselkanaal, Zwarte Water, Zwolsche Diep, Ramsdiep en Schokkerhaven",,3.432,Oude Wetering,NVW,,,3682,,,POINT (52.52899999900001 6.070599999000024)
aansluiting.78,206,Oude Rijn,,16.61,Aansluiting te Woerden,NBV,,,3690,,,POINT (52.083000001000016 4.885600001)
aansluiting.79,092,Vaarweg Blauwe Hand-Blokzijl,,6.179,Zuiderdiep,GEB,,,3805,,,POINT (52.72700000200001 6.009599998999988)
aansluiting.80,227a1,"'s-Gravelandsevaart, Drecht en Loosdrechtse Plassen",,0.5,Kromme Rade,NVW,,,3916,,,POINT (52.215899999999976 5.119800000999987)
aansluiting.81,017,"Westerwoldsche Aa, Veendiep, B.L.Tijdenskanaal en Ruiten Aa Kanaal",,21.128,Waterinlaatkanaal stuw,NVW,,,3931,,,POINT (53.00739999899997 7.157800000000009)
aansluiting.82,084d,"Ganzendiep, Goot en Scheepvaartgat",,6.531,Uitwateringskanaal gemaal Rambonnet,NVW,,,3951,,,POINT (52.59239999900001 5.95300000200001)
aansluiting.83,110a2,Dode Kikvorskil en Zoetemelkskil,,3.015,Gat van den Hengst,GEB,,,4053,,,POINT (51.80600000200002 4.822799998999983)
aansluiting.84,017,"Westerwoldsche Aa, Veendiep, B.L.Tijdenskanaal en Ruiten Aa Kanaal",,37.576,Uitwateringskanaal stuw,NVW,,,4085,,,POINT (52.87740000000002 7.099399999000013)
aansluiting.85,141,"Zuid-Grevelingen, Grevelingen, Geul van Bommenede, Rede Brouwershaven",,24.407,Uitwateringsgeul Brouwerssluis (spui- en inlaatsluis),NVW,,,4114,,,POINT (51.74819999900001 3.827799997999989)
aansluiting.86,111,Oude Maas,,14.72,Uitwateringsgeul West-Zomerlandse Polder (verboden invaart),NVW,,,4121,,,POINT (51.83590000100003 4.496800001999986)
aansluiting.87,084d,"Ganzendiep, Goot en Scheepvaartgat",,11.586,Sloot door de Cock's polder,NVW,,,4127,,,POINT (52.62359999900002 5.9917000010000265)
aansluiting.88,055,Workumertrekvaart,,7.378,Vaart naar Hieslum,NBV,,,4158,,,POINT (53.0009 5.4734000000000265)
aansluiting.89,150a,Noordergat van de Plomp,,1.76,3e Toegang naar Toontjesplaat,NBV,,,4183,,,POINT (51.721900000999995 4.806100000000015)
aansluiting.90,004b,Gave en Munniksloot naar Leekstermeer en Rodenervaart,,5.54,"Gemaal Rodervaart, toevoerkanaal",NVW,,,4186,,,POINT (53.16460000000001 6.440400001)
aansluiting.91,251a,Kustroute vanaf de Pampusgeul langs Marken en de Noord-Hollandse kust naar het Krabbersgat,,31.303,Waterinlaat poldergemaal,NVW,,,4198,,,POINT (52.62610000000001 5.045899997999982)
aansluiting.92,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,41.2,Uitwateringsgeul gemaal (2),NVW,,,4280,,,POINT (51.978500000999986 4.381399999999985)
aansluiting.93,109a,Ruigt of Reugt,,2.315,Buiten Kooigat (ondiep),NBV,,,4282,,,POINT (51.754799999 4.819800000999976)
aansluiting.94,014,Termunterzijldiep,,1.941,Meedenerdiep (onbelangrijk),NBV,,,4293,,,POINT (53.17990000200001 6.949999998999999)
aansluiting.95,109,Vaarweg Spijkerboor-Werkendam,,6.937,Uitwateringsgeul Bevert ,NBV,,,4409,,,POINT (51.769299999 4.860399998999981)
aansluiting.96,013a,Drentsche Diep en Zuidlaardermeer naar Zuidlaren,,6.924,Kieldiep,NVW,,,4416,,,POINT (53.13290000000001 6.6944000010000195)
aansluiting.97,108b1,Roode Vaart of Zevenbergsche Haven,,4.965,Afwateringskanaal Zuiveringsinstallatie,NVW,,,4417,,,POINT (51.66070000100001 4.608600002000003)
aansluiting.98,212b3,Vaarweg van het Westerdok naar de Amstel,,3.111,Reguliersgracht,NBV,,,4433,,,POINT (52.36160000000001 4.89609999999999)
aansluiting.99,060,Lemmer - Delfzijl,,3.9,Augustinusgaastervaart (onbelangrijk),NBV,,,4450,,,POINT (53.224699999999984 6.161099999999976)
aansluiting.100,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,22.192,"Het Zwarte Schaar, recreatiegebied",GEB,,,4465,,,POINT (52.033799998000006 6.12420000100002)
aansluiting.101,224,"Heinoomsvaart, Geer, Bijleveld, Groote Heijcop, Kerkvaart en Danne",,8.771,Uitwateringsgeul Poldergemaal,NVW,,,4475,,,POINT (52.16519999899998 4.973000001000003)
aansluiting.103,224a,"Heinoomsvaart, Ringvaart van het Waterschap Groot-Mijdrecht en Geuzensloot",,4.126,Gemaal Wilnis Veldzijde,NVW,,,4495,,,POINT (52.1943 4.901799998999991)
aansluiting.104,227e,Naardertrekvaart,,0.688,Vestinggracht,NVW,,,4497,,,POINT (52.32930000099998 5.073100001)
aansluiting.105,234,Noordhollandsch Kanaal,,2.69,De Waterkering,NBV,,,4526,,,POINT (52.39930000200002 4.922300000000007)
aansluiting.106,009,Boterdiep,,11.746,Kromme Kardingermaar,NBV,,,4545,,,POINT (53.33539999999999 6.591099999999983)
aansluiting.107,201n,Zevenhuizervaart,,1.72,Zomersloot,NBV,,,4583,,,POINT (52.194499999000016 4.558400000999995)
aansluiting.108,019,Vaarweg Veendam-Stadskanaal-Ter Apel,,19.053,Stadsdiep naar het Bovenste Vledderkanaal (brug over invaart,NVW,,,4593,,,POINT (52.97260000199998 6.974100001000011)
aansluiting.109,094,Lemster- en Zwolsevaart,,6.734,Schotertocht,NVW,,,4598,,,POINT (52.78929999799999 5.754700001000003)
aansluiting.110,009,Boterdiep,,23.774,Oude Maar (brug over invaart),NBV,,,4657,,,POINT (53.39689999799998 6.675500001999978)
aansluiting.111,020b,Hoornse Diep,,0.709,Paterswoldsemeer en Hoornse Meer (met diverse jachthavens),GEB,,,4711,,,POINT (53.17639999800002 6.574900001000003)
aansluiting.112,121a,Oude Zuid-Willemsvaart,,2.249,Eindhovensch Kanaal (gesloten voor scheepvaart),NBV,,,4764,,,POINT (51.458000001000016 5.671799998999973)
aansluiting.113,060,Lemmer - Delfzijl,,49.8,Grondduiker afwateringskanaal,NVW,,,4783,,,POINT (53.24489999899998 6.274000000000001)
aansluiting.114,028,"Wijde Greuns, Tijnje, Nieuwe Kanaal en Zuiderstadsgracht te Leeuwarden",,1.413,Invaart jachthaven LWS,NBV,,,4784,,,POINT (53.199599999999975 5.830899998999996)
aansluiting.115,088b,Zijtak en havens te Meppel,,0.463,De Reest,NBV,,,4793,,,POINT (52.69440000100002 6.185299999999984)
aansluiting.116,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,22.211,Dierensche Hank,NVW,,,4807,,,POINT (52.03390000000002 6.123899999999992)
aansluiting.117,109,Vaarweg Spijkerboor-Werkendam,,10.203,Vaarweg naar Keizersguldenwaard,NBV,,,4861,,,POINT (51.794899999999984 4.8759000000000015)
aansluiting.118,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,154.365,Gemaal Bloemers,NVW,,,4911,,,POINT (51.829500000999985 5.5909999979999725)
aansluiting.119,227a,Hilversumsch Kanaal en Havens te Hilversum,,3.658,Kwakel,NBV,,,4918,,,POINT (52.225400001000025 5.087099998999975)
aansluiting.120,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,0.04,Recreatieplas Waterrecreatiecentrum Eijsden (met JH),NBV,,,4972,,,POINT (50.81080000100002 5.693799999000021)
aansluiting.121,223,Kromme Mijdrecht en Grecht,,5.398,Poldergemaal,NVW,,,4977,,,POINT (52.18919999899998 4.829500000999985)
aansluiting.122,050,Johan Frisokanaal,,22.883,Oude loop van de Jeltesloot,NBV,,,5038,,,POINT (52.966899997999974 5.635600001)
aansluiting.123,059,Houkesloot,,3.5,Jachthavenkanaal te Sneek,NBV,,,5060,,,POINT (53.02899999900001 5.675500001999978)
aansluiting.124,111,Oude Maas,,12.406,Uitwateringsgeul Geertruida Agathapolder,NVW,,,5063,,,POINT (51.83049999899998 4.52879999999999)
aansluiting.125,039,Vaarweg van het Prinses Margrietkanaal naar de Kuinder of Tjonger,,8.416,Nonnegat (zuidelijke invaart),NBV,,,5071,,,POINT (53.00580000100001 5.863000001999978)
aansluiting.126,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,3.316,Zijkanaal B,NBV,,,5076,,,POINT (52.41519999899998 4.6845000010000035)
aansluiting.127,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,1.4,Brouwersgracht (2),NBV,,,5083,,,POINT (52.384199998999975 4.881700002000002)
aansluiting.128,231,Lage Vaart,,11.822,Vaartplas,NBV,,,5103,,,POINT (52.413400002 5.3656999990000145)
aansluiting.129,007,"Mensingeweersterloopdiep, Hoornse Vaart of Hulpkanaal over den Hoorn en Hunsingokanaal",,14.857,Ulrumeropvaart,NBV,,,5121,,,POINT (53.35420000200003 6.333199999999977)
aansluiting.130,056,Vaarweg van het Johan Frisokanaal (ten oosten van Heeg) naar Bolsward,,9.09,Westhemmer Opvaart,NVW,,,5144,,,POINT (53.028200001000016 5.558600001000002)
aansluiting.131,134,Kanaal door Walcheren,,15.069,Uitwateringsgeul Gemaal Oosterwatering,NVW,,,5182,,,POINT (51.542399999 3.667700000000025)
aansluiting.132,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,119.053,"De Hoop (Kil, beneden strooms)",NVW,,,5186,,,POINT (51.89099999899997 4.6378999990000125)
aansluiting.133,234,Noordhollandsch Kanaal,,39.793,Singelgracht te Alkmaar,NBV,,,5188,,,POINT (52.62700000000001 4.758099999000024)
aansluiting.134,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,12.738,Dwarswatering,NBV,,,5213,,,POINT (52.172800000999985 4.517200000999992)
aansluiting.135,120a,Dode Maasarm,,2.901,Uitwateringeul gemaal De Baanbreker,NVW,,,5341,,,POINT (51.75820000099998 5.180799997999998)
aansluiting.136,011,Damsterdiep,,21.429,Uitwierdermaar (brug over invaart),NBV,,,5362,,,POINT (53.32339999800001 6.883699997999997)
aansluiting.137,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,7.543,Uitwateringskanaal Velperwaarden,NVW,,,5412,,,POINT (51.99340000000001 6.008600000000001)
aansluiting.138,201h,Ade of Poel,,2.918,Koppoel,GEB,,,5413,,,POINT (52.19799999899999 4.581000000000017)
aansluiting.139,233t,Zijkanaal K of Zijkanaal naar Nieuwendam,,1.097,Kleine Die (sluis in invaart),NBV,,,5416,,,POINT (52.38960000100002 4.9395000000000095)
aansluiting.140,056b,"Vaarweg door Wijnsloot, Het Zouw, Jutrijpstervaart, Zoolsloot, Oosterwijmerts en het Oudhof",,3.889,Aansluiting naar scheepswerf,NBV,,,5430,,,POINT (53.000999998 5.652499999999975)
aansluiting.141,020,Noord-Willemskanaal,,19.981,Gemaal Drentsche Aa,NVW,,,5505,,,POINT (53.146600001000024 6.603100002000019)
aansluiting.142,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,55.497,De Veenoord,NVW,,,5518,,,POINT (52.23690000200003 6.160799999000005)
aansluiting.143,036,"Vaarweg van de Boorne, ten oosten van Akkrum, naar Grouw",,4.479,Neare Burd,NBV,,,5572,,,POINT (53.09360000100003 5.850599999999986)
aansluiting.144,150u,Watersportgebied Leukerheide,,2.892,"Reijnderslooij en Reindersmeer (sluis, geen doorvaart)",NVW,,,5601,,,POINT (51.57449999800002 6.084899999000015)
aansluiting.145,028,"Wijde Greuns, Tijnje, Nieuwe Kanaal en Zuiderstadsgracht te Leeuwarden",,0.551,Aansluiting woonwijk,NVW,,,5661,,,POINT (53.192499999000006 5.836300000999984)
aansluiting.146,109b,Oostkil,,1.161,Voortzetting Oostkil,NBV,,,5667,,,POINT (51.73030000199998 4.860100000999978)
aansluiting.147,220,Amstel-Gouwevaart (Amstel en Aarkanaal),,13.506,"De Amstel, zuidelijke invaart",NBV,,,5707,,,POINT (52.28680000100002 4.886000000000024)
aansluiting.148,150c,Maas van Wessem naar Ohe en Laak,,5.9,Recreatiegebied Spaanjerdplas (met JH Spaanjerd),GEB,,,5816,,,POINT (51.13529999899998 5.84340000200001)
aansluiting.149,232c,Hoge Dwarsvaart,,1.645,Pluvierentocht,NVW,,,5863,,,POINT (52.393700000000024 5.619700000000023)
aansluiting.150,027,Vaarweg van de Slenk (Lauwersmeer) naar Leeuwarden,,19.218,Aansluiting naar WSV Dokkum,NBV,,,5939,,,POINT (53.32510000100001 6.003899998999998)
aansluiting.151,150a,Noordergat van de Plomp,,0.535,Z. invaart Omloop door de onderplaat,NBV,,,5947,,,POINT (51.71880000099998 4.78929999799999)
aansluiting.152,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,8.834,Bakenessergracht,NBV,,,5953,,,POINT (52.38019999900001 4.641500000000008)
aansluiting.153,065,Bolswardertrekvaart,,10.969,Spannumeropvaart,NBV,,,5969,,,POINT (53.12099999899999 5.623399999000014)
aansluiting.154,013,"Winschoterdiep, Rensel en havens te Winschoten",,3.851,"Waterinlaatkanaal gemaal ""Folkers""",NVW,,,5987,,,POINT (53.19409999999999 6.626499998999975)
aansluiting.155,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,20.704,Overlaat voor de Bolksbeek,NVW,,,5999,,,POINT (52.183299999999974 6.478399998999976)
aansluiting.156,020a,Havenkanaal en haven van Assen,,2.173,Uitwateringskanaal Deurzerdiep,NVW,,,6015,,,POINT (53.01049999899999 6.598599999999976)
aansluiting.157,094,Lemster- en Zwolsevaart,,13.333,Onderduikerstocht,NVW,,,6024,,,POINT (52.730799999 5.768399998999996)
aansluiting.158,232a,Vaarweg van de Hoge Vaart via Almere-Stad naar Lange Wetering,,1.154,Noorderplassen NO gedeelte,GEB,,,6037,,,POINT (52.39860000099998 5.216699999000014)
aansluiting.159,007,"Mensingeweersterloopdiep, Hoornse Vaart of Hulpkanaal over den Hoorn en Hunsingokanaal",,12.372,Houwerzijlstervaart,NBV,,,6051,,,POINT (53.35159999899997 6.368999998999982)
aansluiting.160,244,Vaarweg Stolpen-Schagen-Kolhorn-Medemblik-IJsselmeer,,23.398,Almersdorpertocht,NBV,,,6054,,,POINT (52.77360000099998 5.03159999799999)
aansluiting.161,067,Havens van Makkum en de vaarweg van Makkum naar Tjerkwerd,,4.199,Kromme Sloot,NBV,,,6057,,,POINT (53.05490000200001 5.404899999000008)
aansluiting.162,007,"Mensingeweersterloopdiep, Hoornse Vaart of Hulpkanaal over den Hoorn en Hunsingokanaal",,4.1,"Kromme Raken, aansluiting",NBV,,,6085,,,POINT (53.35139999900002 6.449400000000026)
