Kenteken,Bijzonderheid volgnummer,Bijzonderheid code,Bijzonderheid code omschrijving,Bijzonderheid variabele tekst,Bijzonderheid eenheid
00BJH1,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie rechts,
00BJH9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,063,
00BJK1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,054,
00BJK6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BJL2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,056,
00BJL6,1,134,In lange en zware voertuigcombinaties,,
00BJL6,2,136,- max. massa samenstel:,60000,kg
00BJL6,3,138,- max. massa autonoom geremd:,46405,kg
00BJN2,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
00BJP3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,051,
00BJR1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,088,
00BJR8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,049,
00BJS2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,056,
00BJS4,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,081,
00BJT5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0443-0492,cm
00BJT6,1,134,In lange en zware voertuigcombinaties,,
00BJT6,2,136,- max. massa samenstel:,057500,kg
00BJT6,3,138,- max. massa autonoom geremd:,39500,kg
00BJT6,4,139,- max. massa middenas geremd:,24000,kg
00BJV2,1,134,In lange en zware voertuigcombinaties,,
00BJV2,2,136,- max. massa samenstel:,057500,kg
00BJV2,3,138,- max. massa autonoom geremd:,43900,kg
00BJV2,4,139,- max. massa middenas geremd:,24000,kg
00BJV8,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BJV8,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1097,cm
00BJV8,3,978,- max. massa ongeremd:,00750,kg
00BJV8,4,980,- max. massa autonoom geremd:,03154,kg
00BJV8,5,981,- max. massa middenas geremd:,03154,kg
00BJX3,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0431-0492,cm
00BJZ1,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BJZ1,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0895,cm
00BJZ1,3,980,- max. massa autonoom geremd:,03500,kg
00BJZ1,4,981,- max. massa middenas geremd:,03500,kg
00BJZ1,5,978,- max. massa ongeremd:,00750,kg
00BKF5,1,907,Dit voertuig is een rijdend werktuig.,,
00BKF5,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BKF6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BKF7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,123,
00BKG2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BKG6,1,134,In lange en zware voertuigcombinaties,,
00BKG6,2,136,- max. massa samenstel:,057500,kg
00BKG6,3,137,- max. massa oplegger geremd:,48932,kg
00BKJ1,1,134,In lange en zware voertuigcombinaties,,
00BKJ1,2,136,- max. massa samenstel:,060000,kg
00BKJ1,3,138,- max. massa autonoom geremd:,44915,kg
00BKJ1,4,139,- max. massa middenas geremd:,24000,kg
00BKJ2,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de hefinstallatie aan de,
00BKK2,1,134,In lange en zware voertuigcombinaties,,
00BKK2,2,136,- max. massa samenstel:,050000,kg
00BKK2,3,137,- max. massa oplegger geremd:,42132,kg
00BKK3,1,907,Dit voertuig is een rijdend werktuig.,,
00BKK3,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BKK3,10,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BKK3,11,976,- afstand voorzijde voertuig tot hart   koppeling (a),1255,cm
00BKK3,12,978,- max. massa ongeremd:,00750,kg
00BKK3,13,981,- max. massa middenas geremd:,03383,kg
00BKK3,14,980,- max. massa autonoom geremd:,03383,kg
00BKK5,1,907,Dit voertuig is een rijdend werktuig.,,
00BKK5,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BKK6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,056,
00BKL7,1,134,In lange en zware voertuigcombinaties,,
00BKL7,2,136,- max. massa samenstel:,057500,kg
00BKL7,3,137,- max. massa oplegger geremd:,50000,kg
00BKN3,1,134,In lange en zware voertuigcombinaties,,
00BKN3,2,136,- max. massa samenstel:,050000,kg
00BKN3,3,137,- max. massa oplegger geremd:,42202,kg
00BKN7,1,907,Dit voertuig is een rijdend werktuig.,,
00BKN7,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BKN7,3,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BKP1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,454-520,cm
00BKP8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BKR2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0433-0498,cm
00BKR9,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0458-0538,cm
00BKS5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,054,
00BKV2,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BKV2,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0600,cm
00BKV2,3,978,- max. massa ongeremd:,00750,kg
00BKV2,4,980,- max. massa autonoom geremd:,07000,kg
00BKV2,5,981,- max. massa middenas geremd:,07000,kg
00BKX1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,116,
00BKZ1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
00BLB7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0436-0497,cm
00BLD9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,140,
00BLF2,1,134,In lange en zware voertuigcombinaties,,
00BLF2,2,136,- max. massa samenstel:,060000,kg
00BLF2,3,138,- max. massa autonoom geremd:,46255,kg
00BLF2,4,139,- max. massa middenas geremd:,24000,kg
00BLF3,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,laadinstallatie aan rechterzijde,
00BLG2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00BLG9,1,134,In lange en zware voertuigcombinaties,,
00BLG9,2,136,- max. massa samenstel:,046500,kg
00BLG9,3,138,- max. massa autonoom geremd:,27900,kg
00BLG9,4,139,- max. massa middenas geremd:,24000,kg
00BLH4,1,134,In lange en zware voertuigcombinaties,,
00BLH4,2,136,- max. massa samenstel:,060000,kg
00BLH4,3,137,- max. massa oplegger geremd:,50974,kg
00BLJ3,1,984,afstand voorzijde voertuig tot hart koppeling (a):,444-508,cm
00BLJ9,1,134,In lange en zware voertuigcombinaties,,
00BLJ9,2,136,- max. massa samenstel:,060000,kg
00BLJ9,3,137,- max. massa oplegger geremd:,50563,kg
00BLK3,1,134,In lange en zware voertuigcombinaties,,
00BLK3,2,136,- max. massa samenstel:,054400,kg
00BLK3,3,137,- max. massa oplegger geremd:,46555,kg
00BLK6,1,134,In lange en zware voertuigcombinaties,,
00BLK6,2,136,- max. massa samenstel:,050000,kg
00BLK6,3,138,- max. massa autonoom geremd:,39820,kg
00BLK6,4,139,- max. massa middenas geremd:,24000,kg
00BLK6,5,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BLK6,6,976,- afstand voorzijde voertuig tot hart   koppeling (a),0840,cm
00BLK6,7,978,- max. massa ongeremd:,00750,kg
00BLK6,8,980,- max. massa autonoom geremd:,39820,kg
00BLK6,9,981,- max. massa middenas geremd:,24000,kg
00BLN1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BLN5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0439-0506,cm
00BLN9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,055,
00BLP5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,063,
00BLP6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,022,
00BLP8,1,134,In lange en zware voertuigcombinaties,,
00BLP8,2,136,- max. massa samenstel:,057500,kg
00BLP8,3,137,- max. massa oplegger geremd:,49934,kg
00BLP8,4,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BLP8,5,976,- afstand voorzijde voertuig tot hart   koppeling (a),0610,cm
00BLP8,6,978,- max. massa ongeremd:,00750,kg
00BLP8,7,980,- max. massa autonoom geremd:,40000,kg
00BLP8,8,981,- max. massa middenas geremd:,24000,kg
00BLP9,1,984,afstand voorzijde voertuig tot hart koppeling (a):,434-500,cm
00BLR4,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0465-0520,cm
00BLR5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0443-0492,cm
00BLS2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0468-0517,cm
00BLS4,1,134,In lange en zware voertuigcombinaties,,
00BLS4,2,136,- max. massa samenstel:,050000,kg
00BLS4,3,137,- max. massa oplegger geremd:,42664,kg
00BLS6,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BLS6,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),9880,cm
00BLS6,3,978,- max. massa ongeremd:,00750,kg
00BLS6,4,980,- max. massa autonoom geremd:,03500,kg
00BLS6,5,981,- max. massa middenas geremd:,03500,kg
00BLT5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,434-500,cm
00BLT6,1,65,Dit voertuig behoeft niet te zijn voorzien van een snelheidsbegrenzer.,,
00BLV7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0426-0487,cm
00BLX1,1,134,In lange en zware voertuigcombinaties,,
00BLX1,2,136,- max. massa samenstel:,060000,kg
00BLX1,3,138,- max. massa autonoom geremd:,41800,kg
00BLX1,4,139,- max. massa middenas geremd:,26025,kg
00BLX2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,440-506,cm
00BLZ2,1,134,In lange en zware voertuigcombinaties,,
00BLZ2,2,136,- max. massa samenstel:,060000,kg
00BLZ2,3,137,- max. massa oplegger geremd:,51169,kg
00BLZ9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BNB4,1,134,In lange en zware voertuigcombinaties,,
00BNB4,2,136,- max. massa samenstel:,050000,kg
00BNB4,3,137,- max. massa oplegger geremd:,41308,kg
00BNF2,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BNF2,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0968,cm
00BNF2,3,978,- max. massa ongeremd:,00750,kg
00BNF2,4,980,- max. massa autonoom geremd:,03500,kg
00BNF2,5,981,- max. massa middenas geremd:,03500,kg
00BNG1,1,134,In lange en zware voertuigcombinaties,,
00BNG1,2,136,- max. massa samenstel:,57500,kg
00BNG1,3,137,- max. massa oplegger geremd:,48884,kg
00BNG2,1,907,Dit voertuig is een rijdend werktuig.,,
00BNG2,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BNG2,3,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BNG2,9,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BNG2,10,976,- afstand voorzijde voertuig tot hart   koppeling (a),1250,cm
00BNG2,11,980,- max. massa autonoom geremd:,03383,kg
00BNG2,12,981,- max. massa middenas geremd:,03383,kg
00BNG2,13,978,- max. massa ongeremd:,00750,kg
00BNH2,1,134,In lange en zware voertuigcombinaties,,
00BNH2,2,136,- max. massa samenstel:,060000,kg
00BNH2,3,138,- max. massa autonoom geremd:,28000,kg
00BNH2,4,139,- max. massa middenas geremd:,24000,kg
00BNJ1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,062,
00BNJ7,1,134,In lange en zware voertuigcombinaties,,
00BNJ7,2,136,- max. massa samenstel:,060000,kg
00BNJ7,3,137,- max. massa oplegger geremd:,51358,kg
00BNJ9,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BNK6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,020,
00BNR1,1,134,In lange en zware voertuigcombinaties,,
00BNR1,2,136,- max. massa samenstel:,50000,kg
00BNR1,3,137,- max. massa oplegger geremd:,42697,kg
00BNR8,1,134,In lange en zware voertuigcombinaties,,
00BNR8,2,136,- max. massa samenstel:,57500,kg
00BNR8,3,137,- max. massa oplegger geremd:,49900,kg
00BNV8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0450-0510,cm
00BNX6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
00BNX9,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BNZ7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,575-645,cm
00BNZ7,2,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BNZ7,3,976,- afstand voorzijde voertuig tot hart   koppeling (a),808,cm
00BNZ7,4,980,- max. massa autonoom geremd:,27868,kg
00BNZ7,5,981,- max. massa middenas geremd:,14101,kg
00BNZ7,6,978,- max. massa ongeremd:,750,kg
00BPB1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,440-510,cm
00BPB3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,100,
00BPB5,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BPB5,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),607,cm
00BPB5,3,978,- max. massa ongeremd:,750,kg
00BPB5,4,980,- max. massa autonoom geremd:,3500,kg
00BPB5,5,981,- max. massa middenas geremd:,3500,kg
00BPB9,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BPB9,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0878,cm
00BPB9,3,980,- max. massa autonoom geremd:,31745,kg
00BPB9,4,978,- max. massa ongeremd:,750,kg
00BPD1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,434-500,cm
00BPD3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,156,
00BPD4,1,907,Dit voertuig is een rijdend werktuig.,,
00BPD4,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BPF3,1,134,In lange en zware voertuigcombinaties,,
00BPF3,2,136,- max. massa samenstel:,57500,kg
00BPF3,3,137,- max. massa oplegger geremd:,49408,kg
00BPF8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,435-495,cm
00BPG3,1,984,afstand voorzijde voertuig tot hart koppeling (a):,454-520,cm
00BPG9,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BPG9,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0874,cm
00BPG9,3,978,- max. massa ongeremd:,00750,kg
00BPG9,4,980,- max. massa autonoom geremd:,38050,kg
00BPG9,5,981,- max. massa middenas geremd:,12000,kg
00BPH8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,584-650,cm
00BPJ5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,430-490,cm
00BPJ8,1,134,In lange en zware voertuigcombinaties,,
00BPJ8,2,136,- max. massa samenstel:,60000,kg
00BPJ8,3,138,- max. massa autonoom geremd:,45330,kg
00BPJ8,4,139,- max. massa middenas geremd:,24000,kg
00BPL2,1,134,In lange en zware voertuigcombinaties,,
00BPL2,2,136,- max. massa samenstel:,60000,kg
00BPL2,3,138,- max. massa autonoom geremd:,47225,kg
00BPL2,4,139,- max. massa middenas geremd:,24000,kg
00BPL3,1,984,afstand voorzijde voertuig tot hart koppeling (a):,837-880,cm
00BPL8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,440-470,cm
00BPN3,1,134,In lange en zware voertuigcombinaties,,
00BPN3,2,136,- max. massa samenstel:,57306,kg
00BPN3,3,137,- max. massa oplegger geremd:,50000,kg
00BPR1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,530-585,cm
00BPS7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,466-546,cm
00BPT5,1,134,In lange en zware voertuigcombinaties,,
00BPT5,2,136,- max. massa samenstel:,57500,kg
00BPT5,3,137,- max. massa oplegger geremd:,49281,kg
00BPV3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,107,
00BPV6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,485-545,cm
00BPV7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,085,
00BPX5,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BPZ8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,077,
00BPZ9,1,134,In lange en zware voertuigcombinaties,,
00BPZ9,2,136,- max. massa samenstel:,50000,kg
00BPZ9,3,137,- max. massa oplegger geremd:,42333,kg
00BR23,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00BR35,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00BRB2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,077,
00BRB4,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,077,
00BRB8,1,907,Dit voertuig is een rijdend werktuig.,,
00BRB8,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BRD3,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BRD3,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0964,cm
00BRD3,3,978,- max. massa ongeremd:,750,kg
00BRD3,4,980,- max. massa autonoom geremd:,3500,kg
00BRD3,5,981,- max. massa middenas geremd:,3500,kg
00BRD4,1,134,In lange en zware voertuigcombinaties,,
00BRD4,2,136,- max. massa samenstel:,60000,kg
00BRD4,3,137,- max. massa oplegger geremd:,51129,kg
00BRG2,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de installatie rechts,
00BRG5,1,134,In lange en zware voertuigcombinaties,,
00BRG5,2,136,- max. massa samenstel:,60000,kg
00BRG5,3,138,- max. massa autonoom geremd:,45609,kg
00BRG5,4,139,- max. massa middenas geremd:,24000,kg
00BRG7,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BRG7,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),1104,cm
00BRG7,3,978,- max. massa ongeremd:,750,kg
00BRG7,4,980,- max. massa autonoom geremd:,3500,kg
00BRG7,5,981,- max. massa middenas geremd:,3500,kg
00BRH7,1,134,In lange en zware voertuigcombinaties,,
00BRH7,2,136,- max. massa samenstel:,57500,kg
00BRH7,3,137,- max. massa oplegger geremd:,49344,kg
00BRJ6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,390-450,cm
00BRJ8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,078,
00BRK1,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,trappen links en rechts,
00BRL4,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,laadinrichting rechts,
00BRR5,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de hefinstallatie aan de r zijde,
00BRR9,1,984,afstand voorzijde voertuig tot hart koppeling (a):,460-530,cm
00BRT2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,054,
00BRV6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,150,
00BRV9,1,907,Dit voertuig is een rijdend werktuig.,,
00BRV9,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BRX8,1,134,In lange en zware voertuigcombinaties,,
00BRX8,2,136,- max. massa samenstel:,50000,kg
00BRX8,3,137,- max. massa oplegger geremd:,41575,kg
00BRX9,1,134,In lange en zware voertuigcombinaties,,
00BRX9,2,136,- max. massa samenstel:,60000,kg
00BRX9,3,137,- max. massa oplegger geremd:,50264,kg
00BRZ1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,420-480,cm
00BRZ2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,031,
00BSB2,1,134,In lange en zware voertuigcombinaties,,
00BSB2,2,136,- max. massa samenstel:,55710,kg
00BSB2,3,137,- max. massa oplegger geremd:,48500,kg
00BSG2,1,134,In lange en zware voertuigcombinaties,,
00BSG2,2,136,- max. massa samenstel:,60000,kg
00BSG2,3,138,- max. massa autonoom geremd:,46013,kg
00BSG2,4,139,- max. massa middenas geremd:,26025,kg
00BSG8,1,134,In lange en zware voertuigcombinaties,,
00BSG8,2,136,- max. massa samenstel:,57500,kg
00BSG8,3,137,- max. massa oplegger geremd:,50238,kg
00BSH9,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie rechts,
00BSL6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0411-0472,cm
00BSN7,1,134,In lange en zware voertuigcombinaties,,
00BSN7,2,136,- max. massa samenstel:,60000,kg
00BSN7,3,137,- max. massa oplegger geremd:,40500,kg
00BSN7,4,984,afstand voorzijde voertuig tot hart koppeling (a):,438-500,cm
00BSR1,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BSR1,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0879,cm
00BSR1,3,978,- max. massa ongeremd:,750,kg
00BSR1,4,980,- max. massa autonoom geremd:,3500,kg
00BSR1,5,981,- max. massa middenas geremd:,3500,kg
00BSR4,1,134,In lange en zware voertuigcombinaties,,
00BSR4,2,136,- max. massa samenstel:,50000,kg
00BSR4,3,137,- max. massa oplegger geremd:,40775,kg
00BSR5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,067,
00BSR8,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BSR8,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),735,cm
00BSR8,3,981,- max. massa middenas geremd:,3448,kg
00BSX1,1,132,Dit voertuig behoeft niet te zijn voorzien van een bescherminrichting tegen klemrijden aan de voorzijde.,,
00BSX1,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,l en r,
00BT90,3,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00BTD8,1,134,In lange en zware voertuigcombinaties,,
00BTD8,2,136,- max. massa samenstel:,57500,kg
00BTD8,3,137,- max. massa oplegger geremd:,49369,kg
00BTD8,4,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BTD8,5,976,- afstand voorzijde voertuig tot hart   koppeling (a),0625,cm
00BTD8,6,978,- max. massa ongeremd:,750,kg
00BTD8,7,980,- max. massa autonoom geremd:,41869,kg
00BTD8,8,981,- max. massa middenas geremd:,17286,kg
00BTD9,1,134,In lange en zware voertuigcombinaties,,
00BTD9,2,136,- max. massa samenstel:,56000,kg
00BTD9,3,138,- max. massa autonoom geremd:,42587,kg
00BTD9,4,139,- max. massa middenas geremd:,24000,kg
00BTF4,1,134,In lange en zware voertuigcombinaties,,
00BTF4,2,136,- max. massa samenstel:,57500,kg
00BTF4,3,138,- max. massa autonoom geremd:,47061,kg
00BTF4,4,139,- max. massa middenas geremd:,19000,kg
00BTF9,1,134,In lange en zware voertuigcombinaties,,
00BTF9,2,136,- max. massa samenstel:,57500,kg
00BTF9,3,137,- max. massa oplegger geremd:,49076,kg
00BTG2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0431-0492,cm
00BTG8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,050,
00BTH9,1,984,afstand voorzijde voertuig tot hart koppeling (a):,435-495,cm
00BTP1,1,907,Dit voertuig is een rijdend werktuig.,,
00BTP1,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
00BTP1,3,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
00BTR2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,442-508,cm
00BTR5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,610-660,cm
00BTR5,2,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00BTR5,3,976,- afstand voorzijde voertuig tot hart   koppeling (a),0840,cm
00BTR5,4,978,- max. massa ongeremd:,750,kg
00BTR5,5,980,- max. massa autonoom geremd:,25749,kg
00BTR5,6,981,- max. massa middenas geremd:,15292,kg
00BTT5,1,134,In lange en zware voertuigcombinaties,,
00BTT5,2,136,- max. massa samenstel:,50000,kg
00BTT5,3,138,- max. massa autonoom geremd:,40517,kg
00BTT5,4,139,- max. massa middenas geremd:,30750,kg
00EE33,2,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00EJ13,3,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00EP32,2,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00EP60,3,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00GDG1,1,108,Kentekenplaat model 27.10. toegestaan,,
00GE72,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00GFL5,1,108,Kentekenplaat model 27.10. toegestaan,,
00GFR4,1,160,Af-fabriek roetfilter verwijderd,,
00GGJ5,1,108,Kentekenplaat model 27.10. toegestaan,,
00GH38,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00GHD9,1,55,Kentekenplaat model 18.2. toegestaan.,,
00GHP8,1,55,Kentekenplaat model 18.2. toegestaan.,,
00GKG9,1,55,Kentekenplaat model 18.2. toegestaan.,,
00GKS6,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00GKX1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00GL53,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00GLF9,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00GPD3,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00GPG2,1,108,Kentekenplaat model 27.10. toegestaan,,
00GPJ6,1,108,Kentekenplaat model 27.10. toegestaan,,
00GTN9,1,55,Kentekenplaat model 18.2. toegestaan.,,
00GVB3,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00GVG9,1,55,Kentekenplaat model 18.2. toegestaan.,,
00GVT2,1,108,Kentekenplaat model 27.10. toegestaan,,
00GXH9,1,55,Kentekenplaat model 18.2. toegestaan.,,
00GXL1,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
00GXL1,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00GXL1,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00HBX1,1,108,Kentekenplaat model 27.10. toegestaan,,
00HDF8,1,108,Kentekenplaat model 27.10. toegestaan,,
