OBJECTID,PUIC,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,SUBTYPE,LENGTE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,X_BEGIN,Y_BEGIN,X_EIND,Y_EIND,LATITUDE_BEGIN,LONGITUDE_BEGIN,LATITUDE_EIND,LONGITUDE_EIND,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,STATUS,Shape__Length
11,aa685ce66fee5021e05332a1e90aa57e,283,1,2021/02/01 16:33:49+00,spijlen / staaf hekwerk,5.427,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.567222,"81,567222",81.570758,"81,570758",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122565.175,487790.485,122568.732,487791.05,52.37702521,4.91087569,52.3770305,4.91092788,Prorail,L0004,bestaand,Actueel,5.42732692135789
12,aa685ce6718e5021e05332a1e90aa57e,283,0,2021/02/01 16:40:15+00,spijlen / staaf hekwerk,1.401,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.399418,"80,399418",80.401363,"80,401363",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121530.702,488235.722,121531.969,488235.125,52.3809646,4.89563989,52.38095931,4.89565856,Prorail,L0004,bestaand,Actueel,1.400606297287
13,aa685ce66ff65021e05332a1e90aa57e,283,1,2021/02/01 16:29:27+00,spijlen / staaf hekwerk,26.489,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.619432,"81,619432",81.64634,"81,646340",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122617.762,487796.35,122644.05,487799.603,52.37708103,4.91164738,52.37711181,4.91203311,Prorail,L0004,bestaand,Actueel,26.4888230103032
14,aa685ce670a45021e05332a1e90aa57e,283,1,2021/02/01 16:27:32+00,spijlen / staaf hekwerk,12.806,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.095618,"81,095618",81.111092,"81,111092",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122125.073,487870.686,122136.028,487864.055,52.37771983,4.90440485,52.37766089,4.90456638,Prorail,L0004,bestaand,Actueel,12.8056079603701
15,aa685ce673285021e05332a1e90aa57e,283,1,2021/02/01 16:29:51+00,spijlen / staaf hekwerk,2.206,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.567692,"81,567692",81.567662,"81,567662",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122568.299,487765.886,122568.033,487768.076,52.37680432,4.91092395,52.37682399,4.91091983,Prorail,L0004,bestaand,Actueel,2.20609519286907
16,aa685ce670f45021e05332a1e90aa57e,283,0,2021/02/01 16:39:02+00,spijlen / staaf hekwerk,1.623,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.301647,"81,301647",81.303292,"81,303292",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122302.172,487754.499,122303.747,487754.109,52.3766862,4.90701694,52.37668279,4.90704011,Prorail,L0004,bestaand,Actueel,1.62256741000182
17,aa685ce671fe5021e05332a1e90aa57e,283,1,2021/02/01 16:27:53+00,spijlen / staaf hekwerk,20.032,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.466931,"78,466931",78.486391,"78,486391",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,119851.003,489171.111,119869.439,489163.276,52.3892662,4.87087316,52.38919697,4.87114479,Prorail,L0004,bestaand,Actueel,20.0323288482017
18,96cbd26daac84e878a96b6aa6fcec123,283,0,2020/08/24 11:32:51+00,,4.03,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,081,,81,081__,Zaandam - Amsterdam Singelgracht Aansl.,74.654214,"74,654214",74.650367,"74,650367",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Zaandam - Amsterdam Singelgracht Aansl.,9,BASIS,116890.535,491531.562,116888.452,491534.835,52.41028239,4.82711841,52.41031166,4.82708743,Prorail,L0004,bestaand,Actueel,4.03037880438678
19,aa685ce66ff05021e05332a1e90aa57e,283,0,2021/02/01 16:46:47+00,spijlen / staaf hekwerk,6.936,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.448825,"78,448825",78.455555,"78,455555",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,119829.737,489168.481,119836.005,489165.51,52.3892412,4.87056106,52.3892149,4.87065344,Prorail,L0004,bestaand,Actueel,6.93647352766519
20,aa685ce672435021e05332a1e90aa57e,283,0,2021/02/01 16:45:15+00,spijlen / staaf hekwerk,10.611,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.502466,"80,502466",80.491873,"80,491873",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121605.913,488159.673,121596.223,488163.997,52.38028571,4.89675204,52.38032398,4.8966093,Prorail,L0004,bestaand,Actueel,10.6110124204682
21,aa685ce671e95021e05332a1e90aa57e,283,0,2021/02/01 16:43:06+00,draadmat,8.585,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,77.801997,"77,801997",77.810431,"77,810431",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,119340.324,489643.772,119345.853,489637.205,52.39348117,4.86332149,52.39342251,4.86340342,Prorail,L0004,bestaand,Actueel,8.58491704205652
22,aa685ce6704b5021e05332a1e90aa57e,283,0,2022/07/21 14:20:19+00,spijlen / staaf hekwerk,11.406,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.403665,"80,403665",80.414914,"80,414914",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121534.834,488235.356,121544.661,488229.565,52.38096156,4.89570062,52.38091012,4.89584552,Prorail,L0004,bestaand,Actueel,11.406384615644
23,8bba0e56048c44edb53f7a9c3050512c,283,0,2015/09/08 13:47:28+00,,61.468,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,081,,81,081__,Zaandam - Amsterdam Singelgracht Aansl.,74.62811,"74,628110",74.650367,"74,650367",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Zaandam - Amsterdam Singelgracht Aansl.,9,BASIS,116843.563,491531.918,116888.452,491534.835,52.41028232,4.82642807,52.41031166,4.82708743,Prorail,L0004,bestaand,Actueel,61.4680293643329
24,4a7266c8c683437394fad859a5fcf685,283,0,2015/09/25 08:04:29+00,,15.997,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),75.324916,"75,324916",75.309595,"75,309595",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Westhaven (gebied),9,BASIS,117403.993,491089.24,117389.13,491094.867,52.40634261,4.83471382,52.40639216,4.83449478,Prorail,L0004,bestaand,Actueel,15.9965132260688
25,aa685ce670095021e05332a1e90aa57e,283,0,2021/02/01 16:40:25+00,spijlen / staaf hekwerk,4.55,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.106216,"81,106216",81.106725,"81,106725",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122113.277,487826.848,122115.651,487830.73,52.37732514,4.90423591,52.37736017,4.9042704,Prorail,L0004,bestaand,Actueel,4.55046657862133
26,aa685ce672445021e05332a1e90aa57e,283,1,2021/02/01 16:48:35+00,spijlen / staaf hekwerk,3.196,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.531721,"81,531721",81.531746,"81,531746",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122531.688,487764.167,122532.055,487760.992,52.37678671,4.91038647,52.37675819,4.91039217,Prorail,L0004,bestaand,Actueel,3.19614048502252
27,aa685ce6722d5021e05332a1e90aa57e,283,0,2021/02/01 16:31:06+00,spijlen / staaf hekwerk,2.653,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.687001,"78,687001",78.68956,"78,689560",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,120071.227,489118.794,120073.748,489117.968,52.38881007,4.87411352,52.38880281,4.87415064,Prorail,L0004,bestaand,Actueel,2.65286957839996
28,aa685ce66e995021e05332a1e90aa57e,283,1,2021/02/01 16:48:02+00,spijlen / staaf hekwerk,3.191,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.531572,"81,531572",81.531535,"81,531535",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122530.602,487772.86,122530.223,487776.028,52.37686477,4.91036969,52.37689322,4.91036381,Prorail,L0004,bestaand,Actueel,3.19059007081762
29,aa685ce670f55021e05332a1e90aa57e,283,0,2021/02/01 16:47:45+00,gaashekwerk,2.643,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.50445,"81,504450",81.503782,"81,503782",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122505.697,487746.432,122505.294,487743.82,52.37662578,4.91000651,52.37660228,4.91000084,Prorail,L0004,bestaand,Actueel,2.6429061655685
30,ac9a7ad175964fcae0530b29a8c0022a,283,0,2020/08/24 11:32:01+00,spijlen / staaf hekwerk,1.361,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),77.508738,"77,508738",77.507374,"77,507374",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Westhaven (gebied),9,BASIS,119141.245,489861.424,119140.167,489862.254,52.39542428,4.86037366,52.39543167,4.86035774,Prorail,L0004,bestaand,Actueel,1.36050872838067
31,9ba37da8e4f74f60b62972919ace023b,283,0,2014/07/11 17:41:11+00,,15.625,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.153646,"81,153646",81.138768,"81,138768",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122182.588,487859.709,122169.654,487868.468,52.37762462,4.90525056,52.37770256,4.90505976,Prorail,L0004,bestaand,Actueel,15.6247827935469
32,e90eaa08c1fb481992b528e922c8b3dc,283,0,2015/09/25 08:04:29+00,,31.655,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),76.806285,"76,806285",76.837574,"76,837574",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Westhaven (gebied),9,BASIS,118626.778,490252.621,118650.927,490232.673,52.39890619,4.85277313,52.39872851,4.85313009,Prorail,L0004,bestaand,Actueel,31.6546541330028
33,aa685ce670e55021e05332a1e90aa57e,283,0,2021/02/01 16:33:18+00,spijlen / staaf hekwerk,6.711,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.327737,"81,327737",81.327337,"81,327337",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122340.618,487826.453,122339.092,487819.918,52.37733516,4.90757453,52.37727634,4.90755275,Prorail,L0004,bestaand,Actueel,6.7108047952537
34,eb54d77b4e9447b18ec5a3bd14c709fd,283,0,2018/12/07 13:50:44+00,,439.063,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.749219,"78,749219",78.344625,"78,344625",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,120098.662,489038.57,119670.673,489131.438,52.38809083,4.87452486,52.38889807,4.86822843,Prorail,L0004,bestaand,Actueel,439.063244932356
35,aa685ce6709c5021e05332a1e90aa57e,283,0,2021/02/01 16:37:33+00,spijlen / staaf hekwerk,194.154,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.689884,"78,689884",78.881395,"78,881395",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,120067.161,489104.55,120245.948,489031.583,52.3886818,4.87405528,52.38803738,4.87668904,Prorail,L0004,bestaand,Actueel,194.153744360657
36,ac9a7ad174764fcae0530b29a8c0022a,283,0,2020/08/24 11:32:10+00,spijlen / staaf hekwerk,82.459,Chw-Phw,Coenhavenweg - Petroleumhavenweg ,485,l,485,485_l,Amsterdam Hemhaven (gebied),450.194493,"450,194493",450.277261,"450,277261",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Hemhaven (gebied),9,BASIS,118767.376,491328.286,118761.522,491410.237,52.4085827,4.8547227,52.40931882,4.85462782,Prorail,L0004,bestaand,Actueel,82.4590363128949
37,aa685ce671295021e05332a1e90aa57e,283,0,2021/02/01 16:27:26+00,spijlen / staaf hekwerk,6.031,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.195657,"80,195657",80.200963,"80,200963",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121351.329,488334.285,121356.679,488331.501,52.38183945,4.89299566,52.38181476,4.89307451,Prorail,L0004,bestaand,Actueel,6.03101632845917
38,aa685ce66fa25021e05332a1e90aa57e,283,0,2021/02/01 16:33:55+00,spijlen / staaf hekwerk,2.836,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.745897,"78,745897",78.747068,"78,747068",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,120094.647,489038.17,120094.459,489035.34,52.38808698,4.87446592,52.38806153,4.87446345,Prorail,L0004,bestaand,Actueel,2.83623764871705
39,f2819e306e8644e4b1beea10945e8df1,283,0,2017/06/02 13:33:16+00,,1.66,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.081351,"78,081351",78.079764,"78,079764",Derden - Overig,Randstad Noord,RN,n.v.t.,n.v.t.,Amsterdam Singelgracht Aansl.,9,BASIS,119619.084,489516.4,119618.144,489517.748,52.39235449,4.86743008,52.39236655,4.86741612,Amsterdam,G0363,bestaand,Actueel,1.65955836522825
40,aa685ce6732c5021e05332a1e90aa57e,283,0,2021/02/01 16:51:09+00,spijlen / staaf hekwerk,3.241,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.494179,"80,494179",80.496645,"80,496645",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121621.594,488201.499,121622.669,488198.442,52.38066256,4.89697818,52.38063516,4.89699427,Prorail,L0004,bestaand,Actueel,3.24050520752552
41,aa685ce6723a5021e05332a1e90aa57e,283,0,2021/02/01 16:27:01+00,spijlen / staaf hekwerk,5.946,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.279737,"80,279737",80.285618,"80,285618",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121429.157,488296.795,121434.281,488293.779,52.38150728,4.89414245,52.38148049,4.89421801,Prorail,L0004,bestaand,Actueel,5.94572384155201
42,aa685ce671915021e05332a1e90aa57e,283,0,2021/02/01 16:41:35+00,spijlen / staaf hekwerk,4.422,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,77.956374,"77,956374",77.960593,"77,960593",Derden - Overig,Randstad Noord,RN,n.v.t.,n.v.t.,Amsterdam Singelgracht Aansl.,9,BASIS,119465.75,489543.828,119468.663,489540.501,52.39259109,4.86517466,52.39256137,4.86521781,Prorail,L0004,bestaand,Actueel,4.42204681114979
43,aa685ce66ff85021e05332a1e90aa57e,283,0,2021/02/01 16:46:33+00,spijlen / staaf hekwerk,1.009,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,77.986707,"77,986707",77.987666,"77,987666",Derden - Overig,Randstad Noord,RN,n.v.t.,n.v.t.,Amsterdam Singelgracht Aansl.,9,BASIS,119489.682,489522.387,119490.392,489521.67,52.39239994,4.8655285,52.39239354,4.865539,Prorail,L0004,bestaand,Actueel,1.00905351691573
44,aa685ce671fb5021e05332a1e90aa57e,283,1,2021/02/01 16:51:13+00,spijlen / staaf hekwerk,15.777,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.108129,"81,108129",81.092858,"81,092858",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122122.897,487842.948,122109.406,487851.127,52.37747041,4.90437561,52.37754311,4.90417669,Prorail,L0004,bestaand,Actueel,15.7768396955558
45,a78448f6f75e4c45a2989b04b0b2f800,283,0,2014/07/11 17:41:11+00,,19.003,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.508961,"80,508961",80.527933,"80,527933",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121587.888,488114.414,121604.043,488104.408,52.37987786,4.89649182,52.37978891,4.89673007,Prorail,L0004,bestaand,Actueel,19.0029212675678
46,aa685ce672cb5021e05332a1e90aa57e,283,0,2021/02/01 16:53:12+00,spijlen / staaf hekwerk,2.606,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,81.115429,"81,115429",81.117927,"81,117927",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,122123.51,487826.237,122125.729,487824.87,52.37732026,4.90438625,52.37730811,4.90441897,Prorail,L0004,bestaand,Actueel,2.60627128288672
47,aa685ce671a15021e05332a1e90aa57e,283,1,2021/02/01 16:27:10+00,spijlen / staaf hekwerk,6.215,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.401366,"78,401366",78.40246,"78,402460",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,119776.745,489168.219,119780.125,489173.434,52.38923545,4.86978268,52.38928253,4.86983178,Prorail,L0004,bestaand,Actueel,6.2145494607413
48,aa685ce671945021e05332a1e90aa57e,283,0,2021/02/01 16:37:42+00,spijlen / staaf hekwerk,54.501,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,78.54055,"78,540550",78.592861,"78,592861",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Singelgracht Aansl.,9,BASIS,119919.362,489133.042,119971.803,489118.226,52.38892844,4.87188128,52.38879863,4.87265314,Prorail,L0004,bestaand,Actueel,54.5014616557433
49,aa685ce6724d5021e05332a1e90aa57e,283,0,2021/02/01 16:30:33+00,spijlen / staaf hekwerk,6.867,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.637054,"80,637054",80.639833,"80,639833",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121699.711,488053.668,121700.088,488048.851,52.37933871,4.89814009,52.37929544,4.89814611,Prorail,L0004,bestaand,Actueel,6.86662322339775
50,aa685ce66e9d5021e05332a1e90aa57e,283,0,2021/02/01 16:27:03+00,spijlen / staaf hekwerk,18.695,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,586,,586,586__,Amsterdam Centraal,80.35053,"80,350530",80.367105,"80,367105",ProRail,Randstad Noord,RN,BASIS,Amsterdam,Amsterdam Centraal,9,BASIS,121452.116,488202.153,121467.177,488195.093,52.38065811,4.89448909,52.38059558,4.89471099,Prorail,L0004,bestaand,Actueel,18.6948217708622
