nummer;hotel naam in 2012;sterklasse NHC 2012;aantal kamers in 2012;aantal bedden in 2012;aantal campeerplekken;gemeente;plaats;postcode;straat;huisnummer;buurtindeling 2005;wijk;buurtindeling 2010;stadsdeel
13;PARK PLAZA VICTORIA AMSTERDAM HOTEL;4;306;604; ;AMSTERDAM;AMSTERDAM;1012LG;DAMRAK;1-5;A01c;A;A01c;A
14;HAMPHSHIRE HOTEL BEETHOVEN;3;52;107; ;AMSTERDAM;AMSTERDAM;1077HN;BEETHOVENSTRAAT;43-51;V49b;V;K49b;K
15;AMSTERDAM MARRIOTT HOTEL;5;392;998; ;AMSTERDAM;AMSTERDAM;1054ES;STADHOUDERSKADE;12;D22a;D;E22a;E
16;HILTON AMSTERDAM HOTEL;5;271;542; ;AMSTERDAM;AMSTERDAM;1077BG;APOLLOLAAN;138;V49c;V;K49c;K
17;GERSTEKORREL HOTEL,DE;2;32;75; ;AMSTERDAM;AMSTERDAM;1012JM;DAMSTRAAT;22;A00d;A;A00d;A
18;DAMRAK INN HOTEL;2;16;34; ;AMSTERDAM;AMSTERDAM;1012LL;DAMRAK;58;A01e;A;A01e;A
19;CHICO'S GUESTHOUSE;0;3;6; ;AMSTERDAM;AMSTERDAM;1073VA;ST.WILLIBRORDUSSTRAAT;77;V25b;V;K25b;K
20;DAMHOTEL;2;19;44; ;AMSTERDAM;AMSTERDAM;1012LJ;DAMRAK;31;A01c;A;A01c;A
21;AMSTERDAM HOSTEL CENTRE;1;9;40; ;AMSTERDAM;AMSTERDAM;1017RE;LEIDSEKRUISSTRAAT;13;A07c;A;A07c;A
23;CORDIAL HOTEL;2;50;105; ;AMSTERDAM;AMSTERDAM;1012KW;ROKIN;62-64;A01g;A;A01g;A
24;BLYSS HOTEL;3;39;87; ;AMSTERDAM;AMSTERDAM;1054GN;VONDELSTRAAT;74;D22a;D;E22a;E
25;LEIDSE SQUARE HOTEL A'DAM, BEST WESTERN;3;89;188; ;AMSTERDAM;AMSTERDAM;1054ET;TESSELSCHADESTRAAT;23;D22a;D;E22a;E
26;KOOYK HOTEL;1;19;38; ;AMSTERDAM;AMSTERDAM;1017PM;LEIDSEKADE;81-83;A07b;A;A07b;A
27;MERCURE AMSTERDAM A/D AMSTEL;4;368;766; ;AMSTERDAM;AMSTERDAM;1096CJ;JOAN MUYSKENWEG;10;U58d;U;M58d;M
28;NEUTRAAL HOTEL;0;34;55; ;AMSTERDAM;AMSTERDAM;1012LG;DAMRAK;8;A01c;A;A01c;A
29;MANOFA HOTEL;1;47;126; ;AMSTERDAM;AMSTERDAM;1012LL;DAMRAK;46-48;A01e;A;A01e;A
30;AGORA HOTEL;2;16;37; ;AMSTERDAM;AMSTERDAM;1017AW;SINGEL;462;A02e;A;A02e;A
32;POSTE HOTEL,DE LA;2;8;20; ;AMSTERDAM;AMSTERDAM;1017LJ;REGULIERSGRACHT;3-5;A03d;A;A03d;A
33;ROEMER HOTEL;4;23;46; ;AMSTERDAM;AMSTERDAM;1054EX;ROEMER VISSCHERSTRAAT;8-10;D22a;D;E22a;E
34;RHO HOTEL;3;167;333; ;AMSTERDAM;AMSTERDAM;1012KC;NES;5-23;A00d;A;A00d;A
35;AMSTERDAM-DE ROODE LEEUW HOTEL;4;79;146; ;AMSTERDAM;AMSTERDAM;1012LP;DAMRAK;93-94;A01e;A;A01e;A
36;INNER HOTEL;2;84;298; ;AMSTERDAM;AMSTERDAM;1071LA;WANNINGSTRAAT;1;V47c;V;K47c;K
37;SINT NICOLAAS HOTEL;3;27;61; ;AMSTERDAM;AMSTERDAM;1012SP;SPUISTRAAT;1A;A01b;A;A01b;A
38;SCHILLER HOTEL, NH;4;92;169; ;AMSTERDAM;AMSTERDAM;1017CV;REMBRANDTPLEIN;26-36;A03e;A;A03e;A
39;EDEN LANCASTER HOTEL;3;91;195; ;AMSTERDAM;AMSTERDAM;1018DH;PLANTAGE MIDDENLAAN;48;A08c;A;A08c;A
40;JIMMY HOTEL;1;13;19; ;AMSTERDAM;AMSTERDAM;1012TN;MARTELAARSGRACHT;15;A01c;A;A01c;A
41;ATLANTA HOTEL;2;36;71; ;AMSTERDAM;AMSTERDAM;1017CV;REMBRANDTPLEIN;8;A03e;A;A03e;A
44;REGAL HOTEL,THE;0;11;23; ;AMSTERDAM;AMSTERDAM;1013EA;BINNEN WIERINGERSTRAAT;7;A05b;A;A05b;A
45;VAN GELDER HOTEL;1;48;62; ;AMSTERDAM;AMSTERDAM;1012LK;DAMRAK;34;A01e;A;A01e;A
46;FREDERIK PARK HOUSE HOTEL;0;4;8; ;AMSTERDAM;AMSTERDAM;1017XM;FREDERIKSPLEIN;22;A07g;A;A07g;A
47;CROWN HOTEL,THE;1;17;41; ;AMSTERDAM;AMSTERDAM;1012EH;OUDEZIJDS VOORBURGWAL;21;A00a;A;A00a;A
48;DYLAN, THE;4;40;79; ;AMSTERDAM;AMSTERDAM;1016GB;KEIZERSGRACHT;384;A02c;A;A02c;A
49;SINGEL HOTEL;3;32;65; ;AMSTERDAM;AMSTERDAM;1012VC;SINGEL;13-17;A01b;A;A01b;A
50;DELTA HOTEL;3;47;110; ;AMSTERDAM;AMSTERDAM;1012LK;DAMRAK;42-43;A01e;A;A01e;A
51;HEGRA HOTEL;2;11;23; ;AMSTERDAM;AMSTERDAM;1016BJ;HERENGRACHT;269;A02c;A;A02c;A
52;D'AMSTERDAM HOTEL;3;16;31; ;AMSTERDAM;AMSTERDAM;1054CH;TWEEDE HELMERSSTRAAT;4;D20a;D;E20a;E
53;SARPHATI HOTEL;2;15;32; ;AMSTERDAM;AMSTERDAM;1073CZ;SARPHATIPARK;58;V25b;V;K25b;K
54;SPHINX HOTEL EUROPE;0;22;44; ;AMSTERDAM;AMSTERDAM;1017XR;WETERINGSCHANS;82;A07f;A;A07f;A
55;AMSTERDAM WIECHMANN HOTEL;2;37;80; ;AMSTERDAM;AMSTERDAM;1016HX;PRINSENGRACHT;328-332;A06g;A;A06g;A
56;ALBUS GRAND HOTEL;3;74;150; ;AMSTERDAM;AMSTERDAM;1017HE;VIJZELSTRAAT;49;A03c;A;A03c;A
57;ADMIRAAL HOTEL,DE;1;9;24; ;AMSTERDAM;AMSTERDAM;1017CD;HERENGRACHT;563;A03e;A;A03e;A
58;SARPHATI SUITES;4;4;8; ;AMSTERDAM;AMSTERDAM;1018GB;SARPHATISTRAAT;113;A08b;A;A08b;A
59;SHENZHOU BED & BREAKFAST;1;3;6; ;AMSTERDAM;AMSTERDAM;1011EL;GELDERSEKADE;75;A04d;A;A04d;A
60;DAM CITY ACCOMMODATION;1;3;8; ;AMSTERDAM;AMSTERDAM;1012CD;OUDE HOOGSTRAAT;7A-B;A00c;A;A00c;A
61;MALLE MOOLEN HOTEL,DE;1;13;33; ;AMSTERDAM;AMSTERDAM;1012HT;WARMOESSTRAAT;7;A00a;A;A00a;A
62;MISC EATDRINKSLEEP;2;6;12; ;AMSTERDAM;AMSTERDAM;1012CV;KLOVENIERSBURGWAL;20;A00c;A;A00c;A
63;OLD NICKEL HOTEL,THE;1;15;34; ;AMSTERDAM;AMSTERDAM;1012AG;NIEUWEBRUGSTEEG;11;A00a;A;A00a;A
64;BROUWER HOTEL;1;8;14; ;AMSTERDAM;AMSTERDAM;1012VE;SINGEL;83-85;A01d;A;A01d;A
67;AIVENGO YOUTH HOSTEL;0;2;40; ;AMSTERDAM;AMSTERDAM;1012TS;SPUISTRAAT;6;A01b;A;A01b;A
68;SEVEN ONE SEVEN;4;9;18; ;AMSTERDAM;AMSTERDAM;1017JW;PRINSENGRACHT;717;A03a;A;A03a;A
69;'T HOTEL LILY;3;8;19; ;AMSTERDAM;AMSTERDAM;1015DE;LELIEGRACHT;18;A02b;A;A02b;A
70;MUSEUM QUARTER,NH;4;163;326; ;AMSTERDAM;AMSTERDAM;1071XL;HOBBEMAKADE;50;V50a;V;K50a;K
71;ZUIVER / AMSTELPARK HOTEL;3;31;62; ;AMSTERDAM;AMSTERDAM;1081KH;KOENENKADE;8;W90e;W;K90e;K
72;IBIS AMSTERDAM CITY STOPERA;3;207;438; ;AMSTERDAM;AMSTERDAM;1011LZ;VALKENBURGERSTRAAT;68;A04f;A;A04f;A
74;MEVLANA HOTEL;1;16;28; ;AMSTERDAM;AMSTERDAM;1012SJ;NIEUWEZIJDS VOORBURGWAL;160;A01d;A;A01d;A
75;SCHAGEN HOTEL;1;10;23; ;AMSTERDAM;AMSTERDAM;1012AG;NIEUWEBRUGSTEEG;19;A00a;A;A00a;A
77;WESTCORD AMSTERDAM ART 3-sterren;3;130;274; ;AMSTERDAM;AMSTERDAM;1013ZX;SPAARNDAMMERDIJK;302;C13f;C;E13f;E
79;TULIP INN AMSTERDAM CENTRE;3;108;229; ;AMSTERDAM;AMSTERDAM;1012JT;BEURSSTRAAT;11-19;A00b;A;A00b;A
80;KOOPERMOOLEN HOTEL,DE;2;23;43; ;AMSTERDAM;AMSTERDAM;1012HT;WARMOESSTRAAT;5;A00a;A;A00a;A
83;BELLINGTON HOTEL;2;11;26; ;AMSTERDAM;AMSTERDAM;1071CB;P CORNELISZ HOOFTSTR;78;V47b;V;K47b;K
84;HOTEL VICTORIE;2;24;43; ;AMSTERDAM;AMSTERDAM;1078PH;VICTORIEPLEIN;42;W53a;W;K53a;K
85;AMSTERDAM HOUSE HOTEL EUREKA;3;16;34; ;AMSTERDAM;AMSTERDAM;1011KM;'S GRAVELANDSEVEER;3-4;A04h;A;A04h;A
87;HOTUSA OMEGA HOTEL;3;31;65; ;AMSTERDAM;AMSTERDAM;1071KG;JACOB OBRECHTSTRAAT;33;V47c;V;K47c;K
88;GOLDEN BEAR GAY HOTEL,THE;1;17;32; ;AMSTERDAM;AMSTERDAM;1017GB;KERKSTRAAT;37;A03a;A;A03a;A
95;WEBER HOTEL;2;7;14; ;AMSTERDAM;AMSTERDAM;1017PJ;MARNIXSTRAAT;397;A07b;A;A07b;A
97;TAMARA HOTEL;1;11;26; ;AMSTERDAM;AMSTERDAM;1012SJ;NIEUWEZIJDS VOORBURGWAL;144;A01d;A;A01d;A
99;V FREDERIKSPLEIN, HOTEL;3;48;96; ;AMSTERDAM;AMSTERDAM;1017XV;WETERINGSCHANS;136;A07h;A;A07h;A
101;BEST WESTERN APOLLO MUSEUMHOTEL AMSTERDAM CITY CENTRE;3;188;364; ;AMSTERDAM;AMSTERDAM;1071BX;P CORNELISZ HOOFTSTR;2-10;V47b;V;K47b;K
102;PLANTAGE HOTEL;2;19;43; ;AMSTERDAM;AMSTERDAM;1018CV;PLANTAGE KERKLAAN;25;A08c;A;A08c;A
103;IMPERIAL HOTEL;2;14;31; ;AMSTERDAM;AMSTERDAM;1017CS;THORBECKEPLEIN;9;A03e;A;A03e;A
106;SIPERMANN HOTEL;2;17;33; ;AMSTERDAM;AMSTERDAM;1054EW;ROEMER VISSCHERSTRAAT;35;D22a;D;E22a;E
107;ROOKIES, HOTEL THE;2;12;21; ;AMSTERDAM;AMSTERDAM;1017PZ;KORTE LEIDSEDWARSSTRAAT;147;A07c;A;A07c;A
108;NH CARLTON AMSTERDAM;4;218;440; ;AMSTERDAM;AMSTERDAM;1017HK;VIJZELSTRAAT;4;A03b;A;A03b;A
109;BRONCKHORST HOTEL;3;37;73; ;AMSTERDAM;AMSTERDAM;1071WR;BRONCKHORSTSTRAAT;14;V47f;V;K47f;K
111;LARENDE HOTEL;3;14;26; ;AMSTERDAM;AMSTERDAM;1053AJ;DE CLERCQSTRAAT;115;D18a;D;E18a;E
112;OLD CITY AMSTERDAM B&B;0;5;10; ;AMSTERDAM;AMSTERDAM;1012HK;PIETER JACOBSZOONDWARSSTRAAT;7-11;A00d;A;A00d;A
113;DOUBLETREE BY HILTON AMSTERDAM CENTRAL STATION;4;553;1000; ;AMSTERDAM;AMSTERDAM;1011DK;OOSTERDOKSSTRAAT;4;A04a;A;A04a;A
116;PARKZICHT HOTEL;2;14;24; ;AMSTERDAM;AMSTERDAM;1054EW;ROEMER VISSCHERSTRAAT;33;D22a;D;E22a;E
117;COLOURS IN DE PIJP B&B;0;3;6; ;AMSTERDAM;AMSTERDAM;1073VH;JAN V.D. HEIJDENSTRAAT;12-14;V24e;V;K24e;K
119;HTEL SERVICED APARTMENTS;0;45;147; ;AMSTERDAM;AMSTERDAM;1082JP;TEILINGEN;45;W90c;W;K90c;K
120;EASTERN PARK APARTMENTS SUITES;0;10;20; ;AMSTERDAM;AMSTERDAM;1093JC;WIJTTENBACHSTRAAT;30;U29b;U;M29b;M
121;HOLIDAY INN AMSTERDAM;4;264;772; ;AMSTERDAM;AMSTERDAM;1083HJ;DE BOELELAAN;2;W91e;W;K91e;K
122;MERCURE AMSTERDAM ARTHUR FROMMER;3;93;186; ;AMSTERDAM;AMSTERDAM;1017TV;NOORDERSTRAAT;46;A07e;A;A07e;A
123;CARANSA HOTEL,NH;4;66;132; ;AMSTERDAM;AMSTERDAM;1017CT;REMBRANDTPLEIN;19;A01i;A;A01i;A
124;DIKKER & THIJS HOTEL;4;42;88; ;AMSTERDAM;AMSTERDAM;1017KE;PRINSENGRACHT;444;A07c;A;A07c;A
125;NOVOTEL AMSTERDAM CITY;4;610;1220; ;AMSTERDAM;AMSTERDAM;1083AD;EUROPABOULEVARD;10;W91c;W;K91c;K
126;OKURA HOTEL AMSTERDAM;5;300;599; ;AMSTERDAM;AMSTERDAM;1072LH;FERDINAND BOLSTRAAT;333;V25c;V;K25c;K
128;NH GALAXY;4;290;580; ;AMSTERDAM;AMSTERDAM;1031XP;DISTELKADE;21;N60a;N;N60a;N
129;CONSCIOUS HOTEL MUSEUM SQUARE;3;36;79; ;AMSTERDAM;AMSTERDAM;1071NR;DE LAIRESSESTRAAT;5-7;V47f;V;K47f;K
130;AC TULIP INN AMSTERDAM RIVERSIDE;3;192;396; ;AMSTERDAM;AMSTERDAM;1108AB;PROVINCIALE WEG;38;T95c;T;T95c;T
131;CONSCIOUS HOTEL VONDELPARK;3;81;163; ;AMSTERDAM;AMSTERDAM;1054LH;OVERTOOM;519-521;D21b;D;E21b;E
132;TROPEN HOTEL,NH;3;80;160; ;AMSTERDAM;AMSTERDAM;1092CK;LINNAEUSSTRAAT;2C;U28c;U;M28c;M
133;HESTIA HOTEL;3;18;40; ;AMSTERDAM;AMSTERDAM;1054EV;ROEMER VISSCHERSTRAAT;7;D22a;D;E22a;E
135;FREELAND HOTEL;2;15;28; ;AMSTERDAM;AMSTERDAM;1017PL;MARNIXSTRAAT;386;A07b;A;A07b;A
136;PULITZER HOTEL, A LUXURY COLL.HOTEL;5;230;445; ;AMSTERDAM;AMSTERDAM;1016GZ;PRINSENGRACHT;315-331;A02c;A;A02c;A
137;ARMADA CANALVIEW HOTEL;2;22;51; ;AMSTERDAM;AMSTERDAM;1017DX;KEIZERSGRACHT;713-715;A03d;A;A03d;A
138;ATLAS HOTEL;3;23;49; ;AMSTERDAM;AMSTERDAM;1071GK;VAN EEGHENSTRAAT;64;V47d;V;K47d;K
139;EDEN THEATRE DISTRICT HOTEL AMSTERDAM;3;70;131; ;AMSTERDAM;AMSTERDAM;1054AE;NASSAUKADE;387-390;D20a;D;E20a;E
140;SWISSOTEL AMSTERDAM;4;109;218; ;AMSTERDAM;AMSTERDAM;1012LP;DAMRAK;96;A01e;A;A01e;A
141;OWL HOTEL;3;34;60; ;AMSTERDAM;AMSTERDAM;1054EV;ROEMER VISSCHERSTRAAT;1-3;D22a;D;E22a;E
142;ARTEMIS HOTEL;4;256;512; ;AMSTERDAM;AMSTERDAM;1066EP;JOHN M.KEYNESPLEIN;2;R88a;R;F88a;F
143;HOTEL NOTTING HILL;4;67;135; ;AMSTERDAM;AMSTERDAM;1017ZP;WESTEINDE;26;A07h;A;A07h;A
144;CITY GARDEN HOTEL;3;72;160; ;AMSTERDAM;AMSTERDAM;1071CH;P CORNELISZ HOOFTSTR;162;V47c;V;K47c;K
145;83 HOTEL;1;16;35; ;AMSTERDAM;AMSTERDAM;1012DC;OUDEZIJDS ACHTERBURGWAL;83;A00c;A;A00c;A
146;EUPHEMIA BUDGET HOTEL;1;29;108; ;AMSTERDAM;AMSTERDAM;1017TD;FOKKE SIMONSZSTRAAT;1-9;A07e;A;A07e;A
147;INTERNATIONAL BUDGET HOSTEL;0;14;52; ;AMSTERDAM;AMSTERDAM;1016CR;LEIDSEGRACHT;76;A06h;A;A06h;A
148;FALCON PLAZA HOTEL;3;50;109; ;AMSTERDAM;AMSTERDAM;1011LZ;VALKENBURGERSTRAAT;72;A04f;A;A04f;A
149;HANS BRINKER HOTEL;0;126;509; ;AMSTERDAM;AMSTERDAM;1017GR;KERKSTRAAT;136-138;A03c;A;A03c;A
150;PARKLANE HOTEL;2;13;26; ;AMSTERDAM;AMSTERDAM;1018ST;PLANTAGE PARKLAAN;16;A08c;A;A08c;A
151;EUROPA 92 HOTEL;3;47;98; ;AMSTERDAM;AMSTERDAM;1054BV;1E C HUYGENSSTR;103-105;D22a;D;E22a;E
153;BEST WESTERN DAM SQUARE INN;3;38;83; ;AMSTERDAM;AMSTERDAM;1012NM;GRAVENSTRAAT;12-16;A01e;A;A01e;A
154;SEVEN BRIDGES HOTEL;2;7;13; ;AMSTERDAM;AMSTERDAM;1017LK;REGULIERSGRACHT;31;A03d;A;A03d;A
157;QUENTIN HOTEL AMSTERDAM,THE;0;50;99; ;AMSTERDAM;AMSTERDAM;1017PN;LEIDSEKADE;89;A07b;A;A07b;A
158;CITIZENM HOTEL AMSTERDAM CITY;4;215;430; ;AMSTERDAM;AMSTERDAM;1077WX;PRINSES IRENESTRAAT;30;W59a;W;K59a;K
160;TORENZICHT HOTEL;1;21;36; ;AMSTERDAM;AMSTERDAM;1012DD;OUDEZIJDS ACHTERBURGWAL;93;A00c;A;A00c;A
161;FLIPPER HOTEL;2;24;55; ;AMSTERDAM;AMSTERDAM;1078VA;BORSSENBURGSTRAAT;5;W53b;W;K53b;K
162;VERDI HOTEL;2;11;22; ;AMSTERDAM;AMSTERDAM;1071LA;WANNINGSTRAAT;9;V47c;V;K47c;K
164;BLOEIENDE RAMENAS, HOTEL CAFE;1;11;28; ;AMSTERDAM;AMSTERDAM;1013KB;HAARLEMMERDIJK;61;A05c;A;A05c;A
166;OOSTERPARK HOTEL;1;9;19; ;AMSTERDAM;AMSTERDAM;1092AS;OOSTERPARK;72;U28c;U;M28c;M
167;ROKIN HOTEL;3;21;50; ;AMSTERDAM;AMSTERDAM;1012KL;ROKIN;73;A00d;A;A00d;A
168;GREENHOUSE HOTEL;2;9;19; ;AMSTERDAM;AMSTERDAM;1012HW;WARMOESSTRAAT;55;A00a;A;A00a;A
169;ASTERISK HOTEL;2;42;82; ;AMSTERDAM;AMSTERDAM;1017ZA;DEN TEXSTRAAT;16;A07f;A;A07f;A
170;ROYAL TASTE HOTEL;1;12;26; ;AMSTERDAM;AMSTERDAM;1012DB;OUDEZIJDS ACHTERBURGWAL;47;A00c;A;A00c;A
171;CRYSTAL HOTEL;2;17;34; ;AMSTERDAM;AMSTERDAM;1054CH;TWEEDE HELMERSSTRAAT;6;D20a;D;E20a;E
172;ACOSTAR HOTEL;2;30;61; ;AMSTERDAM;AMSTERDAM;1017GB;KERKSTRAAT;45-49;A03a;A;A03a;A
173;ORFEO HOTEL;0;19;37; ;AMSTERDAM;AMSTERDAM;1017RH;LEIDSEKRUISSTRAAT;14;A07c;A;A07c;A
174;ANNEMARIE HOTEL;0;11;28; ;AMSTERDAM;AMSTERDAM;1071LJ;JAN WILLEM BROUWERSSTR;14;V47c;V;K47c;K
175;IRIS HOTEL;1;9;24; ;AMSTERDAM;AMSTERDAM;1017WV;SARPHATIKADE;17;A07h;A;A07h;A
176;ZWAAN HOTEL,DE;0;8;15; ;AMSTERDAM;AMSTERDAM;1028BR;DORPSWEG RANSDORP;70;N73f;N;N73f;N
180;RESIDENCE LE COIN HOTEL;3;42;77; ;AMSTERDAM;AMSTERDAM;1012CP;NIEUWE DOELENSTRAAT;5;A00e;A;A00e;A
185;CITY HOTEL UTRECHTSESTRAAT;0;16;52; ;AMSTERDAM;AMSTERDAM;1017VN;UTRECHTSESTRAAT;2;A03e;A;A03e;A
186;MARNIX HOTEL;0;25;74; ;AMSTERDAM;AMSTERDAM;1016XX;MARNIXSTRAAT;382;A06j;A;A06j;A
187;EDEN HOTEL AMSTERDAM;3;218;409; ;AMSTERDAM;AMSTERDAM;1017AE;AMSTEL;144;A03e;A;A03e;A
188;EDEN REMBRANDT SQUARE HOTEL;4;166;331; ;AMSTERDAM;AMSTERDAM;1017DA;AMSTELSTRAAT;17;A03e;A;A03e;A
189;RADIO INN YOUTH HOSTEL;0;8;25; ;AMSTERDAM;AMSTERDAM;1017WD;UTRECHTSEDWARSSTRAAT;79;A07g;A;A07g;A
191;VIJAYA HOTEL;1;31;64; ;AMSTERDAM;AMSTERDAM;1012GE;OUDEZIJDS VOORBURGWAL;44;A00b;A;A00b;A
193;PRINSEN HOTEL;3;45;89; ;AMSTERDAM;AMSTERDAM;1054GE;VONDELSTRAAT;36-38;D22a;D;E22a;E
198;CANAL HOUSE;3;23;46; ;AMSTERDAM;AMSTERDAM;1015CX;KEIZERSGRACHT;148;A02b;A;A02b;A
202;VOYAGERS HOTEL;0;11;21; ;AMSTERDAM;AMSTERDAM;1012BH;GELDERSEKADE;2;A00a;A;A00a;A
207;DEUTSCHES SEEMANNNSHEIM, STICHTING;0;6;8; ;AMSTERDAM;AMSTERDAM;1017DZ;KEIZERSGRACHT;733;A03d;A;A03d;A
210;DOWNTOWN HOTEL;2;24;66; ;AMSTERDAM;AMSTERDAM;1017GA;KERKSTRAAT;25;A02e;A;A02e;A
212;BOUTIQUE HOTEL PATOU;0;12;24; ;AMSTERDAM;AMSTERDAM;1071BN;P CORNELISZ HOOFTSTR;63;V47b;V;K47b;K
215;ALP HOTEL;2;15;33; ;AMSTERDAM;AMSTERDAM;1052NH;DE CLERCQSTRAAT;52;D17a;D;E17a;E
219;VAN ONNA HOTEL;1;41;86; ;AMSTERDAM;AMSTERDAM;1015TN;BLOEMGRACHT;102-108;A06c;A;A06c;A
224;AMSTERLAND INN;2;15;30; ;AMSTERDAM;AMSTERDAM;1012BN;GELDERSEKADE;106;A00c;A;A00c;A
226;REMCO HOTEL;3;166;332; ;AMSTERDAM;AMSTERDAM;1069AE;REIMERSWAALSTRAAT;5;Q82a;Q;F82a;F
227;AMSTERDAM APARTMENTS ALEXANDER'S;2;8;16; ;AMSTERDAM;AMSTERDAM;1072AN;RUYSDAELKADE;109;V24d;V;K24d;K
239;CROYDON HOTEL;0;9;26; ;AMSTERDAM;AMSTERDAM;1012HX;WARMOESSTRAAT;75;A00b;A;A00b;A
240;ACACIA HOTEL;1;20;47; ;AMSTERDAM;AMSTERDAM;1015KH;LINDENGRACHT;251;A06b;A;A06b;A
241;DES ARTS HOTEL;2;22;55; ;AMSTERDAM;AMSTERDAM;1012LE;ROKIN;154-156;A01h;A;A01h;A
244;TOREN HOTEL;4;38;77; ;AMSTERDAM;AMSTERDAM;1015CZ;KEIZERSGRACHT;164;A02b;A;A02b;A
250;LA BOHEME HOTEL;2;18;39; ;AMSTERDAM;AMSTERDAM;1017PK;MARNIXSTRAAT;415;A07b;A;A07b;A
260;CC HOTEL;3;38;162; ;AMSTERDAM;AMSTERDAM;1012JE;WARMOESSTRAAT;40-42;A00a;A;A00a;A
261;SHELTER JORDAN CHRISTIAN HOSTEL;0;14;98; ;AMSTERDAM;AMSTERDAM;1016LA;BLOEMSTRAAT;179;A06c;A;A06c;A
265;BOB'S YOUTH HOSTEL;0;14;144; ;AMSTERDAM;AMSTERDAM;1012SG;NIEUWEZIJDS VOORBURGWAL;92;A01d;A;A01d;A
269;FLYING PIG UPTOWN HOSTEL,THE;0;30;205; ;AMSTERDAM;AMSTERDAM;1071AJ;VOSSIUSSTRAAT;46;V47b;V;K47b;K
270;FLYING PIG DOWNTOWN HOSTEL,THE;0;31;186; ;AMSTERDAM;AMSTERDAM;1012MR;NIEUWENDIJK;100;A01c;A;A01c;A
277;ARENA HOTEL;4;116;232; ;AMSTERDAM;AMSTERDAM;1092AA;'S-GRAVESANDESTRAAT;51;U28b;U;M28b;M
282;FITA HOTEL;3;15;27; ;AMSTERDAM;AMSTERDAM;1071CL;JAN LUIJKENSTRAAT;37;V47b;V;K47b;K
283;LEIDSEPLEIN HOTEL,HET;1;12;40; ;AMSTERDAM;AMSTERDAM;1017PW;KORTE LEIDSEDWARSSTRAAT;79;A07c;A;A07c;A
286;NL HOTEL AMSTERDAM;3;13;26; ;AMSTERDAM;AMSTERDAM;1054AB;NASSAUKADE;368;D20a;D;E20a;E
287;WINSTON HOTEL;2;67;183; ;AMSTERDAM;AMSTERDAM;1012JA;WARMOESSTRAAT;129;A00b;A;A00b;A
291;AROZA HOSTEL;0;9;29; ;AMSTERDAM;AMSTERDAM;1012LZ;NIEUWENDIJK;23;A01b;A;A01b;A
292;SEBASTIAN'S HOTEL;3;26;53; ;AMSTERDAM;AMSTERDAM;1015CC;KEIZERSGRACHT;15-17;A02a;A;A02a;A
294;ART GALLERY HOTEL;2;18;34; ;AMSTERDAM;AMSTERDAM;1017RX;WETERINGSCHANS;67;A07d;A;A07d;A
296;STAYOKAY AMSTERDAM STADSDOELEN;0;13;176; ;AMSTERDAM;AMSTERDAM;1011KB;KLOVENIERSBURGWAL;97;A04h;A;A04h;A
298;STAYOKAY AMSTERDAM VONDELPARK;0;105;536; ;AMSTERDAM;AMSTERDAM;1054GA;ZANDPAD;5;D22a;D;E22a;E
310;LEIDSESQUARE LUXURY SUITES;0;5;20; ;AMSTERDAM;AMSTERDAM;1017PS;LEIDSEPLEIN;13-17;A07d;A;A07d;A
