Kenteken,Carrosserie volgnummer,Carrosserietype,Type Carrosserie Europese omschrijving
0061ZZ,1,DA,Oplegger
0062WT,1,DC,Middenasaanhangwagen
0063WL,1,DC,Middenasaanhangwagen
0063WT,1,DC,Middenasaanhangwagen
0063ZE,1,AA,Sedan
0064DE,1,AA,Sedan
0064WH,1,DC,Middenasaanhangwagen
0064WU,1,DB,Autonome aanhangwagen
0064ZZ,1,DA,Oplegger
0065TP,1,AE,Cabriolet
0066ZZ,1,DB,Autonome aanhangwagen
0067WV,1,DC,Middenasaanhangwagen
0068WN,1,DC,Middenasaanhangwagen
0069WH,1,DC,Middenasaanhangwagen
0069WL,1,DC,Middenasaanhangwagen
0070WF,1,DB,Autonome aanhangwagen
0070WG,1,DC,Middenasaanhangwagen
0071WF,1,DC,Middenasaanhangwagen
0071WN,1,DC,Middenasaanhangwagen
0072EB,1,BA,Vrachtwagen
0072WF,1,DC,Middenasaanhangwagen
0072WN,1,DC,Middenasaanhangwagen
0072WP,1,DC,Middenasaanhangwagen
0073WN,1,DC,Middenasaanhangwagen
0073WS,1,DC,Middenasaanhangwagen
0073ZZ,1,BA,Vrachtwagen
0074WF,1,DC,Middenasaanhangwagen
0074WR,1,DC,Middenasaanhangwagen
0074WS,1,DC,Middenasaanhangwagen
0074WU,1,DC,Middenasaanhangwagen
0074ZZ,1,CG,Geleed enkeldeksvoertuig met lage vloer
0075PH,1,AD,Coupe
0075ZZ,1,CG,Geleed enkeldeksvoertuig met lage vloer
0076ZZ,1,CG,Geleed enkeldeksvoertuig met lage vloer
0077ZZ,1,CG,Geleed enkeldeksvoertuig met lage vloer
0079WG,1,DB,Autonome aanhangwagen
0079WN,1,DB,Autonome aanhangwagen
0079WZ,1,DC,Middenasaanhangwagen
0080EB,1,BA,Vrachtwagen
0080WT,1,DC,Middenasaanhangwagen
0080ZZ,1,DB,Autonome aanhangwagen
0081WP,1,DB,Autonome aanhangwagen
0082ZZ,1,DB,Autonome aanhangwagen
0084WN,1,DB,Autonome aanhangwagen
0084WT,1,DC,Middenasaanhangwagen
0084ZZ,1,DA,Oplegger
0085ZZ,1,DC,Middenasaanhangwagen
0086GM,1,AA,Sedan
0086WN,1,DC,Middenasaanhangwagen
0086WT,1,DB,Autonome aanhangwagen
0086ZZ,1,DA,Oplegger
0087ZZ,1,DA,Oplegger
0088WG,1,DC,Middenasaanhangwagen
0088ZZ,1,DA,Oplegger
0089BU,1,AA,Sedan
0089WT,1,DC,Middenasaanhangwagen
0089ZZ,1,DA,Oplegger
0090WN,1,DC,Middenasaanhangwagen
0090WR,1,DC,Middenasaanhangwagen
0091JD,1,AE,Cabriolet
0091VB,1,BB,Bestelwagen
0091WD,1,DB,Autonome aanhangwagen
0091WN,1,DC,Middenasaanhangwagen
0091ZZ,1,DA,Oplegger
0092WD,1,DB,Autonome aanhangwagen
0092ZZ,1,DA,Oplegger
0093SK,1,AA,Sedan
0093WP,1,DC,Middenasaanhangwagen
0093ZZ,1,DA,Oplegger
0094EB,1,BA,Vrachtwagen
0094ZZ,1,DA,Oplegger
0095WL,1,DC,Middenasaanhangwagen
0096WN,1,DC,Middenasaanhangwagen
0098WN,1,DC,Middenasaanhangwagen
0098ZZ,1,DA,Oplegger
0099GB,1,BA,Vrachtwagen
0099WV,1,DB,Autonome aanhangwagen
00AB18,1,BA,Vrachtwagen
00AB92,1,BB,Bestelwagen
00AD47,1,AD,Coupe
00AM88,1,AD,Coupe
00AU23,1,AA,Sedan
00BA10,1,AE,Cabriolet
00BB03,1,BB,Bestelwagen
00BB29,1,BA,Vrachtwagen
00BBB2,1,BA,Vrachtwagen
00BBB3,1,BA,Vrachtwagen
00BBB4,1,BB,Bestelwagen
00BBB6,1,BC,Opleggertrekker
00BBB7,1,BA,Vrachtwagen
00BBB9,1,BC,Opleggertrekker
00BBD9,1,BC,Opleggertrekker
00BBF2,1,BC,Opleggertrekker
00BBF3,1,BA,Vrachtwagen
00BBF6,1,BA,Vrachtwagen
00BBG3,1,BC,Opleggertrekker
00BBG6,1,CE,Enkeldeksvoertuig met lage vloer
00BBG7,1,CE,Enkeldeksvoertuig met lage vloer
00BBG8,1,BC,Opleggertrekker
00BBH1,1,BA,Vrachtwagen
00BBH5,1,CI,Enkeldeksvoertuig (met open dak)
00BBH5,2,CM,Enkeldeks met lage vloer (klasse II)
00BBH6,1,BA,Vrachtwagen
00BBH7,1,CE,Enkeldeksvoertuig met lage vloer
00BBH9,1,BA,Vrachtwagen
00BBJ1,1,CE,Enkeldeksvoertuig met lage vloer
00BBJ2,1,CE,Enkeldeksvoertuig met lage vloer
00BBJ4,1,BB,Bestelwagen
00BBJ5,1,CE,Enkeldeksvoertuig met lage vloer
00BBJ7,1,BB,Bestelwagen
00BBJ8,1,CE,Enkeldeksvoertuig met lage vloer
00BBK3,1,BA,Vrachtwagen
00BBK4,1,BC,Opleggertrekker
00BBK5,1,BC,Opleggertrekker
00BBK6,1,CE,Enkeldeksvoertuig met lage vloer
00BBK9,1,BC,Opleggertrekker
00BBL2,1,BA,Vrachtwagen
00BBL8,1,BA,Vrachtwagen
00BBL9,1,BC,Opleggertrekker
00BBN1,1,BA,Vrachtwagen
00BBN3,1,BC,Opleggertrekker
00BBN4,1,BA,Vrachtwagen
00BBN5,1,BC,Opleggertrekker
00BBN6,1,BA,Vrachtwagen
00BBN7,1,BA,Vrachtwagen
00BBP2,1,BC,Opleggertrekker
00BBP4,1,CE,Enkeldeksvoertuig met lage vloer
00BBP6,1,BC,Opleggertrekker
00BBP7,1,BA,Vrachtwagen
00BBR4,1,BC,Opleggertrekker
00BBR5,1,BC,Opleggertrekker
00BBR7,1,BA,Vrachtwagen
00BBS1,1,BA,Vrachtwagen
00BBS2,1,BA,Vrachtwagen
00BBS6,1,BC,Opleggertrekker
00BBT3,1,BA,Vrachtwagen
00BBT5,1,BA,Vrachtwagen
00BBT7,1,BA,Vrachtwagen
00BBV1,1,BA,Vrachtwagen
00BBV3,1,BA,Vrachtwagen
00BBV4,1,BA,Vrachtwagen
00BBV5,1,BC,Opleggertrekker
00BBV9,1,BC,Opleggertrekker
00BBX3,1,BC,Opleggertrekker
00BBX4,1,BC,Opleggertrekker
00BBX8,1,BC,Opleggertrekker
00BBX9,1,BA,Vrachtwagen
00BBZ1,1,BA,Vrachtwagen
00BBZ4,1,BC,Opleggertrekker
00BDB1,1,BA,Vrachtwagen
00BDB3,1,BC,Opleggertrekker
00BDB5,1,BA,Vrachtwagen
00BDB9,1,BC,Opleggertrekker
00BDD2,1,BA,Vrachtwagen
00BDD4,1,BA,Vrachtwagen
00BDD5,1,BA,Vrachtwagen
00BDD6,1,BA,Vrachtwagen
00BDD7,1,BC,Opleggertrekker
00BDF5,1,BA,Vrachtwagen
00BDF6,1,BC,Opleggertrekker
00BDF8,1,BA,Vrachtwagen
00BDG1,1,BA,Vrachtwagen
00BDG4,1,BC,Opleggertrekker
00BDG7,1,BC,Opleggertrekker
00BDG8,1,BC,Opleggertrekker
00BDG9,1,BC,Opleggertrekker
00BDH1,1,BC,Opleggertrekker
00BDH5,1,BA,Vrachtwagen
00BDH6,1,BC,Opleggertrekker
00BDH7,1,CE,Enkeldeksvoertuig met lage vloer
00BDH9,1,BC,Opleggertrekker
00BDJ7,1,BC,Opleggertrekker
00BDJ8,1,BC,Opleggertrekker
00BDK1,1,BA,Vrachtwagen
00BDK2,1,BA,Vrachtwagen
00BDK5,1,BC,Opleggertrekker
00BDK6,1,BA,Vrachtwagen
00BDK7,1,BC,Opleggertrekker
00BDK8,1,BA,Vrachtwagen
00BDK9,1,BA,Vrachtwagen
00BDL2,1,BA,Vrachtwagen
00BDL3,1,BA,Vrachtwagen
00BDL4,1,BC,Opleggertrekker
00BDL5,1,BC,Opleggertrekker
00BDL5,2,BA,Vrachtwagen
00BDL6,1,BA,Vrachtwagen
00BDL8,1,BA,Vrachtwagen
00BDL9,1,BA,Vrachtwagen
00BDN1,1,BA,Vrachtwagen
00BDN2,1,BA,Vrachtwagen
00BDP2,1,BA,Vrachtwagen
00BDP3,1,BC,Opleggertrekker
00BDP9,1,CG,Geleed enkeldeksvoertuig met lage vloer
00BDR1,1,CA,Enkeldeksvoertuig
00BDR5,1,BA,Vrachtwagen
00BDR6,1,CG,Geleed enkeldeksvoertuig met lage vloer
00BDR7,1,BC,Opleggertrekker
00BDS1,1,BA,Vrachtwagen
00BDS2,1,BC,Opleggertrekker
00BDS4,1,BC,Opleggertrekker
00BDS5,1,BA,Vrachtwagen
00BDS7,1,BA,Vrachtwagen
00BDS8,1,BA,Vrachtwagen
00BDS9,1,BC,Opleggertrekker
00BDT1,1,BC,Opleggertrekker
00BDT6,1,CA,Enkeldeksvoertuig
00BDT7,1,BA,Vrachtwagen
00BDT9,1,BC,Opleggertrekker
00BDV1,1,BC,Opleggertrekker
00BDV2,1,BC,Opleggertrekker
00BDV3,1,BA,Vrachtwagen
00BDV4,1,BA,Vrachtwagen
00BDV6,1,BA,Vrachtwagen
00BDX1,1,BA,Vrachtwagen
00BDX2,1,BA,Vrachtwagen
00BDX3,1,BC,Opleggertrekker
00BDX4,1,BC,Opleggertrekker
00BDX6,1,CA,Enkeldeksvoertuig
00BDX7,1,BC,Opleggertrekker
00BDZ5,1,BA,Vrachtwagen
00BDZ6,1,BC,Opleggertrekker
00BDZ8,1,BA,Vrachtwagen
00BDZ9,1,BC,Opleggertrekker
00BFB2,1,BA,Vrachtwagen
00BFB3,1,BA,Vrachtwagen
00BFB7,1,BC,Opleggertrekker
00BFD2,1,BC,Opleggertrekker
00BFD4,1,BC,Opleggertrekker
00BFD6,1,BC,Opleggertrekker
00BFD7,1,BA,Vrachtwagen
00BFD8,1,BA,Vrachtwagen
00BFD9,1,BA,Vrachtwagen
00BFF2,1,BC,Opleggertrekker
00BFF7,1,BA,Vrachtwagen
00BFF9,1,BC,Opleggertrekker
00BFG2,1,BA,Vrachtwagen
00BFG4,1,BC,Opleggertrekker
00BFG5,1,BC,Opleggertrekker
00BFG6,1,BC,Opleggertrekker
00BFG7,1,BA,Vrachtwagen
00BFH3,1,BC,Opleggertrekker
00BFH5,1,CE,Enkeldeksvoertuig met lage vloer
00BFH7,1,BC,Opleggertrekker
00BFH8,1,BA,Vrachtwagen
00BFH9,1,BC,Opleggertrekker
00BFJ1,1,BC,Opleggertrekker
00BFJ2,1,BC,Opleggertrekker
00BFJ3,1,BC,Opleggertrekker
00BFJ5,1,BA,Vrachtwagen
00BFJ6,1,BC,Opleggertrekker
00BFJ8,1,BC,Opleggertrekker
00BFK1,1,CA,Enkeldeksvoertuig
00BFK3,1,CA,Enkeldeksvoertuig
00BFK4,1,BA,Vrachtwagen
00BFK5,1,BC,Opleggertrekker
00BFK6,1,BC,Opleggertrekker
00BFK7,1,BA,Vrachtwagen
00BFK9,1,BC,Opleggertrekker
00BFL2,1,BA,Vrachtwagen
00BFL4,1,BC,Opleggertrekker
00BFL6,1,BC,Opleggertrekker
00BFL8,1,BC,Opleggertrekker
00BFL9,1,BC,Opleggertrekker
00BFN1,1,BA,Vrachtwagen
00BFN2,1,BC,Opleggertrekker
00BFN6,1,BC,Opleggertrekker
00BFN7,1,BC,Opleggertrekker
00BFN8,1,BA,Vrachtwagen
00BFP2,1,BA,Vrachtwagen
00BFP3,1,BC,Opleggertrekker
00BFP4,1,BA,Vrachtwagen
00BFP7,1,BC,Opleggertrekker
00BFP8,1,BC,Opleggertrekker
00BFP9,1,BA,Vrachtwagen
00BFR3,1,BC,Opleggertrekker
00BFR5,1,BA,Vrachtwagen
00BFR6,1,BA,Vrachtwagen
00BFR9,1,BC,Opleggertrekker
00BFS7,1,BC,Opleggertrekker
00BFS8,1,BC,Opleggertrekker
00BFT1,1,BA,Vrachtwagen
00BFT2,1,BC,Opleggertrekker
00BFT3,1,BA,Vrachtwagen
00BFT5,1,BC,Opleggertrekker
00BFT6,1,BC,Opleggertrekker
00BFT7,1,BC,Opleggertrekker
00BFT8,1,BC,Opleggertrekker
00BFV1,1,BC,Opleggertrekker
00BFV2,1,BC,Opleggertrekker
00BFV5,1,BC,Opleggertrekker
00BFV6,1,BA,Vrachtwagen
00BFV8,1,BC,Opleggertrekker
00BFX1,1,BA,Vrachtwagen
00BFX4,1,BC,Opleggertrekker
00BFX5,1,BC,Opleggertrekker
00BFX7,1,BA,Vrachtwagen
00BFX8,1,BC,Opleggertrekker
00BFZ2,1,BC,Opleggertrekker
00BFZ3,1,CB,Dubbeldeksvoertuig
00BFZ4,1,BC,Opleggertrekker
00BFZ5,1,BC,Opleggertrekker
00BFZ6,1,BC,Opleggertrekker
00BFZ7,1,BA,Vrachtwagen
00BFZ8,1,BC,Opleggertrekker
00BFZ9,1,BA,Vrachtwagen
00BGB1,1,BC,Opleggertrekker
00BGB3,1,BC,Opleggertrekker
00BGB5,1,BA,Vrachtwagen
00BGB6,1,BC,Opleggertrekker
00BGB7,1,BC,Opleggertrekker
00BGB8,1,BC,Opleggertrekker
00BGB9,1,BC,Opleggertrekker
00BGD1,1,BA,Vrachtwagen
00BGD2,1,BA,Vrachtwagen
00BGD3,1,BA,Vrachtwagen
00BGD7,1,BC,Opleggertrekker
00BGD8,1,BC,Opleggertrekker
00BGF1,1,BC,Opleggertrekker
00BGF2,1,BC,Opleggertrekker
00BGF3,1,BC,Opleggertrekker
00BGF4,1,BC,Opleggertrekker
00BGF7,1,BC,Opleggertrekker
00BGF8,1,BC,Opleggertrekker
00BGF9,1,BC,Opleggertrekker
00BGG1,1,BA,Vrachtwagen
00BGG3,1,BC,Opleggertrekker
00BGG4,1,BA,Vrachtwagen
00BGG5,1,BC,Opleggertrekker
00BGG6,1,BC,Opleggertrekker
00BGG8,1,BC,Opleggertrekker
00BGH1,1,BA,Vrachtwagen
00BGH4,1,BC,Opleggertrekker
00BGH5,1,BC,Opleggertrekker
00BGH8,1,BC,Opleggertrekker
00BGH9,1,BA,Vrachtwagen
00BGJ1,1,BA,Vrachtwagen
00BGJ4,1,BA,Vrachtwagen
00BGJ6,1,BC,Opleggertrekker
00BGJ7,1,BC,Opleggertrekker
00BGK2,1,BA,Vrachtwagen
00BGK3,1,BC,Opleggertrekker
00BGK4,1,BA,Vrachtwagen
00BGK6,1,BC,Opleggertrekker
00BGK7,1,BC,Opleggertrekker
00BGK8,1,BA,Vrachtwagen
00BGK9,1,BC,Opleggertrekker
00BGL1,1,BC,Opleggertrekker
00BGL2,1,BC,Opleggertrekker
00BGL3,1,BC,Opleggertrekker
00BGL4,1,BA,Vrachtwagen
00BGL6,1,BC,Opleggertrekker
00BGL8,1,BA,Vrachtwagen
00BGL9,1,BC,Opleggertrekker
00BGN1,1,BC,Opleggertrekker
00BGN3,1,BC,Opleggertrekker
00BGN4,1,BA,Vrachtwagen
00BGN5,1,BC,Opleggertrekker
00BGN6,1,BA,Vrachtwagen
00BGN7,1,BC,Opleggertrekker
00BGN8,1,BA,Vrachtwagen
00BGP2,1,BA,Vrachtwagen
00BGP3,1,BC,Opleggertrekker
00BGR3,1,BC,Opleggertrekker
00BGR5,1,BC,Opleggertrekker
00BGR6,1,BC,Opleggertrekker
00BGR8,1,BA,Vrachtwagen
00BGR9,1,BC,Opleggertrekker
00BGS1,1,BC,Opleggertrekker
00BGS2,1,BC,Opleggertrekker
00BGS5,1,BC,Opleggertrekker
00BGS8,1,BC,Opleggertrekker
00BGS9,1,BC,Opleggertrekker
00BGT2,1,BA,Vrachtwagen
00BGT3,1,BC,Opleggertrekker
00BGT4,1,BC,Opleggertrekker
00BGT5,1,BC,Opleggertrekker
00BGT6,1,BA,Vrachtwagen
00BGT7,1,BA,Vrachtwagen
00BGT8,1,BA,Vrachtwagen
00BGT9,1,BC,Opleggertrekker
00BGV2,1,BC,Opleggertrekker
00BGV3,1,BC,Opleggertrekker
00BGV4,1,BA,Vrachtwagen
00BGV5,1,BC,Opleggertrekker
00BGV6,1,BC,Opleggertrekker
00BGV8,1,BC,Opleggertrekker
00BGV9,1,BC,Opleggertrekker
00BGX1,1,BC,Opleggertrekker
00BGX2,1,BA,Vrachtwagen
00BGX3,1,BC,Opleggertrekker
00BGX4,1,BC,Opleggertrekker
00BGX5,1,BC,Opleggertrekker
00BGX8,1,BA,Vrachtwagen
00BGX9,1,BA,Vrachtwagen
00BGZ1,1,BC,Opleggertrekker
00BGZ3,1,BC,Opleggertrekker
00BGZ4,1,BC,Opleggertrekker
00BGZ5,1,BA,Vrachtwagen
00BGZ9,1,BC,Opleggertrekker
00BHB2,1,CA,Enkeldeksvoertuig
00BHB3,1,BC,Opleggertrekker
00BHB5,1,BC,Opleggertrekker
00BHB7,1,BC,Opleggertrekker
00BHB8,1,BC,Opleggertrekker
00BHB9,1,BA,Vrachtwagen
00BHD1,1,BA,Vrachtwagen
00BHD2,1,BA,Vrachtwagen
00BHD3,1,BC,Opleggertrekker
00BHD4,1,BC,Opleggertrekker
00BHD8,1,BA,Vrachtwagen
00BHD9,1,BC,Opleggertrekker
00BHF1,1,BA,Vrachtwagen
00BHF2,1,BA,Vrachtwagen
00BHF3,1,CA,Enkeldeksvoertuig
00BHF4,1,BA,Vrachtwagen
00BHF5,1,BC,Opleggertrekker
00BHF6,1,BB,Bestelwagen
00BHF9,1,BC,Opleggertrekker
00BHG2,1,BC,Opleggertrekker
00BHG4,1,BA,Vrachtwagen
00BHG5,1,BA,Vrachtwagen
00BHG7,1,BC,Opleggertrekker
00BHG8,1,BA,Vrachtwagen
00BHG9,1,CB,Dubbeldeksvoertuig
00BHH3,1,BA,Vrachtwagen
00BHH4,1,BC,Opleggertrekker
00BHH5,1,BC,Opleggertrekker
00BHH6,1,BC,Opleggertrekker
00BHH7,1,BA,Vrachtwagen
00BHH9,1,BA,Vrachtwagen
00BHJ2,1,BA,Vrachtwagen
00BHJ3,1,BA,Vrachtwagen
00BHJ4,1,BC,Opleggertrekker
00BHJ5,1,BC,Opleggertrekker
00BHJ6,1,BA,Vrachtwagen
00BHJ7,1,BA,Vrachtwagen
00BHK3,1,BC,Opleggertrekker
00BHK5,1,BA,Vrachtwagen
00BHK6,1,BC,Opleggertrekker
00BHK7,1,BA,Vrachtwagen
00BHK8,1,BA,Vrachtwagen
00BHL1,1,BC,Opleggertrekker
00BHL2,1,BC,Opleggertrekker
00BHL3,1,BA,Vrachtwagen
00BHL4,1,BC,Opleggertrekker
00BHL5,1,BA,Vrachtwagen
00BHL6,1,BA,Vrachtwagen
00BHL9,1,BA,Vrachtwagen
00BHN1,1,BC,Opleggertrekker
00BHN3,1,BA,Vrachtwagen
00BHN4,1,BC,Opleggertrekker
00BHN6,1,BC,Opleggertrekker
00BHN7,1,BC,Opleggertrekker
00BHN8,1,BA,Vrachtwagen
00BHP1,1,BA,Vrachtwagen
00BHP2,1,BC,Opleggertrekker
00BHP3,1,BC,Opleggertrekker
00BHP4,1,BA,Vrachtwagen
00BHP5,1,BA,Vrachtwagen
00BHP6,1,CE,Enkeldeksvoertuig met lage vloer
00BHP7,1,CE,Enkeldeksvoertuig met lage vloer
00BHP8,1,BC,Opleggertrekker
00BHP9,1,BA,Vrachtwagen
00BHR1,1,BC,Opleggertrekker
00BHR4,1,CE,Enkeldeksvoertuig met lage vloer
00BHS2,1,BC,Opleggertrekker
00BHS3,1,BC,Opleggertrekker
00BHS4,1,BC,Opleggertrekker
00BHS5,1,BC,Opleggertrekker
00BHS6,1,BA,Vrachtwagen
00BHS7,1,BC,Opleggertrekker
00BHS9,1,BC,Opleggertrekker
00BHT3,1,BA,Vrachtwagen
00BHT4,1,BC,Opleggertrekker
00BHT6,1,CE,Enkeldeksvoertuig met lage vloer
00BHT8,1,CE,Enkeldeksvoertuig met lage vloer
00BHT9,1,BA,Vrachtwagen
00BHV2,1,BC,Opleggertrekker
00BHV3,1,BC,Opleggertrekker
00BHV4,1,BC,Opleggertrekker
00BHV7,1,BC,Opleggertrekker
00BHV7,2,BA,Vrachtwagen
00BHV8,1,BA,Vrachtwagen
00BHV9,1,CE,Enkeldeksvoertuig met lage vloer
00BHX1,1,BA,Vrachtwagen
00BHX2,1,BC,Opleggertrekker
00BHX3,1,BA,Vrachtwagen
00BHX5,1,BC,Opleggertrekker
00BHX6,1,BA,Vrachtwagen
00BHX7,1,BC,Opleggertrekker
00BHX9,1,BC,Opleggertrekker
00BHZ2,1,BC,Opleggertrekker
00BHZ5,1,BC,Opleggertrekker
00BHZ8,1,BA,Vrachtwagen
00BHZ9,1,BC,Opleggertrekker
00BJB1,1,BA,Vrachtwagen
00BJB4,1,BC,Opleggertrekker
00BJB5,1,BC,Opleggertrekker
00BJB7,1,BC,Opleggertrekker
00BJB8,1,BC,Opleggertrekker
00BJD1,1,CA,Enkeldeksvoertuig
00BJD2,1,BA,Vrachtwagen
00BJD3,1,BC,Opleggertrekker
00BJD4,1,BC,Opleggertrekker
00BJD6,1,BC,Opleggertrekker
00BJD8,1,BA,Vrachtwagen
00BJD9,1,BA,Vrachtwagen
00BJF1,1,BA,Vrachtwagen
00BJF2,1,BA,Vrachtwagen
00BJF4,1,BC,Opleggertrekker
00BJF5,1,BC,Opleggertrekker
00BJF6,1,BC,Opleggertrekker
00BJF7,1,BC,Opleggertrekker
00BJF8,1,BC,Opleggertrekker
00BJF9,1,BC,Opleggertrekker
00BJG2,1,BA,Vrachtwagen
00BJG3,1,BC,Opleggertrekker
00BJG4,1,CA,Enkeldeksvoertuig
00BJG5,1,BC,Opleggertrekker
00BJG6,1,BA,Vrachtwagen
00BJG7,1,BC,Opleggertrekker
00BJG8,1,BC,Opleggertrekker
00BJG9,1,BC,Opleggertrekker
00BJH1,1,BA,Vrachtwagen
00BJH2,1,BC,Opleggertrekker
