"fiscal_year","buildingcode","buildingname","districtcode","districtname","isdcode","isdname","entitytype","status","school_emphasis","setting","phonenumber","address_line_1","zip_code","school_type","school_level","locale_name","county_name","unique_id","attribute","url"
"2015","9889","Academy for Business and Technology Elementary","82921","Academy for Business and Technology","82","Wayne RESA","PSA School","Open-Active","General Education","Multiple Settings","3135812223","5277 CALHOUN ST","48126","General Education","Elementary","City: Small","Wayne","14","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9998","Academy for Business and Technology High School","82921","Academy for Business and Technology","82","Wayne RESA","PSA School","Open-Active","General Education","Multiple Settings","3133823822","19625 WOOD ST","48122","General Education","Middle_High School","Suburb: Large","Wayne","15","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2015","Academy of International Studies","82738","Academy of International Studies","82","Wayne RESA","PSA District","Open-Active",,,"3138739900","3056 HANLEY ST","48212",,"Elem_Middle School","Not Specified","Wayne","16","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1711","Academy of Science Math and Technology Early College High School","53010","Mason County Central Schools","53","West Shore Educational Service District","LEA School","Open-Active","General Education","Multiple Settings","2318435935","2130 W. US 10","49431","General Education","High School","Rural: Fringe","Mason","17","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Academy of The Americas","82010","Detroit City School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","3135967640","5680 KONKEL ST","48210","General Education","Elem thru High School","City: Large","Wayne","18","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","8879","Academy of Warren","50911","Academy of Warren","50","Macomb ISD","PSA District","Open-Active",,,"5865528010","13943 EAST 8 MILE RD","48089",,"Elem_Middle School","City: Midsize","Macomb","19","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Academy of Waterford","63916","Academy of Waterford","63","Oakland Schools","PSA School","Open-Active","General Education","Multiple Settings","2486741649","3000 SASHABAW RD","48329","General Education","Elem_Middle School","Suburb: Large","Oakland","20","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","146","Academy West Alternative Education","25210","Westwood Heights Schools","25","Genesee ISD","LEA School","Open-Active","Alternative Education","Multiple Settings","8105910870","3223 WEST CARPENTER RD","48504","Alternative Education","Middle_High School","Not Specified","Genesee","21","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","3400","Accelerated Learning Academy","25010","Flint, School District of the City of","25","Genesee ISD","LEA School","Open-Active","Alternative Education","Multiple Settings","8107678500","G2138 W. Carpenter Road","48505","Alternative Education","Middle_High School","City: Midsize","Genesee","22","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","ACE Academy (SDA)","82998","ACE Academy (SDA)","82","Wayne RESA","PSA District","Open-Active",,,"3134335641","22620 WOODWARD AVE STE C","48220",,"Middle_High School","City: Large","Wayne","23","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9275","Achieve Charter Academy","82717","Achieve Charter Academy","82","Wayne RESA","PSA District","Open-Active",,,"7343970960","3250 DENTON RD","48188",,"Elem_Middle School","Not Specified","Wayne","24","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1381","ACTech High School","81020","Ypsilanti Community Schools","81","Washtenaw ISD","LEA School","Open-Active","General Education","Multiple Settings","7342211048","1885 PACKARD RD","48197","General Education","High School","Not Specified","Washtenaw","25","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2235","Ada Elementary School","41110","Forest Hills Public Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6164938940","731 ADA DR SE","49301","General Education","Elementary","Suburb: Large","Kent","26","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Ada Vista Elementary School","41110","Forest Hills Public Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6164938970","7192 BRADFIELD AVE SE","49301","General Education","Elementary","Suburb: Large","Kent","27","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","5261","Adams Elementary School","32610","Sigel Township S/D #3F","32","Huron ISD","LEA School","Open-Active","General Education","Multiple Settings","9892696406","4151 SECTION LINE RD","48413","General Education","Elem_Middle School","Rural: Distant","Huron","28","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2640","Adams STEM Academy","81020","Ypsilanti Community Schools","81","Washtenaw ISD","LEA School","Close - Pending","General Education","Multiple Settings","7342212400","503 OAK ST","48198","General Education","Elementary","Suburb: Large","Washtenaw","29","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Adams Upper Elementary School","82160","Wayne-Westland Community School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","7344192380","33475 PALMER RD","48186","General Education","Elem_Middle School","Suburb: Large","Wayne","30","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2742","Addams Elementary and ECC","63040","Royal Oak Schools","63","Oakland Schools","LEA School","Open-Active","General Education","Multiple Settings","2482883100","2222 WEST WEBSTER RD","48073","General Education","Elementary","Suburb: Large","Oakland","31","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1079","Addison Community Schools","46020","Addison Community Schools","46","Lenawee ISD","LEA District","Open-Active",,,"5175476123","219 NORTH COMSTOCK ST","49220",,"Elem thru High School","Rural: Distant","Lenawee","32","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Addison Elementary School","46020","Addison Community Schools","46","Lenawee ISD","LEA School","Open-Active","General Education","Multiple Settings","5175476910","219 NORTH COMSTOCK ST","49220","General Education","Elementary","Rural: Distant","Lenawee","33","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","4459","Addison High School","46020","Addison Community Schools","46","Lenawee ISD","LEA School","Open-Active","General Education","Multiple Settings","5175476121","219 NORTH COMSTOCK ST","49220","General Education","High School","Rural: Distant","Lenawee","34","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","7132","Addison Middle School","46020","Addison Community Schools","46","Lenawee ISD","LEA School","Open-Active","General Education","Multiple Settings","5175476121","219 N COMSTOCK ST","49220","General Education","Middle School","Rural: Distant","Lenawee","35","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2979","Adlai Stevenson Elementary School","63060","Southfield Public School District","63","Oakland Schools","LEA School","Open-Active","General Education","Multiple Settings","2487468840","27777 LAHSER RD","48034","General Education","Elementary","City: Small","Oakland","36","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","6397","Adlai Stevenson High School","50210","Utica Community Schools","50","Macomb ISD","LEA School","Open-Active","General Education","Multiple Settings","5867971900","39701 DODGE PARK RD","48313","General Education","High School","Suburb: Large","Macomb","37","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1752","Adlai Stevenson Middle School","82160","Wayne-Westland Community School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","7344192352","38501 PALMER RD","48186","General Education","Middle School","Suburb: Large","Wayne","38","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","5798","Adrian Adult and Alternative Education","46010","Adrian, School District of the City of","46","Lenawee ISD","LEA School","Open-Active","Alternative Education","Multiple Settings","5172631332","726 ELM ST","49221","Alternative Education","Elem thru High School","Town: Distant","Lenawee","39","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9463","Adrian High School","46010","Adrian, School District of the City of","46","Lenawee ISD","LEA School","Open-Active","General Education","Multiple Settings","5172632181","785 RIVERSIDE AVE","49221","General Education","High School","Town: Distant","Lenawee","40","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","3454","Adrian Middle School 5/6 Building","46010","Adrian, School District of the City of","46","Lenawee ISD","LEA School","Open-Active","General Education","Multiple Settings","5172658122","340 EAST CHURCH ST","49221","General Education","Elem_Middle School","Town: Distant","Lenawee","41","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9423","Adrian Middle School 7/8 Building","46010","Adrian, School District of the City of","46","Lenawee ISD","LEA School","Open-Active","General Education","Multiple Settings","5172630543","615 SPRINGBROOK AVE","49221","General Education","Elem_Middle School","Town: Distant","Lenawee","42","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","929","Tipton Academy","82754","Tipton Academy","82","Wayne RESA","PSA District","Open-Active",,,"7342610500","1615 BELTON ST","48135",,"Elem_Middle School","Not Specified","Wayne","3722","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","4509","Adrian, School District of the City of","46010","Adrian, School District of the City of","46","Lenawee ISD","LEA District","Open-Active",,,"5172646640","785 RIVERSIDE AVE STE 1","49221",,"Elem thru High School","Town: Distant","Lenawee","43","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9967","Adult and Community Ed. Building","39170","Vicksburg Community Schools","39","Kalamazoo RESA","LEA Unique Education Provider","Open-Active","Alternative Education","Adult Education","2693211020","301 SOUTH KALAMAZOO ST","49097","Alternative Education","Other","Suburb: Midsize","Kalamazoo","44","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","5868","Adult Ed","23090","Potterville Public Schools","23","Eaton RESA","LEA Unique Education Provider","Open-Active","General Education","Adult Education","5176454695","420 N High St","48876","General Education","Other","Not Specified","Eaton","45","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","8355","Adult Ed Department","82030","Dearborn City School District","82","Wayne RESA","LEA Unique Education Provider","Open-Active","General Education","Adult Education","3138271908","22586 ANN ARBOR TRL","48127","General Education","Other","Not Specified","Wayne","46","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9525","Adult Education","30020","Hillsdale Community Schools","30","Hillsdale ISD","LEA Unique Education Provider","Open-Active","General Education","Multiple Settings","5174374401","30 SOUTH NORWOOD AVE","49242","General Education","Other","Not Specified","Hillsdale","47","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Adult Work Center","28000","Traverse Bay Area ISD","28","Traverse Bay Area ISD","ISD School","Open-Active","Special Education","SpecEd Prog","2319226357","880 PARSONS RD","49686","Special Education","Other","Town: Remote","Grand Traverse","48","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1552","Advanced Technology Academy","63914","Advanced Technology Academy","82","Wayne RESA","PSA School","Open-Active","General Education","Multiple Settings","3136254700","4801 OAKMAN BLVD","48126","General Education","Elem thru High School","City: Small","Wayne","49","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","904","AGBU Alex-Marie Manoogian School","63901","AGBU Alex-Marie Manoogian School","63","Oakland Schools","PSA School","Open-Active","General Education","Multiple Settings","2485692988","22001 NORTHWESTERN HWY","48075","General Education","Elem thru High School","City: Small","Oakland","50","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","8923","Airport Community Schools","58020","Airport Community Schools","58","Monroe ISD","LEA District","Open-Active",,,"7346542414","11270 GRAFTON RD","48117",,"Elem thru High School","Rural: Fringe","Monroe","51","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","4201","Airport Middle College","58020","Airport Community Schools","58","Monroe ISD","LEA School","Open-Active","General Education","Multiple Settings","7346542414","11330 GRAFTON RD","48117","General Education","High School","Not Specified","Monroe","52","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","7252","Airport Senior High School","58020","Airport Community Schools","58","Monroe ISD","LEA School","Open-Active","General Education","Multiple Settings","7346546208","11330 GRAFTON RD","48117","General Education","High School","Rural: Fringe","Monroe","53","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2630","Airport Virtual Academy","58020","Airport Community Schools","58","Monroe ISD","LEA School","Open-Active","Alternative Education","Multiple Settings","7346544011","11270 GRAFTON RD","48117","Alternative Education","Elem thru High School","Not Specified","Monroe","54","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9768","Akron-Fairgrove Elem. School","79010","Akron-Fairgrove Schools","79","Tuscola ISD","LEA School","Open-Active","General Education","Multiple Settings","9896915141","4335 LYNN ST","48701","General Education","Elementary","Rural: Distant","Tuscola","55","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Atherton Community Schools","25130","Atherton Community Schools","25","Genesee ISD","LEA District","Open-Active",,,"8105919182","3354 SOUTH GENESEE RD","48519",,"Elem thru High School","Suburb: Large","Genesee","170","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","4272","Alaiedon Elementary School","33130","Mason Public Schools (Ingham)","33","Ingham ISD","LEA School","Open-Active","General Education","Multiple Settings","5176766499","1723 OKEMOS RD","48854","General Education","Elementary","Rural: Fringe","Ingham","56","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","620","Alameda Early Childhood Center","63200","Farmington Public School District","63","Oakland Schools","LEA Unique Education Provider","Open-Active","General Education","Multiple Settings","2484893808","32400 ALAMEDA ST","48336","General Education","Other","City: Small","Oakland","57","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Alamo Elementary School","3020","Otsego Public Schools","3","Allegan Area Educational Service Agency","LEA School","Open-Active","General Education","Multiple Settings","2696926149","8184 NORTH 6TH ST","49009","General Education","Elementary","Rural: Fringe","Kalamazoo","58","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","422","Alanson Public School","24030","Alanson Public Schools","15","Charlevoix-Emmet ISD","LEA School","Open-Active","General Education","Multiple Settings","2315482261","7400 NORTH ST","49706","General Education","Elem thru High School","Rural: Distant","Emmet","59","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","768","Alanson Public Schools","24030","Alanson Public Schools","15","Charlevoix-Emmet ISD","LEA District","Open-Active",,,"2315482261","7400 NORTH ST","49706",,"Elem thru High School","Rural: Distant","Emmet","60","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","7527","Albert Schweitzer Elementary School","82160","Wayne-Westland Community School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","7344192750","2601 TREADWELL ST","48186","General Education","Elementary","Suburb: Large","Wayne","61","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","3135","Albion Community School","13010","Albion Public Schools","13","Calhoun ISD","LEA School","Open-Active","General Education","Multiple Settings","5176299421","225 E Watson St.","49224","General Education","Elementary","Town: Fringe","Calhoun","62","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2535","Albion Public Schools","13010","Albion Public Schools","13","Calhoun ISD","LEA District","Open-Active",,,"5176299166","225 Watson St","49224",,"Elementary","Town: Fringe","Calhoun","63","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","589","Alcott School","63030","Pontiac City School District","63","Oakland Schools","LEA School","Open-Active","General Education","Multiple Settings","2484517910","460 WEST KENNETT RD","48340","General Education","Elem_Middle School","City: Small","Oakland","64","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2856","Alexander Elementary School","46010","Adrian, School District of the City of","46","Lenawee ISD","LEA School","Open-Active","General Education","Multiple Settings","5172639533","520 CHERRY ST","49221","General Education","Elementary","Town: Distant","Lenawee","65","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2385","Alexander Hamilton Elementary School","82160","Wayne-Westland Community School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","7344192650","1031 SOUTH SCHUMAN ST","48186","General Education","Elementary","Suburb: Large","Wayne","66","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","8657","Alfred E. Upton Elementary School","63040","Royal Oak Schools","63","Oakland Schools","LEA School","Open-Active","General Education","Multiple Settings","2485494968","4400 MANDALAY AVE","48073","General Education","Elementary","Suburb: Large","Oakland","67","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Alger Middle School","41010","Grand Rapids Public Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6168196200","921 Alger St SE","49507","General Education","Middle School","Not Specified","Kent","68","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9926","Algonac Alternative Education","74030","Algonac Community School District","74","St. Clair County RESA","LEA School","Open-Active","Alternative Education","Multiple Settings","8107944911","9541 Phelps","48001","Alternative Education","Middle_High School","Not Specified","St. Clair","69","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Algonac Community School District","74030","Algonac Community School District","74","St. Clair County RESA","LEA District","Open-Active",,,"8107944911","5200 Taft Road","48001",,"Elem thru High School","Suburb: Large","St. Clair","70","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1773","Algonac Junior/Senior High School","74030","Algonac Community School District","74","St. Clair County RESA","LEA School","Open-Active","General Education","Multiple Settings","8107944911","5200 TAFT RD","48001","General Education","Middle_High School","Suburb: Large","St. Clair","71","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Algonquin Elementary School","74030","Algonac Community School District","74","St. Clair County RESA","LEA School","Open-Active","General Education","Multiple Settings","8107949317","9185 Marsh Road","48001","General Education","Elem_Middle School","Not Specified","St. Clair","72","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","321","Algonquin Middle School","50080","Chippewa Valley Schools","50","Macomb ISD","LEA School","Open-Active","General Education","Multiple Settings","5867233500","19150 BRIARWOOD LN","48036","General Education","Middle School","Suburb: Large","Macomb","73","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","928","Alice M. Birney K-8 School","63060","Southfield Public School District","63","Oakland Schools","LEA School","Open-Active","General Education","Multiple Settings","2487468800","27225 Evergreen Road","48076","General Education","Elem_Middle School","City: Small","Oakland","74","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","458","Allegan Alternative High School","3030","Allegan Public Schools","3","Allegan Area Educational Service Agency","LEA School","Open-Active","Alternative Education","Multiple Settings","2696735433","550 5TH ST","49010","Alternative Education","High School","Town: Distant","Allegan","75","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","4968","Allegan Area Educational Service Agency","3000","Allegan Area Educational Service Agency","3","Allegan Area Educational Service Agency","ISD","Open-Active",,,"2696732161","310 THOMAS ST","49010",,"ISD","Town: Distant","Allegan","76","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","878","Allegan County Area Technical and Education Center","3000","Allegan Area Educational Service Agency","3","Allegan Area Educational Service Agency","ISD Unique Education Provider","Open-Active","Vocational/CTE","Multiple Settings","2696733121","2891 116TH AVE","49010","Vocational/CTE","High School","Town: Distant","Allegan","77","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","8503","Allegan High School","3030","Allegan Public Schools","3","Allegan Area Educational Service Agency","LEA School","Open-Active","Special Education","Multiple Settings","2696737002","550 5TH ST","49010","Special Education","High School","Town: Distant","Allegan","78","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","5591","Allegan Public Schools","3030","Allegan Public Schools","3","Allegan Area Educational Service Agency","LEA District","Open-Active",,,"2696735431","550 5TH ST","49010",,"Elem thru High School","Town: Distant","Allegan","79","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","5315","Allen Academy","82955","Allen Academy","82","Wayne RESA","PSA School","Open-Active","General Education","Multiple Settings","3138986444","8666 QUINCY ST","48204","General Education","Elem thru High School","City: Large","Wayne","80","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","8777","Allen Early Learning Academy","82100","Plymouth-Canton Community Schools","82","Wayne RESA","LEA Unique Education Provider","Open-Active","Special Education","Multiple Settings","7345826801","11100 NORTH HAGGERTY ROAD","48170","Special Education","Other","Suburb: Large","Wayne","81","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","3383","Allen Elementary School","82405","Southgate Community School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","7342464644","16500 MCCANN ST","48195","General Education","Elementary","Suburb: Large","Wayne","82","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","1796","Allen Park Community School","82020","Allen Park Public Schools","82","Wayne RESA","LEA School","Open-Active","Alternative Education","Multiple Settings","3138272663","14700 MOORE AVE","48101","Alternative Education","High School","Suburb: Large","Wayne","83","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2142","Allen Park High School","82020","Allen Park Public Schools","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","3138271200","18401 CHAMPAIGN RD","48101","General Education","High School","Suburb: Large","Wayne","84","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2296","Allen Park Middle School","82020","Allen Park Public Schools","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","3138272200","8401 VINE AVE","48101","General Education","Middle School","Suburb: Large","Wayne","85","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2736","Allendale Elementary School","82045","Melvindale-North Allen Park Schools","82","Wayne RESA","LEA School","Open-Active","General Education","General Education","3133894664","3201 OAKWOOD BLVD","48122","General Education","Elementary","Suburb: Large","Wayne","86","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","0","Allendale High School","70040","Allendale Public Schools","70","Ottawa Area ISD","LEA School","Open-Active","General Education","Multiple Settings","6168925585","10760 68TH AVE","49401","General Education","Middle_High School","Suburb: Large","Ottawa","87","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","2868","Allendale Middle School","70040","Allendale Public Schools","70","Ottawa Area ISD","LEA School","Open-Active","General Education","Multiple Settings","6168925595","7161 PLEASANT VIEW CT","49401","General Education","Middle School","Rural: Fringe","Ottawa","88","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
"2015","9167","Allendale Public Schools","70040","Allendale Public Schools","70","Ottawa Area ISD","LEA District","Open-Active",,,"6168925570","10505 LEARNING LN","49401",,"Elem thru High School","Suburb: Large","Ottawa","89","Pupil.Enrollment","https://mischooldata.data.socrata.com/stories/s/7iv6-trzb"
