"name","link","category","created","updates","method","freq","uid","owner","notes","status"
"1940-2010 Census Basic Census Tract Data","http://data.kcmo.org/Census/1940-2010-Census-Basic-Census-Tract-Data/ch5z-dctf","Census","2012-12-13T00:00:00.000","No","manual","1x historical","ch5z-dctf","Steve Lebofsky",,
"2010 Census Detailed Block Data","http://data.kcmo.org/Census/2010-Census-Detailed-Block-Data/ecu9-rpj3","Census","2012-12-11T00:00:00.000","No","manual","1x historical","ecu9-rpj3","Steve Lebofsky",,
"2010 Census/ACS Basic Census Tract Data","http://data.kcmo.org/Census/2010-Census-ACS-Basic-Census-Tract-Data/s2kj-v7qi","Census","2013-01-10T00:00:00.000","No","manual","1x historical","s2kj-v7qi","Steve Lebofsky",,
"2010 Census/ACS Basic Block Group Data","http://data.kcmo.org/Census/2010-Census-ACS-Basic-Block-Group-Data/7zm4-siq2","Census","2012-12-11T00:00:00.000","No","manual","1x historical","7zm4-siq2","Steve Lebofsky",,
"1990-1999 Building Permit Listing","http://data.kcmo.org/Construction/1990-1999-Building-Permit-Listing/4hr8-fgbf","Construction","2013-03-04T00:00:00.000","No","manual","1x historical","4hr8-fgbf","Steve Lebofsky",,
"Major Development Projects 1990 to 2012","http://data.kcmo.org/Construction/Major-Development-Projects-1990-to-2012/wx2f-2ukt","Construction","2013-03-01T00:00:00.000","No","manual","1x historical","wx2f-2ukt","Steve Lebofsky",,
"Capital Improvements 1996 to 2012","http://data.kcmo.org/Construction/Capital-Improvements-1996-to-2012/3im3-3b9i","Construction","2012-12-17T00:00:00.000","No","manual","1x historical","3im3-3b9i","Steve Lebofsky",,
"1970-1979 Building Permit Listing","http://data.kcmo.org/Construction/1970-1979-Building-Permit-Listing/akhc-zaz6","Construction","2013-03-04T00:00:00.000","No","manual","1x historical","akhc-zaz6","Steve Lebofsky",,
"2000-2009 Building Permit Listing","http://data.kcmo.org/Construction/1970-1979-Building-Permit-Listing/akhc-zaz6","Construction","2013-03-04T00:00:00.000","No","manual","1x historical","cvnj-fvgf","Steve Lebofsky",,
"Housing Projects in River-Crown-Plaza 1984 to 2012","http://data.kcmo.org/Construction/Housing-Projects-in-River-Crown-Plaza-1984-to-2012/gd72-mdjn","Construction","2013-03-01T00:00:00.000","No","manual","1x historical","gd72-mdjn","Steve Lebofsky",,
"2010-2012 Building Permit Listing","http://data.kcmo.org/Construction/2010-2012-Building-Permit-Listing/fx3a-kauu","Construction","2013-03-04T00:00:00.000","No","manual","1x historical","fx3a-kauu","Steve Lebofsky",,
"Major Development Projects 1983 to 1989","http://data.kcmo.org/Construction/Major-Development-Projects-1983-to-1989/c5c4-u3q7","Construction","2013-02-20T00:00:00.000","No","manual","1x historical","c5c4-u3q7","Steve Lebofsky",,
"1980-1989 Building Permit Listing","http://data.kcmo.org/Construction/1980-1989-Building-Permit-Listing/hqe6-tuji","Construction","2013-03-04T00:00:00.000","No","manual","1x historical","hqe6-tuji","Steve Lebofsky",,
"KCPD Crime Data 2011 Final","http://data.kcmo.org/Crime/KCPD-Crime-Data-2011-Final/nt2f-uxvx","Crime","2014-03-04T00:00:00.000","No","manual","1x historical","nt2f-uxvx","milliecross",,
"KCPD Crime Data 2012 Final","http://data.kcmo.org/Crime/KCPD-Crime-Data-2012-Final/csec-aghy","Crime","2014-03-04T00:00:00.000","No","manual","1x historical","csec-aghy","milliecross",,
"KCPD Crime Data 2009 Final","http://data.kcmo.org/Crime/KCPD-Crime-Data-2009-Final/6efz-664k","Crime","2014-03-04T00:00:00.000","No","manual","1x historical","6efz-664k","milliecross",,
"KCPD Crime Data 2010 Final","http://data.kcmo.org/Crime/KCPD-Crime-Data-2010-Final/tk79-kf9y","Crime","2014-03-04T00:00:00.000","No","manual","1x historical","tk79-kf9y","milliecross",,
"Crimes by Type by 2000 Block - 2008 to 2011","http://data.kcmo.org/Crime/Crimes-by-Type-by-2000-Block-2008-to-2011/fag7-64js","Crime","2012-12-18T00:00:00.000","No","manual","1x historical","fag7-64js","Steve Lebofsky",,
"Crimes by Type by 1980 Block - 1990 to 1999","http://data.kcmo.org/Crime/Crimes-by-Type-by-1980-Block-1990-to-1999/by2m-uxux","Crime","2012-12-18T00:00:00.000","No","manual","1x historical","by2m-uxux","Steve Lebofsky",,
"Crimes by Type by 1980 Block - 2000 to 2006","http://data.kcmo.org/Crime/Crimes-by-Type-by-1980-Block-2000-to-2006/4c6g-hqvh","Crime","2012-12-18T00:00:00.000","No","manual","1x historical","4c6g-hqvh","Steve Lebofsky",,
"Crimes by Type by 1980 Block - 1984 to 1989","http://data.kcmo.org/Crime/Crimes-by-Type-by-1980-Block-1984-to-1989/5y9m-vjss","Crime","2012-12-18T00:00:00.000","No","manual","1x historical","5y9m-vjss","Steve Lebofsky",,
"2010 MARC Population and Employment Forecasts for Census Tracts","http://data.kcmo.org/Forecasts/2010-MARC-Population-and-Employment-Forecasts-for-/nss2-zme6","Forecasts","2012-12-14T00:00:00.000","No","manual","1x historical","nss2-zme6","Steve Lebofsky",,
"Food Excellence Awards 2012","http://data.kcmo.org/Health/Food-Excellence-Awards-2012/cqn4-9udn","Health","2013-03-20T00:00:00.000","No","manual","1x historical","cqn4-9udn","milliecross",,
"Food Excellence Awards 2013","http://data.kcmo.org/Health/Food-Excellence-Awards-2013/tf7a-vqf9","Health","2014-03-11T00:00:00.000","No","manual","1x historical","tf7a-vqf9","milliecross",,
"KCPD Crime Data 2013 Final","https://data.kcmo.org/Crime/KCPD-Crime-Data-2013-Final/m3xd-e7tp",,"2013-05-10T00:00:00.000","No","manual","1x historical","m3xd-e7tp","milliecross",,
"Earnings Tax Collections 2003-2013","http://data.kcmo.org/Budget/Earnings-Tax-Collections-2003-2013/wmhu-km62","Budget","2014-03-27T00:00:00.000","No","manual",,"wmhu-km62","milliecross","This will be part of budget visualization then this data set will be deleted.",
"Illegal Dumping Statistics","http://data.kcmo.org/dataset/Illegal-Dumping-Statistics/wu2u-v35f",,"2014-04-01T00:00:00.000","No","manual",,"wu2u-v35f","Eric Roche",,
"Rainfall Depth Table Kansas City Area","http://data.kcmo.org/dataset/Rainfall-Depth-Table-Kansas-City-Area/2tqa-sky6",,"2013-06-20T00:00:00.000","No","manual",,"2tqa-sky6","milliecross",,
"Neighborhood List Websites","http://data.kcmo.org/Neighborhoods/Neighborhood-List-Websites/hywd-y4vv","Neighborhoods","2013-02-22T00:00:00.000","No",,"as needed","hywd-y4vv","milliecross","need updating process",
"Open Property Violations Pre Feb 2010","http://data.kcmo.org/Neighborhoods/Open-Property-Violations-Pre-Feb-2010/2fsb-zfd7","Neighborhoods","2013-05-14T00:00:00.000","No",,"1x historical","2fsb-zfd7","milliecross",,
"2013 Adopt-a-Neighborhood Master List","http://data.kcmo.org/Neighborhoods/2013-Adopt-a-Neighborhood-Master-List/9g5x-tm54","Neighborhoods","2014-03-19T00:00:00.000","No",,,"9g5x-tm54","David Reynolds-Gier","find out freq/updating",
"2013 Adopt-a-Neighborhood Summary Data","http://data.kcmo.org/Neighborhoods/2013-Adopt-a-Neighborhood-Summary-Data/dfbd-2j62","Neighborhoods","2014-03-14T00:00:00.000","No",,,"dfbd-2j62","David Reynolds-Gier","find out freq/updating",
"Active Licensed Establishments","http://data.kcmo.org/Neighborhoods/Active-Licensed-Establishments/s42p-39wp","Neighborhoods","2013-11-13T00:00:00.000","No",,,"s42p-39wp","milliecross","need to automate",
"Demolitions","http://data.kcmo.org/Neighborhoods/Demolitions/ftj4-7idk","Neighborhoods","2014-01-30T00:00:00.000","No",,,"ftj4-7idk","milliecross","talk with David R",
"Land Trust and City List","http://data.kcmo.org/Property/Land-Trust-and-City-List/w65t-bvxs","Property","2013-04-12T00:00:00.000","No",,,"w65t-bvxs","David Reynolds-Gier","find out freq/updating",
"General Services Maintained Buildings - 2013 Update","http://data.kcmo.org/Property/General-Services-Maintained-Buildings-2013-Update/avyx-ed7x","Property","2013-03-27T00:00:00.000","No",,,"avyx-ed7x","milliecross","need to see if there is an update",
"Vacant Lots Land Bank","http://data.kcmo.org/Property/Vacant-Lots-Land-Bank/2dru-6tkm","Property","2013-11-01T00:00:00.000","No",,,"2dru-6tkm","milliecross","find out freq/updating",
"KC Green Sustainable Projects","http://data.kcmo.org/Sustainability/KC-Green-Sustainable-Projects/b6d5-3x28","Sustainability","2014-04-11T00:00:00.000","No",,,"b6d5-3x28","Jose Gonzalez","find out freq/updating",
"Public Parking Locations Surface Lots and Garages","http://data.kcmo.org/Transportation/Public-Parking-Locations-Surface-Lots-and-Garages/sdzy-pfbi","Transportation","2013-06-13T00:00:00.000","No",,,"sdzy-pfbi","milliecross",,
"Bike KC Survey Results","http://data.kcmo.org/Transportation/Bike-KC-Survey-Results/739d-rt2i","Transportation","2014-02-06T00:00:00.000","No",,,"739d-rt2i","milliecross",,
"Trees Trimmed And Removed Annually","http://data.kcmo.org/dataset/Trees-Trimmed-And-Removed-Annually/4947-rw26",,"2014-04-11T00:00:00.000","No",,,"4947-rw26","Eric Roche",,
"School District List as of 4/17/13","http://data.kcmo.org/dataset/School-District-List-as-of-4-17-13/w3q6-nnk5",,"2013-04-17T00:00:00.000","No",,,"w3q6-nnk5","milliecross",,
"Pinball Is Back","http://data.kcmo.org/dataset/Pinball-Is-Back/d3ui-thg9",,"2014-02-07T00:00:00.000","No",,,"d3ui-thg9","milliecross",,
