"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code_1","rep_dist_1","area_1","dvflag_1","invl_no_1","involvement_1","race_1","sex_1","age_1","location_1","firearm_used_flag"
"140040458","2014-06-12T00:00:00.000","13:13","2014-06-10T00:00:00.000","15:00",,,"630","23C","Stealing Shoplifting","423","8500  N MADISON AV","KANSAS CITY","64158","PC0323","NPD","U","2","SUS","B","M",,"8500 N MADISON AV
KANSAS CITY,  64158
(39.249139085, -94.592850936)","N"
"140010214","2014-02-14T00:00:00.000","0:36","2014-02-14T00:00:00.000","0:36",,,"702","240","Auto Theft","121","1900  INDEPENDENCE AV","KANSAS CITY","64124","PJ0544","CPD","U","1","VIC","B","M","26","1900 INDEPENDENCE AV
KANSAS CITY,  64124
(39.106607545, -94.558329264)","N"
"140034570","2014-05-20T00:00:00.000","23:48","2014-05-20T00:00:00.000","23:48",,,"840","90Z","Resisting an Officer","323","2600  MONTGALL AV","KANSAS CITY","64127","PJ2173","EPD","U","1","ARR","B","F","35","2600 MONTGALL AV
KANSAS CITY,  64127
(39.078741914, -94.551276147)","N"
"140086969","2014-12-04T00:00:00.000","9:23","2013-11-04T00:00:00.000","16:12","2013-11-26T00:00:00.000","14:07","1002","250","Forged Checks","634","2700  NE VIVION RD","KANSAS CITY","64119","PC0788","SCP","U","1","SUS","W","F","22","2700 NE VIVION RD
KANSAS CITY,  64119
(39.18783365, -94.546156707)","N"
"140050495","2014-07-19T00:00:00.000","15:57","2014-07-19T00:00:00.000","15:25","2014-07-19T00:00:00.000","15:57","630","23C","Stealing Shoplifting","234","8500  STATE LINE RD","KANSAS CITY","64114","PJ6076","MPD","U","1","VIC",,,,"8500 STATE LINE RD
KANSAS CITY,  64114
(38.974581388, -94.60829943)","N"
"140084039","2014-11-21T00:00:00.000","9:00","2014-11-21T00:00:00.000","9:00",,,"2604","90Z","False Information to","422","NW BARRY RD/N BEAMAN AV","KANSAS CITY","64154","PP0336","NPD","U","1","VIC",,,,"BARRY RD/N BEAMAN AV KANSAS CITY
, NW 64154
(39.257569801, -94.63615887)","N"
"140092483","2014-12-26T00:00:00.000","18:26","2014-12-26T00:00:00.000","14:40",,,"2601","90Z","Misc Violation","422","3800  NW BARRY RD","KANSAS CITY","64154","PP0324","NPD","U","1","SUS","W","F","31","3800 NW BARRY RD
KANSAS CITY,  64154
(39.246577521, -94.62488967)","N"
"140007134","2014-01-31T00:00:00.000","7:30","2014-01-31T00:00:00.000","7:30",,,"630","23C","Stealing Shoplifting","113","00  E 13 ST","KANSAS CITY","64108","PJ1087","CPD","U","1","VIC",,,,"00 E 13 ST
KANSAS CITY,  64108
(39.098088862, -94.563899932)","N"
"140067415","2014-09-19T00:00:00.000","8:05","2014-09-19T00:00:00.000","8:05",,,"640","23F","Stealing From Auto","242","8100  PROSPECT AV","KANSAS CITY","64132","PJ6020","MPD","U","1","VIC","W","M","62","8100 PROSPECT AV
KANSAS CITY,  64132
(38.978853561, -94.557947334)","N"
"140030533","2014-05-06T00:00:00.000","10:24","2014-05-06T00:00:00.000","10:24",,,"802","13B","Non Agg Assault Dome","242","7400  PARK AV","KANSAS CITY","64132","PJ5627","MPD","Y","1","VIC","B","F","18","7400 PARK AV
KANSAS CITY,  64132
(38.992612305, -94.56068568)","N"
"140007661","2014-02-02T00:00:00.000","13:01","2014-02-02T00:00:00.000","12:20",,,"630","23C","Stealing Shoplifting","343","5000  E LINWOOD BL","KANSAS CITY","64127","PJ2527","EPD","U","1","VIC",,,,"5000 E LINWOOD
BL KANSAS CITY,  64127
(39.06745235, -94.526703527)","N"
"140051106","2014-07-22T00:00:00.000","0:43","2014-07-21T00:00:00.000","21:40","2014-07-22T00:00:00.000","0:01","640","23F","Stealing From Auto","131","800  VALENTINE RD","KANSAS CITY","64111","PJ2925","CPD","U","1","SUS","U","U",,"800 VALENTINE RD
KANSAS CITY,  64111
(39.061177682, -94.595409692)","N"
"140030241","2014-05-05T00:00:00.000","11:00","2014-05-01T00:00:00.000","14:30","2014-05-05T00:00:00.000","0:01","690","23H","Stealing All Other","131","3200  MAIN ST","KANSAS CITY","64110","PJ2574","CPD","N","1","SUS","U","U",,"3200 MAIN ST
KANSAS CITY,  64110
(39.069714569, -94.585377131)","N"
"140037733","2014-06-02T00:00:00.000","6:07","2014-06-02T00:00:00.000","6:05",,,"502","220","Burglary - Non Resid","642","400  NE BARRY RD","KANSAS CITY","64118","PC0375","SCP","U","1","SUS","U","U",,"400 NE BARRY RD
KANSAS CITY,  64118
(39.246401205, -94.575793998)","N"
"140048186","2014-07-11T00:00:00.000","1:38","2014-07-11T00:00:00.000","1:38",,,"2655","90J","Trespassing","113","100  E 13 ST","KANSAS CITY","64106","PJ1177","CPD","U","2","ARR","W","M","21","100 E 13 ST
KANSAS CITY,  64106
(39.098579641, -94.582043106)","N"
"140012206","2014-02-22T00:00:00.000","19:50","2014-02-22T00:00:00.000","19:50",,,"1849","35A","Possession/Sale/Dist","323","E 19 TE/COLLEGE AV","KANSAS CITY","64123","PJ1648","EPD","U","1","VIC",,,,"19 TE COLLEGE AV
KANSAS CITY,  64123
(39.113437278, -94.525539375)","N"
"140052889","2014-07-28T00:00:00.000","13:31","2014-07-28T00:00:00.000","13:28",,,"302","120","Armed Robbery","134","100  W 47 ST","KANSAS CITY",,"PJ3754","CPD","U","2","VIC","W","M","27","100 W 47 ST
,  
(39.178798, -94.582710395)","N"
"140070757","2014-10-01T00:00:00.000","15:00","2014-10-01T00:00:00.000","11:15",,,"840","90Z","Resisting an Officer",,"MEYER BL/US 71","KANSAS CITY","64132",,,"U","1","VIC",,,,"71 KANSAS
CITY,  64132
(38.986858578, -94.552169913)","N"
"140086898","2014-12-03T00:00:00.000","20:41","2014-12-03T00:00:00.000","20:41",,,"301","120","Strong Arm Robbery","221","E 55 ST/PASEO","KANSAS CITY",,"PJ4347","MPD","U","1","VIC","B","F","47","55 ST
,  
(39.102950303, -94.583075872)","N"
"140034693","2014-05-21T00:00:00.000","12:55","2014-05-16T00:00:00.000","14:00",,,"1201","270","Embezzlement","535","1700  W 133 ST","KANSAS CITY",,"PJ7404","SPD","U","1","ARR","B","M","18","1700 W 133 ST
,  
(38.88657818, -94.604380206)","N"
"140092966","2014-12-22T00:00:00.000","16:00","2014-12-13T00:00:00.000","12:24",,,"2655","90J","Trespassing","213","8700  E 63 TF","KANSAS CITY","64129","PJ4889","MPD","U","1","VIC",,,,"8700 E 63
TF KANSAS CITY,  64129
(39.039016024, -94.496019407)","N"
"140051438","2014-07-23T00:00:00.000","8:21","2014-07-23T00:00:00.000","8:21",,,"2601","90Z","Misc Violation","313","E 8 ST/PROSPECT AV","KANSAS CITY",,"PJ0853","EPD","U","1","VIC",,,,"8 ST PROSPECT AV
,  
(39.102950303, -94.583075872)","N"
"140031516","2014-05-09T00:00:00.000","16:33","2014-05-09T00:00:00.000","13:00",,,"1401","290","Property Damage","121","3500  MAIN ST","GRANDVIEW","64128","PJX005","OSPD","U","1","SUS","W","M","23","3500 MAIN ST
GRANDVIEW,  64128
(38.891252777, -94.551425936)","N"
"140074634","2014-10-15T00:00:00.000","18:10","2014-10-15T00:00:00.000","18:10",,,"2655","90J","Trespassing","344","0  ROYAL WA","KANSAS CITY","64129","PJ3213","EPD","U","1","VIC",,,,"0 ROYAL
WA KANSAS CITY,  64129
(39.039016024, -94.496019407)","N"
"140054321","2014-08-02T00:00:00.000","21:05","2014-08-02T00:00:00.000","21:05",,,"2664","90B","Curfew","134","400  NICHOLS RD","KANSAS CITY","64112","PJ3741","CPD","N","3","ARR","B","F","35","400 NICHOLS RD
KANSAS CITY,  64112
(39.041285961, -94.591774158)","N"
"140049362","2014-07-15T00:00:00.000","13:49","2014-07-15T00:00:00.000","13:49",,,"2655","90J","Trespassing","999","3100  N 49 ST","KANSAS CITY","64131","PWX001","OSPD","U","1","VIC",,,,"3100 N 49 ST
KANSAS CITY,  64131
(39.143001648, -94.691713972)","N"
"140069801","2014-09-28T00:00:00.000","0:37","2014-09-28T00:00:00.000","0:04",,,"901","200","Arson","221","5400  LYDIA AV","KANSAS CITY","64110","PJ4346","MPD","U","1","SUS","U","U",,"5400 LYDIA AV
KANSAS CITY,  64110
(39.028732883, -94.569075444)","N"
"140011486","2014-02-19T00:00:00.000","16:29","2014-02-09T00:00:00.000","16:29",,,"2601","90Z","Misc Violation","112","1100  LOCUST ST","KANSAS CITY",,"PJ1029","CPD","U","1","VIC",,,,"1100 LOCUST ST
,  
(39.100855311, -94.577375383)","N"
"140000847","2014-01-04T00:00:00.000","15:19","2014-01-04T00:00:00.000","15:19",,,"2403","90E","Drunkenness","121","1000  E 5 ST","KANSAS CITY","64106","PJ0423","CPD","U","1","VIC",,,,"1000 E 5 ST
KANSAS CITY,  64106
(39.110470541, -94.572087227)","N"
"140018938","2014-03-21T00:00:00.000","19:49","2014-03-21T00:00:00.000","19:49",,,"302","120","Armed Robbery","241","2100  E 67 TE","KANSAS CITY",,"PJ5169","MPD","U","4","SUS","B","M",,"2100 E 67
,  
(39.004626081, -94.562068715)","Y"
"140033010","2014-05-15T00:00:00.000","5:15","2014-05-15T00:00:00.000","5:00",,,"302","120","Armed Robbery","635","7300  NE PARVIN RD","KANSAS CITY",,"PC1343","SCP","U","2","SUS","W","F",,"7300 NE PARVIN RD
,  
(39.168417094, -94.494873104)","Y"
"140071751","2014-10-04T00:00:00.000","20:53","2014-10-04T00:00:00.000","20:50",,,"302","120","Armed Robbery","112","200  W 6 ST","KANSAS CITY",,"PJ0652","CPD","U","3","VIC","W","M","29","200 W 6 ST
,  
(39.105900044, -94.623866444)","Y"
"140041447","2014-06-16T00:00:00.000","6:19","2014-06-16T00:00:00.000","5:42",,,"901","200","Arson","341","1400  EWING AV","KCMO","64126","PJ1386","EPD","U","1","SUS","U","U",,"1400 EWING AV
KCMO,  64126
(39.094504918, -94.503509209)","N"
"140086234","2014-12-01T00:00:00.000","11:21","2014-09-01T00:00:00.000","3:16",,,"1001","250","Forgery","641","8300  N CHURCH RD","KANSAS CITY",,"PC0387","SCP","U","1","VIC",,,,"8300 N CHURCH RD
,  
(39.242088231, -94.461742697)","N"
"140071910","2014-10-05T00:00:00.000","13:32","2014-10-05T00:00:00.000","13:32",,,"2655","90J","Trespassing","133","W 39 ST/BROADWAY","KANSAS CITY",,"PJ3062","CPD","U","2","VIC",,,,"39 ST
,  
(39.102950303, -94.583075872)","N"
"140086216","2014-12-01T00:00:00.000","10:20","2014-12-01T00:00:00.000","10:18",,,"2402","90C","Disorderly Conduct","534","4200  E 115 ST","KANSAS CITY",,"PJ7127","SPD","U","1","VIC",,,,"4200 E 115 ST
,  
(38.917280924, -94.539868199)","N"
"140059965","2014-08-22T00:00:00.000","14:04","2014-08-22T00:00:00.000","14:00",,,"1002","250","Forged Checks","221","4700  GRAND AV","KANSAS CITY",,"PJ3772","MPD","U","1","SUS","B","M","44","4700 GRAND AV
,  
(39.042023274, -94.585233895)","N"
"140026124","2014-04-19T00:00:00.000","3:29","2014-04-19T00:00:00.000","3:29",,,"702","240","Auto Theft","221","E 54 ST/OAK ST","KANSAS CITY","64110","PJ4233","MPD","U","1","VIC","B","F","52","54 ST OAK ST
KANSAS CITY,  64110
(39.035987555, -94.57321712)","N"
"140092636","2014-12-27T00:00:00.000","14:17","2014-12-27T00:00:00.000","14:13",,,"1001","250","Forgery","999","3000  N 62 ST","KANSAS CITY",,"PWX001","OSPD","U","1","VIC",,,,"3000 N 62 ST
,  
(39.141633679, -94.721524358)","N"
"140067276","2014-09-18T00:00:00.000","19:00","2014-09-18T00:00:00.000","19:00",,,"630","23C","Stealing Shoplifting","999","11600  E US 40 HW E","KCMO","64133","PJX007","OSPD","U","1","VIC",,,,"11600 E US
HW E KCMO,  64133
(39.04648091, -94.441167741)","N"
"140008552","2014-02-06T00:00:00.000","14:07","2014-02-06T00:00:00.000","14:07",,,"1651","40A","Prostitution/Patroni","421","NW BARRY RD/I 29 HW","KANSAS CITY","64152","PP0317","NPD","U","1","VIC",,,,"29 HW
KANSAS CITY,  64152
(39.219068707, -94.697028052)","N"
"140037258","2014-05-31T00:00:00.000","0:41","2014-05-31T00:00:00.000","0:30",,,"2403","90E","Drunkenness","635","5000  NE PARVIN RD","KANSAS CITY",,"PC1232","SCP","U","1","VIC",,,,"5000 NE PARVIN RD
,  
(39.167047418, -94.521350775)","N"
"140075691","2014-10-19T00:00:00.000","12:50","2014-10-19T00:00:00.000","12:45",,,"1050","250","Counterfeiting","533","1300  W 103 ST","KANSAS CITY",,"PJ6683","SPD","U","1","SUS","B","M",,"1300 W 103 ST
,  
(38.942058245, -94.60724017)","N"
"140090501","2014-12-16T00:00:00.000","6:20","2014-12-16T00:00:00.000","6:20",,,"1740","90Z","Sex Off Follow/Entic","342","E 39/WILLOW AVE","KANSAS CITY",,"PJ3316","EPD","U","1","VIC","B","F",,"39 WILLOW AVE
,  
(39.102950303, -94.583075872)","N"
"140046465","2014-07-04T00:00:00.000","7:40","2014-07-04T00:00:00.000","6:15",,,"802","13B","Non Agg Assault Dome","545","8700  E 109 TE","KANSAS CITY",,"PJ7026","SPD","U","2","VIC","B","M",,"8700 E 109
,  
(38.925627858, -94.489069061)","N"
"140074237","2014-10-14T00:00:00.000","9:37","2014-10-14T00:00:00.000","9:37",,,"670","23D","Stealing from Buildi","115","2500  CHERRY ST","KANSAS CITY",,"PJ2097","CPD","U","1","VIC",,,,"2500 CHERRY ST
,  
(39.081485487, -94.577189669)","N"
"140029273","2014-05-01T00:00:00.000","14:18","2014-04-20T00:00:00.000","14:21",,,"2655","90J","Trespassing","632","3100  NE 37 ST","KANSAS CITY",,"PC1356","SCP","U","1","VIC",,,,"3100 NE 37 ST
,  
(39.161510641, -94.54416514)","N"
"140027298","2014-04-23T00:00:00.000","19:41","2014-04-23T00:00:00.000","19:41",,,"630","23C","Stealing Shoplifting","999","11600  E US 40 HW E","KCMO","64133","PJX007","OSPD","U","1","VIC",,,,"11600 E US
HW E KCMO,  64133
(39.04648091, -94.441167741)","N"
"140044358","2014-06-26T00:00:00.000","13:39","2014-06-26T00:00:00.000","13:39",,,"1849","35A","Possession/Sale/Dist","242","E 72 TE/PASEO","KANSAS CITY",,"PJ5488","MPD","U","1","VIC",,,,"72 TE
,  
(39.102950303, -94.583075872)","N"
"140028633","2014-04-28T00:00:00.000","22:35","2014-04-28T00:00:00.000","22:35",,,"1849","35A","Possession/Sale/Dist","124","E 29 ST/BRUCE WATKINS ACCESS RA","KANSAS CITY",,"PJ2296","CPD","U","1","ARR","W","M","20","29 ST
,  
(39.102950303, -94.583075872)","N"
"140022715","2014-04-06T00:00:00.000","0:29","2014-04-06T00:00:00.000","0:29",,,"101","09A","HOMICIDE/Non Neglige","213","8400  E 55 ST","KANSAS CITY",,"PJ4522","MPD","U","1","VIC","B","M","38","8400 E 55 ST
,  
(39.024128365, -94.488239418)","N"
"140009996","2014-02-13T00:00:00.000","7:28","2014-02-13T00:00:00.000","2:55",,,"502","220","Burglary - Non Resid","221","4800  MAIN ST","KANSAS CITY",,"PJ3870","MPD","U","1","VIC",,,,"4800 MAIN ST
,  
(39.038923663, -94.587145527)","N"
"140045229","2014-06-29T00:00:00.000","23:12","2014-06-29T00:00:00.000","23:12",,,"1850","35B","Possession of Drug E","112","600  GRAND AV","KANSAS CITY",,"PJ0668","CPD","U","1","VIC",,,,"600 GRAND AV
,  
(39.10572144, -94.580483034)","N"
"130073751","2014-01-17T00:00:00.000","7:56",,,,,"1750","11D","Sex Off Fondle - mol","321","1000  MYRTLE AV","KANSAS CITY",,"PJ1047","EPD","U","1","VIC","W","F",,"1000 MYRTLE AV
,  
(39.100642182, -94.535905859)","N"
"140026545","2014-04-21T00:00:00.000","2:16","2014-04-21T00:00:00.000","2:16",,,"401","13A","Aggravated Assault (","134","900  W 44 ST","KANSAS CITY",,"PJ3519","CPD","U","1","VIC","B","F","30","900 W 44 ST
,  
(39.048069101, -94.597273097)","N"
"130080739","2014-02-27T00:00:00.000","22:47","2014-02-27T00:00:00.000",,,,"1702","36B","Statutory Rape",,"1100  LOCUST","KANSAS CITY","64111",,,"U","1","VIC","W","F",,"1100 LOCUST
KANSAS CITY,  64111
(39.05549663, -94.59306945)","N"
"140042607","2014-06-20T00:00:00.000","5:32","2014-06-20T00:00:00.000","2:10",,,"901","200","Arson","243","8500  CRYSTAL AV","KCMO","64138","PJ6201","MPD","U","1","VIC","B","F","26","8500 CRYSTAL AV
KCMO,  64138
(38.969711427, -94.502245715)","N"
"140051867","2014-07-24T00:00:00.000","15:38","2014-07-24T00:00:00.000","15:38",,,"650","23G","Stealing Auto Parts/","331","3000  E 31 ST","KANSAS CITY",,"PJ2493","EPD","U","1","VIC",,,,"3000 E 31 ST
,  
(39.139819763, -94.663025589)","N"
"140032656","2014-05-13T00:00:00.000","18:01","2014-05-13T00:00:00.000","18:01",,,"2655","90J","Trespassing","313","2600  E 8 ST","KANSAS CITY","64131","PJ0798","EPD","U","1","ARR","B","M","54","2600 E 8 ST
KANSAS CITY,  64131
(39.103513507, -94.551059775)","N"
"140012432","2014-02-23T00:00:00.000","22:47","2014-02-23T00:00:00.000","22:47",,,"901","200","Arson","544","GEORGE AV/NOLAND RD","KANSAS CITY",,"PJ6421","SPD","U","1","SUS","U","U",,"GEORGE AV/NOLAND KANSAS CITY
, RD 
(39.102950303, -94.583075872)","N"
"140021610","2014-04-01T00:00:00.000","21:17","2014-04-01T00:00:00.000","21:00","2014-04-01T00:00:00.000","21:17","302","120","Armed Robbery","121","500  PARK AV","KANSAS CITY",,"PJ0554","CPD","U","1","SUS","B","M",,"500 PARK AV
,  
(39.10841317, -94.554345825)","N"
"140076388","2014-10-21T00:00:00.000","23:30","2014-10-21T00:00:00.000","22:00",,,"690","23H","Stealing All Other","344","0  ROYAL WA","KANSAS CITY",,"PJ3213","EPD","U","1","VIC","W","F","49","0 ROYAL
,  
(39.102950303, -94.583075872)","N"
"140012511","2014-02-24T00:00:00.000","11:58","2014-02-24T00:00:00.000","8:45",,,"702","240","Auto Theft","412","600  NW 68 ST","KANSAS CITY","64119","PC0599","NPD","U","1","VIC","W","M","30","600 NW 68 ST
KANSAS CITY,  64119
(39.21742381, -94.587994549)","N"
"140023940","2014-04-10T00:00:00.000","17:57","2014-04-10T00:00:00.000","17:57",,,"501","220","Burglary - Residence","233","8200  KENWOOD AV","KANSAS CITY",,"PJ5988","MPD","N","1","SUS","U","U",,"8200 KENWOOD AV
,  
(38.978981963, -94.582156147)","N"
"140075337","2014-10-17T00:00:00.000","23:33","2014-10-17T00:00:00.000","23:33",,,"2040","90Z","Violation Full Order","312","5800  E 10 ST","KANSAS CITY",,"PJ1060","EPD","Y","1","VIC","W","F","35","5800 E 10 ST
,  
(39.100367939, -94.514230286)","N"
"140075350","2014-10-18T00:00:00.000","2:50","2014-10-18T00:00:00.000","2:50",,,"1401","290","Property Damage","113","E 13 ST/OAK ST","KANSAS CITY",,"PJ1098","CPD","N","1","ARR","W","M","39","13 ST OAK ST
,  
(39.102950303, -94.583075872)","N"
"140057562","2014-08-14T00:00:00.000","8:39","2014-08-13T00:00:00.000","17:30",,,"2601","90Z","Misc Violation","542","9300  NEWTON DR","KANSAS CITY",,"PJ6481","SPD","U","1","SUS","U","M",,"9300 NEWTON DR
,  
(38.956113402, -94.511191503)","N"
"140024266","2014-04-11T00:00:00.000","22:38","2014-04-11T00:00:00.000","22:38",,,"1546","520","Weapons Law Violatio","123","E 22 ST/BROOKLYN AV","KANSAS CITY",,"PJ1751","CPD","U","1","VIC",,,,"22 ST BROOKLYN AV
,  
(39.102950303, -94.583075872)","Y"
"140028032","2014-04-26T00:00:00.000","17:21","2014-04-26T00:00:00.000","14:00",,,"690","23H","Stealing All Other","222","5300  PARK AV","KANSAS CITY",,"PJ4289","MPD","U","1","VIC","B","F",,"5300 PARK AV
,  
(39.030173582, -94.558480222)","N"
"140026689","2014-04-21T00:00:00.000","14:54","2014-04-21T00:00:00.000","14:10",,,"501","220","Burglary - Residence","421","8000  N STODDARD AV","KANSAS CITY",,"PP0398","NPD","N","1","SUS","W","M","47","8000 N STODDARD AV
,  
(39.239854224, -94.664456716)","N"
"140060485","2014-08-24T00:00:00.000","15:13","2014-08-24T00:00:00.000","15:13",,,"501","220","Burglary - Residence","314","3800  SMART AV","KANSAS CITY",,"PJ0479","EPD","U","1","SUS","B","M",,"3800 SMART AV
,  
(39.109462338, -94.536898315)","N"
"140048130","2014-07-10T00:00:00.000","19:56","2014-07-10T00:00:00.000","19:56",,,"1849","35A","Possession/Sale/Dist","125","E 35 ST/PASEO","KANSAS CITY",,"PJ2779","CPD","U","1","VIC",,,,"35 ST
,  
(39.102950303, -94.583075872)","N"
"140018938","2014-03-21T00:00:00.000","19:49","2014-03-21T00:00:00.000","19:49",,,"302","120","Armed Robbery","241","2100  E 67 TE","KANSAS CITY",,"PJ5169","MPD","U","3","SUS","B","M",,"2100 E 67
,  
(39.004626081, -94.562068715)","Y"
