"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code_1","rep_dist_1","area_1","dvflag_1","invl_no_1","involvement_1","race_1","sex_1","age_1","firearm_used_flag","latitude","longitude","location_1"
"150009894","2015-02-10T00:00:00.000","10:03","2015-02-09T00:00:00.000","18:30","2015-02-10T00:00:00.000","7:30","201","11A","Rape","121","E MISSOURI AV and PASEO","KANSAS CITY","64106","PJ0326","CPD","U","2","SUS","W","M","50","N","39.1094","-94.563","E MISSOURI KANSAS CITY
, AV 64106
(39.1094, -94.563)"
"150009910","2015-02-10T00:00:00.000","12:14","2015-02-10T00:00:00.000","9:50","2015-02-10T00:00:00.000","10:12","640","23F","Stealing From Auto","311","E FRONT ST and RIVER FRONT RD","KANSAS CITY","64106","PJ7472","EPD","U","1","VIC","U","F","39","N","39.1156","-94.5745","E FRONT KANSAS CITY
, ST 64106
(39.1156, -94.5745)"
"150041636","2015-06-17T00:00:00.000","21:12","2015-06-17T00:00:00.000","21:00",,,"1849","35A","Possession/Sale/Dist","121","INDEPENDENCE AV and WOODLAND AV","KANSAS CITY","64115","PJ0534","CPD","U","1","ARR","B","M","32","N","39.1067","-94.5601","INDEPENDENCE KANSAS CITY
, AV 64115
(39.1067, -94.5601)"
"150074376","2015-10-15T00:00:00.000","23:36",,,,,"840","90Z","Resisting an Officer","313","BALES AV and THOMPSON AV","KANSAS CITY","64123","PJ0510","EPD","U","1","ARR","B","M","36","N","39.1077","-94.5404","BALES KANSAS CITY
, AV 64123
(39.1077, -94.5404)"
"150036818","2015-05-30T00:00:00.000","17:17","2015-05-29T00:00:00.000","14:00","2015-05-30T00:00:00.000","16:30","640","23F","Stealing From Auto","221","MAIN ST and WARD PK N","KANSAS CITY","64112","PJ3851","MPD","U","1","SUS","U","U",,"N","39.04","-94.587","MAIN N KANSAS CITY
, ST 64112
(39.04, -94.587)"
"150039730","2015-06-10T00:00:00.000","18:35","2015-06-10T00:00:00.000","18:35",,,"802","13B","Non Agg Assault Dome","311","N BRIGHTON AV and ST JOHN AV","KANSAS CITY","64123","PJ0287","EPD","U","1","VIC","W","F","46","N","39.1126","-94.5233","N BRIGHTON KANSAS CITY
, AV 64123
(39.1126, -94.5233)"
"150062902","2015-09-04T00:00:00.000","6:26","2015-09-04T00:00:00.000","6:26",,,"690","23H","Stealing All Other","635","NE PARVIN RD and SEARCY CREEK PARKWAY RA","KANSAS CITY","64116","PC1146","SCP","N","1","SUS","W","M",,"N","39.1445","-94.5737","PARVIN RD RA KANSAS CITY
, NE 64116
(39.1445, -94.5737)"
"150030048","2015-05-04T00:00:00.000","13:35","2015-04-27T00:00:00.000","7:00","2015-05-01T00:00:00.000","13:00","690","23H","Stealing All Other","633","NE ENGLEWOOD RD and N TROOST AVE","KANSAS CITY","64068","PC0743","SCP","U","1","VIC",,,,"N","39.1956","-94.5668","N ENGLEWOOD RD KANSAS CITY
, NE 64068
(39.1956, -94.5668)"
"150041293","2015-06-16T00:00:00.000","15:54","2015-06-16T00:00:00.000","15:54",,,"1546","520","Weapons Law Violatio","313","BENTON BL and INDEPENDENCE AV","KANSAS CITY","64124","PJ0609","EPD","U","1","ARR","B","M","34","N","39.1061","-94.5446","BENTON KANSAS CITY
, BL 64124
(39.1061, -94.5446)"
"150000698","2015-01-03T00:00:00.000","23:08","2015-01-03T00:00:00.000","23:05",,,"302","120","Armed Robbery","241","E GREGORY BL and WABASH AV","KANSAS CITY","64132","PJ5393","MPD","U","2","SUS","B","M",,"Y","38.9981","-94.5581","E GREGORY KANSAS CITY
, BL 64132
(38.9981, -94.5581)"
"150083333","2015-11-18T00:00:00.000","8:39","2015-10-14T00:00:00.000","8:30",,,"690","23H","Stealing All Other","331","E LINWOOD BL and PROSPECT AV","KANSAS CITY","64127","PJ2572","EPD","U","1","SUS","U","U",,"N","39.068","-94.5529","E LINWOOD KANSAS CITY
, BL 64127
(39.068, -94.5529)"
"150022328","2015-04-03T00:00:00.000","6:52","2015-04-02T00:00:00.000","15:30","2015-04-03T00:00:00.000","6:30","690","23H","Stealing All Other","425","NW BARRY RD and N CHILDRESS AVE","KANSAS CITY","64153","PP0333","NPD","U","1","VIC",,,,"N","39.2471","-94.715","N BARRY RD KANSAS CITY
, NW 64153
(39.2471, -94.715)"
"150074390","2015-10-16T00:00:00.000","2:48","2015-10-16T00:00:00.000","2:18",,,"301","120","Strong Arm Robbery","133","PENNSYLVANIA AV and WESTPORT RD","KANSAS CITY","64111","PJ3218","CPD","U","2","SUS","U","U",,"N","39.0529","-94.5915","PENNSYLVANIA KANSAS CITY
, AV 64111
(39.0529, -94.5915)"
"150029711","2015-05-03T00:00:00.000","2:00","2015-05-03T00:00:00.000","2:00","2015-05-03T00:00:00.000","2:10","802","13B","Non Agg Assault Dome","133","PENNSYLVANIA AV and WESTPORT RD","KANSAS CITY","64111","PJ3218","CPD","U","1","VIC","B","F","22","N","39.0529","-94.5915","PENNSYLVANIA KANSAS CITY
, AV 64111
(39.0529, -94.5915)"
"150039460","2015-06-09T00:00:00.000","22:17","2015-06-09T00:00:00.000","22:17",,,"2201","90G","Liquor Law Violaton","121","BROOKLYN AV and INDEPENDENCE AV","KANSAS CITY","64106","PJ0569","CPD","U","1","ARR","B","M","27","N","39.1065","-94.5557","BROOKLYN KANSAS CITY
, AV 64106
(39.1065, -94.5557)"
"150039600","2015-06-10T00:00:00.000","14:08","2015-06-08T00:00:00.000","16:00","2015-06-10T00:00:00.000","11:00","1401","290","Property Damage","132","E ARMOUR BLVD and MCGEE ST","KANSAS CITY","64111","PJ2757","CPD","U","1","SUS","U","U",,"N","39.0637","-94.5822","E ARMOUR BLVD KANSAS CITY
,  64111
(39.0637, -94.5822)"
"150063974","2015-09-08T00:00:00.000","10:42","2015-09-08T00:00:00.000","9:45","2015-09-08T00:00:00.000","10:15","640","23F","Stealing From Auto","421","NW BARRY RD and N CONGRESS AV","KANSAS CITY","64153","PP0342","NPD","N","2","VIC","W","F","30","N","39.247","-94.6684","N BARRY RD KANSAS CITY
, NW 64153
(39.247, -94.6684)"
"150012964","2015-02-23T00:00:00.000","22:01","2015-02-23T00:00:00.000","22:01",,,"2201","90G","Liquor Law Violaton","112","ADMIRAL BL and CHARLOTTE ST","KANSAS CITY","64106","PJ0682","CPD","U","1","VIC",,,,"N","39.1052","-94.5737","ADMIRAL KANSAS CITY
, BL 64106
(39.1052, -94.5737)"
"150046778","2015-07-07T00:00:00.000","12:51","2015-07-07T00:00:00.000","12:50",,,"801","13B","Non Aggravated Assau","314","BUDD PARK ESPLANADE and QUINCY AV","KANSAS CITY","64123","PJ0373","EPD","N","2","VIC","B","M","33","N","39.1129","-94.534","BUDD PARK ESPLANADE KANSAS CITY
,  64123
(39.1129, -94.534)"
"150016121","2015-03-08T00:00:00.000","18:06","2015-03-08T00:00:00.000","18:06",,,"1849","35A","Possession/Sale/Dist","541","E BANNISTER RD and HILLCREST RD","KANSAS CITY","64137","PJ6478","SPD","U","1","ARR","B","M","43","N","38.9529","-94.5219","E BANNISTER KANSAS CITY
, RD 64137
(38.9529, -94.5219)"
"150057463","2015-09-08T00:00:00.000","1:17","2015-09-08T00:00:00.000","1:17",,,"702","240","Auto Theft","321","PROSPECT AV and E TRUMAN RD","KANSAS CITY","64126","PJ7474","EPD","U","1","VIC","W","M","42","N","39.0947","-94.5516","E PROSPECT KANSAS CITY
, AV 64126
(39.0947, -94.5516)"
"150037612","2015-06-02T00:00:00.000","22:14","2015-06-02T00:00:00.000","22:10",,,"401","13A","Aggravated Assault (","141","E ARMOUR BL and TROOST AV","KANSAS CITY","64109","PJ2776","CPD","N","1","SUS","B","F",,"N","39.0632","-94.5717","E ARMOUR KANSAS CITY
, BL 64109
(39.0632, -94.5717)"
"150066365","2015-09-16T00:00:00.000","20:29","2015-09-16T00:00:00.000","20:29",,,"802","13B","Non Agg Assault Dome","121","INDEPENDENCE AV and WOODLAND AV","KANSAS CITY","99999","PJ0534","CPD","Y","1","VIC","B","F","33","N","39.1067","-94.5601","INDEPENDENCE KANSAS CITY
, AV 99999
(39.1067, -94.5601)"
"150076152","2015-10-22T00:00:00.000","21:16","2015-10-22T00:00:00.000","21:16",,,"401","13A","Aggravated Assault (","543","FOOD LN and LONGVIEW RD","KANSAS CITY","64134","PJ7162","SPD","U","2","SUS","B","M","201","Y","38.915","-94.5053","FOOD KANSAS CITY
, LN 64134
(38.915, -94.5053)"
"150021650","2015-03-31T00:00:00.000","14:39","2015-03-31T00:00:00.000","14:39",,,"1651","40A","Prostitution/Solicit","314","INDEPENDENCE AV and SPRUCE AV","KANSAS CITY","64127","PJ0607","EPD","U","1","VIC",,,,"N","39.1057","-94.5319","INDEPENDENCE KANSAS CITY
, AV 64127
(39.1057, -94.5319)"
"150061191","2015-08-28T00:00:00.000","20:37","2015-08-28T00:00:00.000","20:30",,,"2402","90C","Disorderly Conduct","635","N BARNES AV and NE COMPTON AV","KANSAS CITY","99999","PC0776","SCP","U","1","VIC","W","M","36","N","39.103","-94.5831","N BARNES AV KANSAS CITY
, NE 99999
(39.103, -94.5831)"
"150044561","2015-06-29T00:00:00.000","0:43","2015-06-29T00:00:00.000","0:20",,,"302","120","Armed Robbery","121","MAPLE BL and E MISSOURI AV","KANSAS CITY","64124","PJ0349","CPD","U","2","SUS","B","M",,"Y","39.1092","-94.5584","E MAPLE KANSAS CITY
, BL 64124
(39.1092, -94.5584)"
"150093894","2015-12-31T00:00:00.000","0:28","2015-12-31T00:00:00.000","0:27",,,"2100","90D","Driving Under Influe","314","BRIGHTON AV and INDEPENDENCE AV","KANSAS CITY","64127","PJ0626","EPD","U","1","VIC",,,,"N","39.1054","-94.5234","BRIGHTON KANSAS CITY
, AV 64127
(39.1054, -94.5234)"
"150074760","2015-10-17T00:00:00.000","14:35","2015-10-17T00:00:00.000","14:35",,,"1849","35A","Possession/Sale/Dist","411","NW BRIARCLIFF RD and N CLAYMONT DR","KANSAS CITY","64118","PC1135","NPD","U","1","ARR","W","M","38","N","39.2055","-94.5823","N BRIARCLIFF RD KANSAS CITY
, NW 64118
(39.2055, -94.5823)"
"150051784","2015-07-25T00:00:00.000","2:46","2015-07-25T00:00:00.000","2:46","2015-07-25T00:00:00.000","2:56","302","120","Armed Robbery","133","BROADWAY and J C NICHOLS PK","KANSAS CITY","64111","PJ3402","CPD","U","1","SUS","U","M",,"Y","39.0494","-94.5883","BROADWAY KANSAS CITY
,  64111
(39.0494, -94.5883)"
"150030979","2015-05-07T00:00:00.000","17:31","2015-05-07T00:00:00.000","17:31",,,"1652","40C","Prostitution/Patroni","121","INDEPENDENCE AV and PARK AV","KANSAS CITY","64124","PJ0554","CPD","U","1","VIC",,,,"N","39.1065","-94.5545","INDEPENDENCE KANSAS CITY
, AV 64124
(39.1065, -94.5545)"
"150072841","2015-10-10T00:00:00.000","9:06","2015-10-10T00:00:00.000","9:06",,,"2402","90C","Disorderly Conduct","133","MAIN ST and WESTPORT RD","KANSAS CITY","64110","PJ3126","CPD","U","1","VIC",,,,"N","39.0554","-94.5862","MAIN KANSAS CITY
, ST 64110
(39.0554, -94.5862)"
"150028675","2015-04-28T00:00:00.000","22:24","2015-04-28T00:00:00.000","22:24",,,"1849","35A","Possession/Sale/Dist","125","E LINWOOD BL and MICHIGAN AV","KANSAS CITY","64130","PJ2551","CPD","U","1","VIC",,,,"N","39.0684","-94.561","E LINWOOD KANSAS CITY
, BL 64130
(39.0684, -94.561)"
"150047956","2015-07-11T00:00:00.000","18:02",,,,,"401","13A","Aggravated Assault (","123","TROOST LAKE DR and VINE ST","KANSAS CITY","64128","PJ2261","CPD","U","1","SUS","B","M","60","N","39.0752","-94.5642","TROOST LAKE KANSAS CITY
, DR 64128
(39.0752, -94.5642)"
"150015945","2015-03-07T00:00:00.000","21:21","2015-03-07T00:00:00.000","21:00",,,"2601","90Z","Misc Violation","134","BROADWAY and NICHOLS RD","KANSAS CITY","64112","PJ3741","CPD","U","1","VIC",,,,"N","39.0413","-94.5917","BROADWAY KANSAS CITY
,  64112
(39.0413, -94.5917)"
"150053302","2015-07-30T00:00:00.000","20:38","2015-07-30T00:00:00.000","20:30",,,"401","13A","Aggravated Assault (","315","N OAKLEY AV and ST JOHN AV","KANSAS CITY","64124","PJ0299","EPD","N","1","VIC","W","M","28","Y","39.1124","-94.5163","N OAKLEY KANSAS CITY
, AV 64124
(39.1124, -94.5163)"
"150029604","2015-05-02T00:00:00.000","16:00","2015-05-02T00:00:00.000","16:00",,,"2403","90E","Drunkenness","312","WILSON and TOPPING","KANSAS CITY","64123","PJ0608","EPD","U","2","ARR","W","M","59","N","39.105","-94.5144","WILSON KANSAS CITY
,  64123
(39.105, -94.5144)"
"150082489","2015-11-15T00:00:00.000","1:23","2015-11-15T00:00:00.000","1:23",,,"1352","280","Stolen Property OFFE","322","E TRUMAN RD and VAN BRUNT BL","KANSAS CITY","64126","PJ1285","EPD","U","1","VIC","W","M",,"N","39.0942","-94.5234","E TRUMAN BRUNT BL KANSAS CITY
, RD 64126
(39.0942, -94.5234)"
"150011838","2015-02-19T00:00:00.000","3:06","2015-02-19T00:00:00.000","3:06",,,"2604","90Z","False Information to","315","THOMPSON AV and TOPPING AV","KANSAS CITY","64127","PJ0547","EPD","U","1","ARR","W","M","20","N","39.1069","-94.5144","THOMPSON KANSAS CITY
, AV 64127
(39.1069, -94.5144)"
"150040282","2015-06-12T00:00:00.000","19:19","2015-06-12T00:00:00.000","19:19",,,"2601","90Z","Misc Violation","121","BROOKLYN AV and INDEPENDENCE AV","KANSAS CITY","64127","PJ0569","CPD","U","1","ARR","B","M","48","N","39.1065","-94.5557","BROOKLYN KANSAS CITY
, AV 64127
(39.1065, -94.5557)"
"150046556","2015-07-06T00:00:00.000","16:28","2015-07-06T00:00:00.000","16:28",,,"2601","90Z","Misc Violation","121","BROOKLYN AV and INDEPENDENCE AV","KANSAS CITY","64108","PJ0569","CPD","U","2","ARR","B","M","33","N","39.1065","-94.5557","BROOKLYN KANSAS CITY
, AV 64108
(39.1065, -94.5557)"
"150057309","2015-08-14T00:00:00.000","14:08","2015-08-14T00:00:00.000","14:08",,,"1546","520","Weapons Law Violatio","121","GARFIELD AV and INDEPENDENCE AV","KANSAS CITY","64124","PJ0544","CPD","U","1","VIC","U","U",,"Y","39.1065","-94.5572","GARFIELD KANSAS CITY
, AV 64124
(39.1065, -94.5572)"
"150087026","2015-12-02T00:00:00.000","22:21","2015-12-02T00:00:00.000","22:15",,,"302","120","Armed Robbery","331","E LINWOOD BL and MERSINGTON AV","KANSAS CITY","64127","PJ2590","EPD","N","1","VIC","B","M","22","Y","39.0676","-94.538","E LINWOOD KANSAS CITY
, BL 64127
(39.0676, -94.538)"
"150022410","2015-04-03T00:00:00.000","13:47","2015-04-03T00:00:00.000","13:45",,,"1401","290","Property Damage","544","E BANNISTER RD and NOLAND RD","KANSAS CITY","64134","PJ6648","SPD","N","1","SUS","U","U",,"N","38.9453","-94.4262","E BANNISTER KANSAS CITY
, RD 64134
(38.9453, -94.4262)"
"150063485","2015-09-06T00:00:00.000","11:07","2015-09-06T00:00:00.000","11:07",,,"1850","35B","Possession of Drug E","144","BRUSH CREEK BL and FOREST AV","KANSAS CITY","64110","PJ3637","CPD","U","1","ARR","B","F","44","N","39.0435","-94.5716","BRUSH CREEK KANSAS CITY
, BL 64110
(39.0435, -94.5716)"
"150017652","2015-03-14T00:00:00.000","17:25","2015-03-13T00:00:00.000","19:30","2015-03-14T00:00:00.000","17:00","650","23G","Stealing Auto Parts/","132","E ARMOUR BL and MCGEE ST","KANSAS CITY","64111","PJ2757","CPD","U","1","SUS","U","U",,"N","39.0637","-94.5822","E ARMOUR KANSAS CITY
, BL 64111
(39.0637, -94.5822)"
"150087497","2015-12-04T00:00:00.000","18:40","2015-12-04T00:00:00.000","16:45","2015-12-04T00:00:00.000","17:05","640","23F","Stealing From Auto","533","HOLMES RD and E RED BRIDGE RD","KANSAS CITY","64137","PJ6959","SPD","U","1","SUS","U","U",,"N","38.9257","-94.5834","E HOLMES KANSAS CITY
, RD 64137
(38.9257, -94.5834)"
"150060418","2015-08-26T00:00:00.000","0:42","2015-08-26T00:00:00.000","0:30",,,"301","120","Strong Arm Robbery","121","INDEPENDENCE AV and PROSPECT AV","KANSAS CITY","64127","PJ0573","CPD","U","1","SUS","B","M",,"N","39.1063","-94.5511","INDEPENDENCE KANSAS CITY
, AV 64127
(39.1063, -94.5511)"
"150074919","2015-10-18T00:00:00.000","4:38","2015-10-18T00:00:00.000","4:38",,,"302","120","Armed Robbery","121","BROOKLYN AV and INDEPENDENCE AV","KANSAS CITY","64123","PJ0569","CPD","U","1","VIC","U","M","24","N","39.1065","-94.5557","BROOKLYN KANSAS CITY
, AV 64123
(39.1065, -94.5557)"
"150071218","2015-10-04T00:00:00.000","3:08","2015-10-04T00:00:00.000","3:08",,,"401","13A","Aggravated Assault (","313","BENTON BL and INDEPENDENCE AV","KANSAS CITY","64124","PJ0609","EPD","N","1","VIC","W","M","25","N","39.1061","-94.5446","BENTON KANSAS CITY
, BL 64124
(39.1061, -94.5446)"
"150047956","2015-07-11T00:00:00.000","18:02",,,,,"401","13A","Aggravated Assault (","123","TROOST LAKE DR and VINE ST","KANSAS CITY","64128","PJ2261","CPD","N","1","VIC","B","M","72","N","39.0752","-94.5642","TROOST LAKE KANSAS CITY
, DR 64128
(39.0752, -94.5642)"
"150031387","2015-05-09T00:00:00.000","2:11","2015-05-09T00:00:00.000","2:11",,,"1850","35B","Possession of Drug E","314","INDEPENDENCE AV and SPRUCE AV","KANSAS CITY","64123","PJ0605","EPD","U","1","VIC",,,,"N","39.1057","-94.5319","INDEPENDENCE KANSAS CITY
, AV 64123
(39.1057, -94.5319)"
"150022747","2015-04-04T00:00:00.000","22:15","2015-04-04T00:00:00.000","22:15",,,"840","90Z","Resisting an Officer","121","INDEPENDENCE AV and MAPLE BL","KANSAS CITY","64106","PJ0571","CPD","U","1","ARR","B","M","47","N","39.1066","-94.5586","INDEPENDENCE BL KANSAS CITY
, AV 64106
(39.1066, -94.5586)"
"150068880","2015-09-25T00:00:00.000","14:40","2015-09-24T00:00:00.000","15:45","2015-09-24T00:00:00.000","16:15","690","23H","Stealing All Other","341","MANCHESTER TRFY and E TRUMAN RD","KANSAS CITY","64126","PJ1373","EPD","N","1","SUS","U","U",,"N","39.0933","-94.4925","E MANCHESTER TRFY KANSAS CITY
,  64126
(39.0933, -94.4925)"
"150011361","2015-02-25T00:00:00.000","13:48","2015-02-25T00:00:00.000","12:23",,,"1850","35B","Possession of Drug E","232","E MEYER BL and PROSPECT AV","KANSAS CITY","64130","PJ5087","MPD","U","1","VIC",,,,"N","39.0071","-94.5565","E MEYER KANSAS CITY
, BL 64130
(39.0071, -94.5565)"
"150006108","2015-01-26T00:00:00.000","11:12","2015-01-26T00:00:00.000","11:12",,,"2601","90Z","Misc Violation","134","E EMANUEL CLEAVER II BL and TROOST AV","KANSAS CITY","64111","PJ3708","CPD","U","1","VIC",,,,"N","39.0517","-94.5958","E EMANUEL CLEAVER BL KANSAS CITY
, II 64111
(39.0517, -94.5958)"
"150044769","2015-06-29T00:00:00.000","17:11","2015-06-29T00:00:00.000","17:05",,,"401","13A","Aggravated Assault (","631","N ANTIOCH RD and NE PARVIN RD","KANSAS CITY","64117","PC1302","SCP","N","1","SUS","U","M",,"N","39.1632","-94.5471","N ANTIOCH RD KANSAS CITY
, NE 64117
(39.1632, -94.5471)"
"150020862","2015-03-28T00:00:00.000","4:22","2015-03-28T00:00:00.000","4:15",,,"1849","35A","Possession/Sale/Dist","123","E TRUMAN RD and WOODLAND AV","KANSAS CITY","64108","PJ1327","CPD","U","1","VIC",,,,"N","39.0951","-94.5609","E TRUMAN KANSAS CITY
, RD 64108
(39.0951, -94.5609)"
"150076761","2015-10-24T00:00:00.000","23:54","2015-10-24T00:00:00.000","21:00",,,"640","23F","Stealing From Auto","111","SANTA FE ST and UNION AV","KANSAS CITY","99999","PJ0866","CPD","U","2","VIC","W","F","26","N","39.1024","-94.5982","SANTA ST KANSAS CITY
, FE 99999
(39.1024, -94.5982)"
"150067063","2015-09-18T00:00:00.000","23:00","2015-09-18T00:00:00.000","23:00",,,"1849","35A","Possession/Sale/Dist","315","ST JOHN AV and TOPPING AV","KANSAS CITY","64123","PJ0305","EPD","U","1","ARR","W","F","50","N","39.1123","-94.514","JOHN AV KANSAS CITY
, ST 64123
(39.1123, -94.514)"
"150025213","2015-04-15T00:00:00.000","7:53","2015-04-15T00:00:00.000","7:00",,,"2040","90Z","Violation Full Order","121","GARFIELD AV and E MISSOURI AV","KANSAS CITY","64106","PJ0422","CPD","U","1","SUS","B","F","26","N","39.1043","-94.5762","E GARFIELD KANSAS CITY
, AV 64106
(39.1043, -94.5762)"
"150090618","2015-12-16T00:00:00.000","14:36","2015-12-16T00:00:00.000","14:36",,,"2402","90C","Disorderly Conduct","134","BROADWAY and WARD PK S","KANSAS CITY","64112","PJ3793","CPD","U","1","ARR","W","M","33","N","39.0405","-94.5917","BROADWAY S KANSAS CITY
,  64112
(39.0405, -94.5917)"
"150041740","2015-06-18T00:00:00.000","11:30","2015-06-18T00:00:00.000","11:25",,,"1651","40A","Prostitution/Solicit","313","ASKEW AV and INDEPENDENCE AV","KANSAS CITY","64108","PJ0619","EPD","U","1","VIC",,,,"N","39.1059","-94.5391","ASKEW KANSAS CITY
, AV 64108
(39.1059, -94.5391)"
"150031572","2015-05-09T00:00:00.000","23:16","2015-05-09T00:00:00.000","21:00","2015-05-09T00:00:00.000","23:00","640","23F","Stealing From Auto","111","MULBERRY ST and UNION AV","KANSAS CITY","64111","PJ0881","CPD","U","1","VIC","W","F","36","N","39.1025","-94.5998","MULBERRY KANSAS CITY
, ST 64111
(39.1025, -94.5998)"
"150041607","2015-06-17T00:00:00.000","19:26","2015-06-17T00:00:00.000","16:00","2015-06-17T00:00:00.000","18:30","640","23F","Stealing From Auto","111","GRAND BLVD and E MISSOURI AVE","KANSAS CITY","64101","PJ0513","CPD","U","1","SUS","U","U",,"N","39.1015","-94.6006","E GRAND BLVD KANSAS CITY
,  64101
(39.1015, -94.6006)"
"150033139","2015-05-15T00:00:00.000","22:37","2015-05-15T00:00:00.000","22:37",,,"2100","90D","Driving Under Influe","113","BRUCE R WATKINS DR and E TRUMAN RD","KANSAS CITY","64106","PJ1310","CPD","U","1","ARR","W","F","30","N","39.1043","-94.5762","E BRUCE R WATKINS KANSAS CITY
, DR 64106
(39.1043, -94.5762)"
"150077081","2015-10-26T00:00:00.000","11:13","2015-10-26T00:00:00.000","11:13",,,"1849","35A","Possession/Sale/Dist","631","NE PARVIN RD and NE RUSSELL RD","KANSAS CITY","64119","PC1224","SCP","U","1","VIC",,,,"N","39.1667","-94.5569","NE PARVIN RD KANSAS CITY
, NE 64119
(39.1667, -94.5569)"
"150026679","2015-04-21T00:00:00.000","0:20","2015-04-21T00:00:00.000","0:20",,,"1849","35A","Possession/Sale/Dist","313","BENTON BL and INDEPENDENCE AV","KANSAS CITY","64127","PJ0609","EPD","U","1","VIC",,,,"N","39.1061","-94.5446","BENTON KANSAS CITY
, BL 64127
(39.1061, -94.5446)"
"150049895","2015-07-18T00:00:00.000","15:29","2015-07-17T00:00:00.000","22:00",,,"702","240","Auto Theft","133","BROADWAY and WESTPORT RD","KANSAS CITY","64108","PJ3229","CPD","U","1","VIC","W","F","24","N","39.0891","-94.5855","BROADWAY KANSAS CITY
,  64108
(39.0891, -94.5855)"
"150067035","2015-09-18T00:00:00.000","20:01","2015-09-18T00:00:00.000","20:01",,,"1850","35B","Possession of Drug E","212","SWOPE PK and SWOPE PARKWAY OFF RA","KANSAS CITY","64131","PJ4986","MPD","U","1","VIC",,,,"N","38.9767","-94.5767","SWOPE OFF RA KANSAS CITY
, PK 64131
(38.9767, -94.5767)"
"150055870","2015-08-09T00:00:00.000","1:11","2015-08-09T00:00:00.000","1:00",,,"801","13B","Non Aggravated Assau","133","MILL ST and WESTPORT RD","KANSAS CITY","64128","PJ3218","CPD","N","1","VIC","B","M","25","N","39.0525","-94.5923","MILL KANSAS CITY
, ST 64128
(39.0525, -94.5923)"
"150031577","2015-05-09T00:00:00.000","23:51","2015-05-09T00:00:00.000","21:00","2015-05-09T00:00:00.000","22:00","1401","290","Property Damage","111","MULBERRY ST and UNION AV","KANSAS CITY","64111","PJ0881","CPD","U","1","VIC","W","M","65","N","39.1025","-94.5998","MULBERRY KANSAS CITY
, ST 64111
(39.1025, -94.5998)"
