"report_no","report_date","report_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","involvement","race","sex","age","firearmusedflag","location","age_range"
"KC22004048","2022-01-19T18:30:00.000","20:54","2022-01-19T18:30:00.000","18:30","2022-01-19T18:30:00.000",,"Stolen Auto","240","Motor Vehicle Theft","345","15700  E US 40 HWY","KANSAS CITY","64136","PJ4026","EPD","false","SUS","W","M",,"false",,
"KC22004184","2022-01-20T15:33:00.000","15:33","2022-01-20T15:33:00.000","15:33","2022-01-20T15:33:00.000",,"Embezzlement","270","Embezzlement","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","ARR CHA SUS","W","F","43","false",,"35-44"
"KC22004306","2022-01-21T07:20:00.000","07:27","2022-01-21T07:20:00.000","07:20","2022-01-21T07:20:00.000","10:45","Vehicular - Injury",,,"113","BRUCE R WATKINS DR N and E I 670 HWY W","KANSAS CITY","64106","PJ1226","CPD","false","SUS",,,,"false",,
"KC22004356","2022-01-21T11:25:00.000","11:37","2022-01-21T11:25:00.000","11:25","2022-01-21T11:25:00.000",,"Stealing - Shoplift","23C","Shoplifting","643","8500  N CHURCH RD","KANSAS CITY","64157","PC0282","SCP","false","VIC",,,,"false","POINT (-94.458722 39.246042)",
"KC22004515","2022-01-22T01:50:00.000","01:49","2022-01-22T01:50:00.000","01:50","2022-01-22T01:50:00.000",,"City/Municipal Warrant Arrest",,,"124","2700  PARK AVE","KANSAS CITY","64109","PJ2249","CPD","false","ARR CHA SUS","B","F","35","false","POINT (-94.555953 39.076941)","35-44"
"KC22004574","2022-01-22T13:29:00.000","11:59","2022-01-22T13:29:00.000","13:29","2022-01-22T13:29:00.000",,"Recovered Stolen Auto",,,"332","E 34TH ST and MERSINGTON AVE","KANSAS CITY","64128","PJ2819","EPD","false","VIC",,,,"false",,
"KC22004643","2022-01-22T18:46:00.000","18:46","2022-01-22T18:46:00.000","18:46","2022-01-22T18:46:00.000",,"Outside State Warrant Arrest",,,"632","N BRIGHTON AVE and N I 35 HWY N","KANSAS CITY","64119","PC0960","SCP","false","ARR CHA SUS","B","M","33","false",,"25-34"
"KC22004743","2022-01-21T19:30:00.000","10:43","2022-01-21T19:30:00.000","19:30","2022-01-21T19:30:00.000","10:30","Unfounded",,,"113","W 14TH ST and WYANDOTTE ST","KANSAS CITY","64105","PJ1163","CPD","false","VIC","W","F","23","false",,"18-24"
"KC22004785","2022-01-23T15:00:00.000","15:11","2022-01-23T15:00:00.000","15:00","2022-01-23T15:00:00.000","15:00","Stealing - Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC22004873","2022-01-24T00:08:00.000","00:08","2022-01-24T00:08:00.000","00:08","2022-01-24T00:08:00.000",,"Stolen Auto","240","Motor Vehicle Theft","344","0  ARROWHEAD DR","KANSAS CITY","64129","PJ3281","EPD","false","VIC",,,,"false",,
"KC22004878","2022-01-23T22:56:00.000","23:37","2022-01-23T22:56:00.000","22:56","2022-01-23T22:56:00.000",,"Property Damage","290","Vandalism/Destruction of Property","132","0  E 38TH ST","KANSAS CITY","64111","PJ3056","CPD","false","SUS","U","U",,"false",,
"KC22005295","2022-01-22T21:00:00.000","20:23","2022-01-22T21:00:00.000","21:00","2022-01-22T21:00:00.000","19:30","Robbery (Armed Street)","120","Robbery","314","300  KENSINGTON AVE","KANSAS CITY","64124","PJ0419","EPD","false","SUS","W","M",,"true","POINT (-94.530442 39.110959)",
"KC22005315","2022-01-26T01:26:00.000","01:25","2022-01-26T01:26:00.000","01:26","2022-01-26T01:26:00.000",,"Possession of Stolen Property",,,"322","E 19TH ST and LAWN AVE","KANSAS CITY","64124","PJ1647","EPD","false","VIC",,"F","22","false",,"18-24"
"KC22005468","2022-01-26T15:45:00.000","15:56","2022-01-26T15:45:00.000","15:45","2022-01-26T15:45:00.000",,"Stealing - Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC22005735","2022-01-27T17:45:00.000","17:48","2022-01-27T17:45:00.000","17:45","2022-01-27T17:45:00.000",,"Liquor Law Violation",,,"345","15700  E US 40 HWY","KANSAS CITY","64136","PJ4026","EPD","false","SUS","W","M","37","false",,"35-44"
"KC22005791","2022-01-27T23:15:00.000","22:16","2022-01-27T23:15:00.000","23:15","2022-01-27T23:15:00.000","23:30","Trespass of Real Property","90J","Trespass of Real Property","241","2300  E MEYER BLVD","KANSAS CITY","64132","PJ4990","MPD","false","ARR CHA SUS","B","M","25","false",,"25-34"
"KC22006263","2022-01-30T01:35:00.000","01:40","2022-01-30T01:35:00.000","01:35","2022-01-30T01:35:00.000",,"Property Damage","290","Vandalism/Destruction of Property","234","8500  WOODLAND AVE","KANSAS CITY","64132","PJ6190","MPD","false","VIC",,,,"false",,
"KC22006287","2022-01-30T02:00:00.000","05:31","2022-01-30T02:00:00.000","02:00","2022-01-30T02:00:00.000",,"Property Damage","23F","Theft From Motor Vehicle","111","00  W 4TH ST","KANSAS CITY","64105",,"CPD","false","VIC","W","M","50","false",,"45-54"
"KC22006381","2022-01-30T17:50:00.000","18:07","2022-01-30T17:50:00.000","17:50","2022-01-30T17:50:00.000",,"Vehicular - Non-Injury Hit and Run",,,"344","0  ARROWHEAD DR","KANSAS CITY","64129","PJ3281","EPD","false","VIC","W","M","54","false",,"45-54"
"KC22006428","2022-01-30T20:42:00.000","20:42","2022-01-30T20:42:00.000","20:42","2022-01-30T20:42:00.000",,"Alcohol Influence Report",,,"123","E TRUMAN RD and N PASEO","KANSAS CITY","64124",,"CPD","false","ARR CHA SUS","W","M","29","false",,"25-34"
"KC22006438","2022-01-30T21:43:00.000","21:43","2022-01-30T21:43:00.000","21:43","2022-01-30T21:43:00.000",,"Robbery (Armed Street)","120","Robbery","113","1700  MCGEE ST","KANSAS CITY","64108","PJ1475","CPD","false","SUS","W","M",,"false","POINT (-94.580055 39.093332)",
"KC22006606","2022-01-31T14:10:00.000","14:10","2022-01-31T14:10:00.000","14:10","2022-01-31T14:10:00.000",,"Possession of Stolen Property","280","Stolen Property Offenses","142","E 39TH ST and S PASEO","KANSAS CITY","64109",,"CPD","false","ARR CHA SUS","B","M",,"false",,
"KC22006627","2022-01-31T15:45:00.000","16:16","2022-01-31T15:45:00.000","15:45","2022-01-31T15:45:00.000",,"Stealing - Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC22007777","2022-02-02T18:36:00.000","18:36","2022-02-02T18:36:00.000","18:36","2022-02-02T18:36:00.000","18:36","Stealing - Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","SUS",,,,"false",,
"KC22007864","2022-02-02T19:00:00.000","11:54","2022-02-02T19:00:00.000","19:00","2022-02-02T19:00:00.000","19:10","Property Damage","290","Vandalism/Destruction of Property","112","100  10 TH ST","KANSAS CITY","64128",,"CPD","false","VIC",,,,"false",,
"KC22007885","2022-02-03T12:17:00.000","12:50","2022-02-03T12:17:00.000","12:17","2022-02-03T12:17:00.000",,"Stealing - Shoplift","23C","Shoplifting","131","3100  SOUTHWEST BLVD","KANSAS CITY","64111","PJ2474","CPD","false","SUS","B","M","40","false","POINT (-94.607155 39.07261)","35-44"
"KC22007986","2022-02-03T12:00:00.000","20:48","2022-02-03T12:00:00.000","12:00","2022-02-03T12:00:00.000",,"Stealing - Other","23H","All Other Larceny","532","10300  HILLCREST RD","KANSAS CITY","64137","PJ6785","SPD","false","VIC","W","F","29","false",,"25-34"
"KC22008219","2022-02-04T20:33:00.000","20:56","2022-02-04T20:33:00.000","20:33","2022-02-04T20:33:00.000","20:56","Robbery (Business)","120","Robbery","213","8600  E 63RD TRFY","KANSAS CITY","64129","PJ4889","MPD","false","SUS","B","M",,"true",,
"KC22008244","2022-02-05T00:05:00.000","00:05","2022-02-05T00:05:00.000","00:05","2022-02-05T00:05:00.000",,"False Bomb Report","13C","Intimidation","134","4400  WORNALL RD","KANSAS CITY","64111",,"CPD","false","SUS","U","M",,"false","POINT (-94.59015 39.046134)",
"KC22008280","2022-02-05T05:14:00.000","05:13","2022-02-05T05:14:00.000","05:14","2022-02-05T05:14:00.000",,"Murder","09A","Murder","333","E 40TH ST and SOUTH BENTON AVE","KANSAS CITY","64130","PJ3192","EPD","false","VIC DEC","B","M","33","true",,"25-34"
"KC22008341","2022-02-05T15:06:00.000","15:06","2022-02-05T15:06:00.000","15:06","2022-02-05T15:06:00.000",,"Recovered Stolen Auto",,,"121","1800  INDEPENDENCE BLVD","KANSAS CITY",,,"CPD","false","ARR CHA SUS","W","F","30","false",,"25-34"
"KC22008398","2022-02-05T20:28:00.000","20:28","2022-02-05T20:28:00.000","20:28","2022-02-05T20:28:00.000",,"Alcohol Influence Report","90D","Driving Under the Influence","642","NE 96TH ST and N INDIANA AVE","KANSAS CITY","64156",,"SCP","false","ARR CHA SUS","W","M","28","false",,"25-34"
"KC22008402","2022-02-05T18:55:00.000","21:42","2022-02-05T18:55:00.000","18:55","2022-02-05T18:55:00.000","22:31","Stolen Auto","240","Motor Vehicle Theft","312","1000  N CAMBRIDGE AVE","KANSAS CITY","64120","PJ0071","EPD","false","VIC","W","M","51","false",,"45-54"
"KC22008502","2022-02-06T10:30:00.000","10:56","2022-02-06T10:30:00.000","10:30","2022-02-06T10:30:00.000",,"Outside State Warrant Arrest",,,"231","8000  STATE LINE RD","KANSAS CITY","64114","PJ5841","MPD","false","ARR SUS","B","F","42","false",,"35-44"
"KC22008581","2022-02-06T18:40:00.000","21:08","2022-02-06T18:40:00.000","18:40","2022-02-06T18:40:00.000","18:50","Property Damage","290","Vandalism/Destruction of Property","633","1400  NE VIVION RD","KANSAS CITY","64116",,"SCP","false","CMP VIC","U","M","27","false",,"25-34"
"KC22008636","2021-09-29T14:15:00.000","06:46","2021-09-29T14:15:00.000","14:15","2021-09-29T14:15:00.000","17:40","Embezzlement","270","Embezzlement","221","0  WARD PKWY","KANSAS CITY","64112","PJ3851","MPD","false","SUS",,"F","23","false",,"18-24"
"KC22008975","2022-02-08T12:58:00.000","13:01","2022-02-08T12:58:00.000","12:58","2022-02-08T12:58:00.000",,"Vehicular - Non-Injury",,,"144","EMANUEL CLEAVER II BLVD and TROOST AVE","KANSAS CITY","64110","PJ3710","CPD","false","SUS",,,,"false",,
"KC22009044","2022-02-08T16:11:00.000","16:11","2022-02-08T16:11:00.000","16:11","2022-02-08T16:11:00.000","17:52","Vehicular - Non-Injury",,,"212","63RD ST and ZOO DR","KANSAS CITY","64132","PJ4986","MPD","false","SUS",,,,"false",,
"KC22009532","2022-02-10T15:30:00.000","14:07","2022-02-10T15:30:00.000","15:30","2022-02-10T15:30:00.000",,"Stealing - Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC22009773","2022-02-11T16:15:00.000","16:32","2022-02-11T16:15:00.000","16:15","2022-02-11T16:15:00.000",,"Stealing - Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","SUS",,,,"false",,
"KC22009982","2022-02-12T16:27:00.000","17:36","2022-02-12T16:27:00.000","16:27","2022-02-12T16:27:00.000",,"Property Damage","290","Vandalism/Destruction of Property","134","4400  WORNALL RD","KANSAS CITY","64112",,"CPD","false","SUS","B","F",,"false",,
"KC22010240","2022-02-14T04:08:00.000","04:08","2022-02-14T04:08:00.000","04:08","2022-02-14T04:08:00.000",,"Recovered Stolen Auto",,,"322","E 22ND ST and CHELSEA AVE","KANSAS CITY","64127","PJ1794","EPD","false","VIC A02","W","M","41","false",,"35-44"
"KC22010556","2022-02-15T12:15:00.000","11:21","2022-02-15T12:15:00.000","12:15","2022-02-15T12:15:00.000",,"Burglary (Non-Residential)","90J","Trespass of Real Property","633","1100  NE VIVION RD","KANSAS CITY","64116","PC1033","SCP","false","VIC",,,,"false",,
"KC22010593","2022-02-15T14:00:00.000","14:16","2022-02-15T14:00:00.000","14:00","2022-02-15T14:00:00.000",,"Vehicular - Non-Injury",,,"112","E 11TH ST and HOLMES ST","KANSAS CITY","64106","PJ0961","CPD","false","SUS",,,,"false",,
"KC22010616","2022-02-15T15:30:00.000","15:42","2022-02-15T15:30:00.000","15:30","2022-02-15T15:30:00.000",,"Vehicular - Non-Injury",,,"113","E 22ND ST and CHARLOTTE ST","KANSAS CITY","64108","PJ1758","CPD","false","SUS",,,,"false",,
"KC22010801","2022-02-16T10:53:00.000","10:53","2022-02-16T10:53:00.000","10:53","2022-02-16T10:53:00.000","12:00","Vehicular - Non-Injury",,,"332","E 33RD ST and BENTON BLVD","KANSAS CITY","64128","PJ2737","EPD","false","SUS",,,,"false",,
"KC22010881","2022-02-16T15:45:00.000","17:28","2022-02-16T15:45:00.000","15:45","2022-02-16T15:45:00.000",,"Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","113","0  E 13TH ST","KANSAS CITY","64105",,"CPD","false","VIC",,,,"false",,
"KC22011112","2022-02-18T02:00:00.000","02:07","2022-02-18T02:00:00.000","02:00","2022-02-18T02:00:00.000","02:05","Vehicular - Injury",,,"222","US 71 HWY and SWOPE PKWY","KANSAS CITY","64130",,"MPD","false","SUS",,,,"false",,
"KC22011328","2022-02-19T01:41:00.000","01:41","2022-02-19T01:41:00.000","01:41","2022-02-19T01:41:00.000",,"Vehicular - Non-Injury",,,"342","I 435 HWY NE and E US 40 HWY","KANSAS CITY","64129","PJ2393","EPD","false","SUS","B","F","21","false",,"18-24"
"KC22011403","2022-02-18T12:00:00.000","11:17","2022-02-18T12:00:00.000","12:00","2022-02-18T12:00:00.000","20:10","Stolen Auto","240","Motor Vehicle Theft","123","1300  VINE ST","KANSAS CITY","64108",,"CPD","false","VIC","B","F",,"false",,
"KC22011776","2022-02-21T00:51:00.000","00:51","2022-02-21T00:51:00.000","00:51","2022-02-21T00:51:00.000",,"Rape - Juvenile","90Z","All Other Offenses","642","8800  N AGNES AVE","KANSAS CITY","64156","PC0262","SCP","false","ARR CHA SUS","W","M",,"false",,
"KC22011939","2022-02-21T17:15:00.000","17:18","2022-02-21T17:15:00.000","17:15","2022-02-21T17:15:00.000",,"Assault (Aggravated)","13A","Aggravated Assault","321","E 11TH ST and PROSPECT AVE","KANSAS CITY","64127","PJ0983","EPD","false","VIC","B","M","51","false",,"45-54"
"KC22012046","2022-02-22T09:26:00.000","09:05","2022-02-22T09:26:00.000","09:26","2022-02-22T09:26:00.000",,"Recovered Stolen Auto",,,"122","1100  WOODLAND AVE","KANSAS CITY","64127","PJ1067","CPD","false","VIC","U","M",,"false",,
"KC22012101","2022-02-22T12:16:00.000","12:16","2022-02-22T12:16:00.000","12:16","2022-02-22T12:16:00.000",,"Vehicular - Injury",,,"542","BLUE RIDGE BLVD and E 88TH ST","KANSAS CITY","64138","PJ6349","SPD","false","SUS",,,,"false",,
"KC22012126","2022-02-22T14:19:00.000","14:19","2022-02-22T14:19:00.000","14:19","2022-02-22T14:19:00.000",,"Property Damage","290","Vandalism/Destruction of Property","232","E MEYER BLVD and TROOST AVE","KANSAS CITY","64131","PJ4979","MPD","false","VIC",,,,"false",,
"KC22012177","2022-02-22T17:00:00.000","17:02","2022-02-22T17:00:00.000","17:00","2022-02-22T17:00:00.000",,"Vehicular - Non-Injury",,,"642","NE BARRY RD and N OAK TRFY","KANSAS CITY","64155","PC0375","SCP","false","SUS",,,,"false",,
"KC22012335","2022-02-23T12:54:00.000","12:54","2022-02-23T12:54:00.000","12:54","2022-02-23T12:54:00.000",,"Robbery (Business)","120","Robbery","243","7600  E 87TH ST","KANSAS CITY","64138","PJ6229","MPD","false","VIC","B","F","50","false","POINT (-94.500555 38.966498)","45-54"
"KC22012509","2022-02-24T08:30:00.000","06:56","2022-02-24T08:30:00.000","08:30","2022-02-24T08:30:00.000",,"Recovered Stolen Auto",,,"312","1000  N CAMBRIDGE AVE","KANSAS CITY","64120","PJ0071","EPD","false","VIC","W","M","33","false",,"25-34"
"KC22012534","2022-02-23T21:00:00.000","09:27","2022-02-23T21:00:00.000","21:00","2022-02-23T21:00:00.000","09:10","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","634","4600  NE WINN RD","KANSAS CITY","64117",,"SCP","false","CMP VIC","W","M","25","false",,"25-34"
"KC22013042","2022-02-26T09:20:00.000","09:20","2022-02-26T09:20:00.000","09:20","2022-02-26T09:20:00.000",,"Stealing - Shoplift","23H","All Other Larceny","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","SUS",,,,"false",,
"KC22013454","2022-02-28T10:16:00.000","10:16","2022-02-28T10:16:00.000","10:16","2022-02-28T10:16:00.000",,"Vehicular - Non-Injury",,,"231","WARD PKWY and W MEYER BLVD","KANSAS CITY","64113","PJ4923","MPD","false","SUS",,,,"false",,
"KC22013955","2022-03-01T21:00:00.000","09:21","2022-03-01T21:00:00.000","21:00","2022-03-01T21:00:00.000","07:00","Stolen Auto","240","Motor Vehicle Theft","114","600  AVENDIA CESAR CHAVEZ","KANSAS CITY",,,"CPD","false","VIC","W","M","29","false",,"25-34"
"KC22014138","2022-03-02T22:37:00.000","22:37","2022-03-02T22:37:00.000","22:37","2022-03-02T22:37:00.000",,"Stolen Auto","240","Motor Vehicle Theft","224","6000  BLUE HILLS RD","KANSAS CITY","64110","PJ4734","MPD","false","VIC","B","M","36","false","POINT (-94.568561 39.016535)","35-44"
"KC22014249","2022-03-03T13:43:00.000","13:43","2022-03-03T13:43:00.000","13:43","2022-03-03T13:43:00.000",,"Sexual Misconduct",,,"533","W 112TH ST and GLEN ARBOR TER","KANSAS CITY","64114","PJ7028","SPD","false","SUS","B","M",,"false",,
"KC22014374","2022-03-04T00:02:00.000","00:02","2022-03-04T00:02:00.000","00:02","2022-03-04T00:02:00.000",,"Vehicular - Non-Injury",,,"544","E BANNISTER RD and JAMES A REED RD","KANSAS CITY","64134","PJ6592","SPD","false","SUS VDR","W","M","35","false",,"35-44"
"KC22014591","2022-03-04T18:37:00.000","18:37","2022-03-04T18:37:00.000","18:37","2022-03-04T18:37:00.000","19:16","Vehicular - Non-Injury",,,"241","E 68TH ST and WALROND AVE","KANSAS CITY","64132","PJ5255","MPD","false","CHA VDR","B","M","23","false",,"18-24"
"KC22014788","2022-03-05T16:08:00.000","16:08","2022-03-05T16:08:00.000","16:08","2022-03-05T16:08:00.000",,"Stealing - Shoplift","23C","Shoplifting","234","8500  STATE LINE RD","KANSAS CITY","64114","PJ6174","MPD","false","VIC",,,,"false",,
"KC22014970","2022-03-06T16:28:00.000","16:28","2022-03-06T16:28:00.000","16:28","2022-03-06T16:28:00.000",,"Assault (Non-Aggravated)","13B","Simple Assault","421","6900  NW 83RD TER","KANSAS CITY","64152","PP0377","NPD","false","VIC","W","F","44","false","POINT (-94.660648 39.245812)","35-44"
"KC22015119","2022-03-06T17:00:00.000","11:26","2022-03-06T17:00:00.000","17:00","2022-03-06T17:00:00.000",,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","134","4600  STATE LINE RD","KANSAS CITY","64112","PJ3656","CPD","true","VIC","W","F","39","false",,"35-44"
"KC22015213","2022-03-07T18:04:00.000","18:04","2022-03-07T18:04:00.000","18:04","2022-03-07T18:04:00.000",,"Stealing - Shoplift","23D","Theft From Building","313","2600  INDEPENDENCE BLVD","KANSAS CITY","64124","PJ0670","EPD","false","SUS",,,,"false",,
"KC22015295","2022-03-08T08:26:00.000","08:26","2022-03-08T08:26:00.000","08:26","2022-03-08T08:26:00.000",,"Vehicular - Injury",,,"544","E BANNISTER RD and JAMES A REED RD","KANSAS CITY","64134","PJ6592","SPD","false","SUS",,,,"false",,
"KC22015307","2022-03-08T08:15:00.000","08:37","2022-03-08T08:15:00.000","08:15","2022-03-08T08:15:00.000",,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","535","14400  S US 71 HWY","KANSAS CITY","64147","PJ7447","SPD","true","VIC","B","M",,"false",,
"KC22015483","2022-03-08T21:44:00.000","21:44","2022-03-08T21:44:00.000","21:44","2022-03-08T21:44:00.000",,"Tampering","13B","Simple Assault","113","1700  WALNUT ST","KANSAS CITY","64108","PJ1467","CPD","false","VIC","W","M","20","false","POINT (-94.582421 39.093211)","18-24"
"KC22015626","2022-03-07T10:13:00.000","14:42","2022-03-07T10:13:00.000","10:13","2022-03-07T10:13:00.000","10:14","Identity Theft","26F","Identity Theft","231","0  E 70TH TER","KANSAS CITY","64113","PJ5317","MPD","false","VIC","W","M","32","false",,"25-34"
"KC22015767","2022-03-10T06:04:00.000","06:04","2022-03-10T06:04:00.000","06:04","2022-03-10T06:04:00.000",,"Vehicular - Non-Injury",,,"342","I 435 HWY NE and E 23RD TRFY E","KANSAS CITY","64126","PJ2133","EPD","false","SUS",,,,"false",,
