"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","firearm_used_flag","location"
"180038080","2018-05-21T00:00:00.000","14:40","2018-05-21T00:00:00.000","14:40",,,"1849","35A","Possession/Sale/Dist","122","E 9 ST and PASEO","KANSAS CITY","64106","PJ0836","CPD","U","1","VIC",,,,"N","9 ST
and PASEO KANSAS CITY,  64106"
"180036564","2018-05-16T00:00:00.000","05:50","2018-05-16T00:00:00.000","04:00","2018-05-16T00:00:00.000","05:50","802","13B","Non Agg Assault Dome","324","2400  MYRTLE AV","KANSAS CITY","64127","PJ2046","EPD","U","1","VIC","B","F","30","N","2400 MYRTLE AV
KANSAS CITY,  64127
(39.082038, -94.53614)"
"180038290","2018-05-22T00:00:00.000","10:00","2018-05-18T00:00:00.000","06:12",,,"690","23H","Stealing All Other","212","5900  MANCHESTER TR","KANSAS CITY","64130","PJ4769","MPD","U","2","SUS","W","M","20","N","5900 MANCHESTER TR
KANSAS CITY,  64130
(39.018268, -94.525848)"
"180038887","2018-05-24T00:00:00.000","06:56","2018-05-23T00:00:00.000","21:00","2018-05-24T00:00:00.000","06:30","1401","290","Property Damage","421","7400  NW 78 ST","KANSAS CITY","64152","PP0441","NPD","N","1","VIC","U","F","42","N","7400 NW 78 ST
KANSAS CITY,  64152
(39.238112, -94.666002)"
"180038044","2018-05-21T00:00:00.000","13:27","2018-05-21T00:00:00.000","13:27",,,"501","220","Burglary - Residence","231","7900  WASHINGTON ST","KANSAS CITY","64114","PJ5827","MPD","U","1","SUS","B","M","18","N","7900 WASHINGTON ST
KANSAS CITY,  64114
(38.98488, -94.595656)"
"180038324","2018-05-22T00:00:00.000","11:50","2018-05-22T00:00:00.000","07:30","2018-05-22T00:00:00.000","09:30","650","23G","Stealing Auto Parts/","321","3700  E 12 ST","KANSAS CITY","64127","PJ1195","EPD","U","1","SUS","U","U",,"N","3700 E 12 ST
KANSAS CITY,  64127
(39.098371, -94.537884)"
"180038843","2018-05-23T00:00:00.000","22:37","2018-05-23T00:00:00.000","22:37","2018-05-23T00:00:00.000","22:37","801","13B","Non Aggravated Assau","241","6700  INDIANA AV","KANSAS CITY","64132","PJ5208","MPD","U","1","VIC","B","M","32","N","6700 INDIANA AV
KANSAS CITY,  64132
(39.004732, -94.547247)"
"180034785","2018-05-09T00:00:00.000","22:50","2018-05-09T00:00:00.000","17:40",,,"1849","35A","Possession/Sale/Dist","545","8600  RUSKIN WAY","KANSAS CITY","64134","PJ7098","SPD","U","1","VIC",,,,"N","8600 RUSKIN WAY
KANSAS CITY,  64134
(38.919123, -94.492037)"
"180038756","2018-05-23T00:00:00.000","16:25","2018-05-21T00:00:00.000","22:00","2018-05-22T00:00:00.000","17:00","502","220","Burglary - Non Resid","532","9600  MARION RIDGE DR","KANSAS CITY","64137","PJ6660","SPD","U","1","SUS","U","U",,"N","9600 MARION RIDGE DR
KANSAS CITY,  64137
(38.950727, -94.526719)"
"180038805","2018-05-23T00:00:00.000","19:49","2018-05-23T00:00:00.000","19:49",,,"801","13B","Non Aggravated Assau","242","E 75 ST and BRUCE R WATKINS DR","KANSAS CITY","64130","PJ5548","MPD","U","1","SUS","B","M",,"N","75 ST and BRUCE R WATKINS DR
KANSAS CITY,  64130"
"180038580","2018-05-23T00:00:00.000","07:30","2018-05-22T00:00:00.000","21:00","2018-05-23T00:00:00.000","07:10","640","23F","Stealing From Auto","632","3500  N CLEVELAND AV","KANSAS CITY","64117","PC1357","SCP","U","1","VIC","W","M","48","N","3500 N CLEVELAND AV
KANSAS CITY,  64117
(39.158627, -94.535545)"
"180029424","2018-04-21T00:00:00.000","00:41","2018-04-21T00:00:00.000","00:41",,,"640","23F","Stealing From Auto","113","1500  BALTIMORE AV","KANSAS CITY","64106","PJ1345","CPD","U","1","VIC","B","M","36","N","1500 BALTIMORE AV
KANSAS CITY,  64106
(39.095901, -94.584533)"
"180037224","2018-05-18T00:00:00.000","10:29","2018-05-16T00:00:00.000","20:30","2018-05-17T00:00:00.000","18:30","702","240","Auto Theft","212","BLUE PK W and I 435 HW","KANSAS CITY","64133","PJ4521","MPD","U","1","SUS","U","U",,"N","435 HW
KANSAS CITY,  64133"
"180051710","2018-07-07T00:00:00.000","20:30","2018-07-07T00:00:00.000","14:30","2018-07-07T00:00:00.000","20:30","801","13B","Non Aggravated Assau","344","0  ROYAL WA","KANSAS CITY","64129","PJ3213","EPD","U","2","VIC",,,,"N","0 ROYAL
WA KANSAS CITY,  64129"
"180052742","2018-07-11T00:00:00.000","16:39","2018-07-11T00:00:00.000","16:39",,,"301","120","Strong Arm Robbery","334","4400  BENTON BL","KANSAS CITY","64127","PJ3600","EPD","U","3","SUS","B","F","30","N","4400 BENTON
BL KANSAS CITY,  64127"
"180053663","2018-07-14T00:00:00.000","21:57","2018-07-14T00:00:00.000","21:57",,,"1850","35B","Possession of Drug E","233","E 81 ST and LYDIA AV","KANSAS CITY","64131","PJ5890","MPD","U","1","VIC",,,,"N","81 ST and LYDIA AV
KANSAS CITY,  64131
(38.981206, -94.571564)"
"180053305","2018-07-13T00:00:00.000","14:50","2018-07-10T00:00:00.000","09:30","2018-07-13T00:00:00.000","12:00","650","23G","Stealing Auto Parts/","211","5400  KENSINGTON AV","KANSAS CITY","64130","PJ4382","MPD","U","1","VIC","B","F","63","N","5400 KENSINGTON AV
KANSAS CITY,  64130
(39.026853, -94.534344)"
"180017393","2018-03-06T00:00:00.000","08:50","2018-03-06T00:00:00.000","08:45",,,"401","13A","Aggravated Assault (","223","E 57 ST and PROSPECT AV","KANSAS CITY","64130","PJ4514","MPD","U","1","VIC","B","F","43","N","57 ST and PROSPECT AV
KANSAS CITY,  64130"
"180020335","2018-03-17T00:00:00.000","12:04","2018-03-16T00:00:00.000","22:30",,,"820","13C","Stalking","642","NE BARRY RD and N OAK TR","KANSAS CITY","64118","PC0354","NPD","N","1","SUS","W","M","40","N","NE N BARRY RD
KANSAS CITY,  64118"
"180021701","2018-03-22T00:00:00.000","17:29","2018-03-22T00:00:00.000","17:24",,,"802","13B","Non Agg Assault Dome","212","7100  BALES AV","KANSAS CITY","64132","PJ5460","MPD","Y","1","VIC","B","F","30","N","7100 BALES AV
KANSAS CITY,  64132
(38.997407, -94.546439)"
"180020850","2018-03-19T00:00:00.000","13:09","2018-03-18T00:00:00.000","21:30","2018-03-19T00:00:00.000","12:00","650","23G","Stealing Auto Parts/","531","1400  E 97 ST","KANSAS CITY","64131","PJ6623","SPD","U","1","VIC","B","M","25","N","1400 E 97 ST
KANSAS CITY,  64131
(38.951502, -94.571732)"
"180022495","2018-03-25T00:00:00.000","20:34","2018-03-25T00:00:00.000","20:30",,,"401","13A","Aggravated Assault (","315","5500  INDEPENDENCE AV","KANSAS CITY","99999","PJ0651","EPD","N","1","SUS","B","M",,"Y","5500 INDEPENDENCE AV
KANSAS CITY,  99999
(39.105155, -94.517942)"
"180020828","2018-03-19T00:00:00.000","12:24","2018-03-18T00:00:00.000","16:00","2018-03-19T00:00:00.000","11:00","640","23F","Stealing From Auto","213","7400  E 56 TE","KANSAS CITY","64130","PJ4555","MPD","N","1","SUS","U","U",,"N","7400 E 56
TE KANSAS CITY,  64130"
"180022098","2018-03-24T00:00:00.000","01:44","2018-03-24T00:00:00.000","01:44",,,"690","23H","Stealing All Other","346","3900  RAYTOWN RD","KANSAS CITY","64128","PJ3194","EPD","U","1","SUS","W","M",,"N","3900 RAYTOWN RD
KANSAS CITY,  64128"
"180018173","2018-03-09T00:00:00.000","00:40","2018-03-09T00:00:00.000","00:40",,,"802","13B","Non Agg Assault Dome","333","4200  BENTON BL","KANSAS CITY","64130","PJ3401","EPD","Y","1","SUS","B","M","35","N","4200 BENTON
BL KANSAS CITY,  64130
(39.049688, -94.547016)"
"180021582","2018-03-22T00:00:00.000","10:25","2018-03-20T00:00:00.000","14:00","2018-03-21T00:00:00.000","20:00","670","23D","Stealing from Buildi","211","3800  E 53 ST","KANSAS CITY","64130","PJ4301","MPD","U","1","VIC","B","F","43","N","3800 E 53 ST
KANSAS CITY,  64130
(39.029641, -94.541133)"
"180017912","2018-03-08T00:00:00.000","07:59","2018-02-23T00:00:00.000","17:30","2018-03-08T00:00:00.000","07:00","502","220","Burglary - Non Resid","312","6200  CONNECTICUT AV","KANSAS CITY","64120","PJ0039","EPD","U","1","SUS","U","U",,"N","6200 CONNECTICUT AV
KANSAS CITY,  64120
(39.132702, -94.508515)"
"180021482","2018-03-21T00:00:00.000","18:40","2018-03-21T00:00:00.000","18:25",,,"402","13A","Agg Assault - Drive-","344","6400  E 35 ST","KANSAS CITY","64129","PJ2852","EPD","U","2","SUS","W","M",,"Y","6400 E 35 ST
KANSAS CITY,  64129
(39.061342, -94.510347)"
"180011981","2018-02-18T00:00:00.000","01:50","2018-02-18T00:00:00.000","01:50",,,"1849","35A","Possession/Sale/Dist","113","100  E 13 ST","KANSAS CITY","64105","PJ1177","CPD","U","1","ARR","B","M","27","N","100 E 13 ST
KANSAS CITY,  64105
(39.098581, -94.58215)"
"180021804","2018-03-23T00:00:00.000","01:51","2018-03-23T00:00:00.000","00:30",,,"2001","90F","Family Offense","233","8000  CAMPBELL ST","KANSAS CITY","64131","PJ5921","MPD","Y","2","VIC","B","M",,"N","8000 CAMPBELL ST
KANSAS CITY,  64131
(38.982532, -94.578455)"
"180022213","2018-03-24T00:00:00.000","14:49","2018-03-21T00:00:00.000","21:33",,,"670","23D","Stealing from Buildi","633","5500  N CHERRY ST","KANSAS CITY","64118","PC0709","SCP","U","1","VIC","W","M","35","N","5500 N CHERRY ST
KANSAS CITY,  64118
(39.194566, -94.573532)"
"180021565","2018-03-22T00:00:00.000","05:45","2018-03-21T00:00:00.000","23:45","2018-03-22T00:00:00.000","01:20","502","220","Burglary - Non Resid","121","1600  DORA ST","KANSAS CITY","64106","PJ0326","CPD","U","1","VIC",,,,"N","1600 DORA ST
KANSAS CITY,  64106
(39.114911, -94.56183)"
"180020181","2018-03-16T00:00:00.000","14:34","2018-03-16T00:00:00.000","14:34",,,"1401","290","Property Damage","124","2500  EUCLID AV","KANSAS CITY","64127","PJ2090","CPD","U","1","SUS","U","U",,"N","2500 EUCLID AV
KANSAS CITY,  64127
(39.080833, -94.55929)"
"180022422","2018-03-25T00:00:00.000","12:53","2018-03-25T00:00:00.000","04:00","2018-03-25T00:00:00.000","07:00","702","240","Auto Theft","544","12300  E 78 ST","KANSAS CITY","64139","PJ5964","SPD","U","1","SUS","U","U",,"N","12300 E 78 ST
KANSAS CITY,  64139"
"180021248","2018-03-20T00:00:00.000","23:08","2018-03-20T00:00:00.000","23:05",,,"630","23C","Stealing Shoplifting","641","8300  N CHURCH RD","KANSAS CITY","64158","PC0387","SCP","U","1","VIC",,,,"N","8300 N CHURCH RD
KANSAS CITY,  64158
(39.242131, -94.461724)"
"180021465","2018-03-21T00:00:00.000","17:54","2018-03-21T00:00:00.000","14:10",,,"1401","290","Property Damage","333","4100  COLLEGE AV","KANSAS CITY","64130","PJ3403","EPD","U","1","SUS","B","F","29","N","4100 COLLEGE AV
KANSAS CITY,  64130
(39.051551, -94.545707)"
"180021647","2018-03-22T00:00:00.000","14:42","2018-03-12T00:00:00.000","12:00","2018-03-22T00:00:00.000","12:00","690","23H","Stealing All Other","544","8600  E 96 PL","KANSAS CITY","64134","PJ6563","SPD","U","1","SUS","B","F","29","N","8600 E 96 PL
KANSAS CITY,  64134
(38.949955, -94.488846)"
"180021307","2018-03-21T00:00:00.000","09:00","2018-03-20T00:00:00.000","18:00","2018-03-21T00:00:00.000","08:30","1401","290","Property Damage","642","3200  NE 83 ST","KANSAS CITY","64119","PC0376","SCP","U","1","SUS","U","U","99","N","3200 NE 83 ST
KANSAS CITY,  64119
(39.244092, -94.540424)"
"180022371","2018-03-25T00:00:00.000","09:00","2018-03-25T00:00:00.000","08:45",,,"403","13A","Agg Assault - Domest","334","4700  E 44 TE","KANSAS CITY","64130","PJ3619","EPD","Y","1","SUS","B","M","45","N","4700 E 44
TE KANSAS CITY,  64130
(39.045578, -94.529776)"
"180001382","2018-01-06T00:00:00.000","16:28","2018-01-06T00:00:00.000","09:00","2018-01-06T00:00:00.000","16:00","1401","290","Property Damage","243","7600  E 85 TE","KANSAS CITY","64131","PJ6158","MPD","U","1","SUS","U","U",,"N","7600 E 85
TE KANSAS CITY,  64131"
"180064811","2018-08-23T00:00:00.000","04:29","2018-08-23T00:00:00.000","04:29",,,"302","120","Armed Robbery","132","3800  BROADWAY BL","KANSAS CITY","64111","PJ3045","CPD","U","1","VIC",,,,"Y","3800 BROADWAY
BL KANSAS CITY,  64111"
"180030926","2018-04-26T00:00:00.000","12:00","2018-04-26T00:00:00.000","10:00","2018-04-26T00:00:00.000","11:00","702","240","Auto Theft","324","E 27 ST and COLORADO AV","KANSAS CITY","64127","PJ2221","EPD","N","1","SUS","U","U",,"N","27 ST and COLORADO AV
KANSAS CITY,  64127"
"180049402","2018-07-02T00:00:00.000","10:25","2018-06-29T00:00:00.000","17:40",,,"1849","35A","Possession/Sale/Dist",,,,"99999",,,"U","1","VIC",,,,"N","
,  99999"
"180030622","2018-04-25T00:00:00.000","13:50","2018-04-25T00:00:00.000","13:50",,,"2655","90J","Trespassing","345","11600  E US 40 HW","KANSAS CITY","64133","PJ3601","EPD","U","1","ARR","B","F","29","N","11600 E US
HW KANSAS CITY,  64133"
"180045097","2018-06-14T00:00:00.000","15:30","2018-06-14T00:00:00.000","15:30",,,"2604","90Z","False Information to","226","1600  E 63 ST","KANSAS CITY","64130","PJ4858","MPD","U","1","ARR","B","M","51","N","1600 E 63 ST
KANSAS CITY,  64130"
"180037138","2018-05-17T00:00:00.000","22:54","2018-05-17T00:00:00.000","22:54",,,"1849","35A","Possession/Sale/Dist","144","E 42 ST and FLORA AV","KANSAS CITY","64110","PJ3323","CPD","U","2","ARR","B","M","19","N","42 ST and FLORA AV
KANSAS CITY,  64110"
"180045298","2018-06-15T00:00:00.000","10:13","2018-06-15T00:00:00.000","10:13",,,"630","23C","Stealing Shoplifting","411","200  NE ENGLEWOOD RD","KANSAS CITY","64118","PC0724","NPD","U","1","SUS","B","M","65","N","200 NE ENGLEWOOD RD
KANSAS CITY,  64118
(39.196006, -94.579896)"
"180004437","2018-01-18T00:00:00.000","22:29","2018-01-18T00:00:00.000","20:00","2018-01-18T00:00:00.000","21:00","650","23G","Stealing Auto Parts/","631","4200  NE DAVIDSON RD","KANSAS CITY","64116","PC1192","SCP","N","1","VIC","W","M","29","N","4200 NE DAVIDSON RD
KANSAS CITY,  64116
(39.170607, -94.56004)"
"180033346","2018-05-05T00:00:00.000","00:21","2018-05-05T00:00:00.000","00:21",,,"2100","90D","Driving Under Influe","113","E TRUMAN RD and WALNUT ST","KANSAS CITY","99999","PJ1306","CPD","U","1","VIC",,,,"N","E TRUMAN RD
KANSAS CITY,  99999"
"180025359","2018-04-05T00:00:00.000","15:17","2018-04-05T00:00:00.000","15:17",,,"1849","35A","Possession/Sale/Dist","635","NE 48 ST and N OAKLEY AV","KANSAS CITY","64116","PC0978","SCP","U","2","ARR","W","F","22","N","48 ST and N OAKLEY AV
KANSAS CITY,  64116"
"180031863","2018-05-01T00:00:00.000","12:21","2018-04-29T00:00:00.000","23:15","2018-04-29T00:00:00.000","23:30","702","240","Auto Theft","636","7800  NE 38 ST","KANSAS CITY","64161","PC1268","SCP","U","1","VIC",,,,"N","7800 NE 38 ST
KANSAS CITY,  64161
(39.163595, -94.489417)"
"180029484","2018-04-21T00:00:00.000","08:51","2018-04-21T00:00:00.000","08:51",,,"802","13B","Non Agg Assault Dome","242","7700  BROOKLYN AV","KANSAS CITY","64132","PJ5789","MPD","Y","1","VIC","B","M",,"N","7700 BROOKLYN AV
KANSAS CITY,  64132
(38.986547, -94.561907)"
"180033472","2018-05-05T00:00:00.000","14:15","2018-05-05T00:00:00.000","14:15",,,"831","13C","Intimidation","312","700  DITMAN AV","KANSAS CITY","64125","PJ0925","EPD","U","2","VIC","W","M","73","N","700 DITMAN AV
KANSAS CITY,  64125
(39.102078, -94.480724)"
"180030705","2018-04-25T00:00:00.000","17:53","2018-04-25T00:00:00.000","16:00",,,"801","13B","Non Aggravated Assau","233","8200  PASEO","KANSAS CITY","64131","PJ5995","MPD","U","2","SUS","B","F",,"N","8200 PASEO
KANSAS CITY,  64131
(38.978826, -94.56708)"
"180033789","2018-05-06T00:00:00.000","18:12","2018-05-06T00:00:00.000","18:12",,,"402","13A","Agg Assault - Drive-","334","4300  COLLEGE AV","KANSAS CITY","64130","PJ3525","EPD","U","1","SUS","U","U",,"Y","4300 COLLEGE AV
KANSAS CITY,  64130
(39.047775, -94.545906)"
"180032493","2018-05-02T00:00:00.000","08:08","2018-05-01T00:00:00.000","15:00","2018-05-02T00:00:00.000","07:00","670","23D","Stealing from Buildi","134","W 45 ST and BELLEVIEW AV","KANSAS CITY","64111","PJ3517","CPD","U","1","SUS","U","U",,"N","45 ST and BELLEVIEW AV
KANSAS CITY,  64111"
"180033835","2018-05-06T00:00:00.000","21:40","2018-05-06T00:00:00.000","21:20",,,"802","13B","Non Agg Assault Dome","425","9900  NW PRAIRIE VIEW RD","KANSAS CITY","64154","PP0256","NPD","Y","1","ARR","W","M","21","N","9900 NW PRAIRIE VIEW RD
KANSAS CITY,  64154
(39.275702, -94.671552)"
"180033629","2018-05-06T00:00:00.000","01:30","2018-05-01T00:00:00.000","17:30","2018-05-01T00:00:00.000","20:30","702","240","Auto Theft","115","2400  GILLHAM ST","KANSAS CITY","64109","PJ1880","CPD","U","1","VIC","W","F","34","N","2400 GILLHAM ST
KANSAS CITY,  64109"
"180032689","2018-05-02T00:00:00.000","19:07","2018-05-02T00:00:00.000","19:07",,,"1401","290","Property Damage","636","7600  NE 51 ST","KANSAS CITY","64119","PC0893","SCP","U","1","VIC","W","M","32","N","7600 NE 51 ST
KANSAS CITY,  64119
(39.184676, -94.491209)"
"180033051","2018-05-04T00:00:00.000","01:07","2018-05-04T00:00:00.000","01:07",,,"1849","35A","Possession/Sale/Dist","999","W 50 ST and STATE LINE RD","KANSAS CITY","64111","PJCX01","OSPD","U","1","VIC",,,,"N","50 ST and STATE LINE RD
KANSAS CITY,  64111"
"180032426","2018-05-01T00:00:00.000","21:07","2018-05-01T00:00:00.000","21:07","2018-05-01T00:00:00.000","21:07","2601","90Z","Misc Violation","236","E 67 ST and SWOPE PK","KANSAS CITY","64130","PJ5145","MPD","U","2","VIC","B","F",,"N","67 ST and SWOPE PK
KANSAS CITY,  64130"
"180033634","2018-05-06T00:00:00.000","01:25","2018-05-06T00:00:00.000","01:25",,,"690","23H","Stealing All Other","331","2900  E 29 ST","KANSAS CITY","64128","PJ2432","EPD","Y","1","VIC","W","F","25","N","2900 E 29 ST
KANSAS CITY,  64128
(39.072607, -94.549218)"
"180033626","2018-05-06T00:00:00.000","01:05","2018-05-06T00:00:00.000","01:03",,,"302","120","Armed Robbery","111","W 10 ST and JEFFERSON ST","KANSAS CITY","64111","PJ0760","CPD","U","1","VIC","B","F","55","Y","10 ST and JEFFERSON ST
KANSAS CITY,  64111"
"180032126","2018-04-30T00:00:00.000","19:31","2018-04-30T00:00:00.000","19:10",,,"401","13A","Aggravated Assault (","344","3900  TOPPING AV","KANSAS CITY","64129","PJ3374","EPD","N","1","VIC","B","F","26","N","3900 TOPPING AV
KANSAS CITY,  64129"
"180032769","2018-05-03T00:00:00.000","07:30","2018-05-02T00:00:00.000","21:45","2018-05-03T00:00:00.000","07:00","1401","290","Property Damage","343","3600  ELMWOOD AV","KANSAS CITY","64128","PJ2981","EPD","U","1","SUS","U","U",,"N","3600 ELMWOOD AV
KANSAS CITY,  64128
(39.059993, -94.530272)"
"180028597","2018-04-17T00:00:00.000","20:27","2018-04-17T00:00:00.000","18:32",,,"670","23D","Stealing from Buildi","422","8700  N AMBASSADOR DR","KANSAS CITY","64154","PP0321","NPD","U","1","SUS","U","U",,"N","8700 N AMBASSADOR DR
KANSAS CITY,  64154
(39.251468, -94.649742)"
"180032987","2018-05-03T00:00:00.000","20:34","2018-05-03T00:00:00.000","20:34",,,"640","23F","Stealing From Auto","242","E 81 ST and PARK AV","KANSAS CITY","64132","PJ5893","MPD","U","1","VIC","W","M","47","N","81 ST and PARK AV
KANSAS CITY,  64132
(38.980086, -94.5614)"
"180032846","2018-05-03T00:00:00.000","12:51","2018-04-05T00:00:00.000","12:00","2018-05-02T00:00:00.000","12:00","650","23G","Stealing Auto Parts/","313","3000  E 6 ST","KANSAS CITY","64124","PJ0679","EPD","U","1","SUS","U","U",,"N","3000 E 6 ST
KANSAS CITY,  64124
(39.105205, -94.545699)"
"180017754","2018-03-07T00:00:00.000","16:02","2018-03-07T00:00:00.000","14:37",,,"1849","35A","Possession/Sale/Dist","642","NE BARRY RD and N INDIANA AV","KANSAS CITY","64156","PC0262","SCP","U","1","VIC",,,,"N","NE N BARRY RD
KANSAS CITY,  64156"
"180090881","2018-11-25T00:00:00.000","03:02","2018-11-25T00:00:00.000","03:00",,,"302","120","Armed Robbery","632","4200  N ANTIOCH RD","KANSAS CITY","64116","PC1221","SCP","U","2","SUS","U","U",,"Y","4200 N ANTIOCH RD
KANSAS CITY,  64116"
"180037664","2018-05-20T00:00:00.000","00:16","2018-05-20T00:00:00.000","00:08",,,"502","220","Burglary - Non Resid","233","8400  STATE LINE RD","KANSAS CITY","64114","PJ6044","MPD","U","2","SUS","U","U",,"N","8400 STATE LINE RD
KANSAS CITY,  64114"
"180089858","2018-11-20T00:00:00.000","13:17","2018-10-09T00:00:00.000","12:00","2018-11-09T00:00:00.000","12:00","670","23D","Stealing from Buildi","131","00  E 32 ST","KANSAS CITY","64111","PJ2533","CPD","U","1","VIC","W","M","28","N","00 E 32 ST
KANSAS CITY,  64111"
"180004968","2018-01-21T00:00:00.000","00:55","2018-01-20T00:00:00.000","22:30","2018-01-21T00:00:00.000","00:15","640","23F","Stealing From Auto","324","E 24 ST and LISTER AV","KANSAS CITY","64127","PJ1964","EPD","U","1","SUS","U","U",,"N","24 ST and LISTER AV
KANSAS CITY,  64127"
"180013424","2018-02-24T00:00:00.000","09:40","2018-02-24T00:00:00.000","05:00",,,"801","13B","Non Aggravated Assau","133","3900  BROADWAY BL","KANSAS CITY","64111","PJ3155","CPD","N","2","SUS","B","M","27","N","3900 BROADWAY
BL KANSAS CITY,  64111"
"180024718","2018-04-03T00:00:00.000","11:40","2018-04-03T00:00:00.000","11:38",,,"2693","90Z","Hit and Run of a Per","133","W 39 TE and BROADWAY BL","KANSAS CITY","64111","PJ3101","CPD","U","1","SUS","B","M","40","N","39 TE
and BROADWAY BL KANSAS CITY,  64111"
"180027405","2018-04-11T00:00:00.000","14:20","2018-04-11T00:00:00.000","14:20",,,"801","13B","Non Aggravated Assau","241","ASKEW AV and E MEYER BL","KANSAS CITY","64131","PJ5062","MPD","U","4","ARR","B","F",,"N","E ASKEW AV
BL KANSAS CITY,  64131"
"180027978","2018-04-15T00:00:00.000","13:30","2018-04-15T00:00:00.000","13:30",,,"2655","90J","Trespassing","345","11600  E US 40 HW","KANSAS CITY","64110","PJ3601","EPD","U","1","ARR","B","M","52","N","11600 E US
HW KANSAS CITY,  64110"
"180023054","2018-03-28T00:00:00.000","01:46","2018-03-28T00:00:00.000","01:45",,,"2655","90J","Trespassing","314","5100  THOMPSON AV","KANSAS CITY","64123","PJ0633","EPD","U","2","ARR","B","M","25","N","5100 THOMPSON AV
KANSAS CITY,  64123"
"180026496","2018-04-10T00:00:00.000","00:49","2018-04-09T00:00:00.000","19:00","2018-04-10T00:00:00.000","00:40","502","220","Burglary - Non Resid","243","7500  BLUE RIVER RD","KANSAS CITY","64138","PJ5721","MPD","U","1","SUS","W","M","53","N","7500 BLUE RIVER RD
KANSAS CITY,  64138
(38.988107, -94.52799)"
"180026741","2018-04-10T00:00:00.000","22:18","2018-04-10T00:00:00.000","22:18",,,"1401","290","Property Damage","542","11300  MANCHESTER AV","KANSAS CITY","64134","PJ7122","SPD","U","1","SUS","U","U",,"N","11300 MANCHESTER AV
KANSAS CITY,  64134
(38.917996, -94.498626)"
"180025853","2018-04-07T00:00:00.000","14:00","2018-04-06T00:00:00.000","21:00","2018-04-07T00:00:00.000","08:00","501","220","Burglary - Residence","314","100  CHELSEA AV","KANSAS CITY","64123","PJ0343","EPD","U","1","SUS","U","U",,"N","100 CHELSEA AV
KANSAS CITY,  64123
(39.112532, -94.524633)"
