"report_no","report_date","report_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","involvement","race","sex","age","firearmused_flag","location","age_range"
"KC21009520","2021-02-11T11:15:37.000","11:15","2021-02-01T20:00:00.000","20:00","2021-02-02T05:15:00.000","05:15","Stolen Auto","240","Motor Vehicle Theft","542","9400  NEWTON DR","KANSAS CITY","64134",,"SPD","false","VIC","B","F","50","false",,"45-54"
"KC21004380","2021-01-20T16:44:09.000","16:44","2021-01-20T16:44:00.000","16:44",,,"Assault (Aggravated)","13A","Aggravated Assault","322","E 12TH ST and HARDESTY AVE","KANSAS CITY","64127","PJ1143","EPD","false","VIC","B","F","23","true",,"18-24"
"KC21005430","2021-01-25T12:09:06.000","12:09","2020-04-13T12:00:00.000","12:00",,,"Forgery","250","Counterfeiting / Forgery","332","3200  PROSPECT AVE","KANSAS CITY","64128","PJ2653","EPD","false","SUS","W","M","29","false",,"25-34"
"KC21008041","2021-02-05T11:14:22.000","11:14","2020-12-19T12:00:00.000","12:00",,,"Identity Theft","26F","Identity Theft","641","8100  N LAWN AVE","KANSAS CITY","64119","PC0400","SCP","false","CMP VIC","W","F","25","false",,"25-34"
"KC21005267","2021-01-24T17:27:17.000","17:27","2021-01-24T17:27:00.000","17:27",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","231","7600  WYANDOTTE ST","KANSAS CITY","64114",,"MPD","true","ARR CHA SUS","B","M","54","false",,"45-54"
"KC21011417","2021-02-20T01:41:41.000","01:41","2021-02-20T01:38:00.000","01:38",,,"Robbery (Armed Street)","120","Robbery","134","700  W 44TH ST","KANSAS CITY","64111","PJ3496","CPD","false","SUS","B","M",,"true",,
"KC21011702","2021-02-21T11:03:27.000","11:03","2021-02-20T17:00:00.000","17:00","2021-02-21T09:31:00.000","09:31","Stolen Auto","240","Motor Vehicle Theft","636","4500  NE WORLDS OF FUN DR","KANSAS CITY","64161","PC1118","SCP","false","VIC",,,,"false",,
"KC21012637","2021-02-25T11:45:21.000","11:45","2021-02-04T11:45:00.000","11:45",,,"Identity Theft","26F","Identity Theft","123","3000  PASEO","KANSAS CITY","64109","PJ2466","CPD","false","VIC","B","F","29","false",,"25-34"
"KC21007968","2021-02-05T01:02:22.000","01:02","2021-02-05T01:00:00.000","01:00",,,"Miscellaneous Investigation",,,"544","BANNISTER RD and ELM AVE","KANSAS CITY",,,"SPD","false","SUS","W","M","36","false","POINT (-94.475406 38.951041)","35-44"
"KC21010718","2021-02-17T00:06:14.000","00:06","2021-02-17T00:04:00.000","00:04",,,"Murder","09A","Murder","543","11300  SYCAMORE TER","KANSAS CITY","64134","PJ7121","SPD","false","VIC DEC","B","M","30","true","POINT (-94.498365 38.922378)","25-34"
"KC21013445","2021-03-01T03:23:57.000","03:23","2021-03-01T02:18:00.000","02:18",,,"City/Municipal Warrant Arrest",,,"999","00  NE TUDOR RD","LEES SUMMIT","64086",,"OSPD","false","ARR CHA SUS","B","M","39","false",,"35-44"
"KC21003974","2021-01-19T03:39:07.000","03:39","2021-01-19T03:39:00.000","03:39",,,"Stolen Auto",,,"221","5800  CHARLOTTE ST","KANSAS CITY","64110","PJ4622","MPD","false","VIC","U","F","52","false","POINT (-94.577611 39.021759)","45-54"
"KC21012022","2021-02-22T17:52:58.000","17:52","2021-02-22T17:40:00.000","17:40",,,"Stealing – Shoplift","23C","Shoplifting","113","00  E 13TH ST","KANSAS CITY","64106",,"CPD","false","VIC",,,,"false",,
"KC21010098","2021-02-14T00:20:43.000","00:20","2021-02-14T00:20:00.000","00:20",,,"Trespass of Real Property","90J","Trespass of Real Property","631","600  NE WOODLAWN AVE","KANSAS CITY",,,"SCP","false","SUS","B","M","27","false",,"25-34"
"KC21006497","2021-01-29T13:59:38.000","13:59","2021-01-29T15:45:00.000","15:45",,,"Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC21015438","2021-03-09T13:09:52.000","13:09","2021-03-09T13:09:00.000","13:09",,,"Soliciting Prostitution","40A","Prostitution","345","4000  BLUE RIDGE CTOF","KANSAS CITY","64133","PJ3492","EPD","false","SUS","B","F","43","false",,"35-44"
"KC21009523","2021-02-11T11:27:28.000","11:27","2021-02-07T18:00:00.000","18:00","2021-02-09T18:00:00.000","18:00","Stolen Auto","240","Motor Vehicle Theft","323","3200  E 21ST ST","KANSAS CITY","64127","PJ1765","EPD","false","SUS","U","M","33","false",,"25-34"
"KC21013729","2021-03-02T08:43:36.000","08:43","2021-03-01T21:30:00.000","21:30","2021-03-02T06:00:00.000","06:00","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","423","9200  N JARBOE ST","KANSAS CITY","64155","PC0254","NPD","false","VIC",,,,"false",,
"KC21009495","2021-02-11T08:45:22.000","08:45","2021-02-03T10:56:00.000","10:56",,,"Embezzlement","270","Embezzlement","234","8500  STATE LINE RD","KANSAS CITY","64114","PJ6174","MPD","false","VIC",,,,"false",,
"KC21010861","2021-02-17T15:52:34.000","15:52","2021-02-17T15:52:00.000","15:52",,,"Assault (Non-Aggravated)","13B","Simple Assault","143","3900  TROOST AVE","KANSAS CITY","64110","PJ3151","CPD","false","VIC","W","F","48","false",,"45-54"
"KC21013274","2021-02-28T05:19:18.000","05:19","2021-02-28T05:19:00.000","05:19",,,"Murder","09A","Murder","411","100  NW HARLEM RD","KANSAS CITY","64116","PC1483","NPD","false","ARR CHA SUS","B","M","37","true","POINT (-94.584325 39.118133)","35-44"
"KC21009313","2021-02-10T14:01:39.000","14:01","2020-02-10T14:10:00.000","14:10",,,"Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC21002433","2021-01-11T20:23:49.000","20:23","2021-01-11T17:00:00.000","17:00",,,"Loss",,,"134","4500  OAK ST","KANSAS CITY","64110","PJ3651","CPD","false","CMP VIC","W","F","22","false",,"18-24"
"KC21006619","2021-01-30T02:57:23.000","02:57","2021-01-30T02:57:00.000","02:57","2021-01-30T03:07:00.000","03:07","Murder","13A","Aggravated Assault","322","E 19TH ST and CYPRESS AVE","KANSAS CITY","64127","PJ1639","EPD","false","VIC","W","M","34","true",,"25-34"
"KC21012281","2021-02-23T18:34:00.000","18:34","2021-02-23T18:30:00.000","18:30",,,"Stolen Auto","240","Motor Vehicle Theft","641","9900  NE BARRY RD","KANSAS CITY","64158","PC0387","SCP","false","VIC",,,,"false",,
"KC21011079","2021-02-18T16:41:10.000","16:41","2021-02-18T16:30:00.000","16:30",,,"Patronizing Prostitution","40A","Prostitution","345","4000  BLUE RIDGE CTOF","KANSAS CITY","64133","PJ3492","EPD","false","ARR CHA SUS","B","F","20","false",,"18-24"
"KC21009888","2021-02-12T22:55:31.000","22:55","2021-02-12T22:55:00.000","22:55",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","142","3900  PARK AVE","KANSAS CITY","64130","PJ3177","CPD","false","VIC SUS","B","F","20","false",,"18-24"
"KC21005366","2021-01-25T07:38:29.000","07:38","2021-01-22T15:30:00.000","15:30","2021-01-25T07:08:00.000","07:08","Stolen Auto","240","Motor Vehicle Theft","221","E 49TH ST and WALNUT ST","KANSAS CITY","64112","PJ3870","MPD","false","VIC",,,,"false",,
"KC21010754","2021-02-17T08:38:46.000","08:38","2021-02-15T18:00:00.000","18:00","2021-02-15T18:15:00.000","18:15","Stolen Auto","240","Motor Vehicle Theft","342","8900  E US 40 HWY","KANSAS CITY","64129","PJ2903","EPD","false","VIC",,,,"false",,
"KC21013898","2021-03-02T18:26:36.000","18:26","2021-03-02T18:30:00.000","18:30",,,"Assault (Aggravated)","13A","Aggravated Assault","532","I 435 HWY NE and US 71 HWY N","KANSAS CITY","64137","PJ6773","SPD","false","SUS","B","M","31","true",,"25-34"
"KC21007674","2021-02-03T20:46:13.000","20:46","2021-02-03T20:40:00.000","20:40",,,"Disorderly Conduct","90C","Disorderly Conduct","242","E 75TH ST and PROSPECT AVE","KANSAS CITY","64132","PJ5634","MPD","false","VIC",,,,"false",,
"KC21007185","2021-02-01T17:25:12.000","17:25","2021-01-30T12:00:00.000","12:00",,,"Sodomy - Juvenile","11B","Forcible Sodomy","124","1900  E 23RD ST","KANSAS CITY","64127","PJ1909","CPD","false","ARR CHA SUS","U","M",,"false",,
"KC21017266","2021-03-17T19:38:34.000","19:38","2021-03-17T19:38:00.000","19:38","2021-03-17T20:30:00.000","20:30","Disorderly Conduct","90C","Disorderly Conduct","133","4100  PENNSLVANIA AVE","KANSAS CITY","64111",,"CPD","false","VIC",,,,"false",,
"KC21002192","2021-01-10T19:18:35.000","19:18","2021-01-10T19:18:00.000","19:18",,,"Murder","09A","Murder","342","OAKLEY AVE and PALOMA AVE","KANSAS CITY","64128","PJ2532","EPD","false","ARR CHA INA","B","M","19","true",,"18-24"
"KC21015719","2021-03-10T13:53:53.000","13:53","2021-03-10T13:53:00.000","13:53",,,"Stealing – Other","23H","All Other Larceny","344","0  ARROWHEAD DR","KANSAS CITY","64129","PJ3281","EPD","false","SUS","W","M",,"false",,
"KC21002633","2021-01-12T18:11:20.000","18:11","2021-01-12T18:05:00.000","18:05",,,"Assault (Non-Aggravated)","13B","Simple Assault","113","E 13TH ST and HOLMES ST","KANSAS CITY","64106","PJ1111","CPD","false","VIC WIT","W","M","23","false",,"18-24"
"KC21011514","2021-02-20T13:05:13.000","13:05","2021-02-20T13:01:00.000","13:01",,,"Stolen Auto","240","Motor Vehicle Theft","212","7100  EASTWOOD TRFY","KANSAS CITY","64129","PJ4110","MPD","false","SUS","W","M",,"false",,
"KC21008214","2021-02-06T00:03:52.000","00:03","2021-02-05T23:53:00.000","23:53","2021-02-06T00:03:00.000","00:03","Assault (Non-Aggravated)","13B","Simple Assault","133","500  WESTPORT RD","KANSAS CITY","64111","PJ3218","CPD","false","CMP VIC","B","M","43","false",,"35-44"
"KC21007297","2021-02-02T11:20:52.000","11:20","2020-12-03T17:00:00.000","17:00",,,"Stealing – Shoplift","23C","Shoplifting","421","8400  NW PRAIRIE VIEW RD","KANSAS CITY","64153",,"NPD","false","VIC",,,,"false",,
"KC21017303","2021-03-17T23:04:05.000","23:04","2021-03-17T23:04:00.000","23:04",,,"Missing/Runaway Juvenile",,,"632","3100  NE 37TH ST","KANSAS CITY","64117",,"SCP","false","VIC   RNA LOD","W","M",,"false",,
"KC21012377","2021-02-24T05:53:48.000","05:53","2021-02-24T05:53:00.000","05:53",,,"City/Municipal Warrant Arrest",,,"999","00  NE TUDOR RD","LEES SUMMIT","64086",,"OSPD","false","ARR CHA SUS","B","M","45","false",,"45-54"
"KC21013662","2021-03-01T21:13:28.000","21:13","2021-03-01T21:00:00.000","21:00",,,"Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC21012881","2021-02-26T12:22:12.000","12:22","2021-02-26T12:22:00.000","12:22","2021-02-26T12:22:00.000","12:22","Vehicular – Injury",,,"112","E 6TH ST and PAGE ST","KANSAS CITY","64106","PJ0615","CPD","false","ARR CHA VDR","B","F","27","false",,"25-34"
"KC21010786","2021-02-17T11:22:33.000","11:22","2021-01-14T00:01:00.000","00:01","2021-01-28T13:00:00.000","13:00","Forgery","250","Counterfeiting / Forgery","113","1800  WALNUT ST","KANSAS CITY","64108","PJ1544","CPD","false","SUS","W","F",,"false",,
"KC21009002","2021-02-09T09:51:03.000","09:51","2021-02-09T09:51:00.000","09:51",,,"Trespass of Real Property","90J","Trespass of Real Property","113","00  E 13TH ST","KANSAS CITY","64106",,"CPD","false","VIC",,,,"false",,
"KC21009562","2021-02-11T14:17:31.000","14:17","2021-02-08T20:00:00.000","20:00","2021-02-10T19:00:00.000","19:00","Loss",,,"541","I 435 HWY NE and E 87TH ST","KANSAS CITY","64138","PJ6336","SPD","false","VIC","B","F","50","false",,"45-54"
"KC21010574","2021-02-14T22:30:00.000","22:30","2021-02-16T12:00:00.000","12:00",,,"Terroristic Threats","13C","Intimidation","634","5300  N WALROND AVE","KANSAS CITY","64119","PC0787","SCP","false","ARR CHA SUS","U","M",,"false",,
"KC21000701","2021-01-04T16:51:33.000","16:51","2020-11-20T12:11:00.000","12:11","2021-01-04T11:22:00.000","11:22","Stealing – Other","23H","All Other Larceny","341","5500  E TRUMAN RD","KANSAS CITY","64127","PJ1307","EPD","false","VIC",,,,"false",,
"KC21013442","2021-03-01T01:40:46.000","01:40","2021-03-01T01:40:00.000","01:40",,,"Property Damage","290","Vandalism/Destruction of Property","342","2900  VAN BRUNT BLVD","KANSAS CITY","64127",,"EPD","false","VIC",,,,"false",,
"KC21011563","2021-02-20T17:02:14.000","17:02","2021-02-20T17:02:00.000","17:02",,,"Possession of Stolen Property",,,"324","E 27TH ST and LISTER AVE","KANSAS CITY","64128","PJ2214","EPD","false","VIC","U","M","50","false","POINT (-94.528301 39.076308)","45-54"
"KC21017284","2021-03-17T20:54:59.000","20:54","2021-03-17T19:30:00.000","19:30","2021-03-17T20:20:00.000","20:20","Assault (Non-Aggravated)","13B","Simple Assault","133","4100  PENNSYLVANIA AVE","KANSAS CITY","64111","PJ3303","CPD","false","ARR CHA SUS","B","M","25","false",,"25-34"
"KC21008695","2021-02-08T08:15:08.000","08:15","2021-02-08T07:40:00.000","07:40",,,"Robbery (Residential)","23D","Theft From Building","134","900  W 48TH PL","KANSAS CITY","64112","PJ3827","CPD","false","VIC","W","M","61","false",,"55-64"
"KC21010431","2021-02-15T20:54:26.000","20:54","2021-02-15T20:54:00.000","20:54",,,"Dead Body",,,"332","3600  AGNES AVE","KANSAS CITY","64128","PJ2953","EPD","false","ARR SUS","B","M","57","false",,"55-64"
"KC21011514","2021-02-20T13:05:13.000","13:05","2021-02-20T13:01:00.000","13:01",,,"Stolen Auto","240","Motor Vehicle Theft","212","7100  EASTWOOD TRFY","KANSAS CITY","64129","PJ4110","MPD","false","SUS","W","F","32","false",,"25-34"
"KC21013911","2021-03-02T19:07:58.000","19:07","2021-03-02T19:07:00.000","19:07",,,"Trespass of Real Property","90J","Trespass of Real Property","541","5000  E BANNISTER RD","KANSAS CITY","64132","PJ6347","SPD","false","VIC",,,,"false",,
"KC21009841","2021-02-12T15:12:34.000","15:12","2021-02-12T15:12:00.000","15:12",,,"Property Damage","23H","All Other Larceny","212","6900  BLUE PKWY","KANSAS CITY","64129","PJ4410","MPD","false","VIC",,,,"false",,
"KC21012844","2021-02-26T09:01:54.000","09:01","2021-02-26T09:20:00.000","09:20",,,"Robbery (Strong Armed Street)","120","Robbery","535","13100  STATE LINE RD","KANSAS CITY","64145","PJ7404","SPD","false","SUS","W",,,"false",,
"KC21004372","2021-01-20T15:22:00.000","15:22","2021-01-19T15:35:00.000","15:35","2021-01-19T15:42:00.000","15:42","Stealing – Shoplift","23C","Shoplifting","234","8500  STATE LINE RD","KANSAS CITY","64114","PJ6174","MPD","false","CHA SUS","B","F","51","false",,"45-54"
"KC21012569","2021-02-25T02:46:32.000","02:46","2021-02-25T02:50:00.000","02:50",,,"Stealing – Other","90J","Trespass of Real Property","545","5600  BANNISTER","KANSAS CITY",,,"SPD","false","VIC",,,,"false",,
"KC21011753","2021-02-21T15:02:11.000","15:02","2021-02-21T15:02:00.000","15:02","2021-02-21T15:15:00.000","15:15","Disorderly Conduct","13C","Intimidation","121","700  PASEO","KANSAS CITY","64106","PJ0756","CPD","false","VIC",,,,"false",,
"KC21007869","2021-02-04T14:33:24.000","14:33","2021-01-23T14:15:00.000","14:15",,,"Stealing – Shoplift","23C","Shoplifting","134","400  NICHOLS RD","KANSAS CITY","64112","PJ3741","CPD","false","SUS","B","F",,"false","POINT (-94.591593 39.041296)",
"KC21002192","2021-01-10T19:18:35.000","19:18","2021-01-10T19:18:00.000","19:18",,,"Murder","09A","Murder","342","OAKLEY AVE and PALOMA AVE","KANSAS CITY","64128","PJ2532","EPD","false","VIC DEC","B","M",,"true",,
"KC21010164","2021-02-14T12:38:21.000","12:38","2021-02-14T12:25:00.000","12:25",,,"Obstructing and Resisting an Officer","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC21015775","2021-03-10T18:49:19.000","18:49","2021-02-04T17:11:00.000","17:11",,,"Forgery","250","Counterfeiting / Forgery","542","8500  E BANNISTER RD","KANSAS CITY","64138","PJ6521","SPD","false","VIC",,,,"false",,
"KC21011102","2021-02-18T18:01:37.000","18:01","2021-02-09T09:47:00.000","09:47","2021-02-09T16:03:00.000","16:03","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","234","8500  HOLMES RD","KANSAS CITY","64131",,"MPD","false","VIC","B","M","31","false",,"25-34"
"KC21001053","2021-01-05T21:23:14.000","21:23","2021-01-05T20:00:00.000","20:00",,,"Violation of Full Order of Protection",,,"631","1311NW PARVIN","KANSAS CITY","64116",,"SCP","false","VIC","W","F","27","false",,"25-34"
"KC21011417","2021-02-20T01:41:41.000","01:41","2021-02-20T01:38:00.000","01:38",,,"Robbery (Armed Street)","120","Robbery","134","700  W 44TH ST","KANSAS CITY","64111","PJ3496","CPD","false","ARR CHA SUS","B","F","18","true",,"18-24"
"KC21014295","2021-03-04T12:22:01.000","12:22","2021-03-04T12:20:00.000","12:20",,,"Disorderly Conduct","90C","Disorderly Conduct","112","11TH ST W and WYANDOTTE ST N","KANSAS CITY","64106","PJ0950","CPD","false","VIC",,,,"false",,
"KC21002207","2021-01-10T21:20:04.000","21:20","2021-01-10T22:00:00.000","22:00",,,"Dead Body",,,"533","400  E 105 TER","KANSAS CITY",,,"SPD","false","VIC","B","F","63","false",,"55-64"
"KC21012575","2021-02-24T10:30:00.000","10:30","2021-02-24T10:30:00.000","10:30",,,"Recovered Property",,,"112","400  E 12TH ST","KANSAS CITY","64106","PJ1028","CPD","false","VIC","U","M",,"false",,
"KC21010733","2021-02-17T04:09:26.000","04:09","2021-02-17T04:09:00.000","04:09",,,"Tow-In Report/Authorization Not to Tow",,,"411","00  NE 50TH CT","KANSAS CITY","64118","PC0863","NPD","false","VIC",,"M",,"false",,
"KC21004753","2021-01-22T10:48:19.000","10:48","2021-01-22T10:48:00.000","10:48",,,"Harassment / Intimidation - Sex Crimes","13C","Intimidation","141","0  JANSSEN PL","KANSAS CITY","64109",,"CPD","false","SUS","B","M","64","false",,"55-64"
"KC21012276","2021-02-23T18:20:08.000","18:20","2021-02-23T18:03:00.000","18:03",,,"Stealing – Shoplift","90J","Trespass of Real Property","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC21008610","2021-02-08T01:21:33.000","01:21","2021-02-07T22:19:00.000","22:19",,,"Suicide – Attempted",,,"643","8900  N FARLEY AVE","KANSAS CITY","64157","PC0303","SCP","false","VIC","W","F","45","false",,"45-54"
"KC21010623","2021-02-16T16:47:28.000","16:47","2020-10-21T08:00:00.000","08:00","2020-10-21T17:30:00.000","17:30","Stealing – Other","23H","All Other Larceny","112","700  WALNUT ST","KANSAS CITY","64105","PJ0692","CPD","false","VIC","W","F","18","false",,"18-24"
"KC21014710","2021-03-06T09:32:00.000","09:32","2021-03-05T07:15:00.000","07:15",,,"Forgery","250","Counterfeiting / Forgery","641","4900  NE VIVION RD","KANSAS CITY","64119","PC0806","SCP","false","VIC",,,,"false","POINT (-94.522373 39.187974)",
"KC21008102","2021-02-05T14:51:29.000","14:51","2020-12-01T00:00:00.000","00:00","2020-12-25T00:00:00.000","00:00","Endangering the Welfare of a Child","90F","Family Offenses, Nonviolent","642","8800  N AFTON RD","KANSAS CITY","64155","PC0294","SCP","false","VIC","W","M",,"false",,
"KC21011034","2021-02-18T13:43:34.000","13:43","2021-02-17T18:15:00.000","18:15",,,"Stealing – Shoplift","23C","Shoplifting","421","7100  NW 86TH TER","KANSAS CITY","64153",,"NPD","false","VIC",,,,"false","POINT (-94.665375 39.250703)",
"KC21017740","2021-03-19T22:42:43.000","22:42","2021-03-19T22:42:00.000","22:42",,,"Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC21014894","2021-03-07T03:36:44.000","03:36","2021-03-07T03:42:00.000","03:42",,,"Trespass of Real Property","90J","Trespass of Real Property","113","300  W 13TH ST","KANSAS CITY","64105","PJ1076","CPD","false","VIC",,,,"false",,
"KC21011085","2021-02-18T14:48:00.000","14:48","2021-02-18T14:48:00.000","14:48",,,"Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY E","KANSAS CITY","64133","PJ3601","EPD","false","VIC",,,,"false",,
"KC21008618","2021-02-08T03:38:24.000","03:38","2021-02-08T01:00:00.000","01:00",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","532","5500  E 96TH PL","KANSAS CITY","64137","PJ6660","SPD","false","VIC","B","M",,"false",,
"KC21010431","2021-02-15T20:54:26.000","20:54","2021-02-15T20:54:00.000","20:54",,,"Dead Body",,,"332","3600  AGNES AVE","KANSAS CITY","64128","PJ2953","EPD","false","ARR SUS WIT CHA","W","M","30","false",,"25-34"
"KC21013577","2021-03-01T14:32:23.000","14:32","2021-03-01T10:00:00.000","10:00","2021-03-01T11:00:00.000","11:00","Loss",,,"313","2400  INDEPENDENCE BLVD","KANSAS CITY","64124","PJ0671","EPD","false","VIC","W","F","39","false",,"35-44"
"KC21007160","2021-02-01T16:30:00.000","16:30","2021-02-01T16:00:00.000","16:00",,,"Stolen Auto","240","Motor Vehicle Theft","125","E LINWOOD BLVD and OLIVE ST","KANSAS CITY","64109","PJ2569","CPD","false","VIC","B","M","53","false",,"45-54"
"KC21009051","2021-02-09T12:36:17.000","12:36","2021-02-09T12:34:00.000","12:34",,,"Legacy Incident Report/Arrest",,,"112","800  WYANDOTTE ST","KANSAS CITY","64106",,"CPD","false","VIC",,"F",,"false",,
"KC21002891","2021-01-13T17:56:05.000","17:56","2021-01-08T22:45:00.000","22:45",,,"Rape","11A","Forcible Rape","111","200  W 4TH ST","KANSAS CITY","64105","PJ0522","CPD","false","SUS","W","M","40","false",,"35-44"
"KC21006334","2021-01-28T21:41:54.000","21:41","2021-01-28T19:10:00.000","19:10","2021-01-28T19:45:00.000","19:45","Unfounded",,,"334","E 45TH ST and LISTER AVE","KANSAS CITY","64130","PJ3644","EPD","false","VIC","B","F","23","false",,"18-24"
"KC21002653","2021-01-12T20:05:12.000","20:05","2021-01-12T20:05:00.000","20:05",,,"Stealing – Shoplift","23C","Shoplifting","131","300  E LINWOOD BLVD","KANSAS CITY","64109","PJ2540","CPD","false","VIC",,,,"false",,
"KC21010782","2021-02-17T10:07:43.000","10:07","2021-02-17T09:55:00.000","09:55",,,"Robbery (Armed Street)","120","Robbery","533","11200  OAK ST","KANSAS CITY",,,"SPD","false","VIC","I","M","30","true",,"25-34"
"KC21007609","2021-02-03T11:27:10.000","11:27","2021-01-22T14:00:00.000","14:00",,,"Forgery","250","Counterfeiting / Forgery","331","3100  PROSPECT AVE","KANSAS CITY","64127","PJ2572","EPD","false","SUS","B","F","21","false",,"18-24"
"KC21006940","2021-01-31T18:51:08.000","18:51","2021-01-31T18:51:00.000","18:51",,,"Trespass of Real Property","90C","Disorderly Conduct","113","1700  GRAND BLVD","KANSAS CITY","64108","PJ1467","CPD","false","VIC",,,,"false",,
"KC21009249","2021-02-10T09:21:28.000","09:21","2021-02-10T09:15:00.000","09:15","2021-02-10T10:20:00.000","10:20","Mental Health/Crisis Intervention Team (CIT) Report",,,"345","12700  E 64TH CT","KANSAS CITY",,,"EPD","false","VIC","W","F","19","false",,"18-24"
"KC21003800","2021-01-18T09:59:11.000","09:59","2021-01-18T10:02:00.000","10:02",,,"Miscellaneous Investigation",,,"112","1100  LOCUST ST","KANSAS CITY","64106","PJ1029","CPD","false","SUS","W","M","29","false","POINT (-94.577328 39.10091)","25-34"
"KC21013364","2021-02-28T15:04:01.000","15:04","2021-02-28T13:00:00.000","13:00",,,"Stolen Auto","240","Motor Vehicle Theft","211","3100  E 49TH ST","KANSAS CITY","64130","PJ3916","MPD","false","SUS",,"F",,"false",,
"KC21014101","2021-03-03T14:58:21.000","14:58","2021-03-03T14:58:00.000","14:58",,,"Disorderly Conduct","90C","Disorderly Conduct","331","E 31ST ST and PROSPECT AVE","KANSAS CITY","64128","PJ2572","EPD","false","VIC",,,,"false",,
