"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"2304",,"E","12","ST","1","1","1971","Non-Residential","Demolition","NA","0","862","2773159","1067752","35120","2304 E 12 ST
,  "
"615",,"NE","42","ST","3","1","1970","Residential","Additions, Alterations, Repairs","NA","0","8000","2767842","1093621","20049","615 NE 42 ST
,  "
"518",,"E","31","ST","9","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","800","2766592","1057490","30634","518 E 31 ST
,  "
"5013",,"NE","58","ST","1","1","1971","Residential","Additions, Alterations, Repairs","NA","0","800","2783034","1104062","35198","5013 NE 58 ST
,  "
"4654",,"E","43","TE","3","1","1970","Residential","Additions, Alterations, Repairs","NA","0","1860","2781005","1048274","20482","4654 E 43 TE
,  "
"6011",,"E","8","ST","7","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","2400","2785681","1068908","26883","6011 E 8 ST
,  "
"12201",,"E","56","ST","3","1","1972","Residential","New Construction","Single Family","1","22000","2806366","1039040","62170","12201 E 56 ST
,  "
"21",,"W","10","ST","1","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","1000","2764862","1068851","17701","21 W 10 ST
,  "
"10000",,"E","43","ST","3","1","1972","Residential","New Construction","Single Family","1","23000","2799714","1048004","61095","10000 E 43 ST
,  "
"3411",,"E","54","ST","3","1","1973","Residential","Additions, Alterations, Repairs","NA","0","1500","2775839","1041694","82447","3411 E 54 ST
,  "
"2814",,"E","12","ST","12","1","1970","Residential","Additions, Alterations, Repairs","NA","0","1500","2774833","1067701","34073","2814 E 12 ST
,  "
"9923",,"E","38","ST","8","1","1971","Residential","Additions, Alterations, Repairs","NA","0","300","2799444","1051284","48261","9923 E 38 ST
,  "
"1041",,"E","1","ST","5","1","1970","Residential","Demolition","Single Family","1","400","2768343","1073092","23531","1041 E 1 ST
,  "
"9600",,"E","47","ST","3","1","1971","Non-Residential","Demolition","NA","0","300","2798514","1046036","39457","9600 E 47 ST
,  "
"712",,"W","34","ST","10","1","1972","Residential","Demolition","Single Family","1","1060","2762079","1056037","75383","712 W 34 ST
,  "
"2333",,"E","48","TE","5","1","1970","Residential","Demolition","Single Family","1","500","2772425","1045498","24159","2333 E 48 TE
,  "
"27",,"NW","39","ST","5","1","1972","Residential","Additions, Alterations, Repairs","NA","0","10000","2765207","1091638","65959","27 NW 39 ST
,  "
"127",,"W","10","ST","9","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","4000","2764552","1068859","30631","127 W 10 ST
,  "
"3816",,"E","25","ST","1","1","1973","Residential","Additions, Alterations, Repairs","NA","0","400","2778015","1060937","77969","3816 E 25 ST
,  "
"3820",,"E","57","ST","6","1","1970","Residential","Additions, Alterations, Repairs","NA","0","2225","2777235","1039868","25759","3820 E 57 ST
,  "
"11711",,"E","45","TE","6","1","1970","Residential","Additions, Alterations, Repairs","NA","0","466","2805057","1045801","25997","11711 E 45 TE
,  "
