"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","involvement","race","sex","age","firearm_used_flag","location"
"KC19033005","2019-05-05T00:00:00.000","22:57","2019-05-05T00:00:00.000","22:03","2019-05-05T00:00:00.000","22:40","Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","ARR CHA SUS","B","M","59","false",
"KC19024156","2019-04-03T00:00:00.000","15:09","2019-04-03T00:00:00.000","15:00",,,"Stealing – Shoplift","23C","Shoplifting",,"11200  HOLMES RD","KANSAS CITY","64145",,,"N","ARR CHA SUS","B","M",,"false",
"KC19031016","2019-04-28T00:00:00.000","17:33","2019-04-28T00:00:00.000","17:33",,,"Recovered Stolen Auto","240","Motor Vehicle Theft","534","5100  RED BRIDGE AVE","KANSAS CITY",,,"SPD","N","ARR CHA SUS","B","F","26","false",
"KC19026683","2019-04-12T00:00:00.000","15:48","2019-02-10T00:00:00.000","20:22","2019-02-10T00:00:00.000","20:31","Stealing – Shoplift","23C","Shoplifting","634","5300  N CHOUTEAU TRFY","KANSAS CITY","64119","PC0788","SCP","N","VIC",,,,"false",
"KC19034968","2019-05-12T00:00:00.000","23:22","2019-05-12T00:00:00.000","23:22","2019-05-13T00:00:00.000","0:57","Vehicular – Injury",,,"641","NE M 152 HWY E and N CHURCH RD S","KANSAS CITY","64158",,"SCP","N","ARR CHA SUS VDR","W","M","62","false",
"KC19026358","2019-04-11T00:00:00.000","9:50","2019-04-11T00:00:00.000","8:45","2019-04-11T00:00:00.000","9:20","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","115","0  MEMORIAL DR","KANSAS CITY","64108","PJ2072","CPD","N","CMP VIC","W","M","74","false",
"KC19027236","2019-04-14T00:00:00.000","23:38","2019-04-14T00:00:00.000","23:22",,,"City/Municipal Warrant Arrest",,,"999","00  S WATER ST","LIBERTY","64068",,"OSPD","N","ARR CHA SUS","W","M","19","false",
"KC19032430","2019-05-03T00:00:00.000","15:26","2019-05-03T00:00:00.000","15:26",,,"City/Municipal Warrant Arrest",,,"632","N I 35 HWY N and N ANTIOCH RD","KANSAS CITY","64116","PC1162","SCP","N","ARR CHA SUS","W","M","38","false",
"KC19034058","2019-05-09T00:00:00.000","11:20","2019-05-09T00:00:00.000","11:30",,,"Obstructing and Resisting an Officer",,,"211","63 and MANCHESTER TRFY","KANSAS CITY",,,"MPD","N","SUS","W","F",,"false",
"KC19031580","2019-04-30T00:00:00.000","18:05","2019-04-30T00:00:00.000","18:00","2019-04-30T00:00:00.000","18:01","Vehicular – Non-Injury",,,"534","E RED BRIDGE RD W and CLEVELAND AVE N","KANSAS CITY","64134",,"SPD","N","ARR CHA SUS VDR","W","F",,"false",
"KC19027973","2019-04-17T00:00:00.000","10:00","2019-04-17T00:00:00.000","10:00","2019-04-17T00:00:00.000","11:16","Vehicular – Non-Injury",,,"534","E RED BRIDGE RD and GRANDVIEW RD","KANSAS CITY","64137",,"SPD","N","ARR CHA SUS VDR","W","F","69","false",
"KC19024779","2019-04-05T00:00:00.000","15:32","2019-04-05T00:00:00.000","15:32","2019-04-05T00:00:00.000","17:12","Vehicular – Non-Injury Hit and Run",,,"425","NW 97TH TER and TIFFANY SPRINGS <NULL>","KANSAS CITY","64153",,"NPD","N","VIC A02",,,,"false",
"KC19024081","2019-04-03T00:00:00.000","10:53","2019-04-03T00:00:00.000","10:53","2019-04-03T00:00:00.000","13:10","Stealing – Shoplift","23C","Shoplifting","233","8500  STATE LINE RD","KANSAS CITY","64114",,"MPD","N","VIC",,,,"false",
"KC19033593","2019-05-07T00:00:00.000","19:19","2019-05-07T00:00:00.000","19:19",,,"Assault (Aggravated)","13A","Aggravated Assault","343","3100  POPLAR AVE","KANSAS CITY","64128","PJ2614","EPD","N","SUS","B","M",,"true","3100  POPLAR AVE
KANSAS CITY,  64128
(39.068351, -94.526787)"
"KC19037031","2019-05-20T00:00:00.000","0:18","2019-05-20T00:00:00.000","0:28",,,"Trespass of Real Property","90J","Trespass of Real Property","115","2300  HOLMES ST","KANSAS CITY","64108","PJ1938","CPD","N","CHA VIC",,,,"false","2300  HOLMES ST
KANSAS CITY,  64108
(39.084583, -94.575809)"
"KC19030837","2019-04-27T00:00:00.000","15:14","2019-04-27T00:00:00.000","18:20",,,"Miscellaneous Investigation",,,"341","1600  TOPPING AVE","KANSAS CITY",,"PJ1559","EPD","N","ARR CHA SUS","W","F","37","false","1600  TOPPING AVE
KANSAS CITY,  
(39.09262, -94.514818)"
"KC19029843","2019-04-24T00:00:00.000","9:21","2019-04-24T00:00:00.000","9:30",,,"Recovered Stolen Auto",,,"112","600  GRAND BLVD","KANSAS CITY","64106","PJ0666","CPD","N","SUS","U","M",,"false",
"KC19027259","2019-04-15T00:00:00.000","3:27","2019-04-15T00:00:00.000","3:25",,,"Alcohol Influence Report","90D","Driving Under the Influence",,"E I 70 HWY and N PASEO","KANSAS CITY",,,,"N","ARR CHA SUS","W","M","26","false",
"KC19033502","2019-05-07T00:00:00.000","15:07","2019-05-07T00:00:00.000","10:45",,,"Miscellaneous Investigation",,,"113","4500  MERCIER ST","KANSAS CITY",,,"CPD","N","VIC","W","M","34","false","4500  MERCIER ST
KANSAS CITY,  
(39.045569, -94.601519)"
"KC19022642","2019-03-28T00:00:00.000","19:39","2019-03-28T00:00:00.000","19:47","2019-03-28T00:00:00.000","20:54","Molestation","90Z","All Other Offenses","241","2300  E 63RD ST","KANSAS CITY","64132",,"MPD","N","SUS","U","M","50","false",
"KC19032835","2019-05-05T00:00:00.000","4:04","2019-05-05T00:00:00.000","4:04",,,"City/Municipal Warrant Arrest",,,,"2900  NW VIVION RD","RIVERSIDE","64150",,,"N","ARR CHA SUS","B","F","43","false",
"KC19033633","2019-05-08T00:00:00.000","0:52","2019-05-08T00:00:00.000","0:52",,,"Alcohol Influence Report","90D","Driving Under the Influence","213","I 435 HWY NE and E 63RD TRFY","KANSAS CITY",,"PJ5026","MPD","N","ARR CHA SUS","W","M","32","false",
"KC19027325","2019-04-15T00:00:00.000","10:02","2019-04-12T00:00:00.000","22:00",,,"Stealing from Building/Residence","23D","Theft From Building","635","4300  N CORRINGTON AVE","KANSAS CITY","64119",,"SCP","N","VIC","W","M","34","false",
"KC19030793","2019-04-27T00:00:00.000","14:00","2019-04-27T00:00:00.000","14:42","2019-04-27T00:00:00.000","15:45","Embezzlement","270","Embezzlement",,"8500  STATE LINE RD","KANSAS CITY","64114",,,"N","ARR CHA SUS","U","F","25","false",
"KC19036522","2019-05-17T00:00:00.000","20:39","2019-05-17T00:00:00.000","20:30",,,"Assault (Aggravated)","13A","Aggravated Assault","132","3700  WARWICK BLVD","KANSAS CITY","64111",,"CPD","N","VIC","B","F","43","false",
"KC19031307","2019-04-29T00:00:00.000","19:42","2019-04-29T00:00:00.000","19:30","2019-04-29T00:00:00.000","20:10","Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19023809","2019-04-02T00:00:00.000","13:12","2019-04-02T00:00:00.000","13:15",,,"City/Municipal Warrant Arrest",,,,"4300  N CORRINGTON","KANSAS CITY","64119",,,"N","ARR CHA SUS","B","F","38","false",
"KC19026999","2019-04-13T00:00:00.000","18:40","2019-04-13T00:00:00.000","18:40",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","211","3100  E 49TH ST","KANSAS CITY",,,"MPD","Y","VIC","B","F","47","false",
"KC19032385","2019-05-03T00:00:00.000","9:15","2019-05-03T00:00:00.000","11:57","2019-05-03T00:00:00.000","13:50","Recovered Stolen Auto",,,"535","12400  CHERRY ST","KANSAS CITY","64145",,"SPD","N","VIC","W","M","37","false",
"KC19028975","2019-04-20T00:00:00.000","22:16","2019-04-20T00:00:00.000","22:16",,,"Disorderly Conduct","90C","Disorderly Conduct","113","W 19TH ST and MAIN ST","KANSAS CITY","64108",,"CPD","N","ARR CHA SUS","W","M","30","false",
"KC19033349","2019-05-07T00:00:00.000","3:27","2019-05-07T00:00:00.000","3:00",,,"Domestic Violence Assault (Aggravated)","13B","Simple Assault","133","0  E 38 ST","KANSAS CTY","64111","PJ3056","CPD","Y","VIC","W","F","35","false",
"KC19026196","2019-04-10T00:00:00.000","18:36","2019-04-10T00:00:00.000","13:00","2019-04-10T00:00:00.000","13:05","Stolen Auto","240","Motor Vehicle Theft","123","1200  E 30TH ST","KANSAS CITY","64128",,"CPD","N","VIC","B","M","59","false",
"KC19034583","2019-05-11T00:00:00.000","9:56","2019-05-10T00:00:00.000","18:30","2019-05-11T00:00:00.000","9:30","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","345","4000  BLUE RIDGE CTOF","KANSAS CITY","64133","PJ3492","EPD","N","VIC","W","F","37","false",
"KC19029070","2019-04-21T00:00:00.000","12:00","2019-04-21T00:00:00.000","12:00","2019-04-21T00:00:00.000","12:00","Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19029511","2019-04-23T00:00:00.000","6:18","2019-04-23T00:00:00.000","6:15",,,"Recovered Stolen Auto","240","Motor Vehicle Theft","635","5000  N TOPPING AVE","KANSAS CITY",,"PC0890","SCP","N","SUS","W","F",,"false","5000  N TOPPING AVE
KANSAS CITY,  
(39.184329, -94.512029)"
"KC19033923","2019-05-08T00:00:00.000","22:23","2019-05-08T00:00:00.000","22:20","2019-05-08T00:00:00.000","22:23","Stolen Auto","240","Motor Vehicle Theft","112","1000  MAIN ST","KANSAS CITY",,"PJ0953","CPD","N","SUS","W","M",,"false","1000  MAIN ST
KANSAS CITY,  
(39.194302, -94.683736)"
"KC19028239","2019-04-18T00:00:00.000","10:36","2019-04-18T00:00:00.000","10:35",,,"Stealing – Shoplift","23C","Shoplifting","141","3100  TROOST AVE","KANSAS CITY",,"PJ2539","CPD","N","ARR CHA SUS","B","M","56","false",
"KC19029035","2019-04-21T00:00:00.000","6:02","2019-04-21T00:00:00.000","6:02",,,"State Warrant Arrest",,,"311","200  N MEMORIAL DR","INDEPENDENCE","64050",,"EPD","N","ARR CHA SUS","W","M","37","false",
"KC19026346","2019-04-11T00:00:00.000","10:58","2019-04-11T00:00:00.000","10:00","2019-04-11T00:00:00.000","10:30","Stealing from Building/Residence","23D","Theft From Building","121","1700  E MISSOURI AVE","KANSAS CITY","64106",,"CPD","N","VIC","B","M","38","false",
"KC19030293","2019-04-25T00:00:00.000","17:29","2019-04-25T00:00:00.000","17:29",,,"City/Municipal Warrant Arrest",,,,"700  VIRGINIA","KANSAS CITY","64106",,,"N","ARR CHA SUS","W","M","31","false",
"KC19026037","2019-04-10T00:00:00.000","10:49","2019-04-09T00:00:00.000","15:30","2019-04-09T00:00:00.000","18:00","Property Damage","290","Vandalism/Destruction of Property","314","500  QUINCY AVE","KANSAS CITY","64124","PJ0633","EPD","N","VIC","W","F","67","false",
"KC19032813","2019-05-05T00:00:00.000","1:54","2019-05-05T00:00:00.000","1:30",,,"Miscellaneous Investigation",,,"999","9900  UNKNOWN ST","KANSAS CITY","64111",,"CPD","N","SUS","W","M",,"false",
"KC19035034","2019-05-13T00:00:00.000","8:48","2019-04-14T00:00:00.000","7:00",,,"Robbery (Business)","120","Robbery","314","4800  INDEPENDENCE AVE","KANSAS CITY","64125","PJ0722","EPD","N","VIC","W","M","41","true",
"KC19025843","2019-04-09T00:00:00.000","16:38","2019-04-09T00:00:00.000","16:38",,,"Vehicular – Non-Injury",,,"422","NW BARRY RD W and N GREEN HILLS RD N","KANSAS CITY","64154",,"NPD","N","CHA VDR","W","M","23","false",
"KC19029441","2019-04-22T00:00:00.000","19:29","2019-04-22T00:00:00.000","19:53",,,"Recovered Property",,,"635","NE PARVIN RD and SEARCY CREEK PKWY","KANSAS CITY","64117","PC1146","SCP","N","ARR SUS SOC CHA","W","M","42","false",
"KC19024552","2019-04-04T00:00:00.000","18:50","2019-04-04T00:00:00.000","18:50","2019-04-04T00:00:00.000","19:39","Robbery (Armed Street)","120","Robbery","543","10900  BRISTOL TER","KANSAS CITY","64134",,"SPD","N","CMP VIC","B","M","20","true",
"KC19022639","2019-03-28T00:00:00.000","20:04","2019-03-28T00:00:00.000","18:05",,,"State Warrant Arrest",,,"311","200  N MEMORIAL DR","INDEPENDENCE","64050",,"EPD","N","CHA INA SUS","W","M","26","false",
"KC19024990","2019-04-06T00:00:00.000","11:04","2019-04-06T00:00:00.000","13:00",,,"City/Municipal Warrant Arrest",,,"999","00  S WATER ST","LIBERTY","64068",,"OSPD","N","ARR CHA SUS","W","M","42","false",
"KC19027545","2019-04-15T00:00:00.000","22:59","2019-04-15T00:00:00.000","22:30",,,"Terroristic Threats","13C","Intimidation","425","7500  NW 106 ST","KANSAS CITY","64153",,"NPD","N","VIC",,,,"false",
"KC19028272","2019-04-18T00:00:00.000","12:01","2019-04-18T00:00:00.000","12:01","2019-04-18T00:00:00.000","12:30","Outside State Warrant Arrest",,,,"TROOST and 72","KANSAS CITY MISSOURI","64132",,,"N","SUS","W","M","31","false",
"KC19035681","2019-05-15T00:00:00.000","8:08","2019-05-14T00:00:00.000","20:00","2019-05-15T00:00:00.000","4:00","Stolen Auto","240","Motor Vehicle Theft","334","3900  JACKSON AVE","KANSAS CITY","64127","PJ3252","EPD","N","SUS","B","F","24","false",
"KC19029160","2019-04-21T00:00:00.000","20:26","2019-04-20T00:00:00.000","20:00","2019-04-21T00:00:00.000","10:15","Property Damage","290","Vandalism/Destruction of Property","414","7800  NW ROANRIDGE RD","KANSAS CITY","64151",,"NPD","N","SUS","W","F",,"false",
"KC19028843","2019-04-20T00:00:00.000","11:09","2019-04-20T00:00:00.000","11:09","2019-04-20T00:00:00.000","12:35","Recovered Stolen Auto","35A","Drug / Narcotic Violations","332","PROSPECT AVE and PASEO","KANSAS CITY","64109",,"EPD","N","VIC","W","F","47","false",
"KC19023698","2019-04-01T00:00:00.000","23:01","2019-04-02T00:00:00.000","4:02",,,"City/Municipal Warrant Arrest",,,"311","200  N MEMORIAL DR","INDEPENDENCE","64050",,"EPD","N","ARR CHA SUS","B","M","39","false",
"KC19036983","2019-05-19T00:00:00.000","20:36","2019-05-19T00:00:00.000","20:36",,,"Assault (Aggravated)","13A","Aggravated Assault","413","N LUCERNE AVE and NW 64TH ST","KANSAS CITY","64151","PP0652","NPD","N","VIC","W","M","18","false",
"KC19027496","2019-04-15T00:00:00.000","18:27","2019-04-15T00:00:00.000","18:28",,,"Eluding / Resisting a Lawful Stop",,,"222","55 ST and 71","KANSAS CITY",,,,"N","CHA SUS","B","M","26","false",
"KC19032215","2019-05-02T00:00:00.000","19:06","2019-05-02T00:00:00.000","19:00",,,"Assault (Non-Aggravated)","13A","Aggravated Assault",,"400  E 137 ST","KANSAS CITY","64145",,,"N","SUS VIC","W","F",,"false",
"KC19034694","2019-05-11T00:00:00.000","18:30","2019-05-11T00:00:00.000","9:00","2019-05-11T00:00:00.000","18:00","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","345","4000  BLUE RIDGE CTOF","KANSAS CITY","64133","PJ3492","EPD","N","VIC","W","F","38","false",
"KC19030787","2019-04-27T00:00:00.000","14:47","2019-04-27T00:00:00.000","14:47",,,"Recovered Stolen Auto",,,"312","E 7TH ST and WINCHESTER AVE","KANSAS CITY","64125","PJ1065","EPD","N","VIC A01","U","M",,"false",
"KC19035610","2019-05-14T00:00:00.000","21:15","2019-05-14T00:00:00.000","21:18",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","535","14500  US 71 HWY","KANSAS CITY",,,"SPD","Y","ARR SUS","B","M","23","false","14500  US 71 HWY
KANSAS CITY,  
(38.862208, -94.527597)"
"KC19035808","2019-05-15T00:00:00.000","14:15","2019-05-15T00:00:00.000","14:25",,,"City/Municipal Warrant Arrest",,,"643","8400  N EVANSTON AVE","KANSAS CITY",,"PC0358","SCP","N","ARR CHA SUS","B","F","41","false",
"KC19033349","2019-05-07T00:00:00.000","3:27","2019-05-07T00:00:00.000","3:00",,,"Domestic Violence Assault (Aggravated)","13B","Simple Assault","133","0  E 38 ST","KANSAS CTY","64111","PJ3056","CPD","Y","SUS","W","M","36","false",
"KC19027750","2019-04-16T00:00:00.000","14:38","2019-04-16T00:00:00.000","14:30",,,"Assault (Non-Aggravated)","13B","Simple Assault","122","1100  E 10TH ST","KANSAS CITY","64106","PJ0894","CPD","N","ARR CHA SUS","B","M","37","false",
"KC19022339","2019-03-27T00:00:00.000","19:05","2019-03-27T00:00:00.000","19:00",,,"Stealing – Shoplift","23H","All Other Larceny","542","9500  BLUE RIDGE BLVD","KANSAS CITY","64134","PJ6586","SPD","N","SUS","B","F","31","false",
"KC19035620","2019-05-14T00:00:00.000","19:39","2019-05-14T00:00:00.000","19:40","2019-05-14T00:00:00.000","19:40","Stealing – Other","23H","All Other Larceny","134","E MAIN STREET E and E 46 STREET E","KANSAS CITY",,,"CPD","N","VIC","B","F","48","false",
"KC19034256","2019-05-09T00:00:00.000","23:50","2019-05-09T00:00:00.000","23:50",,,"Possession/Sale/Distribution of a Controlled Substance","35A","Drug / Narcotic Violations","323","2400  CHESTNUT AVE","KANSAS CITY","64127","PJ1983","EPD","N","ARR CHA SUS","U","F","33","false",
"KC19036801","2019-05-18T00:00:00.000","23:54","2019-05-18T00:00:00.000","11:53",,,"Assault (Aggravated)","13A","Aggravated Assault","114","HOLLY ST and 23RD","KANSAS CITY","64108","PJ1842","CPD","N","VIC","W","F","81","true",
"KC19032337","2019-05-03T00:00:00.000","8:50","2019-05-03T00:00:00.000","8:45",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","415","7800  N HOLLY AVE","KANSAS CITY","64118","PC0431","NPD","Y","ARR CHA SUS","B","M","39","false",
"KC19027377","2019-04-15T00:00:00.000","12:02","2019-04-15T00:00:00.000","12:00",,,"Vehicular – Injury",,,"422","N GREEN HILLS RD and NW BARRY RD","KANSAS CITY","64154","PP0324","NPD","N","ARR CHA VDR","W","M","59","false",
"KC19034091","2019-05-09T00:00:00.000","13:15","2018-09-17T00:00:00.000","20:01",,,"Forgery","250","Counterfeiting / Forgery","533","10700  STATE LINE RD","KANSAS CITY","64114",,,"N","SUS","B","M","38","false",
"KC19028767","2019-04-20T00:00:00.000","0:31","2019-04-20T00:00:00.000","0:31",,,"Robbery (Residential)","120","Robbery","636","3600  N RANDOLPH RD","KANSAS CITY","64161",,"SCP","N","SUS","W","M",,"false",
"KC19025201","2019-04-07T00:00:00.000","7:45","2019-04-06T00:00:00.000","15:31","2019-04-06T00:00:00.000","15:32","Stolen Auto","240","Motor Vehicle Theft","341","8000  E TRUMAN RD","KANSAS CITY",,"PJ1373","EPD","N","CMP VIC","W","M","33","false","8000  E TRUMAN RD
KANSAS CITY,  
(39.093344, -94.489846)"
"KC19027336","2019-04-15T00:00:00.000","8:42","2019-04-14T00:00:00.000","17:00","2019-04-15T00:00:00.000","7:00","Burglary (Non-Residential)","220","Burglary/Breaking and Entering","331","3000  PROSPECT AVE","KANSAS CITY","64130",,,"N","VIC",,,,"false",
"KC19034249","2019-05-09T00:00:00.000","22:43","2019-05-09T00:00:00.000","22:35",,,"Assault (Aggravated)","13A","Aggravated Assault","242","8000  HICKMAN MILLS DR","KANSAS CITY","64137","PJ5913","MPD","N","VIC","W","F","20","false",
"KC19023107","2019-03-30T00:00:00.000","19:12","2019-03-21T00:00:00.000","19:00","2019-03-30T00:00:00.000","17:00","Stolen Auto","240","Motor Vehicle Theft","634","5300  N CHOUTEAU TRFY","KANSAS CITY","64119",,"SCP","N","SUS","W","F",,"false",
"KC19023270","2019-03-31T00:00:00.000","15:12","2019-03-31T00:00:00.000","15:12",,,"Robbery (Strong Armed Street)","120","Robbery","213","8600  E 63RD TRFY","KANSAS CITY","64129","PJ4889","MPD","N","VIC","W","M","44","false",
"KC19032855","2019-05-05T00:00:00.000","10:46","2019-05-05T00:00:00.000","10:30",,,"Casualty",,,"116","W 3RD ST and N WALNUT ST","KANSAS CITY","64106",,"CPD","N","CMP VIC","W","F","30","false",
"KC19029475","2019-04-22T00:00:00.000","17:38","2019-04-22T00:00:00.000","12:00","2019-04-22T00:00:00.000","12:00","Stealing – Other","23H","All Other Larceny","345","11806E 62ND TER","KANSAS CITY","64133",,"EPD","N","VIC","W","F","34","false",
"KC19033534","2019-05-07T00:00:00.000","15:31","2019-05-07T00:00:00.000","15:31",,,"Possession/Sale/Distribution of a Controlled Substance",,,,"69 HWY and NEBO","EXCELSIOR SPRINGS",,,,"N","SUS","W","F","22","false",
"KC19028606","2019-04-19T00:00:00.000","13:40","2019-04-18T00:00:00.000","13:00",,,"Harassment / Intimidation - Sex Crimes","13C","Intimidation","542","90100  OLD SANTA FE RD","KANSAS CITY","64138","9516","SPD","N","CMP VIC","B","F","64","false",
"KC19023235","2019-03-31T00:00:00.000","12:47","2019-03-31T00:00:00.000","12:33",,,"Property Damage","290","Vandalism/Destruction of Property","142","3500  OLIVE ST","KANSAS CITY","64109","PJ2872","CPD","N","VIC","B","F","52","false",
"KC19031438","2019-04-30T00:00:00.000","10:36","2019-04-29T00:00:00.000","23:32","2019-04-30T00:00:00.000","1:16","Property Damage","290","Vandalism/Destruction of Property","542","7200  BANNISTER","KANSAS CITY",,,"SPD","N","VIC",,,,"false",
"KC19029285","2019-04-22T00:00:00.000","11:33","2019-04-20T00:00:00.000","16:05","2019-04-20T00:00:00.000","17:00","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","643","5900  NE 96TH ST","KANSAS CITY","64157","PC0253","SCP","N","VIC","W","M","24","false",
"KC19029183","2019-04-21T00:00:00.000","21:42","2019-04-21T00:00:00.000","22:30",,,"City/Municipal Warrant Arrest",,,"999","00  S WATER ST","LIBERTY","64068",,"OSPD","N","ARR CHA SUS","B","M","30","false",
"KC19030770","2019-04-27T00:00:00.000","13:53","2019-04-26T00:00:00.000","23:30","2019-04-27T00:00:00.000","7:00","Stolen Auto","240","Motor Vehicle Theft","111","1800  MADISON AVE","KANSAS CITY","64108","PJ1600","CPD","N","VIC","W","M","34","false","1800  MADISON AVE
KANSAS CITY,  64108
(39.091262, -94.594599)"
"KC19025797","2019-04-09T00:00:00.000","14:57","2019-04-09T00:00:00.000","15:00","2019-04-09T00:00:00.000","15:00","Possession/Sale/Distribution of a Controlled Substance","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19028596","2019-04-19T00:00:00.000","12:43","2019-04-19T00:00:00.000","12:43",,,"Assault (Aggravated)","13A","Aggravated Assault",,"2400  E 22 TH","KANSAS CITY",,,,"N","ARR CHA SUS","B","F","33","false","2400  E 22 TH
KANSAS CITY,  
(39.085592, -94.554386)"
"KC19023866","2019-04-02T00:00:00.000","16:43","2019-04-02T00:00:00.000","16:10",,,"Possession/Sale/Distribution of an Imitation Controlled Substance","35B","Drug Equipment Violations","112","1100  LOCUST ST","KANSAS CITY","64106","PJ1029","CPD","N","ARR CHA SUS","B","M","39","false",
"KC19026738","2019-04-12T00:00:00.000","18:00","2019-04-12T00:00:00.000","18:00","2019-04-12T00:00:00.000","18:00","Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19030626","2019-04-26T00:00:00.000","18:01","2019-04-26T00:00:00.000","19:30","2019-04-26T00:00:00.000","19:35","Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","ARR CHA SUS","B","F","19","false",
"KC19036376","2019-05-17T00:00:00.000","13:21","2019-05-16T00:00:00.000","21:00",,,"Stolen Auto","240","Motor Vehicle Theft","113","1500  LOCUST ST","KANSAS CITY","64108","PJ1359","CPD","N","VIC",,,,"false",
"KC19029591","2019-04-23T00:00:00.000","12:44","2019-04-23T00:00:00.000","12:40",,,"Vehicular – Non-Injury",,,"421","00  BARRY","KANSAS CITY",,,"NPD","N","ARR CHA VDR","W","M","19","false",
"KC19034138","2019-05-09T00:00:00.000","14:26","2019-05-09T00:00:00.000","14:26",,,"Loss",,,"313","3000  INDEPENDENCE BLVD","KANSAS CITY","64124","PJ0590","EPD","N","CMP VIC","W","F","71","false",
"KC19025197","2019-04-07T00:00:00.000","13:18","2019-04-07T00:00:00.000","14:00","2019-04-07T00:00:00.000","14:20","Robbery (Armed Street)","120","Robbery",,"44 ST and SOUTH BENTON","KANSAS CITY","64130",,,"N","VIC","B","M",,"true",
"KC19032318","2019-05-03T00:00:00.000","5:54","2019-05-03T00:00:00.000","4:25",,,"Sexual Misconduct","11D","Forcible Fondling",,"27 ST and BENTON BLVD","KANSAS CITY","64130",,"EPD","N","VIC","B","M","53","false",
"KC19036542","2019-05-17T00:00:00.000","18:37","2019-05-17T00:00:00.000","21:30",,,"Stolen Auto","240","Motor Vehicle Theft","242","4100  E 75TH TER","KANSAS CITY","64131","PJ5718","MPD","N","VIC","W","M","80","false",
