"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"15",,"E"," 30TH","ST","4","22","1983","Residential","Additions, Alterations, Repairs","NA","0","17500","2764551","1058139","5521","15 E 30TH ST
,  "
"201",,"W"," 47TH","ST","12","13","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","14750","2763360","1046987","20824","201 W 47TH ST
,  "
"12504",,"E"," 65TH","CT","3","23","1981","Residential","New Construction","Single Family","1","51825","2807334","1033294","54520","12504 E 65TH CT
,  "
"811",,"W"," 16TH","ST","9","7","1983","Residential","Additions, Alterations, Repairs","NA","0","200","2762042","1066418","14139","811 W 16TH ST
,  "
"3871",,"E"," 61ST","ST","3","20","1980","Residential","Additions, Alterations, Repairs","NA","0","27500","2777786","1036990","31624","3871 E 61ST ST
,  "
"1627",,"W","  9TH","ST","2","15","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","16800","2758684","1069635","1833","1627 W 9TH ST
,  "
"724",,"NE"," 79TH","TE","10","14","1982","Non-Residential","Additions, Alterations, Repairs","NA","0","80000","2768700","1118530","84934","724 NE 79TH TE
,  "
"7701",,"NE"," 53RD","ST","6","21","1983","Non-Residential","New Construction","NA","0","257","2791663","1100496","9247","7701 NE 53RD ST
,  "
"7613",,"NE"," 51ST","TE","9","11","1980","Non-Residential","Additions, Alterations, Repairs","NA","0","2600","2791353","1099194","42070","7613 NE 51ST TE
,  "
"420",,"E"," 37TH","ST","11","4","1983","Residential","Additions, Alterations, Repairs","NA","0","700","2765919","1053605","18350","420 E 37TH ST
,  "
"2415",,"E","  9TH","ST","12","12","1980","Residential","Additions, Alterations, Repairs","NA","0","25000","2773709","1068944","47741","2415 E 9TH ST
,  "
"10904",,"E"," 97TH","TE","7","15","1983","Residential","New Construction","Single Family","1","80000","2801342","1012087","10804","10904 E 97TH TE
,  "
"12716",,"E"," 64TH","CT","4","14","1983","Residential","New Construction","Single Family","1","60000","2807995","1033620","5003","12716 E 64TH CT
,  "
"8307",,"E"," 91ST","TE","3","30","1982","Residential","Additions, Alterations, Repairs","NA","0","7500","2791036","1016137","74415","8307 E 91ST TE
,  "
"6452",,"NW"," 70TH","ST","8","14","1980","Residential","New Construction","Multifamily","4","106800","2744753","1111848","40443","6452 NW 70TH ST
,  "
"3720",,"E"," 96TH","ST","7","29","1982","Residential","Additions, Alterations, Repairs","NA","0","30000","2775798","1014383","80764","3720 E 96TH ST
,  "
"3507",,"NE"," 77TH","TE","10","24","1983","Residential","New Construction","Single Family","1","45850","2778267","1116838","17420","3507 NE 77TH TE
,  "
"5",,"W"," 89TH","TE","10","6","1980","Residential","Additions, Alterations, Repairs","NA","0","3089","2762746","1019176","43686","5 W 89TH TE
,  "
"3302",,"E"," 22ND","ST","8","11","1980","Residential","Additions, Alterations, Repairs","NA","0","1400","2776103","1062798","40095","3302 E 22ND ST
,  "
"2101",,"NW"," 68TH","ST","7","12","1982","Residential","Additions, Alterations, Repairs","NA","0","2000","2759209","1110812","79734","2101 NW 68TH ST
,  "
"1814",,"E"," 49TH","ST","8","11","1983","Residential","Additions, Alterations, Repairs","NA","0","7000","2770821","1045454","12671","1814 E 49TH ST
,  "
"3409",,"E"," 14TH","ST","6","30","1980","Residential","Additions, Alterations, Repairs","NA","0","3000","2776839","1066497","37355","3409 E 14TH ST
,  "
"11808",,"E"," 74TH","TE","3","28","1980","Residential","Additions, Alterations, Repairs","NA","0","7000","2805031","1026965","32039","11808 E 74TH TE
,  "
"8619",,"E"," 55TH","ST","5","26","1983","Non-Residential","New Construction","NA","0","12000","2793113","1039833","7697","8619 E 55TH ST
,  "
"35",,"W"," 40TH","ST","8","4","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","40000","2763926","1051331","12185","35 W 40TH ST
,  "
"14",,"NE"," 43RD","ST","4","14","1980","Residential","Additions, Alterations, Repairs","NA","0","2000","2765879","1094455","32775","14 NE 43RD ST
,  "
"6427",,"E"," 13TH","ST","4","27","1983","Residential","Additions, Alterations, Repairs","NA","0","1000","2786803","1066418","5740","6427 E 13TH ST
,  "
"8725",,"E"," 29TH","TE","10","21","1983","Residential","Additions, Alterations, Repairs","NA","0","25000","2794412","1056959","17289","8725 E 29TH TE
,  "
"300",,"W"," 47TH","ST","8","24","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","50000","2763055","1047138","13417","300 W 47TH ST
,  "
"114",,"W"," 11TH","ST","10","7","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","39000","2764495","1068499","16312","114 W 11TH ST
,  "
"3005",,"NW"," 83RD","TE","6","12","1980","Residential","New Construction","Single Family","1","36250","2756229","1120788","36312","3005 NW 83RD TE
,  "
"709",,"W"," 42ND","ST","1","15","1980","Residential","Demolition","Single Family","1","700","2761949","1050840","28516","709 W 42ND ST
,  "
"8101",,"E"," 80TH","TE","4","18","1980","Residential","New Construction","Single Family","1","40000","2790101","1023689","33147","8101 E 80TH TE
,  "
"1330",,"E"," 59TH","ST","10","11","1983","Residential","Additions, Alterations, Repairs","NA","0","15000","2768778","1038940","16485","1330 E 59TH ST
,  "
"3900",,"E"," 24TH","ST","3","6","1980","Residential","Additions, Alterations, Repairs","NA","0","6297","2778194","1061638","30934","3900 E 24TH ST
,  "
"7511",,"NW"," 81ST","ST","5","20","1980","Residential","New Construction","Single Family","1","32500","2741407","1119422","34927","7511 NW 81ST ST
,  "
"6201",,"NE"," 48TH","ST","5","20","1980","Residential","New Construction","Single Family","1","50000","2786763","1097237","34936","6201 NE 48TH ST
,  "
"1328",,"E"," 45TH","ST","3","22","1983","Residential","Demolition","Single Family","1","0","2769157","1048164","3848","1328 E 45TH ST
,  "
"9110",,"E"," 88TH","TE","3","10","1980","Residential","New Construction","Single Family","1","50000","2795312","1018072","31097","9110 E 88TH TE
,  "
"1700",,"E"," 22ND","ST","1","17","1983","Residential","Additions, Alterations, Repairs","NA","0","12000","2771012","1062984","86","1700 E 22ND ST
,  "
"101",,"W"," 11TH","ST","11","26","1980","Non-Residential","Additions, Alterations, Repairs","NA","0","50000","2764725","1068355","47011","101 W 11TH ST
,  "
"102",,"NW"," 44TH","ST","6","27","1980","Residential","New Construction","Single Family","1","50000","2764872","1095369","37251","102 NW 44TH ST
,  "
"7120",,"NE","50","ST","6","6","1984","Residential","Additions, Alterations, Repairs","NA","0","1500","2789883","1098816","7351","7120 NE 50 ST
,  "
"4600",,"NW"," 52ND","ST","2","9","1983","Residential","Additions, Alterations, Repairs","NA","0","15000","2750611","1100523","1534","4600 NW 52ND ST
,  "
"2506",,"E"," 38TH","ST","11","29","1983","Residential","Additions, Alterations, Repairs","NA","0","12000","2773333","1052596","19769","2506 E 38TH ST
,  "
"1725",,"W"," 25TH","ST","4","1","1981","Non-Residential","Additions, Alterations, Repairs","NA","0","1551","2758915","1061910","55058","1725 W 25TH ST
,  "
"5809",,"E"," 31ST","ST","6","21","1983","Residential","Additions, Alterations, Repairs","NA","0","3800","2784309","1056520","9274","5809 E 31ST ST
,  "
"15",,"W"," 79TH","ST","10","12","1982","Residential","Additions, Alterations, Repairs","NA","0","3500","2762885","1026123","84704","15 W 79TH ST
,  "
"11812",,"E"," 58TH","ST","8","19","1980","Non-Residential","New Construction","NA","0","800","2805074","1037980","40695","11812 E 58TH ST
,  "
"5601",,"NW"," 86TH","TE","9","14","1984","Residential","New Construction","Multifamily","4","86592","2747415","1123332","14771","5601 NW 86TH TE
,  "
"2724",,"NW"," 86TH","ST","7","15","1980","Residential","Additions, Alterations, Repairs","NA","0","7000","2756822","1122674","38296","2724 NW 86TH ST
,  "
"330",,"W","  8TH","ST","8","22","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","10000","2761865","1022363","13192","330 W 8TH ST
,  "
"4040",,"E"," 68TH","ST","5","3","1983","Residential","Additions, Alterations, Repairs","NA","0","8900","2777767","1032678","6158","4040 E 68TH ST
,  "
"8106",,"E"," 68TH","ST","6","8","1982","Residential","Additions, Alterations, Repairs","NA","0","11174","2790808","1032050","78046","8106 E 68TH ST
,  "
"8801",,"E"," 49TH","ST","10","22","1980","Non-Residential","New Construction","NA","0","4500","2794261","1044237","44736","8801 E 49TH ST
,  "
"344",,"W"," 72ND","ST","5","27","1983","Non-Residential","Additions, Alterations, Repairs","NA","0","9000","2762209","1030928","7744","344 W 72ND ST
,  "
"4506",,"E"," 22ND","ST","2","23","1983","Residential","Additions, Alterations, Repairs","NA","0","600","2780170","1062821","2224","4506 E 22ND ST
,  "
"1500",,"W"," 14TH","ST","10","8","1980","Residential","Additions, Alterations, Repairs","NA","0","12000","2759610","1067366","43862","1500 W 14TH ST
,  "
"1121",,"NE"," 82ND","ST","9","13","1983","Non-Residential","New Construction","NA","0","12000","2770296","1119818","14552","1121 NE 82ND ST
,  "
"8700",,"E"," 53RD","TE","10","1","1980","Residential","Additions, Alterations, Repairs","NA","0","409","2793607","1041416","43317","8700 E 53RD TE
,  "
"8712",,"E"," 96TH","ST","10","14","1980","Residential","Additions, Alterations, Repairs","NA","0","3000","2792655","1013545","44224","8712 E 96TH ST
,  "
"1204",,"W"," 76TH","ST","8","19","1983","Residential","Additions, Alterations, Repairs","NA","0","13800","2759038","1028502","13159","1204 W 76TH ST
,  "
"4300",,"E"," 18TH","ST","11","30","1982","Non-Residential","Additions, Alterations, Repairs","NA","0","8000","2779538","1064534","87297","4300 E 18TH ST
,  "
"6262",,"E"," 45TH","TE","10","15","1981","Non-Residential","New Construction","NA","0","3371000","2786087","1047656","65455","6262 E 45TH TE
,  "
"14",,"W"," 10TH","ST","2","18","1982","Non-Residential","Additions, Alterations, Repairs","NA","0","90000","2764877","1069136","72478","14 W 10TH ST
,  "
"15403",,"E"," 54TH","ST","5","7","1980","Residential","Additions, Alterations, Repairs","NA","0","20000","2817066","1039804","34290","15403 E 54TH ST
,  "
"5621",,"E"," 24TH","ST","2","19","1980","Residential","Additions, Alterations, Repairs","NA","0","2910","2783746","1061124","30165","5621 E 24TH ST
,  "
"15000",,"E"," 51ST","ST","8","9","1983","Residential","Additions, Alterations, Repairs","NA","0","2000","2815722","1041875","12408","15000 E 51ST ST
,  "
"4016",,"E"," 27TH","ST","1","13","1981","Residential","Additions, Alterations, Repairs","NA","0","2000","2778611","1059598","50095","4016 E 27TH ST
,  "
"1508",,"E"," 37TH","ST","3","24","1983","Residential","Demolition","Single Family","1","0","2770086","1053363","4020","1508 E 37TH ST
,  "
"5308",,"NW"," 84TH","TE","5","5","1981","Residential","New Construction","Single Family","1","39228","2748502","1121663","57131","5308 NW 84TH TE
,  "
"1102",,"E"," 47TH","ST","5","3","1983","Non-Residential","New Construction","NA","0","98000","2768074","1046996","6169","1102 E 47TH ST
,  "
"10831",,"E"," 98TH","TE","2","21","1980","Residential","New Construction","Single Family","1","43800","2801139","1011143","30278","10831 E 98TH TE
,  "
"120",,"E"," 69TH","TE","1","24","1983","Residential","Additions, Alterations, Repairs","NA","0","10000","2764033","1032587","665","120 E 69TH TE
,  "
"7",,"E"," 62ND","TE","3","21","1980","Non-Residential","New Construction","NA","0","4000","2763773","1036957","31665","7 E 62ND TE
,  "
"3830",,"E","  9TH","ST","5","29","1980","Residential","Demolition","Single Family","1","820","2778569","1068884","35442","3830 E 9TH ST
,  "
"617",,"E"," 97TH","TE","10","29","1982","Residential","New Construction","Multifamily","2","45000","2764936","1013588","85668","617 E 97TH TE
,  "
"812",,"E"," 31ST","TE","8","10","1983","Residential","Additions, Alterations, Repairs","NA","0","1500","2767511","1057060","12584","812 E 31ST TE
,  "
"1716",,"E"," 35TH","ST","6","9","1983","Residential","Additions, Alterations, Repairs","NA","0","1680","2758688","1055232","8399","1716 E 35TH ST
,  "
"2306",,"E"," 58TH","ST","1","4","1980","Residential","Additions, Alterations, Repairs","NA","0","3000","2772067","1039466","27717","2306 E 58TH ST
,  "
"305",,"NW"," 83RD","ST","8","4","1980","Residential","Additions, Alterations, Repairs","NA","0","6000","2764865","1120669","39653","305 NW 83RD ST
,  "
"1332",,"E"," 11TH","ST","2","12","1980","Residential","Demolition","Multifamily","2","1000","2770152","1068373","29924","1332 E 11TH ST
,  "
"3009",,"E"," 12TH","ST","1","14","1981","Residential","Demolition","Single Family","1","0","2775451","1067539","50126","3009 E 12TH ST
,  "
"5105",,"NE"," 48TH","ST","1","15","1980","Residential","Demolition","Single Family","1","1300","2783013","1097408","28482","5105 NE 48TH ST
,  "
"8601",,"E"," 67TH","TE","5","16","1986","Non-Residential","New Construction","NA","0","900000","2792269","1031966","16417","8601 E 67TH TE
,  "
"5807",,"E"," 95TH","TE","2","1","1980","Residential","Additions, Alterations, Repairs","NA","0","5800","2782758","1014117","29501","5807 E 95TH TE
,  "
"8601",,"E"," 63RD","TF","4","28","1981","Non-Residential","Additions, Alterations, Repairs","NA","0","10000","2792573","1035141","56736","8601 E 63RD TF
,  "
"8403",,"E"," 79TH","ST","3","28","1983","Non-Residential","New Construction","NA","0","8000","2791287","1024606","4209","8403 E 79TH ST
,  "
"7711",,"NW"," 69TH","TE","8","19","1982","Residential","Additions, Alterations, Repairs","NA","0","3000","2740283","1111900","81913","7711 NW 69TH TE
,  "
"7305",,"NE"," 46TH","ST","6","9","1983","Residential","Additions, Alterations, Repairs","NA","0","18000","2790271","1096183","8415","7305 NE 46TH ST
,  "
"228",,"W"," 62ND","ST","5","2","1980","Residential","Additions, Alterations, Repairs","NA","0","350","2762568","1037488","34010","228 W 62ND ST
,  "
