"lot","vehicle_id","tow_reference","year","make","model","vin","reason","k","comments"
"115","5094631","93336","1994","DODGE","RAM","1B7KF26Z6RS627277","STOLEN",,"5094631"
"116","5105212","93625","2001","CHEVROLET","BLAZER","1GNDT13WX12229099","ACCIDENT",,"5105212"
"117","5104432","93602","2007","FORD","EDGE","2FMDK39C37BA22539","ABANDONED",,"5104432"
"118","5094782","93339","2001","SATURN","L SERIES","1G8JW52R11Y581081","ARREST","K","5094782"
"119","5102212","93539","2002","HONDA","ACCORD","1HGCG225X2A010689","ACCIDENT","K","5102212"
"120","5094913","93341","1998","HONDA","CRV","JHLRD1860WC085622","ARREST","K","5094913"
"121","5148235","94770","2012","GMC","ACADIA","1GKKVSED5CJ112975","ABANDONED",,"5148235"
"122","5095049","93345","2010","FORD","F150","1FTFW1EV2AKE70586","ILLEGALLY PARKED",,"5095049"
"123","5095183","93349","2007","CHEVROLET","EQUINOX","2CNDL63F776000280","ACCIDENT",,"5095183"
"124","5141979","94628","2016","CHEVROLET","MALIBU","1G11C5SA7GF154008","ACCIDENT",,"5141979"
"125","5095122","93346","2001","CHEVROLET","IMPALA","2G1WF55E319175451","ACCIDENT",,"5095122"
"126","5110679","93773","1999","JEEP","GRAND CHER","1J4GW58S1XC677254","ABANDONED",,"5110679"
"127","5095299","93352","2005","GMC","ENVOY","1GKDT13S652307376","ABANDONED",,"5095299"
"129","5104379","93603","2008","FORD","ESCAPE","1FMCU94118KD67476","ACCIDENT",,"5104379"
"130","5136486","94485","2008","BMW","3 SERIES","WBAWL73588PX55396","ARREST",,"5136486"
"131","5116133","93910","2002","FORD","ECONOLINE","1FDWE35L32HA69605","STOLEN",,"5116133"
"132","5026654","91461","2021","CHEVROLET","CAMARO","1G1FB1RX3M0137832","ABANDONED",,"5026654"
"133","5139096","94551","2001","NISSAN","XTERRA","5N1ED28T41C570549","ABANDONED",,"5139096"
"134","5097487","93415","2002","FORD","ESCORT","3FAFP11312R224214","ACCIDENT",,"5097487"
"135","4885261","87718","2000","TOYOTA","COROLLA","1NXBR12E1YZ357622","ABANDONED",,"4885261"
"136","5108867","93730","1998","GMC","YUKON","1GKEK13R7WJ719821","ABANDONED",,"5108867"
"137","5083593","93005","2009","SATURN","VUE","3GSCL33P99S624579","STOLEN","K","5083593"
"138","5111965","93803","1997","JEEP","CHEROKEE","1J4FJ78S8VL589031","STOLEN",,"5111965"
"139","5095486","93360","2006","CHRYSLER","SEBRING","1C3EL46X06N192254","ABANDONED",,"5095486"
"140","5114957","93873","1999","CHEVROLET","SUBURBAN","1GNEC16R4XJ438637","ABANDONED",,"5114957"
"141","5144071","94676","2006","SATURN","VUE","5GZCZ33D16S869253","ACCIDENT",,"5144071"
"142","5088729","93157","2006","JEEP","GRAND CHER","1J4HR58236C361333","ACCIDENT",,"5088729"
"143","5118765","93970","2003","SUZUKI","OTHER","JS3TD62V034106735","STOLEN",,"5118765"
"145","5097728","93432","2008","DODGE","AVENGER","1B3LC56K68N690699","ABANDONED",,"5097728"
"146","5148431","94778","2010","FORD","ESCAPE","1FMCU0DG2AKA02374","ACCIDENT",,"5148431"
"147","5119561","93984","2012","FIAT","500","3C3CFFARXCT335547","ACCIDENT",,"5119561"
"148","5105257","93622","2008","CHRYSLER","TOWN-COUNT","2A8HR54P38R681004","ACCIDENT",,"5105257"
"149","5112242","93810","1993","JEEP","CHEROKEE","1J4FJ68S5PL555643","ACCIDENT",,"5112242"
"150","5094441","93333","2007","NISSAN","ALTIMA","1N4AL21E57C178471","ACCIDENT",,"5094441"
"151","5105374","93631","2010","CHEVROLET","HHR","3GNBABDB7AS536829","ACCIDENT",,"5105374"
"152","5108837","93727","2005","GMC","YUKON XL 1500","3GKFK16ZX5G239966","ABANDONED",,"5108837"
"153","5097564","93418","2001","BUICK","LESABRE","1G4HP54K614223611","ACCIDENT",,"5097564"
"154","5114559","93867","2008","FORD","FUSION","3FAHP08148R217080","ACCIDENT",,"5114559"
"155","5094240","93326","2004","JEEP","LIBERTY","1J4GL48K14W206525","ABANDONED",,"5094240"
"156","5095755","93365","2002","BUICK","LESABRE","1G4HR54K32U276598","ABANDONED",,"5095755"
"157","5111975","93804","2002","HONDA","ODYSSEY","5FNRL18942B024040","ACCIDENT",,"5111975"
"158","5105259","93623","2002","CADILLAC","ESCALADE","1GYEK63N02R100831","ACCIDENT",,"5105259"
"159","5097081","93400","1995","JEEP","GRAND CHER","1J4GZ78YXSC686101","ACCIDENT",,"5097081"
"160","5098429","93448","2013","HYUNDAI","ELANTRA","5NPDH4AE9DH186920","ACCIDENT",,"5098429"
"161","5110071","93754","2003","MAZDA","6","1YVFP80C735M03697","ARREST",,"5110071"
"162","5103782","93592","2013","CADILLAC","OTHER","1G6AA5RA7D0147306","ILLEGALLY PARKED",,"5103782"
"163","5097143","93401","2005","CHEVROLET","IMPALA","2G1WH52K859384467","ACCIDENT",,"5097143"
"164","5103771","93590","2010","DODGE","CHARGER","2B3CA9CV0AH269071","ACCIDENT",,"5103771"
"165","5129207","94279","2000","BUICK","LESABRE","1G4HP54K5YU294812","ARREST",,"5129207"
"166","5097312","93406","2008","HYUNDAI","SANTA FE","5NMSH13E08H186357","ACCIDENT",,"5097312"
"167","5118572","93957","1998","GMC","SIERRA","1GTGK29F6WE532795","ABANDONED",,"5118572"
"168","5015092","91154","1993","OLDSMOBILE","CUTLASS","1G3AG54N2P6425553","STOLEN",,"5015092"
"169","5095290","93355","2002","TOYOTA","CAMRY","4T1BE32K82U587663","ABANDONED",,"5095290"
"170","5116452","93921","2005","BUICK","LESABRE","1G4HP52K95U279227","ABANDONED",,"5116452"
"171","5085183","93050","2006","CHEVROLET","MALIBU","1G1ZS518X6F272475","ILLEGALLY PARKED",,"5085183"
"172","5097832","93435","2005","GMC","SIERRA","2GTEC19T751167001","ABANDONED",,"5097832"
"173","5098312","93444","2015","CHEVROLET","CRUZE","1G1PC5SB0F7270338","ACCIDENT",,"5098312"
"174","5099269","93480","2005","SUZUKI","GSX-R600","JS1GN7CA952111536","ABANDONED","K","5099269"
"176","5126423","94216","2007","OTHER-NOT IN LIST","OTHER","5RYSK10987S027168","ILLEGALLY PARKED",,"5126423"
"177","5116339","93918","2022","OTHER-NOT IN LIST","OTHER","L4HGDTC13N6000044","ARREST",,"5116339"
"180","5143402","94658","2012","HONDA","CBR","MLHMC4104C5200348","STOLEN",,"5143402"
"181","5126106","94202","2018","INDIAN","OTHER","56KCVAAA1J3360531","ACCIDENT",,"5126106"
"182","5149166","94803","2012","CHEVROLET","MALIBU","1G1ZC5E04CF357924","ACCIDENT",,"5149166"
"183","5102511","93553","2014","TOYOTA","COROLLA","2T1BURHE8EC143874","ILLEGALLY PARKED",,"5102511"
"184","5139426","94564","2017","FORD","FUSION","3FA6P0LU4HR314014","ARREST","K","5139426"
"185","5102563","93554","2006","FORD","F250","1FTSW20PX6ED81206","ILLEGALLY PARKED",,"5102563"
"186","5102725","93558","2007","TOYOTA","CAMRY","JTNBE46K673098823","ABANDONED",,"5102725"
"187","5132451","94363","1996","MERCURY","GRAND MARQUIS","2MELM75W4TX691397","ACCIDENT",,"5132451"
"189","5119388","93981","2015","TOYOTA","COROLLA","5YFBURHE8FP198665","ARREST","K","5119388"
"190","5144117","94675","2004","AUDI","A8","WAUML44E04N015500","ABANDONED",,"5144117"
"191","5120842","94032","2020","NISSAN","ALTIMA","1N4BL4BVXLC215295","ABANDONED",,"5120842"
"192","5109228","93738","2007","PONTIAC","G6","1G2ZM587774139334","ACCIDENT","K","5109228"
"194","5105970","93647","1998","TOYOTA","TACOMA","4TAWN72N4WZ128092","ACCIDENT",,"5105970"
"195","5106106","93649","2012","CHEVROLET","MALIBU","1G1ZC5E09CF282993","ACCIDENT",,"5106106"
"196","5121770","94054","1995","FORD","F150","1FTEX15H8SKB48782","ACCIDENT",,"5121770"
"197","5106228","93657","2011","KIA","SORENTO","5XYKU4A16BG065105","ACCIDENT",,"5106228"
"198","5111155","93782","2001","NISSAN","SENTRA","3N1CB51D71L513596","ABANDONED",,"5111155"
"199","5111353","93787","1997","DODGE","INTREPID","2B3HD46T5VH659342","ACCIDENT",,"5111353"
"200","5148642","94787","2006","FORD","MUSTANG","1ZVFT84NX65202164","ILLEGALLY PARKED",,"5148642"
"201","5146555","94731","2013","FORD","FUSION","3FA6P0HR1DR288650","STOLEN",,"5146555"
"202","5108954","93734","2016","FORD","FIESTA","3FADP4EJ6GM184993","ACCIDENT",,"5108954"
"203","5109330","93739","2006","CHEVROLET","MALIBU","1G1ZT51836F259449","ACCIDENT",,"5109330"
"204","5140638","94585","2012","INFINITI","G37","JN1CV6FE5CM203504","ACCIDENT",,"5140638"
"205","5125779","94195","2005","PONTIAC","G6","1G2ZH528654167760","ABANDONED",,"5125779"
"206","5138668","94539","1999","SATURN","S SERIES","1G8ZY1276XZ305499","ABANDONED",,"5138668"
"207","5135768","94463","2007","DODGE","CALIBER","1B3HB28B57D134053","ACCIDENT",,"5135768"
"208","5003641","90852","2001","CHEVROLET","MONTE CARLO","2G1WX15K619311437","ABANDONED",,"5003641"
"209","5150131","94819","2013","HYUNDAI","ELANTRA","5NPDH4AE9DH353017","ACCIDENT",,"5150131"
"210","5135846","94465","2013","NISSAN","ALTIMA","1N4AL3AP0DC224470","ABANDONED",,"5135846"
"212","5106618","93668","2009","DODGE","JOURNEY","3D4GG57V99T192854","ABANDONED",,"5106618"
"213","5111524","93792","2001","FORD","F150","2FTRX07L21CB04387","ABANDONED",,"5111524"
"214","5106968","93681","2005","CHEVROLET","COLORADO","1GCDT136658185436","ACCIDENT",,"5106968"
"215","5138571","94529","1998","DODGE","CARAVAN","1B4GP55R3WB562287","ILLEGALLY PARKED",,"5138571"
"216","5135707","94461","2008","BMW","5 SERIES","WBANU53518C116829","ABANDONED",,"5135707"
"217","5143845","94666","2002","FORD","TAURUS","1FAHP56S22A238147","STOLEN",,"5143845"
"218","5110299","93756","2006","ACURA","MDX","2HNYD18956H509502","ACCIDENT",,"5110299"
"219","5119765","93989","2002","CHEVROLET","AVALANCHE","3GNEC13T22G165823","ABANDONED",,"5119765"
"222","5113807","93856","2007","CADILLAC","CTS","1G6DP577370164529","ACCIDENT",,"5113807"
"223","5112294","93815","2009","HYUNDAI","ACCENT","KMHCN46C29U285471","STOLEN",,"5112294"
"224","5130991","94343","1992","CHEVROLET","C-3500","2GCHC39N3N1120123","STOLEN",,"5130991"
"225","5135725","94464","1999","CHEVROLET","SILVERADO","2GCEK19T0X1181537","ARREST",,"5135725"
"226","5112638","93820","2007","VOLKSWAGEN","PASSAT","WVWTU93C67E007673","ACCIDENT","K","5112638"
"227","5119814","93991","2005","CHEVROLET","EQUINOX","2CNDL13F356123641","ACCIDENT",,"5119814"
"228","5102905","93562","2014","FORD","FUSION","1FA6P0H79E5392600","ACCIDENT",,"5102905"
"229","5135582","94460","1999","TOYOTA","COROLLA","1NXBR12E6XZ219427","ABANDONED",,"5135582"
"230","5121819","94056","2002","HYUNDAI","ACCENT","KMHCG35C52U169872","ABANDONED",,"5121819"
"231","5107024","93682","2015","TOYOTA","HIGHLANDER","5TDDKRFH9FS111634","STOLEN",,"5107024"
"232","5142329","94633","2013","INFINITI","G37","JN1CV6AP6DM717470","ACCIDENT","K","5142329"
"233","5103093","93572","1990","HONDA","ACCORD","JHMCB7663LC112840","ILLEGALLY PARKED",,"5103093"
"234","5102892","93563","2007","CHEVROLET","TRAILBLAZER","1GNDT13S572129370","STOLEN",,"5102892"
"235","5105119","93618","2016","KIA","FORTE","KNAFK4A67G5560736","ACCIDENT",,"5105119"
"236","5103193","93575","2000","CHEVROLET","LUMINA","2G1WL52J4Y1304333","ILLEGALLY PARKED",,"5103193"
"237","5140659","94583","2019","KIA","FORTE","3KPF24AD4KE132010","STOLEN",,"5140659"
"238","5103079","93570","2001","GMC","YUKON","1GKEC13T81R169158","ACCIDENT",,"5103079"
"239","5145816","94714","2000","CHEVROLET","TAHOE","1GNEC13T5YJ137912","ABANDONED",,"5145816"
"240","5129236","94280","2019","NISSAN","KICKS","3N1CP5CU9KL568373","ACCIDENT",,"5129236"
"242","5102464","93551","2015","KIA","SORENTO","5XYKTDA75FG604486","ACCIDENT",,"5102464"
"243","5102451","93552","2005","CHEVROLET","SILVERADO","1GCEC14X65Z186804","STOLEN",,"5102451"
"244","5139031","94550","2005","FORD","ESCAPE","1FMYU931X5KD11183","ACCIDENT",,"5139031"
"246","5107303","93686","2016","TOYOTA","RAV4","JTMDJREV2GD037884","STOLEN",,"5107303"
"247","5115126","93881","2002","GMC","YUKON XL 1500","1GKFK16ZX2J159108","BURNED",,"5115126"
"248","5107433","93693","2007","GMC","ENVOY","1GKDT13S372199978","STOLEN",,"5107433"
"249","5122213","94067","2006","FORD","RANGER","1FTYR14U76PA81154","STOLEN",,"5122213"
"250","5107708","93696","2005","TOYOTA","CAMRY","4T1BE32K25U418176","ACCIDENT","K","5107708"
"251","5115234","93884","2008","JEEP","COMPASS","1J8FF47W88D660925","ILLEGALLY PARKED",,"5115234"
"252","5107669","93697","2003","ACURA","RSX","JH4DC53893C007232","ACCIDENT",,"5107669"
"253","5121527","94049","1999","CHEVROLET","SILVERADO","2GCEK19T8X1294961","STOLEN","K","5121527"
"254","5135856","94466","2003","SUZUKI","AERIO","JS2RC41H135211294","ABANDONED",,"5135856"
"255","5125878","94199","2017","HYUNDAI","OTHER","KM8SR4HF8HU207718","STOLEN",,"5125878"
"256","5129863","94294","2004","HYUNDAI","SANTA FE","KM8SC73E34U829915","STOLEN",,"5129863"
"257","5118389","93956","2007","CADILLAC","STS","1G6DC67A170133793","ABANDONED",,"5118389"
"258","5118212","93951","2009","CHEVROLET","MALIBU","1G1ZG57B89F234056","ACCIDENT","K","5118212"
"259","5108141","93705","2018","NISSAN","ALTIMA","1N4AL3AP0JC259859","ILLEGALLY PARKED",,"5108141"
"260","5122126","94066","2002","SUBARU","OUTBACK","4S3BH665627615606","ILLEGALLY PARKED",,"5122126"
"261","5108156","93704","2003","MERCEDES","CLK CLASS","WDBTJ75J93F017559","BURNED",,"5108156"
"262","5148372","94774","1995","PONTIAC","GRAND PRIX","1G2WJ52M8SF210953","ILLEGALLY PARKED",,"5148372"
"263","5142505","94639","2011","CHEVROLET","EQUINOX","2GNALDEC0B1310511","ACCIDENT",,"5142505"
"264","5120011","94004","1994","CHEVROLET","1500-SERIES","1GCEK19K9RE305992","ACCIDENT",,"5120011"
"266","5121981","94064","2007","CHRYSLER","TOWN-COUNT","1A4GJ45R57B227591","ARREST","K","5121981"
"267","5108190","93710","1996","FORD","ESCORT","1FASP14J7TW153978","ACCIDENT",,"5108190"
"268","5108228","93711","1988","CHEVROLET","OTHER","1GBJR34M0JJ114797","ABANDONED",,"5108228"
"269","5126194","94208","2006","CHRYSLER","300","2C3KA53G06H254098","ABANDONED",,"5126194"
"270","5108327","93712","2009","BUICK","ENCLAVE","5GAER23D89J110972","ABANDONED",,"5108327"
"271","5148446","94776","2006","CHEVROLET","UPLANDER","1GNDV33L96D152295","ACCIDENT",,"5148446"
"272","5108332","93714","2002","HONDA","ACCORD","1HGCG56632A118317","ACCIDENT","K","5108332"
"273","5149168","94801","2014","CHEVROLET","CRUZE","1G1PC5SB2E7471379","ACCIDENT",,"5149168"
"274","5108316","93713","2007","FORD","EDGE","2FMDK36C47BB36702","ABANDONED",,"5108316"
"275","5132519","94366","2015","ACURA","TLX","19UUB1F55FA016137","ABANDONED",,"5132519"
"276","5108354","93718","2006","PONTIAC","VIBE","5Y2SL65856Z406345","ABANDONED",,"5108354"
"277","5108412","93717","2003","BUICK","REGAL","2G4WB52K731122813","ILLEGALLY PARKED",,"5108412"
"278","5108531","93720","2005","CHEVROLET","EXPRESS","1GCGG29V051162412","ILLEGALLY PARKED",,"5108531"
"279","5127075","94222","2009","PONTIAC","TORRENT","2CKDL43F396201307","ILLEGALLY PARKED",,"5127075"
"280","5120989","94035","2010","FORD","FUSION","3FAHP0JG7AR269291","ACCIDENT",,"5120989"
"282","5129710","94292","2005","CHRYSLER","PT CRUISER","3C3EY55E95T620537","ABANDONED","K","5129710"
"283","5129870","94300","2010","FORD","TAURUS","1FAHP2FW7AG135142","ABANDONED",,"5129870"
"284","5126040","94200","2006","FORD","MUSTANG","1ZVFT80N365161110","STOLEN",,"5126040"
"285","5113024","93833","2003","AUDI","TT","TRUSC28N431003824","ABANDONED",,"5113024"
"286","5120388","94015","2001","JEEP","GRAND CHER","1J4GX48S01C599225","ARREST","K","5120388"
"287","5130783","94335","2000","CHEVROLET","OTHER","2CNBJ13C1Y6913785","ABANDONED",,"5130783"
"288","5113769","93854","2017","DODGE","DURANGO","1C4SDJCTXHC606764","ARREST",,"5113769"
"289","5113035","93838","2001","GMC","YUKON","1GKEK13T91R172623","ABANDONED",,"5113035"
"290","5119947","94000","2005","DODGE","RAM","1D7HA18N75S111961","ARREST",,"5119947"
"291","5113008","93834","2007","NISSAN","ALTIMA","1N4AL21E47N428674","ABANDONED",,"5113008"
"292","5113104","93844","1994","CHEVROLET","CAPRICE","1G1BL52W6RR111037","ABANDONED",,"5113104"
"293","5115321","93889","2003","VOLKSWAGEN","BEETLE","3VWCK21Y03M306167","ABANDONED",,"5115321"
"295","5115295","93888","2003","CHEVROLET","SILVERADO","1GCEC14X33Z263481","STOLEN",,"5115295"
"296","5115305","93886","2005","CHEVROLET","TAHOE","1GNEK13T05J160660","STOLEN",,"5115305"
"297","5129766","94291","2007","DODGE","CALIBER","1B3HB48B37D208579","ABANDONED",,"5129766"
