"fiscal_year","region","county","completed_investigations"
"2020","9-Midland","Reagan","3"
"2020","9-Midland","Reeves","50"
"2020","9-Midland","Schleicher","10"
"2020","9-Midland","Sterling","3"
"2020","9-Midland","Sutton","12"
"2020","9-Midland","Terrell","6"
"2020","9-Midland","Tom Green","1046"
"2020","9-Midland","Upton","7"
"2020","9-Midland","Ward","55"
"2020","9-Midland","Winkler","30"
"2020","10-El Paso","Brewster","97"
"2020","10-El Paso","Culberson","23"
"2020","10-El Paso","El Paso","3692"
"2020","10-El Paso","Hudspeth","14"
"2020","10-El Paso","Jeff Davis","5"
"2020","10-El Paso","Presidio","33"
"2020","11-Edinburg","Aransas","158"
"2020","11-Edinburg","Bee","164"
"2020","11-Edinburg","Brooks","35"
"2020","11-Edinburg","Cameron","1514"
"2020","11-Edinburg","Duval","62"
"2020","11-Edinburg","Hidalgo","2557"
"2020","11-Edinburg","Jim Hogg","13"
"2020","11-Edinburg","Jim Wells","212"
"2020","11-Edinburg","Kleberg","120"
"2020","11-Edinburg","Live Oak","52"
"2020","11-Edinburg","McMullen","3"
"2020","11-Edinburg","Nueces","1967"
"2020","11-Edinburg","Refugio","22"
"2020","11-Edinburg","San Patricio","343"
"2020","11-Edinburg","Starr","175"
"2020","11-Edinburg","Webb","509"
"2020","11-Edinburg","Willacy","114"
"2020","11-Edinburg","Zapata","45"
"2020","Out of State","Out of State","32"
"2019","1-Lubbock","Armstrong","6"
"2019","1-Lubbock","Bailey","25"
"2019","1-Lubbock","Briscoe","5"
"2019","1-Lubbock","Carson","29"
"2019","1-Lubbock","Castro","13"
"2019","1-Lubbock","Childress","27"
"2019","1-Lubbock","Cochran","65"
"2019","1-Lubbock","Collingsworth","14"
"2019","1-Lubbock","Crosby","74"
"2019","1-Lubbock","Dallam","22"
"2019","1-Lubbock","Deaf Smith","43"
"2019","1-Lubbock","Dickens","22"
"2019","1-Lubbock","Donley","21"
"2019","1-Lubbock","Floyd","41"
"2019","1-Lubbock","Garza","60"
"2019","1-Lubbock","Gray","111"
"2019","1-Lubbock","Hale","166"
"2019","1-Lubbock","Hall","15"
"2019","1-Lubbock","Hansford","8"
"2019","1-Lubbock","Hartley","2"
"2019","1-Lubbock","Hemphill","2"
"2019","1-Lubbock","Hockley","165"
"2019","1-Lubbock","Hutchinson","100"
"2019","1-Lubbock","Lamb","107"
"2019","1-Lubbock","Lipscomb","6"
"2019","1-Lubbock","Lubbock","2243"
"2019","1-Lubbock","Lynn","63"
"2019","1-Lubbock","Moore","50"
"2019","1-Lubbock","Motley","10"
"2019","1-Lubbock","Ochiltree","28"
"2019","1-Lubbock","Oldham","6"
"2019","1-Lubbock","Parmer","17"
"2019","1-Lubbock","Potter","866"
"2019","1-Lubbock","Randall","425"
"2019","1-Lubbock","Sherman","8"
"2019","1-Lubbock","Swisher","35"
"2019","1-Lubbock","Terry","154"
"2019","1-Lubbock","Wheeler","21"
"2019","1-Lubbock","Yoakum","14"
"2019","2-Abilene","Archer","77"
"2019","2-Abilene","Baylor","40"
"2019","2-Abilene","Brown","262"
"2019","2-Abilene","Callahan","118"
"2019","2-Abilene","Clay","76"
"2019","2-Abilene","Coleman","100"
"2019","2-Abilene","Comanche","93"
"2019","2-Abilene","Cottle","6"
"2019","2-Abilene","Eastland","183"
"2019","2-Abilene","Fisher","23"
"2019","2-Abilene","Foard","15"
"2019","2-Abilene","Hardeman","38"
"2019","2-Abilene","Haskell","57"
"2019","2-Abilene","Jack","33"
"2019","2-Abilene","Jones","129"
"2019","2-Abilene","Kent","1"
"2019","2-Abilene","Knox","16"
"2019","2-Abilene","Mitchell","35"
"2019","2-Abilene","Montague","177"
"2019","2-Abilene","Nolan","106"
"2019","2-Abilene","Runnels","91"
"2019","2-Abilene","Scurry","66"
"2019","2-Abilene","Shackelford","10"
"2019","2-Abilene","Stephens","67"
"2019","2-Abilene","Stonewall","4"
"2019","2-Abilene","Taylor","1404"
"2019","2-Abilene","Throckmorton","10"
"2019","2-Abilene","Wichita","1434"
"2019","2-Abilene","Wilbarger","120"
"2019","2-Abilene","Young","144"
"2019","3-Arlington","Collin","1001"
"2019","3-Arlington","Cooke","107"
"2019","3-Arlington","Dallas","5679"
"2019","3-Arlington","Denton","892"
"2019","3-Arlington","Ellis","346"
"2019","3-Arlington","Erath","109"
"2019","3-Arlington","Fannin","144"
"2019","3-Arlington","Grayson","575"
"2019","3-Arlington","Hood","218"
"2019","3-Arlington","Hunt","405"
"2019","3-Arlington","Johnson","489"
"2019","3-Arlington","Kaufman","290"
"2019","3-Arlington","Navarro","159"
"2019","3-Arlington","Palo Pinto","101"
"2019","3-Arlington","Parker","338"
"2019","3-Arlington","Rockwall","126"
"2019","3-Arlington","Somervell","31"
"2019","3-Arlington","Tarrant","4901"
"2019","3-Arlington","Wise","143"
"2019","4-Tyler","Anderson","172"
"2019","4-Tyler","Bowie","299"
"2019","4-Tyler","Camp","58"
"2019","4-Tyler","Cass","141"
"2019","4-Tyler","Cherokee","195"
"2019","4-Tyler","Delta","29"
"2019","4-Tyler","Franklin","32"
"2019","4-Tyler","Gregg","452"
"2019","4-Tyler","Harrison","176"
"2019","4-Tyler","Henderson","478"
"2019","4-Tyler","Hopkins","167"
"2019","4-Tyler","Lamar","247"
"2019","4-Tyler","Marion","62"
"2019","4-Tyler","Morris","79"
"2019","4-Tyler","Panola","72"
"2019","4-Tyler","Rains","42"
