"fiscal_year","county","region","children_in_dfps_cvs_solely"
"2016","Lubbock","1-Lubbock","2"
"2016","Midland","9-Midland","2"
"2016","Montgomery","6-Houston","1"
"2016","Parker","3-Arlington","1"
"2016","Rusk","4-Tyler","1"
"2016","Tarrant","3-Arlington","2"
"2016","Taylor","2-Abilene","1"
"2016","Tom Green","9-Midland","3"
"2016","Travis","7-Austin","1"
"2016","Wharton","6-Houston","1"
"2016","Williamson","7-Austin","4"
"2016","Wilson","8-San Antonio","2"
"2015","Bell","7-Austin","1"
"2015","Bexar","8-San Antonio","4"
"2015","Bowie","4-Tyler","1"
"2015","Cherokee","4-Tyler","1"
"2015","Collin","3-Arlington","1"
"2015","Comal","8-San Antonio","3"
"2015","Dallas","3-Arlington","2"
"2015","Denton","3-Arlington","1"
"2015","El Paso","10-El Paso","2"
"2015","Guadalupe","8-San Antonio","1"
"2015","Hockley","1-Lubbock","1"
"2015","Johnson","3-Arlington","1"
"2015","Lamb","1-Lubbock","1"
"2015","Limestone","7-Austin","1"
"2015","Maverick","8-San Antonio","1"
"2015","Medina","8-San Antonio","1"
"2015","Nueces","11-Edinburg","1"
"2015","Orange","5-Beaumont","1"
"2015","Polk","5-Beaumont","1"
"2015","Titus","4-Tyler","1"
"2015","Tom Green","9-Midland","1"
"2015","Travis","7-Austin","1"
"2015","Williamson","7-Austin","1"
"2014","Anderson","4-Tyler","1"
"2014","Bexar","8-San Antonio","1"
"2014","Brazos","7-Austin","1"
"2014","Guadalupe","8-San Antonio","1"
"2014","Harris","6-Houston","2"
"2014","Harrison","4-Tyler","1"
"2014","Hunt","3-Arlington","2"
"2014","McLennan","7-Austin","2"
"2014","Palo Pinto","3-Arlington","1"
"2014","San Patricio","11-Edinburg","1"
"2014","Tarrant","3-Arlington","1"
"2014","Williamson","7-Austin","2"
