"fiscal_year","county","region","total_pca","federally_funded_title_iv_e","state_paid"
"2021","Fort Bend","6-Houston","67","38","29"
"2021","Franklin","4-Tyler","4","4","0"
"2021","Freestone","7-Austin","3","1","2"
"2021","Frio","8-San Antonio","7","7","0"
"2021","Galveston","6-Houston","84","57","27"
"2021","Gillespie","8-San Antonio","8","4","4"
"2021","Gonzales","8-San Antonio","8","4","4"
"2021","Gray","1-Lubbock","5","5","0"
"2021","Grayson","3-Arlington","43","34","9"
"2021","Gregg","4-Tyler","51","29","22"
"2021","Grimes","7-Austin","1","0","1"
"2021","Guadalupe","8-San Antonio","59","33","26"
"2021","Hale","1-Lubbock","9","7","2"
"2021","Hall","1-Lubbock","3","3","0"
"2021","Hamilton","7-Austin","6","0","6"
"2021","Hardeman","2-Abilene","5","5","0"
"2021","Hardin","5-Beaumont","6","5","1"
"2021","Harris","6-Houston","586","412","174"
"2021","Harrison","4-Tyler","33","30","3"
"2021","Haskell","2-Abilene","4","4","0"
"2021","Hays","7-Austin","42","9","33"
"2021","Hemphill","1-Lubbock","1","1","0"
"2021","Henderson","4-Tyler","38","14","24"
"2021","Hidalgo","11-Edinburg","122","97","25"
"2021","Hill","7-Austin","5","0","5"
"2021","Hockley","1-Lubbock","5","4","1"
"2021","Hood","3-Arlington","19","12","7"
"2021","Hopkins","4-Tyler","3","3","0"
"2021","Houston","5-Beaumont","19","12","7"
"2021","Howard","9-Midland","7","5","2"
"2021","Hunt","3-Arlington","24","15","9"
"2021","Irion","9-Midland","1","1","0"
"2021","Jack","2-Abilene","7","3","4"
"2021","Jackson","8-San Antonio","4","2","2"
"2021","Jasper","5-Beaumont","21","13","8"
"2021","Jefferson","5-Beaumont","35","22","13"
"2021","Jim Wells","11-Edinburg","19","9","10"
"2021","Johnson","3-Arlington","15","5","10"
"2021","Jones","2-Abilene","4","4","0"
"2021","Karnes","8-San Antonio","3","2","1"
"2021","Kaufman","3-Arlington","4","0","4"
"2021","Kendall","8-San Antonio","2","1","1"
"2021","Kerr","8-San Antonio","10","4","6"
"2021","Kimble","9-Midland","1","1","0"
"2021","Kleberg","11-Edinburg","13","9","4"
"2021","Lamar","4-Tyler","20","8","12"
"2021","Lamb","1-Lubbock","4","2","2"
"2021","Lampasas","7-Austin","8","1","7"
"2021","Lavaca","8-San Antonio","4","3","1"
"2021","Lee","7-Austin","12","7","5"
"2021","Liberty","6-Houston","62","47","15"
"2021","Limestone","7-Austin","6","5","1"
"2021","Live Oak","11-Edinburg","1","0","1"
"2021","Llano","7-Austin","11","2","9"
"2021","Lubbock","1-Lubbock","34","27","7"
"2021","Madison","7-Austin","1","0","1"
"2021","Marion","4-Tyler","3","3","0"
"2021","Matagorda","6-Houston","19","12","7"
"2021","Maverick","8-San Antonio","5","4","1"
"2021","McCulloch","9-Midland","2","1","1"
"2021","McLennan","7-Austin","69","30","39"
"2021","Medina","8-San Antonio","17","8","9"
"2021","Midland","9-Midland","18","13","5"
"2021","Milam","7-Austin","9","5","4"
"2021","Mills","7-Austin","12","5","7"
"2021","Montague","2-Abilene","28","26","2"
"2021","Montgomery","6-Houston","147","90","57"
"2021","Morris","4-Tyler","9","8","1"
"2021","Nacogdoches","5-Beaumont","53","39","14"
"2021","Newton","5-Beaumont","7","6","1"
"2021","Nolan","2-Abilene","7","7","0"
"2021","Nueces","11-Edinburg","102","52","50"
"2021","Orange","5-Beaumont","27","11","16"
"2021","Palo Pinto","3-Arlington","23","10","13"
"2021","Panola","4-Tyler","5","5","0"
"2021","Parker","3-Arlington","26","14","12"
"2021","Pecos","9-Midland","7","7","0"
"2021","Polk","5-Beaumont","13","10","3"
"2021","Potter","1-Lubbock","6","4","2"
"2021","Randall","1-Lubbock","10","6","4"
"2021","Red River","4-Tyler","5","3","2"
"2021","Robertson","7-Austin","2","0","2"
"2021","Rockwall","3-Arlington","10","3","7"
"2021","Runnels","2-Abilene","6","6","0"
"2021","Rusk","4-Tyler","22","13","9"
"2021","Sabine","5-Beaumont","6","6","0"
"2021","San Augustine","5-Beaumont","6","1","5"
"2021","San Jacinto","5-Beaumont","6","6","0"
"2021","San Patricio","11-Edinburg","6","1","5"
"2021","San Saba","7-Austin","5","0","5"
"2021","Schleicher","9-Midland","3","3","0"
"2021","Scurry","2-Abilene","16","13","3"
"2021","Shelby","5-Beaumont","14","11","3"
"2021","Smith","4-Tyler","136","55","81"
"2021","Somervell","3-Arlington","1","1","0"
"2021","Starr","11-Edinburg","5","2","3"
"2021","Stephens","2-Abilene","4","4","0"
"2021","Sutton","9-Midland","2","1","1"
"2021","Tarrant","3-Arlington","246","155","91"
"2021","Taylor","2-Abilene","105","74","31"
"2021","Titus","4-Tyler","12","7","5"
"2021","Tom Green","9-Midland","46","27","19"
"2021","Travis","7-Austin","197","68","129"
"2021","Trinity","5-Beaumont","10","5","5"
"2021","Tyler","5-Beaumont","12","6","6"
"2021","Upshur","4-Tyler","30","21","9"
"2021","Uvalde","8-San Antonio","10","9","1"
"2021","Val Verde","8-San Antonio","5","4","1"
"2021","Van Zandt","4-Tyler","3","2","1"
"2021","Victoria","8-San Antonio","15","7","8"
"2021","Walker","6-Houston","25","23","2"
"2021","Waller","6-Houston","35","25","10"
"2021","Washington","7-Austin","11","5","6"
"2021","Webb","11-Edinburg","35","22","13"
"2021","Wharton","6-Houston","27","11","16"
"2021","Wheeler","1-Lubbock","1","0","1"
"2021","Wichita","2-Abilene","114","102","12"
"2021","Wilbarger","2-Abilene","3","3","0"
"2021","Willacy","11-Edinburg","14","14","0"
"2021","Williamson","7-Austin","89","24","65"
"2021","Wilson","8-San Antonio","11","9","2"
"2021","Wise","3-Arlington","10","6","4"
"2021","Wood","4-Tyler","1","1","0"
"2021","Young","2-Abilene","12","9","3"
"2021","Zapata","11-Edinburg","13","7","6"
"2021","Zavala","8-San Antonio","6","5","1"
"2020","Anderson","4-Tyler","32","17","15"
"2020","Andrews","9-Midland","2","2","0"
"2020","Angelina","5-Beaumont","45","25","20"
"2020","Aransas","11-Edinburg","3","1","2"
"2020","Atascosa","8-San Antonio","12","12","0"
"2020","Austin","6-Houston","8","3","5"
"2020","Bailey","1-Lubbock","1","1","0"
"2020","Bandera","8-San Antonio","7","3","4"
"2020","Bastrop","7-Austin","12","5","7"
"2020","Bee","11-Edinburg","10","9","1"
"2020","Bell","7-Austin","184","45","139"
"2020","Bexar","8-San Antonio","554","333","221"
"2020","Blanco","7-Austin","8","3","5"
"2020","Bosque","7-Austin","3","1","2"
"2020","Bowie","4-Tyler","7","3","4"
"2020","Brazoria","6-Houston","39","26","13"
"2020","Brazos","7-Austin","18","9","9"
"2020","Brown","2-Abilene","29","19","10"
"2020","Burleson","7-Austin","6","4","2"
"2020","Burnet","7-Austin","25","5","20"
"2020","Caldwell","7-Austin","6","6","0"
"2020","Calhoun","8-San Antonio","9","3","6"
"2020","Callahan","2-Abilene","3","3","0"
"2020","Cameron","11-Edinburg","127","93","34"
"2020","Camp","4-Tyler","8","3","5"
"2020","Cass","4-Tyler","6","3","3"
"2020","Chambers","6-Houston","11","10","1"
"2020","Cherokee","4-Tyler","7","6","1"
"2020","Coleman","2-Abilene","13","7","6"
"2020","Collin","3-Arlington","108","68","40"
"2020","Colorado","6-Houston","1","1","0"
"2020","Comal","8-San Antonio","67","51","16"
"2020","Comanche","2-Abilene","7","5","2"
"2020","Cooke","3-Arlington","15","10","5"
"2020","Coryell","7-Austin","30","22","8"
"2020","Crockett","9-Midland","2","2","0"
"2020","Dallas","3-Arlington","1213","824","389"
"2020","Dawson","9-Midland","1","1","0"
"2020","DeWitt","8-San Antonio","3","3","0"
"2020","Denton","3-Arlington","50","32","18"
"2020","Dimmit","8-San Antonio","3","0","3"
"2020","Eastland","2-Abilene","9","8","1"
"2020","Ector","9-Midland","18","15","3"
"2020","Edwards","8-San Antonio","3","0","3"
"2020","El Paso","10-El Paso","57","45","12"
"2020","Erath","3-Arlington","1","0","1"
"2020","Falls","7-Austin","7","2","5"
"2020","Fannin","3-Arlington","17","16","1"
"2020","Fayette","7-Austin","8","0","8"
"2020","Foard","2-Abilene","3","0","3"
"2020","Fort Bend","6-Houston","71","41","30"
"2020","Franklin","4-Tyler","5","5","0"
"2020","Freestone","7-Austin","3","1","2"
"2020","Frio","8-San Antonio","7","7","0"
"2020","Galveston","6-Houston","65","44","21"
"2020","Gillespie","8-San Antonio","9","4","5"
"2020","Gonzales","8-San Antonio","8","4","4"
"2020","Gray","1-Lubbock","5","5","0"
"2020","Grayson","3-Arlington","37","33","4"
"2020","Gregg","4-Tyler","46","29","17"
"2020","Grimes","7-Austin","1","0","1"
"2020","Guadalupe","8-San Antonio","49","30","19"
"2020","Hale","1-Lubbock","3","3","0"
"2020","Hall","1-Lubbock","3","3","0"
"2020","Hamilton","7-Austin","6","0","6"
"2020","Hardeman","2-Abilene","5","5","0"
"2020","Hardin","5-Beaumont","4","3","1"
"2020","Harris","6-Houston","529","376","153"
"2020","Harrison","4-Tyler","28","24","4"
"2020","Haskell","2-Abilene","4","4","0"
"2020","Hays","7-Austin","28","8","20"
"2020","Hemphill","1-Lubbock","1","1","0"
"2020","Henderson","4-Tyler","28","11","17"
"2020","Hidalgo","11-Edinburg","109","87","22"
"2020","Hill","7-Austin","6","0","6"
"2020","Hockley","1-Lubbock","3","3","0"
"2020","Hood","3-Arlington","19","12","7"
"2020","Hopkins","4-Tyler","3","3","0"
"2020","Houston","5-Beaumont","17","10","7"
"2020","Howard","9-Midland","8","6","2"
"2020","Hunt","3-Arlington","22","13","9"
"2020","Irion","9-Midland","1","1","0"
"2020","Jack","2-Abilene","7","3","4"
"2020","Jackson","8-San Antonio","2","2","0"
"2020","Jasper","5-Beaumont","17","11","6"
"2020","Jefferson","5-Beaumont","36","23","13"
"2020","Jim Wells","11-Edinburg","18","8","10"
"2020","Johnson","3-Arlington","9","3","6"
"2020","Jones","2-Abilene","1","1","0"
"2020","Karnes","8-San Antonio","3","2","1"
"2020","Kendall","8-San Antonio","3","1","2"
"2020","Kerr","8-San Antonio","11","4","7"
"2020","Kimble","9-Midland","1","1","0"
"2020","Kleberg","11-Edinburg","11","10","1"
"2020","La Salle","8-San Antonio","1","0","1"
"2020","Lamar","4-Tyler","19","7","12"
"2020","Lamb","1-Lubbock","3","3","0"
"2020","Lampasas","7-Austin","4","1","3"
"2020","Lavaca","8-San Antonio","6","4","2"
"2020","Lee","7-Austin","10","7","3"
"2020","Liberty","6-Houston","67","50","17"
"2020","Limestone","7-Austin","5","5","0"
"2020","Live Oak","11-Edinburg","2","0","2"
"2020","Llano","7-Austin","10","2","8"
"2020","Lubbock","1-Lubbock","35","29","6"
"2020","Madison","7-Austin","1","0","1"
"2020","Marion","4-Tyler","3","3","0"
"2020","Matagorda","6-Houston","17","10","7"
"2020","Maverick","8-San Antonio","5","4","1"
"2020","McCulloch","9-Midland","2","1","1"
"2020","McLennan","7-Austin","41","20","21"
"2020","Medina","8-San Antonio","18","9","9"
"2020","Midland","9-Midland","20","16","4"
"2020","Milam","7-Austin","8","5","3"
"2020","Mills","7-Austin","12","5","7"
"2020","Montague","2-Abilene","28","26","2"
"2020","Montgomery","6-Houston","137","84","53"
"2020","Morris","4-Tyler","9","8","1"
"2020","Nacogdoches","5-Beaumont","45","31","14"
"2020","Newton","5-Beaumont","7","6","1"
"2020","Nolan","2-Abilene","6","6","0"
"2020","Nueces","11-Edinburg","107","52","55"
"2020","Orange","5-Beaumont","24","8","16"
"2020","Palo Pinto","3-Arlington","20","10","10"
"2020","Panola","4-Tyler","4","4","0"
"2020","Parker","3-Arlington","21","12","9"
"2020","Pecos","9-Midland","6","6","0"
"2020","Polk","5-Beaumont","13","10","3"
"2020","Potter","1-Lubbock","8","6","2"
"2020","Randall","1-Lubbock","17","10","7"
"2020","Red River","4-Tyler","5","3","2"
"2020","Rockwall","3-Arlington","8","2","6"
"2020","Runnels","2-Abilene","5","5","0"
"2020","Rusk","4-Tyler","20","11","9"
"2020","Sabine","5-Beaumont","6","6","0"
"2020","San Augustine","5-Beaumont","6","1","5"
"2020","San Jacinto","5-Beaumont","6","6","0"
"2020","San Patricio","11-Edinburg","2","0","2"
"2020","San Saba","7-Austin","5","0","5"
"2020","Schleicher","9-Midland","2","2","0"
"2020","Scurry","2-Abilene","16","13","3"
"2020","Shelby","5-Beaumont","14","11","3"
"2020","Smith","4-Tyler","132","50","82"
"2020","Somervell","3-Arlington","1","1","0"
"2020","Starr","11-Edinburg","3","0","3"
"2020","Stephens","2-Abilene","4","4","0"
"2020","Sutton","9-Midland","1","0","1"
"2020","Tarrant","3-Arlington","230","147","83"
"2020","Taylor","2-Abilene","96","72","24"
"2020","Titus","4-Tyler","9","7","2"
"2020","Tom Green","9-Midland","46","27","19"
"2020","Travis","7-Austin","187","71","116"
"2020","Trinity","5-Beaumont","7","4","3"
"2020","Tyler","5-Beaumont","7","0","7"
"2020","Upshur","4-Tyler","29","22","7"
"2020","Uvalde","8-San Antonio","9","9","0"
"2020","Val Verde","8-San Antonio","5","4","1"
"2020","Van Zandt","4-Tyler","3","2","1"
"2020","Victoria","8-San Antonio","13","7","6"
"2020","Walker","6-Houston","21","20","1"
"2020","Waller","6-Houston","31","21","10"
"2020","Washington","7-Austin","8","4","4"
"2020","Webb","11-Edinburg","36","23","13"
"2020","Wharton","6-Houston","24","10","14"
"2020","Wheeler","1-Lubbock","1","0","1"
"2020","Wichita","2-Abilene","113","101","12"
"2020","Wilbarger","2-Abilene","3","3","0"
"2020","Willacy","11-Edinburg","15","15","0"
"2020","Williamson","7-Austin","83","27","56"
"2020","Wilson","8-San Antonio","11","10","1"
"2020","Wise","3-Arlington","11","7","4"
"2020","Wood","4-Tyler","3","2","1"
"2020","Young","2-Abilene","13","9","4"
"2020","Zapata","11-Edinburg","14","7","7"
"2020","Zavala","8-San Antonio","6","5","1"
"2019","Anderson","4-Tyler","28","14","14"
"2019","Andrews","9-Midland","2","2","0"
"2019","Angelina","5-Beaumont","42","22","20"
"2019","Aransas","11-Edinburg","3","1","2"
"2019","Atascosa","8-San Antonio","11","11","0"
"2019","Austin","6-Houston","7","3","4"
"2019","Bailey","1-Lubbock","1","1","0"
"2019","Bandera","8-San Antonio","7","3","4"
"2019","Bastrop","7-Austin","13","5","8"
"2019","Bee","11-Edinburg","9","8","1"
"2019","Bell","7-Austin","153","43","110"
"2019","Bexar","8-San Antonio","488","292","196"
"2019","Blanco","7-Austin","7","3","4"
"2019","Bosque","7-Austin","3","1","2"
"2019","Bowie","4-Tyler","7","3","4"
"2019","Brazoria","6-Houston","38","23","15"
"2019","Brazos","7-Austin","18","9","9"
"2019","Brown","2-Abilene","31","21","10"
"2019","Burleson","7-Austin","5","4","1"
"2019","Burnet","7-Austin","15","5","10"
"2019","Caldwell","7-Austin","11","9","2"
"2019","Calhoun","8-San Antonio","5","3","2"
"2019","Cameron","11-Edinburg","116","87","29"
"2019","Camp","4-Tyler","3","3","0"
"2019","Cass","4-Tyler","5","2","3"
"2019","Chambers","6-Houston","11","10","1"
"2019","Cherokee","4-Tyler","6","5","1"
"2019","Coleman","2-Abilene","7","5","2"
"2019","Collin","3-Arlington","85","53","32"
"2019","Colorado","6-Houston","1","1","0"
"2019","Comal","8-San Antonio","59","45","14"
"2019","Comanche","2-Abilene","8","5","3"
"2019","Cooke","3-Arlington","15","10","5"
"2019","Coryell","7-Austin","34","27","7"
"2019","Crockett","9-Midland","2","2","0"
"2019","Dallas","3-Arlington","1007","711","296"
"2019","DeWitt","8-San Antonio","2","2","0"
"2019","Denton","3-Arlington","47","31","16"
"2019","Dimmit","8-San Antonio","3","0","3"
"2019","Eastland","2-Abilene","10","9","1"
"2019","Ector","9-Midland","19","16","3"
"2019","Edwards","8-San Antonio","2","0","2"
"2019","El Paso","10-El Paso","49","38","11"
"2019","Erath","3-Arlington","1","0","1"
"2019","Falls","7-Austin","5","0","5"
"2019","Fannin","3-Arlington","16","16","0"
"2019","Fayette","7-Austin","5","0","5"
"2019","Foard","2-Abilene","3","0","3"
"2019","Fort Bend","6-Houston","59","32","27"
"2019","Franklin","4-Tyler","5","5","0"
"2019","Frio","8-San Antonio","7","7","0"
"2019","Galveston","6-Houston","51","38","13"
"2019","Gillespie","8-San Antonio","8","3","5"
"2019","Gonzales","8-San Antonio","4","0","4"
"2019","Gray","1-Lubbock","5","5","0"
"2019","Grayson","3-Arlington","28","24","4"
"2019","Gregg","4-Tyler","38","22","16"
"2019","Grimes","7-Austin","1","0","1"
"2019","Guadalupe","8-San Antonio","43","30","13"
"2019","Hale","1-Lubbock","3","3","0"
"2019","Hall","1-Lubbock","3","3","0"
"2019","Hamilton","7-Austin","6","0","6"
"2019","Hardeman","2-Abilene","5","5","0"
"2019","Hardin","5-Beaumont","3","2","1"
"2019","Harris","6-Houston","473","341","132"
"2019","Harrison","4-Tyler","27","23","4"
"2019","Haskell","2-Abilene","4","4","0"
"2019","Hays","7-Austin","16","3","13"
"2019","Hemphill","1-Lubbock","1","1","0"
"2019","Henderson","4-Tyler","23","8","15"
"2019","Hidalgo","11-Edinburg","95","70","25"
"2019","Hill","7-Austin","6","0","6"
"2019","Hood","3-Arlington","18","11","7"
"2019","Hopkins","4-Tyler","3","3","0"
"2019","Houston","5-Beaumont","18","12","6"
"2019","Howard","9-Midland","10","8","2"
"2019","Hunt","3-Arlington","20","12","8"
"2019","Irion","9-Midland","1","1","0"
"2019","Jack","2-Abilene","5","4","1"
"2019","Jackson","8-San Antonio","2","2","0"
"2019","Jasper","5-Beaumont","17","11","6"
"2019","Jefferson","5-Beaumont","36","23","13"
"2019","Jim Wells","11-Edinburg","17","7","10"
"2019","Johnson","3-Arlington","8","4","4"
"2019","Jones","2-Abilene","2","1","1"
"2019","Karnes","8-San Antonio","2","2","0"
"2019","Kaufman","3-Arlington","1","1","0"
"2019","Kendall","8-San Antonio","3","1","2"
"2019","Kerr","8-San Antonio","12","4","8"
"2019","Kimble","9-Midland","1","1","0"
"2019","Kleberg","11-Edinburg","11","10","1"
"2019","La Salle","8-San Antonio","1","0","1"
"2019","Lamar","4-Tyler","20","7","13"
"2019","Lamb","1-Lubbock","3","3","0"
"2019","Lampasas","7-Austin","4","1","3"
"2019","Lavaca","8-San Antonio","7","4","3"
"2019","Lee","7-Austin","7","7","0"
"2019","Liberty","6-Houston","59","44","15"
"2019","Limestone","7-Austin","6","6","0"
"2019","Live Oak","11-Edinburg","2","0","2"
"2019","Llano","7-Austin","10","2","8"
"2019","Lubbock","1-Lubbock","31","25","6"
"2019","Madison","7-Austin","1","0","1"
"2019","Marion","4-Tyler","3","3","0"
"2019","Matagorda","6-Houston","10","8","2"
"2019","Maverick","8-San Antonio","1","0","1"
"2019","McCulloch","9-Midland","1","1","0"
"2019","McLennan","7-Austin","32","18","14"
"2019","Medina","8-San Antonio","17","10","7"
"2019","Midland","9-Midland","21","17","4"
"2019","Milam","7-Austin","8","5","3"
"2019","Mills","7-Austin","11","6","5"
"2019","Mitchell","2-Abilene","1","1","0"
"2019","Montague","2-Abilene","29","27","2"
"2019","Montgomery","6-Houston","129","82","47"
"2019","Morris","4-Tyler","6","5","1"
"2019","Nacogdoches","5-Beaumont","37","23","14"
"2019","Newton","5-Beaumont","8","7","1"
"2019","Nolan","2-Abilene","6","6","0"
"2019","Nueces","11-Edinburg","109","56","53"
"2019","Orange","5-Beaumont","22","7","15"
"2019","Palo Pinto","3-Arlington","23","11","12"
"2019","Panola","4-Tyler","4","4","0"
"2019","Parker","3-Arlington","21","12","9"
"2019","Pecos","9-Midland","7","7","0"
"2019","Polk","5-Beaumont","13","10","3"
"2019","Potter","1-Lubbock","9","7","2"
"2019","Randall","1-Lubbock","18","11","7"
"2019","Red River","4-Tyler","4","3","1"
"2019","Rockwall","3-Arlington","9","3","6"
"2019","Runnels","2-Abilene","5","5","0"
"2019","Rusk","4-Tyler","16","11","5"
"2019","Sabine","5-Beaumont","6","6","0"
"2019","San Augustine","5-Beaumont","6","1","5"
"2019","San Jacinto","5-Beaumont","6","6","0"
"2019","San Saba","7-Austin","5","0","5"
"2019","Schleicher","9-Midland","2","2","0"
"2019","Scurry","2-Abilene","16","13","3"
"2019","Shelby","5-Beaumont","14","11","3"
"2019","Smith","4-Tyler","126","48","78"
"2019","Somervell","3-Arlington","1","1","0"
"2019","Starr","11-Edinburg","4","0","4"
"2019","Stephens","2-Abilene","4","4","0"
"2019","Sutton","9-Midland","1","0","1"
"2019","Tarrant","3-Arlington","216","142","74"
"2019","Taylor","2-Abilene","69","57","12"
"2019","Titus","4-Tyler","8","7","1"
"2019","Tom Green","9-Midland","47","30","17"
"2019","Travis","7-Austin","157","65","92"
"2019","Trinity","5-Beaumont","8","4","4"
"2019","Tyler","5-Beaumont","3","0","3"
"2019","Upshur","4-Tyler","21","15","6"
"2019","Uvalde","8-San Antonio","9","9","0"
"2019","Val Verde","8-San Antonio","3","2","1"
"2019","Van Zandt","4-Tyler","3","2","1"
"2019","Victoria","8-San Antonio","12","7","5"
"2019","Walker","6-Houston","14","13","1"
"2019","Waller","6-Houston","23","18","5"
"2019","Washington","7-Austin","8","5","3"
"2019","Webb","11-Edinburg","36","22","14"
"2019","Wharton","6-Houston","24","11","13"
"2019","Wheeler","1-Lubbock","1","0","1"
"2019","Wichita","2-Abilene","111","98","13"
"2019","Wilbarger","2-Abilene","3","3","0"
"2019","Willacy","11-Edinburg","15","15","0"
"2019","Williamson","7-Austin","72","30","42"
"2019","Wilson","8-San Antonio","8","7","1"
"2019","Wise","3-Arlington","12","8","4"
"2019","Wood","4-Tyler","3","2","1"
"2019","Young","2-Abilene","12","8","4"
"2019","Zapata","11-Edinburg","14","7","7"
"2019","Zavala","8-San Antonio","1","0","1"
"2018","Anderson","4-Tyler","27","14","13"
"2018","Andrews","9-Midland","2","2","0"
"2018","Angelina","5-Beaumont","39","20","19"
"2018","Aransas","11-Edinburg","3","1","2"
"2018","Atascosa","8-San Antonio","4","4","0"
"2018","Austin","6-Houston","7","3","4"
"2018","Bandera","8-San Antonio","4","1","3"
"2018","Bastrop","7-Austin","17","9","8"
"2018","Bee","11-Edinburg","9","8","1"
"2018","Bell","7-Austin","134","40","94"
"2018","Bexar","8-San Antonio","411","236","175"
"2018","Bosque","7-Austin","3","1","2"
"2018","Bowie","4-Tyler","6","3","3"
"2018","Brazoria","6-Houston","36","19","17"
"2018","Brazos","7-Austin","18","9","9"
"2018","Brown","2-Abilene","24","17","7"
"2018","Burleson","7-Austin","4","3","1"
"2018","Burnet","7-Austin","9","5","4"
"2018","Caldwell","7-Austin","11","9","2"
"2018","Calhoun","8-San Antonio","5","3","2"
"2018","Callahan","2-Abilene","3","3","0"
"2018","Cameron","11-Edinburg","89","63","26"
"2018","Camp","4-Tyler","3","3","0"
"2018","Cass","4-Tyler","5","2","3"
"2018","Chambers","6-Houston","5","4","1"
"2018","Cherokee","4-Tyler","6","5","1"
"2018","Coleman","2-Abilene","4","2","2"
"2018","Collin","3-Arlington","69","41","28"
"2018","Colorado","6-Houston","1","1","0"
"2018","Comal","8-San Antonio","36","26","10"
"2018","Comanche","2-Abilene","9","6","3"
"2018","Cooke","3-Arlington","14","9","5"
"2018","Coryell","7-Austin","33","28","5"
"2018","Crockett","9-Midland","2","2","0"
"2018","Dallas","3-Arlington","899","648","251"
"2018","Dawson","9-Midland","1","1","0"
"2018","Denton","3-Arlington","36","23","13"
"2018","Dimmit","8-San Antonio","3","0","3"
"2018","Eastland","2-Abilene","11","10","1"
"2018","Ector","9-Midland","13","10","3"
"2018","Edwards","8-San Antonio","2","0","2"
"2018","El Paso","10-El Paso","47","36","11"
"2018","Falls","7-Austin","5","0","5"
"2018","Fannin","3-Arlington","12","12","0"
"2018","Fayette","7-Austin","3","0","3"
"2018","Fort Bend","6-Houston","53","30","23"
"2018","Franklin","4-Tyler","5","5","0"
"2018","Frio","8-San Antonio","4","4","0"
"2018","Galveston","6-Houston","45","32","13"
"2018","Gillespie","8-San Antonio","7","2","5"
"2018","Goliad","8-San Antonio","1","0","1"
"2018","Gonzales","8-San Antonio","4","0","4"
"2018","Gray","1-Lubbock","5","5","0"
"2018","Grayson","3-Arlington","24","19","5"
"2018","Gregg","4-Tyler","33","20","13"
"2018","Grimes","7-Austin","1","0","1"
"2018","Guadalupe","8-San Antonio","22","12","10"
"2018","Hale","1-Lubbock","3","3","0"
"2018","Hall","1-Lubbock","3","3","0"
"2018","Hamilton","7-Austin","6","0","6"
"2018","Hardeman","2-Abilene","5","5","0"
"2018","Hardin","5-Beaumont","3","2","1"
"2018","Harris","6-Houston","435","320","115"
"2018","Harrison","4-Tyler","18","14","4"
"2018","Haskell","2-Abilene","4","4","0"
"2018","Hays","7-Austin","9","4","5"
"2018","Hemphill","1-Lubbock","1","1","0"
"2018","Henderson","4-Tyler","20","11","9"
"2018","Hidalgo","11-Edinburg","87","62","25"
"2018","Hill","7-Austin","6","0","6"
"2018","Hood","3-Arlington","13","7","6"
"2018","Hopkins","4-Tyler","4","4","0"
"2018","Houston","5-Beaumont","15","10","5"
"2018","Howard","9-Midland","10","8","2"
"2018","Hunt","3-Arlington","19","12","7"
"2018","Irion","9-Midland","1","1","0"
"2018","Jack","2-Abilene","3","2","1"
"2018","Jackson","8-San Antonio","2","2","0"
"2018","Jasper","5-Beaumont","11","9","2"
