"fiscal_year","county","region","average_monthly_fte_s_in_paid_foster_care","average_monthly_number_of","average_monthly_children_state_paid_foster_care","average_monthly_children_title_iv_e_foster_care"
"2021","Comal","8-San Antonio","118.72","128.67","70.75","57.92"
"2021","Comanche","2-Abilene","13.93","14.75","6.50","8.25"
"2021","Concho","9-Midland","0.33","0.33","0.00","0.33"
"2021","Cooke","3-Arlington","44.43","49.50","21.67","27.83"
"2021","Coryell","7-Austin","77.29","91.00","75.00","16.00"
"2021","Cottle","2-Abilene","0.76","1.00","0.00","1.00"
"2021","Crane","9-Midland","0.07","0.17","0.00","0.17"
"2021","Crockett","9-Midland","1.04","1.08","0.92","0.17"
"2021","Crosby","1-Lubbock","10.42","12.00","9.17","2.83"
"2021","Dallam","1-Lubbock","28.94","31.00","20.00","11.00"
"2021","Dallas","3-Arlington","1218.70","1349.25","657.25","692.75"
"2021","Dawson","9-Midland","10.22","11.08","7.08","4.00"
"2021","Deaf Smith","1-Lubbock","15.81","18.25","3.58","14.75"
"2021","Delta","4-Tyler","1.99","2.33","2.33","0.00"
"2021","Denton","3-Arlington","297.15","330.50","193.50","137.17"
"2021","DeWitt","8-San Antonio","17.95","20.25","10.25","10.00"
"2021","Dickens","1-Lubbock","0.14","0.17","0.17","0.00"
"2021","Dimmit","8-San Antonio","10.51","12.00","3.25","8.75"
"2021","Donley","1-Lubbock","5.65","6.08","3.17","2.92"
"2021","Duval","11-Edinburg","20.19","21.58","6.17","15.58"
"2021","Eastland","2-Abilene","20.23","22.83","11.67","11.17"
"2021","Ector","9-Midland","103.42","117.17","71.50","45.67"
"2021","Ellis","3-Arlington","29.78","32.17","21.75","10.42"
"2021","El Paso","10-El Paso","235.42","267.58","79.08","188.75"
"2021","Erath","3-Arlington","17.85","20.75","12.00","8.75"
"2021","Falls","7-Austin","30.42","33.00","27.08","5.92"
"2021","Fannin","3-Arlington","38.20","41.58","24.83","16.83"
"2021","Fayette","7-Austin","14.75","16.92","15.42","1.50"
"2021","Fisher","2-Abilene","1.66","2.00","1.75","0.25"
"2021","Floyd","1-Lubbock","2.77","3.00","0.00","3.00"
"2021","Foard","2-Abilene","3.68","3.67","0.67","3.00"
"2021","Fort Bend","6-Houston","72.93","81.00","45.67","35.33"
"2021","Franklin","4-Tyler","8.66","10.42","3.42","7.00"
"2021","Freestone","7-Austin","20.06","22.42","19.50","2.92"
"2021","Frio","8-San Antonio","40.73","47.17","17.58","29.58"
"2021","Gaines","9-Midland","6.54","7.25","4.00","3.25"
"2021","Galveston","6-Houston","159.28","178.50","85.75","92.92"
"2021","Garza","1-Lubbock","3.15","3.83","1.58","2.25"
"2021","Gillespie","8-San Antonio","10.08","11.67","8.83","2.83"
"2021","Goliad","8-San Antonio","1.15","1.75","0.83","0.92"
"2021","Gonzales","8-San Antonio","10.31","10.83","2.92","7.92"
"2021","Gray","1-Lubbock","46.10","51.25","23.42","27.83"
"2021","Grayson","3-Arlington","92.89","101.75","49.00","53.17"
"2021","Gregg","4-Tyler","128.98","143.50","79.92","63.75"
"2021","Grimes","7-Austin","13.93","16.33","13.92","2.42"
"2021","Guadalupe","8-San Antonio","45.64","50.08","28.83","21.25"
"2021","Hale","1-Lubbock","26.19","30.00","10.92","19.08"
"2021","Hall","1-Lubbock","5.45","6.42","2.67","3.75"
"2021","Hamilton","7-Austin","4.65","5.17","3.83","1.33"
"2021","Hansford","1-Lubbock","1.44","1.58","0.50","1.08"
"2021","Hardeman","2-Abilene","1.50","1.67","0.00","1.67"
"2021","Hardin","5-Beaumont","38.19","42.92","20.25","22.67"
"2021","Harris","6-Houston","1585.47","1749.33","959.75","790.25"
"2021","Harrison","4-Tyler","46.51","52.17","23.25","30.25"
"2021","Hartley","1-Lubbock","2.80","3.50","2.75","0.75"
"2021","Haskell","2-Abilene","10.78","11.67","3.33","8.33"
"2021","Hays","7-Austin","135.60","152.92","126.25","26.67"
"2021","Henderson","4-Tyler","108.04","121.83","55.33","66.58"
"2021","Hidalgo","11-Edinburg","188.22","217.92","101.00","117.33"
"2021","Hill","7-Austin","39.79","47.08","36.50","10.75"
"2021","Hockley","1-Lubbock","33.17","36.50","15.83","20.67"
"2021","Hood","3-Arlington","48.86","55.17","39.75","15.42"
"2021","Hopkins","4-Tyler","38.10","41.50","27.75","13.92"
"2021","Houston","5-Beaumont","15.95","18.33","12.00","6.33"
"2021","Howard","9-Midland","27.30","30.75","10.58","20.17"
"2021","Hunt","3-Arlington","82.65","93.42","50.58","43.25"
"2021","Hutchinson","1-Lubbock","35.69","41.25","21.42","19.83"
"2021","Irion","9-Midland","4.00","4.00","4.00","0.00"
"2021","Jack","2-Abilene","7.18","7.83","4.83","3.00"
"2021","Jackson","8-San Antonio","11.49","13.00","4.75","8.25"
"2021","Jasper","5-Beaumont","36.08","40.33","14.42","25.92"
"2021","Jeff Davis","10-El Paso","2.00","2.00","2.00","0.00"
"2021","Jefferson","5-Beaumont","173.34","195.75","92.58","103.25"
"2021","Jim Hogg","11-Edinburg","6.71","7.50","0.67","6.83"
"2021","Jim Wells","11-Edinburg","27.20","33.58","18.00","15.58"
"2021","Johnson","3-Arlington","113.24","127.67","85.83","42.08"
"2021","Jones","2-Abilene","20.23","22.58","6.25","16.33"
"2021","Karnes","8-San Antonio","28.01","28.83","12.42","16.42"
"2021","Kaufman","3-Arlington","57.47","63.58","29.17","34.50"
"2021","Kendall","8-San Antonio","8.47","9.75","5.92","3.83"
"2021","Kerr","8-San Antonio","26.81","31.00","19.67","11.33"
"2021","Kimble","9-Midland","1.63","2.00","2.00","0.00"
"2021","Kinney","8-San Antonio","2.59","2.67","2.08","0.58"
"2021","Kleberg","11-Edinburg","24.56","26.67","9.25","17.75"
"2021","Knox","2-Abilene","0.57","0.58","0.00","0.58"
"2021","Lamar","4-Tyler","59.04","66.25","37.50","28.83"
"2021","Lamb","1-Lubbock","8.12","9.42","3.33","6.08"
"2021","Lampasas","7-Austin","21.94","24.83","17.67","7.17"
"2021","La Salle","8-San Antonio","6.31","7.25","2.75","4.50"
"2021","Lavaca","8-San Antonio","7.22","8.17","4.25","3.92"
"2021","Lee","7-Austin","15.56","17.50","15.08","2.42"
"2021","Leon","7-Austin","6.31","7.33","6.00","1.33"
"2021","Liberty","6-Houston","48.92","57.83","27.25","30.58"
"2021","Limestone","7-Austin","21.57","24.25","15.25","9.00"
"2021","Lipscomb","1-Lubbock","3.95","4.25","1.58","2.67"
"2021","Live Oak","11-Edinburg","3.42","4.08","0.00","4.08"
"2021","Llano","7-Austin","25.21","28.08","22.67","5.42"
"2021","Lubbock","1-Lubbock","380.61","430.58","244.00","186.58"
"2021","Lynn","1-Lubbock","4.39","5.42","1.83","3.58"
"2021","Madison","7-Austin","5.91","6.50","5.08","1.42"
"2021","Marion","4-Tyler","6.98","8.00","4.42","3.58"
"2021","Martin","9-Midland","1.44","1.50","0.92","0.58"
"2021","Mason","9-Midland","7.60","8.00","3.92","4.08"
"2021","Matagorda","6-Houston","32.03","35.67","15.42","20.25"
"2021","Maverick","8-San Antonio","15.07","17.00","4.08","12.92"
"2021","McCulloch","9-Midland","13.43","14.50","10.33","4.17"
"2021","McLennan","7-Austin","301.47","340.33","202.50","137.83"
"2021","Medina","8-San Antonio","54.65","59.42","28.25","31.17"
"2021","Menard","9-Midland","2.68","2.92","0.50","2.42"
"2021","Midland","9-Midland","54.97","62.58","38.83","23.83"
"2021","Milam","7-Austin","36.86","41.33","30.08","11.25"
"2021","Mills","7-Austin","7.63","7.92","6.83","1.08"
"2021","Mitchell","2-Abilene","8.35","9.17","3.25","5.92"
"2021","Montague","2-Abilene","25.24","28.17","12.33","15.83"
"2021","Montgomery","6-Houston","212.53","238.50","125.92","112.67"
"2021","Moore","1-Lubbock","33.01","37.17","18.17","19.00"
"2021","Morris","4-Tyler","10.06","11.25","5.83","5.42"
"2021","Nacogdoches","5-Beaumont","86.43","96.50","31.67","65.00"
"2021","Navarro","3-Arlington","34.46","36.67","11.67","25.00"
"2021","Newton","5-Beaumont","4.67","6.08","4.17","1.92"
"2021","Nolan","2-Abilene","30.48","35.25","17.42","17.83"
"2021","Nueces","11-Edinburg","206.83","239.17","165.08","76.33"
"2021","Ochiltree","1-Lubbock","4.13","4.58","1.00","3.58"
"2021","Oldham","1-Lubbock","1.66","1.67","0.83","0.83"
"2021","Orange","5-Beaumont","92.16","102.08","47.25","54.83"
"2021","Palo Pinto","3-Arlington","62.66","69.58","32.25","37.58"
"2021","Panola","4-Tyler","31.71","34.75","13.75","21.00"
"2021","Parker","3-Arlington","100.16","110.50","70.50","40.17"
"2021","Parmer","1-Lubbock","5.53","5.75","4.33","1.42"
"2021","Pecos","9-Midland","16.67","18.00","11.25","6.75"
"2021","Polk","5-Beaumont","37.41","41.42","18.67","22.75"
"2021","Potter","1-Lubbock","252.10","279.42","129.50","150.08"
"2021","Rains","4-Tyler","22.00","24.08","8.92","15.17"
"2021","Randall","1-Lubbock","98.56","111.25","58.00","53.25"
"2021","Reagan","9-Midland","1.73","1.75","1.00","0.75"
"2021","Real","8-San Antonio","5.37","6.08","3.92","2.17"
"2021","Red River","4-Tyler","8.09","8.75","5.25","3.50"
"2021","Reeves","9-Midland","7.97","9.25","4.50","4.75"
"2021","Refugio","11-Edinburg","2.73","3.58","3.08","0.50"
"2021","Robertson","7-Austin","16.06","18.17","12.75","5.42"
"2021","Rockwall","3-Arlington","21.08","25.08","13.92","11.17"
"2021","Runnels","2-Abilene","7.21","7.83","3.00","4.83"
"2021","Rusk","4-Tyler","34.77","39.92","15.25","24.67"
"2021","Sabine","5-Beaumont","6.90","8.75","6.17","2.58"
"2021","San Augustine","5-Beaumont","3.16","3.92","1.08","2.83"
"2021","San Jacinto","5-Beaumont","20.32","21.67","8.25","13.42"
"2021","San Patricio","11-Edinburg","41.91","45.25","26.17","19.25"
"2021","San Saba","7-Austin","4.31","4.92","3.17","1.75"
"2021","Schleicher","9-Midland","0.64","0.75","0.25","0.50"
"2021","Scurry","2-Abilene","24.97","28.50","16.50","12.00"
"2021","Shackelford","2-Abilene","0.52","0.92","0.67","0.25"
"2021","Shelby","5-Beaumont","19.24","20.00","11.25","8.83"
"2021","Sherman","1-Lubbock","1.58","1.75","0.83","0.92"
"2021","Smith","4-Tyler","128.07","148.25","100.33","48.08"
"2021","Somervell","3-Arlington","9.79","11.67","5.50","6.17"
"2021","Starr","11-Edinburg","12.19","13.42","5.00","8.42"
"2021","Stephens","2-Abilene","7.40","7.83","0.17","7.83"
"2021","Stonewall","2-Abilene","0.63","0.67","0.67","0.00"
"2021","Sutton","9-Midland","6.93","7.42","0.00","7.42"
"2021","Swisher","1-Lubbock","4.92","5.50","2.33","3.17"
"2021","Tarrant","3-Arlington","955.50","1057.58","590.83","467.25"
"2021","Taylor","2-Abilene","241.99","271.33","156.08","115.50"
"2021","Terry","1-Lubbock","16.02","17.67","11.00","6.67"
"2021","Throckmorton","2-Abilene","1.56","1.92","1.92","0.00"
"2021","Titus","4-Tyler","24.69","28.08","15.08","13.00"
"2021","Tom Green","9-Midland","143.39","161.33","93.17","68.17"
"2021","Travis","7-Austin","480.84","535.92","430.67","105.33"
"2021","Trinity","5-Beaumont","9.59","12.00","9.92","2.08"
"2021","Tyler","5-Beaumont","19.45","22.75","10.83","11.92"
"2021","Upshur","4-Tyler","44.87","51.42","31.08","20.42"
"2021","Upton","9-Midland","1.04","1.25","0.25","1.00"
"2021","Uvalde","8-San Antonio","25.45","28.33","14.92","13.42"
"2021","Val Verde","8-San Antonio","24.74","26.83","13.92","12.92"
"2021","Van Zandt","4-Tyler","82.54","91.50","53.25","38.33"
"2021","Victoria","8-San Antonio","89.21","96.00","41.17","54.83"
"2021","Walker","6-Houston","21.10","23.00","12.58","10.42"
"2021","Waller","6-Houston","20.87","22.58","10.67","11.92"
"2021","Ward","9-Midland","23.86","25.75","9.50","16.25"
"2021","Washington","7-Austin","15.36","17.50","8.92","8.58"
"2021","Webb","11-Edinburg","156.88","174.17","92.25","83.00"
"2021","Wharton","6-Houston","12.95","14.58","6.42","8.17"
"2021","Wheeler","1-Lubbock","4.23","4.50","2.42","2.08"
"2021","Wichita","2-Abilene","160.29","181.08","79.50","101.58"
"2021","Wilbarger","2-Abilene","22.00","24.42","9.92","14.50"
"2021","Willacy","11-Edinburg","17.13","19.50","12.75","6.83"
"2021","Williamson","7-Austin","105.95","119.33","105.83","13.50"
"2021","Wilson","8-San Antonio","38.67","42.92","21.75","21.17"
"2021","Winkler","9-Midland","8.63","9.08","3.67","5.42"
"2021","Wise","3-Arlington","47.88","54.17","28.33","25.83"
"2021","Wood","4-Tyler","16.18","19.75","9.67","10.08"
"2021","Yoakum","1-Lubbock","2.81","3.00","0.50","2.50"
"2021","Young","2-Abilene","28.65","30.67","12.83","17.83"
"2021","Zapata","11-Edinburg","5.14","6.00","1.42","4.67"
"2021","Zavala","8-San Antonio","8.46","9.92","2.17","7.75"
"2021","Out of State","Out of State","0.45","0.50","0.25","0.25"
"2021","None Specified","None Specified","24.17","38.00","22.42","15.67"
"2020","Anderson","4-Tyler","81.88","93.08","55.83","37.58"
"2020","Andrews","9-Midland","15.93","17.75","15.42","2.33"
"2020","Angelina","5-Beaumont","70.21","78.58","40.92","37.67"
"2020","Aransas","11-Edinburg","32.13","36.50","20.42","16.17"
"2020","Archer","2-Abilene","4.03","4.58","0.25","4.33"
"2020","Atascosa","8-San Antonio","75.64","84.50","18.25","66.25"
"2020","Austin","6-Houston","6.72","7.92","4.08","3.92"
"2020","Bailey","1-Lubbock","24.77","27.58","12.42","15.17"
"2020","Bandera","8-San Antonio","25.80","28.83","23.17","5.67"
"2020","Bastrop","7-Austin","61.37","70.17","58.75","11.58"
"2020","Baylor","2-Abilene","1.43","1.67","0.33","1.33"
"2020","Bee","11-Edinburg","39.90","45.50","17.83","27.83"
"2020","Bell","7-Austin","417.05","484.83","372.17","112.75"
"2020","Bexar","8-San Antonio","1863.47","2072.83","881.67","1191.67"
"2020","Blanco","7-Austin","8.45","9.50","8.50","1.00"
"2020","Bosque","7-Austin","24.05","28.67","23.92","4.75"
"2020","Bowie","4-Tyler","51.69","60.17","32.25","27.92"
"2020","Brazoria","6-Houston","120.37","134.17","65.75","68.42"
"2020","Brazos","7-Austin","50.24","55.83","41.92","13.92"
"2020","Brewster","10-El Paso","0.05","0.17","0.17","0.00"
"2020","Briscoe","1-Lubbock","2.70","3.00","3.00","0.00"
"2020","Brooks","11-Edinburg","11.72","13.33","3.75","9.58"
"2020","Brown","2-Abilene","90.84","98.83","45.25","53.58"
"2020","Burleson","7-Austin","16.83","19.00","13.00","6.00"
"2020","Burnet","7-Austin","41.22","47.25","37.00","10.25"
"2020","Caldwell","7-Austin","30.95","35.17","26.58","8.58"
"2020","Calhoun","8-San Antonio","18.99","21.83","13.83","8.00"
"2020","Callahan","2-Abilene","9.92","10.42","6.75","3.67"
"2020","Cameron","11-Edinburg","200.12","230.33","100.33","131.17"
"2020","Camp","4-Tyler","13.07","14.58","9.25","5.33"
"2020","Carson","1-Lubbock","7.09","7.92","1.33","6.67"
"2020","Cass","4-Tyler","9.13","11.75","8.67","3.08"
"2020","Castro","1-Lubbock","7.46","8.25","0.50","7.75"
"2020","Chambers","6-Houston","11.91","13.00","6.25","6.75"
"2020","Cherokee","4-Tyler","66.79","75.75","34.83","41.00"
"2020","Childress","1-Lubbock","13.02","14.83","5.33","9.50"
"2020","Clay","2-Abilene","5.63","6.25","2.17","4.42"
"2020","Cochran","1-Lubbock","4.54","5.08","1.75","3.33"
"2020","Coke","9-Midland","6.31","6.67","0.75","6.00"
"2020","Coleman","2-Abilene","15.21","16.83","4.83","12.00"
"2020","Collin","3-Arlington","165.81","186.92","109.92","77.17"
"2020","Collingsworth","1-Lubbock","1.98","2.67","0.67","2.00"
"2020","Colorado","6-Houston","2.18","2.58","2.58","0.00"
"2020","Comal","8-San Antonio","100.93","112.25","61.83","50.42"
"2020","Comanche","2-Abilene","16.10","17.00","6.17","10.83"
"2020","Concho","9-Midland","1.78","2.67","2.67","0.00"
"2020","Cooke","3-Arlington","55.27","62.17","27.00","35.25"
"2020","Coryell","7-Austin","69.96","82.92","66.58","16.33"
"2020","Cottle","2-Abilene","1.16","1.25","0.00","1.25"
"2020","Crane","9-Midland","0.34","0.42","0.42","0.00"
"2020","Crockett","9-Midland","4.98","5.67","3.67","2.00"
"2020","Crosby","1-Lubbock","10.93","13.83","13.08","0.75"
"2020","Dallam","1-Lubbock","26.05","30.08","12.92","17.17"
"2020","Dallas","3-Arlington","1367.14","1527.08","748.50","780.42"
"2020","Dawson","9-Midland","12.53","13.92","6.00","8.00"
"2020","Deaf Smith","1-Lubbock","9.41","11.00","3.83","7.17"
"2020","Delta","4-Tyler","3.56","3.83","3.83","0.00"
"2020","Denton","3-Arlington","317.70","352.42","194.42","158.17"
"2020","DeWitt","8-San Antonio","19.30","22.08","11.58","10.50"
"2020","Dimmit","8-San Antonio","13.55","16.17","4.83","11.33"
"2020","Donley","1-Lubbock","7.83","8.58","2.75","5.83"
"2020","Duval","11-Edinburg","19.65","22.00","6.50","15.50"
"2020","Eastland","2-Abilene","13.59","14.92","9.25","5.75"
"2020","Ector","9-Midland","107.25","119.42","68.08","51.42"
"2020","Edwards","8-San Antonio","1.29","1.42","1.42","0.00"
"2020","Ellis","3-Arlington","37.76","41.17","22.67","18.50"
"2020","El Paso","10-El Paso","250.93","286.67","94.00","192.67"
"2020","Erath","3-Arlington","17.54","19.75","9.00","10.75"
"2020","Falls","7-Austin","13.56","16.67","15.00","1.67"
"2020","Fannin","3-Arlington","34.89","38.83","22.17","16.67"
"2020","Fayette","7-Austin","12.46","15.42","12.92","2.50"
"2020","Fisher","2-Abilene","0.37","0.42","0.00","0.42"
"2020","Floyd","1-Lubbock","1.90","2.25","0.75","1.50"
"2020","Foard","2-Abilene","2.55","2.67","0.17","2.50"
"2020","Fort Bend","6-Houston","80.25","91.17","49.25","41.92"
"2020","Franklin","4-Tyler","10.83","12.58","5.08","7.50"
"2020","Freestone","7-Austin","16.05","17.58","16.50","1.08"
"2020","Frio","8-San Antonio","44.16","50.50","19.00","31.50"
"2020","Gaines","9-Midland","7.34","8.83","3.83","5.00"
"2020","Galveston","6-Houston","150.87","165.75","75.83","90.00"
"2020","Garza","1-Lubbock","3.08","3.67","2.42","1.25"
"2020","Gillespie","8-San Antonio","9.68","10.67","8.25","2.42"
"2020","Goliad","8-San Antonio","2.44","2.58","2.00","0.58"
"2020","Gonzales","8-San Antonio","12.46","14.00","2.25","11.75"
"2020","Gray","1-Lubbock","38.23","44.00","20.58","23.42"
"2020","Grayson","3-Arlington","99.31","112.33","60.83","51.67"
"2020","Gregg","4-Tyler","135.91","154.00","80.00","74.00"
"2020","Grimes","7-Austin","7.70","8.08","7.67","0.42"
"2020","Guadalupe","8-San Antonio","55.86","61.58","40.08","21.50"
"2020","Hale","1-Lubbock","31.82","36.83","10.00","26.83"
"2020","Hall","1-Lubbock","3.30","4.42","1.17","3.25"
"2020","Hamilton","7-Austin","9.81","11.92","8.92","3.00"
"2020","Hansford","1-Lubbock","0.05","0.17","0.00","0.17"
"2020","Hardeman","2-Abilene","0.52","0.58","0.00","0.58"
"2020","Hardin","5-Beaumont","43.67","50.50","23.08","27.50"
"2020","Harris","6-Houston","1753.98","1936.00","943.75","993.00"
"2020","Harrison","4-Tyler","36.89","41.58","17.33","24.25"
"2020","Hartley","1-Lubbock","1.03","1.33","0.08","1.25"
"2020","Haskell","2-Abilene","8.00","8.42","1.50","6.92"
"2020","Hays","7-Austin","117.05","134.92","106.67","28.25"
"2020","Henderson","4-Tyler","155.87","175.83","90.42","85.42"
"2020","Hidalgo","11-Edinburg","236.89","276.58","118.58","158.33"
"2020","Hill","7-Austin","32.64","37.83","26.42","11.42"
"2020","Hockley","1-Lubbock","22.30","26.92","13.08","13.83"
"2020","Hood","3-Arlington","39.99","44.67","24.92","19.83"
"2020","Hopkins","4-Tyler","34.34","37.83","23.08","14.75"
"2020","Houston","5-Beaumont","19.73","21.92","14.58","7.33"
"2020","Howard","9-Midland","32.99","39.33","20.25","19.17"
"2020","Hunt","3-Arlington","107.77","122.92","59.42","64.17"
"2020","Hutchinson","1-Lubbock","24.56","27.83","10.08","17.75"
"2020","Irion","9-Midland","1.39","1.58","1.58","0.00"
"2020","Jack","2-Abilene","6.62","7.33","4.83","2.50"
"2020","Jackson","8-San Antonio","12.47","13.08","4.25","8.83"
"2020","Jasper","5-Beaumont","23.69","28.83","15.17","13.75"
"2020","Jeff Davis","10-El Paso","0.88","1.00","1.00","0.00"
"2020","Jefferson","5-Beaumont","170.00","191.67","93.00","98.83"
"2020","Jim Hogg","11-Edinburg","5.59","6.75","1.08","5.67"
"2020","Jim Wells","11-Edinburg","27.17","32.33","14.83","17.75"
"2020","Johnson","3-Arlington","117.64","129.75","78.58","51.75"
"2020","Jones","2-Abilene","42.08","44.83","20.08","24.92"
"2020","Karnes","8-San Antonio","29.10","31.50","14.92","16.58"
"2020","Kaufman","3-Arlington","58.53","65.92","34.58","31.33"
"2020","Kendall","8-San Antonio","15.33","17.42","4.58","12.83"
"2020","Kerr","8-San Antonio","33.64","37.67","28.83","8.83"
"2020","Kimble","9-Midland","4.24","4.92","3.83","1.08"
"2020","Kinney","8-San Antonio","4.66","5.17","1.42","3.75"
"2020","Kleberg","11-Edinburg","19.60","23.17","8.42","14.83"
"2020","Knox","2-Abilene","1.00","1.00","0.00","1.00"
"2020","Lamar","4-Tyler","77.18","85.50","46.92","38.58"
"2020","Lamb","1-Lubbock","11.45","12.67","6.92","5.75"
"2020","Lampasas","7-Austin","24.36","27.25","22.08","5.17"
"2020","La Salle","8-San Antonio","2.20","2.67","1.33","1.33"
"2020","Lavaca","8-San Antonio","7.89","9.00","1.92","7.08"
"2020","Lee","7-Austin","9.91","11.25","10.33","0.92"
"2020","Leon","7-Austin","5.46","6.75","3.58","3.17"
"2020","Liberty","6-Houston","58.91","66.83","23.75","43.08"
"2020","Limestone","7-Austin","14.41","16.25","8.83","7.42"
"2020","Lipscomb","1-Lubbock","3.82","4.92","2.00","3.00"
"2020","Live Oak","11-Edinburg","1.86","2.67","0.25","2.42"
"2020","Llano","7-Austin","22.57","26.00","22.00","4.00"
"2020","Lubbock","1-Lubbock","388.10","456.67","253.58","203.25"
"2020","Lynn","1-Lubbock","2.92","3.42","1.92","1.58"
"2020","Madison","7-Austin","2.44","3.17","2.17","1.00"
"2020","Marion","4-Tyler","4.65","6.58","4.17","2.42"
"2020","Martin","9-Midland","1.77","2.00","0.75","1.25"
"2020","Mason","9-Midland","7.55","8.42","4.00","4.42"
"2020","Matagorda","6-Houston","40.30","44.08","15.92","28.17"
"2020","Maverick","8-San Antonio","12.34","13.50","3.75","9.75"
"2020","McCulloch","9-Midland","16.12","18.25","11.00","7.33"
"2020","McLennan","7-Austin","280.50","316.67","194.17","122.50"
"2020","Medina","8-San Antonio","65.33","71.92","33.33","38.58"
"2020","Menard","9-Midland","2.99","3.58","0.83","2.75"
"2020","Midland","9-Midland","57.84","66.75","48.17","18.58"
"2020","Milam","7-Austin","34.32","40.00","32.50","7.50"
"2020","Mills","7-Austin","7.86","9.33","7.17","2.17"
"2020","Mitchell","2-Abilene","11.11","12.50","2.50","10.00"
"2020","Montague","2-Abilene","21.48","24.25","10.50","13.75"
"2020","Montgomery","6-Houston","210.01","237.58","144.92","92.67"
"2020","Moore","1-Lubbock","16.76","19.42","10.67","8.75"
"2020","Morris","4-Tyler","10.44","12.75","6.42","6.33"
"2020","Motley","1-Lubbock","0.90","1.00","0.67","0.33"
"2020","Nacogdoches","5-Beaumont","90.52","102.25","44.67","57.58"
"2020","Navarro","3-Arlington","32.69","35.50","12.75","22.75"
"2020","Newton","5-Beaumont","3.09","3.67","2.67","1.00"
"2020","Nolan","2-Abilene","29.42","32.33","14.58","17.92"
"2020","Nueces","11-Edinburg","206.90","248.58","149.50","99.92"
"2020","Ochiltree","1-Lubbock","5.24","6.33","3.83","2.50"
"2020","Oldham","1-Lubbock","4.32","4.75","2.42","2.33"
"2020","Orange","5-Beaumont","111.25","123.25","59.83","63.42"
"2020","Palo Pinto","3-Arlington","67.02","71.75","35.17","36.75"
"2020","Panola","4-Tyler","20.31","22.08","10.50","11.67"
"2020","Parker","3-Arlington","101.80","110.67","57.50","53.50"
"2020","Parmer","1-Lubbock","5.26","5.83","3.33","2.50"
"2020","Pecos","9-Midland","14.52","16.17","10.83","5.42"
"2020","Polk","5-Beaumont","34.09","39.08","17.67","21.42"
"2020","Potter","1-Lubbock","256.77","299.33","125.83","173.67"
"2020","Rains","4-Tyler","13.70","15.08","6.50","8.58"
"2020","Randall","1-Lubbock","111.89","130.92","73.08","57.83"
