"fiscal_year","county","region","priority","intakes"
"2021","Roberts","1-Lubbock","1","1"
"2021","Roberts","1-Lubbock","2","1"
"2021","Sherman","1-Lubbock","1","2"
"2021","Sherman","1-Lubbock","2","8"
"2021","Sherman","1-Lubbock","3","1"
"2021","Swisher","1-Lubbock","1","16"
"2021","Swisher","1-Lubbock","2","28"
"2021","Swisher","1-Lubbock","3","6"
"2021","Swisher","1-Lubbock","4","1"
"2021","Terry","1-Lubbock","1","11"
"2021","Terry","1-Lubbock","2","156"
"2021","Terry","1-Lubbock","3","28"
"2021","Terry","1-Lubbock","4","3"
"2021","Wheeler","1-Lubbock","1","3"
"2021","Wheeler","1-Lubbock","2","14"
"2021","Yoakum","1-Lubbock","1","4"
"2021","Yoakum","1-Lubbock","2","21"
"2021","Yoakum","1-Lubbock","3","2"
"2021","Archer","2-Abilene","1","18"
"2021","Archer","2-Abilene","2","60"
"2021","Archer","2-Abilene","3","8"
"2021","Baylor","2-Abilene","1","8"
"2021","Baylor","2-Abilene","2","23"
"2021","Baylor","2-Abilene","3","2"
"2021","Baylor","2-Abilene","4","3"
"2021","Brown","2-Abilene","1","82"
"2021","Brown","2-Abilene","2","282"
"2021","Brown","2-Abilene","3","46"
"2021","Brown","2-Abilene","4","13"
"2021","Callahan","2-Abilene","1","25"
"2021","Callahan","2-Abilene","2","112"
"2021","Callahan","2-Abilene","3","10"
"2021","Callahan","2-Abilene","4","1"
"2021","Clay","2-Abilene","1","18"
"2021","Clay","2-Abilene","2","68"
"2021","Clay","2-Abilene","3","12"
"2021","Clay","2-Abilene","4","2"
"2021","Coleman","2-Abilene","1","23"
"2021","Coleman","2-Abilene","2","71"
"2021","Coleman","2-Abilene","3","17"
"2021","Coleman","2-Abilene","4","5"
"2021","Comanche","2-Abilene","1","21"
"2021","Comanche","2-Abilene","2","77"
"2021","Comanche","2-Abilene","3","14"
"2021","Comanche","2-Abilene","4","3"
"2021","Cottle","2-Abilene","1","1"
"2021","Cottle","2-Abilene","2","9"
"2021","Cottle","2-Abilene","3","1"
"2021","Eastland","2-Abilene","1","46"
"2021","Eastland","2-Abilene","2","123"
"2021","Eastland","2-Abilene","3","9"
"2021","Eastland","2-Abilene","4","6"
"2021","Fisher","2-Abilene","1","2"
"2021","Fisher","2-Abilene","2","19"
"2021","Fisher","2-Abilene","3","2"
"2021","Foard","2-Abilene","1","1"
"2021","Foard","2-Abilene","2","7"
"2021","Foard","2-Abilene","3","1"
"2021","Hardeman","2-Abilene","1","7"
"2021","Hardeman","2-Abilene","2","18"
"2021","Hardeman","2-Abilene","3","1"
"2021","Hardeman","2-Abilene","4","2"
"2021","Haskell","2-Abilene","1","12"
"2021","Haskell","2-Abilene","2","50"
"2021","Haskell","2-Abilene","3","7"
"2021","Jack","2-Abilene","1","10"
"2021","Jack","2-Abilene","2","45"
"2021","Jack","2-Abilene","3","9"
"2021","Jack","2-Abilene","4","3"
"2021","Jones","2-Abilene","1","19"
"2021","Jones","2-Abilene","2","104"
"2021","Jones","2-Abilene","3","11"
"2021","Jones","2-Abilene","4","3"
"2021","Kent","2-Abilene","1","1"
"2021","Kent","2-Abilene","2","4"
"2021","Kent","2-Abilene","3","1"
"2021","Knox","2-Abilene","1","3"
"2021","Knox","2-Abilene","2","46"
"2021","Knox","2-Abilene","3","5"
"2021","Mitchell","2-Abilene","1","9"
"2021","Mitchell","2-Abilene","2","36"
"2021","Mitchell","2-Abilene","3","4"
"2021","Montague","2-Abilene","1","47"
"2021","Montague","2-Abilene","2","136"
"2021","Montague","2-Abilene","3","13"
"2021","Montague","2-Abilene","4","5"
"2021","Nolan","2-Abilene","1","36"
"2021","Nolan","2-Abilene","2","106"
"2021","Nolan","2-Abilene","3","17"
"2021","Nolan","2-Abilene","4","2"
"2021","Runnels","2-Abilene","1","26"
"2021","Runnels","2-Abilene","2","61"
"2021","Runnels","2-Abilene","3","5"
"2021","Runnels","2-Abilene","4","4"
"2021","Scurry","2-Abilene","1","17"
"2021","Scurry","2-Abilene","2","93"
"2021","Scurry","2-Abilene","3","11"
"2021","Scurry","2-Abilene","4","3"
"2021","Shackelford","2-Abilene","1","7"
"2021","Shackelford","2-Abilene","2","22"
"2021","Shackelford","2-Abilene","3","1"
"2021","Shackelford","2-Abilene","4","1"
"2021","Stephens","2-Abilene","1","20"
"2021","Stephens","2-Abilene","2","30"
"2021","Stephens","2-Abilene","3","5"
"2021","Stephens","2-Abilene","4","1"
"2021","Stonewall","2-Abilene","1","3"
"2021","Stonewall","2-Abilene","2","10"
"2021","Stonewall","2-Abilene","3","3"
"2021","Taylor","2-Abilene","1","420"
"2021","Taylor","2-Abilene","2","1130"
"2021","Taylor","2-Abilene","3","161"
"2021","Taylor","2-Abilene","4","41"
"2021","Throckmorton","2-Abilene","1","4"
"2021","Throckmorton","2-Abilene","2","14"
"2021","Throckmorton","2-Abilene","3","3"
"2021","Wichita","2-Abilene","1","354"
"2021","Wichita","2-Abilene","2","1184"
"2021","Wichita","2-Abilene","3","181"
"2021","Wichita","2-Abilene","4","52"
"2021","Wilbarger","2-Abilene","1","22"
"2021","Wilbarger","2-Abilene","2","100"
"2021","Wilbarger","2-Abilene","3","17"
"2021","Wilbarger","2-Abilene","4","7"
"2021","Young","2-Abilene","1","31"
"2021","Young","2-Abilene","2","143"
"2021","Young","2-Abilene","3","15"
"2021","Young","2-Abilene","4","3"
"2021","Collin","3-Arlington","1","299"
"2021","Collin","3-Arlington","2","1077"
"2021","Collin","3-Arlington","3","207"
"2021","Collin","3-Arlington","4","119"
"2021","Cooke","3-Arlington","1","45"
"2021","Cooke","3-Arlington","2","114"
"2021","Cooke","3-Arlington","3","11"
"2021","Cooke","3-Arlington","4","6"
"2021","Dallas","3-Arlington","1","1707"
"2021","Dallas","3-Arlington","2","5588"
"2021","Dallas","3-Arlington","3","938"
"2021","Dallas","3-Arlington","4","569"
"2021","Denton","3-Arlington","1","333"
"2021","Denton","3-Arlington","2","955"
"2021","Denton","3-Arlington","3","199"
"2021","Denton","3-Arlington","4","95"
"2021","Ellis","3-Arlington","1","96"
"2021","Ellis","3-Arlington","2","310"
"2021","Ellis","3-Arlington","3","53"
"2021","Ellis","3-Arlington","4","36"
"2021","Erath","3-Arlington","1","35"
"2021","Erath","3-Arlington","2","72"
"2021","Erath","3-Arlington","3","13"
"2021","Erath","3-Arlington","4","8"
"2021","Fannin","3-Arlington","1","42"
"2021","Fannin","3-Arlington","2","107"
"2021","Fannin","3-Arlington","3","13"
"2021","Fannin","3-Arlington","4","8"
"2021","Grayson","3-Arlington","1","169"
"2021","Grayson","3-Arlington","2","523"
"2021","Grayson","3-Arlington","3","74"
"2021","Grayson","3-Arlington","4","26"
"2021","Hood","3-Arlington","1","45"
"2021","Hood","3-Arlington","2","157"
"2021","Hood","3-Arlington","3","16"
"2021","Hood","3-Arlington","4","18"
"2021","Hunt","3-Arlington","1","107"
"2021","Hunt","3-Arlington","2","349"
"2021","Hunt","3-Arlington","3","51"
"2021","Hunt","3-Arlington","4","27"
"2021","Johnson","3-Arlington","1","130"
"2021","Johnson","3-Arlington","2","409"
"2021","Johnson","3-Arlington","3","70"
"2021","Johnson","3-Arlington","4","33"
"2021","Kaufman","3-Arlington","1","78"
"2021","Kaufman","3-Arlington","2","222"
"2021","Kaufman","3-Arlington","3","55"
"2021","Kaufman","3-Arlington","4","22"
"2021","Navarro","3-Arlington","1","68"
"2021","Navarro","3-Arlington","2","143"
"2021","Navarro","3-Arlington","3","24"
"2021","Navarro","3-Arlington","4","12"
"2021","Palo Pinto","3-Arlington","1","61"
"2021","Palo Pinto","3-Arlington","2","153"
"2021","Palo Pinto","3-Arlington","3","11"
"2021","Palo Pinto","3-Arlington","4","3"
"2021","Parker","3-Arlington","1","115"
"2021","Parker","3-Arlington","2","358"
"2021","Parker","3-Arlington","3","55"
"2021","Parker","3-Arlington","4","35"
"2021","Rockwall","3-Arlington","1","31"
"2021","Rockwall","3-Arlington","2","126"
"2021","Rockwall","3-Arlington","3","25"
"2021","Rockwall","3-Arlington","4","15"
"2021","Somervell","3-Arlington","1","7"
"2021","Somervell","3-Arlington","2","25"
"2021","Somervell","3-Arlington","3","5"
"2021","Somervell","3-Arlington","4","3"
"2021","Tarrant","3-Arlington","1","1579"
"2021","Tarrant","3-Arlington","2","4931"
"2021","Tarrant","3-Arlington","3","824"
"2021","Tarrant","3-Arlington","4","429"
"2021","Wise","3-Arlington","1","66"
"2021","Wise","3-Arlington","2","170"
"2021","Wise","3-Arlington","3","29"
"2021","Wise","3-Arlington","4","4"
"2021","Anderson","4-Tyler","1","65"
"2021","Anderson","4-Tyler","2","192"
"2021","Anderson","4-Tyler","3","25"
"2021","Anderson","4-Tyler","4","12"
"2021","Bowie","4-Tyler","1","103"
"2021","Bowie","4-Tyler","2","232"
"2021","Bowie","4-Tyler","3","33"
"2021","Bowie","4-Tyler","4","16"
"2021","Camp","4-Tyler","1","18"
"2021","Camp","4-Tyler","2","38"
"2021","Camp","4-Tyler","3","9"
"2021","Camp","4-Tyler","4","3"
"2021","Cass","4-Tyler","1","29"
"2021","Cass","4-Tyler","2","112"
"2021","Cass","4-Tyler","3","17"
"2021","Cass","4-Tyler","4","2"
"2021","Cherokee","4-Tyler","1","74"
"2021","Cherokee","4-Tyler","2","170"
"2021","Cherokee","4-Tyler","3","25"
"2021","Cherokee","4-Tyler","4","13"
"2021","Delta","4-Tyler","1","9"
"2021","Delta","4-Tyler","2","26"
"2021","Delta","4-Tyler","3","2"
"2021","Franklin","4-Tyler","1","7"
"2021","Franklin","4-Tyler","2","19"
"2021","Franklin","4-Tyler","3","3"
"2021","Franklin","4-Tyler","4","3"
"2021","Gregg","4-Tyler","1","124"
"2021","Gregg","4-Tyler","2","371"
"2021","Gregg","4-Tyler","3","45"
"2021","Gregg","4-Tyler","4","25"
"2021","Harrison","4-Tyler","1","65"
"2021","Harrison","4-Tyler","2","188"
"2021","Harrison","4-Tyler","3","21"
"2021","Harrison","4-Tyler","4","11"
"2021","Henderson","4-Tyler","1","144"
"2021","Henderson","4-Tyler","2","367"
"2021","Henderson","4-Tyler","3","55"
"2021","Henderson","4-Tyler","4","26"
"2021","Hopkins","4-Tyler","1","35"
"2021","Hopkins","4-Tyler","2","118"
"2021","Hopkins","4-Tyler","3","15"
"2021","Hopkins","4-Tyler","4","5"
"2021","Lamar","4-Tyler","1","100"
"2021","Lamar","4-Tyler","2","239"
"2021","Lamar","4-Tyler","3","16"
"2021","Lamar","4-Tyler","4","19"
"2021","Marion","4-Tyler","1","21"
"2021","Marion","4-Tyler","2","59"
"2021","Marion","4-Tyler","3","5"
"2021","Marion","4-Tyler","4","4"
"2021","Morris","4-Tyler","1","28"
"2021","Morris","4-Tyler","2","47"
"2021","Morris","4-Tyler","3","9"
"2021","Morris","4-Tyler","4","1"
"2021","Panola","4-Tyler","1","24"
"2021","Panola","4-Tyler","2","69"
"2021","Panola","4-Tyler","3","4"
"2021","Rains","4-Tyler","1","18"
"2021","Rains","4-Tyler","2","47"
"2021","Rains","4-Tyler","3","7"
"2021","Rains","4-Tyler","4","2"
"2021","Red River","4-Tyler","1","14"
"2021","Red River","4-Tyler","2","39"
"2021","Red River","4-Tyler","3","5"
"2021","Red River","4-Tyler","4","3"
"2021","Rusk","4-Tyler","1","34"
"2021","Rusk","4-Tyler","2","124"
"2021","Rusk","4-Tyler","3","16"
"2021","Rusk","4-Tyler","4","8"
"2021","Smith","4-Tyler","1","265"
"2021","Smith","4-Tyler","2","748"
"2021","Smith","4-Tyler","3","99"
"2021","Smith","4-Tyler","4","58"
"2021","Titus","4-Tyler","1","24"
"2021","Titus","4-Tyler","2","80"
"2021","Titus","4-Tyler","3","11"
"2021","Titus","4-Tyler","4","7"
"2021","Upshur","4-Tyler","1","37"
"2021","Upshur","4-Tyler","2","108"
"2021","Upshur","4-Tyler","3","15"
"2021","Upshur","4-Tyler","4","6"
"2021","Van Zandt","4-Tyler","1","84"
"2021","Van Zandt","4-Tyler","2","227"
"2021","Van Zandt","4-Tyler","3","40"
"2021","Van Zandt","4-Tyler","4","15"
"2021","Wood","4-Tyler","1","59"
"2021","Wood","4-Tyler","2","188"
"2021","Wood","4-Tyler","3","33"
"2021","Wood","4-Tyler","4","21"
"2021","Angelina","5-Beaumont","1","115"
"2021","Angelina","5-Beaumont","2","277"
"2021","Angelina","5-Beaumont","3","42"
"2021","Angelina","5-Beaumont","4","17"
"2021","Hardin","5-Beaumont","1","65"
"2021","Hardin","5-Beaumont","2","184"
"2021","Hardin","5-Beaumont","3","28"
"2021","Hardin","5-Beaumont","4","12"
"2021","Houston","5-Beaumont","1","27"
"2021","Houston","5-Beaumont","2","75"
"2021","Houston","5-Beaumont","3","15"
"2021","Houston","5-Beaumont","4","6"
"2021","Jasper","5-Beaumont","1","49"
"2021","Jasper","5-Beaumont","2","151"
"2021","Jasper","5-Beaumont","3","30"
"2021","Jasper","5-Beaumont","4","5"
"2021","Jefferson","5-Beaumont","1","286"
"2021","Jefferson","5-Beaumont","2","924"
"2021","Jefferson","5-Beaumont","3","132"
"2021","Jefferson","5-Beaumont","4","73"
"2021","Nacogdoches","5-Beaumont","1","66"
"2021","Nacogdoches","5-Beaumont","2","186"
"2021","Nacogdoches","5-Beaumont","3","19"
"2021","Nacogdoches","5-Beaumont","4","12"
"2021","Newton","5-Beaumont","1","10"
"2021","Newton","5-Beaumont","2","51"
"2021","Newton","5-Beaumont","3","10"
"2021","Newton","5-Beaumont","4","1"
"2021","Orange","5-Beaumont","1","132"
"2021","Orange","5-Beaumont","2","319"
"2021","Orange","5-Beaumont","3","28"
"2021","Orange","5-Beaumont","4","22"
"2021","Polk","5-Beaumont","1","88"
"2021","Polk","5-Beaumont","2","215"
"2021","Polk","5-Beaumont","3","25"
"2021","Polk","5-Beaumont","4","13"
"2021","Sabine","5-Beaumont","1","10"
"2021","Sabine","5-Beaumont","2","51"
"2021","Sabine","5-Beaumont","3","6"
"2021","San Augustine","5-Beaumont","1","12"
"2021","San Augustine","5-Beaumont","2","42"
"2021","San Augustine","5-Beaumont","3","8"
"2021","San Augustine","5-Beaumont","4","3"
"2021","San Jacinto","5-Beaumont","1","43"
"2021","San Jacinto","5-Beaumont","2","109"
"2021","San Jacinto","5-Beaumont","3","15"
"2021","San Jacinto","5-Beaumont","4","5"
"2021","Shelby","5-Beaumont","1","23"
"2021","Shelby","5-Beaumont","2","77"
"2021","Shelby","5-Beaumont","3","12"
"2021","Shelby","5-Beaumont","4","4"
"2021","Trinity","5-Beaumont","1","23"
"2021","Trinity","5-Beaumont","2","53"
"2021","Trinity","5-Beaumont","3","5"
"2021","Trinity","5-Beaumont","4","3"
"2021","Tyler","5-Beaumont","1","31"
"2021","Tyler","5-Beaumont","2","76"
"2021","Tyler","5-Beaumont","3","14"
"2021","Tyler","5-Beaumont","4","6"
"2021","Austin","6-Houston","1","44"
"2021","Austin","6-Houston","2","92"
"2021","Austin","6-Houston","3","11"
"2021","Austin","6-Houston","4","8"
"2021","Brazoria","6-Houston","1","218"
"2021","Brazoria","6-Houston","2","693"
"2021","Brazoria","6-Houston","3","99"
"2021","Brazoria","6-Houston","4","63"
"2021","Chambers","6-Houston","1","38"
"2021","Chambers","6-Houston","2","90"
"2021","Chambers","6-Houston","3","6"
"2021","Chambers","6-Houston","4","1"
"2021","Colorado","6-Houston","1","21"
"2021","Colorado","6-Houston","2","71"
"2021","Colorado","6-Houston","3","5"
"2021","Colorado","6-Houston","4","5"
"2021","Fort Bend","6-Houston","1","347"
"2021","Fort Bend","6-Houston","2","993"
"2021","Fort Bend","6-Houston","3","160"
"2021","Fort Bend","6-Houston","4","86"
"2021","Galveston","6-Houston","1","348"
"2021","Galveston","6-Houston","2","1022"
"2021","Galveston","6-Houston","3","128"
"2021","Galveston","6-Houston","4","85"
"2021","Harris","6-Houston","1","3346"
"2021","Harris","6-Houston","2","10237"
"2021","Harris","6-Houston","3","1631"
"2021","Harris","6-Houston","4","796"
"2021","Liberty","6-Houston","1","102"
"2021","Liberty","6-Houston","2","288"
"2021","Liberty","6-Houston","3","33"
"2021","Liberty","6-Houston","4","21"
"2021","Matagorda","6-Houston","1","47"
"2021","Matagorda","6-Houston","2","97"
"2021","Matagorda","6-Houston","3","15"
"2021","Matagorda","6-Houston","4","6"
"2021","Montgomery","6-Houston","1","388"
"2021","Montgomery","6-Houston","2","1143"
"2021","Montgomery","6-Houston","3","159"
"2021","Montgomery","6-Houston","4","104"
"2021","Walker","6-Houston","1","54"
"2021","Walker","6-Houston","2","119"
"2021","Walker","6-Houston","3","12"
"2021","Walker","6-Houston","4","8"
"2021","Waller","6-Houston","1","35"
"2021","Waller","6-Houston","2","88"
"2021","Waller","6-Houston","3","17"
"2021","Waller","6-Houston","4","11"
"2021","Wharton","6-Houston","1","51"
"2021","Wharton","6-Houston","2","75"
"2021","Wharton","6-Houston","3","17"
"2021","Wharton","6-Houston","4","6"
"2021","Bastrop","7-Austin","1","68"
"2021","Bastrop","7-Austin","2","259"
"2021","Bastrop","7-Austin","3","39"
"2021","Bastrop","7-Austin","4","22"
"2021","Bell","7-Austin","1","442"
"2021","Bell","7-Austin","2","1207"
"2021","Bell","7-Austin","3","201"
"2021","Bell","7-Austin","4","68"
"2021","Blanco","7-Austin","1","9"
"2021","Blanco","7-Austin","2","26"
"2021","Blanco","7-Austin","3","12"
"2021","Blanco","7-Austin","4","1"
"2021","Bosque","7-Austin","1","28"
"2021","Bosque","7-Austin","2","61"
"2021","Bosque","7-Austin","3","11"
"2021","Bosque","7-Austin","4","5"
"2021","Brazos","7-Austin","1","120"
"2021","Brazos","7-Austin","2","393"
"2021","Brazos","7-Austin","3","47"
"2021","Brazos","7-Austin","4","44"
"2021","Burleson","7-Austin","1","31"
"2021","Burleson","7-Austin","2","71"
"2021","Burleson","7-Austin","3","7"
"2021","Burnet","7-Austin","1","49"
"2021","Burnet","7-Austin","2","158"
"2021","Burnet","7-Austin","3","26"
"2021","Burnet","7-Austin","4","5"
"2021","Caldwell","7-Austin","1","55"
"2021","Caldwell","7-Austin","2","150"
"2021","Caldwell","7-Austin","3","23"
"2021","Caldwell","7-Austin","4","14"
"2021","Coryell","7-Austin","1","84"
"2021","Coryell","7-Austin","2","244"
"2021","Coryell","7-Austin","3","30"
"2021","Coryell","7-Austin","4","12"
"2021","Falls","7-Austin","1","32"
"2021","Falls","7-Austin","2","61"
"2021","Falls","7-Austin","3","10"
"2021","Falls","7-Austin","4","3"
"2021","Fayette","7-Austin","1","28"
"2021","Fayette","7-Austin","2","92"
"2021","Fayette","7-Austin","3","7"
"2021","Fayette","7-Austin","4","4"
"2021","Freestone","7-Austin","1","21"
"2021","Freestone","7-Austin","2","57"
"2021","Freestone","7-Austin","3","10"
"2021","Freestone","7-Austin","4","2"
"2021","Grimes","7-Austin","1","36"
"2021","Grimes","7-Austin","2","103"
"2021","Grimes","7-Austin","3","9"
"2021","Grimes","7-Austin","4","8"
"2021","Hamilton","7-Austin","1","11"
"2021","Hamilton","7-Austin","2","36"
"2021","Hamilton","7-Austin","3","5"
"2021","Hamilton","7-Austin","4","2"
"2021","Hays","7-Austin","1","92"
"2021","Hays","7-Austin","2","390"
"2021","Hays","7-Austin","3","74"
"2021","Hays","7-Austin","4","30"
"2021","Hill","7-Austin","1","53"
"2021","Hill","7-Austin","2","143"
"2021","Hill","7-Austin","3","13"
"2021","Hill","7-Austin","4","5"
"2021","Lampasas","7-Austin","1","34"
"2021","Lampasas","7-Austin","2","100"
"2021","Lampasas","7-Austin","3","16"
"2021","Lampasas","7-Austin","4","1"
"2021","Lee","7-Austin","1","16"
"2021","Lee","7-Austin","2","59"
"2021","Lee","7-Austin","3","6"
"2021","Lee","7-Austin","4","3"
"2021","Leon","7-Austin","1","10"
"2021","Leon","7-Austin","2","45"
"2021","Leon","7-Austin","3","6"
"2021","Leon","7-Austin","4","2"
"2021","Limestone","7-Austin","1","24"
"2021","Limestone","7-Austin","2","83"
"2021","Limestone","7-Austin","3","7"
"2021","Limestone","7-Austin","4","12"
"2021","Llano","7-Austin","1","31"
"2021","Llano","7-Austin","2","118"
"2021","Llano","7-Austin","3","10"
"2021","Llano","7-Austin","4","10"
"2021","Madison","7-Austin","1","18"
"2021","Madison","7-Austin","2","30"
"2021","Madison","7-Austin","3","3"
"2021","Madison","7-Austin","4","1"
"2021","McLennan","7-Austin","1","311"
"2021","McLennan","7-Austin","2","903"
"2021","McLennan","7-Austin","3","163"
"2021","McLennan","7-Austin","4","68"
"2021","Milam","7-Austin","1","43"
"2021","Milam","7-Austin","2","104"
"2021","Milam","7-Austin","3","9"
"2021","Milam","7-Austin","4","2"
"2021","Mills","7-Austin","1","3"
"2021","Mills","7-Austin","2","21"
"2021","Mills","7-Austin","3","2"
"2021","Robertson","7-Austin","1","24"
"2021","Robertson","7-Austin","2","53"
"2021","Robertson","7-Austin","3","3"
"2021","Robertson","7-Austin","4","5"
"2021","San Saba","7-Austin","1","8"
"2021","San Saba","7-Austin","2","21"
"2021","San Saba","7-Austin","3","2"
"2021","Travis","7-Austin","1","852"
"2021","Travis","7-Austin","2","2767"
"2021","Travis","7-Austin","3","506"
"2021","Travis","7-Austin","4","213"
"2021","Washington","7-Austin","1","23"
"2021","Washington","7-Austin","2","113"
"2021","Washington","7-Austin","3","14"
"2021","Washington","7-Austin","4","4"
"2021","Williamson","7-Austin","1","240"
"2021","Williamson","7-Austin","2","839"
"2021","Williamson","7-Austin","3","138"
"2021","Williamson","7-Austin","4","90"
"2021","Atascosa","8-San Antonio","1","54"
"2021","Atascosa","8-San Antonio","2","182"
"2021","Atascosa","8-San Antonio","3","21"
"2021","Atascosa","8-San Antonio","4","10"
"2021","Bandera","8-San Antonio","1","43"
"2021","Bandera","8-San Antonio","2","100"
"2021","Bandera","8-San Antonio","3","14"
"2021","Bandera","8-San Antonio","4","5"
"2021","Bexar","8-San Antonio","1","1900"
"2021","Bexar","8-San Antonio","2","6454"
"2021","Bexar","8-San Antonio","3","1176"
"2021","Bexar","8-San Antonio","4","552"
"2021","Calhoun","8-San Antonio","1","33"
"2021","Calhoun","8-San Antonio","2","66"
"2021","Calhoun","8-San Antonio","3","15"
"2021","Calhoun","8-San Antonio","4","3"
"2021","Comal","8-San Antonio","1","110"
"2021","Comal","8-San Antonio","2","351"
"2021","Comal","8-San Antonio","3","72"
"2021","Comal","8-San Antonio","4","31"
"2021","DeWitt","8-San Antonio","1","28"
"2021","DeWitt","8-San Antonio","2","76"
"2021","DeWitt","8-San Antonio","3","9"
"2021","DeWitt","8-San Antonio","4","4"
"2021","Dimmit","8-San Antonio","1","21"
"2021","Dimmit","8-San Antonio","2","65"
