"fiscal_year","county","region","case_actions","completed_investigations"
"2021","Crockett","9-Midland","Not Opened for Services","20"
"2021","Crockett","9-Midland","Opened for Services","5"
"2021","Crosby","1-Lubbock","Not Opened for Services","37"
"2021","Crosby","1-Lubbock","Opened for Services","5"
"2021","Culberson","10-El Paso","Not Opened for Services","12"
"2021","Culberson","10-El Paso","Opened for Services","7"
"2021","Dallam","1-Lubbock","Not Opened for Services","51"
"2021","Dallam","1-Lubbock","Opened for Services","21"
"2021","Dallas","3-Arlington","Not Opened for Services","10935"
"2021","Dallas","3-Arlington","Opened for Services","1346"
"2021","Dawson","9-Midland","Not Opened for Services","81"
"2021","Dawson","9-Midland","Opened for Services","15"
"2021","DeWitt","8-San Antonio","Not Opened for Services","100"
"2021","DeWitt","8-San Antonio","Opened for Services","17"
"2021","Deaf Smith","1-Lubbock","Not Opened for Services","111"
"2021","Deaf Smith","1-Lubbock","Opened for Services","28"
"2021","Delta","4-Tyler","Not Opened for Services","20"
"2021","Delta","4-Tyler","Opened for Services","2"
"2021","Denton","3-Arlington","Not Opened for Services","3297"
"2021","Denton","3-Arlington","Opened for Services","336"
"2021","Dickens","1-Lubbock","Not Opened for Services","5"
"2021","Dickens","1-Lubbock","Opened for Services","6"
"2021","Dimmit","8-San Antonio","Not Opened for Services","56"
"2021","Dimmit","8-San Antonio","Opened for Services","18"
"2021","Donley","1-Lubbock","Not Opened for Services","13"
"2021","Donley","1-Lubbock","Opened for Services","6"
"2021","Duval","11-Edinburg","Not Opened for Services","59"
"2021","Duval","11-Edinburg","Opened for Services","20"
"2021","Eastland","2-Abilene","Not Opened for Services","134"
"2021","Eastland","2-Abilene","Opened for Services","34"
"2021","Ector","9-Midland","Not Opened for Services","1078"
"2021","Ector","9-Midland","Opened for Services","168"
"2021","Edwards","8-San Antonio","Not Opened for Services","10"
"2021","Edwards","8-San Antonio","Opened for Services","4"
"2021","El Paso","10-El Paso","Not Opened for Services","3338"
"2021","El Paso","10-El Paso","Opened for Services","612"
"2021","Ellis","3-Arlington","Not Opened for Services","872"
"2021","Ellis","3-Arlington","Opened for Services","67"
"2021","Erath","3-Arlington","Not Opened for Services","233"
"2021","Erath","3-Arlington","Opened for Services","42"
"2021","Falls","7-Austin","Not Opened for Services","88"
"2021","Falls","7-Austin","Opened for Services","22"
"2021","Fannin","3-Arlington","Not Opened for Services","209"
"2021","Fannin","3-Arlington","Opened for Services","29"
"2021","Fayette","7-Austin","Not Opened for Services","94"
"2021","Fayette","7-Austin","Opened for Services","19"
"2021","Fisher","2-Abilene","Not Opened for Services","20"
"2021","Fisher","2-Abilene","Opened for Services","10"
"2021","Floyd","1-Lubbock","Not Opened for Services","32"
"2021","Floyd","1-Lubbock","Opened for Services","7"
"2021","Foard","2-Abilene","Not Opened for Services","2"
"2021","Foard","2-Abilene","Opened for Services","2"
"2021","Fort Bend","6-Houston","Not Opened for Services","1974"
"2021","Fort Bend","6-Houston","Opened for Services","147"
"2021","Franklin","4-Tyler","Not Opened for Services","59"
"2021","Franklin","4-Tyler","Opened for Services","7"
"2021","Freestone","7-Austin","Not Opened for Services","98"
"2021","Freestone","7-Austin","Opened for Services","13"
"2021","Frio","8-San Antonio","Not Opened for Services","118"
"2021","Frio","8-San Antonio","Opened for Services","31"
"2021","Gaines","9-Midland","Not Opened for Services","101"
"2021","Gaines","9-Midland","Opened for Services","11"
"2021","Galveston","6-Houston","Not Opened for Services","1337"
"2021","Galveston","6-Houston","Opened for Services","298"
"2021","Garza","1-Lubbock","Not Opened for Services","30"
"2021","Garza","1-Lubbock","Opened for Services","5"
"2021","Gillespie","8-San Antonio","Not Opened for Services","87"
"2021","Gillespie","8-San Antonio","Opened for Services","17"
"2021","Glasscock","9-Midland","Not Opened for Services","3"
"2021","Goliad","8-San Antonio","Not Opened for Services","27"
"2021","Goliad","8-San Antonio","Opened for Services","11"
"2021","Gonzales","8-San Antonio","Not Opened for Services","123"
"2021","Gonzales","8-San Antonio","Opened for Services","13"
"2021","Gray","1-Lubbock","Not Opened for Services","154"
"2021","Gray","1-Lubbock","Opened for Services","55"
"2021","Grayson","3-Arlington","Not Opened for Services","869"
"2021","Grayson","3-Arlington","Opened for Services","88"
"2021","Gregg","4-Tyler","Not Opened for Services","779"
"2021","Gregg","4-Tyler","Opened for Services","145"
"2021","Grimes","7-Austin","Not Opened for Services","149"
"2021","Grimes","7-Austin","Opened for Services","19"
"2021","Guadalupe","8-San Antonio","Not Opened for Services","820"
"2021","Guadalupe","8-San Antonio","Opened for Services","105"
"2021","Hale","1-Lubbock","Not Opened for Services","188"
"2021","Hale","1-Lubbock","Opened for Services","64"
"2021","Hall","1-Lubbock","Not Opened for Services","17"
"2021","Hall","1-Lubbock","Opened for Services","11"
"2021","Hamilton","7-Austin","Not Opened for Services","52"
"2021","Hamilton","7-Austin","Opened for Services","8"
"2021","Hansford","1-Lubbock","Not Opened for Services","15"
"2021","Hansford","1-Lubbock","Opened for Services","2"
"2021","Hardeman","2-Abilene","Not Opened for Services","31"
"2021","Hardeman","2-Abilene","Opened for Services","5"
"2021","Hardin","5-Beaumont","Not Opened for Services","299"
"2021","Hardin","5-Beaumont","Opened for Services","42"
"2021","Harris","6-Houston","Not Opened for Services","22674"
"2021","Harris","6-Houston","Opened for Services","1820"
"2021","Harrison","4-Tyler","Not Opened for Services","339"
"2021","Harrison","4-Tyler","Opened for Services","45"
"2021","Hartley","1-Lubbock","Not Opened for Services","20"
"2021","Hartley","1-Lubbock","Opened for Services","6"
"2021","Haskell","2-Abilene","Not Opened for Services","23"
"2021","Haskell","2-Abilene","Opened for Services","13"
"2021","Hays","7-Austin","Not Opened for Services","868"
"2021","Hays","7-Austin","Opened for Services","138"
"2021","Hemphill","1-Lubbock","Not Opened for Services","8"
"2021","Hemphill","1-Lubbock","Opened for Services","2"
"2021","Henderson","4-Tyler","Not Opened for Services","603"
"2021","Henderson","4-Tyler","Opened for Services","102"
"2021","Hidalgo","11-Edinburg","Not Opened for Services","4156"
"2021","Hidalgo","11-Edinburg","Opened for Services","303"
"2021","Hill","7-Austin","Not Opened for Services","254"
"2021","Hill","7-Austin","Opened for Services","52"
"2021","Hockley","1-Lubbock","Not Opened for Services","153"
"2021","Hockley","1-Lubbock","Opened for Services","42"
"2021","Hood","3-Arlington","Not Opened for Services","399"
"2021","Hood","3-Arlington","Opened for Services","76"
"2021","Hopkins","4-Tyler","Not Opened for Services","229"
"2021","Hopkins","4-Tyler","Opened for Services","38"
"2021","Houston","5-Beaumont","Not Opened for Services","139"
"2021","Houston","5-Beaumont","Opened for Services","17"
"2021","Howard","9-Midland","Not Opened for Services","280"
"2021","Howard","9-Midland","Opened for Services","32"
"2021","Hudspeth","10-El Paso","Not Opened for Services","23"
"2021","Hudspeth","10-El Paso","Opened for Services","4"
"2021","Hunt","3-Arlington","Not Opened for Services","638"
"2021","Hunt","3-Arlington","Opened for Services","86"
"2021","Hutchinson","1-Lubbock","Not Opened for Services","151"
"2021","Hutchinson","1-Lubbock","Opened for Services","54"
"2021","Irion","9-Midland","Not Opened for Services","6"
"2021","Irion","9-Midland","Opened for Services","1"
"2021","Jack","2-Abilene","Not Opened for Services","56"
"2021","Jack","2-Abilene","Opened for Services","11"
"2021","Jackson","8-San Antonio","Not Opened for Services","76"
"2021","Jackson","8-San Antonio","Opened for Services","24"
"2021","Jasper","5-Beaumont","Not Opened for Services","194"
"2021","Jasper","5-Beaumont","Opened for Services","31"
"2021","Jeff Davis","10-El Paso","Not Opened for Services","9"
"2021","Jefferson","5-Beaumont","Not Opened for Services","1378"
"2021","Jefferson","5-Beaumont","Opened for Services","183"
"2021","Jim Hogg","11-Edinburg","Not Opened for Services","41"
"2021","Jim Hogg","11-Edinburg","Opened for Services","7"
"2021","Jim Wells","11-Edinburg","Not Opened for Services","283"
"2021","Jim Wells","11-Edinburg","Opened for Services","73"
"2021","Johnson","3-Arlington","Not Opened for Services","1018"
"2021","Johnson","3-Arlington","Opened for Services","159"
"2021","Jones","2-Abilene","Not Opened for Services","93"
"2021","Jones","2-Abilene","Opened for Services","23"
"2021","Karnes","8-San Antonio","Not Opened for Services","57"
"2021","Karnes","8-San Antonio","Opened for Services","19"
"2021","Kaufman","3-Arlington","Not Opened for Services","850"
"2021","Kaufman","3-Arlington","Opened for Services","110"
"2021","Kendall","8-San Antonio","Not Opened for Services","149"
"2021","Kendall","8-San Antonio","Opened for Services","15"
"2021","Kenedy","11-Edinburg","Not Opened for Services","1"
"2021","Kent","2-Abilene","Not Opened for Services","2"
"2021","Kerr","8-San Antonio","Not Opened for Services","264"
"2021","Kerr","8-San Antonio","Opened for Services","64"
"2021","Kimble","9-Midland","Not Opened for Services","36"
"2021","Kimble","9-Midland","Opened for Services","4"
"2021","Kinney","8-San Antonio","Not Opened for Services","8"
"2021","Kinney","8-San Antonio","Opened for Services","5"
"2021","Kleberg","11-Edinburg","Not Opened for Services","190"
"2021","Kleberg","11-Edinburg","Opened for Services","37"
"2021","Knox","2-Abilene","Not Opened for Services","21"
"2021","Knox","2-Abilene","Opened for Services","4"
"2021","La Salle","8-San Antonio","Not Opened for Services","42"
"2021","La Salle","8-San Antonio","Opened for Services","10"
"2021","Lamar","4-Tyler","Not Opened for Services","266"
"2021","Lamar","4-Tyler","Opened for Services","84"
"2021","Lamb","1-Lubbock","Not Opened for Services","62"
"2021","Lamb","1-Lubbock","Opened for Services","15"
"2021","Lampasas","7-Austin","Not Opened for Services","146"
"2021","Lampasas","7-Austin","Opened for Services","40"
"2021","Lavaca","8-San Antonio","Not Opened for Services","78"
"2021","Lavaca","8-San Antonio","Opened for Services","14"
"2021","Lee","7-Austin","Not Opened for Services","79"
"2021","Lee","7-Austin","Opened for Services","17"
"2021","Leon","7-Austin","Not Opened for Services","68"
"2021","Leon","7-Austin","Opened for Services","13"
"2021","Liberty","6-Houston","Not Opened for Services","639"
"2021","Liberty","6-Houston","Opened for Services","67"
"2021","Limestone","7-Austin","Not Opened for Services","157"
"2021","Limestone","7-Austin","Opened for Services","34"
"2021","Lipscomb","1-Lubbock","Not Opened for Services","6"
"2021","Lipscomb","1-Lubbock","Opened for Services","5"
"2021","Live Oak","11-Edinburg","Not Opened for Services","64"
"2021","Live Oak","11-Edinburg","Opened for Services","11"
"2021","Llano","7-Austin","Not Opened for Services","126"
"2021","Llano","7-Austin","Opened for Services","48"
"2021","Loving","9-Midland","Not Opened for Services","1"
"2021","Lubbock","1-Lubbock","Not Opened for Services","1795"
"2021","Lubbock","1-Lubbock","Opened for Services","485"
"2021","Lynn","1-Lubbock","Not Opened for Services","28"
"2021","Lynn","1-Lubbock","Opened for Services","10"
"2021","Madison","7-Austin","Not Opened for Services","49"
"2021","Madison","7-Austin","Opened for Services","12"
"2021","Marion","4-Tyler","Not Opened for Services","68"
"2021","Marion","4-Tyler","Opened for Services","15"
"2021","Martin","9-Midland","Not Opened for Services","27"
"2021","Martin","9-Midland","Opened for Services","3"
"2021","Mason","9-Midland","Not Opened for Services","21"
"2021","Matagorda","6-Houston","Not Opened for Services","230"
"2021","Matagorda","6-Houston","Opened for Services","29"
"2021","Maverick","8-San Antonio","Not Opened for Services","126"
"2021","Maverick","8-San Antonio","Opened for Services","42"
"2021","McCulloch","9-Midland","Not Opened for Services","72"
"2021","McCulloch","9-Midland","Opened for Services","16"
"2021","McLennan","7-Austin","Not Opened for Services","1807"
"2021","McLennan","7-Austin","Opened for Services","376"
"2021","McMullen","11-Edinburg","Not Opened for Services","1"
"2021","McMullen","11-Edinburg","Opened for Services","1"
"2021","Medina","8-San Antonio","Not Opened for Services","248"
"2021","Medina","8-San Antonio","Opened for Services","88"
"2021","Menard","9-Midland","Not Opened for Services","9"
"2021","Menard","9-Midland","Opened for Services","2"
"2021","Midland","9-Midland","Not Opened for Services","825"
"2021","Midland","9-Midland","Opened for Services","115"
"2021","Milam","7-Austin","Not Opened for Services","178"
"2021","Milam","7-Austin","Opened for Services","29"
"2021","Mills","7-Austin","Not Opened for Services","25"
"2021","Mills","7-Austin","Opened for Services","2"
"2021","Mitchell","2-Abilene","Not Opened for Services","56"
"2021","Mitchell","2-Abilene","Opened for Services","15"
"2021","Montague","2-Abilene","Not Opened for Services","122"
"2021","Montague","2-Abilene","Opened for Services","42"
"2021","Montgomery","6-Houston","Not Opened for Services","2409"
"2021","Montgomery","6-Houston","Opened for Services","230"
"2021","Moore","1-Lubbock","Not Opened for Services","138"
"2021","Moore","1-Lubbock","Opened for Services","32"
"2021","Morris","4-Tyler","Not Opened for Services","86"
"2021","Morris","4-Tyler","Opened for Services","23"
"2021","Motley","1-Lubbock","Not Opened for Services","5"
"2021","Nacogdoches","5-Beaumont","Not Opened for Services","336"
"2021","Nacogdoches","5-Beaumont","Opened for Services","37"
"2021","Navarro","3-Arlington","Not Opened for Services","328"
"2021","Navarro","3-Arlington","Opened for Services","40"
"2021","Newton","5-Beaumont","Not Opened for Services","58"
"2021","Newton","5-Beaumont","Opened for Services","14"
"2021","Nolan","2-Abilene","Not Opened for Services","158"
"2021","Nolan","2-Abilene","Opened for Services","40"
"2021","Nueces","11-Edinburg","Not Opened for Services","2045"
"2021","Nueces","11-Edinburg","Opened for Services","389"
"2021","Ochiltree","1-Lubbock","Not Opened for Services","57"
"2021","Ochiltree","1-Lubbock","Opened for Services","13"
"2021","Oldham","1-Lubbock","Not Opened for Services","8"
"2021","Oldham","1-Lubbock","Opened for Services","1"
"2021","Orange","5-Beaumont","Not Opened for Services","595"
"2021","Orange","5-Beaumont","Opened for Services","72"
"2021","Out of State","Out of State","Not Opened for Services","25"
"2021","Out of State","Out of State","Opened for Services","1"
"2021","Palo Pinto","3-Arlington","Not Opened for Services","215"
"2021","Palo Pinto","3-Arlington","Opened for Services","63"
"2021","Panola","4-Tyler","Not Opened for Services","139"
"2021","Panola","4-Tyler","Opened for Services","19"
"2021","Parker","3-Arlington","Not Opened for Services","795"
"2021","Parker","3-Arlington","Opened for Services","125"
"2021","Parmer","1-Lubbock","Not Opened for Services","32"
"2021","Parmer","1-Lubbock","Opened for Services","8"
"2021","Pecos","9-Midland","Not Opened for Services","85"
"2021","Pecos","9-Midland","Opened for Services","12"
"2021","Polk","5-Beaumont","Not Opened for Services","340"
"2021","Polk","5-Beaumont","Opened for Services","28"
"2021","Potter","1-Lubbock","Not Opened for Services","1207"
"2021","Potter","1-Lubbock","Opened for Services","145"
"2021","Presidio","10-El Paso","Not Opened for Services","17"
"2021","Presidio","10-El Paso","Opened for Services","3"
"2021","Rains","4-Tyler","Not Opened for Services","87"
"2021","Rains","4-Tyler","Opened for Services","12"
"2021","Randall","1-Lubbock","Not Opened for Services","813"
"2021","Randall","1-Lubbock","Opened for Services","76"
"2021","Reagan","9-Midland","Not Opened for Services","19"
"2021","Reagan","9-Midland","Opened for Services","3"
"2021","Real","8-San Antonio","Not Opened for Services","17"
"2021","Real","8-San Antonio","Opened for Services","10"
"2021","Red River","4-Tyler","Not Opened for Services","68"
"2021","Red River","4-Tyler","Opened for Services","22"
"2021","Reeves","9-Midland","Not Opened for Services","64"
"2021","Reeves","9-Midland","Opened for Services","8"
"2021","Refugio","11-Edinburg","Not Opened for Services","44"
"2021","Refugio","11-Edinburg","Opened for Services","6"
"2021","Roberts","1-Lubbock","Not Opened for Services","4"
"2021","Robertson","7-Austin","Not Opened for Services","107"
"2021","Robertson","7-Austin","Opened for Services","25"
"2021","Rockwall","3-Arlington","Not Opened for Services","423"
"2021","Rockwall","3-Arlington","Opened for Services","48"
"2021","Runnels","2-Abilene","Not Opened for Services","58"
"2021","Runnels","2-Abilene","Opened for Services","17"
"2021","Rusk","4-Tyler","Not Opened for Services","298"
"2021","Rusk","4-Tyler","Opened for Services","38"
"2021","Sabine","5-Beaumont","Not Opened for Services","49"
"2021","Sabine","5-Beaumont","Opened for Services","15"
"2021","San Augustine","5-Beaumont","Not Opened for Services","46"
"2021","San Augustine","5-Beaumont","Opened for Services","7"
"2021","San Jacinto","5-Beaumont","Not Opened for Services","154"
"2021","San Jacinto","5-Beaumont","Opened for Services","16"
"2021","San Patricio","11-Edinburg","Not Opened for Services","418"
"2021","San Patricio","11-Edinburg","Opened for Services","67"
"2021","San Saba","7-Austin","Not Opened for Services","23"
"2021","San Saba","7-Austin","Opened for Services","7"
"2021","Schleicher","9-Midland","Not Opened for Services","13"
"2021","Schleicher","9-Midland","Opened for Services","3"
"2021","Scurry","2-Abilene","Not Opened for Services","129"
"2021","Scurry","2-Abilene","Opened for Services","25"
"2021","Shackelford","2-Abilene","Not Opened for Services","16"
"2021","Shackelford","2-Abilene","Opened for Services","7"
"2021","Shelby","5-Beaumont","Not Opened for Services","143"
"2021","Shelby","5-Beaumont","Opened for Services","17"
"2021","Sherman","1-Lubbock","Not Opened for Services","10"
"2021","Sherman","1-Lubbock","Opened for Services","3"
"2021","Smith","4-Tyler","Not Opened for Services","1144"
"2021","Smith","4-Tyler","Opened for Services","251"
"2021","Somervell","3-Arlington","Not Opened for Services","65"
"2021","Somervell","3-Arlington","Opened for Services","15"
"2021","Starr","11-Edinburg","Not Opened for Services","260"
"2021","Starr","11-Edinburg","Opened for Services","35"
"2021","Stephens","2-Abilene","Not Opened for Services","67"
"2021","Stephens","2-Abilene","Opened for Services","13"
"2021","Sterling","9-Midland","Not Opened for Services","5"
"2021","Sterling","9-Midland","Opened for Services","3"
"2021","Stonewall","2-Abilene","Not Opened for Services","3"
"2021","Stonewall","2-Abilene","Opened for Services","1"
"2021","Sutton","9-Midland","Not Opened for Services","29"
"2021","Sutton","9-Midland","Opened for Services","4"
"2021","Swisher","1-Lubbock","Not Opened for Services","59"
"2021","Swisher","1-Lubbock","Opened for Services","21"
"2021","Tarrant","3-Arlington","Not Opened for Services","10470"
"2021","Tarrant","3-Arlington","Opened for Services","1114"
"2021","Taylor","2-Abilene","Not Opened for Services","1245"
"2021","Taylor","2-Abilene","Opened for Services","339"
"2021","Terrell","9-Midland","Not Opened for Services","6"
"2021","Terry","1-Lubbock","Not Opened for Services","94"
"2021","Terry","1-Lubbock","Opened for Services","14"
"2021","Throckmorton","2-Abilene","Not Opened for Services","10"
"2021","Titus","4-Tyler","Not Opened for Services","199"
"2021","Titus","4-Tyler","Opened for Services","22"
"2021","Tom Green","9-Midland","Not Opened for Services","750"
"2021","Tom Green","9-Midland","Opened for Services","184"
"2021","Travis","7-Austin","Not Opened for Services","4371"
"2021","Travis","7-Austin","Opened for Services","528"
"2021","Trinity","5-Beaumont","Not Opened for Services","102"
"2021","Trinity","5-Beaumont","Opened for Services","12"
"2021","Tyler","5-Beaumont","Not Opened for Services","158"
"2021","Tyler","5-Beaumont","Opened for Services","11"
"2021","Upshur","4-Tyler","Not Opened for Services","247"
"2021","Upshur","4-Tyler","Opened for Services","45"
"2021","Upton","9-Midland","Not Opened for Services","16"
"2021","Upton","9-Midland","Opened for Services","4"
"2021","Uvalde","8-San Antonio","Not Opened for Services","164"
"2021","Uvalde","8-San Antonio","Opened for Services","50"
"2021","Val Verde","8-San Antonio","Not Opened for Services","156"
"2021","Val Verde","8-San Antonio","Opened for Services","49"
"2021","Van Zandt","4-Tyler","Not Opened for Services","333"
"2021","Van Zandt","4-Tyler","Opened for Services","53"
"2021","Victoria","8-San Antonio","Not Opened for Services","507"
"2021","Victoria","8-San Antonio","Opened for Services","84"
"2021","Walker","6-Houston","Not Opened for Services","245"
"2021","Walker","6-Houston","Opened for Services","28"
"2021","Waller","6-Houston","Not Opened for Services","212"
"2021","Waller","6-Houston","Opened for Services","17"
"2021","Ward","9-Midland","Not Opened for Services","64"
"2021","Ward","9-Midland","Opened for Services","22"
"2021","Washington","7-Austin","Not Opened for Services","142"
"2021","Washington","7-Austin","Opened for Services","26"
"2021","Webb","11-Edinburg","Not Opened for Services","1008"
"2021","Webb","11-Edinburg","Opened for Services","234"
"2021","Wharton","6-Houston","Not Opened for Services","166"
"2021","Wharton","6-Houston","Opened for Services","21"
"2021","Wheeler","1-Lubbock","Not Opened for Services","19"
"2021","Wheeler","1-Lubbock","Opened for Services","6"
"2021","Wichita","2-Abilene","Not Opened for Services","1022"
"2021","Wichita","2-Abilene","Opened for Services","233"
"2021","Wilbarger","2-Abilene","Not Opened for Services","108"
"2021","Wilbarger","2-Abilene","Opened for Services","18"
"2021","Willacy","11-Edinburg","Not Opened for Services","180"
"2021","Willacy","11-Edinburg","Opened for Services","13"
"2021","Williamson","7-Austin","Not Opened for Services","2283"
"2021","Williamson","7-Austin","Opened for Services","141"
"2021","Wilson","8-San Antonio","Not Opened for Services","222"
"2021","Wilson","8-San Antonio","Opened for Services","41"
"2021","Winkler","9-Midland","Not Opened for Services","51"
"2021","Winkler","9-Midland","Opened for Services","7"
"2021","Wise","3-Arlington","Not Opened for Services","405"
"2021","Wise","3-Arlington","Opened for Services","63"
"2021","Wood","4-Tyler","Not Opened for Services","226"
"2021","Wood","4-Tyler","Opened for Services","45"
"2021","Yoakum","1-Lubbock","Not Opened for Services","28"
"2021","Yoakum","1-Lubbock","Opened for Services","5"
"2021","Young","2-Abilene","Not Opened for Services","132"
"2021","Young","2-Abilene","Opened for Services","28"
"2021","Zapata","11-Edinburg","Not Opened for Services","48"
"2021","Zapata","11-Edinburg","Opened for Services","14"
"2021","Zavala","8-San Antonio","Not Opened for Services","97"
"2021","Zavala","8-San Antonio","Opened for Services","29"
"2020","Anderson","4-Tyler","Not Opened for Services","268"
"2020","Anderson","4-Tyler","Opened for Services","65"
"2020","Andrews","9-Midland","Not Opened for Services","98"
"2020","Andrews","9-Midland","Opened for Services","35"
"2020","Angelina","5-Beaumont","Not Opened for Services","519"
"2020","Angelina","5-Beaumont","Opened for Services","80"
"2020","Aransas","11-Edinburg","Not Opened for Services","170"
"2020","Aransas","11-Edinburg","Opened for Services","41"
"2020","Archer","2-Abilene","Not Opened for Services","37"
"2020","Archer","2-Abilene","Opened for Services","8"
"2020","Armstrong","1-Lubbock","Not Opened for Services","3"
"2020","Armstrong","1-Lubbock","Opened for Services","1"
"2020","Atascosa","8-San Antonio","Not Opened for Services","315"
"2020","Atascosa","8-San Antonio","Opened for Services","116"
"2020","Austin","6-Houston","Not Opened for Services","96"
