"fiscal_year","region","case_actions","completed_investigations"
"2014","4-Tyler","Opened for Services","1278"
"2014","5-Beaumont","Not Opened for Services","5603"
"2014","5-Beaumont","Opened for Services","635"
"2014","6-Houston","Not Opened for Services","26172"
"2014","6-Houston","Opened for Services","4701"
"2014","7-Austin","Not Opened for Services","18841"
"2014","7-Austin","Opened for Services","2482"
"2014","8-San Antonio","Not Opened for Services","15805"
"2014","8-San Antonio","Opened for Services","4068"
"2014","9-Midland","Not Opened for Services","3750"
"2014","9-Midland","Opened for Services","863"
"2014","10-El Paso","Not Opened for Services","4046"
"2014","10-El Paso","Opened for Services","933"
"2014","11-Edinburg","Not Opened for Services","13506"
"2014","11-Edinburg","Opened for Services","3768"
"2014","Out of State","Not Opened for Services","31"
"2014","Out of State","Opened for Services","1"
"2013","1-Lubbock","Not Opened for Services","5695"
"2013","1-Lubbock","Opened for Services","1390"
"2013","2-Abilene","Not Opened for Services","4239"
"2013","2-Abilene","Opened for Services","981"
"2013","3-Arlington","Not Opened for Services","34046"
"2013","3-Arlington","Opened for Services","6095"
"2013","4-Tyler","Not Opened for Services","6865"
"2013","4-Tyler","Opened for Services","1224"
"2013","5-Beaumont","Not Opened for Services","4927"
"2013","5-Beaumont","Opened for Services","588"
"2013","6-Houston","Not Opened for Services","24600"
"2013","6-Houston","Opened for Services","4850"
"2013","7-Austin","Not Opened for Services","17975"
"2013","7-Austin","Opened for Services","2738"
"2013","8-San Antonio","Not Opened for Services","14491"
"2013","8-San Antonio","Opened for Services","4336"
"2013","9-Midland","Not Opened for Services","3727"
"2013","9-Midland","Opened for Services","799"
"2013","10-El Paso","Not Opened for Services","3624"
"2013","10-El Paso","Opened for Services","779"
"2013","11-Edinburg","Not Opened for Services","12132"
"2013","11-Edinburg","Opened for Services","4100"
"2013","Out of State","Not Opened for Services","34"
"2013","Out of State","Opened for Services","4"
"2012","1-Lubbock","Not Opened for Services","5992"
"2012","1-Lubbock","Opened for Services","1251"
"2012","2-Abilene","Not Opened for Services","3448"
"2012","2-Abilene","Opened for Services","922"
"2012","3-Arlington","Not Opened for Services","36076"
"2012","3-Arlington","Opened for Services","5379"
"2012","4-Tyler","Not Opened for Services","7860"
"2012","4-Tyler","Opened for Services","1021"
"2012","5-Beaumont","Not Opened for Services","5502"
"2012","5-Beaumont","Opened for Services","705"
"2012","6-Houston","Not Opened for Services","26495"
"2012","6-Houston","Opened for Services","3978"
"2012","7-Austin","Not Opened for Services","18692"
"2012","7-Austin","Opened for Services","2444"
"2012","8-San Antonio","Not Opened for Services","16105"
"2012","8-San Antonio","Opened for Services","4487"
"2012","9-Midland","Not Opened for Services","3467"
"2012","9-Midland","Opened for Services","809"
"2012","10-El Paso","Not Opened for Services","3864"
"2012","10-El Paso","Opened for Services","697"
"2012","11-Edinburg","Not Opened for Services","13240"
"2012","11-Edinburg","Opened for Services","3744"
"2012","Out of State","Not Opened for Services","29"
"2012","Out of State","Opened for Services","3"
