"incident_date","incident_number","location_district","offense_code","offense_description","weapon_type","incident_location","city","state","zip","latitude","longitude","location_1","incident_status"
"2021-08-14T15:08:00.000","2021-097948","91","23D","THEFT FROM BUILDING",,"8801  BASELINE RD","LITTLE ROCK","AR","72209","34.667168","-92.376986","(34.667168, -92.376986)","AD"
"2017-10-23T14:00:00.000","2017-134440","81","23D","THEFT FROM BUILDING",,"6724 INTERSTATE 30","LITTLE ROCK","AR","72209","34.686041","-92.30766","(34.686041, -92.30766)","AD"
"2020-06-01T05:00:00.000","2020-061953","93","23F","THEFT FROM MOTOR VEHICLE",,"11012  DOGWOOD CV","LITTLE ROCK","AR","72210","34.660195","-92.435489","(34.660195, -92.435489)","AD"
"2019-03-27T06:39:00.000","2019-036894","90","220","BURGLARY/B&E",,"6815 FORBING RD","LITTLE ROCK","AR","72209","34.683758","-92.353375","(34.683758, -92.353375)","AD"
"2021-07-01T04:23:00.000","2021-076254","83","220","BURGLARY/B&E",,"9201  CHICOT RD","LITTLE ROCK","AR","72209","34.666183","-92.362188","(34.666183, -92.362188)","AD"
"2020-01-15T13:15:00.000","2020-006023","81","220","BURGLARY/B&E",,"8 SHEFFIELD DR","LITTLE ROCK","AR","72209","34.684818","-92.326924","(34.684818, -92.326924)","AD"
"2018-02-16T22:00:00.000","2018-019834","93","23G","THEFT OF MOTOR VEHICLE PARTS",,"27 SOUTHERN HILLS CIR","LITTLE ROCK","AR","72210","34.671905","-92.423062","(34.671905, -92.423062)","AD"
"2018-11-22T22:00:00.000","2018-148802","91","23C","SHOPLIFTING",,"8824 BASELINE RD","LITTLE ROCK","AR","72209","34.6701","-92.376518","(34.6701, -92.376518)","AR"
"2021-11-09T04:56:00.000","2021-137794","91","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","7803 REBECCA DR","LITTLE ROCK","AR","72209","34.659715","-92.362954","(34.659715, -92.362954)","OP"
"2017-05-12T21:45:00.000","2017-055418","90","23H","ALL OTHER LARCENY",,"18 BROOKVIEW DR","LITTLE ROCK","AR","72209","34.692638","-92.357101","(34.692638, -92.357101)","AD"
"2019-10-17T22:00:00.000","2019-130499","92","23F","THEFT FROM MOTOR VEHICLE",,"11701 INTERSTATE 30","LITTLE ROCK","AR","72209","34.657764","-92.40542","(34.657764, -92.40542)","AD"
"2022-06-27T10:07:00.000","2022-075158","91","23G","THEFT OF MOTOR VEHICLE PARTS",,"8611 SHILOH DR","LITTLE ROCK","AR","72103","34.651061","-92.374575","(34.651061, -92.374575)","VD"
"2018-12-06T02:51:00.000","2018-154733","81","23F","THEFT FROM MOTOR VEHICLE",,"6319 FORBING RD","LITTLE ROCK","AR","72209","34.683755","-92.347732","(34.683755, -92.347732)","OP"
"2022-07-20T20:45:00.000","2022-085778","83","13A","AGGRAVATED ASSAULT","MOTOR VEHICLE","8900 GARDNER RD","LITTLE ROCK","AR","72209","34.662046","-92.337699","(34.662046, -92.337699)","AC"
"2017-05-27T12:07:00.000","2017-062621","91","23D","THEFT FROM BUILDING",,"8801 BASELINE RD","LITTLE ROCK","AR","72209","34.670094","-92.376278","(34.670094, -92.376278)","AD"
"2017-07-23T19:42:00.000","2017-089704","91","13A","AGGRAVATED ASSAULT","FIREARM","11500 CHICOT RD","LITTLE ROCK","AR","72103","34.645877","-92.363563","(34.645877, -92.363563)","EX"
"2020-07-05T21:42:00.000","2020-074943","90","220","BURGLARY/B&E",,"8501 MABELVALE PIKE","LITTLE ROCK","AR","72209","34.67645","-92.374484","(34.67645, -92.374484)","EX"
"2017-07-11T12:00:00.000","2017-084112","81","23A","POCKET-PICKING","PERSONAL WEAPONS (HANDS, FISTS, ETC)","8824 GEYER SPRINGS RD","LITTLE ROCK","AR","72209","34.669221","-92.344341","(34.669221, -92.344341)","OP"
"2021-07-15T01:32:00.000","2021-083370","82","13A","AGGRAVATED ASSAULT","HANDGUN","3  SOUTHAVEN CT","LITTLE ROCK","AR","72209","34.672445","-92.334607","(34.672445, -92.334607)","AD"
"2020-02-21T15:40:00.000","2020-020563","91","13A","AGGRAVATED ASSAULT","FIREARM","8515 CHICKAMAUGA CT","LITTLE ROCK","AR","72103","34.649","-92.373566","(34.649, -92.373566)","AD"
"2020-05-14T18:05:00.000","2020-051954","81","13A","AGGRAVATED ASSAULT","HANDGUN","46 HARROW DR","LITTLE ROCK","AR","72209","34.684163","-92.344117","(34.684163, -92.344117)","EX"
"2020-11-13T07:11:00.000","2020-133141","81","220","BURGLARY/B&E",,"8223  SCOTT HAMILTON DR","LITTLE ROCK","AR","72209","34.67419","-92.3173","(34.67419, -92.3173)","AD"
"2020-01-27T17:48:00.000","2020-010811","81","23F","THEFT FROM MOTOR VEHICLE",,"7521 GEYER SPRINGS RD","LITTLE ROCK","AR","72209","34.680989","-92.343161","(34.680989, -92.343161)","AD"
"2018-07-04T02:33:00.000","2018-097590","91","23F","THEFT FROM MOTOR VEHICLE",,"10719 GALLAHAD DR","LITTLE ROCK","AR","72209","34.652814","-92.357265","(34.652814, -92.357265)","AD"
"2019-07-09T00:00:00.000","2019-085404","82","23F","THEFT FROM MOTOR VEHICLE",,"7025 FAIRFIELD DR","LITTLE ROCK","AR","72209","34.665168","-92.356923","(34.665168, -92.356923)","OP"
"2020-12-22T22:52:00.000","2020-148086","91","13A","AGGRAVATED ASSAULT","FIREARM","7900  WOODHAVEN DR","LITTLE ROCK","AR","72209","34.662181","-92.366308","(34.662181, -92.366308)","AC"
"2019-07-24T03:45:00.000","2019-092056","81","23F","THEFT FROM MOTOR VEHICLE",,"7416 DAHLIA DR","LITTLE ROCK","AR","72209","34.672557","-92.360188","(34.672557, -92.360188)","AD"
"2021-02-02T09:53:00.000","2021-009481","83","240","MOTOR VEHICLE THEFT",,"5813 BASELINE RD","LITTLE ROCK","AR","72209","34.667476","-92.341477","(34.667476, -92.341477)","AD"
"2021-09-23T14:56:00.000","2021-116741","81","220","BURGLARY/B&E",,"4809 W 65TH ST","LITTLE ROCK","AR","72209","34.689703","-92.330276","(34.689703, -92.330276)","AD"
"2019-04-22T01:37:00.000","2019-048038","91","13A","AGGRAVATED ASSAULT","UNKNOWN","7924 MORRIS DR","LITTLE ROCK","AR","72209","34.657713","-92.367059","(34.657713, -92.367059)","EX"
"2020-03-19T22:30:00.000","2020-031670","91","23F","THEFT FROM MOTOR VEHICLE",,"7 PALAMINO CT","LITTLE ROCK","AR","72209","34.646256","-92.357678","(34.646256, -92.357678)","AD"
"2017-01-07T05:47:00.000","2017-002344","90","23F","THEFT FROM MOTOR VEHICLE",,"9515 INTERSTATE 30","LITTLE ROCK","AR","72209","34.676251","-92.364884","(34.676251, -92.364884)","AD"
"2021-01-13T21:12:00.000","2021-003105","82","13A","AGGRAVATED ASSAULT","KNIFE/CUTTING INSTRUMENT","5344 STANLEY DR","LITTLE ROCK","AR","72209","34.665734","-92.338993","(34.665734, -92.338993)","AJ"
"2018-04-28T17:36:00.000","2018-051030","91","23D","THEFT FROM BUILDING",,"8801 BASELINE ROAD","LITTLE ROCK","AR","72204","34.695782","-92.385817","(34.695782, -92.385817)","OP"
"2018-02-15T23:00:00.000","2018-019495","81","23G","THEFT OF MOTOR VEHICLE PARTS",,"8824 GEYER SPRINGS RD","LITTLE ROCK","AR","72209","34.669221","-92.344341","(34.669221, -92.344341)","OP"
"2019-10-20T23:04:00.000","2019-131725","81","220","BURGLARY/B&E",,"8217 INTERSTATE 30","LITTLE ROCK","AR","72209","34.67791","-92.338767","(34.67791, -92.338767)","UP"
"2021-04-13T17:19:00.000","2021-039007","92","23C","SHOPLIFTING",,"11201  BASS PRO PKY","LITTLE ROCK","AR","72210","34.661995","-92.407734","(34.661995, -92.407734)","AD"
"2018-05-21T06:00:00.000","2018-061068","82","220","BURGLARY/B&E",,"4013 WOODDALE DR","LITTLE ROCK","AR","72209","34.66441","-92.325379","(34.66441, -92.325379)","OP"
"2022-08-06T14:42:00.000","2022-092894","83","23H","ALL OTHER LARCENY",,"5209 HOLLY SPRINGS BLVD","LITTLE ROCK","AR","72206","34.627926","-92.339477","(34.627926, -92.339477)","AD"
"2021-02-24T12:22:00.000","2021-018087","81","220","BURGLARY/B&E",,"6117 W 65TH ST","LITTLE ROCK","AR","72209","34.690353","-92.345583","(34.690353, -92.345583)","AD"
"2021-02-23T16:04:00.000","2021-017731","91","23H","ALL OTHER LARCENY",,"9908  INTERSTATE 30","LITTLE ROCK","AR","72209","34.673931","-92.373212","(34.673931, -92.373212)","AD"
"2022-01-19T14:47:00.000","2022-007252","80","23G","THEFT OF MOTOR VEHICLE PARTS",,"7 WOODCREST CT","LITTLE ROCK","AR","72209","34.693345","-92.335796","(34.693345, -92.335796)","VD"
"2018-04-21T17:00:00.000","2018-047143","82","23H","ALL OTHER LARCENY",,"9101 AUXOR RD","LITTLE ROCK","AR","72209","34.66688","-92.315404","(34.66688, -92.315404)","OP"
"2018-09-21T21:50:00.000","2018-120961","93","23H","ALL OTHER LARCENY",,"6 BASS PRO DR","LITTLE ROCK","AR","72210","34.657546","-92.410408","(34.657546, -92.410408)","UP"
"2017-05-20T00:00:00.000","2017-059684","80","23D","THEFT FROM BUILDING",,"2401 W 65TH ST","LITTLE ROCK","AR","72209","34.688996","-92.304505","(34.688996, -92.304505)","AD"
