"month","year","fips","county","agriculture","mining","utilities","construction","manufacturing","wholesale","mvparts","furniture","electappl","bldgnursery","foodbeverage","healthcare","gasstations","clothing","sportshobbies","genmerchandise","miscstores","nonstore","transwrhse","information","financialinsurance","realestate","professionaltechnical","adsuppwstmngmremserv","education","health","artsentertainment","lodging","foodservices","otherservices","government","retailtrades","allindustries"
"6","2015","35","Douglas","872000","2731000","28381000","12181000","40084000","33621000","62970000","22615000","17691000","39006000","74252000","21626000","15841000","40877000","19751000","89803000","29754000","6282000","887000","40169000","232596000","13362000","54775000","6166000","2842000","23236000","12434000","10206000","54638000","27273000","48000","440468000","1036970000"
"12","2015","35","Douglas","400000","1643000","36780000","14472000","35773000","60216000","75228000","25393000","21602000","28585000","125098000","28966000","11090000","71357000","34993000","132077000","79401000","23911000","2923000","36581000","156229000","16808000","36168000","9827000","2935000","22607000","8782000","6956000","57124000","33624000","41000","657701000","1197590000"
"4","2014","35","Douglas","498000","2517000","30610000","6997000","24910000","20175000","48118000","18673000","9121000","30920000","72898000","17074000","18730000","36509000","13564000","81777000","13569000","2991000",,"24630000","18328000","8094000","36922000","3001000","1273000","9317000","5400000","5831000","44824000","14577000",,"363944000","622455000"
"5","2014","35","Douglas","741000","2358000","28389000","7103000","23296000","20533000","57470000","21400000","11029000","31763000","76338000","17044000","16155000","42909000","18379000","89609000","15622000","2846000",,"25250000","21002000","8367000","42664000","3578000","1141000","9588000","7124000","7137000","49219000","15384000",,"400564000","673832000"
"12","2018","35","Douglas","479000",,"38114000","18433000","42900000","65175000","106041000","29288000","28192000","30578000","154067000","41830000","11900000","68596000","33838000","152071000","42322000","34974000","1062000","38677000","24999000","24497000","68484000","8598000","3670000","30046000","12582000","6232000","67076000","47654000",,"733697000","1235802000"
"12","2017","35","Douglas","425000",,"33397000","18349000","40652000","62401000","121141000","25649000","26582000","31146000","150147000","35521000","13365000","74822000","33600000","144982000","49540000","27334000","1223000","37243000",,"21352000","55353000","6232000","5650000","31194000","12477000","6267000","65125000","41338000","117000","733829000","1248602000"
"11","2018","35","Douglas","234000",,"32473000","11662000","28238000","39930000","97804000","25113000","23578000","29558000","87851000","17609000","13254000","49091000","21392000","114261000","17077000","20779000","755000","25787000",,"16697000","19295000","3102000","683000","10515000","6014000","6643000","57196000","22197000","102000","517367000","957929000"
"11","2017","35","Douglas",,,"29889000","12070000","25913000","39649000","103404000","25308000","21612000","31009000","81783000","17281000","13084000","53168000","19780000","106473000","42893000","17910000","735000","42639000",,"13991000","16619000","2705000","746000","11558000","6095000","6822000","53780000","18218000","151000","533705000","925774000"
"10","2018","35","Douglas",,,"29475000","14974000","27536000","43071000","101913000","20963000","26156000","33965000","87698000","17105000","15401000","39752000","16275000","96694000","18643000","12880000","906000","23353000",,"21345000","17871000","3242000","777000","12483000","7113000","9366000","58853000","23853000","283000","487445000","909727000"
"10","2017","35","Douglas",,,"27886000","14436000","27976000","49927000","103741000","21111000","17031000","33120000","81761000","16597000","13782000","41486000","15559000","120251000","36760000","10556000","799000","30642000",,"14453000","16553000","3265000","1060000","8178000","6914000","8584000","59364000","18912000","214000","511755000","926652000"
"9","2018","35","Douglas","965000",,"33809000","14151000","32709000","38370000","101195000","24607000","18954000","32537000","91284000","32610000","15153000","45154000","22829000","132303000","25821000","13450000","1279000","28069000",,"21844000","40636000","5201000","3280000","28482000","12180000","10920000","61552000","38888000","169000","555897000","1073026000"
"9","2017","35","Douglas","845000",,"33528000","14239000","33350000","44546000","104936000","24392000","16539000","33161000","87142000","24790000","14193000","48545000","22900000","104707000","52273000","13207000","918000","37422000",,"17188000","33953000","5174000","2910000","23757000","12835000","10612000","55905000","35196000","222000","546785000","1024320000"
"8","2018","35","Douglas",,,"35275000","14199000","29068000","48247000","115709000","25062000","18267000","33853000","89491000","17254000","16169000","45191000","18500000","98181000","18792000","12103000","745000","24104000",,"16445000","18552000","3757000","565000","11559000","10785000","11888000","63595000","24356000","161000","508572000","919222000"
"8","2017","35","Douglas",,"5151000","32727000","12533000","29322000","43304000","105605000","23235000","13626000","33539000","84152000","17187000","14771000","46251000","20608000","65841000","50597000","10812000","518000","36396000",,"15028000","18966000","4120000","611000","8853000","10766000","11272000","59663000","20229000","169000","486224000","928413000"
"7","2018","35","Douglas",,,"36430000","11860000","30494000","46170000","108231000","24075000","17049000","39282000","89290000","16924000","15778000","53705000","17428000","97821000","19075000","12741000","605000","24452000",,"17146000","23522000","3849000","610000","13542000","11836000","12161000","65314000","20889000","207000","511399000","964492000"
"1","2013","35","Douglas","102000","826000","37448000","3592000","15552000","15909000","38623000","17093000","10546000","19173000","30870000","13579000","15214000","28797000","10772000","74030000","13079000","2866000",,"22875000","74960000","6533000","55446000","1743000","1177000","10650000","5187000","4770000","39870000","15078000",,"274642000","586913000"
"7","2017","35","Douglas",,"4760000","34950000","14153000","27136000","41378000","103191000","22428000","15368000","37637000","81580000","16644000","14151000","54964000","17568000","125821000","29931000","11393000","366000","38460000",,"16296000","24650000","3317000","768000","7144000","12043000","11314000","61835000","18883000","187000","530676000","967112000"
"11","2013","35","Douglas","119000","1901000","28637000","5113000","24743000","15821000","54742000","24159000","15557000","21792000","74750000","13668000","16945000","46507000","20714000","97834000","11959000","4897000",,"22572000","22542000","7187000","42873000","2380000","1151000","8542000","3733000","4943000","42876000","13754000",,"403524000","652920000"
"6","2018","35","Douglas","1178000",,"32080000","17448000","33971000","46736000","103576000","25309000","17322000","42826000","92115000","32893000","15969000","46552000","25073000","105013000","43961000","12830000","1188000","34237000",,"19689000","39817000","6470000","3511000","28429000","15074000","12784000","61028000","35350000","178000","563439000","1091828000"
"6","2017","35","Douglas","1379000",,"30276000","16568000","34862000","36577000","102784000","22818000","17278000","42925000","86055000","25490000","14917000","43975000","23590000","102084000","58553000","12408000","711000","37573000",,"17231000","34605000","5565000","2829000","23426000","15644000","12229000","57942000","33687000","209000","552877000","1007574000"
"5","2018","35","Douglas",,"5339000","27847000","13653000","25878000","41125000","100548000","23899000","15607000","43883000","90737000","17777000","15333000","46482000","16331000","100703000","46428000","11963000","728000","30236000",,"16390000","19714000","4879000","1256000","9475000","8849000","9575000","62086000","22340000","132000","529691000","896807000"
"5","2017","35","Douglas",,"2011000","27274000","11278000","28849000","35371000","110520000","23342000","14444000","41108000","83054000","17118000","14325000","44620000","18754000","91037000","42258000","11114000","575000","38980000",,"14222000","19714000","3954000","690000","8336000","8594000","9481000","58245000","18200000","214000","511694000","913920000"
"8","2013","35","Douglas","450000","1746000","32363000","5742000","20506000","18229000","57571000","21113000","13079000","23068000","72506000","13792000","20832000","42533000","19285000","87376000","12261000","3156000",,"23461000","17336000","7963000","37970000","2057000","1336000","9310000","8249000","8375000","48924000","15681000",,"386572000","646697000"
"3","2013","35","Douglas","175000","617000","31383000","5058000","19605000","21507000","50188000","18954000","10181000","18915000","100884000","25477000","18982000","40132000","14439000","83541000","15526000","4005000",,"23374000","18261000","7904000","48987000","3658000","2643000","17337000","4607000","4797000","43706000","22407000",,"401224000","679194000"
"4","2018","35","Douglas",,"3569000","29809000","11568000","25413000","37597000","88842000","21461000","15680000","36830000","82096000","15912000","13313000","39246000","16336000","90875000","35912000","11322000","670000","30003000",,"15632000","19407000","3643000","1127000","9688000","7035000","7774000","60164000","18967000","130000","467825000","879731000"
"4","2017","35","Douglas",,,"28794000","9907000","26805000","29908000","94500000","20906000","13715000","35825000","79105000","16950000","13287000","41929000","16608000","92761000","32948000","10817000","609000","37170000","47459000","14075000","20965000","3149000","798000","7482000","6368000","7220000","57760000","16725000","140000","469351000","789545000"
"3","2018","35","Douglas","387000",,"33955000","12066000","30847000","46019000","104720000","23919000","16623000","31199000","130957000","31083000","13080000","45857000","22023000","97845000","60123000","12167000","1130000","35282000",,"17854000","38717000","4671000","3469000","26423000","10543000","7791000","58610000","35826000","0","589596000","1073003000"
"7","2013","35","Douglas","542000","2428000","33206000","5795000","18780000","16924000","55937000","19971000","11219000","28718000","72017000","13608000","20948000","41581000","11475000","81627000","11287000","3335000",,"24642000","18245000","7924000","41084000","2814000","1251000","9066000","7664000","8144000","46516000","15450000",,"371723000","632692000"
"3","2017","35","Douglas",,,"32349000","11981000","32865000","40009000","95555000","22869000","13913000","29242000","78071000","25730000","13192000","42659000","23375000","89139000",,"12552000","1202000","37961000","36564000","14506000","35464000","3814000","2808000","23249000","10552000","7634000","53916000","31500000","204000","446297000","1037080000"
"2","2018","35","Douglas","93000",,"35724000","7590000","22243000","33666000","80077000","19447000","13104000","22472000","90199000","14992000","11155000","32233000","12430000","84266000","29497000","9998000","1154000","35455000",,"13792000","17202000","2960000","567000","8261000","5416000","6223000","50498000","16598000","177000","419870000","768795000"
"2","2017","35","Douglas","148000",,"34773000","7687000","23838000","26901000","78285000","19599000","11310000","18634000","74228000","14359000","11380000","32707000","13446000","80263000","52946000","10825000","457000","37184000",,"12720000","14197000","2438000","523000","7149000","5491000","5913000","48332000","16250000",,"417982000","727086000"
"1","2018","35","Douglas",,"2004000","38806000","11296000","25601000","33194000","90552000","19822000","18212000","26266000","34650000","16643000","12366000","31060000","13684000","86258000","17368000","11398000","1577000","39724000",,"15516000","21297000","2988000","739000","9148000","7290000","6286000","53118000","17935000","200000","378279000","810313000"
"1","2017","35","Douglas","68000",,"40787000","7556000","23267000","25025000","82095000","20672000","13794000","26789000","73961000","16603000","12097000","29094000","12671000","82989000","37855000","13650000","483000","38491000",,"13021000","68221000","2530000","647000","8437000","5822000","5885000","50363000","17187000",,"422270000","835647000"
"9","2013","35","Douglas","465000","2452000","33380000","8866000","28386000","19659000","51623000","20713000","11959000","24135000","71759000","26548000","18868000","36627000","20077000","104893000","17178000","3748000",,"23872000","16687000","10177000","63726000","4745000","2671000","21331000","7742000","7308000","45380000","23761000",,"408128000","729842000"
"1","2014","35","Douglas","16000","348000","40484000","4253000","16969000","16805000","44590000","17294000","12793000","18305000","32911000","16015000","16727000","28065000","14265000","72656000","12846000","3358000",,"23612000","14447000","7817000","87509000","1693000","1269000","11088000","4080000","5032000","41630000","14992000",,"289825000","582350000"
"5","2013","35","Douglas","691000","2776000","28228000","6393000","20456000","18835000","53503000","20397000","9280000","34316000","73165000","13381000","21785000","40066000","12638000","83313000","12263000","3013000",,"24208000","114860000","7414000","36876000","3573000","1156000","9184000","5702000","6648000","47062000","14648000",,"377120000","726240000"
"2","2014","35","Douglas","26000","383000","38838000","4184000","17162000","16254000","43601000","18657000","9045000","16570000","67781000","14921000","15768000","34527000","13328000","74077000","13678000","2905000",,"25194000","14599000","7560000","41107000","1672000","1080000","10673000","3684000","4969000","39582000","14719000",,"324858000","566990000"
"2","2013","35","Douglas","76000","338000","32252000","3206000","17994000","11639000","42096000","16927000","9581000","14630000","70638000","12051000","15731000","29456000","9098000","73341000","9406000","2663000",,"21205000","15061000","6067000","35687000","2265000","1084000","9835000","3875000","4321000","37136000","12296000",,"305618000","520527000"
"3","2015","35","Douglas","246000","1768000","36918000","8513000","27566000","30728000","59724000","20117000","12461000","24942000","67085000","21344000","11779000","43629000","19823000","85778000","21055000","6010000","1500000","25380000","18964000","12431000","48680000","4114000","3008000","24187000","8788000","6792000","50955000","26308000","63000","393747000","730656000"
"12","2013","35","Douglas","474000","2420000","37011000","11253000","172147000","54220000","60702000","24018000","23336000","19110000","113902000","35938000","16572000","62360000","32291000","125080000","34320000","12844000",,"27507000","18445000","14016000","123574000","6470000","6474000","25308000","7241000","6070000","49045000","28741000",,"560473000","1152091000"
"3","2014","35","Douglas","393000","1973000","34084000","6985000","28671000","24172000","53945000","19779000","10833000","20964000","105783000","22887000","19018000","40782000","19385000","84932000","18779000","3958000",,"26683000","16934000","9644000","48288000","4647000","3196000","22622000","6087000","5722000","47160000","22519000",,"421045000","732301000"
"10","2013","35","Douglas","335000","1661000","27215000","5892000","24921000","18359000","55802000","18744000","10547000","22466000","69474000","13551000","18922000","36888000","15474000","83029000","11469000","2930000",,"22765000","15118000","7701000","43226000","2668000","1243000","10528000","4779000","6528000","44831000","15290000",,"359296000","612865000"
"4","2013","35","Douglas","313000","1609000","31691000","3589000","17393000","20106000","48956000","16915000","8660000","27854000","65335000","12736000","19079000","34458000","10999000","77071000","9794000","2895000",,"21976000","64625000","6550000","46741000","2377000","1146000","8453000","5017000","4965000","41294000","14212000",,"334752000","627966000"
"6","2013","35","Douglas","751000","3100000","28323000","6388000","25554000","21222000","52083000","21052000","10799000","31311000","73736000","24551000","21712000","40343000","14817000","89471000","16624000","4192000",,"23737000","76237000","10749000","48078000","5117000","2903000","17114000","8332000","7771000","47848000","22977000",,"400691000","758497000"
"5","2015","35","Douglas","542000","2000000","27498000","8152000","20787000","19718000","61967000","23342000","10670000","32625000","73800000","15822000","12843000","46272000","17753000","91918000","16501000","4056000","484000","46489000","116997000","10061000","35482000","4063000","969000","10875000","7396000","8256000","54209000","15608000","23000","407569000","797178000"
"11","2015","35","Douglas","226000","1585000","27640000","6074000","31570000","18950000","64914000","23500000","16489000","24965000","68766000","16876000","10599000","47931000","20784000","97314000","15406000","8619000","1605000","24926000","34486000","11278000","14935000","3313000","725000","7113000","4850000","5558000","46919000","14453000","8000","416163000","672377000"
"10","2014","35","Douglas","386000","2284000","28315000","8282000","23801000","27086000","54013000","22178000","12186000","27377000","73154000","15170000","14746000","39625000","14473000","85602000","16035000","3069000",,"26102000","19596000","10631000","38029000","2880000","925000","11436000","5220000","7930000","48616000","16565000",,"377628000","656288000"
"2","2015","35","Douglas","41000","759000","34107000","5468000","19094000","24686000","47995000","16713000","9752000","17596000","64024000","13837000","9512000","29316000","12971000","74663000","13284000","4321000","1316000","23385000","18898000","9719000","38299000","1979000","854000","10047000","4167000","5966000","41596000","14616000","1000","313984000","568982000"
"2","2016","35","Douglas",,"1275000","32610000","5377000","28522000","17458000","57054000","18894000","10274000","19480000","68891000","15598000","9224000","32813000","16485000","75766000","16394000","5011000","1311000","22279000",,"11222000","19099000","1888000","699000","7029000","4781000","5767000","46415000","15399000","35000","345884000","735207000"
"12","2014","35","Douglas","504000","1189000","39252000","12599000","37561000","88830000","65888000","25092000","21122000","23097000","79708000","29175000","13862000","69170000","32770000","131678000","33857000","19180000",,"32728000","27075000","16969000","68160000","6249000","6717000","22662000","7292000","7371000","52997000","31990000",,"544599000","1005658000"
"11","2014","35","Douglas","124000","1431000","27544000","5857000","19020000","19161000","60654000","23593000","15523000","24256000","77080000","15351000","12703000","51355000","20001000","103592000","16808000","6396000",,"26469000","25535000","10030000","34839000","2060000","982000","10301000","4372000","5712000","45153000","14993000",,"427312000","681425000"
