"hwy","dir","bmp","emp","length","region","year","funcl","county","ptyp","trafz","envz","depth","numlanes","pgrp","nhs","iri","rut","fatg","tran","long","crbk","dl","dlidx","curve","mtcy","mtcd","cond"
"002C","1","17.51","19.3","1.79","1","1983","2","Adams","1","3","3","2","2","1331","1","69","97","95","72","94","0","4","TRAN","D","-1","-1","MODERATE"
"002C","1","19.3","19.9","0.6","1","2001","2","Adams","3","3","3","11.5","2","3332","1","60","100","0","92","99","100","5","IRI","D","-1","-1","MODERATE"
"002C","2","19.3","19.9","0.6","1","2001","2","Adams","3","3","3","11.5","2","3332","1","53","99","0","95","98","100","2","IRI","D","-1","-1","LOW"
"003A","1","0","2.4","2.4","5","2004","6","La Plata","1","2","3","3","2","1231","0","82","99","99","89","99","0","5","IRI","D","-1","-1","MODERATE"
"003A","2","2.2","2.4","0.2","5","1999","6","La Plata","1","2","3","4","2","1232","0","84","100","99","70","98","0","5","TRAN","D","-1","-1","MODERATE"
"005A","1","0","5","5","1","1994","8","Clear Creek","1","1","1","1.5","2","1111","0","66","100","96","81","99","0","4","IRI","D","1997","1.75","MODERATE"
"005A","1","5","10","5","1","1994","8","Clear Creek","1","1","1","1.5","2","1111","0","51","98","97","74","99","0","0","IRI","D","1996","1.75","LOW"
"005A","1","10","14.9","4.9","1","1994","8","Clear Creek","1","1","1","1.5","2","1111","0","42","99","93","70","99","0","0","IRI","D","1995","1.75","LOW"
"006A","1","11.1","16.3","5.2","3","1985","7","Mesa","1","2","4","4","2","1242","0","73","98","73","61","96","0","3","TRAN","D","-1","-1","LOW"
"006A","1","16.3","19","2.7","3","1981","7","Mesa","1","2","4","4","2","1242","0","70","100","55","34","97","0","0","TRAN","D","-1","-1","LOW"
"006A","1","19","22.3","3.3","3","2005","2","Mesa","1","2","4","2","2","1241","1","82","100","94","83","95","0","5","TRAN","D","-1","-1","MODERATE"
"006A","1","22.3","25.48","3.18","3","2002","2","Mesa","1","3","4","2","2","1341","1","80","99","91","68","92","0","2","TRAN","D","-1","-1","LOW"
"006A","1","25.48","26.1","0.62","3","1989","2","Mesa","1","2","4","4","4","1242","1","79","100","99","99","99","0","7","IRI","D","2011","1","MODERATE"
"006B","1","30.1","34.5","4.4","3","2001","6","Mesa","1","2","4","2","2","1241","0","72","100","95","80","84","0","4","IRI","D","-1","-1","MODERATE"
"006B","2","30.1","34.5","4.4","3","2001","6","Mesa","1","2","4","2","2","1241","0","75","100","92","83","88","0","4","IRI","D","-1","-1","MODERATE"
"006C","1","37.2","42.2","5","3","2004","6","Mesa","1","2","4","2.5","2","1241","0","80","99","96","75","97","0","4","TRAN","D","-1","-1","MODERATE"
"006C","1","42.2","46.1","3.9","3","2004","7","Mesa","1","1","4","2.5","2","1141","0","81","100","99","82","99","0","7","TRAN","D","-1","-1","MODERATE"
"006D","1","92","92.7","0.7","3","1996","7","Garfield","1","2","3","2","2","1231","0","78","94","97","91","97","0","5","IRI","D","2006","0.5","MODERATE"
"006D","1","92.7","97.7","5","3","2007","7","Garfield","1","2","3","3","2","1231","0","84","100","100","99","99","0","6","IRI","D","-1","-1","MODERATE"
"006D","1","97.7","99.3","1.6","3","2007","7","Garfield","1","2","3","3","2","1231","0","78","100","100","98","100","0","5","IRI","D","2000","4","MODERATE"
"006D","1","99.3","101.25","1.95","3","2007","7","Garfield","1","2","3","3","2","1231","0","84","100","100","99","100","0","6","IRI","D","2000","4","MODERATE"
"006D","1","101.25","101.9","0.65","3","1978","7","Garfield","1","2","3","4","2","1232","0","82","100","98","97","98","0","8","IRI","D","2000","4","MODERATE"
"006D","1","101.9","105.81","3.91","3","2007","7","Garfield","1","2","3","3","2","1231","0","84","100","100","99","100","0","6","IRI","D","2000","4","MODERATE"
"006D","1","105.81","107.3","1.49","3","1978","7","Garfield","1","2","3","4","2","1232","0","79","100","99","93","99","0","7","IRI","D","-1","-1","MODERATE"
"006D","1","107.3","110.8","3.5","3","1979","7","Garfield","1","2","3","4","2","1232","0","77","100","94","81","97","0","6","IRI","D","-1","-1","MODERATE"
"006E","1","141.8","147.1","5.3","3","1991","7","Eagle","1","3","3","4","2","1332","0","74","97","88","74","94","0","5","TRAN","D","-1","-1","MODERATE"
"006E","1","147.1","149.3","2.2","3","1990","7","Eagle","1","2","3","4","2","1232","0","72","89","93","78","95","0","5","IRI","D","-1","-1","MODERATE"
"006E","1","149.3","150","0.7","3","2014","7","Eagle","1","2","3","9","2","1233","0","100","100","100","100","100","0","21","FATG","D","-1","-1","HIGH"
"006E","1","150","150.502","0.502","3","1990","7","Eagle","1","2","3","4","2","1232","0","70","92","91","75","96","0","5","IRI","D","-1","-1","MODERATE"
"006E","1","150.502","151.6","1.098","3","1996","7","Eagle","1","2","3","2","2","1231","0","66","82","75","42","95","0","0","TRAN","D","-1","-1","LOW"
"006E","1","151.6","153.5","1.9","3","2008","7","Eagle","1","2","3","2","2","1231","0","80","100","100","94","100","0","5","IRI","D","-1","-1","MODERATE"
"006E","1","153.5","158.2","4.7","3","2012","7","Eagle","1","2","2","2","2","1221","0","83","100","100","92","100","0","7","IRI","D","-1","-1","MODERATE"
"006E","1","158.2","162.5","4.3","3","2009","7","Eagle","1","2","1","2","2","1211","0","82","100","100","95","100","0","4","IRI","D","-1","-1","MODERATE"
"006E","1","162.5","167.5","5","3","2014","7","Eagle","1","2","1","1.5","2","1211","0","100","100","100","100","100","0","10","FATG","D","2007","1.5","MODERATE"
"006E","1","167.5","171","3.5","3","2014","7","Eagle","1","2","1","1.5","2","1211","0","100","100","100","100","100","0","10","FATG","D","-1","-1","MODERATE"
"006E","1","171","172.09","1.09","3","1984","7","Eagle","1","2","1","4","2","1212","0","78","89","97","93","92","0","7","IRI","D","-1","-1","MODERATE"
"006E","2","171.9","173","1.1","3","1997","7","Eagle","1","1","1","2","2","1111","0","74","99","85","93","98","0","5","IRI","D","-1","-1","MODERATE"
"006E","1","172.09","173.79","1.7","3","1997","7","Eagle","1","1","1","2","1","1111","0","74","100","94","82","96","0","5","IRI","D","-1","-1","MODERATE"
"006E","1","173.79","174.5","0.71","3","1997","7","Eagle","1","1","1","5","2","1112","0","76","98","100","94","97","0","7","IRI","D","-1","-1","MODERATE"
"006F","1","208.7","210.6","1.9","3","2002","6","Summit","1","2","1","2","2","1211","0","78","88","92","79","91","0","3","TRAN","D","2004","1","LOW"
"006F","2","208.7","210.6","1.9","3","2002","6","Summit","1","2","1","2","2","1211","0","77","90","96","73","93","0","2","TRAN","D","2004","1","LOW"
"006F","1","210.6","212.9","2.3","3","2001","6","Summit","1","2","1","8","2","1213","0","85","80","92","97","90","0","7","RUT","D","1995","1.75","MODERATE"
"006F","2","210.6","212.9","2.3","3","2001","6","Summit","1","2","1","8","2","1213","0","80","86","93","84","87","0","7","IRI","D","-1","-1","MODERATE"
"006F","1","212.9","213.5","0.6","3","1995","6","Summit","1","2","1","2","2","1211","0","81","91","96","95","87","0","3","IRI","D","1996","1.75","LOW"
"006F","2","212.9","213.5","0.6","3","1995","6","Summit","1","2","1","2","2","1211","0","81","94","99","93","92","0","3","IRI","D","-1","-1","LOW"
"006F","1","213.5","218.5","5","3","2004","6","Summit","1","2","1","2","2","1211","0","83","95","98","96","94","0","4","IRI","D","1996","1.75","MODERATE"
"006F","2","213.5","216.6","3.1","3","2004","6","Summit","1","2","1","2","2","1211","0","83","95","99","94","97","0","4","IRI","D","-1","-1","MODERATE"
"006F","1","218.5","223.5","5","3","2004","6","Summit","1","2","1","2","2","1211","0","81","100","99","94","95","0","3","IRI","D","1994","1.75","LOW"
"006F","1","223.5","227.5","4","1","2004","6","Clear Creek","1","2","1","2","2","1211","0","78","100","99","87","97","0","3","IRI","D","1991","1.5","LOW"
"006F","1","227.5","229.9","2.4","1","2000","6","Clear Creek","1","2","1","3","2","1211","0","80","100","100","91","98","0","3","IRI","D","2002","1.75","LOW"
"006G","1","257.1","260.2","3.1","1","2000","6","Clear Creek","1","2","1","3","2","1211","0","76","100","94","77","96","0","3","TRAN","D","2007","1.5","LOW"
"006G","1","260.2","265.2","5","1","2007","6","Jefferson","1","2","1","1","2","1211","0","76","99","89","79","98","0","3","TRAN","D","2004","1.5","LOW"
"006G","1","265.2","270.2","5","1","2007","6","Jefferson","1","2","1","1","2","1211","0","79","100","90","81","99","0","3","TRAN","D","2004","1.5","LOW"
"006G","1","270.2","272.1","1.9","1","2007","6","Jefferson","1","2","1","1","2","1211","0","74","99","88","79","99","0","3","TRAN","D","2004","1.5","LOW"
"006G","2","271.5","272.1","0.6","1","1992","12","Jefferson","1","3","3","9","2","1333","1","75","100","100","96","99","0","7","IRI","D","-1","-1","MODERATE"
"006G","1","272.1","272.6","0.5","1","2002","12","Jefferson","1","3","3","2","2","1331","1","83","100","95","86","97","0","6","IRI","D","2012","1","MODERATE"
"006G","2","272.1","272.6","0.5","1","2002","12","Jefferson","1","3","3","2","2","1331","1","82","100","100","96","98","0","6","IRI","D","2012","1","MODERATE"
"006G","1","272.6","275.15","2.55","1","2007","12","Jefferson","1","3","3","2.5","2","1331","1","78","99","96","94","91","0","5","IRI","D","1987","1.75","MODERATE"
"006G","2","272.6","275.15","2.55","1","2007","12","Jefferson","1","3","3","2.5","2","1331","1","80","99","99","96","91","0","6","IRI","D","1987","1.75","MODERATE"
"006G","1","275.15","278.6","3.45","1","2006","12","Jefferson","1","3","3","2","3","1331","1","85","99","100","92","87","0","7","LONG","D","2012","0.25","MODERATE"
"006G","2","275.15","278.6","3.45","1","2006","12","Jefferson","1","3","3","2","3","1331","1","85","99","99","94","87","0","7","LONG","D","2012","0.25","MODERATE"
"006G","1","278.6","282.2","3.6","1","2013","12","Jefferson","1","3","3","2.5","3","1331","1","85","98","100","98","99","0","7","IRI","D","2001","1.5","MODERATE"
"006G","2","278.6","282.2","3.6","1","2013","12","Jefferson","1","3","3","2.5","3","1331","1","85","98","99","98","99","0","7","IRI","D","2001","1.5","MODERATE"
"006G","1","282.2","282.7","0.5","1","2013","12","Denver","1","3","3","2","3","1331","1","81","93","100","95","96","0","6","IRI","D","1967","1.5","MODERATE"
"006G","2","282.2","282.7","0.5","1","2013","12","Denver","1","3","3","2","3","1331","1","79","97","100","97","94","0","6","IRI","D","1967","1.5","MODERATE"
"006G","1","282.7","283.7","1","1","2004","12","Denver","1","3","3","2","3","1331","1","80","79","98","86","91","0","6","RUT","D","1975","1.5","MODERATE"
"006G","2","282.7","283.7","1","1","2004","12","Denver","1","3","3","2","3","1331","1","78","79","96","89","90","0","5","IRI","D","1975","1.5","MODERATE"
"006G","1","283.7","284.9","1.2","1","2000","12","Denver","1","3","3","2","4","1331","1","70","97","88","86","94","0","4","IRI","D","1990","1.25","MODERATE"
"006G","2","283.7","284.9","1.2","1","2000","12","Denver","1","3","3","2","4","1331","1","69","100","94","91","96","0","4","IRI","D","1990","1.25","MODERATE"
"006H","1","291","296.3","5.3","1","2012","2","Adams","1","3","3","3","2","1331","1","82","99","100","100","100","0","6","IRI","D","1988","1.5","MODERATE"
"006H","2","291","296.3","5.3","1","2012","2","Adams","1","3","3","3","2","1331","1","75","98","100","99","100","0","5","IRI","D","1988","1.5","MODERATE"
"006I","1","343.5","344.184","0.684","4","2005","8","Morgan","1","2","3","4","2","1232","0","70","99","91","80","98","0","5","IRI","D","2006","0.25","MODERATE"
"006I","1","344.184","346.7","2.516","4","1965","8","Morgan","1","2","3","4","2","1232","0","74","100","79","56","96","0","1","TRAN","D","2006","0.25","LOW"
"006J","1","371.7","376.7","5","4","1997","7","Morgan","1","2","3","2","2","1231","0","82","100","92","60","91","0","2","TRAN","D","2003","0.5","LOW"
"006J","1","376.7","380.57","3.87","4","1997","7","Morgan","1","2","3","2","2","1231","0","84","100","96","64","91","0","2","TRAN","D","2004","0.5","LOW"
"006J","1","380.57","385.57","5","4","2010","7","Washington","1","2","3","2.25","2","1231","0","88","100","100","89","99","0","6","IRI","D","1997","1.5","MODERATE"
"006J","1","385.57","389.25","3.68","4","2010","7","Washington","1","2","3","2.25","2","1231","0","86","100","100","90","99","0","6","IRI","D","2003","1.25","MODERATE"
"006J","1","389.25","390.4","1.15","4","2000","7","Logan","1","2","3","2","2","1231","0","79","100","97","81","93","0","5","TRAN","D","1989","1.5","MODERATE"
"006J","1","390.4","395.4","5","4","1991","7","Logan","1","2","3","2","2","1231","0","83","100","85","49","92","0","0","TRAN","D","2003","0.25","LOW"
"006J","1","395.4","400.4","5","4","1991","6","Logan","1","2","3","2","1","1231","0","78","100","79","57","93","0","1","TRAN","D","2009","0.25","LOW"
"006J","2","397.9","402.9","5","4","1991","6","Logan","1","2","3","2","2","1231","0","71","97","52","70","96","0","0","FATG","D","2009","0.25","LOW"
"006J","1","400.4","404.651","4.251","4","1991","6","Logan","1","2","3","2","2","1231","0","74","97","65","45","94","0","0","TRAN","D","2007","0.25","LOW"
"006J","2","402.9","404.651","1.751","4","1991","6","Logan","1","2","3","2","2","1231","0","66","92","55","57","91","0","1","FATG","D","2004","0.25","LOW"
"006J","1","404.651","406.88","2.229","4","1990","2","Logan","1","3","4","2","2","1341","1","77","97","86","77","92","0","4","TRAN","D","1997","1","MODERATE"
"006J","2","404.651","406.8","2.149","4","1990","2","Logan","1","3","4","2","2","1341","1","77","99","87","84","93","0","4","IRI","D","1999","0.25","MODERATE"
"006J","1","406.88","411.88","5","4","1999","6","Logan","1","2","4","2","2","1241","0","78","99","78","55","95","0","1","TRAN","D","1971","1","LOW"
"006J","1","411.88","416.88","5","4","1999","6","Logan","1","2","4","2","2","1241","0","79","100","91","71","96","0","3","TRAN","D","1995","1","LOW"
"006J","1","416.88","418.9","2.02","4","1999","6","Logan","1","2","3","2","2","1231","0","79","100","95","65","95","0","2","TRAN","D","1995","1","LOW"
"006J","1","418.9","423.9","5","4","1994","6","Logan","1","2","3","3.5","2","1231","0","79","100","92","82","98","0","5","TRAN","D","1998","1","MODERATE"
"006J","1","423.9","425.5","1.6","4","1994","6","Logan","1","2","3","3.5","2","1231","0","81","100","98","87","98","0","5","IRI","D","1998","1","MODERATE"
"006J","1","425.5","429.3","3.8","4","2000","6","Logan","1","2","3","2","2","1231","0","84","100","99","84","96","0","6","TRAN","D","2010","0.125","MODERATE"
"006J","1","429.3","434.3","5","4","1998","6","Logan","4","3","3","5.5","2","4331","0","85","100","0","98","97","100","10","IRI","D","1996","1","MODERATE"
"006J","1","434.3","439.3","5","4","1998","6","Phillips","4","2","3","5.5","2","4231","0","85","100","0","99","96","100","10","IRI","D","1996","1","MODERATE"
"006J","1","439.3","441.3","2","4","1998","6","Phillips","4","2","3","5.5","2","4231","0","85","100","0","99","99","100","10","IRI","D","1996","1","MODERATE"
"006J","1","441.3","443.4","2.1","4","2001","6","Phillips","4","2","3","8","2","4231","0","82","100","0","100","98","100","9","IRI","D","1996","1","MODERATE"
"006J","1","443.4","444.4","1","4","2003","6","Phillips","4","2","3","9","2","4232","0","83","100","0","100","99","100","16","IRI","D","1996","1","HIGH"
"006J","1","444.4","449.4","5","4","2001","6","Phillips","4","3","3","8","2","4331","0","82","100","0","99","99","100","9","IRI","D","1996","1","MODERATE"
"006J","1","449.4","453.85","4.45","4","2001","6","Phillips","4","3","3","8","2","4331","0","82","100","0","96","99","100","9","IRI","D","1996","1","MODERATE"
"006J","1","453.85","454.54","0.69","4","1996","6","Phillips","3","2","3","8","4","3231","0","78","98","0","88","96","100","8","IRI","D","-1","-1","MODERATE"
"006J","1","454.54","459.03","4.49","4","1996","6","Phillips","1","2","3","2","2","1231","0","79","100","96","73","99","0","4","TRAN","D","1989","1","MODERATE"
"006J","1","459.03","464.03","5","4","1996","6","Phillips","1","2","3","2","2","1231","0","80","100","99","75","99","0","4","TRAN","D","1986","1","MODERATE"
"006J","1","464.03","467.3","3.27","4","1996","6","Phillips","1","2","4","2","2","1241","0","80","100","99","75","99","0","4","TRAN","D","1991","1","MODERATE"
"006K","1","0","0.3","0.3","3","1988","7","Garfield","1","2","3","4","2","1232","0","60","76","96","86","96","0","2","IRI","D","-1","-1","LOW"
"006L","1","88.9","91.2","2.3","3","1996","7","Garfield","1","2","3","2","2","1231","0","83","100","99","91","97","0","5","IRI","D","-1","-1","MODERATE"
"006M","1","62.3","65.4","3.1","3","1999","7","Mesa","1","2","4","4","2","1242","0","66","100","77","60","98","0","2","TRAN","D","-1","-1","LOW"
"006M","1","65.4","70.4","5","3","1985","7","Garfield","1","2","4","4","2","1242","0","65","85","59","50","96","0","0","TRAN","D","2007","0.5","LOW"
"006M","1","70.4","75.4","5","3","1985","7","Garfield","1","2","4","4","2","1242","0","79","100","92","92","99","0","7","IRI","D","-1","-1","MODERATE"
"006M","1","75.4","80.4","5","3","1999","7","Garfield","1","2","4","4","2","1242","0","63","99","74","56","97","0","1","TRAN","D","-1","-1","LOW"
"006M","1","80.4","85.4","5","3","1999","7","Garfield","1","2","4","4","2","1242","0","67","81","89","54","96","0","1","TRAN","D","-1","-1","LOW"
"006M","1","85.4","88.9","3.5","3","1999","7","Garfield","1","2","4","4","2","1242","0","73","94","86","72","98","0","5","TRAN","D","-1","-1","MODERATE"
"006Z","1","0","0.6","0.6","4","1991","6","Logan","1","2","4","2","2","1241","0","50","93","92","79","91","0","0","IRI","D","-1","-1","LOW"
"007A","1","0","2.443","2.443","4","1999","6","Larimer","1","2","2","3.5","2","1221","0","74","95","91","76","94","0","5","IRI","D","1992","1","MODERATE"
"007A","1","2.443","6.5","4.057","4","1987","6","Larimer","1","1","1","2","2","1111","0","72","100","84","55","97","0","1","TRAN","D","2003","0.25","LOW"
"007A","1","6.5","7.345","0.845","4","1981","6","Larimer","1","1","1","3.5","2","1111","0","77","100","100","82","99","0","6","IRI","D","2003","0.25","MODERATE"
"007A","1","7.345","11.369","4.024","4","1992","6","Larimer","1","1","1","3.75","2","1111","0","65","100","56","72","98","0","1","FATG","D","2003","0.25","LOW"
"007A","1","11.369","16.369","5","4","1954","6","Boulder","1","1","1","2","2","1111","0","78","100","87","87","99","0","6","IRI","D","2009","1.5","MODERATE"
"007A","1","16.369","19.145","2.776","4","1954","6","Boulder","1","1","1","2","2","1111","0","76","100","89","79","97","0","6","TRAN","D","-1","-1","MODERATE"
"007A","1","19.145","24.145","5","4","2013","6","Boulder","1","1","1","0.375","2","1111","0","84","100","100","96","100","0","7","IRI","D","1992","1","MODERATE"
"007A","1","24.145","29.145","5","4","2013","6","Boulder","1","1","2","0.375","2","1121","0","77","100","99","96","99","0","7","IRI","D","2001","1.5","MODERATE"
"007A","1","29.145","33.1","3.955","4","2013","6","Boulder","1","2","3","0.375","2","1231","0","80","100","100","91","98","0","5","IRI","D","1992","1","MODERATE"
"007B","1","49.5","50.6","1.1","4","2004","2","Boulder","1","2","3","2","2","1231","1","70","96","98","96","89","0","3","IRI","D","1988","1","LOW"
"007B","2","49.5","50.6","1.1","4","2004","2","Boulder","1","2","3","2","2","1231","1","73","93","99","100","100","0","4","IRI","D","1985","1","MODERATE"
"007C","1","52.3","54.9","2.6","4","2000","2","Boulder","1","2","3","2","3","1231","1","77","80","97","86","94","0","4","IRI","D","2001","1","MODERATE"
"007C","2","52.3","55","2.7","4","2000","2","Boulder","1","2","3","2","3","1231","1","71","80","91","79","90","0","3","IRI","D","2001","1","LOW"
"007C","1","54.9","56.999","2.099","4","2011","2","Boulder","1","2","3","8","2","1233","1","82","98","99","99","99","0","11","IRI","D","1991","1","HIGH"
"007C","1","56.999","60.7","3.701","4","2000","2","Boulder","1","2","3","2","2","1231","1","71","85","73","74","92","0","3","IRI","D","1973","1.5","LOW"
"007D","1","61.9","63.2","1.3","1","2011","2","Boulder","1","2","3","2.5","2","1231","1","79","100","97","90","100","0","5","IRI","D","-1","-1","MODERATE"
"007D","1","63.2","68.1","4.9","1","2005","2","Broomfield","1","2","3","2.5","2","1231","1","80","100","97","88","95","0","5","IRI","D","-1","-1","MODERATE"
"007D","1","68.1","68.9","0.8","1","2005","2","Broomfield","1","3","3","13","4","1333","1","77","100","99","95","90","0","8","IRI","D","1985","1","MODERATE"
"007D","1","68.9","69.4","0.5","1","2005","2","Adams","1","3","3","7.5","2","1333","1","76","100","97","95","88","0","8","IRI","D","1985","1","MODERATE"
"007D","1","69.4","70.3","0.9","1","2002","2","Adams","1","3","3","2","2","1331","1","86","100","85","64","88","0","3","TRAN","D","2005","1","LOW"
"007D","1","70.3","70.8","0.5","1","2002","2","Adams","1","2","3","10.5","2","1233","1","84","100","96","92","95","0","12","IRI","D","2005","1","HIGH"
"007D","1","70.8","75.8","5","1","2002","2","Adams","1","2","3","2","2","1231","1","86","100","89","81","88","0","5","TRAN","D","2005","1","MODERATE"
"007D","1","75.8","76.3","0.5","1","2002","2","Adams","1","2","3","2","2","1231","1","84","100","89","76","80","0","4","TRAN","D","2005","1","MODERATE"
"007D","1","76.3","77.1","0.8","1","2010","2","Adams","1","2","3","11.75","2","1233","1","77","100","87","81","89","0","9","IRI","D","2005","1","MODERATE"
"007D","2","76.8","77.1","0.3","1","2004","2","Adams","3","3","3","10","2","3332","1","75","100","0","79","92","92","12","IRI","D","-1","-1","HIGH"
"007E","1","0","1.6","1.6","4","1954","8","Boulder","1","1","3","2","2","1131","0","51","99","60","76","97","0","0","IRI","D","-1","-1","LOW"
"008A","1","0","2.1","2.1","1","2011","6","Jefferson","1","2","3","2.5","2","1231","0","77","100","100","93","100","0","4","IRI","D","1990","1.5","MODERATE"
"008A","1","2.1","2.92","0.82","1","2005","2","Jefferson","1","2","3","2","2","1231","1","71","99","95","86","99","0","3","IRI","D","1990","1.5","LOW"
"008A","2","2.6","7.1","4.5","1","2003","2","Jefferson","1","2","3","2","2","1231","1","71","100","91","80","88","0","3","IRI","D","2008","1","LOW"
"008A","1","2.92","7.1","4.18","1","2003","2","Jefferson","1","2","3","2","2","1231","1","74","100","96","82","91","0","4","IRI","D","2008","1","MODERATE"
"008A","1","7.1","8.7","1.6","1","1957","2","Jefferson","1","2","3","3.5","2","1231","1","74","99","93","60","95","0","2","TRAN","D","2008","1","LOW"
"009A","1","0","3.19","3.19","2","1989","6","Fremont","1","2","3","3.25","2","1231","0","72","100","96","61","96","0","2","TRAN","D","2001","0.75","LOW"
"009A","1","3.19","4.79","1.6","2","1967","6","Fremont","1","2","3","2","2","1231","0","74","100","83","70","97","0","3","TRAN","D","2001","0.75","LOW"
"009A","1","4.79","8","3.21","2","1966","6","Fremont","1","2","3","2","2","1231","0","79","100","84","47","94","0","0","TRAN","D","2006","0.75","LOW"
"009A","1","8","13","5","2","1984","6","Fremont","1","2","3","2","2","1231","0","76","100","67","43","97","0","0","TRAN","D","2003","0.75","LOW"
"009A","1","13","14","1","2","1984","6","Fremont","1","2","3","2","2","1231","0","77","100","97","68","98","0","3","TRAN","D","2007","0.75","LOW"
"009A","1","14","16.5","2.5","2","1969","6","Fremont","1","2","3","2","2","1231","0","73","100","97","75","96","0","4","TRAN","D","2007","0.75","MODERATE"
"009A","1","16.5","18.168","1.668","2","1997","6","Fremont","1","2","3","4","2","1232","0","79","100","92","76","94","0","6","TRAN","D","2003","0.75","MODERATE"
"009A","1","18.168","23.168","5","2","1999","6","Park","1","2","2","4","2","1222","0","85","100","100","88","99","0","8","TRAN","D","2010","0.75","MODERATE"
"009A","1","23.168","28.168","5","2","1999","6","Park","1","1","2","4","2","1122","0","87","100","100","92","99","0","9","IRI","D","2009","0.75","MODERATE"
"009A","1","28.168","33.168","5","2","1999","6","Park","1","1","2","4","2","1122","0","87","100","100","89","100","0","9","IRI","D","2005","0.5","MODERATE"
"009A","1","33.168","38.168","5","2","1999","6","Park","1","1","1","4","2","1112","0","85","100","100","88","99","0","9","IRI","D","2005","0.5","MODERATE"
"009A","1","38.168","43.168","5","2","1999","6","Park","1","1","1","4","2","1112","0","87","100","100","88","100","0","9","IRI","D","-1","-1","MODERATE"
"009A","1","43.168","47","3.832","2","1999","6","Park","1","2","1","4","2","1212","0","87","100","100","85","99","0","9","TRAN","D","2003","1.5","MODERATE"
"009B","1","47.6","52.6","5","2","-1","6","Park","1","2","1","4","2","1212","0","85","100","100","83","100","0","9","TRAN","D","2003","0.5","MODERATE"
"009B","1","52.6","57.6","5","2","-1","6","Park","1","2","1","4","2","1212","0","85","100","100","92","99","0","9","IRI","D","2003","0.5","MODERATE"
