Receipt,Permit,Current Status,County,Designated Basin,Denver Basin Aquifer,Township,Range,Section,Q40,Q160,CoordsEW,CoordsEW Dir,CoordsNS,CoordsNS Dir,UTM x,UTM y,Permit Category,Well Constructed,Pump Installed,Well Plugged,Associated Aquifers,Associated Uses,Elevation,Well Depth,Top Perforated Casing,Bottom Perforated Casing,Yield,Static Water Level,Static Water Level Date,WDID,Associated Case Numbers,Modified,More Information,Location,IDKey,Counties
0399734 ,196465-,Well Constructed,JEFFERSON,,Yes,3.0 S,70.0 W,11,NE,NE,530,E,120,N,484107.2,4406926.9,Residential,05/07/1996,,,LARAMIE FOX HILLS,Domestic,5640,485,260,485,,190.00,1996/05/07,,,11/08/2013 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0399734,"(39.812179, -105.185691)",0399734  140352,1008
0054216 ,27982--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SW,NE,2344,E,2528,N,485115.0,4425540.0,Residential,07/25/1974,,,LARAMIE FOX HILLS,Domestic,,548,,,,225.00,1974/07/25,,,12/17/2007 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0054216,"(39.979899, -105.174339)",0054216  129397,85
0051148 ,18282-F,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SW,SW,1100,W,900,S,484561.6,4424983.8,General Purpose,11/23/1974,10/03/1975,,LARAMIE FOX HILLS,Municipal,,510,300,510,15.00,252.00,1974/11/23,,W7017,12/11/2001 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0051148,"(39.974879, -105.180802)",0051148  5405,85
3601025 ,268382-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,15,SE,NW,2550,W,2550,N,481782.9,4423852.2,Residential,10/25/2006,10/25/2006,,LARAMIE FOX HILLS,Domestic,5520,304,120,280,7.40,76.00,2006/10/25,,,01/18/2007 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/3601025,"(39.964625, -105.213315)",3601025  296802,85
0363488B,175738-,Permit Canceled,BOULDER,,Yes,1.0 N,70.0 W,24,SW,SE,2270,E,925,S,484883.9,4431284.2,Residential,02/07/1994,02/15/1994,,LARAMIE-FOX HILLS,Household use only,,260,40,240,2.67,27.00,1994/02/07,,,02/03/2020 08:59:00 AM,https://dwr.state.co.us/Tools/WellPermits/0363488B,"(40.031647, -105.177178)",0363488B 258605,85
0476150 ,233327-,Permit Canceled,JEFFERSON,,Yes,3.0 S,70.0 W,15,NW,SW,150,W,2370,S,481064.5,4404461.0,Residential,05/23/2001,06/11/2001,,LARAMIE FOX HILLS,Domestic,5980,725,520,720,3.00,60.00,2001/05/23,,,08/13/2001 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0476150,"(39.789898, -105.22116)",0476150  8934,1008
0416475 ,43048--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,SE,NE,850,E,1250,N,485597.3,4427410.2,Residential,05/30/1997,06/04/1997,,LARAMIE-FOX HILLS,Irrigation,,242,122,242,15.00,26.00,1997/05/30,,,02/17/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0416475,"(39.996755, -105.168735)",0416475  204601,85
0267250 ,48377--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,SE,SW,2450,W,650,S,484969.4,4426508.6,Residential,08/01/1986,08/04/1986,,LARAMIE FOX HILLS,Domestic,,360,120,340,510.00,145.00,1986/08/01,,,02/29/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0267250,"(39.988627, -105.176071)",0267250  48793,85
3612852 ,99425--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,2,SE,NE,,,,,483863.0,4427132.0,Residential,02/16/2007,05/29/2007,,LARAMIE FOX HILLS,Domestic,,390,210,390,12.00,5.00,2007/02/16,,,08/06/2007 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/3612852,"(39.994219, -105.189041)",3612852  276608,85
0222963,124214-,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,36,NW,NE,,,,,485087.8,4429075.5,Residential,10/31/1982,09/09/2019,,LARAMIE FOX HILLS,Domestic,,14,10,14,1500.00,,,0607372,,10/11/2019 02:47:00 PM,https://dwr.state.co.us/Tools/WellPermits/0222963,"(40.011757, -105.174736)",0222963 343876,85
0355385 ,161604--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,NW,NE,2210,E,400,N,485155.5,4426188.7,Residential,06/28/1993,07/08/1993,,LARAMIE FOX HILLS,Domestic,,480,300,460,10.00,235.00,1993/06/28,,,09/03/2009 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0355385,"(39.985747, -105.173885)",0355385  260436,85
0363051,175332-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,22,NE,SE,455,E,1390,S,482466.8,4421869.0,Residential,02/16/1994,03/31/1994,,LARAMIE FOX HILLS,"Domestic, Stock",,420,120,380,5.00,65.00,1994/02/16,,,10/18/1994 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0363051,"(39.946773, -105.205252)",0363051 142867,85
3667266A,78810-F,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,36,SW,SW,,,,,484095.0,4428149.0,General Purpose,10/03/2012,08/06/2019,,LARAMIE-FOX HILLS,"Domestic, Stock",,,,,15.00,62.00,2019/08/06,0605193,05CW269,09/18/2019 12:59:00 PM,https://dwr.state.co.us/Tools/WellPermits/3667266A,"(40.003387, -105.186348)",3667266A 261859,85
9013062 ,79641-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,NW,SW,1050,W,2210,S,484543.8,4425383.3,Residential,06/04/1974,,,LARAMIE FOX HILLS,Domestic,,490,243,490,,130.00,1974/06/04,,,07/15/1975 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9013062,"(39.978474, -105.181022)",9013062  304685,85
0010552 ,45408--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,NW,NW,,,,,484249.7,4426097.0,Residential,07/03/1985,10/23/2020,,LARAMIE FOX HILLS,Domestic,,440,220,420,5.00,200.00,2020/10/23,0605048,,12/09/2020 10:32:00 AM,https://dwr.state.co.us/Tools/WellPermits/0010552,"(39.984901, -105.184483)",0010552  341698,85
9011182 ,40188-,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,36,SE,SE,,,,,485349.0,4428075.0,Residential,02/11/1970,,,LARAMIE FOX HILLS,Domestic,,160,23,160,,30.00,1970/02/11,,,02/29/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9011182,"(40.002742, -105.171655)",9011182  287323,85
0368780 ,28158--A,Permit Canceled,BOULDER,,Yes,1.0 S,70.0 W,1,NE,SW,2550,W,2200,S,485010.4,4426981.1,Residential,01/04/1995,01/06/1995,,LARAMIE FOX HILLS,Domestic,,290,60,290,10.00,22.00,1995/01/04,,,02/24/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0368780,"(39.99288, -105.175602)",0368780  165056,85
0369128,179656-,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,25,NE,NE,280,E,375,N,485777.0,4411671.1,Residential,08/30/1994,12/13/1994,,LARAMIE FOX HILLS,Domestic,,1060,875,1060,14.00,445.00,1994/08/30,,,02/14/1995 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0369128,"(39.854952, -105.166283)",0369128 75261,1008
9026969,15924-F,Well Constructed,JEFFERSON,,Yes,3.0 S,70.0 W,13,NE,NW,2600,W,450,N,485047.8,4405209.4,General Purpose,03/07/1972,,,LARAMIE FOX HILLS,Commercial,5625,1280,1130,1280,,278.00,1972/03/07,0705280,,02/13/1973 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9026969,"(39.796716, -105.174658)",9026969 250687,1008
9035160 ,143337-,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,36,SE,SW,2000,W,100,S,484862.4,4408591.7,Residential,01/30/1986,02/11/1986,,LARAMIE FOX HILLS,Domestic,,1100,920,1100,15.00,410.00,1986/01/30,,,11/24/1986 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9035160,"(39.827194, -105.176909)",9035160  183391,1008
9009784 ,19889-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SE,NW,,,,,484736.0,4425782.0,Residential,04/29/1964,01/12/2017,,LARAMIE FOX HILLS,Domestic,,350,93,350,7.00,20.00,2017/01/12,,,06/20/2017 03:50:00 PM,https://dwr.state.co.us/Tools/WellPermits/9009784,"(39.982072, -105.178783)",9009784  218532,85
0426599 ,211209-,Permit Canceled,BOULDER,,Yes,1.0 S,70.0 W,14,NE,SE,1000,E,2300,S,483917.5,4423787.3,Residential,08/10/1999,09/08/2000,,LARAMIE FOX HILLS,Household use only,,200,70,190,12.00,69.00,1999/08/10,,,11/01/2000 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0426599,"(39.964082, -105.188326)",0426599  11626,85
0296382 ,153422-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,2,SE,NE,200,E,1000,N,484183.3,4427488.8,Residential,06/22/1989,06/29/1989,,LARAMIE FOX HILLS,Domestic,,325,185,305,8.00,325.00,1989/06/22,,,07/13/1989 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0296382,"(39.997442, -105.185301)",0296382  113954,85
0295297,30087--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,NE,NW,1680,W,600,N,484731.2,4426127.4,Residential,12/23/1988,01/03/1989,,LARAMIE-FOX HILLS,Domestic,,424,204,404,10.25,150.00,1988/12/23,,,01/23/1989 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0295297,"(39.985181, -105.17885)",0295297 95002,85
3641457A,68303-F,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,22,NE,SW,2257,W,1629,S,481695.5,4412278.8,General Purpose,10/15/2007,,,LARAMIE-FOX HILLS,"Commercial, Industrial",,84,24,80,,70.00,2007/10/15,,05CW83,07/20/2009 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/3641457A,"(39.860352, -105.21402)",3641457A 235851,1008
0281143 ,149831-,Permit Canceled,BOULDER,,Yes,1.0 S,70.0 W,1,NE,SW,1600,W,1600,S,484716.7,4426798.0,Residential,11/27/1987,,,LARAMIE FOX HILLS,Household use only,,360,130,340,,29.00,1987/11/27,,,12/14/1987 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0281143,"(39.991226, -105.17903)",0281143  682,85
0259693 ,141976-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SW,NW,1300,W,1550,N,484617.2,4425837.8,Residential,11/10/1987,,,LARAMIE FOX HILLS,Household use only,,404,204,384,,167.00,1987/11/10,,,11/30/1987 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0259693,"(39.982575, -105.180178)",0259693  153737,85
0259567,141944-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,11,NW,SW,1000,W,2085,S,482922.9,4425293.4,Residential,10/30/1985,11/15/1985,,LARAMIE FOX HILLS,Household use only,,340,195,335,5.00,19.00,1985/10/30,,,11/25/1985 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0259567,"(39.977632, -105.200004)",0259567 311040,85
0351381B,42385-F,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,25,SW,NE,2550,E,2100,N,484804.1,4430362.0,General Purpose,07/01/1993,,,LARAMIE-FOX HILLS,Municipal,,145,46,131,,26.00,1993/07/01,0605928,W8652-77,10/03/2011 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0351381B,"(40.023338, -105.178094)",0351381B 107386,85
3653279 ,287368-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,SW,NE,,,,,485411.0,4427515.0,Residential,04/08/2012,05/23/2012,,LARAMIE FOX HILLS,Household use only,5375,150,220,280,10.00,20.00,2012/04/08,,,02/16/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/3653279,"(39.997698, -105.170916)",3653279  133608,85
0240808 ,22043--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,SE,SE,,,,,485509.0,4426364.0,Residential,06/19/1984,07/06/1984,,LARAMIE FOX HILLS,Domestic,,360,120,360,20.00,25.00,1984/06/19,,,07/11/1984 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0240808,"(39.98733, -105.169743)",0240808  320571,85
3663224 ,293652-,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,25,NW,NE,1653,E,101,N,485067.6,4430972.0,Residential,07/20/2015,09/15/2015,,LARAMIE FOX HILLS,Domestic,5210,80,20,80,10.00,20.00,2015/07/20,,,10/20/2015 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/3663224,"(40.028839, -105.175014)",3663224  122065,85
0426261,208321-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,11,NW,SE,1780,E,1830,S,483682.1,4425247.4,Residential,08/07/1998,08/24/1998,,LARAMIE FOX HILLS,Domestic,,375,200,375,4.50,124.00,1998/08/07,,,08/26/1998 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0426261,"(39.977232, -105.191114)",0426261 126856,85
3667266B,78811-F,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,36,SW,SW,980,W,1230,S,484275.0,4428168.2,General Purpose,10/05/2012,05/21/2014,,LARAMIE-FOX HILLS,"Domestic, Stock",,220,140,200,10.00,43.00,2012/10/05,0605194,05CW269,02/04/2015 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/3667266B,"(40.003561, -105.18424)",3667266B 261859,85
0476735 ,233817-,Permit Canceled,JEFFERSON,,Yes,3.0 S,70.0 W,16,NE,NW,2250,W,1290,N,480097.2,4404953.8,Monitoring/Observation,06/14/2001,,,LARAMIE FOX HILLS,Monitoring/Sampling,,310,140,300,,80.00,2001/06/14,,,06/19/2001 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0476735,"(39.794317, -105.23248)",0476735  292681,1008
0426052B,49800-F,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,24,SW,SE,2040,E,800,S,484953.3,4431246.3,General Purpose,05/25/1995,08/22/1995,,LARAMIE FOX HILLS,"Commercial, Irrigation",,240,20,110,5.50,10.00,1995/05/25,,93CW0126,01/31/2019 10:05:00 AM,https://dwr.state.co.us/Tools/WellPermits/0426052B,"(40.031305, -105.176368)",0426052B 400513,85
0511749 ,251793-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,11,SW,NW,,,,,482805.3,4425726.0,Residential,10/30/2004,10/25/2019,,LARAMIE FOX HILLS,Domestic,,208,88,208,14.00,50.00,2019/10/24,,,03/03/2021 12:53:00 PM,https://dwr.state.co.us/Tools/WellPermits/0511749,"(39.981531, -105.201398)",0511749  437169,85
0511749 ,251793-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,11,SW,NW,,,,,482805.3,4425726.0,Residential,10/30/2004,10/25/2019,,LARAMIE FOX HILLS,Domestic,,208,88,208,14.00,50.00,2019/10/24,,,03/03/2021 12:53:00 PM,https://dwr.state.co.us/Tools/WellPermits/0511749,"(39.981531, -105.201398)",0511749  437170,85
0426052B,49800-F,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,24,SW,SE,2040,E,800,S,484953.3,4431246.3,General Purpose,05/25/1995,08/22/1995,,LARAMIE FOX HILLS,"Commercial, Irrigation",,240,20,110,5.50,10.00,1995/05/25,,93CW0126,01/31/2019 10:05:00 AM,https://dwr.state.co.us/Tools/WellPermits/0426052B,"(40.031305, -105.176368)",0426052B 400514,85
0331670 ,28523--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,11,NW,SE,2635,W,2260,S,483422.8,4425367.7,Residential,10/25/1991,02/20/2017,,LARAMIE FOX HILLS,Domestic,,400,120,380,14.00,25.00,1991/10/25,,,03/09/2017 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0331670,"(39.978317, -105.19415)",0331670  84674,85
0330072A,40090-M,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,28,NW,SE,2200,E,1480,S,480327.5,4410605.4,Monitoring/Observation,05/20/1991,,,LARAMIE-FOX HILLS,Monitoring/Sampling,,40,35,40,,,,,,11/21/1991 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0330072A,"(39.845238, -105.229964)",0330072A 163286,1008
0330072F,40095-M,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,28,SW,NE,1400,E,1840,N,480575.5,4411221.5,Monitoring/Observation,05/21/1991,,,LARAMIE-FOX HILLS,Monitoring/Sampling,,21,15,21,,,,,,11/21/1991 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0330072F,"(39.850803, -105.227083)",0330072F 163286,1008
0099719,103915-,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,36,SE,SW,2040,W,400,S,484874.1,4408683.1,Residential,07/16/1979,10/23/1979,,LARAMIE FOX HILLS,"Domestic, Stock",,1080,913,1080,15.00,420.00,1979/07/16,,,11/30/1979 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0099719,"(39.828014, -105.176771)",0099719 112490,1008
0094835 ,29750--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SE,NW,2000,W,2200,N,484831.8,4425639.8,Residential,07/19/1978,07/25/1978,,LARAMIE FOX HILLS,Domestic,,505,288,505,,,,,,09/06/2007 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0094835,"(39.980795, -105.177655)",0094835  317575,85
0061050 ,62719--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SW,NE,1600,E,1400,N,485341.6,4425884.0,Residential,06/06/1975,,,LARAMIE FOX HILLS,Domestic,,435,270,435,,115.00,1975/06/06,,,07/15/1975 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0061050,"(39.983002, -105.171688)",0061050  176857,85
9008545,4975--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SW,NE,2550,E,1533,N,485052.1,4425843.3,Residential,12/05/1989,12/06/1989,,LARAMIE FOX HILLS,Domestic,,560,340,520,15.00,226.00,1989/12/05,,,09/23/2020 08:59:00 AM,https://dwr.state.co.us/Tools/WellPermits/9008545,"(39.982627, -105.175084)",9008545 429408,85
9012222 ,60162-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,SE,SW,,,,,485002.0,4426537.0,Residential,06/13/1972,,,LARAMIE FOX HILLS,Domestic,,340,44,340,,25.00,1972/06/13,,,02/25/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9012222,"(39.988879, -105.175685)",9012222  67127,85
9011746 ,49672-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,SE,NW,,,,,484988.0,4427443.0,Residential,11/09/1971,,,LARAMIE FOX HILLS,Domestic,,200,21,200,,20.00,1971/11/09,,,02/16/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9011746,"(39.997042, -105.17587)",9011746  59278,85
9011298 ,41766-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SE,NE,,,,,485628.6,4425707.3,Residential,06/23/1970,10/12/1995,,LARAMIE FOX HILLS,Domestic,,220,40,220,5.00,45.00,1970/06/23,,,12/17/2007 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9011298,"(39.981415, -105.168327)",9011298  108636,85
0351381A,42383-F,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,25,SE,NW,1850,W,1600,N,484520.2,4430513.7,General Purpose,07/01/1993,10/04/1993,,LARAMIE-FOX HILLS,Municipal,,135,30,120,2.00,24.00,1993/07/01,0605026,W8652-77,06/27/1994 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0351381A,"(40.024702, -105.181426)",0351381A 107386,85
9011723 ,49420-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SW,NW,750,W,1800,N,484450.0,4425761.5,Residential,12/12/1975,,,LARAMIE FOX HILLS,Domestic,,428,290,428,,220.00,1975/12/12,,,12/22/1975 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9011723,"(39.981887, -105.182132)",9011723  103616,85
9011736 ,49565-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,NE,NW,,,,,484921.0,4427597.0,Residential,10/29/1971,,,LARAMIE FOX HILLS,Domestic,,200,20,200,,25.00,1971/10/29,,,02/16/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9011736,"(39.998428, -105.176659)",9011736  153772,85
0369215,180084-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,26,SE,NW,1440,W,3400,S,483042.0,4420888.8,Residential,12/04/1994,,,LARAMIE FOX HILLS,Domestic,,420,90,420,,70.00,1994/12/04,,W8514-77,08/07/2018 01:44:00 PM,https://dwr.state.co.us/Tools/WellPermits/0369215,"(39.937955, -105.198496)",0369215 391884,85
0426052A,49799-F,Well Constructed,BOULDER,,Yes,1.0 N,70.0 W,24,SW,SE,,,,,484884.2,4431285.0,General Purpose,02/07/1994,08/09/2021,,LARAMIE FOX HILLS,"Commercial, Irrigation",,260,40,240,2.50,22.00,2021/08/09,,93CW0126,02/16/2022 09:09:00 AM,https://dwr.state.co.us/Tools/WellPermits/0426052A,"(40.031656, -105.177178)",0426052A 417790,85
9034572,103998-,Well Constructed,JEFFERSON,,Yes,3.0 S,70.0 W,12,SW,NW,225,W,2220,N,484332.5,4406284.1,Residential,05/23/1979,05/31/1979,,LARAMIE FOX HILLS,"Domestic, Stock",,1200,920,1200,14.00,340.00,1979/05/23,,,12/27/1979 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9034572,"(39.806389, -105.183035)",9034572 83057,1008
3617505 ,274472-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,NE,SW,,,,,484955.0,4426999.0,Residential,01/04/1995,03/12/2020,,LARAMIE FOX HILLS,Domestic,,290,60,290,15.00,23.00,2020/03/12,,,04/06/2020 09:27:00 AM,https://dwr.state.co.us/Tools/WellPermits/3617505,"(39.993041, -105.176246)",3617505  221564,85
0292992 ,13876--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,SW,SE,2510,E,730,S,485069.3,4426533.0,Residential,09/07/1988,09/09/1988,,LARAMIE-FOX HILLS,Domestic,,383,233,373,6.00,170.00,1988/09/07,,,02/16/2016 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0292992,"(39.988845, -105.1749)",0292992  70739,85
0437892 ,214963-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,NE,SE,500,E,2590,S,485677.1,4425490.6,Residential,04/24/2001,07/28/2003,,LARAMIE FOX HILLS,Domestic,0,550,450,550,12.00,162.00,2001/04/24,,,08/08/2003 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0437892,"(39.979467, -105.167756)",0437892  110308,85
0298939 ,153946-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SE,NW,2020,W,2600,N,484838.7,4425517.9,Residential,09/07/1989,01/26/1990,,LARAMIE FOX HILLS,Household use only,,485,355,475,10.00,,,,,02/07/1990 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0298939,"(39.979695, -105.177571)",0298939  113887,85
0010447 ,139931-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,14,NW,SE,,,,,483514.9,4423680.4,Residential,06/02/1988,07/18/2019,,LARAMIE FOX HILLS,Household use only,,520,460,520,7.00,102.00,2019/07/18,,,08/23/2019 10:38:00 AM,https://dwr.state.co.us/Tools/WellPermits/0010447,"(39.963111, -105.19303)",0010447  286654,85
