"licenseename","doingbusinessas","licensetype","licensenum","expiration","address","city","state","zip"
"BLUE FISH DISTILLERY INC. BLUE FISH DISTILLERY","BLACKHAT DISTILLERY","Sales Room Spirits","03-05600","2020-12-16T00:00:00.000","5745 INDUSTRIAL PLACE, SUITE A","Colorado Springs","CO","80916"
"ELEVATION BEER COMPANY","ELEVATION BEER COMPANY","Sales Room Malt","25-61540-0001","2021-01-10T00:00:00.000","115 PAHLONE PARKWAY","Poncha Springs","CO","81242"
"105 WEST BREWING COMPANY","105 WEST BREWING COMPANY","Sales Room Malt","03-04673","2021-07-22T00:00:00.000","1049 PARK STREET","Castle Rock","CO","80109"
"ASCENT INVESTMENT GROUP LLC","DEEP ROOTS WINERY","Sales Room Wine","03-07739","2021-09-27T00:00:00.000","2875 BLAKE STREET SUITE C","Denver","CO","80205"
"FLORENCE BREWING COMPANY","FLORENCE BREWING COMPANY","Sales Room Malt","03-05766","2020-12-28T00:00:00.000","200 SOUTH PIKES PEAK AVENUE","Florence","CO","81226"
"COLORADO GOLD DISTILLERY","COLORADO GOLD DISTILLERY","Sales Room Spirits","07-97196-0000","2020-11-07T00:00:00.000","4242 NORTH NEVADA AVENUE","Colorado Springs","CO","80907"
"TURQUOISE MESA WINERY","TURQUOISE MESA WINERY","Sales Room Wine","07-73341-0001","2020-12-17T00:00:00.000","1210 MYRTLE","Brighton","CO","80601"
"MILE HIGH WINERY","WINTER PARK WINERY LLC","Sales Room Wine","28-36089-0002","2021-11-07T00:00:00.000","395 ZEREX STREET","Fraser","CO","80442"
"UNNAMED BEER COMPANY","UNNAMED BEER COMPANY","Sales Room Malt","03-09512","2021-04-29T00:00:00.000","2907 55th STREET UNIT 1B","Boulder","CO","80301"
"AVERY BREWING COMPANY, LLC","AVERY BREWING COMPANY","Sales Room Malt","06-19214-0001","2020-12-12T00:00:00.000","4910 NAUTILUS COURT NORTH","Boulder","CO","80301"
"CASEY BREWING AND BLENDING","CASEY BREWING AND BLENDING","Sales Room Malt","03-11615","2021-08-06T00:00:00.000","711 GRAND AVENUE","Glenwood Springs","CO","81601"
"ZANAMIEL","ZANAMIEL MEADERY","Sales Room Wine","03-11662","2021-05-05T00:00:00.000","6801 SOUTH MARION CIRCLE WEST","Centennial","CO","80122"
"YAMPA VALLEY BREWING COMPANY LLC","YAMPA VALLEY BREWING COMPANY","Sales Room Malt","03-12346","2021-01-27T00:00:00.000","576 YAMPA AVENUE","Craig","CO","81625"
"BIG BEAVER DISTRIBUTORS","BIG BEAVER DISTRIBUTORS","Sales Room Malt","25-57049-0000","2021-08-03T00:00:00.000","2707 WEST EISENHOWER BLVD UNIT #9","Loveland","CO","80537"
"ODELL BREWING COMPANY","ODELL BREWING COMPANY","Sales Room Malt","03-08408","2021-05-01T00:00:00.000","2945 LARIMER STREET","Denver","CO","80205"
"FOUR LEAVES WINERY","FOUR LEAVES WINERY","Sales Room Wine","03-00210","2021-10-28T00:00:00.000","528 MAIN AVENUE","Durango","CO","81301"
"ATOM BREWING COMANY INC","ATOM BREWING COMPANY INC","Sales Room Malt","03-05419","2020-10-27T00:00:00.000","654 MOFFAT STREET","Erie","CO","80516"
"PLUM CREEK CELLARS LTD","PLUM CREEK CELLARS LTD","Sales Room Wine","08-73348-0003","2021-01-16T00:00:00.000","1512 LARIMER  #14","Denver","CO","80202"
"TWO BROTHERS VINEYARDS, LLC","BLACK FOREST MEADERY","Sales Room Wine","03-03235","2021-07-15T00:00:00.000","6755 SHOUP ROAD UNIT A","Colorado Springs","CO","80908"
"BLUE TILE BREWING","BLUE TILE BREWING","Sales Room Malt","03-09761","2021-07-09T00:00:00.000","1609 EAST 58TH AVENUE","Denver","CO","80216"
,"OLD TOWN DISTILLING CO","Sales Room Spirits","03-07481","2021-04-05T00:00:00.000","513 NORTH LINK LANE, UNIT E","Fort Collins","CO","80524"
"281 33 ROAD","THE PEACHFORK","Sales Room Wine","03-07114","2020-10-23T00:00:00.000","281 33 ROAD","Palisade","CO","81526"
"ANNAPURNA MEAD","ANNAPURNA MEAD","Sales Room Wine","03-05937","2021-01-13T00:00:00.000","40 MOUNT VIEW LANE SUITE F","Colorado Springs","CO","80907"
"EPIC BREWING","EPIC BREWING COMPANY & PAKKA HARD SELTZER COMPANY","Sales Room Malt","03-01189","2021-04-25T00:00:00.000","3001 WALNUT STREET","Denver","CO","80205"
"MONKSHOOD CELLARS","MONKSHOOD CELLARS","Sales Room Wine","03-06799","2021-08-18T00:00:00.000","107 WILLIAMS STREET","Minturn","CO","81645"
"TELLURIDE BREWING CO","TELLURIDE BREWING COMPANY","Sales Room Malt","25-59705-0002","2021-06-14T00:00:00.000","156 DEF SOCIETY DRIVE","Telluride","CO","81435"
"DURANGO CRAFT SPIRITS","DURANGO CRAFT SPIRITS","Sales Room Spirits","03-03548","2021-09-21T00:00:00.000","1120 MAIN AVENUE SUITE 2","Durango","CO","81301"
"UTE MTN INDIAN TRADING CO","GUY DREW VINEYARDS/CROOKED CREEK","Sales Room Wine","07-61090-0007","2021-08-14T00:00:00.000","27601 EAST HIGHWAY 160","Cortez","CO","81321"
"PEAK SPIRITS","PEAK SPIRITS","Sales Room Spirits","26-59877-0001","2021-08-10T00:00:00.000","26567 NORTH ROAD","Hotchkiss","CO","814193104"
"NOCO DISTILLERY","NOCO DISTILLERY","Sales Room Spirits","03-08332","2021-09-28T00:00:00.000","328 SOUTH LINK LANE UNIT 11","Fort Collins","CO","80524"
"GOLD DIRT DISTILLERY","GOLD DIRT DISTILLERY","Sales Room Spirits","03-08999","2020-10-17T00:00:00.000","275 TOLLAND ROAD UNIT A & B","Rollinsville","CO","80474"
"INVINTIONS A CREATIVE WINERY","INVINTIONS A CREATIVE WINERY","Sales Room Wine","28-66453-0000","2021-04-06T00:00:00.000","9608 EAST ARAPAHOE","Greenwood Village","CO","801123703"
"QUEEN BEE BREWS","QUEEN BEE BREWS","Sales Room Wine","03-05224","2020-12-15T00:00:00.000","800 EAST 64TH AVENUE #6","Denver","CO","80229"
"WESTFAX BREWING COMPANY","WESTFAX BREWING COMPANY","Sales Room Malt","03-05551","2020-12-23T00:00:00.000","6733 WEST COLFAX AVENUE","Lakewood","CO","80214"
"BEAR CREEK DISTILLERY","BEAR CREEK DISTILLERY","Sales Room Spirits","03-01250","2021-05-06T00:00:00.000","1879 SOUTH ACOMA STREET","Denver","CO","80223"
"HALE & BRADFORD LLC","HALE & BRADFORD LLC","Sales Room Spirits","03-09251","2021-02-25T00:00:00.000","335 MOUNTAIN AVENUE BERTHOUD","Berthoud","CO","80513"
"FRASER RIVER BREWING COMPANY","FRASER RIVER BREWING COMPANY","Sales Room Malt","03-11117","2021-04-17T00:00:00.000","218 EISENHOWER DRIVE","Fraser","CO","80442"
"ENDO BREWING COMPANY","ENDO BREWING COMPANY","Sales Room Malt","03-07412","2021-01-03T00:00:00.000","2755 DAGNY WAY SUITE #101","Lafayette","CO","80026"
"MARBLE DISTILLING COMPANY","MARBLE DISTILLING COMPANY LLC","Sales Room Spirits","03-03501","2020-09-10T00:00:00.000","150 MAIN STREET","Carbondale","CO","81623"
"CARLSON VINEYARDS","CARLSON VINEYARDS INC","Sales Room Wine","04-84123-0001","2021-08-15T00:00:00.000","545 MAIN STREET","Grand Junction","CO","81501"
"RESOLUTE BREWING COMPANY LLC","RESOLUTE BREWING COMPANY LLC","Sales Room Malt","03-11237","2021-05-05T00:00:00.000","18148 WEST 92ND LANE #100","Arvada","CO","80007"
"EQUINOX BREWING COMPANY INC","EQUINOX BREWING COMPANY INC","Sales Room Malt","25-54716-0002","2021-04-05T00:00:00.000","133 REMINGTON STREET","FT COLLINS","CO","805242833"
"BOOTSTRAP BREWING","BOOTSTRAP BREWING COMPANY","Sales Room Malt","03-07246","2021-11-29T00:00:00.000","142 PRATT STREET","Longmont","CO","80501"
